"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q2",2.55904761904762,"Down",13328936,-11155717,2173219,-2061235,-1304019,111984,67240,67240,179224,165140,-41970,123170,123170,55564,178734,178734,16787083,16787083,8738473,8738473,1940624,120202,20671,71291,27586382,98391,3132543,907906,273285,1811459,139893,3230934,30817316,13449985,13167123,282862,222647,222647,13672632,13672632,7456244,-4513479,13932299,-595826,16279238,865446,17144684,30817316,123170,150466,41970,4545359,4860965,-2078,-33905,-35983,-16108.1564956231,4824982,4824982,-13843,4811139,262450,0,4847701,0.16305,0.0084,0.01341,0.01043,0.0058,27.12243,2.01764,0.79749,1.05879118406788e-22,0.01691,0.01673,1.26099,1.54011,0.45862,0.01043,0.28275,-63.96298,-149.90608
"34","2019_Q3",2.47078125,"Down",9185756,-7904692,1281064,-1992050,-1276603,-710986,25029.9999999999,31336,-685956,-671872,119010,-552862,-552862,37483,-515379,-515379,12550779,12550779,7071498,7071498,1915593,105497,29986,72415,21643367,128101,3160235,816527,273285,1931304,139119,3288336,24931703,8499848,8247722,252126,63819,63819,8563667,8563667,7456244,-4513479,13416920,-585282,15774403,593633,16368036,24931703,-552862,150035,-119845,-3401480,-3924152,-57866,-264830,-322696,13589.7391414974,-4246848,-4246848,10544,-4236304,-560951,0,-4139307,0.13946,-0.0774,-0.05611,-0.03149,-0.02067,8.03158,2.52735,0.52319,0,-0.04876,-0.04928,0.86902,1.49235,-0.3916,-0.03149,-0.25289,22.37411,17.65264
"35","2019_Q4",2.3103125,"Down",8966140,-7371035,1595105,-1982766,-1268674,-387661,51905,48921,-335756,-335756,108244,-227512,-227512,69698,-157814,-157814,10763321,10763321,7939002,7939002,771242,108678,24182,81399.9999999998,19582243,115392,3397013,846838,273285,2039555,237335,3512405,23094648,6887015,6640408,246607,71460,71460,6958475,6958475,7456244,-4513479,13259106,-589633,15612238,523935,16136173,23094648,-227512,111666,-108251,-1429742,-1653839,-24763,-104505,-129268,4.36557456851006e-11,-1783107,-1783107,-4351,-1787458,-275995,0,-1838744,0.1779,-0.04324,-0.0176,-0.00977999999999999,-0.00683,11.65134,2.81416,0.43123,0,-0.01493,-0.01493,0.84825,1.477,-0.17396,-0.00978,-0.11395,38.99825,27.76478
"36","2020_Q1",2.93145161290323,"Up",4988068,-4297967,690101,-1810895,-1042069,-1120794,58488,55166,-1062306,-1060015,243461,-816554,-816554,34889,-781665,-781665,6447505,6447505,4138469,4138469,1052740,5500415,28042,5472373,17139129,131879,3924268,1109911,273285,2282975,258097,4056147,21195276,5920826,5672514,248312,328313.137205117,328313.137205117,5920826,5920826,7456244,-4513479,12477441,-634802,14785404,489046,15274450,21195276,-816554,102977,14359,2191334,1492116,-86095,-5676668,-5762763,0,-4270647,-4270647,-45169,-4315816,-1017817,2.27373675443232e-13,843961,0.13835,-0.2247,-0.15671,-0.05117,-0.03688,-1.0797,2.89472,0.38763,0,-0.07395,-0.07395,0.4719,1.39878,0.07984,-0.05117,0.05525,6.33464,5.75262
"37","2020_Q2",5.26190476190476,"Up",8870275,-6849763,2020512,-1744273,-848761,276239,74715,59123,350954,350954,-60974,289980,289980,-36042,253938,253938,4943614,4943614,8100930,8100930,2206313,5494837,25148,5469689,20745694,189334,5640604,1390719,273285,2271800,1704800,5829938,26575632,9449921,9105629,344292,493462,493462,9943383,11029519,7456244,-4513479,12731379,-653119,15021025,525088,15546113,26575632,289980,106261,12716,-1477343,-1068386,-417188,-4442008.30099988,-417188,393415.435993626,-1485574,-1485574,-18317,-1503891,382500,0,-1451057,0.22778,0.03114,0.02863,0.01633,0.00955999999999999,-5.71422,2.08638,0.70947,-2.71050543121376e-20,0.02402,0.02372,0.83918,1.42107,-0.13728,0.01527,-0.08724,-12.92448,-17.89615
"38","2020_Q3",10.78796875,"Up",13263855,-10672228,2591627,-1794167,-769743,797460,51368,40594,848828,848828,-114886,733942,733942,-153064,580878,580878,9385486,9385486,7481079,7481079,2986729,5419203,28725,5390478,25272497,226098,5326693,1272071,273285,2157806,1623531,5552791,30825288,13161006,12874274,286732,357767,357767,13518773,14508166,7456244,-4513479,13312257,-616052,15638970,678152,16317122,30825288,733942,135878,123720,3487988,4481528,252338,-329061,-76723,662299.384088913,4404805,4404805,37067,4441872,933338,3.63797880709171e-12,4788550,0.19539,0.06012,0.04379,0.0356,0.01884,8.24364,1.86944,0.88914,0,0.05495,0.05423,1.25483,1.47953,0.45302,0.03356,0.27669,-10.05583,-11.76922
"39","2020_Q4",20.01703125,"Up",15546182,-12511391,3034791,-1822574,-988096,1212217,80679,38667,1292896,1292896,-233032,1059864,1059864,-71556,988308,988308,7614126,7614126,11236606,11236606,818532.000000001,5452041,14359,5437682,25121305,221738,4970735,1260107,273285,1924611,1512732,5192473,30313778,11758131,11357842,400289,395381,395381,12153512,13038363,7484013,-4513479,14300565,-670392,16600707,674708,17275415,30313778,1059864,170072,270218,-3033760,-1533606,-144056,-89299,-211183,27769,-1717020,-1717020,-54340,-1771360,1382289,0,-1562495,0.19521,0.07798,0.06357,0.05721,0.0326,-1.58098,2.067,0.75474,0,0.09338,0.09266,1.46882,1.56845,-0.14763,0.05442,-0.08604,-5.50835,-6.28116
"40","2021_Q1",20.616393442623,"Up",37391986,-30514431,6877555,-2085347,-1093259,4792208,14002,37647,4806210,4806210,-971409,3834801,3834801,-107307,3727494,3727494,28161644,28161644,15973537,15973537,11783403,5492434,21588,5470846,61411018,220889,3759664,1125152,273285,938188,1423039,3980553,65391571,42583989,42083255,500734,400508,400508,42984497,44256030,7489372,-4513479,18028059,-650426,20353526,782015,21135541,65391571,3834801,163317,1338164,14788486,20124768,-66011.0000000001,-1692,-89875,492659,20527552,20527552,19966,20547518,4955525,487300,20649409,0.18393,0.12816,0.09969,0.17636,0.057,5.53976,1.42868,2.09392,0.00745,0.3516,0.34572,3.52706,1.91988,1.94779,0.16635,0.92156,-5.58454,-5.77486
"41","2021_Q2",11.4515873015873,"Down",62569450,-50898219,11671231,-2499851,-1521459,9171380,6802,24980,9178182,9178182,-2000734,7177448,7177448,-257088,6920360,6920360,43317586,43317586,27782709,27782709,2765366,5538341,12396,5525945,79404002,204187,3536707,1076792,273285,853317,1333313,3740894,83144896,47085898,44850184,2235714,397267,397267,47483165,48662068,12634201,-3554893,24948419,-584002,33443725,1039103,34482828,83144896,7177448,150046,356660,1474541,9158695,-6642,-79963,-86605,6017428,15089518,15089518,66424,15155942,9321426,487300,12790059,0.18653,0.14658,0.1106,0.20069,0.08323,1.84818,1.67226,1.4112,0.00586,0.64882,0.6397,5.86622,3.13553,1.19914,0.19406,0.35865,-4.59482,-4.66999
"42","2021_Q3",8.4053125,"Down",66247578,-54955123,11292455,-2560758,-1409026,8731697,-104767,46107,8626930,9114230,-2138406,6975824,6975824,-119213,6856611,6856611,71025316,71025316,16366586,16366586,13176140,5490902,14049,5476853,106058944,185563,3478427,1419166,273285,685280,1100696,3663990,109722934,66226438,63939629,2286809,1065146,1065146,67291584,67909374,12771013,-3554893,31805030,-365906,40655244,1158316,41813560,109722934,6975824,135828,113050,20686897,27911599,-4774,-455761,-460535,38570,27489634,27489634,218096,27707730,8867525,5.82076609134674e-11,31688054,0.17046,0.1318,0.1035,0.16398,0.06249,4.62153,1.57611,1.6241,0,0.59257,0.58399,5.72533,3.51356,2.73858,0.16159,0.74681,-8.0096,-8.13419
"43","2021_Q4",4.671875,"Down",44330954,-36764858,7566096,-2336286,-1136761,5229810,159265,42883,5389075,5389075,-1192277,4196798,4196798,-258245,3938553,3938553,54356917,54356917,13099699,13099699,1429503,5544126,49244,5494882,74430245,166037,3382898,1372553,273285,743073,993987,3548935,77979180,30983620,27852776,3130844,345572,345572,31329192,31872430,12887660,-3554893,35743583,-386161,44690189,1416561,46106750,77979180,4196798,123789,144979,-21074053,-16608487,-3550,-54867,-58417,18759.9999999991,-16648144,-16648144,-20255,-16668399,5353599,0,-14531727,0.17067,0.11797,0.08884,0.08542,0.05051,-3.68961,2.37575,0.69127,4.33680868994202e-19,0.34022,0.33135,3.8294,3.86043,-1.25528,0.08443,-0.31151,-10.15334,-10.39367
"44","2022_Q1",4.1058064516129,"Down",10967363,-9033124,1934239,-2248816,-1010602,-314577,68567.0000000001,-105181,-246010,-246010,292122,46112,46112,-62601,-16489,-16489,51182040,45796006,2542429,2542429,975519,135654,44984,90670,54835642,151610,2801385,1246750,273285,387548,893802,2952995,57788637,10838017,9718989,1119028,317519,317519,11155536,11623473,12986303,-3554893,35727094,-472502,44686002,1479162,46165164,57788637,46112,116230,694193,-9214143.00000001,-8357608,-8529,-108434,-116963,1,-8474570,-8474570,-86341,-8560910.99999999,-198347,1.45519152283669e-11,-9713141.00000001,0.17636,-0.02868,-0.0015,-0.00036,-0.00029,589.06792,4.91555,0.25178,0,-0.00141999999999998,-0.00137999999999999,0.94626,3.85547,-0.83804,-0.00035,-0.20829,258.04292,162.70115
"45","2022_Q2",3.50677419354839,"Down",3344060,-2851096,492964,-2099717,-1077815,-1606753,132524,86669,-1474229,-1474229,411256,-1062973,-1062973,-40632,-1103605,-1103605,39277925,39277925,1561747,1561747,727943,5682179,34440,5545684,47249794,134856,3088172,1189924,273285,827116,797847,3223028,50472822,4564799,3562323,1002476,299721,299721,4990221,5382103,13102436,-3554893,34623489,-600107,43570925,1519794,45090719,50472822,-1062973,116480,-254396,-5167697,-6368586,-7357,-36128,-43485,21595.0000000001,-6390476,-6390476,-127605,-6518081,-1490273,125701,-7076583,0.14741,-0.48048,-0.33002,-0.02448,-0.02187,6.41224,9.46848,0.11936,0.00249,-0.0952,-0.0952,0.28845,3.75838,-0.61042,-0.0242,-0.15516,26.27185,24.36729
"46","2022_Q3",2.9690625,"Down",1821589,-1457609,363980,-2131933,-1024794,-1767953,134833,11121,-1633120,-1633120,476752,-1156368,-1156368,-29229,-1185597,-1185597,36701910,36701910,1223226,1223226,1923361,5653395,51929,5499411,45501892,128594,3796644,1476110,273285,1320041,727208,3925238,49427130,4459591,3529341,930250,302728,302728,5152870,5467933,13200363,-3554893,33437892,-673188,42410174,1549023,43959197,49427130,-1156368,155289,-324405,-741766.000000001,-2067250,-17067,-418617,-435684,0,-2502934,-2502934,-73081,-2576015,-1612664,390551,-2848249,0.19981,-0.97056,-0.65086,-0.02697,-0.02399,2.40238,8.8304,0.12439,0.0079,-0.10227,-0.10227,0.15713,3.65826,-0.24569,-0.02654,-0.06377,22.51638,20.53864
