"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",34.2488524590164,"Down",26956000,-7001000,19955000,-10193000,-6129000,-4064000,9762000,551000,10313000,10313000,-2595000,7718000,7718000,7718000,7718000,159014000,89042000,20775000,20775000,21300000,1854000,1854000,202943000,54111000,21939000,9191000,7851000,4897000,76050000,278993000,11289000,3143000,8146000,11289000,4092000,3542000,550000,4092000,15381000,50905000,218233000,-5526000,263612000,263612000,278993000,7718000,1477000,469000,348999.999999998,10013000,-163000,-2581000,7.45058059692383e-09,0,-55000.0000000075,7377000.00000001,7377000.00000001,-160000,7217000.00000001,11239000,1.81898940354586e-12,14020000,0.74028,0.36215,0.28632,0.02928,0.02766,1.81653,17.97706,0.05835,-6.7762635780344e-21,0.54352,0.52202,1.89831,18.56423,0.98732,0.02883,0.05237,-14.14841,-16.28908
"35","2019_Q2",36.4628571428571,"Up",24723000,-7311000,17412000,-11930000,-7672000,-4258000,5482000,498000,5980000,5980000,-1473000,4507000,4507000,4507000,4507000,166736000,95514000,18265000,18265000,22617000,2077000,2077000,209695000,53051000,43913000,8467000,7695000,27751000,96964000,306659000,11602000,3571000,8031000,11602000,25986000,3388000,22598000,25986000,37588000,52172000,222740000,-5841000,269071000,269071000,306659000,4507000,1477000,2579000,-101000,8462000,-1030000,-1917000,5000,5000,-119000,6426000,6426000,46000,6472000,6959000,0,7301000,0.70428,0.22174,0.1823,0.01675,0.0147,1.61992,18.07404,0.1397,0,0.31773,0.31487,1.7429,18.9687,0.5147,0.01528,0.02474,-23.95976,-30.41518
"36","2019_Q3",51.34359375,"Up",30418000,-6836000,23582000,-11667000,-7502000,-4165000,11915000,533000,12448000,12448000,-3013000,9435000,9435000,9435000,9435000,141452000,69407000,23073000,23073000,22986000,2413000,2413000,189924000,52960000,44480000,8303000,7798000,28379000,97440000,287364000,10388000,2287000,8101000,10388000,26030000,3683000,22347000,26030000,36418000,24467000,232175000,-5696000,250946000,250946000,287364000,9435000,1466000,1807000,-7238000,5470000,-1101000,-1516000,-29999000,1000.00000000023,-3e+07,-26046000,-26046000,-61000.0000000001,-26107000,13381000,0,8055000,0.77526,0.39171,0.31018,0.0376,0.03283,0.85374,18.28302,0.14512,0,0.67766,0.66953,2.18473,18.02385,0.57854,0.03406,0.02908,-10.57111,-11.87176
"37","2019_Q4",58.0890625,"Up",29697000,-5951000,23746000,-11697000,-7539000,-4158000,12049000,482000,12531000,12531000,-3331000,9200000,9200000,9200000,9200000,173206000,103381000,23889000,23889000,25243000,1479000,1479000,223817000,51750000,44012000,7680000,7489000,28843000,95762000,319579000,11195000,2702000,8493000,11195000,26702000,4727000,21975000,26702000,37897000,46625000,241375000,-6318000,281682000,281682000,319579000,9200000,1516000,2342000,-3007000,10051000,-428000,2100000,-6000,-6000,21699000,33850000,33850000,124000,33974000,13565000,0,13461000,0.79961,0.40573,0.3098,0.03266,0.02879,1.46315,19.99259,0.13454,0,0.65308,0.63924,2.10811,19.99588,0.95556,0.02983,0.04365,-12.7686,-14.37513
"38","2020_Q1",40.4495161290323,"Down",29772000,-8649000,21123000,-16321000,-12237000,-4084000,4802000,360000,5162000,5162000,-1111000,4051000,4051000,4051000,4051000,184943000,157463000,23079000,23079000,21995000,4289000,4289000,234306000,50783000,45621000,7585000,7694000,30342000,96404000,330710000,16277000,3832000,12445000,16277000,26055000,4331000,21724000,26055000,42332000,48850000,245426000,-5898000,288378000,288378000,330710000,4051000,498000,4770000,3703000,13022000,-268000,41024000,22151000,22151000,278000,54324000,54324000,-242000,54082000,5300000,0,9846000,0.70949,0.16129,0.13607,0.01405,0.01225,2.43051,14.39491,0.14679,0,0.2835,0.27562,2.08356,20.18182,0.68906,0.01288,0.03131,-34.89491,-38.51374
"39","2020_Q2",32.9471428571429,"Down",35397000,-14200000,21197000,-20481000,-14431000,-6050000,716000,279000,995000,7373000,-1580000,5793000,5793000,5793000,5793000,92285000,65833000,28101000,28101000,35081000,5659000,5659000,161126000,54232000,183555000,98718000,33802000,51035000,237787000,398913000,26188000,9906000,16282000,26188000,79031000,16030000,63001000,79031000,105219000,48502000,251219000,-6027000,293694000,293694000,398913000,5793000,2761000,-2480000,-5029000,1045000,-723000,-92503000,14154275.9370013,16675286.0640488,-141000,-91599000,-91599000,-31000,-91630000,3477000,0,-695000,0.59884,0.02023,0.16366,0.01972,0.01452,-0.11997,6.15267,0.35826,0,0.4079,0.40361,2.4924,20.67976,-0.04894,0.01554,-0.00186,-26.54156,-128.88966
"40","2020_Q3",36.12046875,"Up",30678000,-16936000,13742000,-19082000,-14550000,-4532000,-5340000,-169000,-5509000,-9705000,1997000,-7708000,-7708000,-7708000,-7708000,144370000,116746000,24094000,24094000,46479000,6340000,6340000,221283000,52659000,166583000,95978000,33958000,36647000,219242000,440525000,27907000,6162000,21745000,27907000,74174000,14855000,59319000,124174000,152081000,50751000,243511000,-5818000,288444000,288444000,440525000,-7708000,3698000,10785000,-3207000,3568000,-185000,-2298999.99999997,67999.9999999925,68000,49658000,50927000,50927000,-14000,50913000,-1642000,5e+07,-7031000,0.44794,-0.17407,-0.25125,-0.02672,-0.0175,0.912169999999999,7.9293,0.52725,0.1135,-0.54282,-0.54865,2.16042,20.31296,-0.49514,-0.01868,-0.01704,57.47259,17.67228
"41","2020_Q4",37.95125,"Up",31694000,-14351000,17343000,-21120000,-15903000,-5217000,-3777000,-228000,-4005000,-8155000,1744000,-6411000,-6411000,-6411000,-6411000,124758000,104216000,23009000,23009000,47882000,6226000,6226000,201875000,51629000,162834000,94291000,32419000,36124000,214463000,416338000,31139000,6800000,24339000,31139000,75748000,12584000,63164000,100748000,131887000,52647000,237100000,-5296000,284451000,284451000,416338000,-6411000,-1914000,13280000,910000,5865000,-271000,6729000,0,0,-25179000,-12585000,-12585000,55000,-12530000,-5691000,2.5e+07,-6796000,0.5472,-0.11917,-0.20228,-0.02254,-0.0154,1.06005,6.48303,0.46365,0.06005,-0.45135,-0.45135,2.23134,20.02612,-0.47846,-0.01664,-0.01764,17.52908,26.41197
"42","2021_Q1",37.9319672131148,"Down",32688000,-15944000,16744000,-22811000,-15179000,-7632000,-6067000,-184000,-6251000,-18137000,2481000,-15656000,-15656000,-15656000,-15656000,98318000,95817000,24102000,24102000,46209000,8754000,8754000,177383000,50613000,137609000,91157000,8413000,38039000,188222000,365605000,23777000,8984000,14793000,36867000,56338000,11895000,44443000,56338000,93205000,55498000,221444000,-4542000,272400000,272400000,365605000,-15656000,1538000,22837000,-6132000,2587000,-449000,16809000,1456000,1456000,-28112000,-8715999.99999999,-8715999.99999999,317000,-8399000.00000001,-4529000,0,-13591000,0.51224,-0.1856,-0.47895,-0.05747,-0.04282,0.8681,4.81143,0.34216,6.93889390390723e-18,-1.09621,-1.09621,2.28876,19.07296,-0.95162,-0.04762,-0.04134,21.70854,16.20537
"43","2021_Q2",42.5922222222222,"Up",34292000,-13318000,20974000,-24536000,-18175000,-6361000,-3562000,-43000,-3605000,1215000,1623000,2838000,2838000,2838000,2838000,94599000,94599000,26509000,26509000,42718000,9648000,9648000,173474000,49131000,139648000,88986000,8045000,42617000,188779000,362253000,22143000,8683000,13460000,46973000,38624000,10738000,27886000,38624000,85597000,57425000,224282000,-5051000,276656000,276656000,362253000,2838000,1545000,2310000,-9124000,-2431000,-417000,1734000,1267967.6583628,1224504.79428971,-451000,-1148000,-1148000,-70000,-1218000,-2017000,0,-13181000,0.61163,-0.10387,0.08276,0.01026,0.00783,-4.64447,3.69306,0.3094,0,0.19787,0.19661,2.39085,19.28857,-0.91898,0.009,-0.04181,46.90084,26.55783
"44","2021_Q3",41.18921875,"Down",38145000,-17333000,20812000,-25282000,-17989000,-7293000,-4470000,-50000,-4520000,9130000,-2599000,6531000,6531000,6531000,6531000,97181000,97181000,29426000,29426000,42857000,8297000,8297000,177761000,49540000,135830000,87084000,8149000,40597000,185370000,363131000,24497000,8101000,16396000,41367000,34960000,13100000,21860000,34960000,76327000,60843000,230813000,-4852000,286804000,286804000,363131000,6531000,1541000,-1696000,-2082000,4294000,-2315000,-2317000,643000,643000,594000,2571000,2571000,11000,2582000,-2929000,0,-4727000,0.5456,-0.11718,0.17122,0.02277,0.01799,-0.72378,4.29717,0.26613,0,0.45534,0.45244,2.65949,19.9961,-0.32957,0.0203,-0.01469,33.1789,21.74072
"45","2021_Q4",40.02625,"Down",39536000,-16513000,23023000,-25173000,-17500000,-7673000,-2150000,-48000,-2198000,1252000,-694000,558000,558000,558000,558000,90976000,90976000,32352000,32352000,35019000,7433000,7433000,165780000,49111000,138039000,85021000,7950000,45068000,187150000,352930000,25281000,7942000,17339000,28771000,34099000,12972000,21127000,34099000,62870000,64008000,231371000,-5319000,290060000,290060000,352930000,558000,1616000,4304000,-4416000,2062000,-1284000,-1295000,371000,371000,-6982000,-6215000,-6215000,10000,-6205000,-534000,0,-5540000,0.58233,-0.05438,0.01411,0.00192,0.00158,-9.92832,5.76205,0.21675,0,0.03867,0.0381,2.74004,20.10257,-0.38395,0.00172,-0.01709,170.36704,42.31442
"46","2022_Q1",30.4883870967742,"Down",35821000,-17687000,18134000,-26432000,-20432000,-6e+06,-8298000,-47000,-8345000,-9170000,3377000,-5793000,-5793000,-5793000,-5793000,94386000,94386000,29843000,29843000,36010000,8289000,8289000,168528000,47602000,131405000,82382000,7781000,41242000,179007000,347535000,25480000,7633000,17847000,29795000,30655000,10157000,20498000,30655000,60450000,67225000,225578000,-5718000,287085000,287085000,347535000,-5793000,1778000,7583000,904000,4472000,-1127000,-1240000,114000,114000,60000,3292000,3292000,118000,3410000,-6520000,0,-10120000,0.50624,-0.23165,-0.16172,-0.02018,-0.01667,1.74694,5.65625,0.21056,-1.0842021724855e-19,-0.40148,-0.39551,2.48257,19.89639,-0.70137,-0.01823,-0.03185,14.47638,11.37455
"47","2022_Q2",22.3091935483871,"Down",36693000,-14889000,21804000,-25358000,-19201000,-6157000,-3554000,-154000,-3708000,-3708000,775000,-2933000,-2933000,-2933000,-2933000,90325000,90325000,29313000,29313000,35225000,10459000,10459000,165322000,47954000,128963000,80436000,7625000,40902000,176917000,342239000,22677000,7444000,15233000,26992000,29460000,9956000,19504000,29460000,56452000,68941000,222645000,-5799000,285787000,285787000,342239000,-2933000,1671000,5212000,-5819000,-1869000,-1326000,-1326000,15000,15000,-862000,-4057000,-4057000,-4000,-4061000,-1883000,0,-9803000,0.59423,-0.09686,-0.07993,-0.01026,-0.00857,3.34231,6.12485,0.19753,0,-0.20314,-0.20314,2.54142,19.79409,-0.67897,-0.0093,-0.0311,47.96867,25.41503
"48","2022_Q3",23.01296875,"Up",39657000,-14795000,24862000,-28243000,-21268000,-6975000,-3381000,96000,-3285000,-3285000,442000,-2843000,-2843000,-2843000,-2843000,91392000,91392000,32172000,32172000,35336000,8956000,8956000,167856000,48087000,138180000,78490000,7169000,52521000,186267000,354123000,25116000,8165000,16951000,29431000,38539000,8220000,30319000,38539000,67970000,72997000,219802000,-6646000,286153000,286153000,354123000,-2843000,1764000,4932000,-765000,3088000,-1940000,-1940000,0,0,-46000.0000000005,1102000,1102000,-35000,1067000,-1617000,0,-4764000,0.62693,-0.08526,-0.07169,-0.00994,-0.00803,1.67569,5.70337,0.23753,0,-0.19533,-0.19533,2.72463,19.66012,-0.32731,-0.00876,-0.01467,56.51948,27.03106
