"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",40.3822222222222,"Down",1201606000,-778895000,422711000,-341127000,-341127000,81584000,-483000,-483000,81101000,81101000,-28184000,52917000,52917000,52917000,52917000,103109000,103109000,78735000,78735000,1072976000,109558000,76611000,32947000,1364378000,929331000,186151000,130212000,37166000,1115482000,2479860000,561021000,427474000,35582000,97965000,459049000,164355000,1020070000,271266000,271266000,271266000,1291336000,557560000,640368000,-8599000,1188524000,1188524000,2479860000,52917000,45098000,2993000,-19497000.0000001,81511000.0000001,-50574000,39000,-50535000,-34008000,7e+07,-55011000,-55011000,-337000,-19356000,11619999.9999999,11619999.9999999,-2486000,9134000.00000006,126682000,-1.86264514923096e-09,84795000,0.35179,0.0679,0.04404,0.04452,0.02134,1.60242,1.33753,1.0865,8.67361737988404e-19,0.61225,0.60988,13.90265,13.75129,0.98108,0.39347,6,0.05955,0.0580900000000001,0.64267,-0.81392,-1.26384
"31","2017_Q4",44.5819047619048,"Up",1299336000,-832269000,467067000,-356254000,-356254000,110813000,-594000,-594000,110219000,110219000,-38906000,71313000,71313000,71313000,71313000,90779000,90779000,92282000,92282000,1176941000,100459000,69267000,31192000,1460461000,931131000,188792000,131793000,38230000,1119923000,2580384000,618865000,468566000,48865000,101434000,518686000,219655000,1137551000,270659000,270659000,270659000,1408210000,558043000,623170000,-8314000,1172174000,1172174000,2580384000,71313000,45425000,-1055000,-37888000,77795000,-53094000,414000,-52680000,-33731000,5.5e+07,-60960000,-60960000,-739000,-40430000,-15315000,-15315000,2985000,-12330000,156238000,0,104162000,0.35947,0.08528,0.05488,0.06084,0.02764,1.46063,1.28386,1.20137,0,0.83956,0.83632,15.29692,13.79986,1.22629,0.39711,5,0.0728,0.07219,0.473,-0.58103,-0.81921
"32","2018_Q1",46.5890163934426,"Up",1679910000,-1033737000,646173000,-447233000,-447233000,198940000,-398000,-398000,198542000,198542000,-102782000,95760000,95760000,95760000,95760000,390136000,390136000,90119000,90119000,1061593000,94597000,62204000,32393000,1636445000,932283000,217021000,67306000,130877000,1149304000,2785749000,648134000,457144000,56783000,134207000,359689000,59082000,1007823000,274938000,274938000,574360000,1582183000,563651000,647422000,-6782000,1203566000,1203566000,2785749000,95760000,47604000,67136000,176274000,386774000,-53891000,22000,-134397000,-33082000,1.3e+08,-41858000,-41858000,-5662000,49398000,301775000,301775000,-2418000,299357000,246544000,299422000,471709000,0.38465,0.11842,0.057,0.07956,0.03437,4.92595,1.62374,1.31458,0.10748,1.13953,1.13226,19.9906,14.3222,5.61324,0.39367,5,0.07247,0.26531,0.34547,-0.36794,-0.45599
"33","2018_Q2",47.5621875,"Up",1.203e+09,-770836000,432164000,-365614000,-365614000,66550000,-1201000,-1201000,65349000,65349000,-20181000,45168000,45168000,45168000,45168000,290244000,290244000,102630000,102630000,1052892000,77451000,56333000,21118000,1523217000,926320000,207368000,58842000,148526000,1133688000,2656905000,564884000,393025000,72036000,99823000,317937000,61403000,882821000,277378000,277378000,576850000,1459671000,565518000,638774000,-6755000,1197234000,1197234000,2656905000,45168000,47873000,9528000,-91800000,10769000,-34029000,120000,-33909000,-34081000,175728051.601249,-37713000,-37713000,-7438000,-79232000,-102372000,-102372000,2480000,-99892000,114423000,299472000,8775000,0.35924,0.05532,0.03755,0.03773,0.017,0.19427,1.7254,1.2192,0.11271,0.54163,0.5366,14.42584,14.3567,0.10523,0.40868,7,0.04467,0.00495,0.75454,0.08065,0.13866
"34","2018_Q3",56.787619047619,"Up",1275174000,-811232000,463942000,-389776000,-389776000,74166000,-1584000,-1584000,72582000,72582000,-20869000,51713000,51713000,51713000,51713000,174580000,174580000,106322000,106322000,1099888000,96702000,74811000,21891000,1477492000,919689000,210796000,60960000,64163000,1130485000,2607977000,614813000,466903000,35529000,112381000,333135000,69589000,947948000,279520000,279520000,579041000,1526989000,562620000,528368000,-9742000,1080988000,1080988000,2607977000,51713000,45936000,13716000,-2011000.00000003,109354000,-45992000,393000,-45599000,-36250000,153422266.687933,-137105000,-137105000,-4897000,-178252000,-114497000,-114497000,-1167000,-115664000,120102000,299521000,92968000.0000001,0.36383,0.05816,0.04055,0.04784,0.01983,1.79777,1.55862,1.41259,0.11485,0.62803,0.62407,15.48631,13.12803,1.12905,0.44024,7,0.05299,0.056,0.70098,1.04029,1.68461
"35","2018_Q4",51.547619047619,"Down",1356983000,-861999000,494984000,-400600000,-400600000,94384000,-2288000,-2288000,92096000,92096000,-10631000,81465000,81465000,81465000,81465000,164414000,164414000,113582000,113582000,1197554000,115876000,94071000,21805000,1591426000,931361000,195972000,45999000,64324000,1127333000,2718759000,630034000,487733000,9903000,132398000,406686000,131119000,1036720000,290531000,290531000,590102000,1626822000,571727000,532172000,-11757000,1091937000,1091937000,2718759000,81465000,47358000,25413000,-94858000,59378000,-48305000,1291000,-47014000,-35323000,6e+07,-45403000,-45403000,-1571000,-22297000,-9933000,-9933000,-233000,-10166000,141742000,299571000,9210000,0.36477,0.06955,0.06003,0.07461,0.02996,0.11305,1.53506,1.48985,0.11019,1.01229,0.99572,16.86196,13.56848,0.11444,0.43893,6,0.06943,0.00548,0.4336,0.95354,1.43199
"36","2019_Q1",50.1568852459016,"Down",1836436000,-1126513000,709923000,-509070000,-509070000,200853000,-1633000,-1633000,199220000,199220000,-43882000,155338000,155338000,155338000,155338000,338954000,338954000,107102000,107102000,1124992000,123295000,101356000,21939000,1694343000,929635000,188866000,44055000,59429000,1118501000,2812844000,711722000,526702000,21461000,163559000,363090000,363090000,1074812000,282698000,282698000,582318000,1657130000,582689000,584333000,-11073000,1155714000,1155714000,2812844000,155338000,47641000,18215000,185291000,406485000,-61776000,399000,-61377000,-34671000,-6e+07,-75083000,-75083000,-530999.999999999,-170285000,174823000,174823000,-283000,174540000,248494000,299620000,415891000,0.38658,0.10937,0.08459,0.13441,0.05522,2.67733,1.57641,1.43386,0.10652,1.95467,1.9295,23.10854,14.54277,5.23331,0.43628,8,0.10932,0.23929,0.2232,-0.15829,-0.19583
"37","2019_Q2",52.5771428571429,"Up",1241132000,-796801000,444331000,-370199000,-370199000,74132000,-2253000,-2253000,71879000,71879000,-19223000,52656000,52656000,52656000,52656000,107683000,107683000,102195000,102195000,1155427000,120341000,98213000,22128000,1485646000,916030000,1386689000,34215000,1267117000,2302719000,3788365000,519199000,385646000,24384000,109169000,595016000,595016000,1114215000,1252712000,1252712000,1552382000,2666597000,572560000,564127000,-13945000,1121768000,1121768000,3788365000,52656000,46838000,78337000,-275911000,-98080000,-36148000,107000,-36041000,-36868000,-40051595.8588875,-33848000,-33848000,-25406000,-96122000,-230243000,-230243000,-1028000,-231271000,120970000,299670000,-171866000,0.358,0.05973,0.04243,0.04694,0.0139,-3.26394,1.33336,2.37714,0.0791,0.66922,0.6593,15.77383,14.2568,-2.18428,0.46856,3,0.03348,-0.06427,0.70017,1.58706,2.5898
"38","2019_Q3",61.13,"Up",1370814000,-886953000,483861000,-397696000,-397696000,86165000,-2669000,-2669000,83496000,83496000,-20848000,62648000,62648000,62648000,62648000,120467000,120467000,111114000,111114000,1187728000,138710000,117017000,21693000,1558019000,913059000,1398603000,38803000,1274452000,2311662000,3869681000,544539000,404337000,13065000,127137000,642340000,642340000,1186879000,1261480000,1261480000,1561199000,2748078000,585611000,552454000,-15488000,1121603000,1121603000,3869681000,62648000,46906000,64041000,-102151000,71444000,-41041000,363000,-40678000,-38585000,6e+07,-38283000,-38283000,-481000,-17349000,13417000,13417000,-633000,12784000,133071000,299719000,10727000.0000001,0.35297,0.06286,0.0457,0.05586,0.01619,0.17123,1.3127,2.45013,0.07745,0.79818,0.78903,17.46505,14.28994,0.13667,0.4916,5,0.03773,0.004,0.6159,1.34704,2.08033
"39","2019_Q4",64.60796875,"Up",1442472000,-924300000,518172000,-416281000,-416281000,101891000,-2564000,-2564000,99327000,99327000,-24614000,74713000,74713000,74713000,74713000,155025000,155025000,110131000,110131000,1258541000,135548000,115288000,20260000,1659245000,915740000,1388839000,41763000,1261721000,2304579000,3963824000,598250000,444279000,13182000,140789000,590660000,590660000,1288910000,1243252000,1243252000,1543021000,2831931000,595768000,550774000,-13708000,1131893000,1131893000,3963824000,74713000,46751000,64698000,-69576000,116586000,-43965000,0,-43965000,-37706000,4e+07,-40583000,-40583000,-736000,-39025000,33596000,33596000,962000,34558000,148642000,399769000,59715000,0.35922,0.07064,0.0518,0.06601,0.01885,0.79926,1.28732,2.50194,0.10085,0.95914,0.94419,18.51792,14.53082,0.7666,0.48406,5,0.04051,0.02152,0.50468,1.64653,2.40202
"40","2020_Q1",59.4962903225806,"Down",1843590000,-1150862000,692728000,-489042000,-489042000,203686000,-1367000,-1367000,202319000,202319000,-36274000,166045000,166045000,166045000,166045000,432162000,432162000,111737000,111737000,1100544000,111192000,90426000,20766000,1755635000,929038000,1369369000,47977000,1236049000,2298407000,4054042000,718739000,521235000,22501000,175003000,590998000,590998000,1609555000,1208627000,1208627000,1208627000,2818182000,606594000,644794000,-14587000,1235860000,1235860000,4054042000,166045000,47264000,64355000,239680000,517344000,-65122000,258000,-64864000,-37481000,-1e+08,-36120000,-36120000,-1129000,-174730000,277750000,277750000,-613000,277137000,250950000,299818000,461782000,0.37575,0.11048,0.09007,0.13436,0.04096,2.78107,1.09076,2.28034,0.07396,2.14628,2.11509,23.83008,15.97461,5.96895,0.48448,5,0.07416,0.16827,0.22573,-0.52737,-0.64975
"41","2020_Q2",64.2573015873016,"Up",1235203000,-820943000,414260000,-365615000,-365615000,48645000,-2159000,-2159000,46486000,46486000,-11063000,35423000,35423000,35423000,35423000,861002000,861002000,104829000,104829000,1070681000,112532000,90433000,22099000,2149044000,907219000,1361852000,33320000,1243197000,2269071000,4418115000,584919000,423375000,24049000,137495000,609352000,609352000,1682094000,1217224000,1217224000,1517092000,3199186000,596962000,641917000,-19351000,1218929000,1218929000,4418115000,35423000,46224000,98328000,-126102000,53873000,-42321000,242000,-42079000,-39391000,487823000,-96728755.2791466,-96728755.2847683,-28912000,419520000,431314000,431314000,-2474000,428840000,94869000,787691000,-62491000,0.33538,0.03938,0.02868,0.02906,0.00802,-1.76414,1.2776,2.62459,0.17829,0.45848,0.45183,15.9872,15.77657,-0.80882,0.50984,5,0.02321,-0.01938,1.11202,-0.77276,-1.50706
"42","2020_Q3",84.41921875,"Up",1490777000,-939575000,551202000,-365841000,-365841000,185361000,-6464000,-6464000,178897000,178897000,-44333000,134564000,134564000,134564000,134564000,947760000,947760000,128737000,128737000,1042340000,136593000,109495000,27098000,2255430000,887401000,1344465000,37789000,1221257000,2231866000,4487296000,559995000,373086000,28502000,158407000,616345000,616345000,1664163000,1191216000,1191216000,1490211000,3154374000,609670000,736772000,-12921000,1332922000,1332922000,4487296000,134564000,46896000,76668000,-95601000,162527000,-33802000,-1000.00000000006,-33803000,-39883000,0,-156396810.977473,-156396810.980832,-1727000,-41610000,87114000,87114000,-356000,86758000,232257000,786818000,147187000,0.36974,0.12434,0.09026,0.10095,0.02999,1.09381,1.35529,2.36651,0.17534,1.73001,1.69726,19.16609,17.13664,1.8923,0.51275,8,0.05269,0.04445,0.29639,-0.69295,-0.86826
"43","2020_Q4",97.825,"Up",1764536000,-1058953000,705583000,-430979000,-430979000,274604000,-5344000,-5344000,269260000,269260000,-67488000,201772000,201772000,201772000,201772000,773170000,773170000,129782000,129782000,1125475000,108530000,84974000,23556000,2136957000,869092000,1304630000,42185000,1177043000,2173722000,4310679000,793316000,562294000,36037000,194985000,666810000,666810000,1460126000,1149478000,1149478000,1448651000,2908777000,624147000,792196000,-13843000,1401902000,1401902000,4310679000,201772000,47220000,70289000,190947000,510228000,-48762000,265000,-48497000,-37487000,-487823000,-109048000,-109048000,-3561000,-637919000,-176188000,-176188000,1598000,-174590000,321824000,299173000,531497000,0.39987,0.15562,0.11435,0.14393,0.04681,2.63415,1.46354,2.07488,0.0694,2.60388,2.54268,22.77144,18.09163,6.859,0.48377,7,0.08393,0.18645,0.18579,-1.47285,-1.72611
"44","2021_Q1",129.567213114754,"Up",2292673000,-1327449000,965224000,-563137000,-563137000,402087000,-2264000,-2264000,399823000,399823000,-90868000,308955000,308955000,308955000,308955000,1200337000,1200337000,143728000,143728000,1006299000,116716000,93822000,22894000,2467080000,873894000,1320450000,61854000,1173150000,2194344000,4661424000,880060000,542992000,69476000,267592000,668590000,668590000,1.848e+09,1162239000,1162239000,1162239000,3010239000,639139000,1019762000,-7117000,1651185000,1651185000,4661424000,308955000,48315000,57525000,133425000,548220000,-44628000,123000,-44505000,-40884000,-1.19209289550781e-07,-40952000,-40952000,-1174000.00000001,-83010000,420705000,420705000,6462000,427167000,450402000,299350000,630067000,0.421,0.17538,0.13476,0.18711,0.06628,2.03935,1.335,1.82308,0.06422,4.03826,3.90174,29.96684,21.58214,8.23542,0.53438,6,0.11239,0.20241,0.13233,-2.00041,-2.24078
"45","2021_Q2",163.869047619048,"Up",1749029000,-996176000,752853000,-477676000,-477676000,275177000,-1872000,-1872000,273305000,273305000,-45503000,227802000,227802000,227802000,227802000,639670000,639670000,142459000,142459000,1087528000,79339000,58837000,20502000,1948996000,875384000,1285860000,57499000,1142926000,2161244000,4110240000,842297000,574876000,93282000,174139000,676976000,676976000,1519273000,1143671000,1143671000,1143671000,2662944000,557058000,894878000,-3929000,1447296000,1447296000,4110240000,227802000,47922000,84314000,-121157000,238881000,-42360000,93000,-42267000,-45576000,-3e+08,-315529000,-315529000,-98451000,-759556000,-562942000,-562942000,2275000,-560667000,323099000,0,205085000,0.43044,0.15733,0.13024,0.1574,0.05542,0.90028,1.28285,1.83994,0,3.0053,2.90249,23.07426,19.09361,2.70561,0.60127,8,0.10551,0.07915,0.20007,-1.9798,-2.32458
"46","2021_Q3",163.556875,"Down",1948339000,-1089951000,858388000,-535288000,-535288000,323100000,39000,39000,323139000,323139000,-77069000,246070000,246070000,246070000,246070000,655211000,655211000,141814000,141814000,1170561000,106124000,85587000,20537000,2073710000,875295000,1296032000,58848000,1151763000,2171327000,4245037000,887303000,601879000,61335000,224089000,691524000,691524000,1578827000,1139491000,1139491000,1139491000,2718318000,570479000,9.64e+08,-7049000,1526719000,1526719000,4245037000,246070000,48765000,68877000,-126925000,236787000,-35921000,4000,-35917000,-45493000,0,-135859000,-135859000,-1709000,-183061000,17809000,17809000,-2268000,15541000,371865000,-2.98023223876953e-08,286088000,0.44057,0.16583,0.1263,0.16118,0.05797,1.16263,1.31345,1.7805,6.93889390390723e-18,3.29032,3.21463,26.05219,20.4145,3.82542,0.60831,7,0.10935,0.1073,0.18488,-1.76196,-2.02789
"47","2021_Q4",180.7646875,"Up",2047539000,-1152054000,895485000,-565218000,-565218000,330267000,-121000,-121000,330146000,330146000,-80622000,249524000,249524000,249524000,249524000,656898000,656898000,139511000,139511000,1272028000,108285000,85433000,22852000,2176722000,892226000,1408376000,61768000,1261216000,2300602000,4477324000,950413000,638371000,38320000,273722000,741212000,741212000,1691625000,1242329000,1242329000,1242329000,2933954000,585472000,963840000,-5942000,1543370000,1543370000,4477324000,249524000,49210000,74076000,-60139000,312671000,-62729000,0,-62729000,-44132000,0,-201311000,-201311000,-3099000,-248542000,1400000,1400000,287000,1687000,379477000,0,337231000,0.43735,0.1613,0.12187,0.16167,0.05573,1.3515,1.28676,1.901,0,3.31404,3.219,27.19428,20.49819,4.47892,0.58614,8,0.10542,0.12106,0.17686,-1.73106,-1.98899
"48","2022_Q1",147.589677419355,"Down",2501029000,-1375792000,1125237000,-600665000,-600665000,524572000,89000,89000,524661000,524661000,-121720000,402941000,402941000,402941000,402941000,850338000,850338000,131683000,131683000,1246372000,95501000,69252000,26249000,2323894000,920773000,1380953000,56585000,1239014000,2301726000,4625620000,1011990000,612512000,79554000,319924000,759696000,759696000,1771686000,1189727000,1189727000,1189727000,2961413000,600951000,1074084000,-10828000,1664207000,1664207000,4625620000,402941000,50190000,84417000,45260000,582808000,-85507000,173000,-85334000,-52338000,0,-246734000,-246734000,-1753999.99999999,-300826000,196648000,196648000,-3208000,193440000,574762000,-1.86264514923096e-09,656235000,0.44991,0.20974,0.16111,0.24212,0.08711,1.62861,1.31169,1.77947,0,5.21539,5.09697,32.37159,21.54034,8.49385,0.67743,7,0.15953,0.22994,0.12989,-1.47946,-1.62101
"49","2022_Q2",126.780483870968,"Down",1891227000,-1062679000,828548000,-505067000,-505067000,323481000,163000,163000,323644000,323644000,-69531000,254113000,254113000,254113000,254113000,324835000,324835000,122946000,122946000,1396135000,84936000,60997000,23939000,1928852000,942460000,1339401000,48737000,1205366000,2281861000,4210713000,952618000,642619000,126270000,183729000,791022000,791022000,1743640000,1157329000,1157329000,1157329000,2900969000,532898000,789852000,-12267000,1309744000,1309744000,4210713000,254113000,50251000,90035000,-209880000,184519000,-71186000,86000,-71100000,-58150000,418141905.192856,-501075000,-501075000,-78508000,-637733000,-524314000,-524314000,-1189000,-525503000,373732000,0,162197000,0.4381,0.17104,0.13436,0.19402,0.06035,0.63829,1.10622,2.21491,0,3.58658,3.49767,26.69302,18.48589,2.28927,0.82074,6,0.12657,0.06574,0.22884,-0.86917,-1.00419
"50","2022_Q3",139.9115625,"Up",2137537000,-1208728000,928809000,-563288000,-563288000,365521000,344000,344000,365865000,365865000,-98790000,267075000,267075000,267075000,267075000,124944000,124944000,133500000,133500000,1542428000,127849000,102312000,25537000,1928721000,973676000,1416777000,52897000,1278611000,2390453000,4319174000,1011815000,680097000,87159000,244559000,799230000,799230000,1811045000,1229850000,1229850000,1229850000,3040895000,542566000,750083000,-13631000,1278279000,1278279000,4319174000,267075000,52204000,79343000,-199549000,199073000,-77362000,0,-77362000,-54524000,1554425715.57857,-265349000,-265349000,-767000,-320640000,-198929000,-198929000,-962000,-199891000,417725000,0,239604000,0.43452,0.171,0.12495,0.20893,0.06183,0.89714,1.06498,2.3789,0,3.9172,3.86611,31.35138,18.74859,3.51429,0.79971,5,0.12822,0.09553,0.20415,-0.29911,-0.34182
