"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",78.2077777777778,"Down",114348000,-53525000,-9556000,-42009000,-602000,40960000,-8389000,-8389000,32571000,32571000,-48360000,-15789000,-15789000,1022000,-14767000,-14767000,98132000,98132000,59988000,3337000,29285000,165479000,2810616000,2810616000,53305000,53305000,2863921000,3029400000,33711000,2251000,16363000,7864000,7864000,41575000,523673000,164335000,147548000,16787000,688008000,729583000,2187301000,2257830000,41987000,2299817000,3029400000,-15789000,42009000,35506000,13899000,75625000,5000,-194000,-189000,-15709000,21999.9999999991,-65699000,9737000,9737000,9737000,82969000,523673000,0.3582,-0.12914,-0.00642,-0.00487,3.98025,0.31724,0.17286,-0.22612,-0.22539,1.75094,34.57268,0.24054,0.000320000000000001,-1.06379,5.12892,10.38918
"35","2018_Q4",73.3834920634921,"Down",115983000,-48739000,-8100000,-39679000,-423000,45899000,-6513000,-6513000,39386000,-199978000,45860000,-154118000,-154118000,468000,-153650000,-153650000,109376000,109376000,29770000,826000,27795000,151845000,2532603000,2532603000,68999000,68999000,2601602000,2753447000,31800000,3008000,16361000,11697000,11697000,43497000,458889000,120656000,103221000,17435000,579545000,623042000,2188904000,2088752000,41653000,2130405000,2753447000,-154118000,39679000,184132000,34882000,104575000,-1012000,-1157000,-2169000,-16364000,163000,-91162000,11244000,11244000,11244000,85578000,458889000,0.39574,-1.32476,-0.07212,-0.0558,3.49093,0.29245,0.16666,-2.35274,-2.36646,1.77597,31.98369,0.25057,-0.05066,-0.1065,4.08415,7.61483
"36","2019_Q1",83.5359016393443,"Up",116235000,-57773000,-10909000,-42316000,-7e+05,36250000,-7514000,-7514000,28736000,28736000,-4727999.99999999,24008000,24008000,2644000,26652000,26652000,88750000,88750000,27746000,1350000,26356000,125807000,2501117000,2501117000,55092000,55092000,2556209000,2682016000,43718000,9090000,16375000,7665000,7665000,51383000,384421000,104943000,91147000,13796000,489364000,540747000,2193266000,2102167000,39102000,2141269000,2682016000,24008000,42316000,5439000.00000003,5252000,77015000,-10800000,20342000,-8327000,-16363000,2589000,-89314000,-20626000,-20626000,-20626000,78566000,384421000,0.31187,0.22929,0.01245,0.00994000000000002,2.44842,0.25254,0.14333,0.40803,0.40803,1.77951,32.1834,0.25051,0.01635,0.61395,3.76335,8.15644
"37","2019_Q2",86.3757142857143,"Up",99992000,-58132000,-9927000,-42551000,-1292000,25333000,-7774000,-7774000,17559000,16091000,-4115000,11976000,11976000,3032000,15008000,15008000,117078000,117078000,32341000,854000,25106000,159430000,2458615000,2458615000,54821000,54821000,2513436000,2672866000,29443000,5055000,16376000,7928000,7928000,37371000,391598000,104631000,91356000,13275000,496229000,533600000,2195688000,2103221000,36045000,2139266000,2672866000,11976000,42551000,7384000,-17274000,44637000,-3000,-121000,-124000,-16376000,2163000,-16185000,28328000,28328000,28328000,67884000,391598000,0.25335,0.15009,0.00702,0.00561,4.26614,0.24943,0.14651,0.22957,0.22914,1.52952,32.17171,0.25049,0.01191,1.09115,4.04396,10.83646
"38","2019_Q3",117.09015625,"Up",97593000,-47980000,-7422000,-38807000,-909000,31451000,-6923000,-6923000,24528000,20897000,2148000,23045000,23045000,543000,23588000,23588000,156536000,156536000,39245000,793000,25659000,203735000,2419908000,2419908000,51463000,51463000,2471371000,2675106000,30389000,2291000,17359000,6787000,6787000,37176000,394487000,96473000,90700000,5773000,490960000,528136000,2197908000,2111670000,35300000,2146970000,2675106000,23045000,38807000,10039000,-13060000,58831000,-52000,34000,-3587000,-16378000,837000,-15786000,39458000,39458000,39458000,70258000,394487000,0.32227,0.2417,0.01099,0.00882,5.48028,0.24599,0.14747,0.3607,0.36027,1.49235,32.29078,0.25045,0.01515,0.69434,3.38682,7.56577
"39","2019_Q4",113.9809375,"Down",109777000,-47501000,-6798000,-39368000,-1005000,43201000,-7e+06,-7e+06,36201000,37982000,-9388000,28594000,28594000,178000,28772000,28772000,215996000,215996000,36946000,602000,27554000,265355000,2381592000,2381592000,52438000,52438000,2434030000,2699385000,38617000,5005000,17361000,10647000,10647000,49264000,399439000,90321000,90321000,-425947.021535715,489760000,539024000,2200003000,2125440000,34921000,2160361000,2699385000,28594000,39368000,-3240000,12719000,77441000,-1e+06,-70000,-1074000,-17360000,218000,-16907000,59460000,59460000,59460000,82569000,399439000,0.39353,0.26209,0.01332,0.01066,5.38639,0.24951,0.14797,0.43995,0.43917,1.67859,32.49999,0.26545,0.01741,0.60336,2.22169,4.24627
"40","2020_Q1",99.7203225806452,"Down",115694000,-51201000,-6341000,-42330000,-906000,40722000,-5633000,-5633000,35089000,31607000,-6143000,25464000,25464000,993000,26457000,26457000,119475000,119475000,23824000,389000,20733000,154679000,2339316000,2339316000,50156000,50156000,2389472000,2544151000,27236000,2890000,17372000,6374000,6374000,33610000,251127000,88961000,88961000,-1839538.06493585,340088000,373698000,2202428000,2136681000,33772000,2170453000,2544151000,25464000,42330000,12775000,-8312000,72257000,0,-4383000,-810000.000000001,-17363000,-992000,-167968000,-96521000,-96521000,-96521000,83052000,251127000,0.35198,0.22868,0.01219,0.0104,4.60217,0.17218,0.09871,0.40448,0.40369,1.76875,32.66596,0.26545,0.01745,0.65627,1.58518,3.23295
"41","2020_Q2",116.989365079365,"Up",118774000,-49882000,-7443000,-38714000,-1099000,48781000,-2059000,-2059000,46722000,45347000,23525000,68872000,68872000,1581000,70453000,70453000,121970000,121970000,31468000,1135000,26635000,164210000,2305018000,2305018000,78683000,78683000,2383701000,2547911000,26424000,3496000,17380000,5949000,5949000,32373000,202917000,90293000,88184000,2109000,293210000,325583000,2203005000,2190329000,31999000,2222328000,2547911000,68872000,38714000,-35284000,-1063000,71239000,-4362000,4858000,496000,-17373000,556000,-69240000,2495000,2495000,2495000,87495000,202917000,0.4107,0.59317,0.0317,0.02765,5.07244,0.14651,0.07964,1.07618,1.07372,1.8143,33.4577,0.26538,0.03491,0.24659,0.92516,1.6594
"42","2020_Q3",127.5125,"Up",123643000,-49259000,-6665000,-40096000,-984000,53307000,-1991000,-1991000,51316000,51538000,-11124000,40414000,40414000,907000,41321000,41321000,80504000,80504000,40602000,2485000,28446000,136442000,2333091000,2333091000,85103000,85103000,2418194000,2554636000,35890000,3170000,18354000,8240000,8240000,44130000,169673000,93619000,87352000,6267000,263292000,307422000,2206019000,2216309000,30905000,2247214000,2554636000,40414000,40096000,4516000,-6769000,78257000,-68055000,-495000,-68550000,-17382000,1533000,-51173000,-41466000,-41466000,-41466000,93403000,169673000,0.43114,0.3342,0.01839,0.01617,3.09182,0.1368,0.06642,0.63089,0.62979,1.8878,33.83889,0.26539,0.02338,0.42066,0.95467,1.67274
"43","2020_Q4",112.4265625,"Down",136436000,-62194000,-9550000,-51228000,-851000,52281000,-1468000,-1468000,50813000,46994000,-8701000,38293000,38293000,262000,38555000,38555000,93715000,93715000,44915000,1232000,32322000,150577000,2317413000,2317413000,81874000,81874000,2399287000,2549864000,40887000,1501000,18359000,8943000,8943000,49830000,136595000,92904000,86776000,6128000,229499000,279329000,2209753000,2240236000,30299000,2270535000,2549864000,38293000,51228000,7609000,2569000,99699000,-35438000,-1597000,-37035000,-18356000,413000,-49453000,13211000,13211000,13211000,103509000,136595000,0.38319,0.28259,0.01698,0.01512,3.02181,0.12302,0.05357,0.58824,0.58726,2.08161,34.17937,0.28006,0.02276,0.4761,0.41426,0.82018
"44","2021_Q1",104.080655737705,"Down",119966000,-53308000,-6537000,-45396000,-890000,45917000,-2249000,-2249000,43668000,48717000,-46000,48671000,48671000,343000,49014000,49014000,319128000,319128000,31351000,1227000,27689000,362150000,2318913000,2318913000,85224000,85224000,2404137000,2766287000,34171000,2484000,18364000,9384000,9384000,43555000,300439000,120174000,86439000,33735000,420613000,464168000,2211084000,2272217000,29902000,2302119000,2766287000,48671000,45396000,786999.999999996,-3297000,91557000,-48130000,360000,-47770000,-18360000,-91000,181626000,225413000,225413000,225413000,91313000,300439000,0.38275,0.40857,0.02129,0.01772,8.31477,0.20163,0.10861,0.74731,0.74609,1.82911,34.64429,0.27993,0.02474,0.37459,-0.20467,-0.40702
"45","2021_Q2",115.406984126984,"Up",146880000,-55672000,-7454000,-46300000,-1355000,69306000,-1454000,-1454000,67852000,104297000,2377000,106674000,106674000,265000,106939000,106939000,413116000,413116000,39550000,1679000,33573000,469825000,2242314000,2242314000,85048000,85048000,2327362000,2797187000,46999000,2901000,18368000,9140000,9140000,56139000,283926000,93901000,85784000,8117000,377827000,433966000,2200361000,2350063000,13158000,2363221000,2797187000,106674000,46300000,-45386000,-13436000,94152000,49996000,-339000,49657000,-18365000,-67000,-49821000,93988000,93988000,93988000,115606000,283926000,0.47185,0.72807,0.04525,0.03823,8.36896,0.18363,0.1015,1.63172,1.62936,2.24115,35.85818,0.28022,0.04571,0.17173,-1.1175,-1.86405
"46","2021_Q3",109.935625,"Down",615856000,-219262000,-28387000,-183569000,-6743000,303696000,-3976000,-3976000,299720000,339643000,-36867000,302776000,302776000,-244000,302532000,302532000,381859000,381859000,54732000,1477000,44316000,450491000,2231980000,2231980000,81263000,81263000,2313243000,2763734000,45585000,2587000,19680000,11569000,11569000,57154000,195983000,105918000,85017000,20901000,301901000,359055000,2201732000,2391642000,13037000,2404679000,2763734000,302776000,183569000,-32766000,-46428000,407151000,-106847000,-541000,-98737000,-76099000,-1062000,-401626000,-93212000,-93212000,-93212000,487265000,195983000,0.49313,0.49124,0.12581,0.10946,7.88206,0.14932,0.07091,4.6155,4.61042,9.39565,36.48747,1.16098,0.13989,0.25154,-0.38147,-0.61205
"47","2021_Q4",99.24078125,"Down",142589000,-50063000,-6932000,-41296000,-1835000,71057000,-1087000,-1087000,69970000,71872000,-17679000,54193000,54193000,-167000,54026000,54026000,370260000,370260000,61571000,1475000,45427000,446322000,2224435000,2224435000,82769000,82769000,2307204000,2753526000,49720000,4380000,19680000,12971000,12971000,62691000,146270000,104440000,84079000,20361000,250710000,313401000,2203066000,2427320000,12805000,2440125000,2753526000,54193000,41296000,-917000,-2339000,92233000,-33656000,-87000,-33743000,-19682000,-397000,-70089000,-11599000,-11599000,-11599000,112353000,146270000,0.49833,0.37889,0.02214,0.01962,7.1194,0.12844,0.05312,0.82419,0.8233,2.17526,37.02989,0.30026,0.02739,0.36431,-1.99363,-3.15226
"48","2022_Q1",115.430161290323,"Up",-737298000,267605000,35561000,223137000,7781000,-358092000,6048000,6048000,-352044000,-428357000,46633000,-381724000,-381724000,-96000,-381820000,-381820000,225916000,225916000,53535000,1773000,47242000,297135000,2262158000,2262158000,92312000,92312000,2354470000,2651605000,40558000,6398000,19681000,11525000,11525000,52083000,119633764.752818,96107000,8.8e+07,8107000,96107000,148190000,2204519000,2490768000,12647000,2503415000,2651605000,-160867000,-87596000,46303000,15775000,-186385000,-16340000,426000,-33914000,38047000,464000,137910000,-82389000,-82389000,-82389000,-445688000,0,0.48568,0.51786,-0.15252,-0.144,5.70503,0.0592,6.93889390390723e-18,-5.82481,-5.81715,-11.24776,37.9976,-0.58042,-0.16152,0.09965,0.50689,0.63089
"49","2022_Q2",122.441129032258,"Up",174431000,-59794000,-7129000,-50611000,-2054000,87407000,-1089000,-1089000,86318000,86494000,-16028000,70466000,70466000,-290000,70176000,70176000,160208000,160208000,59653000,2613000,52959000,232083000,2476630000,2476630000,96964000,96964000,2573594000,2805677000,49094000,5471000,19690000,11170000,11170000,60264000,95403000,95497000,87687000,7810000,190900000,251164000,2205113000,2541847000,12666000,2554513000,2805677000,70466000,50611000,1776000,7032000,129885000,-2.65e+08,-733000,-272733000,-19682000,-2269000,77140000,-65708000,-65708000,-65708000,138018000,95403000,0.5011,0.40231,0.02747,0.02501,3.85111,0.09832,0.034,1.07063,1.06931,2.66118,38.77935,0.30028,0.03273,0.28047,-0.46954,-0.74142
"50","2022_Q3",98.3675,"Down",134365000,-54071000,-11114000,-41365000,-1592000,61074000,886000,886000,61959999.9999999,60206999.9999999,6635000,66842000,66842000,-202000,66640000,66640000,143551000,143551000,60838000,1835000,54088000,215996000,2443752000,2443752000,97284000,97284000,2541036000,2757032000,48511000,6475000,22966000,12917000,12917000,61428000,57044955.7415459,94393000,87705000,6688000,94393000,155821000,2206815000,2588744000,12467000,2601211000,2757032000,66842000,41365000,-23280000,6517000,91444000.0000001,227159000,697000,234856000,-26271000,1728000,-123526000,202774000,202774000,202774000,102439000,0,0.45454,0.49596,0.02562,0.02417,3.51625,0.0599,0,1.01668,1.01543,2.04992,39.49483,0.4008,0.03447,0.39422,-1.40133,-2.35044
