"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q2",69.50859375,"Up",116579000,-67768000,48811000,-41774000,-36902000,-4872000,7037000,1287000,130000,1157000,8324000,8324000,-8089000,235000,235000,235000,235000,78319000,73006000,71895000,71895000,90861000,3483000,3483000,244558000,52113000,58462000,11228000,13235000,16176000,17823000,110575000,355133000,72210000,37893000,6551000,27766000,13379000,13379000,85589000,27598000,8602000,8602000,1835000,17161000,27598000,113187000,73648000,-2709000,166151000,4856000,241946000,241946000,355133000,235000,3191000,6946000,-34313000,-23941000,-6349000,34945000,-675000,-675000,-1721000,9283000.00000001,9283000.00000001,-87000,9196000,10228000,0,-22345000,0.41869,0.06036,0.00202,0.00097,0.000659999999999996,-95.08511,2.85735,0.46782,0,0.0237,0.0235899999999999,11.75666,24.39956,-2.25343,0.00454,-0.0829000000000001,-7.65731,-11.1296
"31","2018_Q3",88.6706349206349,"Up",165778000,-91583000,74195000,-48193000,-42829000,-5364000,26002000,3443000,76000,3367000,29445000,29445000,-7825000,21620000,21620000,21620000,21620000,51066000,51066000,124237000,124237000,94607000,2363000,2363000,272273000,53603000,58050000,11208000,13030000,15841000,17971000,111653000,383926000,85094000,43724000,10601000,30769000,14808000,14808000,99902000,22779000,3591000,3591000,1852000,17336000,22779000,122681000,74159000,-2646000,186584000,3148000,261245000,261245000,383926000,21620000,3207000,-7784000,-40472000,-23429000,-3269000,2044000,68000,0,-924000,-22309000,-22309000,369000,-21940000,29209000,0,-6707000,0.44756,0.15685,0.13042,0.08276,0.05631,-0.31022,2.7254,0.4696,0,2.17308,2.16351,16.66278,26.25842,-0.67414,0.0796,-0.02361,-1.7483,-1.96393
"32","2018_Q4",68.1484126984127,"Down",170779000,-91446000,79333000,-47378000,-42262000,-5116000,31955000,-176000,117000,-293000,31779000,31779000,-8009000,23770000,23770000,23770000,23770000,129277000,104277000,80877000,80877000,77299000,1012000,1012000,288465000,54152000,54934000,11184000,12716000,12829000,18205000,109086000,397551000,77466000,32978000,11551000,32937000,14780000,14780000,92246000,23245000,3788000,3788000,1775000,17682000,23245000,115491000,74732000,-2646000,209169000,805000,282060000,282060000,397551000,23770000,3219000,3562000,53845000,84396000,-3729000,-28729000,-1.16415321826935e-10,0,-1187000,54480000,54480000,-1269000,53211000,35174000,0,93299000,0.46454,0.18711,0.13919,0.08427,0.05979,3.92507000000001,3.12713,0.40946,0,2.3887,2.37676,17.16199,28.34489,9.37584,0.08174,0.30559,-3.67536,-4.04560000000003
"33","2019_Q1",62.3834426229508,"Down",91132000,-51611000,39521000,-41494000,-36405000,-5089000,-1973000,531000,640000,-109000,-1442000,-1442000,-3514000,-4956000,-4956000,-4956000,-4956000,150591000,121877000,40866000,40866000,88864000,5373000,5373000,285694000,55934000,54308000,11199000,12341000,11748000,19020000,110242000,395936000,80218000,34160000,7739000,38319000,12566000,12566000,92784000,23955000,1945000,1945000,1715000,20295000,23955000,116739000,75528000,-2646000,202828000,3487000,279197000,279197000,395936000,-4956000,3488000,2118000,25682000,26332000,-4498000,-8212000,-68000,0,-1103000,17017000,17017000,583000,17600000,1515000,0,26213000,0.43367,-0.02165,-0.05438,-0.01775,-0.01252,-5.28914,3.07913,0.41812,0,-0.49799,-0.49422,9.15715,28.05436,2.63394,-0.01244,0.08647,-99.4,76.3259
"34","2019_Q2",73.6547619047619,"Up",104440000,-60121000,44319000,-38341000,-33080000,-5261000,5978000,-1647000,503000,-2150000,4331000,4331000,-810000,3521000.00000001,3521000.00000001,3521000.00000001,3521000.00000001,104214000,72076000,55558000,55558000,116278000,6008000,6008000,282058000,56650000,52406000,11164000,12047000,11678000,17517000,109056000,391114000,77794000,41820000,6299000,29675000,11300000,11300000,89094000,22453000,1913000,1913000,1672000,18868000,22453000,111547000,74471000,-1761000,204965000,1892000,279567000,279567000,391114000,3521000.00000001,3349000,613000,-46678000,-39195000,-4081000,-7505000,-707000,-707000,-2091000,-48791000,-48791000,-1010000,-49801000,9327000,-4.54747350886464e-13,-40622000,0.42435,0.05724,0.03371,0.01259,0.009,-11.53706,3.16585,0.399,0,0.35334,0.35182,10.48068,28.05489,-4.07647,0.01624,-0.1345,-11.17337,-17.43292
"35","2019_Q3",60.1878125,"Down",177707000,-98578000,79129000,-51285000,-45694000,-5591000,27844000,2176000,281000,1895000,30020000,30020000,-8097000,21923000,21923000,21923000,21923000,68205000,68205000,124750000,124750000,116231000,7087000,7087000,316273000,57503000,54217000,11176000,11781000,11509000,19751000,111720000,427993000,88668000,42391000,13016000,33261000,13917000,13917000,102585000,24707000,1947000,1947000,1669000,21091000,24707000,127292000,75122000,-1761000,225491000,1849000,300701000,300701000,427993000,21923000,3493000,598000,-56700000,-30686000,-4050000,28088000,78000,-1000,-1312000,-3910000,-3910000,39000,-3871000,31337000,0,-21316000,0.44528,0.15668,0.12337,0.07291,0.05122,-0.97231,3.08303,0.42332,0,2.19208,2.18749,17.76892,30.06709,-2.13139,0.07164,-0.06551,-2.1765,-2.44954
"36","2019_Q4",62.8528125,"Up",176253000,-96528000,79725000,-51696000,-46363000,-5333000,28029000,863000,370000,493000,28892000,28892000,-6826000,22066000,22066000,22066000,22066000,148968000,148968000,82860000,82860000,95833000,5519000,5519000,333180000,58143000,54235000,11195000,11538000,11198000,20304000,112378000,445558000,82784000,37190000,11318000,34276000,14220000,14220000,97004000,25582000,1964000,1964000,1700000,21918000,25582000,122586000,75696000,-1761000,246164000,2873000,322972000,322972000,445558000,22066000,3535000,842000,59058000,85501000,-3840000,-3840000,0,0,-1391000,80270000,80270000,493000,80763000,31564000,-2.8421709430404e-14,93608000,0.45233,0.15903,0.1252,0.06832,0.04952,4.24218,3.4347,0.37956,0,2.20506,2.19934,17.61297,32.27461,9.35425,0.0673,0.26856,-4.71955,-5.31478
"37","2020_Q1",65.6972580645161,"Up",104019000,-57436000,46583000,-44660000,-38919000,-5741000,1923000,1341000,783000,558000,3264000,3264000,639000,3903000,3903000,3903000,3903000,172382000,172382000,44508000,44508000,94298000,11340000,11340000,322528000,59499000,54417000,11186000,11374000,11449000,20408000,113916000,436444000,59037000,30392000,7512000,21133000,28829000,28829000,87866000,24044000,942000,942000,1638000,2372000,24044000,111910000,76360000,-1761000,248377000,1558000,324534000,324534000,436444000,3903000,3587000,2578000,20156000,30224000,-4754000,-4754000,-79000,0,-1392000,24078000,24078000,-664000,23414000,5510000,0,20273000,0.44783,0.01849,0.03752,0.01203,0.00894,5.19421,3.67068,0.34483,0,0.39018,0.38948,10.39878,32.44367,2.02669,0.01519,0.05816,-31.2853,-89.64223
"38","2020_Q2",69.0098412698413,"Up",128054000,-74442000,53612000,-46811000,-41280000,-5531000,6801000,1788000,620000,1168000,8589000,8589000,-2159000,6430000,6430000,6430000,6430000,138257000,138257000,78249000,78249000,103885000,9735000,9735000,330126000,59629000,96368000,11193000,11128000,11456000,62591000,155997000,486123000,67390000,35384000,9598000,22408000,27871000,27871000,95261000,60623000,1001000,1001000,1657000,36956000,60623000,155884000,77027000,-2221000,253114000,2319000,330239000,330239000,486123000,6430000,3432000,674000,-39624000,-29088000,-3307000,-3307000,-460000,-460000,-2149000,-34544000,-34544000,419000,-34125000,10233000,0,-30539000,0.41867,0.05311,0.05021,0.01947,0.01323,-4.74946,3.46549,0.47203,0,0.64223,0.6405,12.79005,32.98432,-3.05024,0.02077,-0.07813,-13.5109,-20.32892
"39","2020_Q3",83.628125,"Up",163084000,-87952000,75132000,-43338000,-37896000,-5442000,31794000,-3417000,449000,-3866000,28377000,28377000,-7990000,20387000,20387000,20387000,20387000,131256000,131256000,106629000,106629000,107680000,7777000,7777000,353342000,60866000,90096000,11135000,10860000,11513000,56588000,150962000,504304000,89066000,36349000,13381000,39336000,13557000,13557000,102623000,54579000,1021000,1021000,1598000,35410000,54579000,157202000,76741000,-2221000,271808000,774000,347102000,347102000,504304000,20387000,3364000,-407000,-23247000,97000,-4455000,-4455000,0,0,-1693000,-6051000,-6051000,-950000,-7001000,35158000,0,15446000,0.4607,0.19495,0.12501,0.05873,0.04043,0.75764,3.44311,0.4529,0,2.03139,2.02755,16.2499,34.58569,1.53906,0.05497,0.03845,-3.73332,-4.12833
"40","2020_Q4",88.17828125,"Up",138390000,-75828000,62562000,-49633000,-42730000,-6903000,12929000,2628000,135000,2493000,15557000,15557000,-2688000,12869000,12869000,12869000,12869000,181445000,181445000,82577000,82577000,94218000,7641000,7641000,365881000,61373000,90355000,11163000,9196000,11482000,58514000,151728000,517609000,84526000,31026000,16032000,37468000,14273000,14273000,98799000,57276000,1042000,1042000,1642000,35067000,57276000,156075000,78284000,-2221000,282980000,2491000,361534000,361534000,517609000,12869000,4693000,1635000,35354000,54551000,-3578000,-3578000,0,-5.82076609134674e-11,-1570000,49403000,49403000,786000,50189000,17622000,0,52086000,0.45207,0.09342,0.09299,0.0356,0.02486,4.0474,3.70329,0.4317,-4.13590306276514e-25,1.28152,1.27783,13.78112,36.00219,5.18682,0.03478,0.12437,-10.2965,-14.03395
"41","2021_Q1",122.24,"Up",164681000,-90994000,73687000,-54141000,-47396000,-6745000,19546000,1633000,66000,1567000,21179000,21179000,-5632000,15547000,15547000,15547000,15547000,212437000,212437000,67292000,67292000,97437000,11372000,11372000,388538000,63037000,94451000,11184000,9052000,10679000,63536000,157488000,546026000,87671000,37327000,6681000,43663000,17936000,17936000,105607000,62319000,853000,853000,1418000,38463000,62319000,167926000,79172000,-2220000,296431000,4717000,378100000,378100000,546026000,15547000,3437000,4311000,12638000,35933000,-4247000,-4247000,0,0,-1695000,29991000,29991000,1001000,30992000,22983000,0,37006000,0.44745,0.11869,0.09441,0.04112,0.02847,2.38027,3.67909,0.44413,0,1.54758,1.54068,16.39269,37.63687,3.68366,0.03915,0.08402,-9.24322,-10.86857
"42","2021_Q2",130.283968253968,"Up",165667000,-90637000,75030000,-51473000,-45424000,-6049000,23557000,2454000,50000,2404000,26011000,26011000,-6164000,19847000,19847000,19847000,19847000,195923000,195923000,97386000,97386000,114849000,9098000,9098000,417256000,63657000,96268000,11219000,8911000,10850000,65288000,159925000,577181000,81768000,44908000,10724000,26136000,31520000,31520000,113288000,65281000,801000,801000,1477000,37970000,65281000,178569000,79883000,-2715000,314184000,7260000,398612000,398612000,577181000,19847000,3493000,572000,-35150000,-11238000,-4388000,-4388000,-495000,-495000,-2589000,-18215000,-18215000,1701000,-16514000,27050000,6.93889390390723e-18,-6324000,0.4529,0.14219,0.1198,0.04979,0.03439,-0.31864,3.68314,0.44798,0,1.97443,1.9668,16.481,39.65499,-0.62913,0.0473,-0.01363,-7.24299,-8.31698
"43","2021_Q3",111.26671875,"Down",206156000,-112902000,93254000,-57218000,-50379000,-6839000,36036000,1274000,45000,1229000,37310000,37310000,-9476000,27834000,27834000,27834000,27834000,186921000,186921000,130139000,130139000,124538000,9171000,9171000,450769000,65749000,102462000,11231000,8753000,11334000,71144000,168211000,618980000,108045000,50609000,11277000,46159000,15458000,15458000,123503000,71741000,747000,747000,1384000,43388000,71741000,195244000,80691000,-2715000,339911000,5849000,423736000,423736000,618980000,27834000,3258000,396000,-32205000,-717000,-5434000,-5434000,0,0,-2101000,-8252000,-8252000,-750000,-9002000,39294000,0,11131000,0.45235,0.1748,0.13501,0.06569,0.04497,0.39991,3.64986,0.46077,0,2.76241,2.75284,20.4601,42.05399,1.1047,0.06042,0.02247,-4.75699,-5.18706
"44","2021_Q4",102.748125,"Down",213568000,-116057000,97511000,-59412000,-53250000,-6162000,38099000,975000,41000,934000,39074000,39074000,-10300000,28774000,28774000,28774000,28774000,249016000,249016000,94750000,94750000,130742000,12056000,12056000,486564000,68296000,104535000,11242000,8699000,11526000,73068000,172831000,659395000,118042000,54991000,12641000,50410000,14673000,14673000,132715000,74356000,954000,954000,1411000,44110000,74356000,207071000,81818000,-2790000,366582000,6714000,452324000,452324000,659395000,28774000,3264000,807000,36721000,69566000,-5646000,-5646000,-5.82076609134674e-11,0,-2102000,61818000,61818000,277000,62095000,41363000,0,82738000,0.45658,0.17839,0.13473,0.06361,0.04364,2.87544,3.66623,0.45779,1.61558713389263e-27,2.8591,2.84863,21.22099,44.94475,8.22118,0.05862,0.15709,-6.02026,-6.53602
"45","2022_Q1",82.5106451612903,"Down",166260000,-97930000,68330000,-54739000,-48089000,-6650000,13591000,-3064000,85000,-3149000,10527000,10527000,-3601000,6926000,6926000,6926000,6926000,240448000,240448000,71321000,71321000,166615000,12880000,12880000,491264000,71510000,111513000,11221000,8633000,13129000,78530000,183023000,674287000,120580000,56744000,9436000,54400000,16990000,16990000,137570000,78212000,1389000,1275766.22268699,1599000,47339000,78212000,215782000,83408000,-2790000,370501000,7386000,458505000,458505000,674287000,6926000,3386000,958000,-10563000,707000,-5913000,-5913000,0,0,-2241000,-7447000,-7447000,-1121000,-8568000,16977000,0,4102000,0.41098,0.08175,0.04166,0.01511,0.01027,0.59226,3.57101,0.47062,0,0.68663,0.68331,16.4826,45.45504,0.40666,0.01682,0.00764,-14.16316,-17.69171
"46","2022_Q2",68.0714516129032,"Down",153524000,-92893000,60631000,-46871000,-40462000,-6409000,13760000,828999.999999999,55000,774000.000000001,14589000,14589000,-3733000,10856000,10856000,10856000,10856000,167473000,167473000,86689000,86689000,217431000,14815000,14815000,486408000,74064000,111882000,11217000,8570000,13187000,78908000,185946000,672354000,114252000,59241000,10366000,44645000,13750000,13750000,128002000,77739000,1511000,1511000,1627000,44764000,77739000,205741000,84379000,-3097000,378352000,6979000,466613000,466613000,672354000,10856000,3492000,1421000,-78542000,-62773000,-6244000,-6244000,-461000,-461000,-3466000,-72483000,-72483000,-492000,-72975000,17252000,0,-63801000,0.39493,0.08963,0.07071,0.02327,0.01615,-5.87703,3.8,0.44092,0,1.07624,1.07103,15.21999,46.25885,-6.32507,0.02546,-0.11721,-9.70745,-12.171
"47","2022_Q3",61.82734375,"Down",189623000,-121038000,68585000,-53156000,-45940000,-7216000,15429000,-2219000,53000,-2272000,13210000,13210000,-3310000,9900000,9900000,9900000,9900000,113186000,113186000,119517000,119517000,235220000,11232000,11232000,479155000,80155000,109479000,11235000,8504000,13142000,76598000,189634000,668789000,103181000,56720000,4027000,42434000,15928000,15928000,119109000,75094000,1482000,1482000,1653000,44169000,75094000,194203000,85489000,-3295000,385229000,7163000,474586000,474586000,668789000,9900000,3422000,676000,-55873000,-41875000,-9478000,-9478000,-48000,-48000,-3062000,-54415000,-54415000,128000,-54287000,18851000,0,-43190000,0.36169,0.08137,0.05221,0.02086,0.0148,-4.36263,4.02283,0.40921,0,0.98049,0.97652,18.78013,47.00267,-4.27751,0.02349,-0.07857,-6.00424,-7.33593
