"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"24","2016_Q1",122.381803278689,"Down",0,-1.19209289550781e-07,0,0,-1.49011611938477e-08,1.49011611938477e-08,0,0,0,0,2.98023223876953e-08,0,0,0,-1.49011611938477e-08,-1.49011611938477e-08,-1.49011611938477e-08,-1.49011611938477e-08,417800000,417800000,1.189e+09,1.189e+09,898700000,286100000,286100000,2791600000,886200000,15671800000,5558300000,1.6558e+10,19349600000,1366400000,555800000,62700000,747900000,1060500000,125300000,125300000,2552200000,4971600000,4971600000,1.719e+09,1372700000,346300000,6690600000,9242800000,8142600000,8142600000,1980100000,-15299999.9999999,10107400000,10106800000,19349600000,1.49011611938477e-08,0,-5.96046447753906e-08,2.98023223876953e-08,0,5.96046447753906e-08,0,0,5.96046447753906e-08,-1.49011611938477e-08,1.19209289550781e-07,-7.45058059692383e-09,7.45058059692383e-09,7.45058059692383e-09,4.76837158203125e-07,0,0,1.49011611938477e-08,0,0,0,7.45058059692383e-09,-9.5367431640625e-07,1.19209289550781e-07,6032100000,0,1.13207367872622,-1.6725571842021,0.904596893111694,3.12250225675825e-17,-6.93889390390723e-18,-9.98463208664633,1.0938,0.91451,0.31174,-1.11022302462516e-16,-1.11022302462516e-16,-6.10622663543836e-16,69.41896,-8.88178419700125e-16,-6.50521303491303e-18,-5.20417042793042e-18,0,-0.156075731185363,23.22725864426,39.1272566884307
"25","2016_Q2",92.80890625,"Down",1347300000,-814200000,533100000,-355400000,-202600000,-45300000,177700000,-53700000,-51200000,-2500000,1.24e+08,-614100000,-490100000,-39100000,-529200000,-529200000,-529200000,-529200000,588900000,588900000,1184200000,1184200000,868800000,332600000,332600000,2974500000,896300000,15855400000,225300000,16751700000,19726200000,1377800000,559900000,179400000,638500000,619200000,92200000,92200000,2089200000,5902700000,5902700000,1887600000,1.487e+09,400600000,7790300000,9879500000,8160800000,8160800000,1549800000,136700000,9847300000,9846700000,19726200000,-529200000,109700000,446500000,-178300000,6.09e+08,71500000,17300000,4400000,-3200000,5.3e+07,98500000,-34700000,-34700000,-34700000,-368700000,-20800000,460100000,-1900000,437400000,167200000,167200000,3900000,171100000,287400000,6521900000,363300000,0.39568,0.13189,-0.392790000000001,-0.05374,-0.02683,-0.686509999999998,1.42375,1.00333,0.33062,-3.69553,-3.69553,9.40852,68.76606,2.53701,0.14525,-0.02785,0.0199,-0.0392999999999998,20.6437,33.38773
"26","2016_Q3",82.69875,"Down",1340500000,-7.94e+08,546500000,-345300000,-194100000,-46900000,201200000,-86200000,-57400000,-28800000,1.15e+08,-927300000,-812300000,2.78e+08,-534300000,-534300000,-534300000,-534300000,641800000,641800000,1199100000,1199100000,894600000,297300000,297300000,3032800000,888600000,15612200000,205200000,16500800000,19533600000,1236500000,514100000,72500000,649900000,758100000,98400000,98400000,2.093e+09,5652500000,5652500000,1888400000,1473700000,414700000,7540900000,9633900000,8.144e+09,8.144e+09,1.725e+09,31300000,9900300000,9899700000,19533600000,-534300000,1.14e+08,793600000,-144500000,944300000,-242100000,23900000,3e+05,-43800000,-222500000,131200000,-22400000,-22400000,-22400000,60800000,-20800000,-102400000,-8700000,-131900000,60100000,60100000,-7200000,52900000.0000001,315200000,6410600000,-227300000,0.40768,0.15009,-0.39858,-0.05397,-0.02735,0.42542,1.44902,0.97315,0.32818,-3.73115,-3.73115,9.36103,69.13617,-1.58729,0.14525,-0.02822,-0.01249,-0.03893,18.30203,28.67197
"27","2016_Q4",77.9728571428571,"Down",1261500000,-7.77e+08,484500000,-331800000,-176100000,-50300000,152700000,-55700000,-54600000,-1100000,9.7e+07,-1.999e+09,-1.902e+09,311800000,-1590200000,-1590200000,-1590200000,-1590200000,362700000,362700000,1129200000,1129200000,884600000,250600000,250600000,2627100000,881300000,13959200000,206300000,14840500000,17467600000,1168300000,507900000,76200000,584200000,2.65e+08,106800000,106800000,1540100000,5.638e+09,5.638e+09,1618200000,1169300000,448900000,7256200000,8796300000,8151400000,8151400000,4.49e+08,71500000,8671900000,8671300000,17467600000,-1590200000,114700000,1651400000,-351300000,1.997e+09,43100000,71800000,20400000,-10700000,-38400000,2.19e+08,-27500000,-27500000,-27500000,38400000,-20800000,-516800000,-2e+06,-539600000,-282200000,-282200000,3100000,-279100000,267400000,5.903e+09,-28800000,0.38407,0.12105,-1.26056,-0.18339,-0.09104,0.0181100000000002,1.7058,1.01442,0.33794,-11.10475,-11.10475,8.80936,60.55796,-0.20112,0.14525,-0.09692,-0.00178,-0.01308,20.71915,36.28225
"28","2017_Q1",68.4717741935484,"Down",1331300000,-843600000,487700000,-3.57e+08,-180500000,-41500000,130700000,-43700000,-53400000,9700000,8.7e+07,-1730900000,-1643900000,284800000,-1359100000,-1359100000,-1359100000,-1359100000,622300000,622300000,1.176e+09,1.176e+09,7.95e+08,2.12e+08,2.12e+08,2805300000,870100000,10194700000,2561900000,11064800000,13870100000,1147700000,471700000,32400000,643600000,572800000,115800000,115800000,1836300000,5224500000,5224500000,851700000,389900000,461800000,6076200000,7912500000,8.135e+09,8.135e+09,-2095100000,-81800000,5958100000,5957600000,13870100000,-1359100000,118600000,1420700000,-316800000,1729800000,2.6e+07,-113600000,75600000,-1.8e+07,8.2e+07,206200000,-21600000,-21600000,-21600000,94500000,-20800000,-12300000,-1500000,-34600000,266100000,266100000,-6500000,259600000,249300000,5797300000,-31100000,0.36633,0.09817,-1.02088,-0.22813,-0.09799,0.02288,1.52769,1.32814,0.41797,-9.46448,-9.46448,9.27089,41.49095,-0.21657,0.14485,-0.10616,-0.00247,-0.0153,20.75812,39.59449
"29","2017_Q2",64.72,"Down",1.194e+09,-729600000,464400000,-2.85e+08,-176100000,-39800000,179400000,-49800000,-53300000,3500000,129600000,-33800000,95800000,-24200000,71600000,71600000,71600000,71600000,3077800000,3077800000,1050200000,1050200000,800200000,185200000,185200000,5113400000,875300000,7990700000,394900000,8.866e+09,13979400000,1163800000,476300000,57700000,629800000,1175400000,1.46e+08,1.46e+08,2485200000,4618900000,4618900000,8.08e+08,349400000,458600000,5426900000,7912100000,8118100000,8118100000,-2.024e+09,-26300000,6067800000,6067300000,13979400000,71600000,109400000,-13600000,-4.6e+07,26300000,27100000,50100000,5e+05,2500000,-2.6e+07,194500000,-2.2e+07,-2.2e+07,-2.2e+07,2287800000,-2.3e+07,-13300000,-9e+05,-37200000,2445100000,2445100000,10400000,2455500000,288800000,5794300000,318100000,0.38894,0.15025,0.0599700000000001,0.0118,0.00512,4.44274,2.05754,1.30406,0.41449,0.4993,0.49861,8.32636,42.31381,2.21827,0.16039,0.00747,0.02511,0.32123,9.40616,15.14214
"30","2017_Q3",70.3766666666667,"Up",1237900000,-733400000,504500000,-316200000,-177200000,-42500000,188300000,-51100000,-45100000,-6e+06,137200000,-213400000,-76200000,6600000,-69600000,-69600000,-69600000,-69600000,760800000,760800000,1065900000,1065900000,818100000,176500000,176500000,2821300000,876900000,8.094e+09,435900000,8970900000,11792200000,1091800000,480800000,52728038.6815587,6.11e+08,406900000,1.31e+08,1.31e+08,1629700000,3267900000,3267900000,813400000,368400000,4.45e+08,4081300000,5.711e+09,8044700000,8044700000,-2.094e+09,130500000,6081200000,6081200000,11792200000,-69599999.9999999,111400000,235100000,37900000,188500000,-186100000,1700000,-5100000,-8500000,-174200000,90800000,-15200000,-15200000,-15200000,-5800000,-2.3e+07,-2215800000,-114300000,-2411300000,-2326300000,-2326300000,9300000,-2.317e+09,299700000,3674800000,91800000,0.40755,0.15211,-0.05622,-0.01145,-0.00590000000000002,-1.31897,1.73118,0.93912,0.31163,-0.48603,-0.484679999999999,8.64455,42.46648,0.64106,0.16061,-0.00440999999999999,0.00869,-0.33046,9.72306,15.47531
"31","2017_Q4",77.82,"Up",1231200000,-733400000,497800000,-323800000,-1.65e+08,-38500000,1.74e+08,-31100000,-34700000,3600000,142900000,-14300000,128600000,-84200000,44400000,44400000,44400000,44400000,775900000,775900000,1076600000,1076600000,821900000,297400000,297400000,2971800000,822300000,8048500000,423300000,8870800000,11842600000,1.182e+09,477100000,61500000,643400000,417100000,133400000,133400000,1732500000,3275700000,3275700000,792600000,357700000,434900000,4068300000,5800800000,7900100000,7900100000,-2049600000,191200000,6041700000,6041800000,11842600000,44400000,112300000,6200000,-8200000,1100000,33800000,-13400000,-23700000,0,70900000,196700000,-1.8e+07,-1.8e+07,-1.8e+07,-9900000,-22700000,-14600000,-1900000,-172500000,14300000,14300000,8e+05,15100000,286300000,3692800000,386300000,0.40432,0.14133,0.03606,0.00735,0.00375,8.70045,1.71532,0.96011,0.31182,0.31512,0.31445,8.73811,42.87935,2.74166,0.16111,0.00637,0.0367,0.51126,10.18826,16.76379
"32","2018_Q1",79.2244262295082,"Up",1283100000,-770300000,512800000,-347800000,-167100000,-46900000,1.65e+08,-2.6e+07,-3.5e+07,9e+06,1.39e+08,-7100000,131900000,-58700000,73200000,73200000,73200000,73200000,678700000,678700000,1130800000,1130800000,806900000,203200000,203200000,2819600000,833100000,7976100000,409500000,8809200000,11628800000,1216800000,450200000,116100000,650500000,70400000.0000001,148800000,148800000,1.436e+09,3270800000,3270800000,751400000,321900000,429500000,4022200000,5458200000,7892900000,7892900000,-1975500000,253100000,6170500000,6170600000,11628800000,73200000,111700000,10700000,-32600000,27600000,21300000,-35200000,12300000,-33600000,77800000,216900000,-33400000,-33400000,-33400000,6.6e+07,-22400000,-360500000,-8e+05,-383700000,-100800000,-100800000,3600000,-97200000,276700000,3341200000,323300000,0.39966,0.12859,0.05705,0.01186,0.00629,4.41667,1.96351,0.88455,0.28732,0.51658,0.51549,9.05505,43.54622,2.28158,0.15808,0.00931,0.0315,0.30601,9.62233,16.13636
"33","2018_Q2",70.16671875,"Down",1.217e+09,-724300000,492700000,-334900000,-1.86e+08,-38400000,157800000,-35700000,-31400000,-4300000,122100000,-11600000,110500000,-29700000,80800000,80800000,80800000,80800000,687300000,687300000,1123400000,1123400000,843800000,246200000,246200000,2900700000,829300000,7909600000,330100000,8738900000,11639600000,1221500000,512200000,65700000,643600000,5.8e+07,1.13e+08,1.13e+08,1392500000,3280600000,3280600000,760900000,3.32e+08,428900000,4041500000,5.434e+09,7769500000,7769500000,-1888400000,324300000,6205400000,6205600000,11639600000,80800000,109500000,27100000,-7200000,21600000,-4.5e+07,2600000,-43700000,57500000,-61400000,172400000,-13400000,-13400000,-13400000,-2100000,-26700000,-19700000,-8100000,-162600000,7700000,7700000,9e+05,8600000,267300000,3338600000,238600000,0.40485,0.12966,0.06639,0.01302,0.00694,2.95297,2.08309,0.87566,0.28683,0.57386,0.57143,8.64347,44.07244,1.6946,0.18963,0.01043,0.02315,0.33045,9.91882,16.80165
"34","2018_Q3",68.5003174603175,"Down",1186400000,-715400000,4.71e+08,-3.71e+08,-1.79e+08,-91900000,1e+08,-39900000,-32100000,-7800000,60100000,-4800000,55300000,-19100000,36200000,36200000,36200000,36200000,526500000,526500000,1129800000,1129800000,883800000,238400000,238400000,2778500000,811900000,7635200000,341100000,8447100000,11225600000,1.236e+09,533400000,57900000,644700000,197700000,103900000,103900000,1537600000,3085300000,3085300000,705400000,290800000,414600000,3790700000,5328300000,7594300000,7594300000,-1852200000,1.55e+08,5897100000,5897300000,11225600000,36200000,108300000,-1200000.00000001,-7e+06,-3800000,-6.1e+07,-26900000,-55600000,31700000,-10200000,82300000,-19900000,-19900000,-19900000,-27100000,-26100000,-14799999.9999999,-1800000,-199600000,-144400000,-144400000,-16400000,-160800000,208300000,3.283e+09,146500000,0.397,0.08429,0.03051,0.00614,0.00322,4.04696,1.80704,0.90352,0.29246,0.26194,0.26118,8.58466,42.67077,1.06006,0.18886,0.0063,0.01482,0.72099,13.23332,27.565
"35","2018_Q4",58.0811111111111,"Down",1133100000,-708300000,424800000,-306900000,-157200000,-43700000,117900000,-31900000,-31700000,-2e+05,8.6e+07,-164900000,-78900000,11500000,-67400000,-67400000,-67400000,-67400000,444200000,444200000,1079800000,1079800000,885300000,359500000,359500000,2768800000,820200000,7353900000,351800000,8174100000,10942900000,1170100000,503600000,5.6e+07,610500000,194200000,129200000,129200000,1493500000,3.071e+09,3.071e+09,718400000,294700000,423700000,3789400000,5282900000,7436300000,7436300000,-1919700000,143200000,5659800000,5.66e+09,10942900000,-67400000,106200000,173300000,5800000,163200000,-68100000,44500000,-2e+06,-44700000,-65900000,1.44e+08,-23500000,-23500000,-23500000,-51500000,-25900000,-13200000,-1300000,-175400000,-82900000,-82900000,6e+05,-82300000,224100000,3265200000,1.21e+08,0.3749,0.10405,-0.05948,-0.01191,-0.00616,-1.79525,1.8539,0.93337,0.29839,-0.49377,-0.49197,8.3011,41.46374,0.88645,0.18974,-0.0043,0.01255,-0.38427,12.58813,23.92706
"36","2019_Q1",42.964262295082,"Down",1195200000,-752200000,4.43e+08,-336800000,-167700000,-44600000,106200000,-26600000,-32800000,6200000,79600000,124100000,203700000,-122300000,81400000,81400000,81400000,81400000,551100000,551100000,1073100000,1073100000,8.78e+08,4e+08,4e+08,2902200000,829100000,7252100000,362900000,8081200000,10983400000,1215100000,474900000,96500000,643700000,190200000,132100000,132100000,1537400000,3052200000,3052200000,725700000,282300000,443400000,3777900000,5315300000,7421700000,7421700000,-1838300000,84600000,5.668e+09,5668100000,10983400000,81400000,99600000,-141400000,-9500000,-1.43e+08,154700000,800000.000000015,2700000,-15700000,166900000,194300000,-45800000,-45800000,-45800000,-46100000,-26200000,-8199999.99999999,1e+05,-34300000,113900000,113900000,-7e+06,106900000,205800000,3242400000,4.37e+08,0.37065,0.08886,0.06811,0.01436,0.00741,5.36855,1.88773,0.93776,0.29521,0.59985,0.59765,8.80766,41.76861,3.22034,0.19307,0.01117,0.04535,0.32187,13.07726,25.34181
"37","2019_Q2",43.9028571428571,"Up",1174500000,-725700000,448800000,-333100000,-171900000,-40200000,115700000,-31800000,-28600000,-3200000,83900000,-3e+06,80900000,-1.7e+07,63900000,63900000,63900000,63900000,837900000,837900000,1118700000,1118700000,912900000,139800000,139800000,3009300000,821100000,7289100000,529500000,8110200000,11119500000,1246700000,549200000,85900000,611600000,467900000,117300000,117300000,1831900000,2749900000,2749900000,836900000,282400000,554500000,3586800000,5418700000,7409400000,7409400000,-1777800000,6.9e+07,5700600000,5700800000,11119500000,63900000,96600000,30800000,3900000,14500000,-96800000,-48500000,-37500000,75400000,-86200000,94500000,-21100000,-21100000,-21100000,230100000,-25900000,-12600000,-3100000,-41600000,2.83e+08,2.83e+08,3800000,286800000,212300000,3217800000,111400000,0.38212,0.09851,0.05441,0.01121,0.00575,1.74335,1.64272,0.95052,0.28938,0.4702,0.46916,8.64238,41.94702,0.81972,0.19058,0.00921,0.01142,0.40532,11.21008,20.56958
"38","2019_Q3",47.17875,"Up",1.149e+09,-718200000,430800000,-335800000,-163900000,-43800000,9.5e+07,-33500000,-31200000,-2300000,61500000,-34500000,2.7e+07,-1.8e+07,8999999.99999999,9000000.00000001,9000000.00000001,9000000.00000001,1055700000,1055700000,1117100000,1117100000,940500000,322100000,322100000,3435400000,824300000,7.169e+09,519200000,7993300000,11428700000,1265700000,513700000,104100000,647900000,398800000,126300000,126300000,1790800000,3084400000,3084400000,827100000,280200000,546900000,3911500000,5702300000,7395500000,7395500000,-1768800000,99500000,5726200000,5726400000,11428700000,8999999.99999999,94900000,67300000,5300000,46400000,-107400000,-6800000,-40800000,-34200000,-25600000,63800000,-33600000,-33600000,-33600000,-68100000,-28900000,251200000,-2500000,219800000,215500000,215500000,2300000,217800000,189900000,3483200000,66900000,0.37493,0.08268,0.00783,0.00157,0.000789999999999999,7.43333,1.91836,0.99579,0.30478,0.0661299999999999,0.0659799999999999,8.44232,42.07348,0.49155,0.21234,0.00378,0.00667,3.21111,12.78304,25.55263
"39","2019_Q4",48.6503125,"Up",1191100000,-778200000,412900000,-342300000,-157500000,-4.4e+07,70600000,40500000,-30600000,71100000,111100000,-13800000,97300000,-5100000,92200000,92200000,92200000,92200000,398500000,398500000,1102200000,1102200000,990500000,248600000,248600000,2739800000,871400000,7699600000,527900000,8.571e+09,11310800000,1174300000,524900000,77500000,571900000,3100000,147300000,147300000,1324700000,3361500000,3361500000,865500000,314300000,551200000,4.227e+09,5551700000,7378800000,7378800000,-1676600000,56600000,5758800000,5759100000,11310800000,92200000,1.02e+08,-33700000,9e+05,-47500000,-20500000,43200000,0,-7500000,-56200000,1.4e+08,-35600000,-35600000,-35600000,-651800000,-28800000,-113800000,-2300000,-144900000,-656700000,-656700000,-5e+05,-657200000,172600000,3364600000,121600000,0.34665,0.05927,0.07741,0.01601,0.00815,1.31887,2.06824,0.96399,0.29747,0.67794,0.67496,8.75809,42.34412,0.89412,0.21176,0.01211,0.01217,0.31236,17.18482,42.01275
"40","2020_Q1",50.1108064516129,"Up",355300000,-214100000,141200000,-208100000,-127400000,8800000,-66900000,-23800000,-27100000,3300000,-90700000,33500000,-57200000,50800000,-6400000.00000003,-1.9e+07,-1.9e+07,-1.9e+07,354300000,354300000,1243200000,1243200000,967300000,165800000,165800000,2730600000,902800000,7.668e+09,555900000,8570800000,11301400000,1.176e+09,520200000,32200000,623600000,3400000,156400000,156400000,1335800000,3365800000,3365800000,795700000,280600000,515100000,4161500000,5497300000,7359900000,7359900000,-1695500000,139400000,5803800000,5804100000,11301400000,-1.9e+07,1.03e+08,94300000,-5.4e+07,189200000,-88800000,-128600000,11300000,-16700000,45200000,89500000,-47400000,-47400000,-47400000,-106300000,-28800000,-3e+05,-2400000,-31499999.9999999,-48300000,-48300000,4100000,-44200000.0000001,36100000,3369200000,-150900000,0.39741,-0.18829,-0.05348,-0.00327,-0.00168,7.94211,2.04417,0.94714,0.29812,-0.13971,-0.13889,2.6125,42.675,-1.10956,0.21176,0.000980000000000003,-0.01514,-1.51579,83.51524,-45.06577
"41","2020_Q2",49.4328571428571,"Down",1083300000,-689600000,393700000,-307300000,-159800000,-27900000,86400000,-30600000,-28900000,-1700000,55800000,1600000,57400000,2e+05,57600000,106400000,106400000,106400000,510400000,510400000,1296700000,1296700000,930800000,308300000,308300000,3046200000,889100000,7465400000,435300000,8354500000,11400700000,1211600000,555800000,26800000,6.29e+08,287800000,135600000,135600000,1.635e+09,3182900000,3182900000,795900000,286300000,509600000,3978800000,5613800000,7339600000,7339600000,-1589100000,35900000,5786400000,5786900000,11400700000,106400000,93100000,6600000,6700000,-16300000,-34300000,-67600000,36500000,53800000,-5.7e+07,171800000,-33800000,-33800000,-33800000,-74800000,-30900000,1.02e+08,-6400000,64700000,161700000,161700000,-5600000,156100000,179500000,3470700000,111200000,0.36343,0.07976,0.09822,0.01839,0.00933,1.04511,1.86312,0.97009,0.30443,0.7812,0.77495,7.95374,42.48458,0.81645,0.22687,0.01366,0.01106,0.29041,16.49192,34.26273
"42","2020_Q3",49.34078125,"Down",948700000,-601500000,347200000,-283799999,-139099999,-30400000,63400001,-49300000,-32200000,-17100000,14100001,1400000,15500001,-3e+06,12500001,60600001,60600001,60600001,1456300000,1456300000,1001200000,1001200000,1034700000,311300000,311300000,3803500000,892300000,7432500000,4.99e+08,8324800000,12128300000,1118200000,489100000,2.4e+07,605100000,606500000,1.35e+08,1.35e+08,1859700000,3.536e+09,3.536e+09,821700000,291600000,530100000,4357700000,6217400000,7318200000,7318200000,-1528500000,120700000,5910400000,5910900000,12128300000,60600000,94700000,36800000,5e+06,4.8e+07,98800000,295500000,-75100000,-75400000,-46200000,290900000,-26300000,33800000,33800000,53100001,-3.1e+07,643400000,-10300000,602100000,946100001,946100001,-2e+05,945900001,158100001,4142500000,233600001,0.36597,0.06683,0.06388,0.01025,0.005,3.85479,2.04522,1.05185,0.34156,0.44428,0.44137,6.95528,43.33138,1.71261,0.22727,0.00842,0.02148,0.51155,16.99051,42.36908
"43","2020_Q4",43.86203125,"Down",1.003e+09,-633400000,369600000,-290300001,-152500001,-30400000,79299999,-32300000,-33200000,9e+05,46999999,1400000,48399999,-22100000,26299999,-154600001,-154600001,-154600001,849400000,849400000,1097700000,1097700000,1100700000,350500000,350500000,3398300000,918800000,7258900000,502100000,8177700000,1.1576e+10,1164400000,536400000,20900000,607100000,16500000,155400000,155400000,1336300000,3543600000,3543600000,875700000,313500000,562200000,4419300000,5755600000,7299700000,7299700000,-1683100000,203700000,5820300000,5820400000,1.1576e+10,-154600000,96900000,229500000,1.4e+07,215500000,-108700000,-121500000,-54600000,36800000,30600000,63100000,-44200000,-76003684.8194137,-76003684.8194137,-38600001,-31100000,-591500000,-23900000,-646500000,-622000001,-622000001,15100000,-606900001,176199999,3560100000,45399999,0.36849,0.07906,-0.15414,-0.02656,-0.01336,-0.29366,2.54307,0.98887,0.30754,-1.13426,-1.1211,7.35877,42.70213,0.33309,0.22817,-0.01204,0.00443,-0.20116,15.38422,34.18285
"44","2021_Q1",40.7898360655738,"Down",1053200000,-668800000,384400000,-345100000,-179200000,-3.3e+07,39300000,-31800000,-33400000,1600000,7500000.00000001,-122900000,-115400000,63200000,-52200000,-1.75e+08,-1.75e+08,-1.75e+08,631500000,631500000,593500000,593500000,1059400000,849100000,182200000,3133500000,864600000,7490300000,1865500000,8354900000,11488400000,772200000,451600000,9e+06,311600000,37300000,572500000,152900000,1.382e+09,3527600000,3527600000,923700000,276200000,647500000,4451300000,5833300000,7118200000,7118200000,-1858100000,3.95e+08,5655100000,5655100000,11488400000,-1.75e+08,100100000,210300000,-80200000,290500000,-2.5e+07,62500000.0000001,-77400000,-17900000,7800000,110400000,-66100000,-170400000,-170400000,-127500001,-30900000,-4e+06,-166500000,-201400000,-218500001,-218500001,10600000,-207900001,139400000,3564900000,-14900000,0.36498,0.03731,-0.16616,-0.03095,-0.01523,0.08514,2.26737,1.03151,0.3103,-1.29151,-1.32676,7.77269,41.73506,-0.10996,0.22804,-0.01421,-0.00147,-0.17657,21.04304,74.64122
"45","2021_Q2",42.3957142857143,"Up",1.01e+09,-641600000,368400000,-315300000,-157100000,-31100000,53100000,-34400000,-3.2e+07,-2400000,18700000,-1700000,1.7e+07,-14200000,2800000,38100000,38100000,38100000,470900000,470900000,6.41e+08,6.41e+08,1136100000,2240600000,251500000,4488600000,8.6e+08,5976200000,493300000,6836200000,11324800000,850100000,430300000,17400000,402400000,35800000,560900000,110900000,1446800000,3525300000,3525300000,794700000,261400000,533300000,4.32e+09,5766800000,7101300000,7101300000,-1.82e+09,276700000,5.558e+09,5.558e+09,11324800000,38100000,90400000,1.2e+07,-21900000,33900000,-140300000,-30300000,-83200000,18500000,-45300000,2e+05,-45400000,-45400000,-45400000,-1.14e+08,-32600000,226515224.928148,-10700000,-43300000,-157100000,-157100000,-3900000,-1.61e+08,143500000,3561100000,-2.8e+07,0.36475,0.05257,0.03772,0.00685,0.00336,-0.73491,3.10243,1.03757,0.31445,0.28604,0.28306,7.58258,41.72673,-0.21021,0.24474,0.00713,-0.00282,0.85564,21.53449,58.19586
"46","2021_Q3",42.77109375,"Up",981100000,-632100000,3.49e+08,-307399999,-163900000,-32999999,41600001,-31100000,-31600000,500000.000000001,10500001,-167600000,-157099999,45200000,-111899999,-57699999,-57699999,-57699999,317500000,317500000,620200000,620200000,1115900000,2366600000,277300000,4420200000,833800000,5976300000,550400000,6810100000,11230300000,779900000,402400000,9400000,368100000,630100000,574500000,106200000,1984500000,2925800000,2925800000,808900000,254900000,5.54e+08,3734700000,5719200000,7081700000,7081700000,-1877700000,307100000,5511100000,5511100000,11230300000,-57700000,74900000,188400000,-3499999.99999999,191900000,-287900000,-77900000,-22800000,-4.1e+07,-146200000,-82300000,-2.3e+07,45400000,45400000,-21800000.0000001,-32499999,-5800000,-2800000,-41099999,-145199999,-145199999,699999.999999998,-144499999,116500001,3555900000,-239599999,0.35572,0.0424,-0.05881,-0.01047,-0.00514,4.15251,2.22736,1.03776,0.31663,-0.43318,-0.42868,7.36562,41.37462,-1.7988,0.24399,-0.00255,-0.02426,-0.56326,27.79742,77.84615
"47","2021_Q4",40.61734375,"Down",1042700000,-706300000,336400000,106400000,-1.53e+08,-27600000,442800000,-49400000,-30900000,-18500000,393400000,-4500000,388900000,-442800000,-53900000,-58900000,-58900000,-58900000,2078100000,2078100000,686200000,686200000,1092500000,369100000,355700000,4225900000,842800000,5847200000,543900000,6.69e+09,10915900000,1238600000,405600000,3.53e+08,4.8e+08,629400000,135800000,106600000,2003800000,2920900000,2920900000,808800000,2.43e+08,565800000,3729700000,5733500000,7064800000,7064800000,-1936600000,54200000,5182400000,5182400000,10915900000,-58900000,73500000,-57700000,-3426512.87566336,240135589.028052,386900000,-70970996.373229,13206625.7597031,-32987005.6445786,-152917781.709813,343800000,-4.2e+07,-73245389.6886337,-73245389.6886337,1453500000,-32700001,0,-3600000,-36300001,1760999999,1760999999,-8800000,1752199999,516300000,3550300000,1.304e+09,0.32262,0.42467,-0.05649,-0.01137,-0.0054,-22.13922,2.10894,1.10634,0.32524,-0.4412,-0.4412,7.81049,38.81948,9.76779,0.24494,-0.00275,0.13667,-0.55518,2.85144,3.32474999999999
