"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"33","2019_Q2",26.6185714285714,"Up",223400000,-163300000,60100000,-31400000,-29500000,28700000,-5e+05,-2e+05,-3e+05,28200000,28200000,-4500000,23700000,23700000,23700000,23700000,228500000,228500000,181100000,181100000,88500000,25800000,15900000,523900000,165300000,203600000,58800000,58200000,45100000,368900000,892800000,132900000,7.9e+07,136800000,49200000,74600000,4.7e+07,123800000,260600000,157700000,-11500000,4.9e+08,-4e+06,632200000,632200000,892800000,23700000,7800000,-11500000,2e+07,-18200000,-18200000,-4100000,-5300000,0,-9400000,-7600000,-7600000,-1e+07,-17600000,53100000,0.26902,0.12847,0.10609,0.03749,0.02655,3.82968,0.41221,0.05948,0.63453,0.62969,5.98119,16.92617,0.10977,0.03658,0.173,-6.1115
"34","2019_Q3",28.92265625,"Up",2.64e+08,-193200000,70800000,-51700000,-4.8e+07,19100000,-1500000,-1600000,1e+05,17600000,17600000,-3e+06,14600000,14600000,14600000,14600000,110900000,110900000,229800000,229800000,118300000,32100000,21700000,491100000,187900000,591500000,233900000,275100000,49800000,779400000,1270500000,176900000,105600000,192200000,342300000,92700000,43100000,4.35e+08,627200000,166500000,-11500000,5e+08,-11700000,643300000,643300000,1270500000,14600000,2300000,-19100000,16200000,-9700000,-431300000,-4500000,306700000,-1700000,300500000,-114600000,-114600000,-3e+06,-117600000,357600000,0.26818,0.07235,0.0553,0.0227,0.01149,2.55515,0.97497,0.28146,0.39032,0.38769,7.05778,17.19798,0.1203,0.01747,0.30822,12.91623
"35","2019_Q4",34.771875,"Up",246900000,-182600000,64300000,-38300000,-32800000,2.6e+07,1700000,-3200000,4900000,27700000,27700000,3e+06,30700000,30700000,30700000,30700000,73700000,73700000,211500000,211500000,1.24e+08,37200000,22500000,446400000,189100000,590700000,236800000,267600000,53500000,779800000,1226200000,161200000,88600000,176400000,287700000,8.8e+07,39700000,375700000,552100000,167400000,-11500000,526700000,-8500000,674100000,674100000,1226200000,30700000,7e+05,-15500000,28100000,-8800000,-8800000,-4100000,-54700000,0,-58800000,-39500000,-39500000,2300000,-37200000,302900000,0.26043,0.10531,0.12434,0.04554,0.02504,2.53061,0.81902,0.24702,0.82073,0.81614,6.60062,18.02139,0.10961,0.03268,0.13355,8.81538
"36","2020_Q1",31.2946774193548,"Down",2.66e+08,-195400000,70600000,-37600000,-32600000,3.3e+07,-2900000,-3300000,399999.999999999,30100000,30100000,-7500000,22600000,22600000,22600000,22600000,83200000,83200000,219300000,219300000,116700000,34300000,2e+07,453500000,191900000,586300000,233300000,264900000,53800000,778200000,1231700000,165200000,91900000,180900000,276900000,84200000,47800000,361100000,5.42e+08,169600000,-11500000,545200000,-13600000,689700000,689700000,1231700000,22600000,25700000,2e+07,37700000,-13100000,-12500000,-3600000,-368900000,357600000,-14900000.0000001,10300000,10300000,-8e+05,9500000,292600000,0.26541,0.12406,0.08496,0.03277,0.01835,2.50691,0.78585,0.23756,0.60332,0.59842,7.10097,18.41181,0.0961,0.02457,0.15929,6.34545
"37","2020_Q2",28.9106349206349,"Down",270200000,-194400000,75800000,-37200000,-32400000,38600000,-3e+06,-2900000,-1e+05,35600000,35600000,-7300000,28300000,28300000,28300000,28300000,73800000,73800000,233100000,233100000,1.22e+08,32400000,1.9e+07,461300000,196400000,611200000,2.33e+08,260400000,83700000,807600000,1268900000,159200000,90700000,180800000,267700000,106100000,69700000,373800000,554600000,172100000,-11500000,568900000,-15200000,714300000,714300000,1268900000,28300000,9400000,-18600000,19100000,-13200000,-13200000,-4100000,-11300000,1e+06,-14400000,-8500000,-8500000,-9e+05,-9400000,289300000,0.28053,0.14286,0.10474,0.03962,0.0223,2.55144,0.77642,0.22799,0.75397,0.75132,7.19872,19.03052,0.10923,0.0292,0.14488,5.5829
"38","2020_Q3",27.9540625,"Down",257200000,-188600000,68600000,-37900000,-33200000,30700000,-1700000,-2700000,1e+06,2.9e+07,2.9e+07,-5200000,23800000,23800000,23800000,23800000,95600000,95600000,205300000,205300000,133800000,30700000,18700000,465400000,198100000,619200000,233600000,255800000,95700000,817300000,1282700000,162600000,97100000,184300000,259900000,105900000,69100000,365800000,550100000,173600000,-11500000,588500000,-1.8e+07,732600000,732600000,1282700000,23800000,8700000,16200000,48700000,-13600000,-1.3e+07,-4100000,-33600000,25399999.9999999,-12300000,23400000,23400000,-1600000,21800000,281600000,0.26672,0.11936,0.09253,0.03249,0.01855,2.52523,0.75089,0.21954,0.63319,0.63064,6.84266,19.4904,0.10908,0.02491,0.17227,6.05863
"39","2020_Q4",33.2178125,"Up",285900000,-206600000,79300000,-37800000,-3.3e+07,41500000,2500000,-2400000,4900000,4.4e+07,4.4e+07,-2800000,41200000,41200000,41200000,41200000,79900000,79900000,227900000,227900000,126100000,3e+07,20300000,463900000,1.99e+08,619400000,233200000,2.51e+08,100900000,818400000,1282300000,142500000,88800000,163600000,241900000,103900000,68100000,345800000,509400000,175200000,-11500000,625600000,-16400000,772900000,772900000,1282300000,41200000,23300000,-49700000,14800000,-8100000,-8200000,-4e+06,-49900000,30900000,-2.3e+07,-16400000,-16400000,7e+05,-15700000,2.63e+08,0.27737,0.14516,0.14411,0.05331,0.03213,2.83557,0.65908,0.2051,1.09606,1.09124,7.60593,20.56183,0.10641,0.03966,0.09709,4.41205
"40","2021_Q1",39.9760655737705,"Up",210600000,-151400000,59200000,-22900000,-18200000,36300000,3800000,-2100000,5900000,40100000,40100000,-1e+07,30100000,30100000,30100000,30100000,217300000,217300000,188500000,188500000,1.31e+08,28800000,15900000,565600000,201900000,603100000,231600000,244800000,95300000,8.05e+08,1370600000,1.23e+08,73800000,143800000,336800000,106600000,6.5e+07,443400000,587200000,169900000,-11500000,651900000,-26900000,783400000,783400000,1370600000,30100000,-3.3e+07,12600000,5.8e+07,-9600000,-10100000,-4100000,153200000,-57700000,91400000,139300000,139300000,-1900000,137400000,357600000,0.2811,0.17236,0.14292,0.03842,0.02196,3.93324,0.74955,0.26091,0.8008,0.78762,5.60294,20.84208,0.10908,0.02741,0.13621,3.86501
"41","2021_Q2",45.5273015873016,"Up",190900000,-145800000,45100000,-31300000,-26600000,13800000,1800000,-1600000,3400000,15600000,15600000,5100000,20700000,20700000,20700000,20700000,233200000,233200000,282500000,282500000,124200000,34100000,22600000,6.74e+08,2.04e+08,5.89e+08,235600000,229400000,82800000,7.93e+08,1.467e+09,201700000,122900000,222700000,225200000,101100000,62800000,326300000,5.49e+08,177400000,-11500000,7.46e+08,6100000,9.18e+08,9.18e+08,1.467e+09,20700000,-4700000,-11700000,16400000,-11600000,-11600000,-5e+06,-4199999,-3900000,-12999999,-8199999,-8199999,1900000,-6299999,246200000,0.23625,0.07229,0.10843,0.02255,0.01411,3.02649,0.59804,0.16783,0.54709,0.54248,5.04539,24.26226,0.13215,0.02031,0.24155,0.94203
"42","2021_Q3",44.92640625,"Down",300800000,-2.2e+08,80800000,-35800000,-30800000,4.5e+07,1200000,-1400000,2600000,46200000,46200000,-7600000,38600000,38600000,38600000,38600000,242300000,242300000,290300000,290300000,120700000,2.9e+07,18200000,682300000,203200000,603800000,233300000,2.37e+08,92800000,8.07e+08,1489300000,177400000,112400000,198700000,332300000,106900000,64400000,439200000,637900000,171900000,-11500000,698900000,-7900000,851400000,851400000,1489300000,38600000,1200000,-12100000,40300000,-3600000,-3600000,-4100000,-2100001,7.45058059692383e-09,-6200001,30499999,30499999,800000.000000001,31299999,353600000,0.26862,0.1496,0.12832,0.04534,0.02592,3.43382,0.74924,0.23743,1.01294,1.01239,7.89361,22.34247,0.10759,0.03255,0.10622,2.47333
"43","2021_Q4",44.2090625,"Down",295300000,-222700000,72600000,-37200000,-32400000,35400000,1100000,-1300000,2400000,36500000,36500000,-4600000,31900000,31900000,31900000,31900000,218700000,218700000,278500000,278500000,1.24e+08,23800000,18300000,6.45e+08,205400000,594100000,234800000,233700000,83700000,799500000,1444500000,187400000,117800000,209200000,229200000,108500000,66400000,337700000,546900000,174300000,-11500000,726600000,8200000,897600000,897600000,1444500000,31900000,2600000,39100000,87100000,-4800000,-4800000,-4100000,-104500000,0,-108600000,-26300000,-26300000,2700000,-23600000,2.51e+08,0.24585,0.11988,0.10803,0.03554,0.02208,3.08317,0.60929,0.17376,0.83712,0.83073,7.74927,23.55485,0.10759,0.02864,0.12853,0.91243
"44","2022_Q1",44.1561290322581,"Down",3.01e+08,-225400000,75600000,-41900000,-37100000,33700000,2900000,-9e+05,3800000,36600000,36600000,-5500000,31100000,31100000,31100000,31100000,233200000,233200000,282500000,282500000,124200000,34100000,22600000,6.74e+08,2.04e+08,5.89e+08,235600000,229400000,82800000,7.93e+08,1.467e+09,201700000,122900000,222700000,225200000,101100000,62800000,326300000,5.49e+08,177400000,-11500000,7.46e+08,6100000,9.18e+08,9.18e+08,1.467e+09,31100000,1e+05,-8500000.00000001,3.6e+07,-4800000,-4800000,-4200000,-4900000,-4.65661287307739e-10,-15100000,16100000,16100000,-1600000,14500000,246200000,0.25116,0.11196,0.10332,0.03388,0.0212,3.02649,0.59804,0.16783,0.81618,0.80697,7.89937,24.09175,0.11022,0.0279,0.13505,0.38576
"45","2022_Q2",42.6446774193548,"Down",287800000,-216100000,71700000,-37599999,-32799999,34100001,7e+05,-1100000,1800000,34800001,34800001,-5700000,29100001,29100001,29100001,29100001,207900000,207900000,276700000,276700000,142400000,33900000,20600000,660900000,214600000,583500000,235200000,224100000,8.4e+07,798100000,1.459e+09,183400000,110800000,204100000,220600000,1e+08,62300000,320600000,524700000,1.81e+08,-11500000,761900000,2900000,934300000,934300000,1.459e+09,29100000,3400000,-35400000,9700000,-15400000,-15400000,-5200000,-4900000,-3e+05,-18300000,-2.4e+07,-2.4e+07,-1300000,-25300000,241300000,0.24913,0.11849,0.10111,0.03115,0.01995,3.23812,0.5616,0.16539,0.76701,0.75667,7.58576,24.62606,0.13706,0.02689,0.17869,0.97947
"46","2022_Q3",38.86359375,"Down",295500000,-226300000,69200000,-3.6e+07,-31200000,33200000,-2e+05,-1100000,9e+05,3.3e+07,3.3e+07,-5500000,27500000,27500000,27500000,27500000,177200000,177200000,2.81e+08,2.81e+08,1.49e+08,35900000,21900000,643100000,206600000,5.81e+08,2.35e+08,219100000,87700000,787600000,1430700000,186200000,118600000,207800000,208400000,9.5e+07,57600000,303400000,511200000,183200000,-11500000,749800000,-2e+06,919500000,919500000,1430700000,27500000,2700000,-16500000,2.7e+07,-5300000,-5300000,-5100000,-12200000,0,-51400000,-29700000,-29700000,-1e+06,-30700000,2.3e+08,0.23418,0.11235,0.09306,0.02991,0.01922,3.0948,0.55595,0.16076,0.73247,0.7221,7.87069,24.49103,0.13584,0.0262,0.18545,1.59036
