"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"24","2016_Q1",7.27868852459016,"Down",8.53e+08,-7.45e+08,1.08e+08,-5.9e+07,-5.6e+07,-3e+06,4.9e+07,-1.4e+07,-2.7e+07,1.1e+07,2e+06,3.5e+07,-4e+07,1.8e+07,-2.2e+07,0,0,-2.2e+07,1e+06,-2.1e+07,-2.1e+07,1.93e+08,1.93e+08,4.61e+08,4.61e+08,3.38e+08,5e+07,5e+07,1.042e+09,4.19e+08,7.34e+08,4.02e+08,3.32e+08,1.153e+09,2.195e+09,5.74e+08,5.74e+08,1.5e+07,2.79e+08,2.79e+08,8.68e+08,1.036e+09,9.37e+08,6.32e+08,3.05e+08,1.973e+09,2.841e+09,9.64e+08,-8.14e+08,-7.66e+08,-6.71e+08,2.5e+07,-6.46e+08,2.195e+09,-2.5e+07,-3.4e+07,-5e+07,-4.9e+07,-6.7e+07,-1.42e+08,-1.42e+08,-1e+07,-1.52e+08,1.051e+09,0.12661,0.05744,-0.02462,0.03251,-0.00957,1.20046,-4.39783,0.47882,-0.22129,-0.21875,8.98841,-7.0706,-0.01565,17.5102
"25","2016_Q2",8.2371875,"Up",8.09e+08,-7.05e+08,1.04e+08,-5.6e+07,-5.6e+07,0,4.8e+07,-1.1e+07,-2.2e+07,1e+07,1e+06,3.7e+07,3.6e+07,-7e+06,2.9e+07,-2e+06,-2e+06,2.7e+07,-1e+06,2.6e+07,2.6e+07,1.28e+08,1.28e+08,3.57e+08,3.57e+08,3.67e+08,5.4e+07,5.4e+07,9.06e+08,4.14e+08,7.3e+08,3.99e+08,3.31e+08,1.144e+09,2.05e+09,4.7e+08,4.7e+08,7.4e+07,2.44e+08,2.44e+08,7.88e+08,9.81e+08,9.34e+08,6.19e+08,3.15e+08,1.915e+09,2.703e+09,9.67e+08,-7.88e+08,-7.6e+08,-6.79e+08,2.6e+07,-6.53e+08,2.05e+09,-5e+06,-2.2e+07,-1.8e+07,-103572079.655697,-4.2e+07,-6.5e+07,-6.5e+07,0,-6.5e+07,1.055e+09,0.12855,0.05933,0.03214,-0.03982,0.01268,1.14975,-4.13936,0.51463,0.28108,0.27572,8.74595,-7.34054,0.01946,19.3125
"26","2016_Q3",9.72765625,"Up",8.21e+08,-7e+08,1.21e+08,-6.3e+07,-6e+07,-3e+06,5.8e+07,-1.6e+07,-2.1e+07,7e+06,-2e+06,4.2e+07,4e+07,-7000000.00000001,3.3e+07,-1e+06,-1e+06,3.2e+07,4.65661287307739e-10,3.2e+07,3.2e+07,9.4e+07,9.4e+07,4.26e+08,4.26e+08,3.62e+08,5.3e+07,5.3e+07,9.35e+08,4.27e+08,7.31e+08,3.99e+08,3.32e+08,1.158e+09,2.093e+09,5.11e+08,5.11e+08,2.5e+07,2.53e+08,2.53e+08,7.89e+08,9.78e+08,9.27e+08,6.11e+08,3.16e+08,1.905e+09,2.694e+09,9.7e+08,-7.56e+08,-7.42e+08,-6.26e+08,2.5e+07,-6.01e+08,2.093e+09,4.4e+07,-2.5e+07,-2.2e+07,-5.5e+07,-5.8e+07,-3.6e+07,-3.6e+07,2e+06,-3.4e+07,1.003e+09,0.14738,0.07065,0.03898,-0.05324,0.01529,1.18504,-4.48253,0.47922,0.35049,0.34595,8.99233,-6.85652,0.02408,15.67241
"27","2016_Q4",11.7580952380952,"Up",8.41e+08,-7.14e+08,1.27e+08,-5.9e+07,-5.9e+07,0,6.8e+07,-1.1e+07,-2e+07,9e+06,0,5.7e+07,5.1e+07,-8e+06,4.3e+07,-1e+06,-1e+06,4.2e+07,-1e+06,4.1e+07,4.1e+07,1.29e+08,1.29e+08,4.22e+08,4.22e+08,3.35e+08,5.3e+07,5.3e+07,9.39e+08,4.28e+08,7.17e+08,3.92e+08,3.25e+08,1.145e+09,2.084e+09,5.03e+08,5.03e+08,1.4e+07,2.67e+08,2.67e+08,7.84e+08,9.8e+08,9.16e+08,6.01e+08,3.15e+08,1.896e+09,2.68e+09,9.72e+08,-7.15e+08,-7.42e+08,-6.21e+08,2.5e+07,-5.96e+08,2.084e+09,1.05e+08,-1.9e+07,-1.9e+07,0,-5.1e+07,3.5e+07,3.5e+07,0,3.5e+07,9.94e+08,0.15101,0.08086,0.04875,-0.0687900000000001,0.01967,1.1977,-4.49664,0.47697,0.45657,0.44565,9.36526,-6.91537,0.0312,12.72059
"28","2017_Q1",15.4688709677419,"Up",7.28e+08,-6.44e+08,8.4e+07,-3.8e+07,-3.8e+07,0,4.6e+07,-1.1e+07,-2.1e+07,1e+07,-2.3283064365387e-10,3.5e+07,2.8e+07,4.46e+08,4.74e+08,0,0,4.74e+08,-2.3283064365387e-10,4.74e+08,4.74e+08,1.6e+08,1.6e+08,3.96e+08,3.96e+08,3.16e+08,3.3e+07,3.3e+07,9.05e+08,4.39e+08,1.15e+09,3.9e+08,7.6e+08,1.589e+09,2.494e+09,4.75e+08,4.75e+08,1.4e+07,2.68e+08,2.68e+08,7.57e+08,9.82e+08,9.41e+08,7.03e+08,2.38e+08,1.923e+09,2.68e+09,9.75e+08,-2.41e+08,-8.09e+08,-2.11e+08,2.5e+07,-1.86e+08,2.494e+09,6e+07,-2.7e+07,-2.7e+07,-1.6e+07,-1000000.00000001,3.2e+07,3.2e+07,-1e+06,3.1e+07,9.96e+08,0.11538,0.06319,0.6511,-2.54839,0.19006,1.19551,-14.4086,0.39936,5.46083,5.3139,8.3871,-2.43088,0.2707,18.17391
"29","2017_Q2",16.4501587301587,"Up",6.99e+08,-6.1e+08,8.9e+07,-5.6e+07,-5.3e+07,-3e+06,3.3e+07,-1.1e+07,-2.1e+07,1e+07,0,2.2e+07,2.2e+07,-6e+06,1.6e+07,0,0,1.6e+07,-1e+06,1.5e+07,1.5e+07,1.25e+08,1.25e+08,3.32e+08,3.32e+08,3.34e+08,4e+07,4e+07,8.31e+08,4.23e+08,1.14e+09,3.83e+08,7.57e+08,1.563e+09,2.394e+09,4.3e+08,4.3e+08,1.1e+07,2.36e+08,2.36e+08,6.77e+08,9.83e+08,9.19e+08,6.91e+08,2.28e+08,1.902e+09,2.579e+09,9.78e+08,-2.26e+08,-8.25e+08,-2.09e+08,2.4e+07,-1.85e+08,2.394e+09,-1.4e+07,-1.7e+07,-1.5e+07,0,-4e+06,-3.3e+07,-3.3e+07,-2e+06,-3.5e+07,9.94e+08,0.12732,0.04721,0.02146,-0.0810799999999996,0.00627,1.22747,-13.94054,0.4152,0.17222,0.16949,8.02526,-2.39954,0.00867999999999997,26.33333
"30","2017_Q3",19.8446031746032,"Up",8.06e+08,-6.85e+08,1.21e+08,-6.8e+07,-6.6e+07,-2e+06,5.3e+07,-1.3e+07,-2.1e+07,8e+06,0,4e+07,3.6e+07,-1.3e+07,23000000.0000001,5.82076609134674e-11,5.82076609134674e-11,22999999.9999999,-1e+06,21999999.9999999,21999999.9999999,1.38e+08,1.38e+08,4.42e+08,4.42e+08,3.38e+08,4.2e+07,4.2e+07,9.6e+08,4.3e+08,1.146e+09,3.85e+08,7.61e+08,1.576e+09,2.536e+09,5.28e+08,5.28e+08,1.32e+08,2.45e+08,2.45e+08,9.05e+08,8.57e+08,9.12e+08,6.8e+08,2.32e+08,1.769e+09,2.674e+09,9.71e+08,-2.04e+08,-7.94e+08,-1.63e+08,2.5e+07,-1.38e+08,2.536e+09,4.4e+07,-2.3e+07,-2.3e+07,0,-1.1e+07,9999999.99999999,9999999.99999999,3e+06,1.3e+07,9.89e+08,0.15012,0.06576,0.0273000000000001,-0.15942,0.00868,1.06077,-19.37681,0.38998,0.24943,0.239129999999999,9.13832,-1.84807,0.01248,16.0566
"31","2017_Q4",25.1087301587302,"Up",9.2e+08,-7.78e+08,1.42e+08,-7.3e+07,-7.3e+07,2.3283064365387e-10,6.9e+07,-6e+06,-2.1e+07,1.4e+07,1e+06,6.3e+07,6.3e+07,-1.1e+07,5.2e+07,-1e+06,-1e+06,5.1e+07,-3e+06,4.8e+07,4.8e+07,2.31e+08,2.31e+08,5e+08,5e+08,3.6e+08,3.7e+07,3.7e+07,1.128e+09,4.3e+08,1.154e+09,3.91e+08,7.63e+08,1.584e+09,2.712e+09,6.02e+08,6.02e+08,1.32e+08,2.77e+08,2.77e+08,1.011e+09,8.58e+08,8.99e+08,6.67e+08,2.32e+08,1.757e+09,2.768e+09,9.76e+08,-1.56e+08,-7.68e+08,-8.4e+07,2.8e+07,-5.6e+07,2.712e+09,1.06e+08,-1.2e+07,-1.2e+07,0,-1e+06,9.3e+07,9.3e+07,0,9.3e+07,9.9e+08,0.15435,0.075,0.05217,-0.85714,0.0177,1.11573,-49.42857,0.36504,0.54299,0.51447,10.40724,-0.95023,0.02619,11
"32","2018_Q1",24.2067213114754,"Down",9.22e+08,-7.9e+08,1.32e+08,-7.4e+07,-7.2e+07,-2e+06,5.8e+07,-3.9e+07,-5.6e+07,1.6e+07,1e+06,1.9e+07,2.6e+08,-2.2e+07,2.38e+08,2.3283064365387e-10,2.3283064365387e-10,2.38e+08,1e+06,2.39e+08,2.39e+08,8.8e+07,8.8e+07,7.89e+08,7.89e+08,3.78e+08,4.3e+07,4.3e+07,1.298e+09,4.74e+08,1.01e+09,4.14e+08,5.96e+08,1.484e+09,2.782e+09,6.22e+08,6.22e+08,2.88e+08,2.72e+08,2.72e+08,1.182e+09,7.5e+08,5.55e+08,3.14e+08,2.41e+08,1.305e+09,2.487e+09,8.66e+08,8.3e+07,-5.45e+08,2.68e+08,2.7e+07,2.95e+08,2.782e+09,4e+07,-4.3e+07,-7.7e+07,-1.1e+08,-1.06e+08,-1.43e+08,-1.43e+08,0,-1.43e+08,1.038e+09,0.14317,0.06291,0.25922,0.81017,0.08591,1.09814,8.43051,0.37311,2.70668,2.74713,10.44168,3.03511,0.12659,16.37931
"33","2018_Q2",20.9921875,"Down",9.03e+08,-7.63e+08,1.4e+08,-6.8e+07,-6.7e+07,-1e+06,7.2e+07,-2e+07,-2.4e+07,5e+06,-1e+06,5.2e+07,5e+07,-8.3e+07,-3.3e+07,-1e+06,-1e+06,-3.4e+07,-2e+06,-3.6e+07,-3.6e+07,1.16e+08,1.16e+08,4.56e+08,4.56e+08,4.27e+08,4.3e+07,4.3e+07,1.042e+09,4.64e+08,9.39e+08,4.14e+08,5.25e+08,1.403e+09,2.445e+09,5.92e+08,5.92e+08,6.3e+07,2.38e+08,2.38e+08,8.93e+08,7.51e+08,5.38e+08,2.98e+08,2.4e+08,1.289e+09,2.182e+09,8.72e+08,4.7e+07,-5.5e+08,2.33e+08,3e+07,2.63e+08,2.445e+09,3.3e+07,-1.8e+07,2.29e+08,-2.32e+08,-2.33e+08,2.9e+07,2.9e+07,-1e+06,2.8e+07,8.14e+08,0.15504,0.07973,-0.03987,-0.13688,-0.01472,1.16685,8.29658000000001,0.33292,-0.40632,-0.40632,10.19187,2.6298,-0.02229,9.69444
"34","2018_Q3",21.0103174603175,"Up",1.066e+09,-8.88e+08,1.78e+08,-8.5e+07,-7.4e+07,-1.1e+07,9.3e+07,-1e+07,-1.6e+07,6e+06,0,8.3e+07,8.2e+07,-2.2e+07,6e+07,0,0,6e+07,-3e+06,5.7e+07,5.7e+07,1e+08,1e+08,5.81e+08,5.81e+08,4.55e+08,5e+07,5e+07,1.186e+09,4.59e+08,9.5e+08,4.18e+08,5.32e+08,1.409e+09,2.595e+09,6.92e+08,6.92e+08,7.7e+07,2.49e+08,2.49e+08,1.018e+09,7.28e+08,5.37e+08,2.91e+08,2.46e+08,1.265e+09,2.283e+09,8.77e+08,1.04e+08,-5.3e+08,2.82e+08,3e+07,3.12e+08,2.595e+09,3.9e+07,-1.7e+07,-12999999.9999999,-9e+06,-4.3e+07,-1.7e+07,-1.7e+07,1e+06,-1.6e+07,8.05e+08,0.16698,0.08724,0.05347,0.18269,0.02197,1.16503,7.31731,0.31021,0.64334,0.625,12.0316,3.18284,0.03446,7.58065
"35","2018_Q4",17.0526984126984,"Down",1.129e+09,-9.52e+08,1.77e+08,-7.6e+07,-7.6e+07,-3.72529029846191e-09,1.01e+08,-3e+06,-1.4e+07,9e+06,2e+06,9.8e+07,9.5e+07,-2.6e+07,6.9e+07,-2e+06,-2e+06,6.7e+07,-3e+06,6.4e+07,6.4e+07,1e+08,1e+08,6.09e+08,6.09e+08,4.66e+08,3.6e+07,3.6e+07,1.211e+09,4.47e+08,9.58e+08,4.19e+08,5.39e+08,1.405e+09,2.616e+09,7.31e+08,7.31e+08,4.8e+07,2.78e+08,2.78e+08,1.057e+09,7.28e+08,5.28e+08,2.82e+08,2.46e+08,1.256e+09,2.313e+09,8.81e+08,1.68e+08,-5.78e+08,2.72e+08,3.1e+07,3.03e+08,2.616e+09,1.19e+08,-1.5e+07,-5.4e+07,-2.9e+07,-6e+07,5e+06,5e+06,-5e+06,0,7.76e+08,0.15678,0.08946,0.05669,0.21122,0.02446,1.1457,7.63366,0.29664,0.73394,0.71269,12.94725,3.11927,0.03983,6.69307
"36","2019_Q1",20.3588524590164,"Up",1.08e+09,-9.5e+08,1.3e+08,-1.04e+08,-9.6e+07,-8e+06,2.6e+07,1.9e+07,-1.3e+07,3.3e+07,-1e+06,4.5e+07,5.1e+07,-1.8e+07,3.3e+07,4.65661287307739e-10,4.65661287307739e-10,3.3e+07,-1e+06,3.2e+07,3.2e+07,1.15e+08,1.15e+08,5.88e+08,5.88e+08,4.77e+08,4.6e+07,4.6e+07,1.226e+09,4.83e+08,1.017e+09,4.21e+08,5.96e+08,1.5e+09,2.726e+09,7e+08,7e+08,9.4e+07,2.9e+08,2.9e+08,1.084e+09,7.3e+08,5.95e+08,2.62e+08,3.33e+08,1.325e+09,2.409e+09,8.89e+08,2e+08,-5.66e+08,2.87e+08,3e+07,3.17e+08,2.726e+09,6e+07,-5.4e+07,-5.1e+07,4.1e+07,7e+06,1.6e+07,1.6e+07,-1e+06,1.5e+07,8.24e+08,0.12037,0.02407,0.02963,0.10095,0.01174,1.131,7.59937,0.30227,0.37383,0.33613,12.61682,3.3528,0.01843,27.26923
"37","2019_Q2",22.4739682539683,"Up",1.038e+09,-8.97e+08,1.41e+08,-3.4e+07,-3.4e+07,0,1.07e+08,6e+06,-1.4e+07,9e+06,1.1e+07,1.13e+08,1.13e+08,-2.1e+07,9.2e+07,0,0,9.2e+07,-2e+06,9e+07,9e+07,1.27e+08,1.27e+08,5.39e+08,5.39e+08,5.22e+08,5.2e+07,5.2e+07,1.24e+09,4.81e+08,1.012e+09,4.18e+08,5.94e+08,1.493e+09,2.733e+09,6.8e+08,6.8e+08,1.72e+08,3e+08,3e+08,1.152e+09,7.31e+08,4.88e+08,2.54e+08,2.34e+08,1.219e+09,2.371e+09,8.94e+08,2.9e+08,-5.69e+08,3.29e+08,3.3e+07,3.62e+08,2.733e+09,1.1e+07,-2.3e+07,-2.6e+07,7.7e+07,2.7e+07,1.2e+07,1.2e+07,1e+06,1.3e+07,9.03e+08,0.13584,0.10308,0.08671,0.24862,0.03293,1.07639,6.54972,0.33041,1.06132,1.02857,12.24057,3.87972,0.05134,7.25234
"38","2019_Q3",20.25609375,"Down",1.156e+09,-9.82e+08,1.74e+08,-7.3e+07,-7.3e+07,0,1.01e+08,-1.86264514923096e-09,-1.5e+07,6e+06,9e+06,1.01e+08,1.02e+08,-2.7e+07,7.5e+07,-1e+06,-1e+06,7.4e+07,-2e+06,7.2e+07,7.2e+07,9.8e+07,9.8e+07,6.36e+08,6.36e+08,5.3e+08,4.1e+07,4.1e+07,1.305e+09,4.79e+08,1.016e+09,4.19e+08,5.97e+08,1.495e+09,2.8e+09,7.28e+08,7.28e+08,1.18e+08,2.92e+08,2.92e+08,1.138e+09,7.38e+08,4.79e+08,2.46e+08,2.33e+08,1.217e+09,2.355e+09,8.97e+08,3.62e+08,-5.62e+08,4.11e+08,3.4e+07,4.45e+08,2.8e+09,4e+07,-2.1e+07,-2.1e+07,-4.9e+07,-4.9e+07,-3e+07,-3e+07,0,-3e+07,8.56e+08,0.15052,0.08737,0.06228,0.1618,0.02571,1.14675,5.29213,0.30571,0.86538,0.84014,13.89423,4.9399,0.04045,7.50495
"39","2019_Q4",22.56203125,"Up",1.166e+09,-9.87e+08,1.79e+08,-7.6e+07,-7.3e+07,-3e+06,1.03e+08,5e+06,-1.4e+07,9e+06,1e+07,1.08e+08,1.09e+08,-2.1e+07,8.8e+07,1e+06,1e+06,8.9e+07,-3e+06,8.6e+07,8.6e+07,1.11e+08,1.11e+08,6.25e+08,6.25e+08,4.91e+08,3.2e+07,3.2e+07,1.259e+09,4.81e+08,9.88e+08,4.21e+08,5.67e+08,1.469e+09,2.728e+09,6.91e+08,6.91e+08,2.4e+07,2.96e+08,2.96e+08,1.011e+09,7.34e+08,4.73e+08,2.38e+08,2.35e+08,1.207e+09,2.218e+09,9.02e+08,4.48e+08,-5.69e+08,4.74e+08,3.6e+07,5.1e+08,2.728e+09,1.43e+08,-1.9e+07,-5e+06,-1e+08,-1.25e+08,1.3e+07,1.3e+07,0,1.3e+07,7.58e+08,0.15352,0.08834,0.07376,0.16863,0.03152,1.2453,4.34902,0.27786,1.0349,0.99307,14.03129,5.70397,0.0494,6.28155
"40","2020_Q1",21.5485483870968,"Down",1.028e+09,-8.82e+08,1.46e+08,-9.4e+07,-7.6e+07,-1.8e+07,5.2e+07,3e+06,-1.4e+07,7e+06,1e+07,5.5e+07,5.3e+07,-1.3e+07,4e+07,1e+06,1e+06,4.1e+07,2e+06,4.3e+07,4.3e+07,1.08e+08,1.08e+08,5.51e+08,5.51e+08,5.26e+08,3.1e+07,3.1e+07,1.216e+09,5.15e+08,1.084e+09,4.78e+08,6.06e+08,1.599e+09,2.815e+09,6.1e+08,6.1e+08,4.1e+07,2.85e+08,2.85e+08,9.36e+08,9.02e+08,5.62e+08,3.36e+08,2.26e+08,1.464e+09,2.4e+09,9.07e+08,4.91e+08,-6.81e+08,3.85e+08,3e+07,4.15e+08,2.815e+09,6.2e+07,-4e+07,-2.19e+08,1.85e+08,1.58e+08,1e+06,1e+06,-4e+06,-2999999.99999999,9.43e+08,0.14202,0.05058,0.04183,0.10361,0.01528,1.29915,5.78313,0.33499,0.52632,0.50351,12.58262,4.71236,0.0224,16.05769
"41","2020_Q2",18.4788888888889,"Down",9.01e+08,-7.74e+08,1.27e+08,-7.5e+07,-7e+07,-5e+06,5.2e+07,2e+06,-1.4e+07,6e+06,1e+07,5.4e+07,5.4e+07,-1.3e+07,4.1e+07,1100316.59698805,1100316.59698805,4.1e+07,-2e+06,3.9e+07,3.9e+07,1.08e+08,1.08e+08,4.78e+08,4.78e+08,5.56e+08,3.7e+07,3.7e+07,1.179e+09,5.17e+08,1.2e+09,4.86e+08,7.14e+08,1.717e+09,2.896e+09,5.4e+08,5.4e+08,1.78e+08,2.64e+08,2.64e+08,9.82e+08,9.01e+08,6.29e+08,3.3e+08,2.99e+08,1.53e+09,2.512e+09,9.09e+08,5.3e+08,-6.55e+08,3.52e+08,3.2e+07,3.84e+08,2.896e+09,-1.9e+07,-1.6e+07,-1.6e+07,1.34e+08,3.4e+07,-1e+06,-1e+06,1e+06,0,1.079e+09,0.14095,0.05771,0.04329,0.10156,0.01347,1.20061,6.54167,0.37258,0.49872,0.48327,11.52174,4.50128,0.01864,18.67308
"42","2020_Q3",22.51421875,"Up",8.71e+08,-7.57e+08,1.14e+08,-6.9e+07,-5.9e+07,-1e+07,4.5e+07,2.69e+08,-1.6e+07,6e+06,2.79e+08,3.14e+08,3.14e+08,-7.3e+07,2.41e+08,1e+06,1e+06,2.42e+08,-1e+06,2.41e+08,2.41e+08,5.08e+08,5.08e+08,4.66e+08,4.66e+08,5.29e+08,3.5e+07,3.5e+07,1.538e+09,5.09e+08,1.178e+09,5e+08,6.78e+08,1.687e+09,3.225e+09,5.41e+08,5.41e+08,1.38e+08,2.57e+08,2.57e+08,9.36e+08,1.203e+09,6.62e+08,3.15e+08,3.47e+08,1.865e+09,2.801e+09,9.08e+08,7.71e+08,-7.14e+08,3.92e+08,3.2e+07,4.24e+08,3.225e+09,3.11e+08,-1.7e+07,-2.1e+07,2.62e+08,1.2e+08,4.1e+08,4.1e+08,-8e+06,4.02e+08,1.341e+09,0.13088,0.05166,0.27669,0.5684,0.07473,1.64316,6.60613,0.41581,3.28338,3.20053,11.86649,5.3406,0.0993,18.51111
"43","2020_Q4",26.4259375,"Up",5.14e+08,-4.86e+08,2.8e+07,-6.9e+07,-5.2e+07,-1.7e+07,-4.1e+07,-6e+06,-1.7e+07,-1e+06,1.2e+07,-4.7e+07,-4.7e+07,1.3e+07,-3.4e+07,0,0,-3.4e+07,-2e+06,-3.6e+07,-3.6e+07,2.8e+08,2.8e+08,3.9e+08,3.9e+08,4.95e+08,3.5e+07,3.5e+07,1.2e+09,4.98e+08,1.174e+09,5.03e+08,6.71e+08,1.672e+09,2.872e+09,3.22e+08,3.22e+08,3.4e+07,2.84e+08,2.84e+08,6.4e+08,1.193e+09,6.36e+08,3.08e+08,3.28e+08,1.829e+09,2.469e+09,9.1e+08,7.35e+08,-7.01e+08,3.71e+08,3.2e+07,4.03e+08,2.872e+09,-1.02e+08,-1.2e+07,-1.2e+07,-1.1e+08,-1.14e+08,-2.28e+08,-2.28e+08,0,-2.28e+08,1.227e+09,0.05447,-0.07977,-0.07004,-0.08933,-0.01253,1.875,6.12655,0.42723,-0.49861,-0.49383,7.11911,5.1385,-0.01589,-23.09756
"44","2021_Q1",29.7224590163934,"Up",7.58e+08,-6.99e+08,5.9e+07,-4.8e+07,-4e+07,-8e+06,1.1e+07,-6000000.00000003,-1.9e+07,3e+06,1e+07,5e+06,5e+06,-4999999.99999999,0,1.16415321826935e-10,1.16415321826935e-10,5.96046447753906e-08,1e+06,999999.99999997,999999.99999997,3.15e+08,3.15e+08,4.79e+08,4.79e+08,4.35e+08,5.4e+07,5.4e+07,1.283e+09,5.15e+08,1.086e+09,5.01e+08,5.85e+08,1.601e+09,2.884e+09,4.23e+08,4.23e+08,3.9e+07,2.64e+08,2.64e+08,7.26e+08,1.188e+09,4.75e+08,1.96e+08,2.79e+08,1.663e+09,2.389e+09,9.13e+08,7.36e+08,-6.14e+08,4.62e+08,3.3e+07,4.95e+08,2.884e+09,7.5e+07,-4e+07,-4e+07,-2e+06,-4e+06,30999999.9999999,30999999.9999999,2e+06,3.3e+07,1.227e+09,0.07784,0.01451,0.00131999999999995,0.00202,0.00035,1.76722,4.82626,0.42545,0.0138499999999999,0.0136100000000003,10.49861,6.39889,0.00046,82.90909
"45","2021_Q2",26.2773015873016,"Down",8.89e+08,-7.74e+08,1.15e+08,-7.2e+07,-6.5e+07,-7e+06,4.3e+07,-3e+06,-2.8e+07,1.1e+07,1.4e+07,4e+07,4e+07,-7e+06,3.3e+07,-112668.107535277,-112668.107535277,3.3e+07,-1e+06,3.2e+07,3.2e+07,2.83e+08,2.83e+08,4.66e+08,4.66e+08,4.73e+08,7e+07,7e+07,1.292e+09,5.2e+08,1.118e+09,5.07e+08,6.11e+08,1.638e+09,2.93e+09,4.45e+08,4.45e+08,1.5e+07,2.51e+08,2.51e+08,7.11e+08,1.189e+09,4.65e+08,1.87e+08,2.78e+08,1.654e+09,2.365e+09,8.9e+08,7.68e+08,-5.55e+08,5.3e+08,3.5e+07,5.65e+08,2.93e+09,4.4e+07,-1e+07,-1.3e+07,-6.3e+07,-6.7e+07,-3.6e+07,-3.6e+07,4e+06,-3.2e+07,1.204e+09,0.12936,0.04837,0.036,0.05664,0.01092,1.81716,4.18584,0.41092,0.44321,0.43716,12.31302,7.34072,0.01432,21.4186
"46","2021_Q3",23.29078125,"Down",9.83e+08,-8.35e+08,1.48e+08,-7.1e+07,-6.9e+07,-2e+06,7.7e+07,1.1e+07,-1.7e+07,5e+06,2.3e+07,8.8e+07,8.8e+07,-2.2e+07,6.6e+07,-528743.846556328,-528743.846556328,6.6e+07,-3e+06,6.3e+07,6.3e+07,3.21e+08,3.21e+08,6.04e+08,6.04e+08,5.1e+08,7.2e+07,7.2e+07,1.507e+09,5.02e+08,1.131e+09,5.1e+08,6.21e+08,1.633e+09,3.14e+09,5.93e+08,5.93e+08,1.7e+07,2.79e+08,2.79e+08,8.89e+08,1.186e+09,4.52e+08,1.76e+08,2.76e+08,1.638e+09,2.527e+09,8.94e+08,8.31e+08,-5.75e+08,5.77e+08,3.6e+07,6.13e+08,3.14e+09,6.3e+07,-1.6e+07,-1.6e+07,-3e+06,-4999999.99999999,4.2e+07,4.2e+07,-4e+06,3.8e+07,1.203e+09,0.15056,0.07833,0.06409,0.10277,0.02006,1.69516,4.12235,0.38312,0.87017,0.85831,13.57735,7.96961,0.02778,11.45455
"47","2021_Q4",25.50921875,"Up",1.016e+09,-8.84e+08,1.32e+08,-7.3e+07,-6.9e+07,-4e+06,5.9e+07,0,-2e+07,8e+06,1.2e+07,5.9e+07,5.9e+07,-1.4e+07,4.5e+07,-930447.662299215,-930447.662299215,4.5e+07,-3e+06,4.2e+07,4.2e+07,1.38e+08,1.38e+08,6.35e+08,6.35e+08,5.63e+08,6.1e+07,6.1e+07,1.397e+09,5.06e+08,1.142e+09,5.1e+08,6.32e+08,1.648e+09,3.045e+09,6.33e+08,6.33e+08,1.9e+07,2.88e+08,2.88e+08,9.4e+08,1.011e+09,4.39e+08,1.66e+08,2.73e+08,1.45e+09,2.39e+09,8.98e+08,8.73e+08,-5.57e+08,6.16e+08,3.9e+07,6.55e+08,3.045e+09,3.9e+07,-2.1e+07,-2.1e+07,-1.79e+08,-2.04e+08,-1.86e+08,-1.86e+08,3e+06,-1.83e+08,1.03e+09,0.12992,0.05807,0.04134,0.06412,0.01379,1.48617,3.64885,0.33826,0.58091,0.57299,14.05256,8.52006,0.01977,15.11864
