"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"38","2020_Q1",8.08467741935484,"Down",9764975,-4703409,5061566,-3608160,-3172799,-435361,1453406,76464,76464,1529870,1529870,353908,1883778,1883778,1883779,1883779,9663746,9663746,891936,891936,37321767,35908559,47877449,937185,4733712,3816232,5670897,53548346,1523604,1523604,32723227,32723227,34246831,34246831,11626117,-150000,8088485,19564602,19301515,53548346,1883778,435361,-247250,3842775,5914664,-1393433,-1393433,-112369,-1281064,-1740158,4352612,4352612,4352612,1888767,0,3984201,0.51834,0.14884,0.19291,0.0976,0.03518,2.115,1.39801,1.77431,5.42101086242752e-20,0.03916,0.03461,0.20301,0.40675,0.08283,0.0976,0.20642,-5.11643,-6.64903
"39","2020_Q2",7.37428571428571,"Down",10576473,-4855520,5720953,-4329700,-3827324,-502376,1391253,62161,62161,1453414,1453414,87551,1540965,1540965,1540965,1540965,9424385,9424385,911597,911597,46805512,45424829,57141494,1798751,4941795,3948413,6740546,63882040,1999046,1999046,40292331,40292331,42291377,42291377,12111213,-150000,9629450,21590663,21590663,63882040,1540965,502376,648281,8057410,10749032,-1011021,-1011021,-953894,-57127,-1496123,9276909,9276909,9276909,1893629,0,8852467,0.54091,0.13154,0.1457,0.07137,0.02412,5.74476,1.35114,1.95878,0,0.03163,0.02818,0.21712,0.44322,0.18173,0.07137,0.41001,-4.97689,-6.77403
"40","2020_Q3",7.78734375,"Up",6443065,-3138350,3304715,-3907978,-3401501,-506477,-603263,3129.99999999999,3130.00000000001,-600133,-643031,423797,-219234,-219234,-219234,-219234,7633149,7633149,663584,663584,41361804,39921183,49658537,1753368,9952062,4008794,11705430,61363967,1136821,1136821,33845620,33845620,35283674,39459988,12643763,-150000,9410216,21903979,21903979,61363967,-219234,506477,279765,-7052091,-6485083,-100448,-100448,-100448,-1.16415321826935e-10,-564374,-7294882,-7294882,-7294882,-96786,301233,-7673122,0.51291,-0.0936300000000003,-0.0340299999999975,-0.01001,-0.00357,34.99969,1.40741,1.8015,0.00491,-0.00447,-0.00403,0.13145,0.44688,-0.15654,-0.00831,-0.29085,75.75389,12.15376
"41","2020_Q4",5.2284375,"Down",-152541,-3281888,-3434429,-4608003,-4070211,-537792,-8042432,12184,12184,-8030248,-8412662,2260527,-6152135,-6152135,-6152135,-6152135,7497579,7497579,792143,792143,49321032,48014599,57610754,1679839,11766900,3658809,13446739,71057493,1941082,1941082,48014599,48014599,50271555,54367120,13582292,-150000,3258081,16690373,16690373,71057493,-6152135,537792,-1055879,14985079,8314857,-42249,-42249,-42249,0,-496691,7957846,7957846,7957846,-7504640,315874,5177663,22.51479,52.72308,40.33103,-0.3686,-0.08658,-0.8416,1.14599,3.25739,0.00445,-0.12444,-0.16155,-0.00309,0.3376,0.10473,-0.29155,0.24537,0.95697,0.89298
"42","2021_Q1",4.75573770491803,"Down",7253437,-3541270,3712167,-4370513,-3792396,-578117,-658346,13245,13245,-645100.999999999,-645100.999999999,-3666057,-4311158,-4311158,-4311158,-4311158,7829453,7829453,512097,512097,49619077,48243713,57960627,1849164,8023715,3699033,9872879,67833506,2162256,2162256,48421587,48421587,50583843,54597441,14439142,-150000,-1053077,13236065,13236065,67833506,-4311158,578117,4631379,298674.999999996,1197013,-310854,-310854,-286720,-24134,-787667,418226,418226,418226,-80229,0,3573649,0.511780000000002,-0.0907600000000031,-0.594360000000009,-0.32571,-0.06355,-0.82893,1.14583,4.1249,8.67361737988404e-19,-0.08636,-0.08636,0.14529,0.26513,0.07158,-0.24993,0.20717,97.58881,11.89261
"43","2021_Q2",3.59285714285714,"Down",6279428,-3447622,2831806,-4460834,-3864986,-595848,-1629028,7101,7101,-1621927,-1621927,-1600,-1623527,-1623527,-1623527,-1623527,6559678,6559678,635576,635576,60721472,58773488,67916726,1841910,7941620,3722642,9783530,77700256,2311685,2311685,58773488,58773488,61410643,65341038,15185822,-150000,-2676604,12359218,12359218,77700256,-1623527,595848,741918,10190260,9904499,-138207,-138207,-124696,-13511,-612203,9402762,9402762,9402762,-1033180,325470,9020473,0.45097,-0.25942,-0.25855,-0.13136,-0.02089,-5.5561,1.10594,5.28683,0.00419,-0.03224,-0.03224,0.12471,0.24546,0.17915,-0.09771,0.54291,6.034,3.82695
"44","2021_Q3",2.67890625,"Down",6651290,-3498723,3152567,-4088744,-3474562,-614182,-936177,5010,5010,-931167,-931167,-800,-931967,-931967,-931967,-931967,6615180,6615180,947954,947954,67497428,65755562,75060562,1757518,7955480,3842205,9712998,84773560,2863837,2863837,65755562,65755562,68949775,72795713,15736418,-150000,-3608571,11977847,11977847,84773560,-931967,581287,679519,7348415,7677254,-74985,-74985,-48783,-26202,-649353,7037576,7037576,7037576,-354890,330376,6919340,0.47398,-0.140750000000002,-0.14012,-0.07781,-0.01099,-7.42445,1.08863,6.07753,0.0039,-0.01851,-0.01851,0.1321,0.23788,0.13742,-0.05769,0.42833,17.70916,6.71326
"45","2021_Q4",2.1509375,"Down",7767189,-3797919,3969270,-4246395,-3618071,-628324,-277125,6119,6119,-271006,-271006,-362270.315474741,-271006,-271006,-271006,-271006,6926969,6926969,1680441,1680441,64803846,63260491,73411256,1733853,8044790,4037219,9778643,83189899,3451411,3451411,63595848,63595848,67047259,70807467,16412009,-150000,-3879577,12382432,12382432,83189899,-271006,661219,676400,-2616770,-1550157,-34851,-71724.4684614072,-27549.6204734469,-44174.8479879603,-705125,-2183282,-2183282,-2183282,384094,0,674586.37989378,0.51103,-0.03568,-0.03489,-0.02189,-0.00326,-11.533993191506,1.09492,5.71838,0,-0.00534,-0.00534,0.15303,0.24397,0.0131917401464785,-0.01679,0.0521084723991618,-18.03457,24.99583
"46","2022_Q1",2.11661290322581,"Down",8766942,-4008778,4758164,-4655267,-3995703,-659564,102897,10067,10067,112964,112964,-7797.99999999907,105166,105166,105166,105166,7387156,7387156,3393940,3393940,63546099,62303132,74327195,1642981,8080617,4086962,9723598,84050793,5765478,5387957.13304472,61624326,61624326,67389804,71062990,16912214,-150000,-3774411,12987803,12987803,84050793,105166,659564,514121,-2082258,-803407,-142941,-61349.5344754409,-14076.7130285571,-47272.8214468838,-712983,-1516390,-1516390,-1516390,762461,2.91038304567337e-11,-1454940,0.54274,0.0117400000000001,0.012,0.0081,0.00125,-13.8347,1.10294,5.47152,0,0.00214,0.00214,0.17839,0.26428,-0.02961,0.00631,-0.08733,-9.68857000000001,-71.79175
"47","2022_Q2",1.65532258064516,"Down",8220639,-3222390,4998249,-5320083,-4640912,-679171,-321834,14336,14336,-307498,-307498,-1897,-309395,-309395,-309395,-309395,8455671,8455671,3405867,3405867,67322532,65696901,79184070,1519799,8106684,4205833,9626483,88810553,6954565,6954565,65023227,65023227,71977792,75562643,17481716,-150000,-4083806,13247910,13247910,88810553,-309395,679171,662306,4105062,5137144,-39535,-39535,-12787,-26748,-674860,4462284,4462284,4462284,357337,0,4424761,0.60801,-0.03915,-0.03764,-0.02335,-0.00348,-14.30133,1.10012,5.70374,0,-0.00599,-0.00591,0.15922,0.25658,0.0857,-0.01838,0.26287,-23.66302,26.27339
"48","2022_Q3",2.3946875,"Up",8598776,-3900965,4697811,-4969156,-4255976,-713180,-271345,70227,70227,-201118,-201118,-26916,-228034,-228034,-228034,-228034,6527476,6527476,3488759,3488759,80161241,78407101,90177476,1410947,8308647,4501854,9719594,99897070,5575119,5575119,77318603,77318603,82893722,86388907,17970003,-150000,-4311840,13508163,13508163,99897070,-228034,713180,582345,10194830,11262321,1347,1347,-25401,26748,-900349,10361972,10361972,10361972,441835,0,10664928,0.54633,-0.03156,-0.02652,-0.01688,-0.00228,-46.76903,1.08787,6.39531,2.71050543121376e-20,-0.00439,-0.00439,0.16538,0.25981,0.20512,-0.01341,0.62723,-14.77356,24.056
