"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","assets_held_for_sale","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",24.85875,"Up",967823000,-630929000,336894000,-290737000,-71155000,-219582000,46157000,-7067000,-7843000,-8594000,751000,776000,39090000,45416000,-13511000,31905000,31905000,31905000,31905000,142724000,142724000,408769000,408769000,157941000,48034000,9692000,3553000,96662000,727912000,1582845000,2735688000,-1152843000,556744000,278915000,253256000,24573000,2139589000,2867501000,230063000,118605000,111458000,68837000,75850000,75850000,374750000,1042232000,843582000,459437000,384145000,1885814000,2260564000,726408000,-119654000,606835000,102000,606937000,2867501000,31905000,71155000,-9701000,38756000,132115000,-179000,34271000,34271000,-34450000,-34450000,-2328000,-2550000,-50535000,-43589000,1411000,-307000,-94431000,35134000,35134000,35134000,117312000,1111069000,169400000,0.34809,0.04769,0.03297,0.05257,0.01113,5.30951,1.94239,3.72454,0.38747,0.2337,0.23178,7.08929,4.44506,1.24085,0.01246,0.06613,8.25444000000001,20.97937
"26","2016_Q3",27.1403125,"Up",1011854000,-658073000,353781000,-284539000,-68891000,-215648000,69242000,-5837000,-6931000,-7567000,636000,1094000,63405000,65368000,-22472000,42896000,42896000,42896000,42896000,118132000,118132000,417422000,417422000,142112000,46996000,7561000,167000,87388000,693504000,1528558000,2705120000,-1176562000,550804000,274712000,253256000,22836000,2079362000,2772866000,237824000,121116000,116708000,76967000,85565000,85565000,400356000,856643000,907280000,445742000,461538000,1763923000,2164279000,700910000,-92425000,608485000,102000,608587000,2772866000,42896000,68891000,-15207000,15275000,111855000,2532000,37044000,37044000,-34512000,-34512000,5538000.00000001,8405000,-101993000,-42730000,2270000,-129000,-144852000,-24592000,-24592000,-24592000,138133000,933610000,178412000,0.34964,0.06843,0.04239,0.07048,0.01547,4.15918,1.73222,3.55624,0.33669,0.31909,0.31579,7.52683,4.52631,1.32714,0.01751,0.07284,5.90357,11.77722
"27","2016_Q4",30.6912698412698,"Up",-1150741000,917125000,-233616000,231959000,53560000,235285000,-1657000,17023000,14291000,15419000,-1128000,2732000,15366000,7077000,-9112000,-2035000,-2035000,-3099000,-3099000,71258000,71258000,403895000,403895000,162505000,50669000,11830000,9987000,90019000,653922000,1553874000,2754487000,-1200613000,546428000,270508000,253256000,22664000,2100302000,2754224000,271005000,138087000,132918000,72787000,78478000,78478000,422270000,820134000,899581000,438369000,461212000,1719715000,2141985000,691640000,-79503000,612137000,102000,612239000,2754224000,-2035000,-53560000,21626000,-18310000,-52279000,-78409000,-21343000,-21343000,-57066000,-57066000,-23236000,-94534000,92528000,55767000,5640000,-2076000,131466000,-15347000,-15347000,-15347000,-55217000,892921000,-142824000,0.20301,0.00144,0.00269,-0.00506,-0.00113,46.08712,1.54859,3.49861,0.3242,-0.0386,-0.03821,-14.33338,7.62465,-1.77898,0.00485,-0.05939,-14.88062,-495.87387
"28","2017_Q1",31.3687096774194,"Up",289098000,-126189000,162909000,-128172000,-29674000,-79138000.0000001,34737000,232000,-104999.999999998,-155000.000000004,50000,337000,34969000,34969000,-12497000,22472000,22472000,22161000,22161000,8021000,8021000,134406000,133846000,47764000,13244000,9634000,8406000,16480000,190191000,802858000,1151849000,-348991000,85476000,2575000,47031000,35870000,888334000,1078525000,60017000,18006000,42011000,72099998.2205997,18633000,18633000,78650000,1.8e+07,193144000,1.78e+08,15144000,211144000,289794000,224069000,562404000,786473000,2258000,788731000,1078525000,22472000,29674000,1414000.00000001,-1475000,52085000,-12945000,15623000,15623000,-28568000,-28568000,7967000,-12381000,-3.4e+07,3867000,3867000,-210000,-35187000,4517000,4517000,4517000,64411000,1.8e+07,62488000.0000001,0.56351,0.12016,0.07666,0.0281,0.02055,2.81972999999999,2.41819,0.36742,0.01669,0.27496,0.27166,3.587,9.75821,0.775319999999999,0.02701,0.0625,0.15493,0.28727
"29","2017_Q2",32.4752380952381,"Up",271182000,-126313000,144869000,-122231000,-29682000,-71896000,22638000,698000,-24000,-82000,58000,722000,23336000,23336000,-8230000,15106000,15106000,14876000,14876000,61770000,61770000,396251000,396251000,140623000,48557000,5333000,272000,86461000,615307000,1483031000,2755004000,-1271973000,538868000,262101000,253256000,23511000,2021899000,2637206000,277180000,114147000,163033000,66006000,86191000,86191000,429377000,632400000,893635000,408795000,484840000,1526035000,1955412000,689566000,-7874000.00000012,681692000,102000.000000001,681794000,2637206000,15106000,29682000,2737000,17959000,65484000,-11575000,5442000,5442000,-17017000,-17017000,5956000,-5619000,-1.8e+07,2094000,2094000,-2091000,-23088000,36777000,36777000,36777000,52320000,698406000,66934000,0.53421,0.08348,0.05486,0.02182,0.00564000000000001,4.49946,1.43302,2.86804,0.26483,0.18523,0.18308,3.37669,8.48826,0.83345,0.00878,0.02944,12.16812,28.12245
"30","2017_Q3",36.3992063492064,"Up",273243000,-121958000,151285000,-118697000,-29371000,-68730000,32588000,677000,77000.0000000005,-53999.9999999995,131000,6e+05,33265000,29087000,-10828000,18259000,18259000,17971000,17971000,42884000,42884000,401261000,401261000,137482000,45796000,1652000,2766000,87268000,598326000,1458572000,2745228000,-1286656000,533790000,257898000,253256000,22636000,1992362000,2590688000,276136000,133731000,142405000,48613000,87275000,87275000,412024000,592916000,870608000,398083000,472525000,1463524000,1875548000,696615000,18423000,715038000,102000,715140000,2590688000,18259000,29371000,5028000,2772000,55430000,-11012000,7484000,7484000,-18496000,-18496000,286000.000000001,-10726000,7.45058059692383e-09,4224000,4224000,-96000,-706999.999999993,43997000,43997000,43997000,61959000,641529000,64547000,0.55366,0.11926,0.06577,0.02513,0.00694,3.59173,1.45216,2.62263,0.24763,0.22318,0.22105,3.3934,8.88003,0.80161,0.01024,0.02898,9.66195,18.37011
"31","2017_Q4",39.5146031746032,"Up",521608000,-237807000,283801000,-248906000,-46131000,-165508000,34895000,-2884000,-1442000,-1812000,370000,-1442000,32011000,2927000,1272000,4199000,4199000,3881000,3881000,136422000,136422000,551572000,545588000,239861000,65004000,24891000,39850000,110116000,927855000,2296587000,2696268000,-399681000,4323366000,1285571000,2989270000,48525000,6619953000,7547808000,497993000,198168000,299825000,54591000,147922000,147922000,700506000,620259000,1428787000,909941000,518846000,2049046000,2749552000,4214388000,581382000,4795770000,2486000,4798256000,7547808000,4199000,46131000,4103000,-39003000,15430000,-39848000,16564000,16564000,-56412000,-56412000,694000,52626000,50852000,3408000,3408000,-6949000,42468000,110524000,110524000,110524000,81026000,674850000,903000,0.54409,0.0669,0.00744,0.000809999999999998,0.000509999999999997,0.23267,1.32455,0.57303,0.08941,0.03764,0.03732,5.05915,46.51481,0.00876,0.00126,0.000130000000000002,6.64513,15.42995
"32","2018_Q1",45.6119672131148,"Up",1359420000,-572620000,786800000,-642931000,-101921000,-455219000,143869000,-5412000,-6090000,-6738000,648000,678000,138457000,138359000,309502000,447861000,447861000,447564000,447564000,76649000,76649000,574265000,574265000,272293000,58525000,25153000,55114000,133501000,923207000,2384221000,2847143000,-462922000,4376014000,1440903000,2887867000,47244000,6760235000,7683442000,413263000,119867000,293396000,49002000,147285000,147285000,609550000,616903000,1216619000,679077000,537542000,1833522000,2443072000,4220994000,1016738000,5237732000,2638000,5240370000,7683442000,447861000,101921000,-294789000,-68747000,186246000,-242025000,53241000,53241000,-295266000,-295266000,1464000,-240544000,10995000,3757000,3757000,1260000,5327000.00000001,-48971000,-48971000,-48971000,245790000,665905000,-374484000,0.57878,0.10583,0.32923,0.08541,0.05825,-0.83672,1.51457,0.4662,0.08667,2.50464,2.48306,7.60753,29.31118,-2.09567,0.06433,-0.05257,2.3974,4.09578
"33","2018_Q2",39.688125,"Down",1271132000,-565637000,705495000,-611751000,-104372000,-422359000,93744000,-4037000,-6192000,-6764000,572000,2155000,89707000,89707000,-18975000,70732000,70732000,70364000,70364000,79184000,79184000,594042000,589983000,222275000,62212000,30444000,26841000,102778000,895501000,2345863000,2877919000,-532056000,4414722000,1453395000,2910101000,51226000,6760585000,7656086000,417446000,112308000,305138000,46720000,154190000,154190000,618356000,540158000,1188380000,671111000,517269000,1728538000,2346894000,4227444000,1079543000,5306987000,2205000,5309192000,7656086000,70732000,104372000,-17771000,51531000,208864000,-7043000,49423000,49423000,-56466000,-56466000,-103718000,-110651000,-104084000,4461000,4461000,-2919000,-113525000,-15312000,-15312000,-15312000,198116000,586878000,261579000,0.55501,0.07375,0.05536,0.01325,0.00919,3.71751,1.4482,0.44204,0.07666,0.39495,0.39257,7.13478,29.78776,1.46823,0.01148,0.03692,2.56261,5.41575
"34","2018_Q3",33.7930158730159,"Down",1331683000,-587500000,744183000,-619941000,-106435000,-425228000,124242000,-5397000,-6402000,-7132000,730000,1005000,118845000,118845000,-27217000,91627999.9999999,91627999.9999999,91323000.0000001,91323000.0000001,115494000,115494000,598850000,598850000,226988000,58438000,36274000,30036000,102240000,941332000,2403491000,2995795000,-592304000,4408918000,1442707000,2917584000,48627000,6812409000,7753741000,423102000,141465000,281637000,65876000,152243000,152243000,641221000,577775000,1138361000,684595000,453766000,1716136000,2357357000,4234458000,1159687000,5394145000,2239000,5396384000,7753741000,91627999.9999999,106435000,7857000,-38872000,167048000,-114343000,49605000,49605000,-163948000,-163948000,-8224000,-121913000,-8286999.99999999,6473000,6473000,-682000,-13244000,31891000,31891000,31891000,230677000,643651000,104679000,0.55883,0.0933,0.06858,0.01692,0.01178,1.14625,1.46803,0.43684,0.08301,0.51175,0.50904,7.46233,30.22709,0.58659,0.01422,0.01458,2.2896,4.25103
"35","2018_Q4",29.9534920634921,"Down",1346611000,-596707000,749904000,-605624000,-108403000,-409859000,144280000,-3312000,-6639000,-7528000,889000,3327000,140968000,140968000,-34624000,106344000,106344000,105881000,105881000,91335000,91335000,625293000,625293000,255215000,66814000,48583000,41236000,98582000,971843000,2557796000,3200826000,-643030000,4402427000,1431612000,2919528000,51287000,6960223000,7932066000,451312000,164938000,286374000,63555000,165490000,165490000,680357000,673217000,1182306000,726409000,455897000,1855523000,2535880000,4238679000,1154988000,5393667000,2519000,5396186000,7932066000,106344000,108403000,32032000,-42046000,204733000,-230756000,51568000,51568000,-282324000,-282324000,96590000,-234931000,113062000,-98565000,1435000,-669000,3272000,-26926000,-26926000,-26926000,252683000,736772000,14505000,0.55688,0.10714,0.07863,0.01962,0.01335,0.13699,1.42843,0.46994,0.09289,0.59876,0.59572,7.61511,30.5013,0.08203,0.01592,0.00198,2.55433,4.4735
"36","2019_Q1",30.8339344262295,"Up",1394640000,-582641000,811999000,-602424000,-110879000,-411578000,209575000,-4259000,-7737000,-8746000,1009000,3478000,205316000,202518000,-50573000,151945000,151945000,151696000,151696000,82486000,82486000,601228000,601228000,223518000,67011000,39955000,6943000,109609000,907232000,2612837000,3305944000,-693107000,4391816000,1420919000,2919176000,51721000,7004653000,7911885000,395847000,117883000,277964000,58672000,160044000,160044000,614563000,630838000,1203765000,739538000,464227000,1834603000,2449166000,4244097000,1216852000,5460949000,1770000,5462719000,7911885000,151945000,110879000,11530000,26978000,301332000,-178034000,75225000,75225000,-253259000,-253259000,-4884999.99999999,-179797000,-42321000,-78140000,1178000,-1001000,-131945000,-10410000,-10410000,-10410000,320454000,689510000,219971000,0.58223,0.15027,0.10877,0.02777,0.01917,1.45008,1.47622,0.44834,0.08715,0.8687,0.86379,7.98653,31.27261,1.25968,0.02205,0.0299,1.89426,2.89645
"37","2019_Q2",30.9796825396825,"Up",1204535000,-552430000,652105000,-535806000,-111630000,-344416000,116299000,-193000,-6332000,-7348000,1016000,6139000,116106000,116106000,-27923000,88183000,88183000,87938000,87938000,60215000,60215000,555930000,555930000,197317000,74707000,32332000,1399000,88879000,813462000,2623723000,3377112000,-753389000,4643957000,1410227000,2919222000,314508000,7267680000,8081142000,444522000,158646000,285876000,52893000,264552000,264552000,761967000,492864000,1281688000,730516000,551172000,1774552000,2536519000,4249918000,1292838000,5542756000,1867000,5544623000,8081142000,88183000,111630000,3475000,40164000,243452000,-49119000,56661000,56661000,-105780000,-105780000,-1346000,-44721000,-208391000,2941000,2941000,-1662000,-217784000,-19053000,-19053000,-19053000,227929000,545757000,246897000,0.54137,0.09655,0.07301,0.01586,0.01088,2.80763,1.06758,0.45747,0.06753,0.5084,0.50653,6.9638,32.04442,1.42739,0.01338,0.03349,2.13023,4.17495
"38","2019_Q3",33.79859375,"Up",1242083000,-580459000,661624000,-550849000,-113630000,-354776000,110775000,-3078000,-6179000,-7156000,977000,3101000,107697000,105515000,-26076000,79439000,79439000,79205000,79205000,55063000,55063000,549668000,549668000,263581000,67904000,43479000,35437000,116761000,868312000,2745643000,3546930000,-801287000,4599629000,1399534000,2919219000,280876000,7345272000,8213584000,432231000,165085000,267146000,58684000,252672000,252672000,743587000,700734000,1237243000,749077000,488166000,1937977000,2681564000,4.256e+09,1274067000,5530067000,1953000,5532020000,8213584000,79439000,113630000,46178000,-119887000,119360000,-170785000,47157000,47157000,-217942000,-217942000,-9730000,-179161000,151450000,-84470000,2422000,-938000,55762000,-4039000,-4039000,-4039000,224405000,759418000,-40191000,0.53267,0.08918,0.06377,0.01432,0.00964,-0.50743,1.16773,0.48474,0.09246,0.4603,0.45859,7.21835,32.13791,-0.23357,0.01189,-0.00534,3.13877,6.35843
"39","2019_Q4",35.78859375,"Up",1200522000,-570982000,629540000,-526587000,-117643000,-323836000,102953000,-3448000,-6783000,-7790000,1007000,3335000,99505000,99505000,-24524000,74981000,74981000,74619000,74619000,93996000,93996000,513906000,513906000,293066000,73052000,57395000,42538000,120081000,900968000,2846929000,3671073000,-824144000,4574328000,1391157000,2918995000,264176000,7421257000,8322225000,424678000,145155000,279523000,36719000,235361000,235361000,696758000,713814000,1306360000,774683000,531677000,2020174000,2716932000,4264744000,1338374000,5603118000,2175000,5605293000,8322225000,74981000,117643000,51471000,5505000,249600000,-237946000,74289000,74289000,-312235000,-312235000,-4894000,-244538000,27979000,5257999.99999999,5258000,-139000,22866000,27928000,27928000,27928000,220596000,750533000,12679000,0.52439,0.08576,0.06216,0.01331,0.00897,0.16992,1.29309,0.48471,0.09018,0.4377,0.43574,7.04205,32.86691,0.07437,0.01107,0.00165,2.9762,6.37706
"40","2020_Q1",34.5288709677419,"Down",1196810000,-547661000,649149000,-548252000,-120055000,-353320000,100897000,-6743000,-6305000,-7139000,834000,-438000,94154000,92850000,-25275000,67575000,67575000,67444000,67444000,159722000,159722000,518547000,518547000,211759000,62160000,41786000,17026000,90787000,890028000,2850720000,3742739000,-892019000,4540984000,1379459000,2918992000,242533000,7391704000,8281732000,384481000,99194000,285287000,377651000,230906000,230906000,993038000,336383000,1284008000,771719000,512289000,1620391000,2613429000,4270750000,1395465000,5666215000,2088000,5668303000,8281732000,67575000,120055000,45083000,-5531000,227182000,-111987000,82033000,82033000,-194020000,-194020000,-4407000,-115286000,-37680000,2686000,2686000,-245000,-45480000,66416000,66416000,66416000,220952000,714034000,128709000,0.5424,0.0843,0.05635,0.0119,0.00814,1.90838,0.89627,0.46106,0.08622,0.39524,0.39442,7.01361,33.20547,0.75427,0.01013,0.01679,2.50874,5.49384
"41","2020_Q2",37.3165079365079,"Up",1124798000,-530968000,593830000,-490809000,-121695000,-300710000,103021000,-11782000,-5275000,-6107000,832000,-6507000,91239000,90337000,-24554000,65783000,65783000,65426000,65426000,119132000,119132000,521976000,521976000,197334000,59134000,37986000,12646000,87568000,838442000,2873170000,3838947000,-965777000,4576711000,1423666000,2923382000,229663000,7449881000,8288323000,367894000,168018000,199876000,377201000,234186000,234186000,979281000,349679000,1269039000,785588000,483451000,1618718000,2597999000,4277532000,1410527000,5688059000,2265000,5690324000,8288323000,65783000,121695000,51494000,-83629000,155343000,-75675000,33756000,33756000,-109431000,-109431000,-3145000,-125582000,-24498000,-31373000,3257000,-2050000,-71885000,-42124000,-42124000,-42124000,224716000,726880000,89966000,0.52794,0.09159,0.05817,0.0115,0.00789,1.37508,0.85618,0.45656,0.0877,0.38347,0.38198,6.59253,33.33817,0.5273,0.01033,0.0117,2.70452,5.89926
"42","2020_Q3",43.0371875,"Up",1060698000,-496994000,563704000,-461184000,-126075000,-269042000,102520000,4915000,-3584000,-4021000,437000,8499000,107435000,107082000,-26815000,80267000,80267000,80189000,80189000,117760000,117760000,522075000,522075000,189665000,54515000,39641000,5902000,89607000,829500000,2894570000,3947597000,-1053027000,4554958000,1412192000,2922970000,219796000,7449528000,8279028000,333992000,128731000,205261000,403738000,233753000,233753000,971483000,283179000,1258777000,792839000,465938000,1541956000,2513439000,4288994000,1474466000,5763460000,2129000,5765589000,8279028000,80267000,126075000,33871000,-12196000,228017000,-119503000,30707000,30707000,-150210000,-150210000,-7030000,-127484000,-91395000,6635000,6635000,-3417000,-101886000,-1353000,-1353000,-1353000,228595000,686917000,123711000,0.53145,0.09665,0.0756,0.01391,0.00969,1.54274,0.85385,0.43594,0.08297,0.47184,0.46995,6.24127,33.91288,0.72793,0.01218,0.01604,2.48981,5.55167
"43","2020_Q4",40.0196875,"Down",1210406000,-526812000,683594000,-518133000,-127137000,-321032000,165461000,4578000,-2906000,-3232000,326000,7484000,170039000,170039000,-47835000,122204000,122204000,122058000,122058000,240236000,240236000,559657000,559657000,198660000,61686000,38098000,8358000,90518000,998553000,2970565000,4112703000,-1142138000,4532243000,1400719000,2922967000,208557000,7502808000,8501361000,406442000,140228000,266214000,422655000,433102000,433102000,1262199000,257253000,1100661000,802292000,298369000,1357914000,2620113000,4296206000,1582814000,5879020000,2228000,5881248000,8501361000,122204000,127137000,30801000,-8483000,271659000,-80966000,38087000,38087000,-119053000,-119053000,772000,-82536000,-57428000,1740000.00000001,1740000,-55000,-69367000,119756000,119756000,119756000,292598000,679908000,250984000,0.56476,0.1367,0.10084,0.02075,0.01436,2.05627,0.79112,0.4455,0.07998,0.71712,0.713,7.11146,34.54082,1.4746,0.01771,0.03276,1.50265,2.65725
"44","2021_Q1",43.1480327868852,"Up",1277961000,-537561000,740400000,-541629000,-131763000,-339011000,198771000,-1838000,-3616000,-3949000,333000,1778000,196933000,192853000,-50472000,142381000,142381000,142329000,142329000,156699000,156699000,578479000,578479000,188185000,71649000,29756000,2903000,83877000,923363000,2992652000,4223348000,-1230696000,4551987000,1389245000,2922964000,239778000,7544639000,8468002000,525711000,101001000,424710000,52583000,261414000,261414000,839708000,508907000,1247347000,815941000,431406000,1756254000,2595962000,4303089000,1566759000,5869848000,2192000,5872040000,8468002000,142381000,131763000,50250000,-59768000,264626000,-111693000,30680000,30680000,-142373000,-142373000,-33400000,-145110000,-35589000,-143839000,1116000,-7995000,-200746000,-81230000,-81230000,-81230000,330534000,561490000,209545000,0.57936,0.15554,0.11137,0.02424,0.01681,1.47226,1.09962,0.44209,0.06631,0.84683,0.84173,7.60361,34.9244,1.24675,0.02026,0.02728,1.22466,2.03647
"45","2021_Q2",47.0857142857143,"Up",1223014000,-544249000,678765000,-516506000,-131664000,-316772000,162259000,12913000,-3192000,-3486000,294000,16105000,175172000,175172000,-45329000,129843000,129843000,129790000,129790000,194650000,194650000,584011000,584011000,185084000,66278000,20835000,30999.9999999991,97940000,963745000,2975644000,4286833000,-1311189000,4580086000,1393346000,2958709000,228031000,7555730000,8519475000,626870000,126918000,499952000,85035000,236534000,236534000,948439000,414063000,1207635000,797019000,410616000,1621698000,2570137000,4311447000,1625397000,5936844000,12494000,5949338000,8519475000,129843000,131664000,-20390000,64996000,306113000,-43845000,67175000,67175000,-111020000,-111020000,8997000,-74141000,-116600000,-50952000,2709000,-4190000,-185366000,46606000,46606000,46606000,293923000,499098000,360403000,0.55499,0.13267,0.10612,0.02182,0.01523,2.77682,1.01614,0.432,0.05858,0.77497,0.77084,7.30254,35.4485,2.15194,0.01873,0.04707,1.03581,1.87631
"46","2021_Q3",49.69765625,"Up",1315701000,-562444000,753257000,-562142000,-135590000,-355239000,191115000,13803000,-3037000,-3307000,270000,16840000,204918000,204918000,-51783000,153135000,153135000,152804000,152804000,179032000,179032000,648435000,648435000,247410000,58722000,17599000,29369000,141720000,1074877000,3011816000,4401293000,-1389477000,4595766000,1403483000,2971023000,221260000,7607582000,8682459000,600340000,151704000,448636000,72423000,32785000,32785000,705548000,354219000,1524639000,806398000,718241000,1878858000,2584406000,4327572000,1757689000,6085261000,12792000,6098053000,8682459000,153135000,135590000,8715999.99999999,-144050000,153391000,-76636000,59893000,59893000,-136529000,-136529000,-22422000,-122775000,-23827999.9999999,2593000,2593000,-4489000,-42432000,-11816000,-11816000,-11816000,326705000,426642000,157802000,0.57251,0.14526,0.11614,0.02506,0.0176,1.03271,1.52346,0.42381,0.04914,0.91238,0.90753,7.85596,36.33469,0.94223,0.02106,0.0196,0.7579,1.29561
"47","2021_Q4",56.02625,"Up",1642445000,-720852000,921593000,-651506000,-154289000,-410266000,270087000,-2862000,-6934000,-3756106.2618577,278759.204364871,4072000,267225000,267225000,-61059000,206166000,206166000,206178000,206178000,269694000,269694000,830402000,830402000,304369000,76697000,20330000,46899000,160443000,1404465000,3456335000,4933669000,-1477334000,5494182000,1793924000,3461898000,238360000,8950517000,10354982000,738811000,177634000,561177000,78266000,35464000,35464000,852541000,1538022000,1658979000,856926000,802053000,3197001000,4049542000,4346554000,1946984000,6292660000,12780000,6305440000,10354982000,206166000,154289000,45641000,-48076000,358020000,-75583000,54658295.61297,54658295.61297,-166805701.176945,-166805701.176945,1077000,-1351841000,1120889000,2322000,2322000,-5501000,1101107000,107286000,107286000,107286000,424376000,1616288000,361776000,0.56111,0.16444,0.12553,0.0327,0.01991,1.75468,1.64739,0.64223,0.15609,1.24336,1.23507,9.90481,37.94805,2.1817,0.02325,0.03776,3.17312,4.98578
"48","2022_Q1",54.655,"Down",1816859000,-765861000,1050998000,-708463000,-156352000,-464940000,342535000,-14916000,-6804000,-4848013.07572762,335628.584595827,-8112000,327619000,327320000,-72716000,254604000,254604000,254616000,254616000,261001000,261001000,911336000,911336000,241943000,90507000,8166000,909000,142361000,1414280000,3555364000,5118897000,-1563533000,5685856000,1831049000,3515135000,339672000,9241220000,10655500000,777071000,224844000,552227000,262423000,35322000,35322000,1074816000,1297552000,1739682000,874877000,864805000,3037234000,4112050000,4352573000,2181142000,6533152000,10298000,6543450000,10655500000,254604000,156352000,4933000.00000001,-43260000,372629000,-85952000,59727069.9355264,59727069.9355264,-176455291.658056,-176455291.658056,-29079000,-267976000,-75350000,-1856000,1658000,-177000.000000001,-93983000,10670000,10670000,10670000,498887000,1559975000,442391000,0.57847,0.18853,0.14014,0.03891,0.0239,1.73748,1.31583,0.62842,0.1464,1.53019,1.51904,10.91895,39.26291,2.65868,0.02755,0.04494,2.60374,3.79224
"49","2022_Q2",47.0022580645161,"Down",1826989000,-824737000,1002252000,-703356000,-161210000,-446263000,298896000,-20624000,-6219000,-6680000,461000,-14405000,278272000,277462000,-69174000,208288000,208288000,208337000,208337000,242860000,242860000,939704000,939704000,283705000,86742000,11421000,217000,185325000,1466269000,3579685000,5235593000,-1655908000,5649852000,1814883000,3518589000,316380000,9229537000,10695806000,898061000,248762000,649299000,234146000,33822000,33822000,1166029000,1194159000,1754675000,881287000,873388000,2948834000,4114863000,4362525000,2209104000,6570694000,10249000,6580943000,10695806000,208288000,161210000,11974000,75388000,456860000,-104442000,60532000,60532000,-164974000,-164974000,-1963000,-110187000,-143843000,-143661000,1220000,-15608000,-323249000,23424000,23424000,23424000,460106000,1428305000,500226000,0.54858,0.1636,0.11403,0.03166,0.01948,2.40104,1.25749,0.62527,0.13354,1.25526,1.24505,11.00788,39.58941,3.01394,0.0234,0.05123,2.57646,3.96608
"50","2022_Q3",51.0259375,"Up",1961131000,-909186000,1051945000,-726167000,-163697000,-455746000,325778000,-34246000,-8670000,-9345000,675000,-25576000,291532000,291532000,-72090000,219442000,219442000,219492000,219492000,198021000,198021000,1010768000,1010768000,264628000,79405000,11195000,6880000,167148000,1473417000,3601189000,5368062000,-1766873000,5640272000,1798668000,3518589000,323015000,9241461000,10714878000,830241000,220469000,609772000,235775000,37787000,37787000,1103803000,1157617000,1822201000,874601000,947600000,2979818000,4083621000,4374522000,2249333000,6621058000,10199000,6631257000,10714878000,219442000,163697000,24924000,-144939000,263124000,-86841000,43707000,43707000,-130548000,-130548000,-7676000,-94119000,-53597000,-151223000,3837000,-4708000,-229112000,-60107000,-60107000,-60107000,489475000,1393392000,329785000,0.5364,0.16612,0.11192,0.0331,0.02048,1.50249,1.33486,0.61581,0.13004,1.35184,1.34521,12.07853,40.77885,2.03113,0.02428,0.03349,2.44215,3.66928
