"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q3",8.17809523809524,"Down",61723000,-39833000,21890000,-18996000,-14104000,-5144000,2894000,29000,29000,2923000,2787000,2564000,5351000,5351000,5071000,5071000,40628000,40352000,43098000,43098000,26193000,18324000,18324000,128243000,16931000,15036000,5705000,9331000,31967000,160210000,52940000,33098000,19842000,25581000,25273000,308000,87521000,11777000,1743000,10034000,11777000,99298000,814951000,-743790000,-11164000,59997000,60912000,160210000,5351000,1308000,-2645000,253000,4267000,-1964000,-1964000,-1.16415321826935e-10,4000,2307000,2307000,169000,2476000,4202000,9e+06,-72999.9999999991,0.35465,0.04689,0.08216,0.08325,0.03165,-0.0143999999999993,1.46528,1.63019,0.05618,0.47579,0.45084,5.79124,5.62929,-0.00684999999999997,0.06208,-0.00089,-7.52689,-10.92882
"31","2018_Q4",7.44507936507936,"Down",62093000,-43961000,18132000,-19497000,-14745000,-4754000,-1365000,44000,44000,-1321000,-1375000,-1015000,-2390000,-2390000,-2623000,-2623000,37540000,37264000,38459000,38459000,23696000,21649000,21649000,121344000,16915000,15625000,5737000,9888000,32540000,153884000,52778000,31661000,21117000,20751000,20553000,198000,82529000,12106000,1610000,10496000,12106000,94635000,815490000,-746413000,-10976000,58101000,59249000,153884000,-2390000,1391000,654000,-1547000,-1892000,-1706000,-1706000,0,4000,-3594000,-3594000,-12000,-3606000,26000,9e+06,-2212000,0.29201,-0.02198,-0.04224,-0.04427,-0.01705,0.84331,1.47032,1.59724,0.05849,-0.24542,-0.24542,5.8096,5.4361,-0.20696,-0.03264,-0.02753,-1097.69231,20.90842
"32","2019_Q1",7.01049180327869,"Down",62508000,-39323000,23185000,-22171000,-15586000,-5054000,1014000,44000,44000,1058000,1058000,-1152000,-94000,-94000,54000.0000000019,54000.0000000019,37425000,37425000,43068000,43068000,22797000,20176000,20176000,123466000,17179000,15416000,5600000,9816000,32595000,156061000,56742000,30878000,25864000,20726000,19300000,1426000,86468000,12077000,1293000,10784000,12077000,98545000,816480000,-746359000,-12605000,57516000,57516000,156061000,-94000,1218000,305999.999999999,-5e+05,930000.000000001,-1515000,-1251000,-8000.00000000003,-3000.00000000001,-324000.000000001,-324000.000000001,-787000,-1111000,2232000,9e+06,1369000,0.37091,0.01622,0.00086,0.00094,0.00035,25.35185,1.42788,1.71335,0.05767,0.00504000000000013,0.00428000000000003,5.83641,5.37031,0.12782,0.00069,0.01742,-12.73522,-28.03254
"33","2019_Q2",6.73666666666667,"Down",60504000,-42579000,17925000,-19439000,-13706000,-4937000,-1514000,46000,46000,-1468000,-1468000,718000,-750000,-750000,-750000,-750000,28397000,28397000,50874000,50874000,10006000,36029000,36029000,125306000,16889000,16996000,5073000,11923000,33885000,159191000,58578000,33336000,25242000,15593000,13670000,1923000,83171000,13696000,1538000,12158000,13696000,96867000,816536000,-741487000,-12725000,62324000,62324000,159191000,-750000,1288000,746000,-8094000,-6810000,-1802000,-1802000,-389000,-379000,-8991000,-8991000,-67000,-9058000,-226000,9e+06,-10840000,0.29626,-0.02502,-0.0124,-0.01203,-0.00471,14.45333,1.50661,1.55425,0.05654,-0.06988,-0.06988,5.63772,5.80731,-1.01006,-0.00882,-0.1275,85.82743,12.81176
"34","2019_Q3",6.69890625,"Down",65088000,-42598000,22490000,-19607000,-14291000,-5316000,2883000,-33000,-33000,2850000,2850000,-540000,2310000,2310000,2310000,2310000,31542000,31542000,48624000,48624000,9706000,37212000,37212000,127084000,17016000,17084000,5127000,11957000,34100000,161184000,57440000,34777000,22663000,17413000,15846000,1567000,83853000,14004000,1534000,12470000,14004000,97857000,815446000,-739176000,-12943000,63327000,63327000,161184000,2310000,1096000,320000,2518000,6244000,-1434000,-1434000,389000,-1593000,3217000,3217000,-97000,3120000,3979000,9e+06,5603000,0.34553,0.04429,0.03549,0.03648,0.01433,2.42554,1.51556,1.54527,0.05584,0.21397,0.19379,6.0289,5.86578,0.51899,0.02676,0.0649,-5.66524,-7.81894
"35","2019_Q4",7.02859375,"Up",54037000,-37782000,16255000,-18758000,-13408000,-5350000,-2503000,66000,66000,-2437000,-2438000,6777000,4339000,4339000,4339000,4339000,36053000,36053000,45622000,45622000,11258000,33138000,33138000,126071000,16849000,24283000,12185000,12098000,41132000,167203000,56399000,34165000,22234000,19966000,18507000,1459000,85365000,14231000,1553000,12678000,14231000,99596000,815475000,-734837000,-13031000,67607000,67607000,167203000,4339000,1024000,-6380000,6923000,5906000,-847000,-847000,0,-429000,4630000,4630000,-141000,4489000,-1479000,9e+06,-2180000,0.30081,-0.04632,0.0803,0.06418,0.02595,-0.50242,1.47685,1.47316,0.05383,0.4031,0.38908,5.02016,6.28084,-0.20253,0.04777,-0.024,18.29141,10.80823
"36","2020_Q1",6.10709677419355,"Down",64229000,-41629000,22600000,-20098000,-14650000,-5508000,2502000,86000,86000,2588000,2606000,1233000,3839000,3839000,3839000,3839000,31946000,31946000,51937000,51937000,9509000,32605000,32605000,125997000,17255000,25941000,13864000,12077000,43196000,169193000,58160000,35605000,22555000,15051000,13962000,1089000,82211000,15466000,1378000,14088000,15466000,97677000,815250000,-730998000,-12736000,71516000,71516000,169193000,3839000,1060000,-1525000,-5770000,-2396000,-1163000,-1163000,0,-551000,-4110000,-4110000,-4000,-4114000,3562000,9e+06,-4604000,0.35187,0.03895,0.05977,0.05368,0.02269,-1.19927,1.53261,1.36581,0.05319,0.35798,0.34461,5.98928,6.66878,-0.42932,0.04,-0.04797,-6.44189,-9.17106
"37","2020_Q2",6.23587301587302,"Up",58614000,-36058000,22556000,-21037000,-14644000,-5216000,1519000,83000,83000,1602000,1602000,-1548000,54000,54000,54000,54000,34485000,34485000,43198000,43198000,12188000,36096000,36096000,125967000,17478000,32888000,13930000,18958000,50366000,176333000,55118000,31834000,23284000,24199000,18030000,6169000,88317000,18042000,810000,17232000,18042000,106359000,814167000,-730944000,-13249000,69974000,69974000,176333000,54000,1038000,1272000,3285000,5649000,-1302000,-1302000,0,-1490000,2857000,2857000,-318000,2539000,2557000,9e+06,6088000,0.38482,0.02592,0.00092,0.000769999999999986,0.000310000000000001,112.74074,1.42631,1.51998,0.05104,0.00505,0.00488,5.48102,6.5433,0.56929,0.000559999999999998,0.06275,-9.96676,-16.77749
"38","2020_Q3",10.28515625,"Up",92408000,-60727000,31681000,-17479000,-11793000,-6863000,14202000,-295000,-83000,13907000,14208000,-3664000,10544000,10544000,10544000,10544000,38067000,38067000,44387000,44387000,14474000,33398000,33398000,130326000,17800000,31693000,13818000,17875000,49493000,179819000,60415000,38344000,22071000,24135000,19137000,4998000,93550000,17802000,814000,16988000,17802000,111352000,813921000,-732615000,-12839000,68467000,68467000,179819000,-1671000,1077000,1787000,3963000,5156000,-1115000,-1115000,-2.91038304567337e-11,-647000,3394000,3394000,189000,3583000,15279000,9e+06,21791000,0.34284,0.15369,0.1141,0.154,0.05864,2.06667,1.39312,1.62636,0.05005,0.97144,1.00534,8.51373,6.308,2.00765,0.11068,0.22873,-1.90242,-2.04668
"39","2020_Q4",14.20953125,"Up",24968000,-16369000,8599000,-23062000,-17897000,-2990000,-14463000,507000,295000,-13956000,-14257000,2773000,-11484000,-11484000,-11484000,-11484000,39208000,39208000,48148000,48148000,15454000,34584000,34584000,137394000,17602000,24765000,13780000,10985000,42367000,179761000,61604000,38434000,23170000,25419000,21485000,3934000,96023000,16795000,818000,15977000,16795000,112818000,814040000,-731884000,-15213000,66943000,66943000,179761000,731000,1111000,-1436000,3414000,3820000,-1528000,-1528000,0,-388000,1904000,1904000,-766000,1138000,-13352000,9e+06,-14239000,0.3444,-0.57926,-0.45995,-0.17155,-0.06388,1.2399,1.43084,1.68528,0.05007,-1.06412,-1.06412,2.31357,6.20302,-1.3194,-0.12383,-0.15354,2.26243,2.08864
"40","2021_Q1",26.322131147541,"Up",62652000,-40792000,21860000,-15691000,-13651000,-4215000,6169000,35999.9999999999,-295000,6204999.99999999,2156000,-1013000,1143000,1143000,1143000,1143000,41618000,41618000,44661000,44661000,15231000,38440000,38440000,139950000,16911000,22940000,12799000,10141000,39851000,179801000,58915000,31995000,26920000,26055000,21872000,4183000,93970000,17150000,545000,16605000,17150000,111120000,814391000,-730741000,-14969000,68681000,68681000,179801000,1143000,1161000,5331000,-4767000,2868000,-663000,-663000,-4.65661287307739e-10,-19999.9999999995,2185000,2185000,895000,3080000,7330000.00000001,9e+06,2913000,0.34891,0.09846,0.0182400000000001,0.01664,0.00636,2.54856,1.48931,1.61791,0.05006,0.10595,0.10023,5.80756,6.36643,0.27002,0.01205,0.03072,-4.44993,-5.2874
"41","2021_Q2",34.8292063492064,"Up",66290000,-42041000,24249000,-17684000,-12837000,-4847000,6565000,35000,35000,6600000,6600000,-664000,5936000,5936000,5936000,5936000,36226000,36226000,45027000,45027000,15659000,41046000,41046000,137958000,16562000,22253000,12548000,9705000,38815000,176773000,55982000,31720000,24262000,28095000,25233000,2862000,84077000,16799000,510000,16289000,16799000,100876000,815257000,-724805000,-14555000,75897000,75897000,176773000,5936000,1254000,1542000,-4491000,4241000,-1018000,-1018000,-9e+06,-8705000,-5482000,-5482000,89000,-5393000,7819000,0,2974000,0.3658,0.09903,0.08955,0.07821,0.03358,0.50101,1.64085,1.32912,0,0.54851,0.53516,6.12549,7.01321,0.27481,0.06404,0.03208,-4.63307,-5.51805
"42","2021_Q3",34.565625,"Down",70531000,-43622000,26909000,-19031000,-13612000,-5419000,7878000,38000,-35000,7916000,7916000,-1275000,6641000,6641000,6641000,6641000,43046000,43046000,49450000,49450000,18790000,45089000,42871000,156375000,13451000,23550000,12186000,11364000,37001000,193376000,63743000,37623000,26120000,28015000,25707000,2308000,91758000,17055000,608000,16447000,17055000,108813000,817098000,-718164000,-14371000,84563000,84563000,193376000,6640999.99999999,1407000,1489000,-3558000,5979000,-358000,-358000,0,1023000,6644000,6644000,177000,6821000,9285000,0,6644000,0.38152,0.1117,0.09416,0.07853,0.03434,1.00045,1.70421,1.28677,0,0.6034,0.57929,6.40841,7.68335,0.60367,0.06535,0.06538,-4.63608,-5.46408
"43","2021_Q4",31.2359375,"Down",66404000,-40826000,25578000,-20381000,-15106000,-5275000,5197000,128000,-2068275.64058553,5325000,4163000,90568000,94731000,94731000,94731000,94731000,45808000,45808000,47564000,47564000,23127000,47785000,45567000,164284000,12563000,113729000,102551000,11178000,126292000,290576000,64002000,37247000,26755000,29664000,26954000,2710000,93666000,17189000,565000,16624000,17189000,110855000,817697000,-623433000,-14655000,179721000,179721000,290576000,94731000,1355000,-87666000,-4453000,3967000,-1023000,-1023000,0,-54000,2890000,2890000,-126000,2764000,6552000,0,-89492000,0.38519,0.07826,1.42659,0.5271,0.32601,-0.9447,1.75393,0.61682,-1.73472347597681e-18,8.67977,8.39963,6.0843,16.45675,-8.19974,0.48109,-0.45448,-6.99145,-8.81432
"44","2022_Q1",29.1811290322581,"Down",71686000,-45807000,25879000,-21038000,-14769000,-6269000,4841000,29000,-7384826.92175658,4870000,3761000,-930000,2831000.00000001,2831000,2830999.99999999,2830999.99999999,47942000,47942000,48135000,48135000,24867000,49295000,47077000,170239000,11701000,115713000,103467000,12246000,127414000,297653000,60559000,32405000,28154000,35810000,32304000,3506000,96369000,17949000,614000,17335000,17949000,114318000,818939000,-620602000,-14327000,183335000,183335000,297653000,2831000,1367000,-1756000,669000.000000001,3111000,-448000,-448000,0,-312000,2351000,2351000,-140000,2211000,6208000,0,7358999.99999999,0.361,0.06753,0.0394899999999998,0.01544,0.00951,2.59943,1.76653,0.62355,0,0.259389999999998,0.251019999999999,6.56826,16.78789,0.674269999999998,0.01406,0.03656,-7.72262,-9.90333
"45","2022_Q2",28.9327419354839,"Down",73158000,-47077000,26081000,-18608000,-12698000,-5910000,7473000,28000,-17304653.8435132,7501000,6842000,-2160000,4682000,4682000,4682000,4682000,47313000,47313000,59438000,59438000,25511000,51424000,49206000,183686000,10676000,114557000,102324000,12233000,125233000,308919000,64128000,39378000,24750000,39112000,35483000,3629000,103240000,17767000,587000,17180000,17767000,121007000,818211000,-615920000,-14491000,187912000,187912000,308919000,4682000,1264000,2634000,-7898000,682000,-349000,-349000,12013974.3513255,-804000,-471000,-471000,-187000,-658000,8737000,0,2650000,0.3565,0.10215,0.064,0.02492,0.01516,0.566,1.77921,0.64396,-1.0842021724855e-19,0.41401,0.39147,6.46901,16.60624,0.23433,0.02276,0.01288,-5.41525,-6.33119
"46","2022_Q3",30.00515625,"Up",77864000,-49708000,28156000,-19908000,-13739000,-6169000,8248000,-240000,-33147756.4058553,8008000,8968000,-3052000,5916000,5916000,5916000,5916000,21362000,21360000,91371000,91371000,37060000,73732000,73732000,223525000,11416000,114347000,89647000,12708000,125763000,349288000,83355000,59750000,23605000,48950000,46694000,2256000,132305000,8487000,563000,7924000,8487000,140792000,826926000,-596142000,-16141000,208496000,208496000,349288000,5916000,1129000,3337000,-13227000,-2845000,-449000,-449000,45041923.0539764,-1589000,-4883000,-4883000,-104000,-4987000,9377000,0,-1247000,0.3616,0.10593,0.0759799999999999,0.02837,0.01694,-0.21078,1.68947,0.67527,0,0.52312,0.49465,6.88514,18.43629,-0.110269999999999,0.02726,-0.00575,-2.27813,-2.58996
