"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2017_Q2",35.0307936507936,"Down",192470000,-97708000,94762000,-67501000,-37346000,-26840000,-3315000,27261000,-4663000,-3500000,-1163000,22598000,-248000,22350000,-2113000,20237000,20237000,20237000,20237000,237872000,107422000,130450000,195311000,195311000,87335000,17874000,69461000,520518000,36418000,295466000,202750000,12328000,80388000,331884000,852402000,81066000,31803000,547000,48716000,16875000,102338000,50435000,51903000,200279000,322541000,25851000,7595000,3643000,14613000,348392000,548671000,416139000,-799605000,728186000,-40989000,303731000,303731000,852402000,20237000,10786000,12472000,-13531000,29964000,-13920000,19799000,5879000,-38521000,-10839000,385000,-11224000,-56393000,-20550000,-20550000,1621000,-18929000,38047000,339416000,12709000,0.49235,0.14164,0.10514,0.06663,0.02374,0.62801,2.59896,1.80644,0.39819,0.63209,0.62088,6.01168,9.48685,0.39696,0.04076,0.019,2.66891,3.72488
"28","2017_Q3",35.3946031746032,"Up",192713000,-97660000,95053000,-68074000,-36819000,-27939000,-3316000,26979000,-3945000,-3442000,-503000,23034000,-2731000,20303000,-8722000,11581000,11581000,11581000,11581000,244954000,125111000,119843000,197486000,197486000,88503000,13517000,74986000,530943000,36343000,297108000,206634000,13455000,77019000,333451000,864394000,80719000,29982000,423000,50314000,18750000,109415000,57865000,51550000,208884000,318098000,22286000,7710000,100000.000000001,14476000,340384000,549268000,422327000,-804650000,733110000,-35661000,315126000,315126000,864394000,11581000,10263000,4520000,8160000,34524000,-12344000,10661000,-1683000,-3750000,-4797000,461000,-5258000,-15227000,17614000,17614000,75000,17689000,37242000,336848000,41780000,0.49324,0.14,0.06009,0.03675,0.0134,3.60763,2.54181,1.74301,0.38969,0.35555,0.35098,5.91652,9.67475,1.2827,0.02708,0.06196,2.46748,3.40613
"29","2017_Q4",38.8903174603175,"Up",199195000,-99717000,99478000,-69484000,-35816000,-30324000,-3344000,29994000,-4990000,-3386000,-1604000,25004000,-1618000,23386000,-8806000,14580000,14580000,14580000,14580000,258547000,142751000,115796000,201837000,201837000,79282000,9560000,69722000,539666000,37822000,297884000,210023000,14251000,73610000,335706000,875372000,92645000,31686000,613000,60346000,20625000,97826000,53597000,44229000,211096000,313663000,25761000,11550000,98000,14113000,339424000,550520000,423608000,-809748000,741037000,-30045000,324852000,324852000,875372000,14580000,10596000,5360000,7798000,38334000,-7188000,4105000,-3083000,-3750000,-7869000,413000,-8282000,-18311000,16940000,16940000,7e+05,17640000,40590000,334288000,50006000,0.4994,0.15058,0.07319,0.04488,0.01666,3.42977,2.5565,1.69468,0.38188,0.44777,0.44315,6.11759,9.97672,1.53576,0.03106,0.07301,1.866,2.52521
"30","2018_Q1",41.4704918032787,"Up",205204000,-99726000,105478000,-75231000,-43714000,-28112000,-3405000,30247000,-4377000,-3220000,-1157000,25870000,-4199000,21671000,-6705000,14966000,14966000,14966000,14966000,261360000,122243000,139117000,219531000,219531000,73375000,13839000,59536000,554266000,44651000,305617000,210080000,14057000,81480000,350268000,904534000,102620000,38420000,1216000,62984000,22500000,97473000,41885000,55588000,222593000,309236000,29959000,12346000,4584000,13029000,339195000,561788000,427780000,-814732000,749438000,-19740000,342746000,342746000,904534000,14966000,11236000,11550000,-13379000,24373000,-7670000,-23347000,-31017000,-3750000,-5368000,517000,-5885000,-15563000,-22207000,-22207000,1699000,-20508000,41483000,331736000,27139000,0.51402,0.1474,0.07293,0.04366,0.01655,1.81338,2.49004,1.63908,0.36675,0.46034,0.45394,6.31183,10.54246,0.83476,0.03039,0.03853,1.6965,2.32671
"31","2018_Q2",38.631875,"Down",201704000,-101096000,100608000,-73941000,-40648000,-29379000,-3914000,26667000,-4753000,-3455000,-1298000,21914000,-1710000,20204000,-6190000,14014000,14014000,14014000,14014000,222098000,147503000,74595000,213051000,213051000,80075000,12261000,67814000,515224000,59553000,353661000,222915000,13844000,116902000,413214000,928438000,83065000,35536000,1502000,46027000,7500000,94136000,38197000,55939000,184701000,354759000,30903000,9191000,8412000,13300000,385662000,570363000,426618000,-820434000,764015000,-12124000,358075000,358075000,928438000,14014000,13860000,10373000,-8392000,29855000,-12235000,64438000,-16433000,3e+07,-11436000,484000,-11920000,9685000,23107000,23107000,2153000,25260000,40527000,362259000,26090000,0.49879,0.13221,0.06948,0.03914,0.01509,1.86171,2.7895,1.59286,0.39018,0.43083,0.42336,6.20093,11.00821,0.80208,0.02855,0.03473,3.45846,5.25597
"32","2018_Q3",36.1336507936508,"Down",213033000,-109492000,103541000,-76125000,-40624000,-30953000,-4548000,27416000,-3363000,-3710000,347000,24053000,-3329000,20724000,-5607000,15117000,15117000,15117000,15117000,186364000,119671000,66693000,239913000,239913000,87968000,10951000,77017000,514245000,75040000,337946000,210605000,12303000,115038000,412986000,927231000,82820000,37316000,1006000,44498000,7500000,101446000,39558000,61888000,191766000,353904000,31701000,9074000,9162000,13465000,385605000,577371000,432142000,-826066000,772071000,-28287000,349860000,349860000,927231000,15117000,15559000,7800000,-42117000,-3641000,-14480000,8083000.00000001,-6397000,-1875000,-5749000,650000,-6399000,-14610000,-24648000,-24648000,-3184000,-27832000,42975000,361404000,-8015000,0.48603,0.12869,0.07096,0.04321,0.0163,-0.5302,2.68163,1.65029,0.38977,0.46387,0.45937,6.53696,10.73552,-0.24594,0.02969,-0.01079,4.07307,6.38459
"33","2018_Q4",32.2803174603175,"Down",213055000,-109052000,104003000,-75551000,-39243000,-31477000,-4831000,28452000,-5161000,-3781000,-1380000,23291000,-2799000,20492000,-4391000,16101000,16101000,16101000,16101000,199302000,197172000,2130000,246731000,246731000,83005000,7452000,75553000,529038000,78265000,340006000,210697000,11011000,118298000,418271000,947309000,96080000,39054000,448000,56578000,7500000,99057000,41388000,57669000,202637000,353109000,33144000,13578000,5881000,13685000,386253000,588890000,437105000,-831585000,781188000,-28289000,358419000,358419000,947309000,16101000,15848000,2939000,12167000,47055000,-17332000,64661000,44522000,-1875000,-5148000,567000,-5715000,-13845000,77732000,77732000,-231000,77501000,44300000,360609000,43526000,0.48815,0.13354,0.07557,0.04492,0.017,2.70331,2.61077,1.64302,0.38067,0.49531,0.49079,6.55413,11.0259,1.33897,0.03048,0.05787,3.64124,5.66944
"34","2019_Q1",35.7388524590164,"Up",247267000,-130180000,117087000,-86029000,-48793000,-32225000,-5011000,31058000,-3858000,-4075000,217000,27200000,-1633000,25567000,-4669000,20898000,20898000,20898000,20898000,162880000,139277000,23603000,235827000,235827000,200860000,6720000,194140000,599567000,81813000,432982000,255816000,11087000,64223000,514795000,1114362000,106711000,45386000,218000,61107000,7500000,236180000,40236000,195944000,350391000,352326000,50621000,17527000,8205000,24889000,402947000,753338000,442110000,-842360000,795127000,-33853000,361024000,361024000,1114362000,20898000,17365000,8383000,23426000,70072000,-13057000,-21426000,-107831000,-1875000,-10082000,610000,-10692000,-18739000,-56498000,-56498000,-1397000,-57895000,48423000,359826000,63461000,0.47352,0.12561,0.08452,0.05789,0.01875,3.0367,1.71114,2.08667,0.3229,0.64644,0.64096,7.64869,11.16753,1.96304,0.03588,0.08226,4.0672,6.34123
"35","2019_Q2",42.5450793650794,"Up",244793000,-128963000,115830000,-83622000,-45918000,-32591000,-5113000,32208000,-6242000,-4041000,-2201000,25966000,-115000,25851000,-6600000,19251000,19251000,19251000,19251000,141905000,123572000,18333000,244936000,244936000,163887000,3161000,160726000,550728000,85895000,510424000,258512000,10821000,142903000,596319000,1147047000,92891000,40792000,625000,51474000,7500000,219089000,47212000,171877000,319480000,351556000,108501000,16928000,8798000,82775000,460057000,779537000,442181000,-851650000,806967000,-29988000,367510000,367510000,1147047000,19251000,17062000,5690000,-29177000,12826000,-8286000,5451000,-6835000,-1875000,-13056000,512000,-13568000,-22572000,-16581000,-16581000,876000,-15705000,49270000,359056000,18407000,0.47318,0.13157,0.07864,0.05238,0.01678,0.95616,1.72383,2.12113,0.31303,0.5992,0.59347,7.6193,11.43893,0.57293,0.0322,0.02204,4.40737,6.74214
"36","2019_Q3",47.8225,"Up",245856000,-132234000,113622000,-81458000,-45372000,-30645000,-5441000,32164000,-3501000,-4081000,580000,28663000,-1826000,26837000,-7458000,19379000,19379000,19379000,19379000,131451000,113777000,17674000,265795000,265795000,175382000,7206000,168176000,572628000,84354000,522735000,256890000,10442000,161851000,607089000,1179717000,96738000,44874000,430000,51434000,8438000,230408000,48277000,182131000,335584000,349860000,119949000,15463000,11204000,93282000,469809000,805393000,447208000,-858186000,819098000,-33796000,374324000,374324000,1179717000,19379000,18117000,8576000,-30469000,15603000,-9572000,759999.999999993,-8812000,-1875000,-6570000,603000,-7173000,-15612000,-8821000.00000001,-8821000.00000001,-974000,-9795000,50281000,358298000,17698000,0.46215,0.13082,0.07882,0.05177,0.01643,0.91326,1.70636,2.15159,0.30372,0.60382,0.59705,7.6605,11.66336,0.55144,0.03114,0.02076,4.51158,7.05282
"37","2019_Q4",50.62390625,"Up",251414000,-132054000,119360000,-84610000,-46694000,-32551000,-5365000,34750000,-4599000,-3998000,-601000,30151000,-1330000,28821000,-7262000,21559000,21559000,21559000,21559000,171967000,160630000,11337000,242616000,242616000,192882000,4204000,188678000,607465000,84230000,515462000,253050000,9822000,163699000,599692000,1207157000,109113000,39534000,1236000,68343000,9375000,238591000,46970000,191621000,357079000,348178000,119864000,13879000,12822000,93163000,468042000,825121000,452302000,-862917000,833348000,-40697000,382036000,382036000,1207157000,21559000,15319000,7332000,34888000,79098000,-9848000,6372000,-16670000,-1875000,-4427000,515000,-4942000,-13474000,48954000,48954000,-2101000,46853000,50069000,357553000,82371000,0.47475,0.13822,0.08575,0.05643,0.01786,3.82072,1.70121,2.1598,0.29619,0.6734,0.66295,7.85301,11.93303,2.57289,0.03343,0.09584,3.7066,5.3406
"38","2020_Q1",44.8414516129032,"Down",254747000,-131871000,122876000,-91055000,-53345000,-32207000,-5503000,31821000,-3225000,-3843000,618000,28596000,-4382000,24214000,-1633000,22581000,22581000,22581000,22581000,182657000,156548000,26109000,244058000,244058000,242367000,4297000,238070000,669082000,84429000,529519000,259164000,9392000,260963000,613948000,1283030000,113037000,32704000,2806000,77527000,10313000,295343000,45094000,250249000,418693000,346509000,121166000,18552000,6376000,96238000,467675000,886368000,455359000,-867817000,848623000,-39503000,396662000,396662000,1283030000,22581000,16624000,1137000,3171999.99999999,43514000,-9613000,-14706000,-24319000,-1875000,-17549000,-12314000,-5235000,15733000,34928000,34928000,3301000,38229000,48445000,356822000,43637000,0.48235,0.12491,0.08864,0.05693,0.0176,1.93247,1.59803,2.23457,0.27811,0.70638,0.696,7.96906,12.40848,1.36506,0.03399,0.04989,3.59511,5.47327
"39","2020_Q2",43.3679365079365,"Down",245617000,-131206000,114411000,-80286000,-44384000,-30337000,-5565000,34125000,-4483000,-3684000,-799000,29642000,-966000,28676000,-7162000,21514000,21514000,21514000,21514000,131273000,107744000,23529000,260713000,260713000,206318000,5435000,200883000,598304000,80754000,545399000,262833000,8653000,187939000,626153000,1224457000,85563000,37960000,1155000,46448000,11250000,247990000,50320000,197670000,344803000,344853000,147970000,18575000,15786000,113609000,492823000,837626000,453223000,-874225000,862444000,-54611000,386831000,386831000,1224457000,21514000,16353000,15071000,-60151000,-7213000,-4822000,2633000,-12180000,-1875000,-13312000,564000,-13876000,-23464000,-42857000,-42857000,-5947000,-48804000,50478000,356103000,-7333000,0.46581,0.13894,0.08759,0.05562,0.01757,-0.34085,1.73521,2.16535,0.29083,0.67244,0.66487,7.67697,12.09074,-0.2292,0.03344,-0.00823,4.45402,6.58842
"40","2020_Q3",39.64390625,"Down",240321000,-138153000,102168000,-79896000,-44999000,-29263000,-5634000,22272000,-5525000,-3737000,-1788000,16747000,-2497000,14250000,-3884000,10366000,10366000,10366000,10366000,171202000,144019000,27183000,244413000,244413000,227153000,7516000,219637000,642768000,84689000,541925000,262774000,9193000,188041000,626614000,1269382000,87815000,34494000,7632000,45689000,12188000,270764000,52195000,218569000,370767000,342274000,158719000,16772000,13334000,128613000,500993000,871760000,459061000,-874592000,865041000,-51888000,397622000,397622000,1269382000,10366000,16889000,13767000,17051000,58073000,-9512000,-3560000,-13072000,-2812000,44000,683000,-639000,-39092000,5909000,5909000,1966000,7874999.99999999,39161000,354462000,50584000,0.42513,0.09268,0.04313,0.02607,0.00817,4.8798,1.73362,2.19243,0.27924,0.32293,0.32135,7.48664,12.38698,1.57583,0.0197,0.05554,4.67966,8.22827
"41","2020_Q4",40.81421875,"Up",244108000,-131073000,113035000,-83274000,-47032000,-30425000,-5817000,29761000,-3984000,-3387000,-597000,25777000,-3035000,22742000,-9176000,13566000,13566000,13566000,13566000,212094000,174489000,37605000,225117000,225117000,199975000,3341000,196634000,637186000,83199000,551431000,266636000,9641000,275154000,634630000,1271816000,99815000,36617000,3664000,59534000,13125000,244446000,52835000,191611000,357386000,339707000,164796000,18884000,10388000,135524000,504503000,861889000,463476000,-880162000,870848000,-44235000,409927000,409927000,1271816000,13566000,16772000,1633000,33298000,65269000,-9867000,-10430000,-21797000,-2813000,-4820000,591000,-5411000,-34075000,9397000,9397000,2328000,11725000,46533000,352832000,79140000,0.46305,0.12192,0.05557,0.03309,0.01067,5.8337,1.78291,2.10254,0.27742,0.42241,0.42036,7.60082,12.76395,2.46419,0.0228,0.08532,3.02448,4.72894
"42","2021_Q1",44.3690163934426,"Up",260487000,-135165000,125322000,-100596000,-61864000,-32822000,-5910000,24726000,-3225000,-3448000,223000,21501000,-1813000,19688000,-6423000,13265000,13265000,13265000,13265000,240297000,188699000,51598000,226623000,226623000,247671000,2167000,245504000,714591000,81759000,535650000,272322000,10205000,226670000,617409000,1.332e+09,122750000,29834000,6627000,86289000,14063000,299447000,52357000,247090000,436260000,337154000,136191000,17275000,5109000,113807000,473345000,909605000,471257000,-894126000,876402000,-31138000,422395000,422395000,1.332e+09,13265000,16859000,7641000,19099000,56864000,-5196000,-14013000,-19209000,-2813000,-17512000,685000,-18197000,4518000,42173000,42173000,4107000,46280000,41585000,351217000,61911000,0.48111,0.09492,0.05092,0.0314,0.00996,4.66724,1.63799,2.15345,0.26368,0.41675,0.41165,8.18369,13.27034,1.94505,0.02295,0.06805,2.66731,4.48597
"43","2021_Q2",44.091746031746,"Down",253119000,-133542000,119577000,-87140000,-48815000,-32212000,-6113000,32437000,-4023000,-3468000,-555000,28414000,-1832000,26582000,-6951000,19631000,19631000,19631000,19631000,205148000,150609000,54539000,247025000,247025000,190835000,2421000,188414000,643008000,81944000,549529000,273265000,9892000,240787000,631473000,1274481000,109866000,32949000,5797000,71120000,241881000,235986000,55840000,180146000,587733000,107733000,151300000,15505000,11569000,124226000,259033000,846766000,472068000,-900644000,887790000,-31499000,427715000,427715000,1274481000,19631000,16850000,12792000,-51497000,-2224000,-8239000,-2964000,-11851000,-2813000,-11119000,619000,-11738000,-64059000,-78134000,-78134000,-850999.999999999,-78985000,49287000,349614000,-3498000,0.47241,0.12815,0.07756,0.0459,0.0154,-0.17819,1.09405,1.97974,0.27432,0.61647,0.61068,7.94872,13.43157,-0.10985,0.03044,-0.00377,2.93112,4.45374
"44","2021_Q3",45.535625,"Up",255134000,-132938000,122196000,-88270000,-49250000,-32754000,-6266000,33926000,-3649000,-3549000,-1e+05,30277000,-2544000,27733000,-8412000,19321000,19321000,19321000,19321000,212093000,163768000,48325000,223228000,223228000,242623000,8170000,234453000,677944000,81261000,532479000,274843000,9500000,224318000,613740000,1291684000,109640000,31852000,937000,76851000,242968000,270631000,54956000,215675000,623239000,104120000,124545000,14288000,10941000,99316000,228665000,851904000,477714000,-907601000,898961000,-29294000,439780000,439780000,1291684000,19321000,17547000,6062000,1522999.99999999,44453000,-6919000,6188000,-12180000,-3750000,-6338000,716000,-7054000,-582000,31691000,31691000,-984000,30707000,51473000,347088000,54489000,0.47895,0.13297,0.07573,0.04393,0.01496,2.8202,1.08778,1.93711,0.26871,0.60674,0.60104,8.012,13.81045,1.71112,0.03,0.05979,2.62264,3.9791
"45","2021_Q4",51.91125,"Up",263209000,-134705000,128504000,-95532000,-54923000,-34384000,-6225000,32972000,-9433000,-3558000,-5875000,23539000,-1003000,22536000,-6406000,16130000,16130000,16130000,16130000,224540000,195365000,29175000,243160000,243160000,254017000,3889000,250128000,721717000,76725000,566314000,313246000,9156000,215216000,643039000,1364756000,127397000,32080000,2192000,93125000,236570000,299274000,64252000,235022000,663241000,138905000,118986000,14006000,6700000,98280000,257891000,921132000,483091000,-914274000,906955000,-32148000,443624000,443624000,1364756000,16130000,18521000,7427000,4002000,46080000,-7373000,19134000,-27253000,3e+07,-6185000,591000,-6776000,29048000,47875000,47875000,-37000,47838000,51493000,375475000,54528000,0.48822,0.12527,0.06128,0.03636,0.01182,3.38053,1.08817,2.07638,0.27512,0.50794,0.50469,8.28848,13.96977,1.71709,0.02572,0.05813,2.93118,4.57767
"46","2022_Q1",59.1372580645161,"Up",275025000,-142026000,132999000,-103278000,-61706000,-35341000,-6231000,29721000,-3114000,-3629000,515000,26607000,-2512000,24095000,-6846000,17249000,17249000,17249000,17249000,233672000,205635000,28037000,244317000,244317000,270210000,6414000,263796000,748199000,73580000,565370000,321330000,8584000,205699000,638950000,1387149000,126910000,35397000,398000,91115000,237500000,330692000,53748000,276944000,695102000,137219000,114584000,19599000,7752000,87233000,251803000,946905000,489008000,-930106000,916060000,-38353000,436609000,440244000,1387149000,17249000,19883000,7392000,7390000,51914000,-4031000,1124000,-15422000,-1875000,-16001000,684000,-16685000,2202000,38694000,38694000,-1082000,37612000,49604000,374719000,59809000,0.48359,0.10807,0.06272,0.03918,0.01243,3.46739,1.07639,2.15086,0.27014,0.54317,0.53971,8.66057,13.74887,1.88339,0.02709,0.06434,2.84346,4.7457
"47","2022_Q2",59.7751612903226,"Up",264400000,-138418000,125982000,-96461000,-57342000,-32981000,-6138000,29521000,-2330000,-3142000,812000,27191000,-20562000,6629000,-516000,6113000,6113000,6113000,6113000,187590000,181457000,6133000,238368000,238368000,260817000,8617000,252200000,686775000,70803000,545756000,319034000,8755000,188733000,616559000,1303334000,97509000,35193000,8e+05,61516000,252500000,296868000,51990000,244878000,646877000,135532000,106753000,16156000,7729000,82868000,242285000,889162000,472787000,-946102000,923389000,-35902000,414172000,414172000,1303334000,6113000,20008000,23702000,-55372000,-5549000,-10375000,21887000,11512000,824000,-23010000,650000,-23660000,-54614000,-48651000,-48651000,1351000,-47300000,49529000,388032000,-15702000,0.47648,0.11165,0.02312,0.01476,0.00469,-2.56862,1.06168,2.14684,0.29772,0.19328,0.1914,8.35968,13.09511,-0.49646,0.0165,-0.01727,4.04696,6.78981
"48","2022_Q3",57.773125,"Down",262168000,-138134000,124034000,-97746000,-57465000,-34630000,-5651000,26288000,-118000,-2560000,2442000,26170000,-19005000,7165000,-1848000,5317000,5317000,5317000,5317000,135035000,133770000,1265000,236577000,236577000,336643000,19563000,317080000,708255000,75676000,506748000,301222000,8251000,171420000,582424000,1290679000,87299000,34182000,653000,52464000,252500000,343638000,52514000,291124000,683437000,133845000,96375000,19382000,196000,76797000,230220000,913657000,479980000,-967659000,920233000,-55532000,377022000,377022000,1290679000,5317000,19722000,12511000,-45266000,-7716000,-9272000,4867999.99999999,-4404000,-1875000,-20680000,773000,-21453000,19427000,7307000,7307000,-4679000,2628000,46010000,386345000,-6680000,0.47311,0.10027,0.02028,0.0141,0.00412,-1.25635,1.03631,2.42335,0.29933,0.16987,0.16884,8.37571,12.04505,-0.21341,0.01586,-0.00776999999999999,5.46207,9.55988
