"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",18.4711111111111,"Up",28092000,-27484000,608000,-3847000,-3847000,-3239000,-73000,-434000,287000,-3312000,-3312000,1240000,-2072000,-2072000,-2072000,-155000,-2227000,69000,69000,8819000,8819000,8910000,3197000,1665000,17798000,177750000,27368000,88250000,88250000,293368000,311166000,15935000,5435000,10500000,2513000,19041000,100564000,55914000,25083000,30831000,156478000,175519000,12160000,92347000,28804000,2336000,135647000,135647000,311166000,-2072000,-2072000,1577000,576000,-4424000,-4343000,-2331000,-2331000,-2331000,-4456000,-6787000,-937000,12392000,12392000,-25288000,37680000,11161000,31000,31000,31000,-1662000,103077000,-9657000,0.02164,-0.1153,-0.07928,-0.01642,-0.00716,4.33633,0.93472,1.29394,0.33126,-0.15681,-0.15681,1.97803,8.69504,-0.67997,0.06598,-0.00438,-0.03278,-0.42075,-61.97834,-31.80241
"30","2017_Q3",20.2974603174603,"Up",36893000,-27445000,9448000,-3116000,-3116000,6332000,-518000,-417000,40000.0000000001,5814000,5694000,-2158000,3536000,3536000,3540000,-155000,3385000,228000,228000,14804000,14804000,5080000,3287000,1793000,20112000,184595000,30962000,91470000,91470000,307027000,327139000,18343000,7071000,11272000,2814000,21661000,105507000,58893000,27186000,31707000,164400000,186061000,11114000,93686000,31398000,4243000,140441000,141078000,327139000,3536000,3536000,1614000,840000,9e+05,6890000,-3345000,-3345000,-3345000,-5823000,-9168000,-943000,3380000,3380000,-25806000,29186000,2437000,159000,159000,159000,7946000,108321000,7659000,0.25609,0.17163,0.09175,0.02399,0.01035,2.26263,0.92849,1.31885,0.33112,0.23721,0.23721,2.58535,9.06286,0.53672,0.06608,0.01404,0.02484,0.27858,13.60345,17.07091
"31","2017_Q4",21.177619047619,"Up",40395000,-23998000,16397000,-3229000,-3229000,13168000,-408000,-521000,37000,12760000,12760000,-5017000,7743000,7743000,7777000,-125000,7652000,1822000,1822000,10732000,10732000,7219000,3789000,3430000,19773000,186845000,36552000,92541000,92541000,315938000,335711000,23541000,4462000,19079000,2935000,26896000,97638000,61196000,28470000,32726000,158834000,185730000,10810000,94197000,38261000,6118000,149386000,149981000,335711000,7743000,7743000,1633000,375000,7824000,17575000,-3931000,-3931000,-3931000,-3227000,-7158000,-917000,-7789000,-7789000,-102348000,94559000,-8814000,1603000,1603000,1594000,14801000,100573000,23711000,0.40592,0.32598,0.18943,0.05102,0.02279,3.09867,0.73517,1.23836,0.29958,0.5318,0.50217,2.80735,9.63069,1.64786,0.06373,0.02749,0.07606,0.11984,6.67191,7.49932
"32","2018_Q1",19.7288524590164,"Down",15929000,-16452000,-523000,-3755000,-3755000,-4278000,-238000,-406000,128000,-4516000,-4516000,1858000,-2658000,-2658000,-2650000,-125000,-2775000,492000,492000,10953000,10953000,11675000,6981000,4124000,23120000,188225000,36171000,91515000,91515000,315911000,339031000,20316000,6311000,14005000,3030000,23614000,102083000,65731000,31415000,34316000,167814000,191428000,10810000,94438000,34692000,7076000,147016000,147603000,339031000,-2658000,-2658000,1643000,2979000,-3604000,-1640000,-3294000,-3294000,-3294000,-9000.00000000047,-3303000,-918000,4514000,4514000,-15490000,20004000,3596000,-1347000,-1347000,-1330000,-2635000,105113000,-11391000,-0.03283,-0.26857,-0.17421,-0.0188,-0.00819,4.10486,0.97908,1.29691,0.31004,-0.19272,-0.2048,1.10626,9.45941,-0.7911,0.06375,-0.00583,-0.03577,-0.33081,-39.7043599999999,-24.45559
"33","2018_Q2",22.37171875,"Up",31593000,-29257000,2336000,-4074000,-4074000,-1738000,-226000,-510000,241000,-1964000,-1964000,10587000,8623000,8623000,8625000,-125000,8500000,546000,546000,13478000,13478000,9110000,6524000,2016000,23134000,188561000,43745000,95071000,95071000,327377000,350511000,16883000,5050000,11833000,3318000,20324000,112396000,58975000,22084000,36891000,171371000,191695000,10810000,94745000,42284000,10367000,158206000,158816000,350511000,8623000,8623000,1690000,-9871000,-5509000,-5067000,-490000,-2033000,-2033000,-3506000,-3996000,-1033000,10534000,10534000,-17425000,27959000,9100000,37000,37000,54000,-48000,115714000,-16634000,0.07394,-0.05501,0.26905,0.05352,0.02425,-1.95694,1.13826,1.20703,0.33013,0.58758,0.56727,2.18395,10.18913,-1.14987,0.07141,0.02858,-0.04988,0.12153,-2399.33333,-66.26467
"34","2018_Q3",25.5825396825397,"Up",43135000,-29813000,13322000,-3942000,-3942000,9380000,-394000,-284000,16000,8986000,8986000,-2380000,6606000,6606000,6599000,-126000,6473000,493000,493000,17239000,17239000,9151000,6560000,2021000,26883000,190029000,46390000,103851000,103851000,340270000,367153000,24253000,5679000,18574000,3194000,27487000,107684000,65705000,22555000,43150000,173389000,200876000,10810000,94976000,47849000,12019000,165654000,166277000,367153000,6606000,6606000,1744000,196999.999999998,3603000,12150000,-4831000,-4831000,-4831000,-10000,-4841000,-1034000,-6297000,-6297000,-20139000,13842000,-7331000,-22000,-21999.9999999998,-53000.0000000002,11124000,110878000,12276000,0.30884,0.21746,0.15006,0.03893,0.01763,1.89649,0.97803,1.20808,0.30199,0.45533,0.43188,3.03426,10.89223,0.86353,0.07273,0.0219,0.0358,0.15974,9.92313999999988,11.76812
"35","2018_Q4",21.7938095238095,"Down",39950000,-25012000,14938000,-3513000,-3513000,11425000,-111000,-260000,26000,11314000,11314000,-3114000,8200000,8200000,8201000,-125000,8076000,505000,505000,14987000,14987000,11769000,6493000,4957000,27261000,224818000,46261000,113553000,113553000,384632000,411893000,24298000,6799000,17499000,3177000,27475000,70645000,76379000,27742000,48637000,147024000,174499000,10810000,159350000,54824000,11817000,236801000,237394000,411893000,8200000,8200000,1776000,5533000,611000,16120000,-3583000,-3583000,-3583000,-38432000,-42015000,-1229000,-36991000,-36991000,-130317000,93326000,25877000,-18000,-18000,12000,13201000,73822000,13343000,0.37392,0.28598,0.20215,0.03402,0.01961,1.65218,0.99221,0.73506,0.17923,0.49683,0.4818,2.45771,13.90286,0.82086,0.07561,0.02401,0.03443,0.15218,5.5539,6.41724
"36","2019_Q1",20.9547540983607,"Down",14714000,-14001000,712999.999999998,-8736000,-4524000,-8023000,505000,-68000,30000,-7518000,-4853000,1636000,-3217000,-3217000,-3237000,-125000,-3362000,609000,609000,14116000,14116000,16319000,10528000,5413000,31044000,225681000,42948000,121666000,114010000,390295000,421339000,23947000,6134000,17813000,3127000,27074000,76966000,87349000,25372000,61977000,164315000,191389000,10810000,159247000,50354000,8965000,229376000,229950000,421339000,-3217000,-3217000,2065000,-4431000,777000,-4806000,-4870000,-4870000,-4870000,4715000,45000,-1230000,6387000,6387000,-25842000,32229000,4902000,141000,141000,104000,-5958000,80093000,-11687000,0.04846,-0.54526,-0.22849,-0.01462,-0.00798,3.4762,1.14664,0.83231,0.19009,-0.19336,-0.18573,0.84626,12.57066,-0.67217,0.07074,-0.00536,-0.02941,-0.36585,-13.34072,-9.90702
"37","2019_Q2",19.8295238095238,"Down",42018000,-38916000,3102000,-5015000,-5015000,-1913000,493000,147000,304000,-1420000,-6437000,1761000,-4676000,-4676000,-4693000,-125000,-4818000,1280000,1280000,19617000,19617000,15820000,12902000,2527000,36717000,229694000,76166000,30889000,30889000,336749000,373466000,23822000,7987000,15835000,2873000,26695000,94001000,27512000,24014000,3498000,121513000,148208000,10810000,159730000,58402000,-4263000,224679000,225258000,373466000,-4676000,-4676000,2126000,-740000,-1203000,-4493000,-5098000,-5098000,-5098000,-4857000,-9805000,-1457000,16708000,16708000,-19262000,35970000,14946000,648000,648000,671000,213000,96874000,-7849000,0.07383,-0.04553,-0.11467,-0.02139,-0.0129,1.6291,1.37543,0.65795,0.25939,-0.2755,-0.2755,2.40268,12.22947,-0.44882,0.08331,-0.00961,-0.02245,-0.30241,448.79812,-49.97073
"38","2019_Q3",17.75828125,"Down",42035000,-37078000,4957000,-4843000,-4843000,114000,1297000,-686000,56000,1411000,3904000,-1084000,2820000,2820000,2815000,-126000,2689000,1491000,1491000,19960000,19960000,14629000,11808000,2821000,36080000,230592000,81423000,35190000,35190000,347205000,383285000,31859000,10002000,21857000,2915000,34774000,93744000,28098000,24751000,3347000.00000001,121842000,156616000,10810000,160170000,59757000,-4643000,226094000,226669000,383285000,2820000,2820000,2121000,-372000,3942000,8511000,-3053000,-3053000,-3053000,-3556000,-6609000,-1459000,-212000,-212000,-22582000,22370000,-1671000,231000,231000,211000,2235000,96659000,4208000,0.11793,0.00271,0.06397,0.01186,0.00702,1.56489,1.03756,0.69095,0.25219,0.15327,0.15327,2.39598,12.27109,0.23985,0.08316,0.0118,0.01197,0.54258,42.58076,834.80702
"39","2019_Q4",17.899375,"Up",50869000,-42747000,8122000,-4961000,-4961000,3161000,-279000,-774000,15000,2882000,64000,-461000,-397000,-397000,-990000,-125000,-1115000,943000,943000,24127000,24127000,25517000,18483000,7034000,50587000,247619000,79001000,38482000,38482000,365102000,415689000,36199000,16174000,20025000,3024000,39223000,109253000,28286000,25090000,3196000,137539000,176762000,10810000,160378000,57309000,-5130000,223367000,238927000,415689000,-397000,-397000,2080000,330000,-1757000,256000,-4462000,-4462000,-4462000,-10504000,-14966000,-1458000,15662000,15662000,-21319000,36981000,14204000,-506000,-506000,-548000,5241000,112277000,-517000,0.15967,0.06214,-0.02192,-0.00467,-0.00268,0.46368,1.28973,0.73982,0.2701,-0.06354,-0.06354,2.89868,12.1122,-0.02946,0.08308,9e-04,-0.00136,-1.30762,21.24289,35.22113
"40","2020_Q1",16.9059677419355,"Down",36476000,-33631000,2845000,-10790000,-6351000,-7945000,-443000,-821000,-246000,-8388000,-4094000,881000,-3213000,-3213000,-3075000,-125000,-3200000,616000,616000,18099000,15114000,16355000,8153000,7223000,35070000,248114000,75569000,41114000,26868000,364797000,399867000,28641000,4974000,23667000,3023000,31664000,105892000,29813000,24346000,5467000,135705000,167369000,10810000,160432000,53089000,-7255000,217076000,232498000,399867000,-3213000,-3213000,2306000,-267000,-1735000,-2909000,3610000,-3254000,-3254000,7833000,7726000,-1458000,-3253000,-3253000,-30831000,27578000,-5045999.99999999,-229000,-229000,-327000,-5639000,108915000,-4645000,0.078,-0.21781,-0.08773,-0.01376,-0.008,1.45156,1.10757,0.71987,0.27238,-0.18039,-0.18039,2.05626,11.62783,-0.26185,0.08219,-0.00469,-0.01251,-0.45562,-19.20536,-13.6310900000001
"41","2020_Q2",12.4204761904762,"Down",41656000,-42543000,-887000,-7579000,-6310000,-8466000,450000,55000,515000,-8016000,-10040000,3136000,-6904000,-6904000,-6427000,-125000,-6552000,874000,874000,26524000,26524000,16115000,11681000,3455000,43513000,248193000,76107000,40835000,26874000,365135000,408648000,27864000,8193000,19671000,2998000,30862000,126604000,27555000,21328000,6227000,154159000,185021000,10810000,161048000,45199000,-8387000,208670000,223627000,408648000,-6904000,-6904000,2565000,-399000,-7471000,-12209000,-3672000,-3672000,-3672000,-43000,-6515000,-1463000,20736000,20736000,-15895000,36631000,19060000,336000,336000,258000,-5901000,129602000,-20180000,-0.02129,-0.20324,-0.15729,-0.0293,-0.01603,3.07998,1.40992,0.82736,0.31715,-0.37272,-0.37272,2.36965,11.25548,-1.14796,0.08322,-0.01336,-0.053,-0.22329,-21.81461,-15.20529
"42","2020_Q3",13.63421875,"Up",39571000,-35949000,3622000,-6455000,-5338000,-2833000,-1703000,-1052000,-280000,-4536000,-8811000,3505000,-5306000,-5306000,-4883000,-126000,-5009000,1264000,1264000,26935000,20659000,21358000,11291000,4161000,49557000,246721000,60413000,41969000,28764000,349103000,398660000,26402000,10451000,15951000,3045000,29447000,124294000,28269000,22160000,6109000,152563000,182010000,10810000,161406000,38850000,-8806000,202260000,216650000,398660000,-5306000,-5306000,2433000,2215000,-2931000,-3589000,-1743000,-1743000,-1743000,9240000,7747000,-1466000,-2231999.99999999,-2232000,-36876000,34644000,-3698000,460000,460000,390000,-4e+05,127339000,-8579000,0.09153,-0.07159,-0.12658,-0.02312,-0.01256,1.71272,1.68292,0.84011,0.31942,-0.2842,-0.2842,2.24516,10.86241,-0.48675,0.08318,-0.00952,-0.02305,-0.29267,-315.1875,-44.50229
"43","2020_Q4",14.35875,"Up",53559000,-46826000,6733000,-4919000,-3909000,1814000,751000,-92000,11000,2565000,2565000,-765000,1800000,1800000,2309000,-125000,2184000,878000,878000,24922000,21478000,30226000,18309000,6090000,56026000,242501000,61245000,42126000,28979000,345872000,401898000,28122000,10350000,17772000,3426000,31548000,122159000,29829000,23765000,6064000,151988000,183536000,10810000,161834000,39695000,-7261000,204516000,218362000,401898000,1800000,1800000,2557000,6025000,-5978000,4404000,-2774000,-2774000,-2774000,-4000,-978000,-1464000,-1787000,-1787000,-24592000,22805000,-3883000,-457000,-457000,-386000,4371000,125585000,-3616000,0.12571,0.03387,0.04078,0.01,0.00543,-1.65568,1.7759,0.84051,0.31248,0.12397,0.12397,3.04019,10.9954,-0.20526,0.0831,0.00976,-0.00967,0.67033,28.53054,68.74697
"44","2021_Q1",15.8606557377049,"Up",29773000,-31963000,-2190000,-6831000,-5723000,-9021000,-626000,-597000,-27000,-9647000,-10149000,2618000,-7531000,-7531000,-7434000,-125000,-7559000,501000,501000,16261000,16261000,25758000,10688000,9159000,42520000,242649000,61214000,43217000,30373000,347080000,389600000,28184000,5838000,22346000,3277000,31461000,122571000,28998000,22430000,6568000,151569000,183030000,10810000,162263000,30797000,-7548000,192829000,206570000,389600000,-7531000,-779390.776373835,2542000,-326999.999999999,5393000,77000.0000000009,3851000,-3895538.73061289,-3895538.73061289,-8999.99999999814,3592000,-1464000,273000.000000001,8615454.24400069,-15939758.4832911,24555212.7272918,-4118000,-449000,-449000,-377000,-6479000,125848000,147000,-0.07356,-0.30299,-0.25389,-0.03659,-0.0194,-0.0194500000000004,1.35151,0.88604,0.32302,-0.42364,-0.42364,1.66861,10.20114,0.00824000000000003,0.08205,-0.01686,0.000410000000000001,-0.19368,-19.34666,-13.89502
"45","2021_Q2",17.6579365079365,"Up",38275000,-36938000,1337000,-6977000,-5895000,-5640000,537000,177000,-6000,-5103000,-5103000,1187000,-3916000,-3916000,-4208000,-125000,-4333000,1841000,1841000,20703000,20703000,20215000,11312000,7955000,42759000,244215000,61580000,43258000,30374000,349053000,391812000,26619000,7062000,19557000,3304000,29923000,131477000,27873000,21219000,6654000,159350000,189273000,10810000,162629000,25140000,-6619000,188467000,202539000,391812000,-3916000,-3916000,2501000,-224000,-151000,-1790000,-3415000,-3415000,-3415000,-190000,-3580000,-1449000,8834000,8834000,-18798000,27632000,6685000,1315000,1315000,1340000,-3139000,134781000,-7892000,0.03493,-0.14735,-0.11321,-0.02139,-0.01106,1.82137,1.42897,0.9345,0.34399,-0.24895,-0.24895,2.19908,10.20724,-0.45343,0.08325,-0.0079,-0.02161,-0.33441,-42.35107,-23.57092
"46","2021_Q3",16.2925,"Down",45132000,-36442000,8690000,-6306000,-5216000,2384000,103000,-597000,57000,2487000,2487000,-974000,1513000,1513000,1933000,-126000,1807000,1590000,1590000,20720000,20720000,21767000,11835000,8987000,44077000,244505000,62223000,43822000,31112000,350550000,394627000,30414000,8531000,21883000,3336000,33750000,128190000,28790000,22217000,6573000,156980000,190730000,10810000,163199000,25620000,-5908000,190228000,203897000,394627000,1513000,1513000,2552000,1134000,1234000,6433000,-1911000,-1994000,-1994000,-9999.99999999988,-1921000,-1453000,-3324000,-3324000,-23877000,20553000,-4777000,-265000,-265000,-251000,4936000,131526000,5233000,0.19255,0.05282,0.04004,0.00886,0.00458,2.89596,1.30599,0.93542,0.33329,0.10382,0.10382,2.59305,10.30842,0.30066,0.08348,0.00895,0.01437,0.8041,26.32415,54.50336
"47","2021_Q4",15.26859375,"Down",49125000,-40691000,8434000,-5060000,-4043000,3374000,1131000,-363000,32000,4505000,4505000,-1335000,3170000,3170000,3705000,-125000,3580000,775000,775000,16427000,16427000,20332000,10219000,10113000,37534000,244900000,63446000,42390000,32171000,350736000,388270000,31404000,8336000,23068000,2236000,33640000,120935000,29900000,23526000,6374000,150835000,184475000,10810000,163639000,27874000,-6815000,192015000,203795000,388270000,3170000,792563.527680525,2437000,337000,6215000,12159000,-2869000,-2873000,-2873000,-452000,-3215000,-1451000,-8266000,-2001542.97191761,-27599873.7263781,25598330.7544605,-9717000,-773000,-773000,-815000,5811000,123171000,10492000,0.17168,0.06868,0.07288,0.01757,0.00922,2.93073,1.11576,0.9052,0.31723,0.20529,0.20529,2.81696,10.39079,0.60164,0.0832,0.0141,0.0294,0.40531,21.06281,36.27623
"48","2022_Q1",14.2153225806452,"Down",33495000,-34421000,-926000,-5416000,-4273000,-6342000,399000,-339000,6000,-5943000,-6052000,1388000,-4664000,-4664000,-4871000,-125000,-4996000,439000,439000,17483000,17483000,24167000,10709000,13458000,42089000,242420000,64072000,43695000,33839000,350187000,392276000,32852000,8963000,23889000,2472000,35324000,130353000,27354000,22853000,4501000,157707000,193031000,10810000,164144000,21552000,-5733000,187280000,199245000,392276000,-4664000,-4441977.75511239,2322000,-874000,-3981000,-7197000,-1520000,-2843274.19316212,-2843274.19316212,-1000,-1521000,-1451000,9794000,7954363.56332516,-30259537.825877,38213901.3892021,8343000,-375000,-375000,-336000,-4020000,132825000,-10909000,-0.02765,-0.18934,-0.14916,-0.02507,-0.01274,2.18355,1.19151,0.96881,0.3386,-0.28648,-0.28648,1.92069,10.11927,-0.62555,0.0832,-0.00986,-0.03035,-0.29043,-32.93184,-20.87449
"49","2022_Q2",12.3740322580645,"Down",39274000,-41244000,-1970000,-7673000,-6599000,-9643000,302000,236000,15000,-9341000,-9256000,2650000,-6606000,-6606000,-6518000,-125000,-6643000,816000,816000,20868000,20868000,22534000,12848000,9686000,44218000,240499000,64123000,45082000,35392000,349704000,393922000,32207000,7813000,24394000,2401000,34608000,142148000,25754000,20230000,5524000,167902000,202510000,10810000,164241000,13581000,-5606000,179533000,191412000,393922000,-6606000,-6606000,2480000,-1424000,-2612000,-8162000,-990000,-2080000,-2080000,502298.149195922,-740000,-1453000,11639000,11639000,-32800000,44439000,9286000,384000,384000,377000,-7163000,144549000,-13415000,-0.05016,-0.24553,-0.16914,-0.03471,-0.01686,2.01942,1.27768,1.05798,0.36695,-0.37804,-0.37804,2.23503,9.60181,-0.76343,0.08269,-0.01435,-0.03709,-0.21873,-20.06603,-14.90542
"50","2022_Q3",12.90796875,"Up",46750000,-37599000,9151000,-6219000,-5126000,2932000,-292000,-669000,78000,2640000,2294000,-722000,1572000,1572000,1561000,-126000,1435000,960000,960000,22139000,22139000,18853000,10648000,8205000,41952000,239594000,64290000,44908000,35515000,348792000,390744000,34132000,9800000,24332000,3678000,37810000,135575000,26573000,20975000,5598000,162148000,199958000,10810000,164433000,13691000,-6539000,178902000,190786000,390744000,1572000,1572000,2483000,1481000,1466000,7002000,-2012000,-2043000,-2043000,-40000,298000,-1451000,-5323000,-5323000,-36131000,30808000,-6960000,340000,340000,144000,5415000,139253000,5591000,0.19574,0.06272,0.0307,0.00752,0.00367,3.89617,1.10955,1.04807,0.35638,0.08195,0.08195,2.66975,9.59922,0.31929,0.08286,0.00809,0.01568,1.01115,25.53887,47.16678
