"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",24.587619047619,"Down",1.3044e+10,-3.085e+09,9.959e+09,-6.408e+09,-3.558e+09,-1.882e+09,-9.68e+08,3.551e+09,-1.417e+09,-1.417e+09,2.134e+09,-5.31e+08,1.603e+09,-2.48e+08,1.355e+09,-1e+06,-1e+06,1.354e+09,0,1.354e+09,1.354e+09,1.4371e+10,2.094e+09,1.2277e+10,9.836e+09,9.836e+09,7.507e+09,6.787e+09,5.668e+09,3.8501e+10,1.3284e+10,9.507e+09,1.17137e+11,5.4238e+10,5.6281e+10,1.859e+09,1.39928e+11,1.78429e+11,8.503e+09,3.476e+09,1.821e+09,3.206e+09,1.3633e+10,1.2623e+10,1.2623e+10,3.4759e+10,3.0437e+10,4.9633e+10,7.12e+09,5.312e+09,1.808e+09,3.1687e+10,1.0826e+10,8.007e+10,1.14829e+11,8.2995e+10,-8.4346e+10,7.2846e+10,-8.214e+09,6.3306e+10,2.94e+08,6.36e+10,1.78429e+11,1.354e+09,1.354e+09,1.396e+09,3.85e+08,1.6e+09,4.735e+09,-4.32e+08,-4.32e+08,-4.32e+08,-1.645e+09,1.0758e+10,-4.382e+09,-1.821e+09,-8.5e+07,-6e+06,-1.662e+09,-1.309e+09,-1.309e+09,-1.1e+07,-1.32e+09,4.947e+09,4.407e+10,6.363e+09,0.76349,0.27223,0.1038,0.02129,0.00759,4.69941,1.10766,1.80549,0.24699,0.21178,0.20929,2.04018,9.89761,0.99522,0.28482,5,0.02018,0.04045,1.3449,6.00344,8.36356
"28","2017_Q1",25.6746774193548,"Up",1.3628e+10,-3.218e+09,1.041e+10,-8.057e+09,-4.423e+09,-2.512e+09,-1.122e+09,2.353e+09,-8.4e+08,-8.4e+08,1.513e+09,-7.36e+08,7.77e+08,-1.4e+07,7.63e+08,1.7e+07,1.7e+07,7.8e+08,-6e+06,7.74e+08,7.74e+08,1.785e+10,2.595e+09,1.5255e+10,8.225e+09,8.225e+09,6.783e+09,6.091e+09,5.29e+09,3.8949e+10,1.3318e+10,7.116e+09,1.12232e+11,5.2648e+10,5.4449e+10,1.812e+09,1.32666e+11,1.71615e+11,9.404e+09,4.536e+09,1.944e+09,2.924e+09,1.0688e+10,1.1023e+10,1.1023e+10,3.1115e+10,3.1398e+10,4.9262e+10,8.172e+09,6.406e+09,1.766e+09,3.0753e+10,1.0337e+10,8.066e+10,1.11775e+11,8.3146e+10,-8.4364e+10,7.1774e+10,-1.1036e+10,5.9544e+10,2.96e+08,5.984e+10,1.71615e+11,7.81e+08,7.81e+08,1.549e+09,1.754e+09,1.667e+09,5.751e+09,-7.69e+08,-7.69e+08,-6.89e+08,-3.24e+09,1.591e+09,-3.107e+09,-1.821e+09,-2.54e+08,-4000000.00000001,-2.006e+09,6.38e+08,6.38e+08,-1.36e+08,5.02e+08,3.902e+09,4.2086e+10,4.814e+09,0.76387,0.17266,0.05679,0.01293,0.00451,6.21964,1.25178,1.8679,0.24523,0.12094,0.11946,2.12941,9.30016,0.7522,0.28454,6,0.01716,0.03184,2.35271,6.21117,10.30004
"29","2017_Q2",25.9061904761905,"Up",1.2779e+10,-2.468e+09,1.0311e+10,-6.217e+09,-3.315e+09,-1.716e+09,-1.186e+09,4.094e+09,-6e+07,-6e+07,4.034e+09,-8.4e+07,3.95e+09,-8.21e+08,3.129e+09,16362453.7652408,16362453.7652408,3.129e+09,-9e+06,3.12e+09,3.12e+09,1.456e+10,4.057e+09,1.0503e+10,8.892e+09,8.892e+09,7.415e+09,5.012e+09,5.009e+09,3.5879e+10,1.3238e+10,7.346e+09,1.12321e+11,5.2427e+10,5.4656e+10,1.909e+09,1.32905e+11,1.68784e+11,6.041e+09,3.393e+09,0,2.648e+09,7.68e+09,1.1143e+10,1.1143e+10,2.4864e+10,3.633e+10,4.8844e+10,7.042e+09,5.3e+09,1.742e+09,3.0857e+10,1.0945e+10,8.5174e+10,1.10038e+11,8.3574e+10,-8.9414e+10,7.4847e+10,-1.0594e+10,5.8436e+10,3.11e+08,5.8747e+10,1.68785e+11,3.13e+09,3.13e+09,1.555e+09,-8.83e+08,-2.217e+09,1.585e+09,-3.58e+08,-3.58e+08,-3.58e+08,-7.4e+08,6.45e+09,4.767e+09,-1.945e+09,1.945e+09,-2.2e+08,-4.907e+09,1.445e+09,1.445e+09,2.1e+07,1.466e+09,5.649e+09,4.401e+10,3.895e+09,0.80687,0.32037,0.24415,0.05311,0.01849,1.2484,1.44301,1.87308,0.26075,0.49287,0.48591,2.0187,9.22749,0.61529,0.30725,5,0.03341,0.02569,0.6234,5.21331,7.19345
"30","2017_Q3",26.6819047619048,"Up",1.2896e+10,-2.66e+09,1.0236e+10,-6.424e+09,-3.43e+09,-1.786e+09,-1.208e+09,3.812e+09,7.4e+07,7.4e+07,3.886e+09,-6.9e+07,3.817e+09,-7.39e+08,3.078e+09,1000000.00000001,1000000.00000001,3.079e+09,-5e+06,3.074e+09,3.074e+09,1.4333e+10,2.585e+09,1.1748e+10,9.476e+09,9.476e+09,7.584e+09,4.993e+09,4.99e+09,3.6386e+10,1.3386e+10,7.008e+09,1.1178e+11,5.1348e+10,5.5014e+10,1.952e+09,1.32174e+11,1.6856e+11,7.52e+09,3.439e+09,1.904e+09,2.177e+09,9.514e+09,1.0148e+10,1.0148e+10,2.7182e+10,3.4191e+10,4.8491e+10,7.076e+09,5.371e+09,1.705e+09,3.0879e+10,1.0536e+10,8.2682e+10,1.09864e+11,8.3836e+10,-8.9416e+10,7.4107e+10,-1.0181e+10,5.8369e+10,3.26e+08,5.8695e+10,1.68559e+11,3.078e+09,3.078e+09,1.574e+09,2.15e+08,-1.627e+09,3.24e+09,-4.89e+08,-4.89e+08,-4.48e+08,-9.23e+08,9e+07,-1.737e+09,-1.91e+09,-1.169e+09,-8e+06,-2.989e+09,-1.486e+09,-1.486e+09,1.6e+07,-1.47e+09,5.386e+09,4.3705e+10,4.009e+09,0.79373,0.2956,0.23837,0.05237,0.01824,1.30416,1.33861,1.87178,0.25928,0.48951,0.48311,2.05359,9.29116,0.6384,0.30415,6,0.03303,0.02657,0.62134,5.4534,7.70514
"31","2017_Q4",28.5407936507937,"Up",1.3168e+10,-2.844e+09,1.0324e+10,-6.546e+09,-3.504e+09,-1.865e+09,-1.177e+09,3.778e+09,-7.9e+07,-7.9e+07,3.699e+09,-1.14e+08,3.585e+09,-7.27e+08,2.858e+09,0,0,2.858e+09,-1.8e+07,2.84e+09,2.84e+09,1.6925e+10,2.779e+09,1.4146e+10,1.0002e+10,1.0002e+10,7.925e+09,5.437e+09,5.421e+09,4.0289e+10,1.3505e+10,7.311e+09,1.11045e+11,4.9721e+10,5.6078e+10,1.858e+09,1.31861e+11,1.7215e+11,8.324e+09,3.48e+09,1.909e+09,2.935e+09,9.448e+09,1.0446e+10,1.0446e+10,2.8218e+10,3.4503e+10,4.8321e+10,7.218e+09,5.531e+09,1.687e+09,3.0411e+10,1.0692e+10,8.2824e+10,1.11042e+11,8.429e+10,-8.9421e+10,7.5043e+10,-9.164e+09,6.077e+10,3.4e+08,6.111e+10,1.72152e+11,2.858e+09,2.858e+09,1.566e+09,2.36e+08,2.28e+08,4.888e+09,-5.97e+08,-5.97e+08,-4.5e+08,-8.63e+08,-1.551e+09,-3.011e+09,-1.895e+09,-6.7e+07,5e+06,-1.712e+09,1.65e+08,1.65e+08,3e+07,1.95e+08,5.344e+09,4.3951e+10,5.702e+09,0.78402,0.28691,0.21567,0.04647,0.0165,2.00775,1.42778,1.81708,0.25531,0.45278,0.44603,2.09937,9.68504,0.90907,0.30212,8,0.03087,0.03718,0.66725,5.05726,7.15352
"32","2018_Q1",29.0640983606557,"Up",1.3703e+10,-3.268e+09,1.0435e+10,-8.012e+09,-4.535e+09,-2.29e+09,-1.187e+09,2.423e+09,-1.25e+09,-1.25e+09,1.173e+09,-2.2e+08,9.53e+08,1.1336e+10,1.2289e+10,1e+06,1e+06,1.229e+10,-1.5e+07,1.2275e+10,1.2275e+10,1.9992e+10,1.342e+09,1.865e+10,8.221e+09,8.221e+09,7.578e+09,5.351e+09,5.351e+09,4.1142e+10,1.3865e+10,7.015e+09,1.09775e+11,4.8741e+10,5.5952e+10,1.855e+09,1.30655e+11,1.71797e+11,9.358e+09,4.656e+09,2.029e+09,2.673e+09,9.953e+09,1.1115e+10,1.1115e+10,3.0426e+10,3.3538e+10,3.6176e+10,7.43e+09,5.926e+09,1.504e+09,3.9e+09,2.4846e+10,6.9714e+10,1.0014e+11,8.4742e+10,-8.9425e+10,8.5291e+10,-9.321e+09,7.1308e+10,3.48e+08,7.1656e+10,1.71796e+11,1.2289e+10,1.2289e+10,1.574e+09,-1.202e+10,4.912e+09,6.755e+09,-7.73e+08,-7.73e+08,-7e+08,-1.011e+09,-2.976e+09,-4.76e+09,-1.909e+09,-1.714e+09,-1e+07,-3.427e+09,-1.432e+09,-1.432e+09,-1.4e+07,-1.446e+09,3.997e+09,4.3491e+10,-3.2e+09,0.76151,0.17682,0.89579,0.1713,0.07145,-0.26069,1.3522,1.39751,0.25315,1.95241,1.92117,2.17954,11.3386,-0.50898,0.30364,5,0.09373,-0.02115,0.15552,5.87916,9.69831
"33","2018_Q2",29.14265625,"Up",1.2906e+10,-2.563e+09,1.0343e+10,-6.351e+09,-3.412e+09,-1.743e+09,-1.196e+09,3.992e+09,1.78e+08,1.78e+08,4.17e+09,-4.3e+07,4.127e+09,-5.56e+08,3.571e+09,-1e+06,-1e+06,3.57e+09,-9e+06,3.561e+09,3.561e+09,1.1421e+10,2.302e+09,9.119e+09,9.452e+09,9.452e+09,8.148e+09,5.814e+09,5.75e+09,3.4835e+10,1.3971e+10,6.945e+09,1.08862e+11,4.769e+10,5.6393e+10,1.883e+09,1.29778e+11,1.64613e+11,7.404e+09,3.879e+09,0,3.525e+09,9.01e+09,1.095e+10,1.095e+10,2.7364e+10,3.1831e+10,3.4875e+10,6.659e+09,5.171e+09,1.488e+09,5.967e+09,2.2249e+10,6.6706e+10,9.407e+10,8.5064e+10,-9.546e+10,8.9961e+10,-9.402e+09,7.0184e+10,3.58e+08,7.0542e+10,1.64612e+11,3.57e+09,3.57e+09,1.567e+09,-4.38e+08,-2.715e+09,1.984e+09,-3.86e+08,-3.86e+08,-3.86e+08,-6.05e+08,1.0658e+10,9.667e+09,-2.032e+09,-2.503e+09,-4.95e+08,-1.0721e+10,9.3e+08,9.3e+08,5.5e+07,9.85e+08,5.559e+09,4.0841e+10,3.014e+09,0.80141,0.30931,0.27592,0.05048,0.02163,0.84639,1.27302,1.33353,0.2481,0.56716,0.55779,2.05553,11.1748,0.48004,0.32364,6,0.03824,0.02061,0.57063,5.29232,7.36974
"34","2018_Q3",33.1574603174603,"Up",1.3467e+10,-2.916e+09,1.0551e+10,-6.53e+09,-3.542e+09,-1.797e+09,-1.191e+09,4.021e+09,5.5e+08,5.5e+08,4.571e+09,-4.4e+07,4.527e+09,-6.48e+08,3.879e+09,0,0,3.879e+09,-7e+06,3.872e+09,3.872e+09,1.3431e+10,2.704e+09,1.0727e+10,9.873e+09,9.873e+09,8.074e+09,5.925e+09,5.925e+09,3.7303e+10,1.3919e+10,6.595e+09,1.07164e+11,4.6584e+10,5.5836e+10,1.848e+09,1.27678e+11,1.64981e+11,1.0448e+10,4.196e+09,1.98e+09,4.272e+09,1.1583e+10,1.0125e+10,1.0125e+10,3.2156e+10,2.8935e+10,3.3766e+10,6.479e+09,5.006e+09,1.473e+09,5.743e+09,2.1544e+10,6.2701e+10,9.4857e+10,8.5363e+10,-9.5463e+10,8.986e+10,-1.0003e+10,6.9777e+10,3.46e+08,7.0123e+10,1.6498e+11,3.879e+09,3.879e+09,1.562e+09,-1.058e+09,-5.35e+08,3.848e+09,-4.56e+08,-4.56e+08,-4.24e+08,-4.65e+08,-5.53e+08,-1.474e+09,-1.989e+09,3.16e+08,-3.36e+08,-1.907e+09,4.67e+08,4.67e+08,-7e+07,3.97e+08,5.583e+09,4.0518e+10,5.24e+09,0.78347,0.29858,0.28752,0.05522,0.02347,1.35331,1.16006,1.35272,0.24559,0.62626,0.61721,2.17815,11.28249,0.84752,0.3217,6,0.04059,0.03629,0.51369,4.85169,6.73638
"35","2018_Q4",36.0092063492064,"Up",1.3297e+10,-2.694e+09,1.0603e+10,-6.756e+09,-3.494e+09,-2.009e+09,-1.253e+09,3.847e+09,4.15e+08,4.15e+08,4.262e+09,-8.5e+07,4.177e+09,-6.6e+07,4.111e+09,1.1e+07,1.1e+07,4.122e+09,-9e+06,4.113e+09,4.113e+09,1.7239e+10,3.559e+09,1.368e+10,1.0024e+10,1.0024e+10,8.184e+09,6.136e+09,6.136e+09,4.1583e+10,1.4036e+10,6.444e+09,1.05775e+11,4.5306e+10,5.5614e+10,1.875e+09,1.26255e+11,1.67838e+11,1.1137e+10,4.297e+09,1.963e+09,4.877e+09,7.385e+09,1.049e+10,1.049e+10,2.9012e+10,3.3652e+10,3.3509e+10,6.341e+09,4.886e+09,1.455e+09,5.512e+09,2.1656e+10,6.7161e+10,9.6173e+10,8.6294e+10,-9.6574e+10,9.1995e+10,-1.0417e+10,7.1318e+10,3.46e+08,7.1664e+10,1.67837e+11,4.122e+09,4.122e+09,1.614e+09,-1.288e+09,8.09e+08,5.257e+09,-5.62e+08,-5.62e+08,-5.47e+08,-4.33e+08,-1.91e+09,-2.905e+09,-1.994e+09,7.9e+08,2.78e+08,-1.406e+09,9.46e+08,9.46e+08,-1.01e+08,8.45e+08,5.461e+09,4.1037e+10,5.774e+09,0.7974,0.28931,0.30932,0.05739,0.02451,1.40384,1.4333,1.342,0.2445,0.66422,0.6519,2.14736,11.51407,0.93246,0.32202,8,0.04177,0.03949,0.4848,4.35781,6.18612
"36","2019_Q1",35.0573770491803,"Down",1.155e+09,-8.14e+08,3.41e+08,-5.471e+09,-2.164e+09,-2.211e+09,-1.096e+09,-5.13e+09,-3.22e+09,-3.22e+09,-8.35e+09,-8.86e+08,-9.236e+09,1.536e+09,-7.7e+09,7.318e+09,7.318e+09,-3.82e+08,-1.1e+07,-3.93e+08,-3.93e+08,1.8833e+10,1.139e+09,1.7694e+10,8.025e+09,8.025e+09,7.508e+09,1.556e+10,5.835e+09,4.9926e+10,1.3385e+10,2.767e+09,9.3345e+10,3.5211e+10,5.3411e+10,1.924e+09,1.09497e+11,1.59423e+11,1.0383e+10,4.674e+09,2.047e+09,3.662e+09,8.831e+09,1.2643e+10,1.2643e+10,3.1857e+10,3.2909e+10,3.0897e+10,6.61e+09,5.272e+09,1.338e+09,3.7e+09,2.0587e+10,6.3806e+10,9.5663e+10,8.672e+10,-1.0161e+11,8.9554e+10,-1.1275e+10,6.3408e+10,3.51e+08,6.3759e+10,1.59422e+11,-7.711e+09,-3.83e+08,1.407e+09,1.982e+09,2.107e+09,4.737e+09,-7.32e+08,-7.32e+08,-6.27e+08,-2.94e+08,3.23e+08,-7.63e+08,-1.963e+09,4.62e+08,-3.5e+07,-6.406e+09,-2.432e+09,-2.432e+09,0,-2.432e+09,-3.723e+09,4.174e+10,-3.884e+09,0.29524,-4.44156,-0.34026,-0.00616,-0.00247,9.88295,1.56719,1.50038,0.26182,-0.0644,-0.06306,0.18926,10.38711,-0.63644,0.32166,4,0.01151,-0.02848,-4.99491,-6.15283,-4.4653
"37","2019_Q2",35.0344444444444,"Down",1.3118e+10,-2.433e+09,1.0685e+10,-6.225e+09,-3.339e+09,-1.703e+09,-1.183e+09,4.46e+09,-9.2e+07,-9.2e+07,4.368e+09,-4.6e+07,4.322e+09,-4.33e+08,3.889e+09,6740559220.97947,6740559220.97947,3.889e+09,-6e+06,3.883e+09,3.883e+09,1.1619e+10,1.937e+09,9.682e+09,9.599e+09,9.599e+09,8.029e+09,1.6042e+10,6.165e+09,4.5289e+10,1.3467e+10,2.859e+09,9.3805e+10,3.4039e+10,5.3487e+10,1.946e+09,1.10131e+11,1.5542e+11,7.802e+09,4.156e+09,0,3.646e+09,9.41e+09,1.2211e+10,1.2211e+10,2.9423e+10,3.5733e+10,3.1106e+10,6.457e+09,5.125e+09,1.332e+09,3.591e+09,2.1058e+10,6.6839e+10,9.6262e+10,8.7103e+10,-1.10781e+11,9.3388e+10,-1.0923e+10,5.8806e+10,3.52e+08,5.9158e+10,1.5542e+11,3.889e+09,3.889e+09,1.545e+09,-3.736e+09,-4184445870.82591,1.698e+09,-6.18e+08,-6.18e+08,-4.6e+08,-8.4e+07,8.251e+09,7.549e+09,-2.045e+09,2.813e+09,-4.95e+08,-8.466e+09,7.81e+08,7.81e+08,1.2e+07,7.93e+08,6.005e+09,4.5143e+10,-9600555281.09134,0.81453,0.33999,0.29601,0.06564,0.02498,6.80277546994124,1.53924,1.6272,0.29046,0.65378,0.64071,2.20868,9.89798,-1.6062113016748,0.34432,7,0.04378,-0.0678122522143801,0.52665,5.58268,7.51659
"38","2019_Q3",32.38953125,"Down",1.3264e+10,-2.576e+09,1.0688e+10,-6.536e+09,-3.511e+09,-1.841e+09,-1.184e+09,4.152e+09,-1.26e+08,-1.26e+08,4.026e+09,1.15e+08,4.141e+09,9.14e+08,5.055e+09,1149143980.01607,1149143980.01607,5.055e+09,-9e+06,5.046e+09,5.046e+09,1.2912e+10,1.784e+09,1.1128e+10,9.793e+09,9.793e+09,8.233e+09,1.6135e+10,6.258e+09,4.7073e+10,1.3521e+10,2.905e+09,9.2699e+10,3.3024e+10,5.3352e+10,1.935e+09,1.09125e+11,1.56198e+11,9.404e+09,4.002e+09,1.991e+09,3.411e+09,1.0507e+10,1.2119e+10,1.2119e+10,3.203e+10,3.6168e+10,2.8076e+10,6.292e+09,4.982e+09,1.31e+09,3.18e+09,1.8604e+10,6.4244e+10,9.6274e+10,8.7431e+10,-1.10786e+11,9.444e+10,-1.1535e+10,5.9568e+10,3.57e+08,5.9925e+10,1.56199e+11,5.056e+09,5.056e+09,1.528e+09,3.078e+09,-7.051e+09,2.611e+09,-5.88e+08,-5.88e+08,-4.79e+08,-3.9e+07,-1.275e+09,-1.902e+09,-2.002e+09,1.074e+09,-46000000.0000001,-8.52e+08,-1.43e+08,-1.43e+08,-4e+07,-1.83e+08,5.68e+09,4.6675e+10,-2.873e+09,0.80579,0.31303,0.38043,0.08421,0.03231,-0.56936,1.46965,1.60657,0.29882,0.8609,0.84405,2.26298,10.15987,-0.49016,0.34156,7,0.05233,-0.02133,0.39675,5.94419,8.13174
"39","2019_Q4",32.0225,"Down",1.268e+10,-2.602e+09,1.0078e+10,-6.754e+09,-3.26e+09,-2.283e+09,-1.211e+09,3.324e+09,-3.19e+08,-3.19e+08,3.005e+09,7.723e+09,1.0728e+10,-3.047e+09,7.681e+09,4000000.00000858,4000000.00000858,7.685e+09,-4e+06,7.681e+09,7.681e+09,9.087e+09,2.785e+09,6.302e+09,9.439e+09,9.439e+09,8.222e+09,6.713e+09,6.684e+09,3.3461e+10,1.3701e+10,1.8722e+10,1.04564e+11,3.8995e+10,5.8665e+10,1.984e+09,1.36987e+11,1.70448e+11,1.0195e+10,3.942e+09,1.992e+09,4.261e+09,1.6617e+10,1.016e+10,1.016e+10,3.6972e+10,3.6044e+10,3.2033e+10,6.424e+09,5.103e+09,1.321e+09,6.724e+09,1.8885e+10,6.8077e+10,1.05049e+11,8.7567e+10,-1.10795e+11,1.00113e+11,-1.1801e+10,6.5102e+10,2.93e+08,6.5395e+10,1.70444e+11,7.683e+09,7.683e+09,1.553e+09,-6.206e+09,1.48e+09,4.51e+09,-6.62e+08,-6.62e+08,-5.65e+08,-1.1e+07,4.775e+09,-6.759e+09,-2.004e+09,5.347e+09,-1.26e+08,3.272e+09,1.023e+09,1.023e+09,-1.3e+07,1.01e+09,4.877e+09,5.2661e+10,8.742e+09,0.79479,0.26215,0.60576,0.11746,0.04506,1.13813,0.90504,1.60638,0.30896,1.31377,1.29028,2.1688,11.13206,1.49524,0.34277,4,0.06453,0.05824,0.2609,8.93459,13.1089
"40","2020_Q1",30.9651612903226,"Down",1.843e+09,-4.43e+08,1.4e+09,-6.025e+09,-2.616e+09,-2.558e+09,-8.51e+08,-4.625e+09,-2.96e+09,-2.96e+09,-7.585e+09,-286000000.000002,-7.871e+09,1.983e+09,-5.888e+09,5.314e+09,5.314e+09,-573999999.999999,-1e+07,-5.84e+08,-5.84e+08,9.646e+09,1.121e+09,8.525e+09,6.772e+09,6.772e+09,7.068e+09,9.317e+09,5.093e+09,3.2803e+10,1.2969e+10,2.0147e+10,1.01675e+11,3.3936e+10,4.8202e+10,1.911e+09,1.34791e+11,1.67594e+11,9.361e+09,3.887e+09,2.104e+09,3.37e+09,1.6195e+10,1.1747e+10,9.334e+09,3.7303e+10,3.5955e+10,3.0889e+10,6.217e+09,5.291e+09,9.26e+08,5.652e+09,1.902e+10,6.6844e+10,1.04147e+11,8.7896e+10,-1.10801e+11,9.767e+10,-1.164e+10,6.3142e+10,3.03e+08,6.3445e+10,1.67592e+11,-5.89e+09,-5.72e+08,1.129e+09,1.289e+09,1.669e+09,3.769e+09,-1.78e+08,-1.78e+08,-5.42e+08,-6.7e+07,-2.469e+09,-2.834e+09,-1.992e+09,-4.7e+08,3.25e+08,-2.44e+09,-1.505e+09,-1.505e+09,9e+06,-1.496e+09,-3.496e+09,5.215e+10,-3.988e+09,0.75963,-2.5095,-0.31687,-0.0092,-0.00347999999999999,6.82877,0.87937,1.64153,0.31117,-0.10014,-0.0984200000000002,0.31603,10.82431,-0.68384,0.34158,5,0.00961000000000001,-0.02722,-3.41096,-12.15789,-9.19005
"41","2020_Q2",31.1696825396825,"Up",1.0083e+10,-1.94e+09,8.143e+09,-5.062e+09,-2.541e+09,-1.672e+09,-8.49e+08,3.081e+09,-1.9e+08,-1.9e+08,2.891e+09,-4.8e+07,2.843e+09,-3.59e+08,2.484e+09,8.81e+08,8.81e+08,3.365e+09,-9e+06,3.356e+09,3.356e+09,1.035e+10,2.151e+09,8.199e+09,9.881e+09,9.881e+09,8.423e+09,6.083e+09,6.083e+09,3.4737e+10,1.404e+10,1.822e+10,9.9339e+10,3.4464e+10,5.8502e+10,2.207e+09,1.31599e+11,1.66336e+11,7.368e+09,3.972e+09,0,3.396e+09,1.6007e+10,1.0515e+10,1.0515e+10,3.389e+10,3.6281e+10,3.0827e+10,6.535e+09,5.442e+09,1.093e+09,5.268e+09,1.9024e+10,6.7108e+10,1.00998e+11,8.815e+10,-1.1101e+11,1.01e+11,-1.3131e+10,6.5026e+10,3.12e+08,6.5338e+10,1.66336e+11,2.483e+09,3.364e+09,1.166e+09,2.1e+07,-1.515e+09,3.133e+09,-4.49e+08,-4.49e+08,-4.49e+08,-2.2e+07,4.18e+08,-7.2e+07,-2.105e+09,1.8e+07,-1.13e+08,-2.2e+09,8.61e+08,8.61e+08,-1.5e+07,8.46e+08,4.247e+09,5.2288e+10,2.642e+09,0.8076,0.30556,0.33284,0.05136,0.02018,0.78725,1.02499,1.54578,0.31435,0.57422,0.56727,1.72523,11.12324,0.45205,0.36017,4,0.03679,0.0178,0.62723,9.87474,13.61181
"42","2020_Q3",32.51890625,"Up",9.864e+09,-1.826e+09,8.038e+09,-5.606e+09,-2.659e+09,-2.078e+09,-8.69e+08,2.432e+09,9.54e+08,9.54e+08,3.386e+09,-3.6e+08,3.026e+09,-4.23e+08,2.603e+09,8.93e+08,8.93e+08,3.496e+09,-8e+06,3.488e+09,3.488e+09,1.1382e+10,1.801e+09,9.581e+09,9.128e+09,9.128e+09,8.564e+09,1.7351e+10,1.7351e+10,4.6425e+10,1.4113e+10,1.872e+10,9.8677e+10,3.3541e+10,5.8449e+10,2.36e+09,1.3151e+11,1.77935e+11,9.47e+09,3.872e+09,2.111e+09,3.487e+09,1.3084e+10,1.0168e+10,1.0168e+10,3.2722e+10,5.0529e+10,3.0119e+10,6.43e+09,5.344e+09,1.086e+09,5.409e+09,1.828e+10,8.0648e+10,1.1337e+11,8.8356e+10,-1.10978e+11,1.00203e+11,-1.3246e+10,6.4335e+10,2.28e+08,6.4563e+10,1.77933e+11,2.603e+09,3.496e+09,1.199e+09,-5.88e+08,-5.41e+08,3.555e+09,-4.57e+08,-4.57e+08,-4.57e+08,-1.46e+08,-9.74e+08,-1.301e+10,-2.111e+09,-1.33e+08,-5e+07,9.158e+09,-2.97e+08,-2.97e+08,-5.5e+07,-3.52e+08,3.631e+09,6.3613e+10,3.056e+09,0.81488,0.246549999999999,0.35361,0.05402,0.0196,0.87615,1.41877,1.75596,0.35751,0.59573,0.58895,1.68472,10.9881,0.52195,0.36055,5,0.03537,0.01931,0.60522,14.38474,21.47656
