"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",5.6425,"Up",234178000,-161452000,72726000,-73488000,-73488000,-762000,-656000,-656000,-1418000,-1418000,109000,-1309000,-1309000,-1309000,-1309000,4901000,4901000,9222000,9222000,321468000,16462000,16462000,352053000,74004000,16633000,13258000,3375000,90637000,442690000,160861000,101161000,59700000,162544000,25751000,25751000,97161000,259705000,117011000,-42527000,108501000,182985000,182985000,442690000,-1309000,4759000,1331000,601000,730000,-13708000,-8927000,-2398000,-2398000,-3308000,13126000,-366000,9056000,-2269000,-2269000,-2269000,3997000,73093000,-12218000,0.31056,-0.00325,-0.00559,-0.00715,-0.00296,9.33384,2.16589,1.41927,0.16511,-0.06251,-0.06251,11.18222,8.7377,-0.58342,0.15796,2,0.00709,-0.04335,-2.52712,17.0608,-89.49081
"34","2018_Q3",4.18761904761905,"Down",239951000,-164680000,75271000,-74656000,-74656000,615000,-793000,-793000,-178000,-178000,-70000,-248000,-248000,-248000,-248000,5898000,5898000,12024000,12024000,345622000,19668000,19668000,383212000,73053000,17022000,13444000,3578000,90075000,473287000,172541000,112594000,59947000,174325000,25771000,25771000,118874000,293199000,117573000,-42527000,105042000,180088000,180088000,473287000,-248000,4794000,4e+05,563000,-163000,-17899000,-12953000,-2762000,-2762000,-3148000,19861000,-5.82076609134674e-11,16712000,996999.999999999,996999.999999999,996999.999999999,5409000,94887000,-15182000,0.31369,0.00255999999999999,-0.00103,-0.00138,-0.000520000000000002,61.21774,2.19826,1.62809,0.20049,-0.01182,-0.01182,11.43386,8.58134,-0.72343,0.15,2,0.00963999999999999,-0.05048,-12.69355,16.45202,144.69756
"35","2018_Q4",2.86587301587302,"Down",266351000,-183852000,82499000,-77680000,-77680000,4819000,-860000,-860000,3959000,3959000,-844000,3115000,3115000,3115000,3115000,5018000,5018000,14835000,14835000,314837000,13099000,13099000,347789000,75587000,17708000,13306000,4402000,93295000,441084000,144815000,83340000,61475000,147109000,24990000,24990000,113445000,260554000,118113000,-42527000,104944000,180530000,180530000,441084000,3115000,4821000,773000,540000,233000,5112000,13821000,-3288000,-3288000,-3154000,-8259000,0,-11413000,-880000,-880000,-880000,9640000,90749000,12308000,0.30974,0.01809,0.0117,0.01725,0.00706,3.9512,2.36416,1.44327,0.20574,0.14842,0.14739,12.69063,8.60158,0.58643,0.15028,5,0.02116,0.04154,1.01252,8.89326,17.79021
"36","2019_Q1",2.64098360655738,"Down",247101000,-176748000,70353000,-76252000,-76252000,-5899000,-1065000,-1065000,-6964000,-6964000,1875000,-5089000,-5089000,-5089000,-5089000,6765000,6765000,14184000,14184000,294900000,9224000,9224000,325073000,76488000,1.8e+07,14543000,3457000,94488000,419561000,148272000,80613000,67659000,150594000,29106000,29106000,94106000,244700000,118601000,-42527000,98787000,174861000,174861000,419561000,-5089000,5164000,155000,488000,-333000,32348000,32578000,-7012000,-7012000,-1050000,-22769000,0,-23819000,1747000,1747000,1747000,-735000,6.5e+07,22726000,0.28471,-0.02387,-0.02059,-0.0291,-0.01213,-4.46571,2.15861,1.3994,0.15492,-0.24243,-0.24414,11.7712,8.32989,1.0826,0.05002,6,-0.01502,0.08449,-0.20633,-79.23129,-9.87200999999998
"37","2019_Q2",1.81634920634921,"Down",245286000,-169410000,75876000,-72611000,-72611000,3265000,-776000,-776000,2489000,2489000,-825000,1664000,1664000,1664000,1664000,5299000,5299000,10743000,10743000,296239000,7168000,7168000,319449000,73566000,271993000,14041000,257952000,345559000,665008000,161561000,103273000,58288000,224497000,219665000,219665000,265076000,489573000,118918000,-42527000,99044000,175435000,175435000,665008000,1664000,4932000,15028000,538000,14490000,-9084000,12540000,-1522000,-1522000,-1221000,-11042000,-221000,-12484000,-1466000,-1466000,-1466000,8197000,45411000,-1584000,0.30934,0.01331,0.00678,0.00948,0.0025,-0.95192,1.42295,2.79062,0.06829,0.07913,0.07903,11.66418,8.34253,-0.07532,0.05806,5,0.00655,-0.0036,0.73377,4.8935,12.28545
"38","2019_Q3",1.50875,"Down",240965000,-167848000,73117000,-72179000,-72179000,938000.000000003,-738000,-738000,199999.999999999,199999.999999999,-172000,27999.9999999981,27999.9999999981,27999.9999999981,27999.9999999981,6594000,6594000,13728000,13728000,318604000,9746000,9746000,348672000,71617000,279575000,13841000,265734000,351192000,699864000,173017000,114964000,58053000,236520000,226040000,226040000,288477000,524997000,119398000,-42527000,97996000,174867000,174867000,699864000,27999.9999999981,4890000,16493000,480000,16013000,-28325000,-6914000,-2434000,-2434000,-1064000,11707000,0,10643000,1295000,1295000,1295000,5828000,62437000,-24759000,0.30343,0.00389,0.000120000000000004,0.000159999999999992,4.00000000000014e-05,-884.25,1.47418,3.00226,0.08921,0.00133000000000005,0.00132000000000003,11.40987,8.28008,-1.17236,0.05038,3,0.00236,-0.05344,38,9.58185000000001,59.53412
"39","2019_Q4",2.1359375,"Up",266150000,-180158000,85992000,-76886000,-76886000,9106000,-683000,-683000,8423000,8423000,-2026000,6397000,6397000,6397000,6397000,5042000,5042000,10332000,10332000,310514000,8395000,8395000,334283000,70524000,288018000,13930000,274088000,358542000,692825000,150028000,90375000,59653000,219247000,232292000,232292000,292934000,512181000,119855000,-42527000,103316000,180644000,180644000,692825000,6397000,4808000,16213000,457000,15756000,-19392000,8026000,-2172000,-2172000,-1057000,-6349000,0,-7406000,-1552000,-1552000,-1552000,13914000,60642000,-5624000,0.3231,0.03421,0.02404,0.03541,0.00923,-0.87916,1.52469,2.83531,0.08753,0.30273,0.3021,12.59524,8.54877,-0.26615,0.05002,6,0.01574,-0.01188,0.16523,3.99598,6.10586
"40","2020_Q1",2.19403225806452,"Up",244094000,-167057000,77037000,-75517000,-75517000,1520000,-849000,-849000,671000.000000002,671000.000000002,-315000,356000,356000,356000,356000,8223000,8223000,13646000,13646000,309315000,9680000,9680000,340864000,68414000,279522000,13619000,265903000,347936000,688800000,148590000,83655000,64935000,222810000,219059000,219059000,285618000,508428000,120306000,-42527000,102593000,180372000,180372000,688800000,356000,4907000,17587000,451000,17136000,-22222000,628000,-3235000,-3068000,-1056000,6677000,7.27595761418343e-12,5621000,3181000,3181000,3181000,6427000,66559000,-18715000,0.3156,0.00623,0.00146,0.00197,0.00052,-52.5702200000001,1.52984,2.81877,0.09663,0.0168499999999999,0.01678,11.55037,8.53509,-0.88558,0.04997,6,0.00303,-0.04016,2.96629,9.07671,38.37895
"41","2020_Q2",1.2131746031746,"Down",217736000,-153181000,64555000,-71370000,-71370000,-6815000,-735000,-735000,-7550000,-7550000,2939000,-4611000,-4611000,-4611000,-4611000,44203000,44203000,7834000,7834000,312347000,8129000,8129000,372513000,66347000,286243000,12974000,273269000,352590000,725103000,126355000,73244000,53111000,200846000,224924000,224924000,349199000,550045000,120684000,-42527000,96901000,175058000,175058000,725103000,-4611000,4606000,16995000,475000,16520000,-22292000,-5302000,-2342000,-2342000,-1192000,44913000,-97000,43624000,35980000,35980000,35980000,-2209000,124275000,-29782000,0.29648,-0.0313,-0.02118,-0.02634,-0.00636,6.4589,1.85472,3.14207,0.17139,-0.21802,-0.21802,10.29533,8.27737,-1.4082,0.05636,1,-0.00652,-0.05681,-0.25851,-36.24808,-11.74938
"42","2020_Q3",4.29796875,"Up",227935000,-155742000,72193000,-58333000,-58333000,16360000,-749000,-749000,15611000,15611000,-4475000,11136000,11136000,11136000,11136000,16735000,16735000,14900000,14900000,270924000,8513000,8513000,311072000,62483000,286904000,12782000,274122000,349387000,660459000,136204000,74218000,61986000,209804000,229051000,229051000,264051000,473855000,121090000,-42527000,108041000,186604000,186604000,660459000,11136000,4531000,16107000,406000,15701000,31758000,63532000,-1102000,-865000,-13000,-90017000,-105000,-90135000,-27468000,-27468000,-27468000,20891000,3.5e+07,56022000,0.31673,0.07177,0.04886,0.05968,0.01686,5.03071,1.48268,2.53936,0.05299,0.52402,0.51644,10.72585,8.78095,2.63621,0.000609999999999999,7,0.02474,0.12431,0.00117000000000123,0.874299999999998,1.11644
"43","2020_Q4",7.32109375,"Up",304959000,-194924000,110035000,-71337000,-71337000,36198000,2301000,-199000,38499000,38499000,-10106000,28393000,28393000,28393000,28393000,55695000,55695000,11018000,11018000,254512000,9192000,9192000,330417000,60064000,307876000,14494000,293382000,367940000,698357000,161206000,87048000,74158000,238939000,246185000,246185000,246185000,485124000,121517000,-42527000,134243000,213233000,213233000,698357000,28393000,4496000,12166000,4e+05,11766000,33103000,78158000,-1597000,-1597000,-2132000,-35495000,-1000,-37601000,38960000,38960000,38960000,40694000,0,82306000,0.36082,0.1187,0.0931,0.13315,0.04066,2.89881,1.38285,2.27509,0,1.33232,1.30964,14.30993,10.00577,3.86214,0.10004,6,0.06644,0.17915,0.07509,-1.36863,-1.53862
"44","2021_Q1",11.6783606557377,"Up",290582000,-188194000,102388000,-74366000,-74366000,28022000,-197000,-197000,27825000,27825000,-6803000,21022000,21022000,21022000,21022000,64654000,64654000,19879000,19879000,251180000,11684000,11684000,347397000,57245000,295352000,13831000,281521000,352597000,699994000,163759000,80882000,82877000,239585000,227771000,227771000,227771000,467356000,122092000,-42527000,153073000,232638000,232638000,699994000,21022000,4817000,16664000,433000,16231000,-30148000,12355000,-2306000,-556000,-2133000,-849000,0,-2839999.99999999,8959000,8959000,8959000,32839000,0,7188000,0.35235,0.09643,0.07234,0.09036,0.03003,0.341929999999999,1.44999,2.00894,1.73472347597681e-18,0.98561,0.94438,13.6238,10.90712,0.33701,0.1,5,0.05029,0.01561,0.10147,-1.96882,-2.30726
"45","2021_Q2",21.092380952381,"Up",272806000,-174913000,97893000,-70144000,-70144000,27749000,-342000,-342000,27407000,27407000,-5861000,21546000,21546000,21546000,21546000,100097000,100097000,11399000,11399000,247287000,10513000,10513000,369296000,58710000,288106000,12532000,275574000,346816000,716112000,166964000,88613000,78351000,242824000,222088000,222088000,222088000,464912000,122447000,-42527000,171280000,251200000,251200000,716112000,21546000,4259000,18396000,425000,17971000,-2227000,41974000,-1742000,-1493000,-3360000,-863000,-1763000,-5038000,35443000,35443000,35443000,32008000,0,33900000,0.35884,0.10172,0.07898,0.08577,0.03009,1.57338,1.52084,1.85076,0,1.00602,0.96312,12.73783,11.729,1.58285,0.15688,7,0.05262,0.07163,0.15595,-3.12725,-3.60723
"46","2021_Q3",21.49328125,"Up",326020000,-199097000,126923000,-78379000,-78379000,48544000,-184000,-184000,48360000,48360000,-11557000,36803000,36803000,36803000,36803000,118940000,118940000,15648000,15648000,258905000,11997000,11997000,405490000,58120000,295804000,13396000,282408000,353924000,759414000,191956000,105470000,86486000,269185000,227278000,227278000,227278000,496463000,123750000,-42527000,181728000,262951000,262951000,759414000,36803000,4389000,16026000,479000,15547000,-10454000,46764000,-2363000,-2363000,-25770000,-640000,2.3283064365387e-10,-25558000,18843000,18843000,18843000,52933000,-5.82076609134674e-11,51673000,0.38931,0.1489,0.11289,0.13996,0.04846,1.40404,1.50636,1.88804,0,1.69233,1.62536,14.99149,12.09137,2.3761,1.18499,8,0.12764,0.10541,0.70021,-2.24699,-2.45015
"47","2021_Q4",22.4646875,"Up",289637000,-181660000,107977000,-75147000,-75147000,32830000,-175000,-175000,32655000,32655000,-8524000,24131000,24131000,24131000,24131000,114006000,114006000,10249000,10249000,255245000,11134000,11134000,390634000,59441000,295278000,14212000,281066000,354719000,745353000,160493000,81965000,78528000,239985000,225605000,225605000,225605000,465590000,124260000,-44793000,200296000,279763000,279763000,745353000,24131000,4473000,16444000,518545.475725576,15178239.5977377,-38593000,6455000,-3161000,-3161000,-5438000,-528000,0,-8228000,-4934000,-4934000,-4934000,37303000,0,4073000,0.3728,0.11335,0.08331,0.08626,0.03238,0.16879,1.62774,1.66423,0,1.11811,1.07216,13.4203,12.96279,0.18872,0.25197,4,0.05851,0.00806,0.22535,-3.05622,-3.47262
"48","2022_Q1",16.5954838709677,"Down",273357000,-170321000,103036000,-76142000,-76142000,26894000,-192000,-192000,26702000,26702000,-6796000,19906000,19906000,19906000,19906000,97420000,97420000,13654000,13654000,279981000,16293000,16293000,407348000,60401000,286204000,12097000,274107000,346605000,753953000,189400000,104359000,85041000,269800000,216844000,216844000,216844000,486644000,125169000,-50121000,192261000,267309000,267309000,753953000,19906000,4577000,19493000,537056.211825367,16756834.2894695,-23641000,20335000,-3598000,-3598000,-27225000,-1102000,-28999.9999999999,-33323000,-16586000,-16586000,-16586000,31471000,-3.63797880709171e-12,11028000,0.37693,0.09838,0.07282,0.07447,0.0264,0.554,1.50981,1.82053,0,0.9132,0.88338,12.54046,12.26301,0.50592,1.24897,5,0.09735,0.02278,1.36768,-3.09555,-3.62237
"49","2022_Q2",12.9408064516129,"Down",241981000,-156048000,85933000,-75317000,-75317000,10616000,-184000,-184000,10432000,10432000,-1329000,9103000,9103000,9103000,9103000,62038000,62038000,11709000,11709000,301517000,14125000,14125000,389389000,58010000,294361000,11064000,283297000,352371000,741760000,167748000,100304000,67444000,247211000,225648000,225648000,225648000,472859000,124765000,-51679000,195815000,268901000,268901000,741760000,9103000,4410000,18818000,563000,18255000,-56048000,-23717000,-2926000,-2926000,-6102000,-281000,-1212000,-8739000,-35382000,-35382000,-35382000,15026000,0,-42619000,0.35512,0.04387,0.03762,0.03385,0.01227,-4.68186,1.57513,1.75849,0,0.41761,0.40397,11.10106,12.33604,-1.95518,0.27993,2,0.03075,-0.08618,0.67033,-4.12871,-5.84382
"50","2022_Q3",11.69625,"Down",253800000,-164934000,88866000,-76628000,-76628000,12238000,-136000,-136000,12102000,12102000,-3168000,8934000,8934000,8934000,8934000,36597000,36597000,14248000,14248000,337703000,18864000,18864000,407412000,56717000,309855000,10490000,299365000,366572000,773984000,182979000,114784000,68195000,263881000,239688000,239688000,239688000,503569000,125415000,-54242000,199242000,270415000,270415000,773984000,8934000,4420000,18369000,623000,17746000,-47137000,-15414000,-2593000,-2593000,-5436000,707000,-2.3283064365387e-10,-7434000,-25441000,-25441000,-25441000,16658000,0,-29904000,0.35014,0.04822,0.0352,0.03304,0.01154,-3.34721,1.54392,1.86221,0,0.41388,0.40739,11.75762,12.52733,-1.38534,0.25183,3,0.02817,-0.05862,0.60846,-2.19696,-2.99044
