"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",29.59953125,"Down",108330000,-80138000,28192000,-14988000,-14988000,13204000,231000,231000,13435000,13435000,-2955000,10480000,10480000,10480000,10480000,62165000,62165000,75476000,75476000,78809000,4411000,220861000,110526000,49209000,35633000,159735000,380596000,41834000,14306000,27528000,49094000,26153000,21224000,21224000,4929000,26153000,75247000,8047000,319600000,-22298000,305349000,305349000,380596000,10480000,3529000,1171000,1649000,16829000,-1342000,-3527000,-3562000,11925000,11925000,63000.0000000001,11988000,16733000,3.5527136788005e-15,0.26024,0.12189,0.09674,0.03432,0.02754,4.49874,0.24643,0,0.40116,0.40116,4.14672,11.68834,0.13501,0.04225,0.33655,-3.71511,-4.70804
"37","2019_Q4",34.05921875,"Up",99298000,-73506000,25792000,-14154000,-14154000,11638000,269000,269000,11907000,11907000,-2132000,9775000,9775000,9775000,9775000,85702000,85702000,63505000,63505000,73599000,5440000,228246000,111353000,47818000,35113000,159171000,387417000,44762000,15419000,29343000,51202000,25903000,21028000,21028000,4875000,25903000,77105000,8001000,325880000,-23569000,310312000,310312000,387417000,9775000,3468000,658000,17958000,31859000,-4519000,-3528000,-3558000,23782000,23782000,-245000,23537000,15106000,0,0.25974,0.1172,0.09844,0.0315,0.02523,4.45776,0.24848,0,0.37404,0.37404,3.79964,11.8741,0.135,0.03957,0.36092,-5.67337,-7.36398
"38","2020_Q1",31.8198387096774,"Down",93692000,-68314000,25378000,-15330000,-15330000,10048000,534000,534000,10582000,10582000,-2244000,8338000,8338000,8338000,8338000,80555000,80555000,65433000,65433000,75997000,5680000,227665000,111779000,43316000,34996000,155095000,382760000,40584000,16030000,24554000,45495000,29387000,25493000,24453000,3894000,29387000,74882000,6238000,330177000,-28537000,307878000,307878000,382760000,8338000,3186000,54000,-7751000,3827000,-2862000,-3789000,-6300000,-5335000,-5335000,188000,-5147000,13234000,5.6843418860808e-14,0.27087,0.10725,0.08899,0.02708,0.02178,5.00418,0.24322,1.05879118406788e-22,0.31907,0.31907,3.58533,11.78164,0.14499,0.03596,0.45443,-6.08697,-8.01702
"39","2020_Q2",27.6509523809524,"Down",91671000,-68223000,23448000,-14871000,-14871000,8577000,-1687000,-1687000,6890000,6890000,-1404000,5486000,5486000,5486000,5486000,82436000,82436000,62896000,62896000,77782000,6384000,229498000,109825000,43024000,34340000,152849000,382347000,39278000,15024000,24254000,44864000,29135000,25716000,24442000,3419000,29135000,73999000,5696000,331971000,-29319000,308348000,308348000,382347000,5486000,3182000,2132000,-2368000,8432000,-1667000,-3780000,-4425000,2340000,2340000,-459000,1881000,11759000,0,0.25578,0.09356,0.05984,0.01779,0.01435,5.11542,0.23999,0,0.2104,0.2104,3.51572,11.8256,0.14497,0.02746,0.68903,-7.01046,-9.61129
"40","2020_Q3",29.95171875,"Up",85814000,-63965000,21849000,-12852000,-12852000,8997000,-1930000,-1930000,7067000,7067000,-1433000,5634000,5634000,5634000,5634000,85785000,85785000,60391000,60391000,82694000,5314000,234184000,109157000,43581000,34133000,152738000,386922000,41959000,16708000,25251000,45766000,27832000,24494000,24494000,3338000,27832000,73598000,5694000,333823000,-26193000,313324000,313324000,386922000,5634000,3143000,779000,-914000.000000002,8642000,-1790000,-3782000,-3783000,3069000,3069000,280000,3349000,12140000,-4.54747350886464e-13,0.25461,0.10484,0.06565,0.01798,0.01456,5.11699,0.23489,0,0.21593,0.21593,3.28896,12.00867,0.14495,0.0276,0.67128,-7.06631,-9.53484
"41","2020_Q4",31.5603125,"Up",88982000,-66011000,22971000,-13228000,-13228000,9743000,-744000,-744000,8999000,8999000,-1738000,7261000,7261000,7261000,7261000,93665000,93665000,59890000,59890000,82504000,5388000,241447000,109401000,42574000,33740000,151975000,393422000,41921000,14060000,27861000,46008000,27783000,24556000,24556000,3227000,27783000,73791000,5601000,337337000,-23307000,319631000,319631000,393422000,7261000,3324000,1568000,2201000,14354000,-2564000,-3786000,-3744000,8046000,8046000,-166000,7880000,13067000,0,0.25815,0.10949,0.0816,0.02272,0.01846,5.24794,0.23086,0,0.27818,0.27818,3.40899,12.2454,0.14505,0.0318,0.52142,-7.16806,-9.61357
"42","2021_Q1",31.6808196721311,"Up",82500000,-61213000,21287000,-12851000,-12851000,8436000,-146000,-146000,8290000,8290000,-1483000,6807000,6807000,6807000,6807000,108203000,108203000,50763000,50763000,82686000,5169000,246821000,108666000,38970000,34175000,147636000,394457000,30497000,9466000,21031000,38501000,40443000,37482000,28250000,2961000,40443000,78944000,5792000,340098000,-30377000,315513000,315513000,394457000,6807000,3043000,1607000,8277000,19734000,-1683000,-4046000,-4184000,13867000,13867000,671000,14538000,11479000,7.27595761418343e-12,0.25802,0.10225,0.08251,0.02157,0.01726,6.41077,0.25021,1.35525271560688e-20,0.26078,0.26078,3.16067,12.08767,0.15501,0.03049,0.59439,-9.42617,-12.82634
"43","2021_Q2",33.4679365079365,"Up",89027000,-65985000,23042000,-14069000,-14069000,8973000,345000,345000,9318000,9318000,-1889000,7429000,7429000,7429000,7429000,116514000,116514000,53967000,53967000,79010000,6265000,255756000,105788000,39641000,33852000,145429000,401185000,34116000,12654000,21462000,42751000,39804000,37708000,28230000,2096000,39804000,82555000,6346000,343532000,-31248000,318630000,318630000,401185000,7429000,2982000,1597000,1674000,13682000,-348000,-4047000,-4905000,8429000,8429000,-118000,8311000,11955000,0,0.25882,0.10079,0.08345,0.02332,0.01852,5.98246,0.25909,0,0.28454,0.28454,3.40985,12.20393,0.15501,0.03202,0.54476,-9.74605,-12.98495
"44","2021_Q3",34.256875,"Up",93015000,-68341000,24674000,-14060000,-13710000,10614000,-1705000,-1705000,8909000,8909000,-1812000,7097000,7097000,7097000,7097000,124294000,124294000,58550000,58550000,81742000,6738000,271324000,105854000,39239000,33762000,145093000,416417000,41284000,16615000,24669000,51838000,39623000,37792000,28177000,1831000,39623000,91461000,6811000,346581000,-28436000,324956000,324956000,416417000,7097000,2969000,2874000,1489000,14429000,-2623000,-4048000,-4079000,7727000,7727000,53000.0000000001,7780000,13583000,2.3283064365387e-10,0.26527,0.11411,0.0763,0.02184,0.01704,5.23408,0.28146,1.0842021724855e-19,0.27182,0.27476,3.56259,12.44622,0.15504,0.03057,0.57038,-9.1507,-11.71038
"45","2021_Q4",41.4878125,"Up",102110000,-76277000,25833000,-14291000,-14173000,11542000,-486000,-486000,11056000,11056000,-2274000,8782000,8782000,8782000,8782000,131120000,131120000,58817000,58817000,81413000,7190000,278540000,104765000,38576000,33446000,143341000,421881000,45266000,15796000,29470000,54774000,37631000,35891000,28079000,1740000,37631000,92405000,7261000,351352000,-29137000,329476000,329476000,421881000,8782000,2957000,-504000,2189000,13424000,-2074000,-4050000,-4081000,7269000,7269000,-443000,6826000,14499000,0,0.25299,0.11303,0.08601,0.02665,0.02082,5.08526,0.28046,0,0.34,0.34,3.95325,12.75585,0.1568,0.03495,0.46117,-9.04338,-11.36025
"46","2022_Q1",37.7695161290323,"Down",94164000,-71816000,22348000,-14121000,-14589000,8227000,-262000,-262000,7965000,7965000,-1422000,6543000,6543000,6543000,6543000,125194000,125194000,58545000,58545000,85648000,7795000,277182000,104293000,39279000,33086000,143572000,420754000,43240000,17633000,25607000,52440000,38338000,36701000,27359000,1581827.66954665,38338000,90778000,1838000,353369000,-30330000,329976000,329976000,420754000,6543000,3006000,1365000,-7011000,3903000,-4124000,-4441000,-5488000,-5709000,-5709000,-217000,-5926000,11233000,0,0.23733,0.08737,0.06949,0.01983,0.01555,5.2857,0.2751,0,0.25,0.25,3.59789,12.60798,0.16969,0.02982,0.67874,-11.1452,-15.21745
"47","2022_Q2",30.4327419354839,"Down",102167000,-76670000,25497000,-16039000,-16039000,9458000,90000,90000,9548000,9548000,-2005000,7543000,7543000,7543000,7543000,122686000,122686000,67711000,67711000,89974000,8314000,288685000,104238000,38395000,32925000,142633000,431318000,49075000,19934000,29141000,59509000,38575000,36866000,27218000,1709000,38575000,98084000,6792000,356385000,-29943000,333234000,333234000,431318000,7543000,2933000,1442000,-5753000,6165000,-3384000,-4436000,-5386000,-2605000,-2605000,97000,-2508000,12391000,0,0.24956,0.09257,0.07383,0.02264,0.01749,4.85111,0.29434,0,0.29,0.29,3.92794,12.81159,0.17055,0.03222,0.58809,-9.90122,-12.97166
"48","2022_Q3",26.7053125,"Down",119067000,-90828000,28239000,-25332000,-23897000,2907000,-4168000,-1846000,-1261000,-1261000,265000,-996000,-996000,-996000,-996000,16828000,16828000,90444000,90444000,101134000,15057000,223463000,130017000,520820000,511537000,650837000,874300000,66800000,27455000,39345000,92148000,39898000,37328000,27161000,2570000,454782000,546930000,7522000,350956000,-31108000,327370000,327370000,874300000,-996000,4268000,3328000,-6073000,526999.999999998,-531154000,-4433000,425369000,-105258000,-105258000,-6e+05,-105858000,7175000,432384000,0.23717,0.02441,-0.00836999999999999,-0.00304,-0.00114,2.42504,1.67068,0.49455,-0.04,-0.04,4.78181,13.14739,0.17803,0.0043,-4.4508,57.91721,142.95012
