"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2019_Q4",166.0196875,"Down",938100000,-270930000,667170000,-777420000,-375678000,-401742000,-110250000,-4136000,-4136000,-114386000,-114386000,-1343000,-115729000,-115729000,-115729000,-115729000,2104596000,912748000,1191848000,615508000,615508000,235316000,145462000,89854000,2955420000,929667000,2270558000,262018000,619191000,3200225000,6155645000,387456000,35581000,351875000,1862639000,1795324000,2491389000,1006358000,338719000,85566000,253153000,1345077000,3836466000,4793961000,-2499401000,24619000,2319179000,2319179000,6155645000,-115729000,72233000,287354000,14144000,258002000,-69279000,119131000,32558999.9999999,-3000,1779999.99999999,1779999.99999999,-175000,1602000,292163000,292163000,47999.9999999999,292211000,-38017000,1247652000,-91809000,0.71119,-0.11752,-0.12337,-0.0499,-0.0188,0.79331,1.18625,1.65423,0.20268,-0.50647,-0.50647,4.10549,10.14962,-0.40179,-0.02963,-0.02351,22.54107,7.77273
"29","2020_Q1",168.477741935484,"Up",976299000,-284775000,691524000,-837621000,-415410000,-422211000,-146097000,16884000,16884000,-129213000,-129213000,1255000,-127958000,-127958000,-127958000,-127958000,1944573000,731141000,1213432000,877578000,877578000,272471000,172012000,100459000,3094622000,936179000,2785564000,308401000,657902000,3721743000,6816365000,435760000,57556000,378204000,2289325000,2223178000,2969404000,1017967000,342443000,86025000,256418000,1360410000,4329814000,5090418000,-2627359000,23492000,2486551000,2486551000,6816365000,-127958000,75126000,265860000,84086000,297114000,-51963000,-45993000,-541381000,0,62353000,62353000,-143999.999999996,62209000,-182058000,-182058000,-78000,-182136000,-70971000,1262286000,-40103000,0.70831,-0.14964,-0.13106,-0.05146,-0.01877,0.31341,1.04217,1.74129,0.18518,-0.55507,-0.55507,4.23507,10.78638,-0.17396,-0.03128,-0.0098,9.6136,4.6701
"30","2020_Q2",161.652063492063,"Down",1018385000,-305630000,712755000,-857212000,-413728000,-443484000,-144457000,-10973000,-10973000,-155430000,-155430000,-2938000,-158368000,-158368000,-158368000,-158368000,2599006000,1214213000,1384793000,584219000,584219000,267142000,166641000,100501000,3450367000,937008000,2840128000,292592000,728275000,3777136000,7227503000,421984000,35430000,386554000,2082842000,2012078000,2770963000,1508784000,345752000,78320000,267432000,1854536000,4625499000,5330405000,-2785927000,57526000,2602004000,2602004000,7227503000,-158368000,71514000,300311000,50226000,263683000,-62427000,-214920000,-277347000,497794000,3577000.00000001,3577000.00000001,-2040000,499331000,485667000,485667000,-265000,485402000,-72943000,1774921000,-82206000,0.69989,-0.14185,-0.15551,-0.06086,-0.02191,0.51908,1.24519,1.77767,0.24558,-0.67987,-0.67987,4.3719,11.17032,-0.35291,-0.03353,-0.01741,11.29766,5.70471
"31","2020_Q3",197.83609375,"Up",1061967000,-284277000,777690000,-794444000,-375763000,-418681000,-16754000,-11453000,-11453000,-28207000,-28207000,191000,-28016000,-28016000,-28016000,-28016000,2753538000,1239696000,1513842000,694289000,694289000,266354000,161004000,105350000,3714181000,957434000,2829836000,276847000,733728000,3787270000,7501451000,436362000,57764000,378598000,2079253000,2003455000,2553115000,1752004000,357854000,64465000,293389000,2109858000,4662973000,5954976000,-2813943000,646000,2838478000,2838478000,7501451000,-28016000,73178000,325422000,-213374000,157210000,-68319000,-134319000,-202638000,55000,70940000,70940000,-215000,70780000,25352000,25352000,771000,26123000,56424000,1789504000,-225460000,0.73231,-0.01578,-0.02638,-0.00987,-0.00373,8.04754,1.45476,1.64277,0.23855,-0.1187,-0.1187,4.49935,12.02607,-0.95523,-0.00562,-0.04522,-17.08553,57.54053
"32","2020_Q4",224.68546875,"Up",1105960000,-295181000,810779000,-824856000,-404894000,-419962000,-14077000,-8846000,-8846000,-22923000,-22923000,-1417000,-24340000,-24340000,-24340000,-24340000,2947810000,1067038000,1880772000,742744000,742744000,267688000,157664000,110024000,3958242000,976610000,2910175000,262603000,827947000,3886785000,7845027000,449186000,54949000,394237000,2084969000,2000417000,3625205000,701178000,440590000,68874000,371716000,1141768000,4766973000,6184310000,-2838283000,1110000,3078054000,3078054000,7845027000,-24340000,73864000,314043000,-69765000.0000001,293802000,-79269000,-383397000,-462666000,-9375000,3650000.00000001,3650000.00000001,-181000,-5906000,-174770000,-174770000,39999.9999999999,-174730000,59787000,1792228000,-87830000,0.7331,-0.01273,-0.02201,-0.00791,-0.0031,3.60846,1.09187,1.5487,0.22845,-0.10223,-0.10223,4.64515,12.92817,-0.3689,-0.00458,-0.01654,-19.3283200000001,82.09008
"33","2021_Q1",247.036557377049,"Up",1131684000,-313044000,818640000,-891951000,-452856000,-439095000,-73311000,4737000,4737000,-68574000,-68574000,-3133000,-71707000,-71707000,-71707000,-71707000,3535653000,1384181000,2151472000,1032484000,1032484000,233924000,111160000,122764000,4802061000,972403000,2943947000,248626000,875696000,3916350000,8718411000,529923000,75596000,454327000,2649624000,2556624000,4282648000,691913000,466016000,80111000,385905000,1157929000,5440577000,6255178000,-2909990000,-54970000,3277834000,3277834000,8718411000,-71707000,75101000,303483000,246869000,553746000,-52431000,-246542000,-298973000,-9441000,70506000,70506000,-221000,60844000,315617000,315617000,788000,316405000,1790000,1795014000,199361000,0.72338,-0.06478,-0.06336,-0.02188,-0.00822,-2.78022,1.12128,1.65981,0.20589,-0.29751,-0.29751,4.69538,13.59979,0.82715,-0.01295,0.03599,-972.42402,23.74322
"34","2021_Q2",240.490158730159,"Down",1175033000,-333053000,841980000,-880293000,-438677000,-441616000,-38313000,-9050999.99999999,-9050999.99999999,-47364000,-47364000,842000,-46522000,-46522000,-46522000,-46522000,2994529000,959358000,2035171000,647163000,647163000,264105000,140277000,123828000,3905797000,1155697000,3562513000,401220000,799127000,4718210000,8624007000,576832000,48097000,528735000,2442201000,2361095000,4210755000,673273000,334538000,64914000,269624000,1007811000,5218566000,6298762000,-2820480000,-60421000,3405441000,3405441000,8624007000,-46522000,82463000,322873000,93614000.0000001,452428000,-241219000,58728000,-861716000,-9426000,-1357000.00000001,-1357000.00000001,-225000,-11008000,-420296000,-420296000,186000,-420110000,44150000,1864995000,-104297000,0.71656,-0.03261,-0.03959,-0.01366,-0.00539,2.24189,0.92758,1.53242,0.21626,-0.19087,-0.19087,4.82087,13.97167,-0.4279,-0.0083,-0.01861,-25.5840099999999,29.4817399999999
"35","2021_Q3",247.6090625,"Up",1260361000,-345521000,914840000,-915960000,-471709000,-444251000,-1120000,102985000,102985000,101865000,101865000,3871000,105736000,105736000,105736000,105736000,3307958000,1087070000,2220888000,872764000,872764000,280392000,150287000,130105000,4461114000,1135593000,3517138000,381392000,773580000,4652731000,9113845000,535677000,53082000,482595000,2536454000,2454379000,4274095000,654633000,317127000,64210000,252917000,971760000,5245855000,6639315000,-2714744000,-44150000,3867990000,3867990000,9113845000,105736000,85383000,206252000,-198898000,198473000,-87852000,-51486000,-139332000,-9395000,75844000,75844000,-151000,66298000,125439000,125439000,-321000,125118000,84263000,1856597000,-206358000,0.72586,-0.00089,0.08389,0.02734,0.0116,-1.95163,1.04376,1.35622,0.20371,0.42829,0.40348,5.10522,15.66768,-0.83587,0.0175,-0.03416,-17.22418,1295.85804
"36","2021_Q4",277.6478125,"Up",1327263000,-359724000,967539000,-943594000,-487979000,-455615000,23945000,21557000,21557000,45502000,45502000,-2090000,43412000,43412000,43412000,43412000,3554981000,1297259000,2257722000,865040000,865040000,273687000,137858000,135829000,4693708000,1120196000,3626979000,371658000,826840000,4747175000,9440883000,556078000,47928000,508150000,2506757000,2423305000,4275050000,635994000,314023000,70606000,243417000,950017000,5225067000,6920212000,-2671332000,-20627000,4215816000,4215816000,9440883000,43412000,87127000,315070000,-60955000,384654000,-33339000,-72875000,-166859000,-9384000,1894000,1894000,-33000,-7523000,210272000,210272000,50000.0000000001,210322000,111072000,1848209000,18868000,0.72897,0.01804,0.03271,0.0103,0.0046,0.43463,1.09793,1.2394,0.19577,0.17697,0.17166,5.4106,17.18581,0.07692,0.00681,0.00296,-15.36636,-71.2788499999999
"37","2022_Q1",238.310322580645,"Down",1376141000,-389797000,986344000,-1087306000,-549568000,-537738000,-100962000,17141000,17141000,-83821000,-83821000,10568000,-73253000,-73253000,-73253000,-73253000,3644161000,1534273000,2109888000,1242545000,1242545000,327359000,174402000,152957000,5214065000,1123075000,4161365000,391002000,930319000,5284440000,10498505000,653962000,55487000,598475000,3191450000,3110947000,5067855000,617354000,278214000,71533000,206681000,895568000,5963423000,7284425000,-2744585000,7709000,4535082000,4535082000,10498505000,-73253000,88750000,325351000,274301000,615149000,-81365000,92181000,-439519000,-9409000,71947000,71947000,-54000.0000000002,62484000,238114000,238114000,-620000,237494000,-12212000,1839797000,170156000,0.71675,-0.07337,-0.05323,-0.01615,-0.00698,-2.32285,1.02885,1.31495,0.17524,-0.29664,-0.28172,5.57271,18.36489,0.68905,-0.01101,0.02558,147.75336,17.87171
"38","2022_Q2",181.691774193548,"Down",1434657000,-402821000,1031836000,-1104679000,-563170000,-541509000,-72843000,-20163000,-20163000,-93006000,-93006000,-9167000,-102173000,-102173000,-102173000,-102173000,6255355000,2776336000,3479019000,778076000,778076000,409795000,252989000,156806000,7443226000,1186004000,4169876000,369387000,960445000,5355880000,12799106000,732569000,123361000,609208000,2900692000,2820119000,4781387000,2973068000,263844000,59308000,204536000,3236912000,8018299000,7597040000,-2846758000,43109000,4780807000,4780807000,12799106000,-102173000,89846000,381770000,70274000,439717000,-58770000,-1411971000,-1470741000,2284124000,990000,990000,-7412000,2277702000,1246678000,1246678000,-685000,1245993000,17003000,4121194000,37674000,0.71922,-0.05077,-0.07122,-0.02137,-0.00798,-0.36873,1.55671,1.67719,0.32199,-0.40586,-0.40586,5.6989,18.99082,0.14965,-0.01115,0.00411,-125.51673,29.29809
"39","2022_Q3",156.52609375,"Down",1535798000,-423085000,1112713000,-1146791000,-598956000,-547835000,-34078000,-32789000,-32789000,-66867000,-66867000,2709000,-64158000,-64158000,-64158000,-64158000,6292967000,2486540000,3806427000,1105288000,1105288000,406402000,241390000,165012000,7804657000,1233151000,4211742000,347875000,1023823000,5444893000,13249550000,728602000,60710000,667892000,2980273000,2888792000,4857857000,2974023000,289862000,53938000,235924000,3263885000,8121742000,7988351000,-2910916000,62961000,5127808000,5127808000,13249550000,-64158000,92695000,401088000,-315267000,114358000,-168843000,-318152000,-486995000,-30000,83302000,83302000,-185000,83087000,-289550000,-289550000,-145000,-289695000,58617000,4123005000,-428202000,0.72452,-0.02219,-0.04178,-0.01251,-0.00484,6.67418,1.6066,1.58386,0.31118,-0.25224,-0.25224,6.03801,20.16004,-1.68348,-0.00672,-0.04488,-37.01933,63.67633
