"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","impairment_of_goodwill_intangibles","sale_of_business","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",8.9625,"Up",3.271e+09,-2.762e+09,5.09e+08,-4.8e+07,-4.8e+07,-4.8e+07,4.61e+08,-1.8e+08,-2.25e+08,-3.42e+08,1.17e+08,4e+07,5e+06,2.81e+08,-1.08e+08,-1.59e+08,4.7e+07,1.73e+08,-9.6e+07,6e+06,8.3e+07,7.4e+07,5.2e+07,1.26e+08,1.26e+08,1.813e+09,1.185e+09,6.28e+08,2.581e+09,2.581e+09,6.82e+08,1.871e+09,1.16e+08,1.19209289550781e-07,1.755e+09,6.947e+09,2.3416e+10,3.3184e+10,-9.768e+09,6.537e+09,1.157e+09,2.09e+08,5.99e+08,6.11e+08,3.961e+09,2.9953e+10,3.69e+10,4.352e+09,1.739e+09,3.33e+08,2.28e+09,2.22e+09,2.22e+09,-1.19209289550781e-07,1.19209289550781e-07,6.572e+09,1.8337e+10,1.8337e+10,5.135e+09,1.118e+09,3.032e+09,2.3472e+10,3.0044e+10,8.714e+09,8e+06,8.706e+09,-1.904e+09,1.98e+08,-3.807e+09,3.201e+09,3.655e+09,6.856e+09,3.69e+10,7.4e+07,2.9e+08,1.37e+08,3.1e+07,1.06e+08,1.39e+08,3.7e+07,-2.4e+07,-7.2e+07,1.98e+08,6.4e+08,-6.4e+08,-6.4e+08,1.09e+08,1.15e+08,-1.7e+07,-5.48e+08,-7.1e+07,1.32e+08,-2.03e+08,-3.64e+08,1.61e+08,4.3e+07,-1.8e+08,-8.8e+07,4e+06,-8.4e+07,6e+06,-7.8e+07,7.51e+08,2.0557e+10,3.46e+08,0.15561,0.14094,0.03852,0.01838,0.00341,2.74603,1.05706,4.38215,0.5571,0.19062,0.19005,4.94856,4.84266,0.52345,0.00611,0.01063,24.95872,40.65944
"26","2016_Q3",10.003125,"Up",3.229e+09,-2.655e+09,5.74e+08,-4.7e+07,-4.7e+07,-4.7e+07,5.27e+08,-2.97e+08,-2.52e+08,-3.9e+08,1.38e+08,-3.6e+07,-9e+06,2.3e+08,-2.52e+08,-2.35e+08,-1.7e+07,-2.2e+07,5999999.99999999,8e+06,-7999999.99999997,-3.87e+08,-9.5e+07,-4.82e+08,-4.82e+08,1.809e+09,1.265e+09,5.44e+08,2.087e+09,2.087e+09,6.55e+08,2.83e+09,9.1e+07,1.048e+09,1.691e+09,7.381e+09,2.3035e+10,3.274e+10,-9.705e+09,6.558e+09,1.157e+09,2.19e+08,4.83e+08,6.15e+08,4.084e+09,2.9593e+10,3.6974e+10,3.765e+09,1.434e+09,2.49e+08,2.082e+09,1.61e+09,1.61e+09,8.41e+08,8.41e+08,6.216e+09,1.917e+10,1.917e+10,5.162e+09,1.036e+09,3.072e+09,2.4332e+10,3.0548e+10,8.722e+09,8e+06,8.714e+09,-1.904e+09,-2.84e+08,-3.768e+09,2.766e+09,3.66e+09,6.426e+09,3.6974e+10,-3.87e+08,2.96e+08,6.79e+08,-4.74e+08,1.153e+09,1.35e+08,3.29e+08,3.6e+07,-4.85e+08,2.55e+08,7.23e+08,-6.15e+08,-6.15e+08,3.6e+07,4.1e+07,-1.99e+08,-7.78e+08,4.23e+08,-1.49e+08,5.72e+08,-1.301e+09,1.873e+09,-2.14e+08,1.37e+08,8.2e+07,2e+06,8.4e+07,2e+06,8.6e+07,8.23e+08,2.078e+10,3.37e+08,0.17776,0.16321,-0.14927,-0.07501,-0.01304,-0.69917,1.18742,4.75381,0.56202,-0.73141,-0.73141,4.89985,4.19727,0.51138,-0.01267,0.01041,23.05103,35.9981
"27","2016_Q4",9.51079365079365,"Down",3.542e+09,-2.854e+09,6.88e+08,-4e+07,-4e+07,-4e+07,6.48e+08,-2.59e+08,-2.44e+08,-3.54e+08,1.1e+08,-2e+07,5e+06,3.89e+08,-9.5e+07,-7.9e+07,-7.45058059692383e-09,2.94e+08,-7.5e+07,1.1e+07,2.3e+08,2.29e+08,-5.4e+07,1.75e+08,1.75e+08,1.921e+09,1.325e+09,5.96e+08,2.081e+09,2.081e+09,6.37e+08,2.655e+09,9.2e+07,1.006e+09,1.557e+09,7.294e+09,2.3283e+10,3.3167e+10,-9.884e+09,6.531e+09,1.157e+09,2.27e+08,5.03e+08,6.26e+08,4.018e+09,2.9814e+10,3.7108e+10,3.82e+09,1.426e+09,3.68e+08,2.026e+09,1.091e+09,1.091e+09,8.02e+08,8.02e+08,5.713e+09,1.974e+10,1.974e+10,5.112e+09,1.042e+09,3.035e+09,2.4852e+10,3.0565e+10,8.653e+09,8e+06,8.645e+09,-1.904e+09,-1.14e+08,-3.753e+09,2.882e+09,3.661e+09,6.543e+09,3.7108e+10,2.29e+08,2.91e+08,1.09e+08,-3.2e+07,1.41e+08,1.9e+08,-3.1e+07,2.4e+07,-1e+07,2.07e+08,8.19e+08,-5.15e+08,-5.15e+08,-4.9e+07,1e+06,2.1e+07,-5.43e+08,-3.9e+07,2.4e+08,-2.79e+08,-8.63e+08,5.84e+08,-1.03e+08,-2.15e+08,6.1e+07,0,6.1e+07,-1e+06,6e+07,9.39e+08,2.0831e+10,6.89e+08,0.19424,0.18295,0.04941,0.02675,0.00472,3.93714,1.27674,4.6714,0.56136,0.26555,0.26435,5.37481,4.37329,1.04552,0.00763,0.02121,20.13845,29.1821
"28","2017_Q1",9.35209677419355,"Down",2.39e+08,3.73e+08,6.12e+08,-5.9e+07,-5.9e+07,-5.9e+07,5.53e+08,-1.84e+08,-1.68e+08,-4.8e+07,-1.2e+08,1e+06,-1.7e+07,3.69e+08,-6.27e+08,-6.23e+08,-1e+06,-2.58e+08,1.33e+08,1.1e+07,-1.14e+08,-6.93e+08,-2.56e+08,-9.49e+08,-9.49e+08,1.774e+09,1.244e+09,5.3e+08,1.421e+09,1.421e+09,6.22e+08,2.599e+09,7.2e+07,1.593e+09,9.34e+08,6.416e+09,2.0415e+10,2.8334e+10,-7.919e+09,9.293e+09,1.157e+09,2.87e+08,2.27e+08,6.21e+08,3.658e+09,2.9708e+10,3.6124e+10,2.571e+09,1.238e+09,2.16e+08,1.117e+09,1.052e+09,1.052e+09,1.654e+09,1.654e+09,5.277e+09,1.8402e+10,1.8402e+10,5.963e+09,8.04e+08,2.327e+09,2.4365e+10,2.9642e+10,8.6e+09,8e+06,8.592e+09,-1.904e+09,-1.146e+09,-2.756e+09,2.794e+09,3.688e+09,6.482e+09,3.6124e+10,-6.93e+08,2.99e+08,1.02e+09,-3.18e+08,1.338e+09,8.9e+07,-9.8e+07,6e+06,-5.2e+07,2.33e+08,7.15e+08,-5.75e+08,-5.75e+08,3.84e+08,3.81e+08,-75999999.9999999,-2.67e+08,-2.77e+08,-1.91e+08,-8.6e+07,-9.46e+08,8.6e+08,-1.4e+08,-4.89e+08,-4.1e+07,-4.8e+07,-8.9e+07,3e+07,-5.9e+07,8.52e+08,1.9454e+10,2.33e+08,2.56067,2.31381,-3.97071,-0.14641,-0.02627,-0.24552,1.21584,4.57297,0.53853,-1.4357,-1.42922,0.36157,4.22693,0.3525,-0.02749,0.0073,20.75117,31.97107
"29","2017_Q2",9.50587301587302,"Up",2.581e+09,-2.024e+09,5.57e+08,-5.4e+07,-5.4e+07,-5.4e+07,5.03e+08,-1.95e+08,-2.24e+08,-2.87e+08,6.3e+07,-2e+07,4.9e+07,3.08e+08,-1.51e+08,-1.68e+08,3.72529029846191e-09,1.57e+08,-6.7e+07,7e+06,9.7e+07,9.8e+07,-1.21e+08,-2.3e+07,-2.3e+07,2.222e+09,1.588e+09,6.34e+08,2.134e+09,2.134e+09,6.45e+08,1.4e+09,1.18e+08,2.4e+07,1.258e+09,6.401e+09,2.3148e+10,3.2925e+10,-9.777e+09,6.959e+09,1.157e+09,3.53e+08,7.78e+08,6.74e+08,3.997e+09,3.0107e+10,3.6508e+10,4.065e+09,1.657e+09,3.65e+08,2.043e+09,1.137e+09,1.137e+09,41000000.0000002,41000000.0000002,5.243e+09,1.9197e+10,1.9197e+10,5.165e+09,7.58e+08,2.996e+09,2.4362e+10,2.9605e+10,8.739e+09,8e+06,8.731e+09,-1.892e+09,-1.139e+09,-2.717e+09,2.991e+09,3.912e+09,6.903e+09,3.6508e+10,9.8e+07,2.91e+08,2.17e+08,-6e+06,2.23e+08,1.02e+08,5e+07,-1.6e+07,-6.5e+07,1.33e+08,7.08e+08,-4.74e+08,-4.74e+08,4e+06,4e+06,1.53e+08,-3.17e+08,7.4e+07,1.41e+08,-6.7e+07,-6.36e+08,5.69e+08,-7.4e+07,-7.9e+07,3.12e+08,-3.5e+07,2.77e+08,1.1e+07,2.88e+08,7.94e+08,2.0334e+10,4.89e+08,0.21581,0.19489,-0.00891,-0.00333,-0.000630000000000006,-21.26087,1.22087,4.28872,0.55697,-0.0349,-0.0349,3.91654,4.53869,0.74203,0.00172999999999999,0.01509,22.81108,36.00795
"30","2017_Q3",9.32952380952381,"Down",2.613e+09,-1.99e+09,6.23e+08,-4.9e+07,-4.9e+07,-4.9e+07,5.74e+08,-1.98e+08,-2.17e+08,-2.76e+08,5.9e+07,1.2e+07,7e+06,3.76e+08,-1.5e+08,-9e+07,-4.8e+07,2.26e+08,-8.6e+07,2e+06,1.42e+08,1.5e+08,-9.8e+07,52000000.0000001,52000000.0000001,1.953e+09,1.213e+09,7.4e+08,2.173e+09,2.173e+09,6.33e+08,1.559e+09,8.3e+07,1.02e+08,1.374e+09,6.318e+09,2.3192e+10,3.3033e+10,-9.841e+09,6.959e+09,1.157e+09,3.97e+08,7.57e+08,6.83e+08,3.965e+09,3.0151e+10,3.6469e+10,3.802e+09,1.684e+09,2.25e+08,1.893e+09,2.572e+09,2.572e+09,3.7e+07,3.7e+07,6.411e+09,1.8195e+10,1.8195e+10,4.998e+09,7.46e+08,2.905e+09,2.3193e+10,2.9604e+10,8.74e+09,8e+06,8.732e+09,-1.892e+09,-1.086e+09,-2.741e+09,3.021e+09,3.844e+09,6.865e+09,3.6469e+10,1.5e+08,2.9e+08,2.1e+08,-1.2e+07,2.22e+08,-3.96e+08,-1.7e+08,-2.7e+07,-6.6e+07,-1.33e+08,2.54e+08,-6.49e+08,-6.49e+08,-15999999.9999999,2.9e+07,-1.14e+08,-7.79e+08,4.55e+08,-1.27e+08,5.82e+08,-1.206e+09,1.788e+09,-2.33e+08,1.43e+08,-3.82e+08,2e+07,-3.62e+08,-5e+06,-3.67e+08,8.64e+08,2.0767e+10,-9.5e+07,0.23842,0.21967,0.0199000000000004,0.00757,0.00143,-1.82692,0.98549,4.31231,0.56944,0.0787900000000003,0.07855,3.95909,4.57727,-0.14394,0.00401,-0.00291,21.77546,32.777
"31","2017_Q4",9.14333333333333,"Down",2.693e+09,-2.053e+09,6.4e+08,-5.2e+07,-5.2e+07,-5.2e+07,5.88e+08,-2.32e+08,-2.34e+08,-2.97e+08,6.3e+07,2.2e+07,-2e+07,3.56e+08,-5.2e+07,-1999999.99999997,-1e+06,3.04e+08,-9.3e+07,2.4e+07,2.35e+08,2.61e+08,-1.09e+08,1.52e+08,1.52e+08,1.961e+09,1.398e+09,5.63e+08,2.357e+09,2.357e+09,6.6e+08,1.682e+09,8.9e+07,75999999.9999999,1.517e+09,6.66e+09,2.4356e+10,3.4555e+10,-1.0199e+10,7.818e+09,1.157e+09,4.74e+08,7.6e+08,1.164e+09,4.263e+09,3.2174e+10,3.8834e+10,4.464e+09,2.091e+09,3.53e+08,2.02e+09,2.257e+09,2.257e+09,14999999.9999999,15000000.0000001,6.736e+09,1.9776e+10,1.9776e+10,5.176e+09,7.42e+08,3.047e+09,2.4952e+10,3.1688e+10,8.678e+09,8e+06,8.67e+09,-1.892e+09,-9.34e+08,-2.666e+09,3.186e+09,3.96e+09,7.146e+09,3.8834e+10,2.61e+08,3.03e+08,6e+07,1.5e+07,4.5e+07,1.15e+08,-1.59e+08,-2.3e+07,2.93e+08,4e+06,7.39e+08,-4.64e+08,-4.64e+08,-5.88e+08,6e+06,1.93e+08,-8.59e+08,7.53e+08,6.24e+08,1.29e+08,-1.242e+09,1.371e+09,-5.9e+07,6.14e+08,4.94e+08,-9.2e+07,4.02e+08,1.5e+07,4.17e+08,8.91e+08,2.2033e+10,6.35e+08,0.23765,0.21834,0.05644,0.02127,0.00391,4.17763,0.98872,4.43437,0.56736,0.2303,0.22926,4.0803,4.82727,0.96212,0.00675,0.01848,22.5275,34.13605
"32","2018_Q1",9.29131147540984,"Up",2.643e+09,-1.998e+09,6.45e+08,-6e+07,-6e+07,-6e+07,5.85e+08,-1.97e+08,-2.51e+08,-3.1e+08,5.9e+07,2.8e+07,2.6e+07,3.88e+08,-3.04e+08,-2.77e+08,-3e+06,8.4e+07,-7.44e+08,3.8e+07,-6.22e+08,-1.286e+09,-5.6e+07,-1.342e+09,-1.342e+09,1.373e+09,9.49e+08,4.24e+08,1.463e+09,1.463e+09,5.62e+08,3e+09,6.2e+07,2.034e+09,9.04e+08,6.398e+09,2.0296e+10,2.8238e+10,-7.942e+09,6.418e+09,1.059e+09,3.66e+08,1.3e+08,1.197e+09,3.666e+09,2.6714e+10,3.3112e+10,2.831e+09,1.371e+09,2.28e+08,1.232e+09,2.164e+09,2.164e+09,1.033e+09,1.033e+09,6.028e+09,1.7801e+10,1.7801e+10,3.601e+09,1.006e+09,2.595e+09,2.1402e+10,2.743e+10,8.509e+09,8e+06,8.501e+09,-1.892e+09,-2.276e+09,-1.876e+09,2.465e+09,3.217e+09,5.682e+09,3.3112e+10,-1.286e+09,2.85e+08,1.69e+09,6.75e+08,1.015e+09,1.14e+08,1.02e+08,3.8e+07,1000000.00000006,-2.7e+07,8.03e+08,-5.9e+08,-5.9e+08,1e+07,6.9e+07,-6.4e+07,-6.44e+08,-3.34e+08,-2.24e+08,-1.1e+08,-6.29e+08,5.19e+08,-2.22e+08,-6.35e+08,-4.76e+08,-2.1e+07,-4.97e+08,-1.3e+07,-5.1e+08,8.7e+08,1.9965e+10,1.138e+09,0.24404,0.22134,-0.50776,-0.23618,-0.04053,-0.84799,1.06138,4.82753,0.60295,-2.03026,-2.04573,3.99849,3.7292,1.72163,-0.04318,0.03891,21.37011,31.7812
"33","2018_Q2",10.64,"Up",2.74e+09,-2.084e+09,6.56e+08,-5.6e+07,-5.6e+07,-5.6e+07,6e+08,-2.2e+08,-2.05e+08,-2.81e+08,7.6e+07,-1.9e+07,4e+06,3.8e+08,6.18e+08,-260955410.982279,7.88e+08,9.98e+08,-2.31e+08,1.1e+07,7.78e+08,7.77e+08,-9.3e+07,6.84e+08,6.84e+08,1.829e+09,1.212e+09,6.17e+08,1.498e+09,1.498e+09,5.69e+08,1.542e+09,6.6e+07,3.58e+08,1.118e+09,5.438e+09,2.0688e+10,2.8856e+10,-8.168e+09,6.447e+09,1.059e+09,3.62e+08,9.4e+07,1.282e+09,3.65e+09,2.7135e+10,3.2573e+10,2.788e+09,1.317e+09,2.89e+08,1.182e+09,2.025e+09,2.025e+09,62999999.9999998,62999999.9999998,4.876e+09,1.7661e+10,1.7661e+10,3.66e+09,1.207e+09,2.264e+09,2.1321e+10,2.6197e+10,8.405e+09,8e+06,8.397e+09,-1.879e+09,-1.525e+09,-1.808e+09,3.193e+09,3.183e+09,6.376e+09,3.2573e+10,7.77e+08,2.54e+08,-3.64e+08,1.8e+08,-5.44e+08,-1.52e+08,-3.9e+07,-1.6e+07,-6.6e+07,-3.1e+07,5.15e+08,-4.95e+08,-4.95e+08,1.136e+09,1.18e+09,-2.25e+08,4.16e+08,-4.29e+08,9.8e+07,-5.27e+08,-2.284e+09,1.757e+09,-1.15e+08,-6.3e+08,3.01e+08,7.4e+07,3.75e+08,5e+06,3.8e+08,8.54e+08,1.9686e+10,4.38e+08,0.23942,0.21898,0.24964,0.10728,0.021,0.64035,1.11526,4.10869,0.60437,1.0348,1.03167,4.14523,4.83056,0.66263,0.02591,0.01474,20.90984,29.76167
"34","2018_Q3",11.7504761904762,"Up",2.537e+09,-1.937e+09,6e+08,-3.5e+07,-3.5e+07,-3.5e+07,5.65e+08,-2.14e+08,-1.87e+08,-2.63e+08,7.6e+07,-3e+07,3e+06,3.51e+08,-9000000.00000012,-9.2e+07,8.9e+07,3.42e+08,-1.32e+08,1.4e+07,2.24e+08,4.16e+08,-1.28e+08,2.88e+08,2.88e+08,1.996e+09,1.14e+09,8.56e+08,1.423e+09,1.423e+09,5.83e+08,1.285e+09,1.16e+08,1.08e+08,1.061e+09,5.287e+09,2.0719e+10,2.8624e+10,-7.905e+09,6.591e+09,1.059e+09,3.41e+08,8.3e+07,1.327e+09,3.781e+09,2.731e+10,3.2597e+10,2.742e+09,1.506e+09,2e+08,1.036e+09,1.235e+09,1.235e+09,1.7e+07,1.7e+07,3.994e+09,1.8356e+10,1.8356e+10,3.727e+09,1.165e+09,2.562e+09,2.2083e+10,2.6077e+10,8.41e+09,8e+06,8.402e+09,-1.879e+09,-1.234e+09,-1.988e+09,3.309e+09,3.211e+09,6.52e+09,3.2597e+10,4.16e+08,2.58e+08,-1.71e+08,2999999.99999994,-1.74e+08,-1.04e+08,4.5e+07,-1.7e+07,-2.4e+07,-1.08e+08,3.99e+08,-4.84e+08,-4.99e+08,5.4e+08,6.28e+08,-3.52e+08,-2.96e+08,9e+07,-7e+06,9.7e+07,-3.38e+08,4.35e+08,-1.03e+08,-9.9e+07,4e+06,-5e+06,-1e+06,-2.5e+07,-25999999.9999999,8.23e+08,1.9591e+10,3.67e+08,0.2365,0.2227,0.11352,0.04417,0.00884,1.27431,1.32374,3.99954,0.60101,0.4357,0.43373,3.83812,5.00605,0.55522,0.01253,0.0123,21.3791,31.14159
"35","2018_Q4",13.221746031746,"Up",2.837e+09,-2.166e+09,6.71e+08,-4.3e+07,-4.3e+07,-4.3e+07,6.28e+08,-1.9e+08,-1.76e+08,-2.55e+08,7.9e+07,5e+06,-1.9e+07,4.38e+08,-1.06e+08,-7.4e+07,-2.1e+07,3.32e+08,-1.46e+08,6e+06,1.92e+08,1.91e+08,-9e+07,1.01e+08,1.01e+08,1.588e+09,1.187e+09,4.01e+08,1.51e+09,1.51e+09,5.62e+08,1.355e+09,9.7e+07,1.11e+08,1.147e+09,5.015e+09,2.1108e+10,2.9141e+10,-8.033e+09,6.366e+09,1.059e+09,4e+08,8.8e+07,1.277e+09,3.542e+09,2.7474e+10,3.2489e+10,2.722e+09,1.299e+09,2.72e+08,1.151e+09,1.308e+09,1.308e+09,1.7e+07,1.7e+07,4.047e+09,1.8088e+10,1.8088e+10,3.766e+09,1.214e+09,2.552e+09,2.1854e+10,2.5901e+10,8.336e+09,8e+06,8.328e+09,-1.878e+09,-1.133e+09,-2.02e+09,3.305e+09,3.283e+09,6.588e+09,3.2489e+10,1.91e+08,2.58e+08,2.46e+08,3.8e+07,2.08e+08,7.2e+07,-1.31e+08,2e+07,6.1e+07,1.22e+08,7.67e+08,-5.98e+08,-5.98e+08,-4.7e+07,-1.2e+07,3.35e+08,-3.1e+08,-2.33e+08,-2.52e+08,1.9e+07,-2.98e+08,3.17e+08,-1.15e+08,-4.34e+08,2.3e+07,-1.3e+07,1e+07,-3e+07,-2e+07,8.86e+08,1.9396e+10,5.06e+08,0.23652,0.22136,0.0356,0.01533,0.00311,5.0099,1.23919,3.93154,0.597,0.15257,0.15188,4.2855,4.99245,0.76435,0.00629,0.01701,20.09932,28.35669
"36","2019_Q1",14.9367213114754,"Up",2.622e+09,-1.976e+09,6.46e+08,-5.8e+07,-5.8e+07,-5.8e+07,5.88e+08,-3.27e+08,-1.78e+08,-2.57e+08,7.9e+07,-2.8e+07,-1.21e+08,2.61e+08,8.5e+07,-4.2e+07,1.28e+08,3.46e+08,-1.99e+08,8e+06,1.55e+08,1.81e+08,-5.1e+07,1.3e+08,1.3e+08,1.479e+09,1.166e+09,3.13e+08,1.595e+09,1.595e+09,5.77e+08,1.364e+09,1.3e+08,5.7e+07,1.177e+09,5.015e+09,2.1396e+10,2.9623e+10,-8.227e+09,6.11e+09,1.059e+09,4.36e+08,9.7e+07,1.114e+09,3.404e+09,2.7506e+10,3.2521e+10,2.732e+09,1.329e+09,1.91e+08,1.212e+09,1.659e+09,1.659e+09,8e+06,8e+06,4.399e+09,1.7636e+10,1.7636e+10,4.003e+09,1.28e+09,2.723e+09,2.1639e+10,2.6038e+10,8.162e+09,8e+06,8.154e+09,-1.878e+09,-1.005e+09,-2.071e+09,3.208e+09,3.275e+09,6.483e+09,3.2521e+10,1.81e+08,2.33e+08,2.5e+08,9.2e+07,1.58e+08,-2000000.00000003,-8.1e+07,-2.3e+07,9.1e+07,1.1e+07,6.62e+08,-5.44e+08,-5.29e+08,3.25e+08,2.24e+08,-9.6e+07,-3.15e+08,-2.17e+08,-2.12e+08,-5e+06,-4.24e+08,4.19e+08,-1.77e+08,-4.8e+08,-1.33e+08,1.8e+07,-1.15e+08,-4e+06,-1.19e+08,8.21e+08,1.9295e+10,4.74e+08,0.24638,0.22426,0.04958,0.02005,0.004,3.64615,1.14003,4.01635,0.59331,0.19578,0.19461,3.9488,4.83133,0.71386,0.00725,0.01592,21.70037,30.29932
"37","2019_Q2",15.164126984127,"Up",2.65e+09,-2.064e+09,5.86e+08,-4.6e+07,-4.6e+07,-4.6e+07,5.4e+08,-1.72e+08,-1.86e+08,-2.65e+08,7.9e+07,-4e+06,1.8e+07,3.68e+08,-1.4e+07,-102565553.303711,-4e+06,3.54e+08,-1.15e+08,-6e+06,2.33e+08,2.33e+08,-7.9e+07,1.54e+08,1.54e+08,1.804e+09,1.426e+09,3.78e+08,1.564e+09,1.564e+09,5.79e+08,1.908e+09,1.11e+08,5.75e+08,1.222e+09,5.855e+09,2.1228e+10,2.9501e+10,-8.273e+09,6.388e+09,1.059e+09,4.67e+08,1.08e+08,1.147e+09,3.607e+09,2.7616e+10,3.3471e+10,2.674e+09,1.224e+09,2.65e+08,1.185e+09,1.265e+09,1.265e+09,4.18e+08,4.18e+08,4.357e+09,1.8445e+10,1.8445e+10,4.13e+09,1.302e+09,2.828e+09,2.2575e+10,2.6932e+10,8.047e+09,8e+06,8.039e+09,-1.867e+09,-8.39e+08,-2.107e+09,3.234e+09,3.305e+09,6.539e+09,3.3471e+10,2.33e+08,2.46e+08,1.82e+08,6.2e+07,1.2e+08,2.9e+07,9e+06,-1.8e+07,2.5e+07,1.3e+07,6.9e+08,-5.04e+08,-5.04e+08,-9e+07,0,-6.9e+07,-6.63e+08,6.67e+08,2.3e+08,4.37e+08,-4.29e+08,8.66e+08,-1.75e+08,4.02e+08,4.29e+08,-5.3e+07,3.76e+08,-4e+06,3.72e+08,7.86e+08,1.971e+10,4.26e+08,0.22113,0.20377,0.05811,0.02355,0.0046,2.76623,1.34381,4.11867,0.58887,0.23228,0.23088,3.99698,4.87783,0.64253,0.00803,0.01402,22.78117,33.15926
"38","2019_Q3",14.5334375,"Down",2.483e+09,-1.981e+09,5.02e+08,-4.9e+07,-4.9e+07,-4.9e+07,4.53e+08,-1.65e+08,-1.91e+08,-2.73e+08,8.2e+07,2.2e+07,4000000.00000001,2.88e+08,-1.7e+08,-1.16e+08,-3e+06,1.18e+08,-5.7e+07,5e+06,6.6e+07,6.7e+07,-5e+07,1.7e+07,1.7e+07,1.579e+09,1.169e+09,4.1e+08,1.538e+09,1.538e+09,4.96e+08,1.904e+09,9.8e+07,5.57e+08,1.249e+09,5.517e+09,2.1565e+10,3.0005e+10,-8.44e+09,6.156e+09,1.059e+09,4.6e+08,1.22e+08,1.086e+09,3.429e+09,2.7721e+10,3.3238e+10,2.537e+09,1.234e+09,1.94e+08,1.109e+09,1.087e+09,1.087e+09,4.18e+08,4.18e+08,4.042e+09,1.8668e+10,1.8668e+10,4.164e+09,1.233e+09,2.931e+09,2.2832e+10,2.6874e+10,8.046e+09,8e+06,8.038e+09,-1.867e+09,-8.24e+08,-2.147e+09,3.208e+09,3.156e+09,6.364e+09,3.3238e+10,6.7e+07,2.66e+08,1.76e+08,-4.7e+07,2.23e+08,-1.85e+08,1e+06,4.3e+07,-5.4e+07,-1.75e+08,3.24e+08,-5.49e+08,-5.66e+08,1.46e+08,2.29e+08,-4.7e+07,-4.5e+08,-7.1e+07,69000000.0000001,-1.4e+08,-1.855e+09,1.715e+09,-1.32e+08,-2.94e+08,-4.2e+08,-4e+06,-4.24e+08,2e+06,-4.22e+08,7.19e+08,1.9755e+10,41999999.9999999,0.20217,0.18244,0.00685000000000001,0.00267,0.00051,2.47059,1.36492,4.22282,0.59435,0.02564,0.0254899999999999,3.7451,4.83861,0.06335,0.00357,0.00139,25.27955,40.12362
