"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",55.8762903225806,"Up",91463000,-91066000,-92777000,1711000,397000.000000015,-8670000,-9947000,-10980000,1033000,-8273000,-8048000,7210000,-838000,-838000,-838000,-838000,202463000,202463000,115209000,107336000,27201000,26885000,344873000,84061000,127583000,295951000,15738000,78905000,52812000,53657000,507595000,852468000,129255000,48071000,81184000,1195000,133218000,133218000,263668000,839409000,60740000,21595000,38853000,900149000,1163817000,159996000,-1070383000,607560000,-8522000,-311349000,-311349000,852468000,-838000,18952000,-4588000,50100000,63626000,-9923000,-9705000,-7607000,-231000,-22308000,-32462000,-11492000,4181000,6149000,-1968000,-33932000,-2768000,-2768000,-722000,-3490000,19349000,840604000,52316000,0.00434000000000007,-0.00916,0.00269,-0.000980000000000002,-62.42959,1.30798,-3.73798,0.98608,-0.0150199999999999,-0.01496,1.63983,-5.58213,0.93797,0.20604,0.01806,0.08867,-13.7136,32.98057,1607.40806
"29","2017_Q2",61.1952380952381,"Up",188868000,-143465000,-141739000,-1726000,45403000,-11124000,-9941000,-11205000,1264000,34279000,34279000,-10010000,24269000,24269000,24269000,24269000,187472000,187472000,125528000,117878000,29862000,29416000,342862000,82701000,142633000,335936000,15301000,79073000,54592000,63420000,561270000,904132000,127023000,59090000,67933000,1225000,145833000,145833000,274081000,862389000,60149000,23044000,36966000,922538000,1196619000,161670000,-1070516000,624098000,-7739000,-292487000,-292487000,904132000,24269000,7016000,-1025000,-6046000,24214000,-6806000,-6806000,-4718000,-1424000,-39602000,-47832000,-12139000,-2308000,4963000,-7271000,8200000,-15418000,-15418000,427000,-14991000,52419000,863614000,49577000,0.2404,0.1285,-0.08297,0.02684,2.04281,1.25095,-4.09119,0.95519,0.43383,0.43117,3.3762,-5.22849,0.88624,0.217,0.05767,0.07853,0.50019,12.8988,14.89201
"30","2017_Q3",59.7814285714286,"Down",261016000,-174477000,-172818000,-1659000,86539000,-10125000,-9842000,-11280000,1438000,76414000,76414000,-25729000,50685000,50685000,50685000,50685000,197957000,197957000,157015000,146653000,25255000,25196000,380227000,83134000,151455000,333157000,15101000,80036000,54030000,52268000,567746000,947973000,139709000,67736000,71973000,1302000,135350000,135350000,276361000,862965000,61264000,23927000,37337000,924229000,1200590000,165763000,-1069241000,656961000,-6100000,-252617000,-252617000,947973000,50685000,6526000,2552000,-19869000,39894000,-6109000,-6109000,-5969000,-312000,-13050000,-19471000,-12194000,1484000,1627000,-143000,-10466000,9957000,9957000,528000,10485000,93065000,864267000,92816000,0.33155,0.19418,-0.20064,0.05347,1.83123,1.37583,-4.75261,0.9117,0.90391,0.89787,4.65493,-4.50515,1.65527,0.21747,0.09344,0.13793,0.240580000000001,7.15962,7.69953000000007
"31","2017_Q4",70.124126984127,"Up",269930000,-176835000,-175234000,-1601000,93095000,-9320000,-9824000,-11399000,1575000,83775000,83743000,-26554000,57189000,57189000,57189000,57189000,238848000,238848000,162461000,151672000,54014000,34338000,455323000,83611000,159552000,262706000,14749000,80519000,7835000,28475000,505869000,961192000,134776000,68261000,66515000,1302000,136956000,136956000,273034000,800001000,88537000,24355000,64182000,888538000,1161572000,179182000,-1066915000,692387000,-5034000,-200380000,-200380000,961192000,57189000,6898000,61114000,-24290000,100911000,-6975000,-6975000,-6827000,-404000,-3593000,-10972000,-12150000,1736000,3209000,-1473000,-49526000,40413000,40413000,478000,40891000,99993000,801303000,95282000,0.34489,0.21187,-0.2854,0.0595,1.66609,1.66764,-5.79685,0.83366,1.01827,1.01193,4.80619,-3.56783,1.69653,0.21633,0.10057,0.1382,0.21245,5.62494,6.04173
"32","2018_Q1",77.5493442622951,"Up",221483000,-157124000,-155430000,-1694000,64359000,-9867000,-9512000,-11155000,1643000,54492000,54781000,-64597000,-9816000.00000001,-9815999.99999999,-9815999.99999999,-9815999.99999999,235336000,235336000,139126000,125870000,25967000,25967000,400429000,83374000,100974000,410414000,100492000,80757000,27224000,67715000,594762000,995191000,152154000,67839000,84315000,1232000,131265000,52142000,284651000,725292000,243849000,25566000,119785000,969141000,1253792000,183399000,-1064573000,627272000,-4699000,-258601000,-258601000,995191000,-9815999.99999999,6849000,4958999.99999999,90363000,92355000,-5064000,-6064000,-5923000,-307000,-6469000,-11840000,-12168000,3388000,4308000,-920000,-83985000,-3470000.00000001,-3470000.00000001,-42000,-3512000.00000001,71208000,726524000,221104000,0.29058,-0.04432,0.03796,-0.00986000000000001,-22.52486,1.40674,-4.84836,0.73003,-0.17442,-0.17266,3.93545,-4.59498,3.92871,0.21621,0.0033,0.31064,-1.23961,6.89793,7.63200000000002
"33","2018_Q2",77.42296875,"Down",209394000,-163145000,-160092000,-3053000,46249000,-15788000,-9700000,-11309000,1609000,30461000,30461000,-5375000,25086000,25086000,25086000,25086000,36834000,36834000,160282000,143028000,34729000,34065000,231845000,98403000,98428000,623341000,246925000,174538000,24601000,49120000,820172000,1052017000,121683000,62730000,58953000,1265000,146322000,62247000,269270000,795745000,246919000,24513000,126055000,1042664000,1311934000,196602000,-1093066000,640176000,-3629000,-259917000,-259917000,1052017000,25086000,8124000,7696000,-36354000,4552000,-6189000,-6189000,-4996000,-1669000,-2010000,-241185000,-12265000,-18817000,23052000,-41869000,38105000,-198528000,-198528000,26000,-198502000,54373000,797010000,17205000,0.22087,0.1198,-0.09652,0.02385,0.68584,0.86101,-5.04751,0.7576,0.44428,0.43925,3.70845,-4.60323,0.30471,0.21722,0.04764,0.02194,0.48892,13.98076,16.43659
"34","2018_Q3",75.8842857142857,"Down",295441000,-186507000,-182838000,-3669000,108934000,-8992000,-10062000,-11705000,1643000,99942000,100024000,-20185000,79839000,79839000,79839000,79839000,37148000,37148000,215271000,186034000,30733000,30683000,283152000,112567000,99270000,628027000,248469000,173741000,23310000,49029000,839864000,1123016000,146206000,72266000,73940000,1099000,139368000,58190000,286673000,795124000,245171000,24866000,116551000,1040295000,1326968000,205850000,-1112376000,707856000,-5282000,-203952000,-203952000,1123016000,79839000,8646000,-319000,-28904000,59262000,-13699000,-16751000,-16615000,-378000,-17426000,-31503000,-12189000,-13697000,15007000,-28704000,-26824000,935000,935000,-621000,314000,117580000,796223000,95162000.0000001,0.36872,0.27024,-0.39146,0.07109,1.19192,0.98772,-6.50628,0.709,1.41649,1.40485,5.24166,-3.61848,1.68835,0.21626,0.10989,0.11363,0.15267,6.45582,6.96821
"35","2018_Q4",72.868253968254,"Down",291490000,-180322000,-176507000,-3815000,111168000,-8725000,-9740000,-11706000,1966000,102443000,102443000,-22484000,79959000,79959000,79959000,79959000,30916000,30916000,218228000,185586000,31471000,31163000,280615000,117610000,104576000,658236000,263923000,173641000,32730000,80037000,880422000,1161037000,150275000,71684000,78591000,1099000,148156000,65810000,299530000,781433000,248153000,26137000,114646000,1029586000,1329116000,210004000,-1148441000,775675000,-5317000,-168079000,-168079000,1161037000,79959000,8454000,-21589000,16199000,83023000,-16032000,-12854000,-12518000,-394000,-10733000,-27159000,-12174000,-35597000,3096000,-38693000,-61986000,-6122000,-6122000,-110000,-6232000,119622000,782532000,142273000,0.38138,0.27431,-0.47572,0.06887,1.77932,0.93685,-7.90769,0.67399,1.4273,1.41716,5.20323,-3.00029,2.53964,0.21731,0.10681,0.16493,0.15225,6.28326,6.76108
"36","2019_Q1",75.5973770491803,"Up",244979000,-188649000,-184856000,-3793000,56330000,-11711000,-8954000,-11188000,2234000,44619000,40330000,-8859000,31471000,31471000,31471000,31471000,26642000,26642000,174777000,138018000,42365000,32243000,243784000,127535000,102838000,664213000,271188000,168996000,30613000,84400000,894586000,1138370000,166162000,73511000,92651000,1097000,151180000,67614000,318439000,753514000,250189000,24212000,115699000,1003703000,1322142000,214121000,-1187625000,795178000,-5446000,-183772000,-183772000,1138370000,31471000,8703000,-1685000,57570000,96059000,-10503000,-13682000,-13544000,2371000,-10094000,-21405000,-12087000,-39208000,205000,-39413000,-78712000,-4058000,-4058000,705000,-3353000,65033000,754611000,120959000,0.22994,0.12846,-0.17125,0.02765,3.84351,0.76556,-7.19447,0.66289,0.5653,0.56158,4.40048,-3.30104,2.17275,0.21711,0.05305,0.14733,0.38407,11.19384,12.92329
"37","2019_Q2",81.4322222222222,"Up",218320000,-162969000,-159353000,-3616000,55351000,-8571000,-8598000,-11211000,2613000,46780000,36479000,-6398000,30081000,30081000,30081000,30081000,31810000,31810000,188385000,153969000,30476000,27935000,250671000,134861000,105778000,682506000,264690000,165623000,32850000,112540000,923145000,1173816000,139052000,72086000,66966000,1088000,163731000,77065000,303871000,804730000,250692000,26879000,112700000,1055422000,1359293000,217335000,-1209870000,812496000,-5438000,-185477000,-185477000,1173816000,30081000,8137000,10739000,-31014000,17943000,-5081000,-15666000,-14906000,-1603000,2404000,-4280000,-12163000,-22748000,9203000,-31951000,-8552000,5111000,5111000,57000,5168000,63488000,805818000,33791000,0.25353,0.13778,-0.16218,0.02563,1.12333,0.82493,-7.32863,0.68649,0.5435,0.54047,3.94457,-3.35117,0.61053,0.21976,0.0485,0.03879,0.40434,12.19141,13.98363
"38","2019_Q3",87.3165625,"Up",317684000,-209402000,-205997000,-3405000,108282000,-8383000,-8309000,-11093000,2784000,99899000,94154000,-19765000,74389000,74389000,74389000,74389000,34407000,34407000,215466000,181452000,26991000,23317000,276864000,149084000,110218000,678111000,272208000,159197000,28144000,109719000,937413000,1214277000,170603000,96752000,73851000,508000,149897000,68695000,321008000,784280000,231649000,28029000,95492000,1015929000,1336937000,223345000,-1215254000,874923000,-5674000,-122660000,-122660000,1214277000,74389000,7483000,4639000,-6715000,79796000,-23548000,-23548000,-23271000,-673000,-5983000,-40987000,-11968000,-3418000,7068000,-10486000,-36287000,2522000,2522000,75000,2597000,115765000,784788000,105267000,0.34085,0.23416,-0.60647,0.06126,1.41509,0.86248,-10.89954,0.6463,1.34463,1.33892,5.74235,-2.21716,1.90277,0.21633,0.09662,0.11778,0.16088,6.48193,6.92988
"39","2019_Q4",91.57171875,"Up",310732000,-209424000,-197842000,-5568000,101308000,-16496000,-10211000,-12431000,2220000,84812000,85924000,-9685000,76239000,76239000,76239000,76239000,31569000,31569000,200814000,171802000,27881000,23230000,260264000,347343000,116484000,650171000,279484000,159197000,27245000,115055000,1113998000,1374262000,158192000,84512000,73680000,507000,157605000,77337000,316304000,875843000,238850000,28306000,99547000,1114693000,1430997000,225930000,-1216169000,939187000,-5683000,-56735000,-56735000,1374262000,76239000,9324000,4740000,2935000,93238000,-179534000,-10580000,-7958000,-472000,-3830000,-174899000,-11972000,-85000,2248000,-2333000,79068000,-2593000,-2593000,-245000,-2838000,110632000,876350000,-56282000,0.32603,0.24535,-1.34377,0.05548,-0.73823,0.82283,-25.22247,0.63769,1.37695,1.37049,5.61212,-1.02469,-1.01651,0.21623,0.08334,-0.05317,0.15703,7.63596,8.33874
"40","2020_Q1",89.2861290322581,"Down",268084000,-199557000,-184884000,-6239000,68527000,-12937000,-9693000,-12072000,2379000,55590000,53372000,-11203000,42169000,42169000,42169000,42169000,33766000,33766000,166970000,141566000,35853000,24727000,236589000,351502000,24978000,773603000,290421000,159196000,20747000,224584000,1150083000,1386672000,163813000,73449000,90364000,7511000,154564000,71594000,325888000,844102000,240193000,29949000,97582000,1084295000,1410183000,232111000,-1219905000,968833000,-4550000,-23511000,-23511000,1386672000,42169000,11178000,5022000,21210000,79579000,154707000,-7548000,-11207000,1790000,-20390000,-31001000,-11986000,-2977000,2891000,-5868000,-46724000,1853999.99999999,1853999.99999999,113000,1967000,79705000,851613000,266825000,0.25562,0.1573,-1.79359,0.03041,6.32752,0.72598,-59.97971,0.61414,0.76126,0.75535,4.83959,-0.42443,4.81686,0.21638,0.05069,0.24977,0.28424,10.26092,11.93467
"41","2020_Q2",75.2085714285714,"Down",218175000,-171393000,-158830000,-6529000,46782000,-11047000,-9092000,-11380000,2288000,35735000,30399000,25064000,55463000,55463000,55463000,55463000,321954000,321954000,172442000,148281000,36883000,26330000,531279000,351045000,11057000,810571000,292030000,159196000,49346000,231416000,1172673000,1703952000,134926000,68987000,65939000,7335000,113159000,60442000,255420000,1208945000,283441000,25869000,130916000,1492386000,1747806000,222504000,-1265888000,1004744000,-5214000,-43854000,-43854000,1703952000,55463000,11402000,-26504000,-34597000,5764000,-7233000,-7233000,-6229000,153000,-7745000,-14825000,-12791000,-52837000,1235000,-54072000,297933000,288872000,288872000,-684000,288188000,58184000,1216280000,-8710000,0.21442,0.25421,-1.26472,0.03255,-0.15704,2.08002,-39.85511,0.7138,1.00217,0.99616,3.94223,-0.7924,-0.15738,0.23112,0.04688,-0.00598,0.23062,15.37065,19.11688
"42","2020_Q3",88.91765625,"Up",151733000,-142618000,-133244000,-6398000,9115000,-14323000,-10837000,-13082000,2245000,-5208000,-2878000,437000,-2440999.99999999,-2441000,-2441000,-2441000,314139000,314139000,178976000,149062000,31364000,22455000,524479000,350459000,13451000,797652000,291198000,159196000,49878000,224451000,1161562000,1686041000,117072000,57814000,59258000,7157000,94508000,49983000,218737000,1232136000,277920000,29590000,124178000,1510056000,1728793000,224670000,-1264527000,1002132000,-5027000,-42752000,-42752000,1686041000,-2441000,11110000,1373000,-14354000,-4312000,-14691000,-14691000,-14865000,-184000,167000.000000001,-14708000,-12437000,1069000,1533000,-463999.999999993,11010000,-8010000.00000006,-8010000.00000006,195000,-7815000,20225000,1239293000,-9257000,0.06007,-0.01609,0.0570999999999997,-0.00145,3.7923,2.39776,-40.43771,0.73503,-0.04434,-0.0441900000000001,2.75603,-0.77653,-0.16814,0.2259,0.00677999999999999,-0.00628000000000002,-5.09504,45.74309,101.49797
"43","2020_Q4",95.945625,"Up",210771000,-155782000,-145588000,-6382000,54989000,-12678000,-10947000,-12691000,1744000,42311000,24094000,-9594000,14500000,14500000,14500000,14500000,191967000,191967000,200983000,175375000,22620000,18150000,415570000,3.39e+08,13411000,802165000,290913000,159196000,54240000,225245000,1154576000,1570146000,147890000,80191000,67699000,6977000,97553000,51487000,252420000,1058309000,280821000,31039000,127497000,1339130000,1591550000,229472000,-1262724000,1016635000,-4787000,-21404000,-21404000,1570146000,14500000,11791000,18787000,23150000,68228000,-11464000,-10252000,-11082000,149000,10312000,-1003000,-46000,3225000,3847000,-622000,-189619000,-122394000,-122394000,222000,-122172000,66780000,1065286000,88060000,0.26089,0.0688,-0.67744,0.00923,6.0731,1.64634,-74.3576,0.67846,0.26314,0.2617,3.82504,-0.38844,1.5981,0.00083,0.01098,0.06648,0.00317,13.07755,15.8817
"44","2021_Q1",105.12131147541,"Up",193393000,-167861000,-158095000,-6522000,25532000,-18581000,-10464000,-11875000,1411000,6951000.00000001,1391000,6474000,7865000,7865000,7865000,7865000,234779000,234779000,173969000,149921000,24166000,19698025.3030974,432914000,334901000,29104000,790414000,303725000,159196000,67745000,201869000,1154419000,1587333000,162249000,83329000,78920000,45401531.8061103,93598000,50290000,255847000,1058738000,278500000,33756000,122338000,1337238000,1593085000,234872000,-1260478000,1024500000,-4646000,-5752000,-5752000,1587333000,7865000,14153000,-13929000,32292000,40381000,-1574000,-1427000,-1427000,-202000,7833000,6057000,0,3296000,3588000,-292000,-3926000,42512000,42512000,267000,42779000,39685000,1058738000,63929000,0.13202,0.04067,-1.36735,0.00495,8.12829,1.69208,-276.96193,0.66699,0.14248,0.14096,3.50356,-0.1042,1.15816,2.60208521396521e-18,0.00591,0.04801,-7.83227649403528e-16,20.76248,32.27162
"45","2021_Q2",114.765714285714,"Up",182947000,-138949000,-128440000,-6362000,43998000,-16493000,-10496000,-11777000,1281000,27505000,28710000,-6373000,22337000,22337000,22337000,22337000,222961000,222961000,195040000,156754000,27143000,24352000,445144000,336508000,28558000,773928000,306868000,159196000,69094000,185767000,1138994000,1584138000,136667000,70980000,65687000,111365915.557299,107133000,52701000,243800000,1059169000,261934000,33114000,114541000,1321103000,1564903000,238489000,-1261494000,1046834000,-4594000,19235000,19235000,1584138000,22337000,12177000,3860000,-38254000,120000,-10249000,-9364000,-9364000,1441000,-905000,-9713000,-5067401.7694383,-2201000,2845000,-5046000,-2201000,-11794000,-11794000,-24000,-11818000,56175000,1059169000,14045000,0.2405,0.1221,1.16127,0.0141,0.62878,1.82586,81.35706,0.66861,0.40419,0.4013,3.31048,0.34806,0.25415,0.0915502547850489,0.01667,0.01048,-0.768304663383959,14.88577,19.00559
"46","2021_Q3",118.2215625,"Up",278344000,-159320000,-147755000,-6232000,119024000,-9278000,-10457000,-11691000,1234000,109746000,111854000,-25972000,85882000,85882000,85882000,85882000,307975000,307975000,271925000,201038000,27640000,27294000,607540000,342121000,31484000,747649000,307559000,159196000,71161000,166940000,1121254000,1728794000,193567000,90407000,103160000,177445841.529838,122408000,63394000,315975000,1059602000,248284000,36010000,98882000,1307886000,1623861000,247555000,-1258295000,1120196000,-4523000,104933000,104933000,1728794000,85882000,12493000,-2240000,6152000,102287000,-16120000,-14029000,-14029000,-378000,-6742000,-23240000,-9872792.37897397,5954000,6270000,-316000,5954000.00000001,85001000,85001000,13000,85014000,131517000,1059602000,147521000,0.42761,0.30855,0.81845,0.04968,1.71772,1.92275,15.4752199999999,0.61291,1.55406,1.54295,5.03672,1.89879,2.66944,0.178101473767002,0.06079,0.10442,-0.424970104547021,5.71506,6.31492
"47","2021_Q4",142.1928125,"Up",323369000,-164263000,-35110000,-5883000,159106000,-7110000,-10436000,-11638000,1202000,151996000,151589000,-34934000,116655000,116655000,116655000,116655000,415116000,415116000,269333000,197999000,26520000,24534440.4849558,710969000,351768000,31285000,771912000,306008000,159196000,101922000,161825000,1154965000,1865934000,217229000,88056000,129173000,216217000,157148000,80607000,590594000,843820000,219374000,35958000,77006000,1063194000,1653788000,254312000,-1261926000,1224340000,-4580000,212146000,212146000,1865934000,116655000,12171000,-32978000,46989000,142837000,-22842000,-19014000.4860608,-18987700.9241428,145000,3081000,-19616000,-12528000,-2975000,1702000,-4677000,-15868000,107353000,107353000,11000,107364000,171277000,1060037000,230358000,0.49203,0.36075,0.54988,0.06252,1.97469,1.20382,7.79552,0.5681,2.10466,2.08666,5.83414,3.82748,4.15606,0.22603,0.08661,0.15444,0.107389999999999,3.76537,4.0534
"48","2022_Q1",142.75,"Up",284638000,-177564000,-279264000,-6296000,107074000,-24694000,-10310000,-11574000,1264000,82380000,84339000,-20256000,64083000,64083000,64083000,64083000,511605000,511605000,207600000,153147000,42456000,12290821.4548674,761661000,377367000,33946000,758850000,312389000,159196000,68643000,190655000,1170163000,1931824000,185641000,81169000,104472000,216351000,168303000,81538000,570295000,844123000,251524000,38690000,107049000,1095647000,1665942000,260268000,-1265032000,1275220000,-4574000,265882000,265882000,1931824000,64083000,13653000,52363000,8353000.00000001,138452000,-22537000,-24397936.6729478,-24381200.5880909,-304000,-3516000,-26357000,-12516000,-3089000,236999.999999999,-3326000,-15605000,96490000,96490000,27334.14131702,96490000,120727000,1060474000,126799000,0.37618,0.22514,0.24102,0.03317,1.97867,1.33556,6.26572,0.54895,1.15617,1.14628,5.13537,4.79698,2.28768,0.22581,0.04855,0.08036,0.19531,4.54636,5.12607
"49","2022_Q2",129.024677419355,"Down",257727000,-158359000,-143974000,-6231000,99368000,-9946000,-10190000,-11470000,1280000,89422000,87735000,-20344000,67391000,67391000,67391000,67391000,527209000,527209000,229797000,175051000,31012000,-13219357.0902653,788018000,394950000,34173000,754887000,311079000,159196000,71795000,184691000,1184010000,1972028000,171091000,89826000,81265000,216486000,175936000,89724000,563513000,844426000,249444000,38893000,102386000,1093870000,1657383000,266336000,-1276348000,1329365000,-4708000,314645000,314645000,1972028000,67391000,13385000,-2105000,-14747000,63924000,-19523000,-26809000,-26809000,-965000,-1979000,-22467000,-13204000,-12591000,2211000,-14802000,-25795000,15662000,15662000,-58000,15604000,112753000,1060912000,98827000,0.38556,0.26148,0.21418,0.03417,1.46647,1.3984,5.26747,0.53798,1.20936,1.19885,4.62503,5.64645,1.7735,0.23695,0.0496,0.06082,0.19593,4.73338,5.37097
"50","2022_Q3",114.18359375,"Down",367974000,-213905000,-197734000,-5479000,154069000,-9664000,-9624000,-11252000,1628000,144405000,142126000,-35958000,106168000,106168000,106168000,106168000,607185000,607185000,257650000,203890000,118774000,-55778595.1504421,983609000,319161000,29821000,744250000,319922000,159196000,74049000,163294000,1093232000,2076841000,207058000,106427000,100631000,216571000,158722000,79767000,582351000,844729000,233036000,34468000,90878000,1077765000,1660116000,275335000,-1276090000,1422291000,-4811000,416725000,416725000,2076841000,106168000,12933000,-116000,-23560000,95425000,-32167000,-23057000,-23057000,-475000,-919000,-1524000,-13249000,-190000,148000,-338000,-13463000,80438000,80438000,-462000,79976000,167002000,1061300000,147233000,0.4187,0.28852,0.25477,0.05112,1.38679,1.68903,3.98372,0.51102,1.91597,1.89403,6.64069,7.52048,2.65706,0.2391,0.06979,0.08605,0.12479,2.71922,2.94748
