"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q2",4.46825396825397,"Up",16750668,-13188109,3562559,-6783278,-6773863,-9415,3518.13194603137,-3220719,-116722,-116880,-116880,158,-3337441,-3337441,27421,-3310020,-3310020,-3310020,-3310020,418071,418071,9850640,9850640,19485556,518966,463694,55272,30273233,11036662,857143,651597,156265,11893805,42167038,7447780,4926041,2521739,263598,7711378,6092249,4868415,4868415,10960664,18672042,13749813,9745183,23494996,23494996,42167038,-3310020,443433,886063,829772,-1150752,-343596,-343596,1736263,-2.91038304567337e-11,1735006,240658,240658,240658,-2777286,6355847,-2318531,0.21268,-0.19227,-0.19761,-0.14088,-0.0785,0.70046,3.92579,0.79472,0.15073,-0.4392,-0.4392,2.22259,3.11747,-0.30764,-0.09534,-0.06678,-2.13798,-1.84362
"35","2019_Q3",3.68921875,"Down",18957175,-13648041,5309134,-5784590,-5775108,-9482,10920.7577657718,-475456,-136729,-129291,-129291,-7438,-612185,-612185,-5240,-617425,-617425,-617425,-617425,310667,310667,11717202,11717202,20243223,483045,433096,49949,32754137,10779540,807302,664576,93445,11586842,44340979,9926792,8230813,1695979,265541,10192333,6024533,5219373,5219373,11243906,21436239,13776982,9127758,22904740,22904740,44340979,-617425,430839,56769,829459,699642,-153411,-153411,284227,-937862,-653635,-107404,-107404,-107404,-44617,6290074,636671,0.28006,-0.02508,-0.03257,-0.02696,-0.01392,-1.03117,3.21361,0.93589,0.14186,-0.08385,-0.08385,2.5746,3.11072,0.08647,-0.01794,0.0185,-134.01634,-12.57615
"36","2019_Q4",3.17796875,"Down",17367068,-12875614,4491454,-5428251,-5418654,-9597,15304.2547026263,-936797,-135638,-135648,-135648,10,-1072435,-1072435,-12859,-1085294,-1085294,-1085294,-1085294,1099612,1099612,9964662,9964662,18812511,473906,437993,35913,30350691,10420001,747727,663966,33754,11167728,41518419,7717311,5853461,1863850,768201,14135512,5456134,70347,70347,5526481,19661993,13814038,8042388,21856426,21856426,41518419,-1085294,419790,56962,1012328,403786,-43533,-43533,434261,-5493,428692,788945,788945,788945,-517006.999999999,6224335,464647,0.25862,-0.05394,-0.06249,-0.04966,-0.02614,-0.42813,2.14712,0.8996,0.14992,-0.14809,-0.14809,2.36974,2.98232,0.0634000000000001,-0.03855,0.01651,-9.91229,-5.47047
"37","2020_Q1",3.08612903225806,"Down",18249535,-13307935,4941600,-5470329,-5466735,-10104,6510.00000000001,-528729,-124336,-139323,-139323,14987,-653065,-653065,-3517,-656582,-656582,-656582,-656582,537330,537330,10347597,10347597,18095627,399444,304713,69727,29379998,10010223,716713,659280,32430,10726936,40106934,7238072,5459352,1778720,738955,13627027,5169668,71339,71339,5241007,18868034,13853334,7385566,21238900,21238900,40106934,-656582,426500,43194,-49585,-236473,-9857,-9857,-315712,0,-315952,-562282,-562282,-562282,-102229,5908623,-158154,0.27078,-0.02897,-0.03598,-0.03091,-0.01637,0.24087,2.15601,0.88837,0.14732,-0.08969,-0.08969,2.49305,2.90142,-0.02161,-0.02412,-0.00581,-52.54177,-10.15888
"38","2020_Q2",2.53349206349206,"Down",12887396,-10483256,2404140,-4851673,-4824124,-9991,-17558,-2447533,-139322,-136687,-136687,-2635,-2586855,-2586855,-5033,-2591888,-2591888,-2591888,-2591888,693740,693740,6799168,6799168,17180139,426120,374770,26346,25099167,9697323,1868511,670349,1173159,11565834,36665001,5767400,4617070,1150330,500357,11917757,5088807,977069,977069,6065876,17983633,13894244,4787124,18681368,18681368,36665001,-2591888,392978,22300,2720241,543631,-67762,-67762,-319459,-77512.5647869314,-319459,156410,156410,156410,-2054555,5589164,602957,0.18655,-0.18992,-0.20112,-0.13874,-0.07069,-0.23263,2.10603,0.96265,0.15244,-0.35398,-0.35398,1.76005,2.55133,0.08235,-0.10266,0.02388,-2.38272000000001,-2.00015
"39","2020_Q3",2.49484375,"Down",14863428,-10866678,3996750,-5557150,-5549501,-10176,2527,-1560400,-123730,-124786,-124786,1056,-1684130,-1684130,-5051,-1689181,-1689181,-1689181,-1689181,4294809,4294809,7756215,7756215,17037152,354581,231458,73116,29442757,9343134,2185003,661923,1523080,11528137,40970894,6385308,4963670,1421638,1941971,14327279,5010791,4613960,4613960,9624751,23952030,13920921,3097943,17018864,17018864,40970894,-1689181,382365,495170,-548219,-1359865,-36542,-36542,5058657,-61181,4997476,3601069,3601069,3601069,-1178035,6952762,-1757745,0.2689,-0.10498,-0.11365,-0.09925,-0.04123,1.04059,2.05501,1.40738,0.1697,-0.22884,-0.22884,2.01358,2.30558,-0.23813,-0.05909,-0.06149,-2.25626,-1.70338
"40","2020_Q4",2.95109375,"Up",13639169,-10167008,3472161,-4763838,-4768063,-10806,15031,-1291677,-137161,-135725,-135725,-1436,-1428838,-1428838,-4992,-1433830,-1433830,-1433830,-1433830,998662,998662,6799541,6799541,17129461,370258,259173,60467,25297922,9064679,2550485,664561,1885924,11615164,36913086,4813007,3421487,1391520,2778021,7591028,7444597,6251822,6251822,13696419,21287447,13961526,1664113,15625639,15625639,36913086,-1433830,307466,26219.0000000001,-519475,-1619620,-26486,-26486,-1497682,-152359,-1650041,-3296147,-3296147,-3296147,-984211,10222618,-1525180,0.25457,-0.0947,-0.10513,-0.09176,-0.03884,1.06371,3.33261,1.36234,0.27694,-0.19482,-0.19482,1.85316,2.12307,-0.20723,-0.04467,-0.04751,-9.37193,-7.14107
"41","2021_Q1",3.59114754098361,"Up",13887407,-9674080,4213327,-4446781,-4103814,-11033,-331934,-233454,-169906,-172614,-156192.230387215,2708,-403360,-403360,-2965,-406325,-406325,-406325,-406325,140839,140839,7561334,7561334,17099767,520664,472516,23145,25322604,8811863,2423345,665731,1757614,11235208,36557812,4338636,2861343,1477293,1927513,6266149,13208113,1823632,1823632,15031745,21297894,14002130,1257788,15259918,15259918,36557812,-406325,344258,34146,-1089362,-1117283,-37668,-37668,335487,-38359,297128,-857823,-857823,-857823,110804,15135626,-1013261,0.30339,-0.01681,-0.02926,-0.02663,-0.01111,2.49372,4.04117,1.39568,0.41402,-0.05525,-0.05525,1.88827,2.07489,-0.13777,-0.01261,-0.03145,135.32713,-64.23016
"42","2021_Q2",3.48857142857143,"Down",11876573,-9567183,2309390,-4311851,-4307924,-10894,6967,-2002461,-171355,-173983,-173983,2627.99999999988,-2173816,-2173816,32336,-2141480,-2141480,-2141480,-2141480,451960,451960,6263921,6263921,17380161,391042,369268,21773.9999999999,24487084,8579203,2298398,669991,1628407,10877601,35364685,5750551,4136965,1613586,3612456,9363007,11390444,1452191,1452191,12842635,22205642,14042735,-883692,13159043,13159043,35364685,-2141480,324261,36248,2306417,525446,-56599,-56599,-132726,-25000,-157726,311121,311121,311121,-1678200,15002900,539282,0.19445,-0.16861,-0.18031,-0.16274,-0.06055,-0.251830000000001,2.6153,1.68748,0.42423,-0.29125,-0.29125,1.61525,1.78967,0.07334,-0.07231,0.01821,-8.67056,-7.26653
"43","2021_Q3",3.8203125,"Up",15741114,-10921898,4819216,-4607570,-4589592,-11011,-6967,211646,3180129,-180980,-180980,3361109,3391775,3391775,-6616,3385159,3385159,3385159,3385159,360948,360948,8636744,8636744,16832611,3832363,365350,3467013,29662666,8367666,2446458,658466,1787992,10814124,40476790,6209626,4398748,1810878,5273512,11483138,10629091,1718597,1718597,12347688,23830826,14144497,2501467,16645964,16645964,40476790,3385159,316673,113902,-4733113,-917379,-48336,-48336,899703,-25000,874703,-91012,-91012,-91012,528319,15902603,-4246514,0.30615,0.01345,0.21505,0.20336,0.08363,-1.25445,2.58315,1.43163,0.39288,0.46039,0.46039,2.14084,2.2639,-0.57754,0.09879,-0.12392,29.41718,73.43231
"44","2021_Q4",4.40484375,"Up",15634760,-11544514,4090246,-4547128,-4530563,-11756,-4809,-456882,791694,-175122,-172562.495849211,966816,334812.000000001,5376535,-3768,5372767,5372767,5372767,5372767,121213,121213,9111279,9111279,15735456,3963489,317181,3646308,28931437,8155200,2337310,654185,1683125,10492510,39423947,5162680,3649073,1513607,321583,5484263,10240882,1604984,1604984,11845866,17330129,14219584,7874234,22093818,22093818,39423947,5372767,273469,-4900101,-564301,181834,-46164,-46164,-358738,-16667,-375405,-239735,-239735,-239735,-183413,10562465,-790110,0.26161,-0.02922,0.34364,0.24318,0.13628,-0.147059999999991,5.27536,0.78439,0.26792,0.73071,0.73071,2.12637,3.00482,-0.10746,0.15682,-0.02306,-56.92755,-22.85328
"45","2022_Q1",4.61322580645161,"Up",15883847,-10828620,5055227,-4780853,-4811073,-11850,42070,274374,4763473,-160299,-159928.206449498,4923772,5037847,-3876,-2054,-5930,-5930,-5930,-5930,132249,132249,8376000,8376000,16303808,2753806,549350,2204456,27565863,7912851,2437816,646860,1790956,10350667,37916530,5842772,4275880,1553771,324840,6167612,7994519,1548446,1548446,9542965,15710577,14337649,7868304,22205953,22205953,37916530,-5930,292303,145283,1895031,2326687,-41768,-41768,-2248883,-25000,-2273883,11036,11036,11036,566677,8319359,2421994,0.31826,0.01727,-0.00037,-0.00027,-0.00016,-408.43069,4.46945,0.70749,0.21941,-8e-04,-8e-04,2.14183,2.99433,0.32659,-0.00018,0.07551,14.44758,29.83923
"46","2022_Q2",3.84112903225806,"Down",14440295,-10394443,4045852,-4799252,-4780199,-12095,-6958,-753400,-169644.999999999,-158260,-158260,-11384.9999999991,-923045,-923045,-12748,-935793,-935793,-935793,-935793,138004,138004,8392225,8392225,17906903,2655650,471902,2183748,29092782,7790237,2219981,642771,1577210,10010218,39103000,6504617,4811144,1693473,328130,6832747,9976129,1004161,1004161,10980290,17813037,14357452,6932511,21289963,21289963,39103000,-935793,285954,132119.000000001,-1346767,-1864487,-81292,-81292,1976534,-25000,1951534,5755,5755,5755,-467446,10304259,-1882757,0.28018,-0.05217,-0.0648,-0.04395,-0.02393,2.01193999999998,4.25785,0.83669,0.26352,-0.12619,-0.12619,1.94718,2.87081,-0.25388,-0.02871,-0.05776,-21.74851,-13.49383
"47","2022_Q3",3.64796875,"Down",17200578,-12167132,5033446,-5040913,-5036331,-11540,6958,-7467,-225718,-182531,-182531,-43187,-233185,-233185,5194,-227991,-227991,-227991,-227991,239034,239034,10551849,10551849,18645991,2631760,448951,2182809,32068634,7647300,2063129,634894,1428235,9710429,41779063,8098386,6251534,1846852,331381,8429767,11406218,767894,767894,12174112,20603879,14470664,6704520,21175184,21175184,41779063,-227991,283303,155475,-1374304,-1163517,-30690,-30690,1424873,-129636,1295237,101030,101030,101030,275836,11737599,-1134352,0.29263,-0.00043,-0.01325,-0.01077,-0.00546,4.97542,3.80421,0.97302,0.28094,-0.03035,-0.03035,2.28999,2.81915,-0.15102,-0.00677,-0.03368,41.68624,-1539.91764
