"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q2",11.3677777777778,"Down",12003000,-9930000,2073000,-1927000,-1927000,146000,-27000,-27000,119000,119000,-21000,98000,98000,98000,98000,2152000,2152000,10874000,10874000,15665000,989000,658000,29680000,12243000,728000,433000,12971000,42651000,6374000,3427000,2938000,723000,7097000,2229000,1223000,1223000,3452000,10549000,14787000,-1606000,18886000,35000,32102000,32102000,42651000,98000,274000,68000,65000,505000,-642000,-642000,-136000,-128000,-309000,-446000,-446000,-446000,420000,2952000,-136000,0.17271,0.01216,0.00816,0.00305,0.0023,-1.38776,4.18205,0.32861,0.06921,0.0421,0.04116,5.15593,13.78952,-0.05842,0.0027,-0.00375,1.90476,5.47945
"36","2019_Q3",10.0521875,"Down",14067000,-10798000,3269000,-2375000,-2375000,894000,-30000,-30000,864000,864000,-150000,714000,714000,714000,714000,1849000,1849000,10969000,10969000,16934000,747000,537000,30499000,12664000,785000,490000,13449000,43948000,6850000,3693000,2736000,844000,7694000,2529000,1248000,1248000,3777000,11471000,14821000,-1566000,19187000,35000,32477000,32477000,43948000,714000,289000,59000,-929000,133000,-498000,-623000,-138000,-21000,187000,-303000,-303000,-303000,1183000,3373000,-94000.0000000001,0.23239,0.06355,0.05076,0.02198,0.01625,-0.13165,3.964,0.3532,0.07675,0.30829,0.29962,6.07383,14.02288,-0.04059,0.01925,-0.00253,1.28825,1.7047
"37","2019_Q4",10.31203125,"Up",12362000,-8827000,3535000,-2134000,-2134000,1401000,-31000,-31000,1370000,1370000,-238000,1132000,1132000,1132000,1132000,1158000,1158000,10949000,10949000,19879000,387000,387000,32373000,12547000,781000,486000,13328000,45701000,6551000,3337000,3182000,844000,7395000,3346000,1273000,1273000,4619000,12014000,14849000,-1516000,20319000,35000,33687000,33687000,45701000,1132000,339000,76000,-2430000,-883000,-426000,-426000,863000,-8000,618000,-691000,-691000,-691000,1740000,4190000,-878000,0.28596,0.11333,0.09157,0.0336,0.02477,-0.77562,4.37769,0.35664,0.09168,0.48563,0.47463,5.3033,14.45174,-0.37666,0.03923,-0.02243,1.74253,2.16417
"38","2020_Q1",9.38870967741935,"Down",16840000,-13591000,3249000,-2447000,-2447000,802000,-37000,-37000,765000,765000,-262000,503000,503000,503000,503000,2029000,2029000,13183000,13183000,20151000,938000,522000,36301000,12717000,452000,345000,13169000,49470000,7793000,4458000,3318000,849000,8642000,5170000,1666000,1666000,6836000,15478000,14881000,-1471000,21703000,-1121000,33992000,33992000,49470000,503000,366000,499000,-1743000,-375000,-705000,-580000,1863000,0,1826000,871000,871000,871000,1168000,6019000,-1018000,0.19293,0.04762,0.02987,0.0148,0.01017,-2.02386,4.20053,0.45534,0.12167,0.2145,0.21002,7.18124,14.49552,-0.43412,0.01219,-0.02443,3.4161,4.97506
"39","2020_Q2",7.50698412698413,"Down",15448000,-10736000,4712000,-2268000,-2268000,2444000,-42000,-42000,2402000,2402000,-504000,1898000,1898000,1898000,1898000,1735000,1735000,13034000,13034000,23459000,652000,609000,38880000,12779000,449000,342000,13228000,52108000,7908000,4530000,3361000,849000,8757000,5711000,1765000,1765000,7476000,16233000,14914000,-1519000,22382000,98000,35875000,35875000,52108000,1898000,354000,229000,-2803000,-322000,-413000,-413000,614000,-1e+05,441000,-294000,-294000,-294000,2798000,6560000,86000,0.30502,0.15821,0.12286,0.05291,0.03642,0.04531,4.43988,0.45249,0.12589,0.80322,0.79414,6.53745,15.18197,0.03639,0.04294,0.00195,1.72445,1.97422
"40","2020_Q3",8.2234375,"Up",13504000,-10484000,3020000,-1748000,-1748000,1272000,-50000,-50000,1222000,1222000,-257000,965000,965000,965000,965000,7140000,7140000,10259000,10259000,25095000,642000,642000,43136000,12599000,445000,338000,13044000,56180000,7040000,3743000,3114000,849000,7889000,9500000,1864000,1864000,11364000,19253000,14953000,-1471000,23347000,97999.9999999998,36927000,36927000,56180000,965000,364000,-106000,575000,1798000,-180000,-180000,-286000,0,3787000,5405000,5405000,5405000,1636000,10349000,2288000,0.22364,0.09419,0.07146,0.02613,0.01718,2.37098,5.46787,0.52138,0.18421,0.40803,0.4041,5.70994,15.61395,0.96744,0.01964,0.04656,1.96149,2.5228
"41","2020_Q4",7.94359375,"Down",10297000,-10462000,-165000,-2096000,-2096000,-2261000,-42000,-42000,-2303000,-2303000,521000,-1782000,-1782000,-1782000,-1782000,7468000,7468000,6769000,6769000,25153000,1438000,670000,40828000,12360000,444000,337000,12804000,53632000,6302000,3245000,3041000,849000,7151000,9290000,1963000,1963000,11253000,18404000,14982000,-1417000,21565000,98000,35228000,35228000,53632000,-1782000,354000,221000,1857000,650000,-115000,-115000,-208000,0,-208000,327000,327000,327000,-1907000,10139000,-686000,-0.01602,-0.21958,-0.17306,-0.05058,-0.03323,0.38496,5.70941,0.52243,0.18905,-0.75959,-0.74312,4.38917,15.0162,-0.29241,-0.03765,-0.01449,-1.40063,-1.18134
"42","2021_Q1",8.79950819672131,"Up",10595000,-9922000,673000,-1886000,-1886000,-1213000,-46000,-46000,-1259000,-1259000,278000,-981000,-981000,-981000,-981000,5935000,5935000,7636000,7636000,23406000,866000,383000,37843000,12017000,468000,331000,12485000,50328000,4134000,1599000,2523000,2635000,6769000,7293000,2170000,2170000,9463000,16232000,15004000,-1355000,21803000,-1356000,34096000,34096000,50328000,-981000,370000,-185000,-504000,-1300000,-21000,-21000,-211000,0,-211000,-1532000,-1532000,-1532000,-843000,9928000,-1646000,0.06352,-0.11449,-0.09259,-0.02877,-0.01949,1.67788,5.59063,0.47607,0.19727,-0.40807,-0.40756,4.40724,14.18303,-0.68469,-0.02124,-0.03563,-4.73665,-3.29184
"43","2021_Q2",8.07079365079365,"Down",9060000,-8067000,993000,-1973000,-1973000,-980000,-61000,-61000,-1041000,689000,-148000,541000,541000,541000,541000,6838000,6838000,7698000,7698000,22257000,2739000,2396000,39532000,11675000,464000,331000,12139000,51671000,4804000,1757000,3047000,2575000,7379000,7515000,2175000,2175000,9690000,17069000,15015000,-1416000,22344000,-1341000,34602000,34602000,51671000,541000,356000,125000,-186000,836000,-14000,-14000,-222000,-81000,81000,903000,903000,903000,-624000,10090000,-676000,0.1096,-0.10817,0.05971,0.01563,0.01047,-1.24954,5.35737,0.4933,0.19527,0.22504,0.22476,3.76872,14.39351,-0.2812,0.01154,-0.01442,-5.21154,-3.31837
"44","2021_Q3",10.0609375,"Up",10028000,-8156000,1872000,-2209000,-2209000,-337000,-66000,-66000,-403000,1511000,-325000,1186000,1186000,1186000,1186000,9640000,9640000,7899000,7899000,21307000,1941000,1743000,40787000,11320000,456000,327000,11776000,52563000,4685000,1347000,3338000,4936000,9621000,4925000,2188000,2188000,7113000,16734000,15020000,-1396000,23530000,-1325000,35829000,35829000,52563000,1186000,358000,-79000,1565000,3030000,1000,1000.00000000001,-229000,0,-229000,2802000,2802000,2802000,20999.9999999999,9861000,1912000,0.18668,-0.03361,0.11827,0.0331,0.02256,1.61214,4.23937,0.46705,0.1876,0.49582,0.4911,4.19231,14.97868,0.79933,0.02477,0.03993,10.52381,-0.65579
"45","2021_Q4",12.15171875,"Up",10915000,-9143000,1772000,-2721000,-2721000,-949000,-5000,-5000,-954000,3134000,104000,3238000,3238000,3238000,3238000,11826000,11826000,8151000,8151000,20620000,2119000,1654000,42716000,11048000,449000,324000,11497000,54213000,7279000,1568000,5711000,801000,8080000,4829000,2197000,2197000,7026000,15106000,15021000,-1372000,26768000,-1310000,39107000,39107000,54213000,3238000,329000,-4028000,2933000,2472000,-55000,-55000,-231000,-1.45519152283669e-11,-231000,2186000,2186000,2186000,-620000,5630000,2154000,0.16235,-0.08694,0.29666,0.0828,0.05973,0.66523,5.28663,0.38627,0.10385,1.35029,1.34301,4.55171,16.30817,0.89825,0.06899,0.04589,9.99355,6.52898
"46","2022_Q1",14.0712903225806,"Up",10555000,-9204000,1351000,-2520000,-2520000,-1169000,-55000,-55000,-1224000,-1322000,412000,-910000,-910000,-910000,-910000,9546000,9546000,7198000,7198000,20132000,1439000,647000,38315000,10557000,1221000,321000,11778000,50093000,3836000,663000,3173000,276000,4248000,4750000,5471000,5471000,10221000,14469000,15023000,-1349000,25858000,-3908000,35624000,35624000,50093000,-910000,325000,45000,-1207000,-1747000,71000,71000,-604000,0,-604000,-2280000,-2280000,-2280000,-844000,5026000,-2392000,0.128,-0.11075,-0.08622,-0.02554,-0.01817,2.62857,9.01954,0.40616,0.10033,-0.38462,-0.37964,4.46112,15.05664,-1.01099,-0.01973,-0.05186,5.35545,3.86655
"47","2022_Q2",11.2125806451613,"Down",11168000,-8530000,2638000,-2182000,-2182000,456000,-70000,-70000,386000,412000,-87000,325000,325000,325000,325000,8855000,8855000,9304000,9304000,20186000,2024000,1431000,40369000,10349000,1210000,318000,11559000,51928000,5366000,2332000,3034000,402000,5768000,4690000,5474000,-258000,10164000,15932000,15025000,-1326000,26183000,-3886000,35996000,35996000,51928000,325000,313000,232000,-1414000,-544000,-77000,-77000,-70000,108409.327003546,-70000,-691000,-691000,-691000,769000,5092000,-635000,0.23621,0.04083,0.0291,0.00903,0.00626,-1.95385,6.99879,0.4426,0.09806,0.13485,0.1343,4.63402,14.9361,-0.26349,0.00698,-0.01364,-4.89337,-8.25219
"48","2022_Q3",11.1428125,"Down",11230000,-10062000,1168000,-2071000,-2071000,-903000,-74000,-74000,-977000,-977000,167000,-810000,-810000,-810000,-810000,5108000,5108000,10139000,10139000,18940000,1280000,1168000,35467000,10355000,1200000,316000,11555000,47022000,5528000,2717000,2811000,255000,5919000,381000,5472000,5472000,5853000,11772000,15032000,-1291000,25373000,-3864000,35250000,35250000,47022000,-810000,309000,-270000,1657000,886000,-313000,-313000,-4320000,406227.981010638,-4320000,-3747000,-3747000,-3747000,-594000,636000,583000,0.10401,-0.08041,-0.07213,-0.02298,-0.01723,-0.719750000000001,5.99206,0.33396,0.01353,-0.3361,-0.33471,4.65975,14.62656,0.24191,-0.01959,0.0141,7.52862,4.95238
