"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","impairment_of_goodwill_intangibles","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",13.4987301587302,"Up",1852200000,1844600000,-848200000,1.004e+09,-617400000,-409100000,-1.25e+08,-83300000,386600000,-89300000,-92800000,3500000,297300000,-3e+05,-3e+05,2.97e+08,-104500000,192500000,275300000,268400000,268400000,4.2e+07,4.2e+07,1.152e+09,1.152e+09,318900000,722600000,187300000,258100000,2235500000,16283400000,25970100000,-9686700000,208700000,6171300000,3666200000,447900000,1795300000,22663400000,24898900000,1483900000,563900000,287100000,163800000,469100000,776700000,497800000,472300000,2758400000,7957900000,6712900000,653700000,3820200000,2.239e+09,14670800000,17429200000,5051600000,3200000,5048400000,-7.9e+07,1597500000,-46600000,6523500000,7469700000,24898900000,275300000,1.25e+08,24900000,89900000,-82300000,2.3e+07,-101400000,604400000,-2.42e+08,-243500000,508100000,111200000,-82200000,-1270900000,-8e+06,-8e+06,-14100000,5900000,-698800000,16800000,-652900000,-652900000,511600000,8734600000,397100000,0.54206,0.20872,0.14491,0.03593,0.01078,1.47951,0.81043,2.33332,0.3508,0.84779,0.84565,5.85052,20.60571,1.25432,0.25964,0.0153,0.01733,0.30626,16.99101,22.48474
"22","2015_Q3",13.4771875,"Down",884600000,880100000,-2.5e+08,634600000,-550400000,-356700000,-133500000,-60200000,84200000,-95900000,-98200000,2300000,-11700000,-9.7e+07,2e+05,-108700000,35600000,-73100000,-27700000,-36400000,-36400000,496600000,496600000,672700000,672700000,468100000,694800000,133200000,257800000,2332200000,16908300000,26627100000,-9718800000,200700000,6165700000,3666200000,452300000,1788800000,23274700000,25606900000,1322200000,429200000,221500000,141600000,529900000,604400000,597700000,576100000,2524300000,8881100000,6745600000,633900000,3838700000,2.273e+09,15626700000,1.8151e+10,5068300000,3200000,5065100000,-79100000,1561100000,-44400000,6505900000,7455900000,25606900000,-27699999.9999999,133500000,32200000,-39100000,59000000.0000001,233100000,92399999.9999999,511100000,-311200000,-311200000,3279600000,2693300000,-82500000,-2020500000,-1848300000,-1848300000,6300000,6500000,-2.75e+09,454400000,1149300000,1149300000,217700000,9485500000,1.04e+08,0.71739,0.09518,-0.04115,-0.00488,-0.00142,-2.85714,0.9239,2.43445,0.37043,-0.11465,-0.11465,2.78614,20.49102,0.32756,0.25984,0.00195,0.00439,-2.26648,41.29031,106.75653
"23","2015_Q4",15.286875,"Up",817200000,809400000,-209100000,608100000,-497300000,-311100000,-132500000,-53700000,110800000,-89100000,-94900000,5800000,21700000,-1100000,-1100000,20600000,-5800000,14800000,-4900000,-4900000,-4900000,31700000.0000001,31700000.0000001,500500000,500500000,564200000,534300000,75900000,231300000,1630700000,11690700000,18502200000,-6811500000,195800000,3538700000,1690700000,6700000,1584900000,15425200000,17055900000,932600000,349200000,1.37e+08,126800000,319600000,549800000,590900000,581600000,2073300000,6133500000,5048800000,665200000,2529300000,1854300000,11182300000,13255600000,5081800000,3200000,5078600000,-79200000,-1182700000,-19600000,3800300000,3800300000,17055900000,-4900000,132500000,40700000,9300000,22400000,-81300000,31200000,78400000,-365900000,-368700000,-32400000,-398300000,-49300000,35700000,-2800000,-2800000,5400000,5500000,-1.45e+08,-464900000,-456300000,-456300000,243300000,6683300000,-198100000,0.74413,0.13558,-0.006,-0.00129,-0.00029,40.42857,0.78652,3.48804,0.39185,-0.0154,-0.01524,2.56908,11.94725,-0.62278,0.15499,0.00286,-0.01275,-10.06122,27.33909,60.03249
"24","2016_Q1",17.1724590163934,"Up",1097800000,1090500000,-336400000,761400000,-541500000,-349200000,-133400000,-58900000,219900000,-88500000,-94300000,5800000,131400000,-399999.999999985,-4e+05,1.31e+08,-66600000,64400000,59400000,59400000,59400000,15500000,15500000,6.6e+08,6.6e+08,536600000,365100000,107500000,257600000,1577200000,12111500000,18964900000,-6853400000,187700000,3616100000,1690700000,6900000,1664800000,15915300000,17492500000,1071100000,433400000,183500000,1.29e+08,325200000,1001100000,585300000,585300000,2657500000,5948500000,5.043e+09,759700000,2380100000,1880600000,10991500000,1.3649e+10,5081200000,3200000,5.078e+09,-79300000,-1123300000,-35100000,3843500000,3843500000,17492500000,-44100000,133400000,195700000,75200000,108400000,-27900000,6100000,262900000,-441600000,-437300000,-18300000,-456500000,-49400000,227100000,-233100000,-233100000,4500000,4600000,182200000,-11400000,-17100000.0000002,-17100000.0000002,353300000,6949600000,-49600000,0.69357,0.20031,0.05411,0.01545,0.0034,-0.83502,0.59349,3.55119,0.39729,0.18632,0.18391,3.44346,12.05588,-0.15558,0.15495,0.00687,-0.00313,0.83165,19.62666,31.53297
"25","2016_Q2",19.3584375,"Up",1436600000,1431700000,-496500000,940100000,-558800000,-354700000,-132800000,-71300000,381300000,-89800000,-90500000,7e+05,291500000,1e+05,1e+05,291600000,-1.05e+08,186600000,186600000,186600000,186600000,23700000,23700000,647900000,647900000,318400000,405400000,133500000,271900000,1395400000,12267200000,19224500000,-6957300000,194800000,3.614e+09,1690700000,6700000,1665700000,1.6076e+10,17471400000,954300000,392700000,203100000,121900000,236600000,1109100000,432500000,4.27e+08,2495900000,5905500000,5197700000,754100000,2441300000,1866900000,11103200000,13599100000,5105700000,3200000,5102500000,-86700000,-1042900000,-103800000,3872300000,3872300000,17471400000,186600000,132800000,105100000,95100000,1e+07,-121300000,-121300000,302900000,-3.01e+08,-3.01e+08,-14300000,-315300000,-49600000,73600000,-204300000,-204300000,-3100000,4300000,20600000,8200000,8500000,8500000,514100000,7014600000,196800000,0.65439,0.26542,0.12989,0.04819,0.01068,1.05466,0.55908,3.51189,0.40149,0.58261,0.57868,4.48544,12.09032,0.61446,0.15486,0.01468,0.01224,0.26581,13.59833,18.33438
"26","2016_Q3",20.323125,"Up",897600000,893500000,-234900000,662700000,-524700000,-337600000,-136900000,-50200000,1.38e+08,-92100000,-8.6e+07,-6100000,45900000,2e+05,2e+05,46100000,-17100000,2.9e+07,29100000,29100000,29100000,15700000,15700000,474100000,474100000,414700000,355100000,89800000,265300000,1259600000,12555900000,19596200000,-7040300000,190200000,3611500000,1690700000,6700000,1667700000,16357600000,17617200000,917100000,371200000,140900000,174400000,230600000,1412600000,366500000,366500000,2696200000,5857200000,5253200000,746100000,2427400000,1858600000,11110400000,13806600000,5121500000,3200000,5118300000,-87200000,-1067400000,-156300000,3810600000,3810600000,17617200000,28900000,136900000,30400000,2.2e+07,8400000,-11600000,-11600000,184200000,-371500000,-371500000,-30300000,-399700000,-49700000,2.52e+08,-3400000.00000003,-3400000,5200000,5700000,207500000,-8e+06,-7600000,-7600000,274900000,7269800000,-91100000,0.7383,0.15374,0.03242,0.00764,0.00165,-3.13058,0.46718,3.62321,0.41265,0.09045,0.09004,2.78996,11.84428,-0.28316,0.15448,0.00482,-0.00558,1.7079,26.38814,52.56594
"27","2016_Q4",18.19,"Down",861300000,857800000,-218200000,643100000,-529500000,-336600000,-136300000,-56600000,113600000,-81500000,-8.5e+07,3500000,32100000,1e+05,1e+05,32200000,-8500000,23700000,2.7e+07,2.7e+07,2.7e+07,16100000,16100000,4.71e+08,4.71e+08,533700000,357700000,64100000,293600000,1378500000,12853800000,1.9874e+10,-7020200000,200500000,3634400000,1690700000,6500000,1691800000,16688700000,18067200000,8.69e+08,352200000,130900000,124200000,261700000,1641600000,4.01e+08,4.01e+08,2911600000,6096200000,5247800000,738200000,2.398e+09,1847100000,1.1344e+10,14255600000,5138900000,3300000,5135600000,-87400000,-1060900000,-1.79e+08,3811600000,3811600000,18067200000,27200000,136300000,26700000,20600000,6100000,-145200000,-145200000,44900000,-410900000,-410900000,-32700000,-453200000,-5.3e+07,455100000,496800000,-3200000,6600000,6800000,408700000,4e+05,5e+05,5e+05,249900000,7737800000,-297700000,0.74666,0.13189,0.03135,0.00708,0.00149,-11.02593,0.47345,3.74006,0.42828,0.08377,0.08335,2.67221,11.82559,-0.92362,0.16443,0.00476,-0.01772,1.96296,30.89916,67.97271
"28","2017_Q1",18.8372580645161,"Up",1.297e+09,1209500000,-440600000,856400000,-624200000,-416900000,-141100000,-66200000,232200000,-89100000,-8.8e+07,-1100000,143100000,599999.999999999,6e+05,143700000,-51500000,92200000,88800000,88800000,88800000,26400000,26400000,8.47e+08,8.47e+08,494400000,394300000,130600000,263700000,1762100000,1.3068e+10,19681700000,-6613700000,193300000,3668500000,1690700000,6600000,1728500000,16929800000,18691900000,1166100000,539400000,195400000,120300000,3.11e+08,1851100000,4.35e+08,418200000,3452200000,6058200000,5110300000,713400000,2541400000,1.811e+09,11168500000,14620700000,5157200000,3300000,5153900000,-88700000,-972200000,-25100000,4071200000,4071200000,18691900000,88800000,141100000,55400000,44600000,-35700000,-14800000.0000001,25500000,271300000,-391800000,-391800000,-45200000,-434800000,-53200000,205300000,-223700000,-223700000,5e+06,6300000,153700000,-9800000,-10600000,-10600000,373300000,7909300000,18200000,0.66029,0.17903,0.06847,0.02181,0.00475,0.20495,0.51043,3.59125,0.42314,0.27501,0.27364,4.01677,12.60839,0.05636,0.16476,0.00831,0.00106,0.5991,21.1168,33.94875
"29","2017_Q2",20.6934920634921,"Up",1598600000,1542500000,-552300000,1046300000,-630900000,-411600000,-143300000,-7.6e+07,415400000,-82900000,-85200000,2300000,332500000,0,0,332500000,-121200000,211300000,211300000,211300000,211300000,28400000,28400000,813800000,813800000,275500000,353500000,139100000,214400000,1471200000,13288900000,19990400000,-6701500000,194100000,3681700000,1690700000,6500000,1744600000,17164700000,18635900000,1008900000,461600000,216600000,124200000,206500000,2323500000,331700000,331700000,3664100000,5590700000,5.19e+09,7e+08,2657400000,1779700000,10780700000,14444800000,5.178e+09,3300000,5174700000,-93100000,-874200000,-19600000,4191100000,4191100000,18635900000,211300000,143300000,120400000,109400000,1.1e+07,-63900000,-63900000,411100000,-3.12e+08,-3.12e+08,-3.1e+07,-3.43e+08,-56500000,-10400000,-36600000,-36600000,2e+06,6400000,-64900000,3200000,3200000,3200000,558700000,7914200000,3.04e+08,0.65451,0.25985,0.13218,0.05042,0.01134,1.43871,0.40152,3.44654,0.42467,0.6528,0.64954,4.93881,12.94824,0.9392,0.17455,0.01548,0.01758,0.26739,14.11455,18.98363
"30","2017_Q3",21.9833333333333,"Up",990700000,960100000,-276800000,713900000,-5.9e+08,-391600000,-142200000,-56200000,123900000,-83500000,-87700000,4200000,40400000,-111400000,1e+05,-7.1e+07,26600000,-44400000,-44400000,-44399999.9999999,-44400000,17900000,17900000,545200000,545200000,393200000,324500000,91300000,233200000,1280800000,13669300000,2.0503e+10,-6833700000,195100000,3677500000,1690700000,6e+06,1743600000,17541900000,18822700000,1034200000,451100000,152200000,161900000,2.69e+08,1462500000,281600000,281600000,2778300000,6777400000,5144200000,688100000,2629900000,1767700000,11921600000,14699900000,5228600000,3300000,5225300000,-94600000,-975600000,-35600000,4122800000,4122800000,18822700000,-44400000,142200000,101900000,-2.1e+07,122900000,40600000,40600000,240300000,-420200000,-420200000,-23700000,-442900000,-56700000,345300000,958200000,-1041800000,38300000,39800000,196200000,-6400000,-6400000,-6400000,266100000,8239900000,-140100000,0.7206,0.12506,-0.04482,-0.01077,-0.00236,3.15541,0.461,3.56551,0.43776,-0.13658,-0.13658,3.04752,12.68226,-0.43097,0.17442,7e-04,-0.008,-1.27703,30.89816,66.35997
"31","2017_Q4",22.3371428571429,"Up",9.17e+08,883400000,-233600000,683400000,-572200000,-371700000,-1.43e+08,-57500000,111200000,-94700000,-87900000,-6800000,16500000,0,0,16500000,-2500000,1.4e+07,1.4e+07,1.4e+07,1.4e+07,19300000,19300000,4.8e+08,4.8e+08,511500000,321600000,65800000,255800000,1332400000,14042100000,20948300000,-6906200000,207700000,3687300000,1690700000,5600000,1756600000,17937100000,19269500000,1098100000,447400000,148400000,148100000,354200000,1.133e+09,335700000,335700000,2566800000,7518600000,4821100000,397300000,2.632e+09,1763100000,12339700000,14906500000,5521900000,3400000,5518500000,-94600000,-1020600000,-43700000,4.363e+09,4.363e+09,19269500000,1.4e+07,1.43e+08,1.4e+07,7900000,6100000,-292800000,-292800000,-121800000,-484200000,-484200000,-25600000,-520800000,-5.7e+07,417800000,4.76e+08,-2.74e+08,286400000,286400000,638100000,-4500000,-4500000,-4500000,254200000,8651600000,-520300000,0.74526,0.12126,0.01527,0.00321000000000001,0.00073,-37.16429,0.51909,3.41657,0.44898,0.04228,0.04212,2.76923,13.17574,-1.57124,0.17213,0.00398,-0.02917,4.07143,33.95869,77.6286
"32","2018_Q1",20.0606557377049,"Down",1368300000,1344200000,-4.56e+08,912300000,-636100000,-426800000,-141800000,-67500000,276200000,-105600000,-92400000,-13200000,170600000,-5599999.99999999,-5600000,1.65e+08,-217400000,-52400000,-52400000,-52400000,-52400000,2.9e+07,2.9e+07,898900000,898900000,471100000,364300000,132800000,231500000,1763300000,14359500000,21313100000,-6953600000,204100000,3634800000,1690700000,5500000,1706900000,18198400000,19961700000,1291800000,625600000,208100000,112300000,345800000,1.49e+09,396600000,353400000,3178400000,7512200000,4.951e+09,337100000,1305300000,3280100000,12463200000,15641600000,5532500000,3400000,5529100000,-95900000,-1073100000,-43400000,4320100000,4320100000,19961700000,-52399999.9999999,141800000,223400000,210400000,-27100000,-100200000,-115900000,212600000,-479400000,-479400000,-27100000,-501800000,-58900000,359900000,-2600000.00000006,-502600000,2799999.99999994,4100000,299300000,10100000,10100000,10100000,4.18e+08,9002200000,55800000,0.66674,0.20186,-0.0383,-0.01213,-0.00263,-1.06489,0.55478,3.62066,0.45097,-0.15519,-0.15401,4.05245,12.79469,0.16526,0.17444,0.00036,0.00305,-1.12405,21.46699,32.48805
"33","2018_Q2",20.95921875,"Up",1750800000,1717200000,-724400000,1026400000,-626100000,-402500000,-144700000,-78900000,400300000,-61800000,-93100000,31300000,338500000,3e+05,3e+05,338800000,-62700000,276100000,276100000,276100000,276100000,3.5e+07,3.5e+07,973800000,973800000,245300000,379700000,155500000,224200000,1633800000,14456600000,21504700000,-7048100000,201300000,3806800000,1690700000,5e+06,1882200000,18464700000,20098500000,1.106e+09,497300000,212800000,159700000,236200000,1.83e+09,290200000,285600000,3226200000,7286800000,5079300000,323400000,1396900000,3326200000,12366100000,15592300000,5543900000,3400000,5540500000,-99500000,-919200000,-1.9e+07,4506200000,4506200000,20098500000,276100000,144700000,41200000,56800000,-15600000,-73800000,-73800000,388200000,-3.7e+08,-3.7e+08,-28900000,-398900000,-65700000,82600000,-2.79e+08,-2.79e+08,1e+05,3700000,1.7e+07,6300000,6300000,6300000,5.45e+08,9116800000,163900000,0.58625,0.22864,0.1577,0.06127,0.01374,0.59363,0.50642,3.46019,0.45361,0.81683,0.81448,5.1797,13.33148,0.48489,0.19437,0.01828,0.00876,0.23796,16.66385,22.68748
"34","2018_Q3",22.8006349206349,"Up",1.007e+09,982100000,-313300000,693700000,-575300000,-365200000,-144600000,-65500000,118400000,-75900000,-88700000,12800000,42500000,-12500000,0,3e+07,-5500000,24500000,24500000,24500000,23200000.0000001,68200000,68200000,584800000,584800000,336500000,326200000,109100000,217100000,1315700000,14847900000,21931600000,-7083700000,199600000,3944700000,1690700000,4200000,2023600000,18992200000,20307900000,1043200000,4.55e+08,165800000,174100000,248300000,1197700000,319500000,315500000,2560400000,7092500000,5.192e+09,311700000,1408600000,3426800000,12284500000,14844900000,6154900000,3700000,6151200000,-99900000,-965500000,-20900000,5.463e+09,5.463e+09,20307900000,24500000,144600000,48900000,9500000,39400000,203300000,203300000,421300000,-462500000,-462500000,-10400000,-472200000,-6.6e+07,-829500000,137800000,-212200000,9.98e+08,998400000,87300000,36400000,36400000,36400000,2.63e+08,8290200000,9300000,0.68888,0.11758,0.02304,0.00425,0.00114,0.400860000000001,0.51387,2.71735,0.40823,0.06549,0.06532,2.84279,14.30882,0.02625,0.18632,0.00471,0.00049,2.84483,31.26236,69.44257
"35","2018_Q4",22.387619047619,"Down",8.95e+08,855800000,-2.22e+08,6.73e+08,-988200000,-780800000,-148500000,-58900000,-315200000,-85100000,-83400000,-1700000,-400300000,-33700000,-7e+05,-4.34e+08,94500000,-339500000,-339500000,-339500000,-345100000,41800000,41800000,500400000,500400000,466900000,3.6e+08,89700000,270300000,1369100000,15174400000,22345400000,-7.171e+09,214500000,3941400000,1690700000,2600000,2024600000,19330300000,20699400000,1394500000,433700000,1.5e+08,178800000,6.32e+08,1659600000,357100000,340700000,3411200000,7094500000,5.12e+09,300900000,1303400000,3470500000,12214500000,15625700000,6164700000,3700000,6.161e+09,-99900000,-1387500000,2500000,5073700000,5073700000,20699400000,-339500000,148500000,-55400000,-92700000,37300000,364100000,364100000,117700000,-464100000,-464100000,-27700000,-505400000,-70800000,458300000,-552800000,-552800000,3800000,3800000,360400000,-27300000,-27300000,-27300000,-166700000,8754100000,-361200000,0.75196,-0.35218,-0.38559,-0.06802,-0.01667,1.04665,0.40135,3.07974,0.42292,-0.94834,-0.94834,2.45947,12.86013,-0.99258,0.19456,-0.01448,-0.01906,-0.20516,-52.26335,-27.64055
"36","2019_Q1",23.5577049180328,"Up",1461700000,1559400000,-501600000,960100000,-1037700000,-804400000,-161800000,-71500000,-77599999.9999999,-8.7e+07,-88100000,1100000,-164600000,-799999.999999996,-8e+05,-165400000,153700000,-11700000,-11699999.9999999,-11700000.0000001,-19800000.0000001,112800000,112800000,1058500000,1058500000,422500000,461600000,129500000,332100000,2055400000,15542500000,22800400000,-7257900000,2.04e+08,4002100000,1690700000,2100000,2088600000,19748600000,2.1804e+10,1605900000,883800000,222700000,90700000,408700000,2027200000,403700000,398700000,4036800000,7105400000,4910900000,389100000,1341700000,3133400000,12016300000,16053100000,6407300000,3800000,6403500000,-99900000,-1399300000,-37200000,5750900000,5750900000,2.1804e+10,-11699999.9999999,161800000,-153800000,-161800000,-20600000,-383400001,-5.07e+08,-387100001,-519800000,-521600000,-3.5e+07,-549600000,-82400000,364000001,-2099999.00000012,-2099999,722300000,722300000,1004000001,67300000,67300000,67300000,84200000,9132600000,-972700001,0.65684,-0.05309,-0.01355,-0.00344,-0.00091,49.12626,0.50917,2.79141,0.41885,-0.05354,-0.0538200000000002,3.95243,13.1709,-2.63018,0.22281,0.00316,-0.04914,-4.16162,107.12352,-116.23454
"37","2019_Q2",24.8166666666667,"Up",1869800000,1834500000,-680300000,1189500000,-815100000,-552400000,-175100000,-87600000,374400000,-96300000,-95600000,-7e+05,278100000,-2e+05,-2e+05,277900000,-5.9e+07,218900000,218900000,218900000,205100000,1.51e+08,1.51e+08,1132100000,1132100000,215700000,4.17e+08,144200000,272800000,1915800000,15741400000,23098300000,-7356900000,208500000,4024200000,1690700000,2100000,2113400000,19974100000,21889900000,1560200000,675200000,232800000,168300000,483900000,2131400000,323600000,323600000,4015200000,7110100000,4.985e+09,377300000,1402400000,3149500000,12095100000,16110300000,6410300000,3800000,6406500000,-99900000,-1.358e+09,-52800000,5779600000,5779600000,21889900000,218900000,175100000,30900000,51600000,-20700000,-25800000,-25800000,399100000,-353700000,-353700000,-21700000,-375400000,-83600000,100500000,-2300000,-2300000,3100000,3100000,1.6e+07,39700000,39700000,39700000,549500000,9241500000,2.29e+08,0.63616,0.20024,0.10969,0.03549,0.00937,1.11653,0.47714,2.78744,0.42218,0.54928,0.54737,5.0075,13.12159,0.61328,0.22389,0.01443,0.01145,0.40761,16.54322,24.28018
"38","2019_Q3",26.01984375,"Up",1010400000,969200000,-253500000,756900000,-293500000,-49199999.9999999,-177900000,-66400000,463400000,-94400000,-94100000,-3e+05,3.69e+08,100000.000000004,1e+05,369100000,-72200000,296900000,296900000,296900000,283100000,23700000,23700000,870200000,870200000,318600000,365500000,103100000,262400000,1.578e+09,16133800000,23594800000,-7.461e+09,215300000,4047100000,1690700000,2300000,2138900000,20396200000,21974200000,1390600000,552200000,167300000,1.65e+08,506100000,2091700000,331400000,331400000,3813700000,7109700000,5074600000,372100000,1483400000,3138400000,12184300000,1.5998e+10,6420900000,3800000,6417100000,-99900000,-1.144e+09,-80800000,5976200000,5976200000,21974200000,296900000,177900000,100200000,74900000,25300000,-47900000.0000001,-47900000.0000001,527100000,-489800000,-489800000,-32800000,-522600000,-9.4e+07,-42700000,-43700000,-43700000,4e+06,3999999.99999988,-132900000,-128400000,-128400000,-128400000,641300000,9201400000,175800000,0.74911,0.45863,0.28019,0.04737,0.01288,0.620979999999999,0.41377,2.67695,0.41874,0.75736,0.75473,2.70305,13.63349,0.4703,0.25147,0.01862,0.00868,0.33204,14.31109,19.80514
"39","2019_Q4",24.48484375,"Down",931500000,1.008e+09,-196700000,734800000,-6.44e+08,-393900000,-182200000,-67900000,90800000,-94600000,-95900000,1300000,-3800000,2e+05,2e+05,-3600000,10200000,6600000,6600000,6600000,-7200000,2.8e+07,2.8e+07,539300000,539300000,448700000,362300000,85400000,276900000,1378300000,16480900000,24044100000,-7563200000,217500000,4055600000,1690700000,2200000,2150200000,2.0754e+10,22132300000,1347900000,494900000,157800000,170300000,524900000,1.626e+09,365800000,365800000,3339700000,7853800000,5090300000,365500000,1476700000,3123100000,12944100000,16283800000,6430300000,3800000,6426500000,-99900000,-1231600000,-130300000,5848500000,5848500000,22132300000,6600000,182200000,8100000,-6100000,14200000,108700000,108700000,305600000,-466500000,-466500000,-29400000,-495800000,-82900000,281600000,747500000,-2500000,3800000,3800000,194800000,4600000,4600000,4600000,2.73e+08,9479800000,-9.5e+07,0.78884,0.09748,-0.00773,-0.00123,-0.00033,13.19444,0.4127,2.78427,0.42832,-0.01924,-0.01916,2.48931,13.27766,-0.25387,0.22154,0.00371,-0.00465,-11.51389,34.62198,104.09471
"40","2020_Q1",24.8493548387097,"Up",1397200000,1397200000,-404300000,992900000,-616300000,-359200000,-182200000,-74900000,376600000,-98800000,-93300000,-5500000,277800000,-414600000,-414600000,-136800000,-2499999.99999999,-139300000,-139300000,-139300000,-1.53e+08,139300000,139300000,856900000,856900000,424700000,4.33e+08,70200000,283300000,1853900000,16912200000,24541900000,-7629700000,74700000,3.819e+09,1485900000,1300000,2331800000,20805900000,22659800000,1.53e+09,6.66e+08,231600000,99400000,5.33e+08,1786600000,429199999,429199999,3745799999,7856200000,5071100000,373200000,1485300000,3078600000,12927300000,16673099999,6.67e+09,3800000,6666200000,-99900000,-1370800000,-92600000,5986700000,5986700000,22659799999,-139300000,182200000,418700000,-2200000,3.95e+08,-110100000,4e+06,351500000,-4.92e+08,-492400000,-28200000,-528600000,-94100000,1.55e+08,-853100000,-703100000,233500000,233500000,288500000,111400000,111400000,111400000,558800000,9642800000,-40800000,0.71064,0.26954,-0.1095,-0.02556,-0.00675,0.26667,0.49493,2.78502,0.42555,-0.40584,-0.40433,3.7061,13.54562,-0.10822,0.2496,-0.00285,-0.00197,-0.615030000000001,17.00698,25.235
"41","2020_Q2",21.8728571428571,"Down",1605500000,1525900000,-462400000,1143100000,-714800000,-444600000,-184300000,-85900000,428300000,-87500000,-92900000,5400000,340800000,-280100000,-280100000,60700000,14900000,75600000,75600000,75600000,61800000,203800000,203800000,716500000,716500000,2.54e+08,2051100000,182800000,212500000,3225400000,15587200000,22880900000,-7293700000,66100000,3.714e+09,1485900000,1300000,2226800000,19367300000,22592700000,1.278e+09,505600000,223800000,175500000,373100000,2054300000,829500000,829500000,4161800000,7817900000,4871600000,359400000,1460700000,2739400000,12689500000,16851300000,6675300000,3800000,6671500000,-99900000,-1483400000,-230600000,5741400000,5741400000,22592700000,75600000,184300000,268200000,-19900000,288100000,-158200000,-146100000,369900000,-452100000,-452100000,-34400000,-484600000,-88400000,269100001,495900001,-4099999,3700000,3700000,179300001,64600001,64600001,64600001,612600000,9872200000,-12600000,0.71199,0.26677,0.03849,0.01076,0.00274,-0.20388,0.775,2.93505,0.43696,0.16132,0.1609,4.19081,12.68964,-0.03289,0.23075,0.00733,-0.000619999999999999,1.43042,15.78257,22.5739
"42","2020_Q3",21.21890625,"Down",962700000,932700000,-188400000,774300000,-598800000,-353100000,-177500000,-68200000,175500000,-90500000,-9.7e+07,6500000,8.5e+07,-83800000,-83800000,1199999.99999997,-5900000,-4700000,-4699999.99999997,-4699999.99999997,-18500000,142200000,142200000,545700000,545700000,311800000,1859900000,142600000,1.75e+08,2859600000,15772400000,21321400000,-5.549e+09,72600000,3731900000,1485900000,1400000,2244600000,19576900000,22436500000,1103600000,402500000,195700000,186400000,3.19e+08,1179100000,9.45e+08,9.45e+08,3227700000,8810200000,4736800000,351300000,1486500000,2.699e+09,1.3547e+10,16774700000,6680300000,3800000,6676500000,-99900000,-1576700000,-221900000,5661800000,5661800000,22436500000,-4700000,177500000,92700000,8499999.99999999,84200000,72300000,77600000,337800000,-367200000,-367200000,-32900000,-4.02e+08,-99900000,113399999,846299999,1354099999,3800000,3800000,4799999,-59400001,-59400001,-59400001,3.53e+08,9989300000,6.4e+07,0.8043,0.1823,-0.01922,-0.00327,-0.00082,-3.45946,0.88596,2.96279,0.44523,-0.0482400000000001,-0.04814,2.5103,12.46884,0.16688,0.2605,0.00399,0.00314,-5.4,27.89547,56.10883
