"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q2",29.4619047619048,"Down",99626000,-52897000,46729000,-30250000,-27431000,-2819000,16479000,658000,927000,927000,-269000,17137000,17137000,-1900000,15237000,15237000,15237000,15237000,226414000,97225000,129189000,78076000,78076000,78771000,12856000,12856000,396117000,72886000,171923000,45827000,102595000,244809000,640926000,22592000,20891000,39218000,20082000,14234000,5848000,20082000,59300000,219842000,374308000,-12524000,581626000,581626000,640926000,15237000,4271000,1431000,-4857000,16082000,-1918000,-1453000,-7574000,8992000,8992000,17500000,17500000,-3349000,14151000,20750000,0,15875000,0.46904,0.16541,0.15294,0.0262,0.02377,1.04187,10.10039,0.10196,0,0.14706,0.14434,0.96153,5.6135,0.15322,0.02532,0.02638,-10.91152,-13.73955
"34","2019_Q3",34.6125,"Up",107098000,-57065000,50033000,-31787000,-28620000,-3167000,18246000,1455000,1028000,1028000,427000,19701000,19701000,-3650000,16051000,16051000,16051000,16051000,240970000,101585000,139385000,82282000,82282000,79473000,11569000,11569000,414294000,73910000,172288000,45445000,103309000,246198000,660492000,22088000,20555000,38760000,19658000,14144000,5514000,19658000,58418000,223949000,390359000,-12234000,602074000,602074000,660492000,16051000,4326000,1400000,-5276000,16501000,-4802000,-10196000,-15698000,1276000,1276000,2079000,2079000,2281000,4360000,22572000,0,16144000,0.46717,0.17037,0.14987,0.02666,0.0243,1.00579,10.6887,0.09703,0,0.15483,0.15345,1.03309,5.80771,0.15573,0.02582,0.02597,-10.67562,-13.20673
"35","2019_Q4",32.876875,"Down",97700000,-53072000,44628000,-29989000,-26740000,-3249000,14639000,1984000,1335000,1335000,649000,16623000,16623000,-3550000,13073000,13073000,13073000,13073000,246680000,93576000,153104000,80011000,80011000,84870000,11041000,11041000,422602000,76453000,173530000,45665000,104077000,249983000,672585000,18952000,18952000,34268000,18401000,14211000,4190000,18401000,52669000,225613000,403432000,-9129000,619916000,619916000,672585000,13073000,4431000,1306000,-8428000,10382000,-5157000,-13719000,-20361000,349000,349000,-9630000,-9630000,1621000,-8009000,19070000,0,9035000,0.45679,0.14984,0.13381,0.02109,0.01944,0.69112,12.33226,0.08496,0,0.12593,0.12507,0.94111,5.97141,0.08703,0.02048,0.01415,-12.9355,-16.85088
"36","2020_Q1",32.8146774193548,"Down",109762000,-59232000,50530000,-31800000,-28230000,-3570000,18730000,768000,1393000,1393000,-625000,19498000,19498000,-3683000,15815000,15815000,15815000,15815000,267524000,41688000,225836000,82582000,82582000,85992000,13431000,13431000,449529000,74847000,171364000,67745000,103619000,246211000,695740000,19664000,19063000,38251000,19590000,15618000,3972000,19590000,57841000,230292000,419247000,-11640000,637899000,637899000,695740000,15815000,4596000,2603000,-2137000,20877000,-2784000,-72731000,-75515000,3282000,3282000,-51356000,-51356000,-532000,-51888000,23326000,0,22088000,0.46036,0.17064,0.14408,0.02479,0.02273,1.39665,11.75208,0.09067,0,0.15205,0.15103,1.0553,6.13305,0.21236,0.02405,0.03359,-11.46892,-14.28318
"37","2020_Q2",33.797619047619,"Up",101424000,-53230000,48194000,-31930000,-28242000,-3688000,16264000,1388000,1510000,1510000,-122000,17652000,17652000,-3e+06,14652000,14652000,14652000,14652000,291016000,56289000,234727000,79112000,79112000,87682000,15738000,15738000,473548000,75154000,172442000,69559000,102883000,247596000,721144000,22487000,18345000,40427000,20411000,15501000,4910000,20411000,60838000,240543000,433899000,-14136000,660306000,660306000,721144000,14652000,4435000,1543000,3089000,23719000,-6469000,-8892000,-15361000,8708000,8708000,17066000,17066000,-2465000,14601000,20699000,0,20319000,0.47517,0.16036,0.14446,0.02219,0.02032,1.38677,11.71366,0.09214,0,0.1401,0.13906,0.96979,6.31364,0.19428,0.02152,0.02985,-14.05942,-17.89326
"38","2020_Q3",38.2690625,"Up",107803000,-56777000,51026000,-32754000,-28973000,-3781000,18272000,954000,1271000,1271000,-317000,19226000,19226000,-2950000,16276000,16276000,16276000,16276000,313605000,66414000,247191000,85377000,85377000,86406000,14795000,14795000,500183000,77150000,173258000,15495000,103610000,250408000,750591000,20323000,19567000,38791000,20883000,15591000,5292000,20883000,59674000,252660000,450175000,-11918000,690917000,690917000,750591000,16276000,4550000,1612000,-5685000,16753000,-6337000,-11928000,-18265000,10505000,10505000,8993000,8993000,1132000,10125000,22822000,0,13750000,0.47333,0.16949,0.15098,0.02356,0.02168,0.8448,12.89431,0.08637,0,0.15525,0.1543,1.0283,6.59046,0.13116,0.02287,0.01932,-13.74135,-17.16315
"39","2020_Q4",37.16765625,"Down",99869000,-54539000,45330000,-32287000,-28464000,-3823000,13043000,1207000,1600000,1600000,-393000,14250000,14250000,-2050000,12200000,12200000,12200000,12200000,327923000,50774000,277149000,80692000,80692000,89244000,17016000,17016000,514875000,78394000,180232000,15425000,109761000,258626000,773501000,20473000,18994000,39135000,22495000,16343000,6152000,22495000,61630000,263003000,462375000,-13507000,711871000,711871000,773501000,12200000,4557000,1640000,1381000,19778000,-3516000,-29734000,-42951000,8702000,8702000,-14471000,-14471000,-1169000,-15640000,17600000,0,17515000,0.45389,0.1306,0.12216,0.01714,0.01577,1.43566,13.15638,0.08657,0,0.1158,0.11526,0.9479,6.75669,0.16624,0.01661,0.02385,-18.63199,-25.14169
"40","2021_Q1",41.9268852459016,"Up",109074000,-57345000,51729000,-31785000,-28327000,-3458000,19944000,1233000,1611000,1611000,-378000,21177000,21177000,-4830000,16347000,16347000,16347000,16347000,343673000,66269000,277404000,84681000,84681000,95053000,13999000,13999000,537406000,78671000,181105000,66581000,110340000,259776000,797182000,48489000,25650000,48489000,23516000,18125000,5391000,23516000,72005000,266164000,478722000,-19709000,725177000,725177000,797182000,16347000,4854000,3274000,1153000,25628000,-7730000,-1015000,-12208000,1490000,1490000,14910000,14910000,585000,15495000,24798000,0,23051000,0.47426,0.18285,0.14987,0.02254,0.02051,1.41011,11.08305,0.09929,0,0.15477,0.15395,1.03268,6.86578,0.21824,0.02183,0.03079,-13.8589,-17.2319
"41","2021_Q2",46.2144444444444,"Up",109325000,-59023000,50302000,-31407000,-27529000,-3878000,18895000,915000,722000,722000,193000,19810000,19810000,-3950000,15860000,15860000,15860000,15860000,367486000,60947000,306539000,82310512.1024866,82310512.1024866,97573000,91640000,13955000,556699000,80593000,184300000,70869000,111675000,264893000,821592000,27134000,22537000,46442000,23604000,18306000,5298000,23604000,70046000,272671000,494582000,-15707000,751546000,751546000,821592000,15860000,4720000,1681000,2873000,25134000,-4248000,-29134000,-35732000,5095000,5095000,-5503000,-5503000,181000,-5322000,23615000,0,26190000,0.46011,0.17283,0.14507,0.0211,0.0193,1.65132,11.98697,0.0932,0,0.14965,0.14882,1.03152,7.09113,0.24711,0.02046,0.03379,-15.56155,-19.44885
"42","2021_Q3",43.4971875,"Down",1.15e+08,-61786000,53214000,-33969000,-29913000,-4056000,19245000,90000,555000,555000,-465000,19335000,19335000,-3450000,15885000,15885000,15885000,15885000,390765000,113867000,276898000,79931000,79931000,92529000,15201000,15201000,578426000,83774000,183426000,70199000,111687000,267200000,845626000,29494000,20697000,44587000,23644000,18391000,5253000,23644000,68231000,282014000,510467000,-15086000,777395000,777395000,845626000,15885000,4803000,1511000,191000.000000001,22390000,-6844000,29640000,22796000,7563000,7563000,52749000,52749000,171000,52920000,24048000,0,20845000,0.46273,0.16735,0.13813,0.02043,0.01878,1.31224,12.97297,0.08777,0,0.14971,0.14897,1.08384,7.32673,0.19646,0.01983,0.02602,-16.24938,-20.30475
"43","2021_Q4",42.78875,"Down",116709000,-62860000,53849000,-38075000,-33839000,-4236000,15774000,203000,294000,294000,-91000,15977000,15977000,-2600000,13377000,13377000,13377000,13377000,353347000,73482000,279865000,87241000,87241000,99267000,15449000,15449000,555304000,97981000,226931000,15441000,133029000,324912000,880216000,31185000,23257000,45942000,26591000,21276000,5315000,26591000,72533000,298680000,523844000,-14841000,807683000,807683000,880216000,13377000,5584000,1581000,-8946000,11596000,-8301000,-2967000,-60918000,10143000,10143000,-39179000,-39179000,-1206000,-40385000,21358000,0,6711000,0.4614,0.13516,0.11462,0.01656,0.0152,0.50168,12.08707,0.0898,0,0.12537,0.1249,1.09376,7.56938,0.06289,0.01603,0.00804,-16.54401,-22.4006
"44","2022_Q1",35.9511290322581,"Down",127425000,-69734000,57691000,-37436000,-33359000,-4077000,20255000,-109000,43000,43000,-152000,20146000,20146000,-4386000,15760000,15760000,15760000,15760000,381087000,75602000,305485000,91823000,91823000,100701000,17840000,17840000,591451000,100453000,228288000,92316000,131476000,328741000,920192000,50195000,23900000,53599000,26216000,21917000,4299000,26216000,79815000,312148000,539604000,-11375000,840377000,840377000,920192000,15760000,5934000,1024000,-749000,21969000,-7319000,-25620000,-31710000,11830000,10743000,1002000,1002000,1118000,2120000.00000001,26189000,0,22507000,0.45274,0.15896,0.12368,0.01875,0.01713,1.42811,11.03474,0.09498,0,0.14831,0.14761,1.19914,7.90839,0.2118,0.01819,0.02597,-14.55141,-18.81447
"45","2022_Q2",26.8311290322581,"Down",128305000,-68297000,60008000,-38263000,-33938000,-4325000,21745000,-18000,203000,203000,-221000,21727000,21727000,-4650000,17077000,17077000,17077000,17077000,400880000,71283000,329597000,87291000,87291000,102109000,18844000,18844000,609124000,99515000,223467000,89030000,130012000,322982000,932106000,50762000,22414000,50762000,25981000,21827000,4154000,25981000,76743000,314886000,556681000,-16204000,855363000,855363000,932106000,17077000,5682000,1675000,-1224000,23210000,-1295000,-24112000,-25407000,1048000,1048000,-1149000,-1149000,-3170000,-4319000,27427000,0,29558000,0.4677,0.16948,0.1331,0.01996,0.01832,1.73087,11.99961,0.08972,0,0.15887,0.15796,1.19365,7.95761,0.27498,0.01938,0.03354,-14.61625,-18.4355
"46","2022_Q3",20.1384375,"Down",130517000,-69923000,60594000,-48125000,-43793000,-4332000,12469000,459000,224000,1165810.25517786,235000,12928000,12928000,-2100000,10828000,10828000,10828000,10828000,389249000,51119000,338130000,92498000,92498000,107086000,22371000,22371000,611204000,100863000,255867000,109065000,142613000,356730000,967934000,62673000,34222000,62673000,39785000,21829000,17956000,39785000,102458000,322202000,567509000,-24235000,865476000,865476000,967934000,10828000,5829000,1675000,-485000,17847000,-3940000,-8533000,-39337000,5571000,5571000,-15919000,-15919000,-4245000,-20164000,18298000,0,15973000,0.46426,0.09554,0.08296,0.01251,0.01119,1.47516,9.75227,0.11838,0,0.10047,0.10015,1.21109,8.03089,0.14822,0.01196,0.01764,-21.27276,-31.21734
