"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",52.8844444444444,"Down",374946000,-295484000,79462000,-50510000,-41617000,-4537000,-4356000,28952000,2326000,-1156000,2355000,1127000,31278000,2566000,1963000,4529000,4529000,-68000,4461000,4461000,59164000,59164000,173388000,173388000,40589000,8800000,31789000,273141000,34420000,498312000,45523000,313663000,38320000,532732000,805873000,217181000,29119000,188062000,8137000,225318000,83157000,4337000,4337000,87494000,312812000,555065000,-52500000,-10505000,492075000,986000,493061000,805873000,4529000,4537000,5892000,21286000,36244000,-3064000,-20029000,0,-23273000,-1250000,4125000,4125000,-5016000,-2141000,10830000,10830000,10830000,33489000,91294000,49748000,0.21193,0.07722,0.0119,0.00905,0.00554,11.15176,1.21225,0.63443,0.11329,0.13262,0.12995,11.14683,14.62898,1.47897,0.00758,0.08451,0.95942,1.10977
"31","2017_Q4",52.6993650793651,"Down",373704000,-304399000,69305000,-45932000,-38189000,-4185000,-3558000,23373000,652000,-1291000,9e+05,1043000,24025000,24025000,-9364000,14661000,14661000,-103000,14558000,14558000,66114000,66114000,177402000,177402000,24674000,9770000,14904000,268190000,32695000,498644000,44845000,313663000,48976000,531339000,799529000,192470000,22815000,169655000,9387000,201857000,80523000,3930000,3930000,84453000,286310000,561416000,-53228000,4053000,512256000,963000,513219000,799529000,14661000,4185000,15740000,-24385000,10201000,-1507000,0,57000,-1450000,-1569000,622000,622000,-854000,-1801000,6950000,6950000,6950000,27558000,89910000,11030000,0.18545,0.06254,0.03896,0.02837,0.01821,0.75766,1.32861,0.55787,0.11245,0.43023,0.42365,11.04392,15.13848,0.32596,0.02398,0.01817,0.86349,1.0181
"32","2018_Q1",56.9595081967213,"Up",397961000,-318644000,79317000,-48248000,-39757000,-3984000,-4507000,31069000,-658000,-1377000,232000,487000,30411000,29088000,-32794000,-3706000,-3706000,-142000,-3848000,-3848000,86363000,86363000,201196000,201196000,23597000,7329000,16268000,311156000,31122000,471204000,46061000,319949000,49130000,502326000,813482000,204424000,25384000,179040000,10638000,215062000,78203000,3791000,3791000,81994000,297056000,568815000,-53713000,204000,515321000,1105000,516426000,813482000,-3706000,3984000,43622000,-11711000,32189000,-1502000,-9587000,-5.82076609134674e-11,-11129000,-1250000,924000,924000,-485000,-811000.000000001,20249000,20249000,20249000,35053000,88841000,54634000,0.19931,0.07807,-0.00966999999999999,-0.00745,-0.00473,-14.19802,1.44682,0.57522,0.10921,-0.11352,-0.11169,11.73996,15.20211,1.61172,-0.00631999999999999,0.0897,0.07069,0.07976
"33","2018_Q2",73.4296875,"Up",399262000,-313940000,85322000,-49317000,-41680000,-3593000,-4044000,36005000,878000,-1583000,1860000,601000,36883000,36883000,-9563000,27320000,27320000,-161000,27159000,27159000,120005000,120005000,192936000,192936000,30578000,12430000,18148000,343519000,28213000,470556000,45382000,322199000,49856000,498769000,842288000,200393000,22966000,177427000,10417000,210810000,75782000,6138000,6138000,81920000,292730000,575961000,-55019000,27363000,548320000,1238000,549558000,842288000,27320000,3593000,9062000,342000,40317000,-1457000,-2250000,462000,-3245000,-2819000,722000,722000,-1333000,-3430000,33642000,33642000,33642000,39598000,86199000,48046000,0.2137,0.09018,0.06802,0.04942,0.03224,1.76906,1.62952,0.53266,0.10234,0.79948,0.78512,11.75302,16.14083,1.41432,0.04231,0.07485,-0.85373,-0.93893
"34","2018_Q3",110.429682539683,"Up",411603000,-319779000,91824000,-48996000,-42104000,-3125000,-3767000,42828000,1309000,-2026000,2976000,359000,44137000,44137000,-10596000,33541000,33541000,-192000,33349000,33349000,25904000,25904000,197592000,197592000,35277000,10493000,24784000,258773000,27998000,466553000,44888000,324145000,50601000,494551000,753324000,213521000,29810000,183711000,668000,214189000,123937000,6137000,6137000,130074000,344263000,585173000,-237947000,60712000,407953000,1108000,409061000,753324000,33541000,3125000,11199000,2788000,50653000,-143000,-1824000,9000,-1958000,39844000,-178358000,3044000,-4282000,-142796000,-94101000,-94101000,-94101000,45953000,124605000,59194000,0.22309,0.10405,0.08102,0.08153,0.04427,1.77499,1.20815,0.84159,0.16541,0.99731,0.97572,12.30907,12.19992,1.77021,0.06178,0.10966,2.14787,2.30459
"35","2018_Q4",117.861904761905,"Up",417335000,-329106000,88229000,-48341000,-40335000,-3164000,-4842000,39888000,1485000,-1962000,1625000,1822000,41373000,41373000,-9825000,31548000,31548000,-171000,31377000,31377000,14010000,14010000,195030000,195030000,23628000,11679000,11949000,232668000,30215000,463009000,44309000,324145000,53406000,493224000,725892000,218081000,24519000,193562000,1209000,219290000,54853000,6253000,6253000,61106000,280396000,592575000,-240536000,92089000,444143000,1353000,445496000,725892000,31548000,3164000,13488000,20280000,68480000,-4033000,0,92000,-7418000,-70596000,770000,770000,-3130000,-72956000,-11894000,-11894000,-11894000,43052000,56062000,69124000,0.21141,0.09558,0.07518,0.07043,0.04323,2.20301,1.06101,0.6294,0.07723,0.98623,0.95981,13.11755,13.96018,2.17269,0.06179,0.13612,0.97677,1.05425
"36","2019_Q1",125.505409836066,"Up",434378000,-346560000,87818000,-51391000,-42778000,-3379000,-5234000,36427000,168000,-1521000,1231000,458000,36595000,36595000,-8875000,27720000,27720000,-259000,27461000,27461000,20229000,20229000,188972000,188972000,14917000,7568000,7349000,224118000,29449000,463551000,44132000,329480000,54145000,4.93e+08,717118000,220864000,28531000,192333000,1612000,222476000,5774999.99999999,6234000,6234000,12009000,234485000,603702000,-241685000,119550000,481582000,1051000,482633000,717118000,27720000,3379000,13362000,19572000,64033000,-871000,-5186000,-6992000,-9572000,-50379000,3846000,3846000,-1709000,-48242000,6218999.99999999,6218999.99999999,6218999.99999999,39806000,7387000,67382000,0.20217,0.08386,0.06322,0.0569,0.03829,2.45373,1.00738,0.48585,0.0103,0.8598,0.83281,13.60024,15.07818,2.10971,0.05534,0.13578,-0.32261,-0.35254
"37","2019_Q2",118.673492063492,"Down",467340000,-370104000,97236000,-52912000,-43402000,-2895000,-6615000,44324000,-1873000,-3325000,1216000,236000,42451000,42451000,-10878000,31573000,31573000,-269000,31304000,31304000,10554000,10554000,236437000,236437000,24740000,10792000,13948000,271731000,29716000,882792000,62801000,649514000,137952000,912508000,1184239000,265825000,32797000,233028000,6038000,297377000,303733000,61929000,61929000,365662000,663039000,613750000,-244373000,150854000,520246000,954000,521200000,1184239000,31573000,2895000,20326000,-34735000,20059000,-1133000,-327867000,208000,-328912000,301941000,1138000,1138000,-3901000,299178000,-9675000,-9675000,-9675000,47219000,309771000,22229000,0.20806,0.09484,0.06698,0.06006,0.02643,0.7101,0.91376,1.27214,0.26158,0.97822,0.95169,14.60392,16.25718,0.69463,0.03506,0.0249,6.33679,6.75068
"38","2019_Q3",130.1809375,"Up",492984000,-389108000,103876000,-59125000,-48408000,-5179000,-5538000,44751000,-403000,-4312000,3716000,193000,44348000,44348000,-10308000,34040000,34040000,-298000,33742000,33742000,13902000,13902000,239674000,239674000,22209000,8957000,13252000,275785000,29762000,900315000,61966000,664822000,143314000,930077000,1205862000,279210000,35690000,243520000,7610000,313007000,266468000,63445000,63445000,329913000,642920000,623345000,-246175000,184596000,561781000,1161000,562942000,1205862000,34040000,5179000,16224000,3823000,59266000,-1414000,-17547000.0000001,5000.00000000093,-19046000,-36718000.0000001,1739000,1739000,-1893000,-36872000,3348000,3348000,3348000,49930000,274078000,62647000,0.21071,0.09078,0.06844,0.05994,0.02798,1.85665,0.88108,1.14207,0.22729,1.05197,1.02457,15.36973,17.51461,1.95314,0.03747,0.06957,5.21082,5.81386
"39","2019_Q4",148.72796875,"Up",494631000,-388649000,105982000,-59138000,-48474000,-4366000,-6298000,46844000,-2600000,-3763000,-812000,1975000,44244000,44244000,-9919000,34325000,34325000,-193000,34132000,34132000,20757000,20757000,254703000,254703000,24059000,10601000,13458000,299519000,29969000,882892000,66468000,660472000,138384000,912861000,1212380000,278911000,35901000,243010000,8959000,314653000,231641000,62621000,62621000,294262000,608915000,634891000,-251070000,218728000,602564000,901000,603465000,1212380000,34325000,4366000,34524000,-25760000,47455000,-3632000,-46000,74000,-3604000,-34543000,2895000,2895000,-5348000,-36996000,6855000,6855000,6855000,51210000,240600000,31737000,0.21426,0.0947,0.069,0.05656,0.02815,0.92983,0.9519,1.00903,0.19845,1.05961,1.03412,15.35549,18.7062,0.98525,0.03764,0.035,4.29297,4.69309
"40","2020_Q1",177.908387096774,"Up",500678000,-396928000,103750000,-60727000,-48150000,-5988000,-6589000,43023000,-2186000,-3037000,1218000,-367000,40837000,39367000,-11398000,27969000,27969000,-314000,27655000,27655000,30294000,30294000,237596000,237596000,82664000,8243000,74421000,350554000,28113000,884078000,64748000,658500000,139403000,912191000,1262745000,289247000,31259000,257988000,9927000,326943000,232256000,62033000,62033000,294289000,621232000,645293000,-251241000,246383000,640450000,1063000,641513000,1262745000,27969000,5988000,15947000,25316000,75220000,-1547000,-7.45058059692383e-09,161000,-1386000.00000001,1196000.00000001,1026000,1026000,-323000,1899000,75733000,75733000,75733000,49011000,242183000,84178000,0.20722,0.08593,0.05524,0.04311,0.0219,3.04386,1.07222,0.96839,0.19179,0.85672,0.83479,15.51047,19.84046,2.60774,0.02924,0.08901,4.32329,4.92502
"41","2020_Q2",186.51380952381,"Up",491685000,-387303000,104382000,-60512000,-49265000,-5338000,-5909000,43870000,-2478000,-3218000,477000,263000,41392000,41392000,-9346000,32046000,32046000,-244000,31802000,31802000,174756000,174756000,268551000,268551000,24821000,12487000,12334000,468128000,26477000,945479000,68251000,721049000,135980000,971956000,1440084000,277519000,31147000,246372000,11122000,316106000,379942000,63892000,63892000,443834000,759940000,656303000,-255291000,278185000,679197000,947000,680144000,1440084000,32046000,5338000,18347000,-49696000,6035000,-1422000,-69349000,16000,-70755000,148408000,2044000,2044000,-4410000,146042000,81322000,81322000,81322000,49208000,391064000,7436000,0.21229,0.08922,0.06468,0.04676,0.02208,0.23382,1.48092,1.11732,0.27156,0.98364,0.95691,15.20785,21.00761,0.23,0.02802,0.00655,4.39579,4.93066
"42","2020_Q3",227.35515625,"Up",507839000,-400845000,106994000,-57062000,-44003000,-6334000,-6725000,49932000,-1774000,-2538000,487000,277000,48158000,45178000,-10031000,35147000,35147000,-473000,34674000,34674000,177278000,177278000,249030000,249030000,23232000,10788000,12444000,449540000,25007000,1170941000,81813000,937088000,126577000,1195948000,1645488000,331380000,33383000,297997000,10718000,442048000,392713000,88468000,88468000,481181000,923229000,665617000,-257625000,312859000,720851000,1408000,722259000,1645488000,35147000,6334000,13897000,78544000,133922000,-199000,-230374000,17006000,-213567000,11917000,2589000,2589000,67654000,82160000,2515000,2515000,2515000,56266000,403431000,144642000,0.21068,0.09832,0.06828,0.04801,0.02107,4.17148,1.01695,1.27825,0.24517,1.06982,1.04176,15.66872,22.24094,4.46274,0.02856,0.11913,4.01935,4.52922
"43","2020_Q4",256.41390625,"Up",548882000,-420814000,128068000,-64755000,-49348000,-8283000,-7124000,63313000,-1104000,-2661000,1435000,122000,62209000,62209000,10202000,72411000,72411000,-430000,71981000,71981000,112904000,112904000,250777000,250777000,47569000,14906000,32663000,411250000,24104000,1167366000,84143000,931483000,127551000,1191470000,1602720000,336323000,39037000,297286000,10711000,437496000,300576000,106905000,106905000,407481000,844977000,690136000,-318771000,384840000,756205000,1538000,757743000,1602720000,72411000,8283000,18962000,-16573000,83083000,-1294000,0,73000,-1221000,-92685000,4037000,4037000,-58088000,-146736000,-64874000,-64874000,-64874000,71596000,311287000,43527000,0.23333,0.11535,0.13114,0.09499,0.04491,0.6047,0.94001,1.11512,0.19422,2.20361,2.1627,16.80337,23.15031,1.33253,0.06121,0.03701,2.77087,3.13337
"44","2021_Q1",282.022786885246,"Up",557485000,-425855000,131630000,-65325000,115886000,-8847000,-172364000,66305000,-113000,-2329000,1567000,649000,66192000,62040000,-16460000,45580000,45580000,-429000,45151000,45151000,81808000,81808000,255145000,255145000,25031000,10217000,14814000,361984000,23719000,1181495000,74183000,932685000,126640000,1205214000,1567198000,355795000,42674000,313121000,10496000,456337000,204511000,95609000,95609000,300120000,756457000,698325000,-319092000,429991000,809224000,1517000,810741000,1567198000,45580000,8847000,-2462000,13947000,65912000,-2337000,765000,7000,-1565000,-96889000,1217000,1217000,-771000,-96443000,-32096000,-32096000,-32096000,75152000,215007000,103222000,0.23611,0.11894,0.08099,0.05569,0.02881,2.28615,0.79324,0.93304,0.13719,1.37534,1.35707,16.98148,24.64967,3.14423,0.04026,0.09205,1.77239,2.00888
"45","2021_Q2",262.368571428571,"Down",545845000,-413028000,132817000,-63968000,164890537.393878,-7555000,-56413000,68849000,-642000,-2048000,1118000,288000,68207000,68207000,-17915000,50292000,50292000,-422000,49870000,49870000,77344000,77344000,275632000,275632000,27474000,15449000,12025000,380450000,21679000,1171080000,69764000,933207000,127533000,1192759000,1573209000,360706000,38865000,321841000,10329000,456082000,231380000,96173000,96173000,327553000,783635000,707044000,-398752000,479861000,788153000,1421000,789574000,1573209000,50292000,7555000,25180000,-29025000,54002000,-1576000,57391045.3999982,19000,-1557000,26308000,-71474000,1412000,-12292000,-57458000,-5013000,-5013000,-5013000,76404000,241709000,63718000,0.24332,0.12613,0.09136,0.06316,0.0317,1.27768,0.83417,0.99248,0.15364,1.52135,1.50256,16.65177,24.04372,1.94381,0.04423,0.05651,2.15126,2.38733
"46","2021_Q3",207.8809375,"Down",555465000,-423026000,132439000,-67608000,89931351.0688313,-6721000,-60887000,78135000,31030000,-1907000,32462000,475000,109165000,109165000,-28546000,80619000,80619000,-470000,80149000,80149000,91646000,91646000,278216000,278216000,21103000,11979000,9124000,390965000,20986000,1187612000,66432000,936772000,159137000,1208598000,1599563000,349842000,36668000,313174000,10160000,449223000,179415000,95038000,95038000,274453000,723676000,714372000,-400110000,560010000,874272000,1615000,875887000,1599563000,80619000,6721000,244000,-19626000,67958000,-1325000,-2503000,6000,-3822000.00000001,-52700000,-15999.9999999851,1172000,2882000,-49834000,14302000,14302000,14302000,84856000,189575000,92451000,0.23843,0.14067,0.14429,0.09151,0.05011,1.15349,0.87031,0.82622,0.11852,2.44506,2.41485,16.94524,26.6709,2.82035,0.06906,0.07966,1.15406,1.25333
"47","2021_Q4",160.70890625,"Down",553485000,-428116793.869762,128456353.54585,-496709000,-4397000.00000003,-7487000,-484825000,56772000,-796000,-2730000,1444000,490000,55976000,55976000,-10731000,45245000,45245000,-239000,45006000,45006000,124458000,124458000,274570000,274570000,33854000,16080000,17774000,432882000,20381000,1484382000,118084000,1188054000,168133000,1504763000,1937645000,351036000,41649000,309387000,13225000,454349000,434781000,99714000,99714000,534495000,988844000,720913000,-420665000,605016000,905264000,43537000,948801000,1937645000,45245000,7487000,27195000,-18160000,61767000,-2293000,-262369000,101000,-264561000,259811000,-8661000,2144000,-12794000,238356000,35562000,35562000,35562000,64259000,448006000,54537000,0.230505661039572,0.10257,0.08131,0.04743,0.02323,1.21177,0.95275,1.0422,0.23121,1.3781,1.36295,16.94791,27.71952,1.66994,0.03007,0.03644,5.03506,5.69908
"48","2022_Q1",149.397903225806,"Down",572617000,-426334968.826212,122543806.801904,360862000,-19412000,-9138000,389412000,48159000,-32374000,-2791000,-30075000,492000,15785000,46883000,-12873000,34010000,34010000,37000,34047000,34047000,42694000,42694000,274961000,274961000,39029000,10356000,28673000,356684000,18435000,1481849000,111190000,1196090000,174280000,1500284000,1856968000,330054000,38217000,291837000,12995000,374282000,432075000,74288000,74288000,506363000,880645000,728156000,-435868000,639063000,931351000,44972000,976323000,1856968000,34010000,9138000,26225000,-64207000,5166000,-1383000,-5093000.00000006,-5191000,-11667000,-3250000,-13705000,1294000,-58983000,-75938000,-82439000,-82439000,-82439000,57297000,445070000,4580000.00000001,0.222939329752455,0.0841,0.05946,0.03487,0.01833,0.13452,0.95298,0.902,0.23968,1.04908,1.04654,17.64396,28.69757,0.14112,0.02276,0.00306,7.02264,8.35516
"49","2022_Q2",127.757903225806,"Down",545257000,-428300000,116957000,-68995000,119920694.231355,-8008000,-60987000,47962000,-4230000,-3160000,-1403000,333000,43732000,43732000,-12019000,31713000,31713000,-42000,31671000,31671000,67834000,67834000,293579000,293579000,31072000,17221000,13851000,392485000,17295000,1498612000,106534000,1204638000,187440000,1515907000,1908392000,335944000,36621000,299323000,12309000,380154000,429453000,78133000,75218000,507586000,887740000,736574000,-440550000,670734000,966758000,53894000,1020652000,1908392000,31713000,8008000,24014000,-15114000,48621000,-1101000,260789869.124138,-14978000,-16079000,-3771000,1071000,1071000,-4702000,-7402000,25140000,25140000,25140000,55970000,441762000,51774000,0.2145,0.08796,0.05808,0.03103,0.0166,1.63474,1.03244,0.86978,0.23148,0.97168,0.9649,16.72875,29.66061,1.58845,0.02056,0.03361,6.68086,7.79634
"50","2022_Q3",119.24546875,"Down",557890000,-443969000,113921000,-66280000,482723382.694064,-6220000,-60060000,47641000,-7285000.00000001,-8275000,659000,331000,40356000,40356000,-11319000,29037000,29037000,542000,29579000,29579000,26566000,26566000,305413000,305413000,62890000,15199000,47691000,394869000,17847000,1588270000,106189000,1289672000,192409000,1606117000,2000986000,380816000,43509000,337307000,12521000,427372000,442413000,92206000,86027000,534619000,961991000,743314000,-457981000,700313000,985646000,53349000,1038995000,2000986000,29037000,6220000,21145000,1007000,57409000,-2203000,-73311000,6000,-75508000,11796000,-15759000,1592000,-83000,-4046000.00000003,-22145000,-22145000,-22145000,53861000,454934000,63984000,0.2042,0.08539,0.05302,0.02847,0.01478,2.16316,0.92395,0.92589,0.22735,0.9075,0.90117,17.11634,30.24011,1.96306,0.01865,0.04034,7.95321,8.99158
