"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",9.39428571428572,"Down",25301000,-2987000,22314000,-19303000,-19303000,3011000,-91000,-91000,2920000,623000,-505000,118000,118000,118000,118000,15779000,15779000,12295000,12295000,2743000,1744000,868000,30817000,4121000,3498000,1423000,2075000,10485000,41302000,22744000,13795000,8106000,888000,888000,23632000,2671000,2671000,2671000,26303000,122000,18854000,-3977000,14999000,14999000,41302000,118000,563000,415000,-1840000,-744000,-159000,-159000,-159000,-159000,-2723000,-3626000,-3626000,-9000,-3635000,3574000,0,2080000,0.88194,0.11901,0.00466,0.00787,0.00286,17.62712,1.30404,1.75365,0,0.00958,0.00932,2.05465,1.21804,0.16891,0.00668,0.11771,-4.41494,-5.24045
"34","2019_Q1",13.2522950819672,"Up",27062000,-2880000,24182000,-19594000,-19594000,4588000,-52000,-52000,4536000,2737000,-1173000,1564000,1564000,1564000,1564000,18017000,18017000,12646000,12646000,2503000,1947000,389000,33166000,3790000,3774000,1645000,2129000,10258000,43424000,25471000,17129000,7853000,1339000,1339000,26810000,2555000,2555000,2555000,29365000,120000,18153000,-4214000,14059000,14059000,43424000,1564000,438000,111000,3168000,5281000,-86000,-85999.9999999999,-86000,-86000.0000000005,-2419000,2776000,2776000,-547000,2229000,5026000,1.81898940354586e-12,9281000,0.89358,0.16954,0.05779,0.11125,0.03602,5.93414,1.23708,2.0887,-5.42101086242752e-20,0.12975,0.12888,2.24506,1.16633,0.76995,0.09414,0.55863,-3.58476,-3.92698
"35","2019_Q2",16.83,"Up",30825000,-2946000,27879000,-21205000,-21205000,6674000,-99000,-99000,6575000,4872000,-1752000,3120000,3120000,3120000,3120000,19946000,19946000,15579000,15579000,1695000,1607000,0,37220000,3604000,17562000,1284000,16278000,23649000,60869000,26766000,16180000,9067000,6707000,1199000,33473000,11759000,11759000,11759000,45232000,119000,19821000,-4303000,15637000,15637000,60869000,3120000,330000,719000,-763000,3406000,-131000,-131000,-131000,-131000,-1617000,1658000,1658000,152000,1810000,7004000,0,7862000,0.90443,0.21651,0.10122,0.19953,0.05126,2.51987,1.11194,2.89263,0,0.26188,0.25524,2.58729,1.31249,0.6599,0.11389,0.28698,-2.8478,-2.98861
"36","2019_Q3",12.42953125,"Down",28184000,-2757000,25427000,-21204000,-21204000,4223000,-143000,-143000,4080000,2281000,-953000,1328000,1328000,1328000,1328000,14113000,14113000,15323000,15323000,2640000,1739000,817000,32076000,3346000,17544000,1359000,16185000,23848000,55924000,23534000,14419000,8720000,6858000,1165000,30392000,11305000,11305000,11305000,41697000,119000,18337000,-4229000,14227000,14227000,55924000,1328000,333000,505000,-3972000,-1806000,-70000,-70000,-70000,-743000,-3131000,-5680000,-5680000,-147000,-5827000,4556000,0,1467000,0.90218,0.14984,0.04712,0.09334,0.02375,1.10467,1.05541,2.93084,0,0.11063,0.10816,2.34788,1.18519,0.12221,0.05201,0.05746,-3.09767,-3.34194
"37","2019_Q4",10.3665625,"Down",20590000,-2686000,17904000,-9830000,-9830000,8074000,290000,290000,8364000,7010000,-891000,6119000,306000,306000,306000,11605000,11605000,12317000,12317000,3036000,1965000,930000,26958000,3142000,20847000,1347000,19500000,26624000,53582000,20319000,13007000,6866000,8147000,1119000,28466000,12718000,12718000,12718000,41184000,117000,16731000,-4450000,12398000,12398000,53582000,306000,336000,885000,-1201000,326000,-149000,-149000,-149000,-149000,-2308000,-2131000,-2131000,-4e+05,-2531000,8410000,0,7951000,0.86955,0.39213,0.01486,0.02468,0.00571,25.98366,0.94702,3.32183,0,0.02601,0.0256,1.75026,1.05389,0.67588,0.01218,0.31657,-1.3799,-1.43733
"38","2020_Q1",8.80677419354839,"Down",25326000,-3046000,22280000,-24210000,-17501000,-1930000,-90000,-90000,-2020000,2836000,-1116000,1720000,-599000,-599000,-599000,18743000,18743000,11209000,11209000,6158000,2393000,989000,36110000,2861000,13083000,2051000,11032000,18428000,54538000,26544000,6382000,19248000,8450000,786000,34994000,8681000,8363000,8681000,43675000,115000,14200000,-3452000,10863000,10863000,54538000,-599000,319000,368000,9222000,9310000,-124000,-124000,-124000,-124000,-2050000,7136000,7136000,661000,7797000,-1611000,0,8603000,0.87973,-0.07621,-0.02365,-0.05514,-0.01098,-14.36227,1.03189,4.02053,0,-0.05184,-0.05127,2.19197,0.94019,0.74459,-0.03065,0.44019,11.63439,9.7114
"39","2020_Q2",5.51777777777778,"Down",20327000,-2703000,17624000,-20044000,-18616000,-2420000,-6000,-6000,-2426000,-5346000,517000,-4829000,-7748000,-6609000,-6609000,12130000,12130000,7653000,7653000,4075000,1712000,0,23858000,1964000,32714000,3404000,12771000,36936000,60794000,19883000,12836000,6528000,9541000,2451000,39395000,14582000,13372000,14582000,53977000,113000,6411000,-4323000,2201000,6817000,60794000,-7748000,551000,3726000,415000,-3056000,-131000,-131000,-131000,-810000,-2205000,-6071000,-6071000,-272000,-6343000,-1869000,9971000,-2102000,0.86702,-0.11905,-0.32513,-0.96949,-0.10871,0.31805,0.60561,7.918,0.16401,-0.57776,-0.57776,1.77699,0.19241,-0.18376,-0.21068,-0.06701,1.15516,0.89215
"40","2020_Q3",6.69484375,"Up",7004000,-2141000,4863000,-11496000,-10930000,-6633000,-179000,-179000,-6812000,-6812000,1309000,-5503000,-6298000,-6190000,-6190000,25563000,25563000,4031000,4031000,1875000,1173000,0,31469000,1689000,32381000,4341000,11896000,36222000,67691000,35883000,29674000,5436000,8675000,2779000,46258000,13563000,12519000,17226000,63484000,4144000,221000,-4666000,-301000,4207000,67691000,-6298000,667000,2731000,19379000,16479000,-72000,-72000,-72000,-502000,-3137000,12840000,12840000,-239000,12601000,-5966000,5363000,12032000,0.69432,-0.94703,-0.88378,-1.47136,-0.09144,-1.94378,0.68029,15.09009,0.07923,-0.54725,-0.54725,0.61922,-0.02661,1.06374,-0.26758,0.52012,3.38585,3.04538
"41","2020_Q4",8.58765625,"Up",13787000,-2924000,10863000,-12066000,-11474000,-1203000,-37000,-37000,-1240000,-1240000,244000,-996000,-1226000,-1351000,-1351000,50528000,50528000,4195000,4195000,1846000,990000,304000,56569000,1499000,31263000,4415000,11037000,34863000,91432000,60344000,11296000,48675000,8274000,2777000,70318000,12749000,11898000,16412000,86730000,5333000,-1130000,-4134000,69000,4702000,91432000,-1226000,588000,2751000,22048000,24161000,-49000,-49000,-49000,-49000,0,24112000,24112000,904000,25016000,-615000,5363000,21140000,0.78792,-0.08726,-0.09799,-0.28732,-0.01478,-15.64767,0.80447,18.44534,0.05866,-0.11946,-0.11946,1.21912,0.0061,1.86931,-0.05922,0.92662,73.43902,37.54364
"42","2021_Q1",13.0754098360656,"Up",12483000,-2795000,9688000,-10585000,-10090000,-897000.000000001,677000,677000,-220000,-220000,368000,148000,702000,727000,727000,63061000,63061000,4519000,4519000,2464000,1303000,931000,70044000,1347000,31009000,5067000,10464000,32356000,102400000,73075000,6996000,65753000,6946000,2688000,82870000,12216000,11859000,13030000,95900000,6239000,-403000,-4059000,1891000,6500000,102400000,702000,508000,-687000,8912000,9435000,821000,-1000,-1000,3428000,-1640000,11223000,11223000,1178000,12401000,-388999.999999999,3663000,8976000,0.7761,-0.0718600000000001,0.0582400000000001,0.11185,0.0071,12.34663,0.84523,14.75385,0.03577,0.06424,0.06424,1.10303,0.15702,0.79314,0.03249,0.40109,152.69409,66.21851
"43","2021_Q2",16.0744444444444,"Up",14284000,-3018000,11266000,-12033000,-11350000,-767000,-166000,-166000,-933000,-933000,-742000,-1675000,-1690000,-1642000,-1642000,70862000,70862000,7293000,7293000,4942000,3376000,1443000,83097000,1152000,30576000,4400000,10982000,31728000,114825000,89871000,8749000,80921000,6793000,2417000,100123000,12820000,12585000,13024000,113147000,4394000,-2045000,-3649000,-2883000,1678000,114825000,-1690000,484000,817000,9453000,9064000,-7000,-7000,-7000,-7000,-1583000,7474000,7474000,270000,7744000,-283000,3663000,9905000,0.78871,-0.0537,-0.11495,-0.97855,-0.0143,-6.03228,0.82995,67.42968,0.0319,-0.14415,-0.14415,1.25397,-0.25309,0.86955,-0.09041,0.5454,237.4523,87.61278
"44","2021_Q3",12.7040625,"Down",19079000,-2522000,16557000,-13081000,-12396000,3476000,684000,684000,4160000,4160000,-1136000,3024000,3053000,3014000,3014000,80962000,80962000,9905000,9905000,5058000,3358000,1616000,95925000,1034000,29841000,3647000,11275000,30875000,126800000,99059000,8503000,90458000,6446000,2213000,105505000,12537000,12499000,15693000,121198000,5103000,969000,-3487000,1002000,5602000,126800000,3053000,476000,585000,8772000,12886000,-77000,-77000,-77000,-77000.0000000005,-3177000,9632000,9632000,427000,10059000,3952000,3156000,13783000,0.86781,0.18219,0.15797,0.53802,0.02377,4.57299,0.9092,21.63477,0.02489,0.26459,0.26459,1.67492,0.08796,1.20999,0.14154,0.64724,-19.68775,-22.38377
"45","2021_Q4",10.5621875,"Down",15688000,-2992000,12696000,-12957000,-12273000,-261000,3344000,3344000,3083000,3083000,-233000,2850000,2831000,2823000,2823000,65204000,65204000,9084000,9084000,6129000,3184000,2882000,80417000,794000,35659000,3637000,17378000,36453000,116870000,92665000,11875000,80729000,5756000,1805000,98421000,11970000,11970000,11970000,110391000,3550000,3792000,-3888000,1871000,6479000,116870000,2831000,448000,-3154000,-12792000,-12667000,60000,-563755.015218955,-111243.055272124,60000,-2357000,-14964000,-14964000,-823000,-15787000,187000,0,-12312000,0.80928,-0.01664,0.17995,0.43572,0.02416,-4.36132,0.81707,17.03828,0,0.24526,0.21497,1.36299,0.16255,-1.06968,0.15302,-0.66735,-348.68449,249.82375
"46","2022_Q1",8.48596774193548,"Down",13661000,-2856000,10805000,-14566000,-14028000,-3761000,144000,144000,-3617000,-3617000,333000,-3284000,-3292000,-3284000,-3284000,43815000,43815000,14871000,14871000,6437000,3041000,3325000,65123000,659000,33945000,3949000,15626000,34604000,99727000,82486000,3411000,78890000,5398000,1733000,87884000,11475000,11475000,11475000,99359000,-947000.000000001,508000,-3793000,-4232000,368000,99727000,-3292000,412000,2777000,-17263000,-17366000,-5000,-1109244.10059388,-106054.671536806,128000,-4041000,-21279000,-21279000,-133000,-21412000,-3349000,0,-20950000,0.79094,-0.27531,-0.24039,-8.92391,-0.03293,6.37942,0.74101,269.99728,0,-0.30278,-0.54916,1.25954,-0.39019,-1.93159,-0.27729,-1.76898,13.08301,11.6498300000001
"47","2022_Q2",6.5691935483871,"Down",18453000,-2832000,15621000,-13702000,-13249000,1919000,1423000,1423000,3342000,3342000,-968000,2374000,2363000,2359000,2359000,35617000,35617000,18163000,18163000,4123000,1513000,2547000,57903000,572000,34408000,3887000,14388000,34980000,92883000,73133000,3453000,69650000,5618000,2317000,78751000,10997000,10997000,10997000,89748000,5083000,2867000,-3931000,-1469000,3135000,92883000,2363000,574000,-940000,-8761000,-6764000,-1138000,-1138000,-89000,-942000,-4241450.43786059,-7706000,-7706000,-524000,-8230000,2493000,0,-6438000,0.84653,0.10399,0.12784,0.75247,0.0254,-2.72912,0.73527,28.62775,0,0.19567,0.19567,1.53061,-0.12185,-0.53401,0.16693,-0.45556,-14.2868,-18.56019
"48","2022_Q3",5.85296875,"Down",17689000,-2163000,15526000,-13745000,-13291000,1781000,195000,195000,1976000,1976000,-928000,1048000,1058000,1028000,1028000,25608000,25608000,14809000,14809000,4206000,1603000,2569000,44623000,550000,33307000,3551000,14068000,33857000,78480000,56696000,1231000,55465000,5143000,2106000,61839000,10576000,10576000,10576000,72415000,7557000,3895000,-4533000,1431000,6065000,78480000,1058000,544000,431000,-12259000,-10226000,-86000,-86000,-86000,-85999.9999999998,1885000,-8427000,-8427000,-1652000,-10079000,2325000,2.91038304567337e-11,-9092000,0.87772,0.10068,0.05812,0.1695,0.0131,-8.84436,0.7216,11.93982,0,0.0821500000000001,0.0813500000000001,1.41365,0.11436,-0.7266,0.06178,-0.54636,-11.01419,-14.37844
