"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q3",62.3565079365079,"Up",339300000,-76500000,262800000,-139200000,-20200000,123600000,-3200000,-11600000,7700000,7e+05,120400000,-699999.999999996,119700000,-4.7e+07,72700000,78300000,78300000,78300000,41800000,41800000,70600000,70600000,96400000,-9.31322574615479e-10,96400000,208800000,602800000,1470400000,847200000,2.1e+07,2073200000,2.282e+09,246700000,110500000,136200000,1.78e+08,91100000,441200000,459900000,779600000,20700000,145300000,613600000,1239500000,1680700000,602800000,601300000,601300000,2.282e+09,78300000,78300000,24800000,9e+06,-9e+06,103100000,-26500000,3700000,-45900000,-3.72529029846191e-09,1.03e+08,-172500000,-172400000,5200000,-64300000,-7100000,-7100000,-6500000,148400000,476400000,159900000,0.77454,0.36428,0.23077,0.13022,0.03431,2.04215,0.47325,2.79511,0.20876,1.62112,1.60123,7.02484,12.44928,3.31056,1.11022302462516e-16,0.04216,0.08609,0,2.92857,3.51618
"29","2017_Q4",70.6574603174603,"Up",539400000,-40800000,498600000,-448600000,-38800000,5e+07,-5200000,-12600000,8900000,-1500000,44800000,-1400000,43400000,-1.6e+07,27400000,16700000,16700000,16700000,57800000,57800000,7.4e+07,7.4e+07,1.03e+08,0,1.03e+08,234800000,619400000,1473200000,848300000,25600000,2092600000,2327400000,208900000,80800000,128100000,185700000,97600000,412300000,510700000,778100000,23100000,140200000,614800000,1288800000,1701100000,627300000,626300000,626300000,2327400000,16700000,16700000,2.4e+07,-7300000,-34600000,-1200000,-25100000,-2200000,-27300000,0,5.2e+07,-1e+05,-1e+05,-2300000,49600000,21100000,21100000,21700000,7.4e+07,528400000,30300000,0.92436,0.0927,0.03096,0.02666,0.00718,1.81437,0.56949,2.71611,0.22703,0.36383,0.35914,11.75163,13.64488,0.66013,0,0.00864,0.01568,0,6.35946,9.412
"30","2018_Q1",83.3847540983607,"Up",-163600000,-475700000,-639300000,626500000,-5900000,-12800000,-8400000,-13300000,2800000,2100000,-21200000,-42200000,-63400000,83500000,20100000,38200000,38200000,38200000,51700000,51700000,49600000,49600000,154800000,35600000,50100000,256100000,6.08e+08,1495300000,317600000,13600000,2103300000,2359400000,166100000,66600000,75800000,283100000,70900000,453200000,632900000,6.33e+08,29300000,40600000,508300000,1265900000,1719100000,634300000,640300000,640300000,2359400000,38200000,38200000,23800000,6700000.00000001,-20800000,47900000,-27800000,-99999.9999999981,-2.9e+07,299999.999999998,13200000,-7700000.00000003,-9800000,-33600000,-27800000,-8899999.99999999,-8900000,-9600000,1.1e+07,636900000,-121100000,3.9077,0.0782400000000001,-0.2335,0.05966,0.01619,-3.17016,0.56509,2.68484,0.26994,0.83589,0.82684,-3.57987,14.01094,-2.64989,-0.00656,0.01984,-0.0634,-0.00785000000000002,53.2,-45.71875
"31","2018_Q2",91.70796875,"Up",189300000,-35900000,153400000,-132300000,-18400000,21100000,-3e+06,-9600000,6500000,1e+05,18100000,-1400000,16700000,-2600000,14100000,1.82e+08,1.82e+08,1.82e+08,202700000,202700000,34600000,34600000,57500000,0,57500000,294800000,634900000,671300000,317600000,12500000,1306200000,1.601e+09,165200000,68200000,9.7e+07,120200000,91500000,289400000,390100000,577900000,2.5e+07,43800000,509100000,9.68e+08,1257400000,344500000,343600000,343600000,1.601e+09,1.82e+08,1.82e+08,13800000,-216400000,76500000,55900000,-3.4e+07,0,936700000,-23700000,-2.43e+08,-514400000,-514400000,-62700000,-843800000,148800000,148800000,148700000,34900000,394100000,8e+07,0.81035,0.11146,0.96144,0.52969,0.11368,0.43956,1.01866,3.65949,0.24616,4.21296,4.18391,4.38194,7.9537,1.85185,0.54861,0.15635,0.06081,0.13022,5.48424,9.07109
"32","2018_Q3",92.9222222222222,"Up",379400000,-85299999.9999999,294100000,-155400000,-23100000,138700000,-600000.000000001,-9700000,8800000,3e+05,138100000,-2099999.99999999,1.36e+08,-32800000,103200000,103100000,103100000,103100000,254600000,254600000,37300000,37300000,62200000,-3.72529029846191e-09,62200000,354100000,668500000,6.74e+08,317600000,13100000,1342500000,1696600000,2.25e+08,105300000,119700000,45100000,13600000,274100000,3.89e+08,580300000,21100000,48600000,510600000,969300000,1243400000,448100000,453200000,453200000,1696600000,103100000,103100000,15300000,8700000,-20700000,106400000,-38400000,-5899999.99999999,-44299999.9999998,2e+05,-1099999.99999997,-3e+05,-299999.999999881,1e+05,-1099999.99999988,6.1e+07,6.1e+07,60500000,1.54e+08,3.93e+08,127700000,0.77517,0.36558,0.27174,0.22749,0.06077,1.2386,1.29186,2.7436,0.23164,2.54568,2.52696,9.3679,11.19012,3.15309,-0.00493999999999994,0.07213,0.08952,-0.00193999999999997,0.898700000000005,0.997840000000005
"33","2018_Q4",86.5949206349206,"Down",221300000,-419700000,-198400000,224300000,-21900000,25900000,-7e+05,-9900000,9100000,1e+05,25200000,49500000,74700000,-16700000,5.8e+07,56300000,56300000,56300000,131300000,131300000,33800000,33800000,65200000,0,65200000,230300000,753400000,7.28e+08,337800000,17500000,1481400000,1711700000,164400000,80900000,83500000,42500000,12800000,210900000,388200000,597900000,21100000,66400000,510400000,986100000,1.197e+09,504100000,514700000,514700000,1711700000,56300000,56300000,16700000,-37300000,-62600000,-26900000,-53100000,-3500000,-43500000,0,-55600000,0,0,1400000,-54200000,-124600000,-124600000,-124600000,42600000,392200000,-56400000,-0.89652,0.11704,0.25441,0.10938,0.03289,-1.00178,1.09199,2.32563,0.22913,1.3799,1.36983,5.42402,12.6152,-1.38235,0,0.03741,-0.03748,0,6.12441,10.07336
"34","2019_Q1",88.0822950819672,"Up",2.19e+08,-178400000,40600000,-27200000,-27200000,13400000,-5500000,-10900000,5200000,2e+05,7900000.00000001,-1400000,6500000,8e+05,7300000,11400000,11400000,11400000,133300000,133300000,28800000,28800000,79400000,1.7e+07,62400000,241500000,757500000,726200000,3.38e+08,16100000,1483700000,1725200000,175100000,62800000,89800000,77500000,47900000,256600000,387300000,6.08e+08,21100000,78200000,508700000,995300000,1251900000,474200000,473300000,473300000,1725200000,11400000,11400000,17800000,17200000,1.6e+07,62400000,-23900000,969800000,-24800000,-199999.999999998,-999999.99999997,-16700000,-16700000,-16300000,-34200000,3399999.99999999,3400000.00000003,3199999.99999999,31200000,391300000,22500000,0.18539,0.06119,0.05205,0.02409,0.00661,1.97368,0.94115,2.64505,0.22681,0.2801,0.27805,5.38084,11.62899,0.55283,0.00491,0.00788,0.01528,0.01754,8.26923,19.25373
"35","2019_Q2",99.0103174603175,"Up",265400000,-2.09e+08,56400000,-24900000,-24900000,31500000,-9600000,-13700000,4100000,0,21900000,-3500000,18400000,-6500000,11900000,11600000,11600000,11600000,119700000,119700000,47500000,47500000,92200000,16700000,75500000,259400000,866500000,1352600000,363800000,18100000,2219100000,2478500000,166200000,88200000,7.8e+07,127500000,96800000,297700000,386500000,1337400000,2.1e+07,1.94e+08,1122400000,1723900000,2021600000,457800000,456900000,456900000,2478500000,11600000,11600000,20800000,13400000,24500000,70300000,-28100000,-419700000,-619100000,-22200000,5.99e+08,-34100000,-34100000,-9800000,532900000,-15900000,-15900000,-15900000,52300000,390500000,55200000,0.21251,0.11869,0.04371,0.02539,0.00468,4.75862,0.87135,4.4246,0.15755,0.28713,0.28571,6.56931,11.30941,1.36634,0.5495,0.01547,0.02527,1.91379,5.17782,8.59683
"36","2019_Q3",119.0165625,"Up",477400000,-290300000,187100000,-30100000,-30100000,1.57e+08,-9500000,-19400000,9500000,4e+05,147500000,-6e+05,146900000,-38600000,108300000,107100000,107100000,107100000,202700000,202700000,72800000,72800000,7.3e+07,0,7.3e+07,348500000,8.8e+08,1.36e+09,363800000,19700000,2.24e+09,2588500000,260100000,140200000,119900000,44700000,15100000,308800000,385600000,1340800000,17200000,199900000,1123700000,1726400000,2035200000,551300000,553300000,553300000,2588500000,107100000,107100000,21500000,9800000,5600000,1.44e+08,-30700000,-3300000.00000024,-34800000,3.72529029846191e-09,-999999.999999881,-11400000,-11400000,-8700000,-21100000,88100000,88100000,88100000,178500000,389600000,1.92e+08,0.39191,0.32886,0.22434,0.19357,0.04138,1.79272,1.12856,3.67829,0.15051,2.66418,2.625,11.87562,13.76368,4.77612,1.11022302462516e-16,0.0469,0.08407,0,1.04706,1.19045
"37","2019_Q4",128.61359375,"Up",306300000,-243200000,63100000,-34400000,-34400000,28700000,-4600000,-18900000,14100000,2e+05,24100000,-9e+05,23200000,-8e+06,15200000,14800000,14800000,14800000,189800000,189800000,35400000,35400000,76700000,1400000,75300000,301900000,895200000,1365400000,363800000,20800000,2260600000,2562500000,226600000,102100000,124500000,45200000,14100000,275800000,384800000,1351500000,17400000,209800000,1124300000,1736300000,2012100000,551300000,550400000,550400000,2562500000,14800000,14800000,2.2e+07,18700000,-9600000,45900000,-32200000,-4500000,-36700000,0,-1e+06,-21300000,-21300000,1400000,-20900000,-11700000,-11700000,-11700000,50700000,388800000,16900000,0.20601,0.0937,0.04832,0.02689,0.00578,1.14189,1.09463,3.6557,0.15173,0.37,0.36364,7.6575,13.76,0.4225,0,0.00646,0.00738,0,3.92505,6.9338
"38","2020_Q1",127.75435483871,"Down",280600000,-244200000,36400000,-32600000,-32600000,3800000,4400000,-18900000,22900000,4e+05,8199999.99999999,-3e+05,7900000,-3700000,4200000,3700000,3999999.99999999,3999999.99999999,96200000,96200000,37300000,37300000,87700000,14500000,73200000,221200000,937300000,1392500000,367100000,21100000,2329800000,2.551e+09,254700000,57800000,173400000,42500000,42500000,301200000,1469900000,268900000,16700000,212800000,39400000,1738800000,2.04e+09,509200000,508300000,5.11e+08,2.551e+09,6100000,3699999.99999999,32100000,8300000,-14200000,32300000,-40200000,426300000,-90600000,1.86264514923096e-09,-1e+06,-28200000,-28200000,-9e+05,-30100000,-88400000,-88400000,-91300000,35900000,1473900000,-14800000,0.12972,0.01354,0.01426,0.00783000000000001,0.00157,-3.7,0.7344,3.99217,0.57777,0.1005,0.0992599999999997,7.05025,12.77136,-0.37186,0,0.00177,-0.00657,0,38.37604,362.55263
"39","2020_Q2",112.82380952381,"Down",252900000,-222600000,30300000,-24100000,-24100000,6200000,-22600000,-19300000,-3300000,634256.12530223,-16400000,-17800000,-34200000,11600000,-22600000,-23500000,-23400000,-23400000,700900000,700900000,36500000,36500000,105600000,25200000,80400000,8.43e+08,990800000,1.37e+09,367100000,21800000,2360800000,3203800000,2.42e+08,80600000,161400000,98100000,98100000,344100000,1071600000,1352500000,16700000,210900000,1124900000,2424100000,2768200000,433900000,4.33e+08,435600000,3203800000,-23500000,-23500000,2.2e+07,26600000,18400000,43500000,-48300000,334591325.183396,-48300000,-23400000,687400000,-28400000,-28400000,-28800000,606800000,6.02e+08,6.02e+08,6.02e+08,28200000,1075600000,-13300000,0.11981,0.02452,-0.09253,-0.05372,-0.0073,0.56838,2.44987,6.35491,0.33573,-0.58942,-0.58942,6.37028,10.9068,-0.33501,0.58942,0,-0.00464,-1,13.28723,60.43548
"40","2020_Q3",153.65296875,"Up",185100000,-162900000,22200000,-22400000,-22400000,-2e+05,-31100000,-20300000,-11100000,3e+05,-31300000,-199999.999999996,-31500000,7900000,-23600000,-118800000,-118800000,-118800000,649200000,649200000,47500000,47500000,1.21e+08,36800000,84200000,817700000,1043200000,1355100000,366800000,22100000,2398300000,3.216e+09,270400000,105800000,164600000,213800000,89800000,488200000,1077100000,1.328e+09,15100000,1.88e+08,1124900000,2405100000,2893300000,314900000,320100000,322700000,3.216e+09,-118800000,-118800000,22100000,0,130100000,33400000,-8.3e+07,-500000.000000238,-83500000,0,5300000,0,0,-699999.999999996,4600000,-45499999.9999999,-45499999.9999999,-45500000,21900000,1081100000,61100000,0.11994,-0.00108000000000001,-0.64182,-0.36814,-0.03694,-0.51431,1.67493,8.96591,0.33616,-3.00759,-3.00759,4.68608,8.1038,1.54684,0,-0.04349,0.02237,0,19.72146,-2159.5
"41","2020_Q4",180.12609375,"Up",337800000,-2.49e+08,88800000,-38800000,-38800000,5e+07,7500000,-19700000,27600000,-4e+05,57500000,-5e+05,5.7e+07,-13900000,43100000,43100000,43200000,43200000,6.22e+08,6.22e+08,5.3e+07,5.3e+07,131599999,40700000,90899999,806599999,1081800000,1374600000,366800000,2.2e+07,2456400000,3262999999,300600000,108200000,192400000,166400000,42400000,4.71e+08,1076300000,1343500000,14200000,205400000,1123900000,2419800000,2890800000,357600000,372200000,372200000,3.263e+09,139200000,43100000,22400000,3.7e+07,-136900000,61700000,-78800000,-2200000,-8.1e+07,0,-1100000,0,0,2300000,1200000,-18100000,-18100000,-19400000,72400000,1080300000,-129400000,0.26288,0.14802,0.12789,0.11607,0.01324,-2.99537,1.71253,7.76679,0.33108,1.09091,1.09091,8.5303,9.39899,-3.26768,0,0.01545,-0.04628,0,6.33011,9.166
"42","2021_Q1",218.793770491803,"Up",278200000,-2.26e+08,52200000,-29500000,-29500000,22700000,-5999999.99999999,-20700000,14500000,2e+05,16700000,0,16700000,-299999.999999996,16400000,17100000,17100000,17100000,67400000,67400000,36500000,36500000,131200000,49400000,81800000,235100000,1082100000,1369200000,366800000,21200000,2451300000,2686400000,263400000,70700000,167800000,156799999,32799999,424199999,1618300000,276800000,17100000,213900000,45800000,1895100000,2319299999,349800000,367100000,367100000,2686399999,16400000,17100000,26400000,20200000,-58400000,4600000,-24100000,-2500000,-26600000,0,-532500000,0,-1.49011611938477e-08,-4100000,-536600000,-558600000,-558600000,-558600000,49100000,1622300000,-33100000,0.18763,0.0816,0.0614700000000001,0.0465800000000001,0.00637,-1.93567,0.55422,6.3179,0.60389,0.43182,0.41106,7.02525,8.81061,-0.83586,0,0.00755000000000001,-0.01461,0,31.66802,68.4977999999999
"43","2021_Q2",204.183333333333,"Down",324300000,-247300000,7.7e+07,-30200000,-30200000,46800000,5600000,-19400000,24900000,1e+05,52400000,-1e+05,52300000,-16200000,36100000,36100000,36100000,36100000,147700000,147700000,45300000,45300000,153800000,69400000,84400000,346800000,1068700000,1371600000,366800000,21700000,2440300000,2787100000,245700000,74700000,1.71e+08,52500000,52500000,305200000,1964300000,315400000,18400000,248800000,48200000,2279700000,2584900000,201400000,202200000,202200000,2787100000,36100000,36100000,2.6e+07,9700000,32400000,104200000,-12300000,-5736481.11206818,-12300000,-24800000,342300000,-193900000,-193900000,-16800000,106800000,198700000,198700000,74700000,72800000,1971300000,109100000,0.23743,0.14431,0.11132,0.17854,0.01295,3.02216,1.1363,12.78388,0.70729,0.92564,0.91162,8.31538,5.18462,2.79744,0.6359,0.02447,0.04383,0.68698,25.04945,38.96581
"44","2021_Q3",202.08359375,"Down",515100000,-335100000,1.8e+08,-33400000,-33400000,146600000,14500000,-2.2e+07,36400000,1e+05,161100000,-11200000,149900000,-41600000,108300000,108300000,108300000,108300000,342200000,342200000,50400000,50400000,1.4e+08,39100000,100900000,532600000,1057599999,1380400000,366800000,20800000,2437999999,2970599999,339400000,124500000,214900000,23100000,23100000,369500000,1963100000,320600000,14400000,250500000,55700000,2283700000,2653200000,309500000,317400000,317400000,2970600000,108300000,88797871.003861,2.6e+07,13500000,82300000,230100000,-17300000,-899999.999999996,-18200000,0,5e+06,0,2.98023223876953e-08,-1200000,3800000,215700000,215700000,215700000,172600000,1970100000,279200000,0.34945,0.2846,0.21025,0.34121,0.03646,2.57802,1.44141,8.35917,0.6632,2.77692,2.73485,13.20769,8.13846,7.15897,0,0.04152,0.10705,0,9.43163,11.10437
"45","2021_Q4",236.165625,"Up",3.93e+08,-342974047.405448,176135578.81434,-325400000,-36100000,67600000,20100000,-21700000,41700000,1e+05,87700000,-5198964.74420532,87700000,-26300000,61400000,61400000,61400000,61400000,315700000,315700000,50600000,50600000,161800000,54700000,107100000,528100000,1053400000,1.392e+09,366800000,20800000,2445400000,2973500000,319800000,92400000,227400000,25700000,25700000,352500000,1.962e+09,320200000,13300000,255900000,5.1e+07,2282200000,2634700000,339700000,338800000,338800000,2973500000,61400000,124697161.338481,25900000,6100000,-36700000,56700000,-22500000,-2200000,-24700000,0,-9100000,-48500000,-48500000,5e+05,-57100000,-25100000,-149100000,-25100000,93500000,1.969e+09,60600000,0.341571345867129,0.17201,0.15623,0.18123,0.02065,0.98697,1.49816,7.77656,0.66218,1.59067,1.56633,10.18135,8.7772,1.56995,0,0.02336,0.02306,0,17.68235,24.4571
"46","2022_Q1",219.155967741935,"Down",364800000,-295737121.076194,109052641.063671,250500000,-38800000,46600000,1.9e+07,-21600000,40200000,4e+05,65600000,-11900000,53700000,-10400000,43300000,43300000,43300000,43300000,291300000,291300000,42300000,42300000,167900000,6.6e+07,101900000,501500000,994900000,1485200000,366800000,106700000,2480100000,2981600000,340300000,81600000,231700000,47700000,47700000,3.95e+08,1.961e+09,318800000,13300000,252900000,52600000,2279800000,2674800000,307700000,306800000,306800000,2981600000,43300000,117797871.003861,25300000,4e+05,-5e+05,68500000,-39700000,-5500000,-45200000,0,1200000,-55100000,-55100000,-1e+05,-5.4e+07,-30700000,93299999.9999999,-30700000,71900000,1.968e+09,42100000,0.271118038279082,0.12774,0.1187,0.14113,0.01452,0.97229,1.26962,8.71838,0.66005,1.12176,1.10459,9.45078,7.94819,1.09067,-5.55111512312578e-17,0.01669,0.01623,-5.55111512312578e-17,23.31989,35.98069
"47","2022_Q2",198.220806451613,"Down",364100000,-270900000,93200000,-35900000,-35900000,57300000,11200000,-21300000,32500000,591830.1481917,68500000,-9900000,58600000,-16500000,42100000,42100000,42100000,42100000,294500000,294500000,4.6e+07,4.6e+07,179800000,59800000,1.2e+08,520300000,1035800000,1480800000,366800000,18800000,2516600000,3036900000,321200000,96900000,224300000,1.04e+08,1.04e+08,432200000,1959900000,3.27e+08,13300000,263100000,50600000,2286900000,2719100000,318700000,317800000,317800000,3036900000,42100000,42100000,25100000,32700000,35300000,135200000,-55500000,-7300000,-62800000,-25700000,-4800000,-24300000,-24300000,-13200000,-6.8e+07,4400000,4400000,4400000,82400000,1966900000,78700000,0.25597,0.15737,0.11563,0.13247,0.01386,1.86936,1.20384,8.55601,0.64767,1.09922,1.07949,9.50653,8.29765,2.05483,0.67102,0.02596,0.03013,0.61045,20.29612,29.18674
"48","2022_Q3",203.2553125,"Up",582500000,-343200000,239300000,-38400000.0000001,-38400000,200900000,5600000,-35100000,40500000,2e+05,206500000,273400000,479900000,-140600000,339300000,339300000,339300000,339300000,310200000,310200000,65400000,65400000,1629300000,27928314.5180378,1629300000,2004900000,1130100000,1484600000,366800000,23400000,2614700000,4619600000,509300000,139100000,370200000,12100000,12100000,528400000,3154300000,3.34e+08,10900000,273300000,49800000,3488300000,4016700000,603800000,602900000,602900000,4619600000,339300000,-128396451.673102,26100000,-257100000,137300000,245600000,-111600000,2.79e+08,167400000,0,1198300000,-60200000,-60200000,-11600000,1126500000,1539500000,1539500000,1539500000,2.27e+08,3161300000,393300000,0.41082,0.34489,0.58249,0.56278,0.07345,1.15915,3.79428,6.6623,0.68432,8.85901,8.7,15.20888,15.74151,10.26893,0,0.08279,0.09597,0,12.55991,14.19164
