"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",45.8879365079365,"Down",2.2235e+10,1.2471e+10,1.4694e+10,-2.223e+09,9.764e+09,5.45e+08,6.826e+09,2.393e+09,-5.55e+08,2.168e+10,-1.3541e+10,-2.499e+09,-1.1042e+10,8.139e+09,8.139e+09,8.139e+09,-2.245e+09,5.894e+09,5.894e+09,-3.8e+07,5.856e+09,-4.06e+08,5.45e+09,2.0248e+10,2.64706e+11,5.32352e+11,9.4635e+11,-1.1073e+10,9.57423e+11,8.403e+09,2.6573e+10,1.32239e+11,1.930871e+12,1.30583e+12,9.33064e+11,3.72766e+11,9.5356e+10,2.38869e+11,8.4671e+10,1.724726e+12,2.5785e+10,6.9825e+10,-2.5675e+10,1.39524e+11,-4.229e+09,2.0523e+11,9.15e+08,2.06145e+11,1.930871e+12,5.894e+09,1.241e+09,5.55e+08,3.0326e+10,-4.2342e+10,-4.326e+09,1.455e+09,5.538e+09,5.699e+09,-2.704e+09,1.0031e+10,-2.255e+09,-1.3685e+10,-1.46e+09,-1.9614e+10,-76000000.0000001,-3.709e+10,-3.1385e+10,-3.1385e+10,-3.1385e+10,9.38e+09,3.34225e+11,-2.9262e+10,0.36604,0.24511,0.02644,0.00282,-5.36917,8.36657,0.1731,1.09221,1.08184,4.456,35.96164,-5.86425,0.45191,0.00399,-0.01515,0.41376,33.47303,38.57685
"31","2017_Q4",49.0984126984127,"Up",2.1849e+10,1.2449e+10,1.5044e+10,-2.595e+09,9.4e+09,6.49e+08,6.762e+09,1.989e+09,-7.17e+08,2.1132e+10,-1.4351e+10,-2.553e+09,-1.1798e+10,6.781e+09,6.781e+09,6.781e+09,-2.181e+09,4.6e+09,4.6e+09,-5.8e+07,4.542e+09,-4.11e+08,4.131e+09,1.9206e+10,2.73105e+11,5.37947e+11,9.40795e+11,-1.1078e+10,9.51873e+11,8.449e+09,2.6581e+10,1.28856e+11,1.934939e+12,1.306706e+12,9.40178e+11,3.66528e+11,9.3811e+10,2.38893e+11,8.8705e+10,1.728115e+12,2.5576e+10,6.9895e+10,-2.7772e+10,1.41761e+11,-3.531e+09,2.05929e+11,8.95e+08,2.06824e+11,1.934939e+12,4.6e+09,1.316e+09,7.17e+08,4.4581e+10,-4.1682e+10,9.532e+09,1.201e+09,-2.31e+08,2.815e+09,2.887e+09,6.652e+09,-2.309e+09,-3.379e+09,-2.418e+09,8.76e+08,-4.8e+07,-7.278e+09,8.906e+09,8.906e+09,8.906e+09,8.097e+09,3.32704e+11,-3.0203e+10,0.31036,0.18907,0.01997,0.00213,-7.3113,8.35549,0.17195,0.83478,0.82673,4.41519,36.44526,-6.10334,0.4666,0.00333,-0.01561,0.55894,38.7178,46.23182
"32","2018_Q1",51.9634426229508,"Up",2.205e+10,1.2313e+10,1.4958e+10,-2.645e+09,9.737e+09,7.28e+08,6.842e+09,2.167e+09,-6.51e+08,2.1399e+10,-1.68e+10,-2.665e+09,-1.4135e+10,4.599e+09,4.599e+09,4.599e+09,1.642e+09,6.241e+09,6.241e+09,-9e+07,6.151e+09,-4.11e+08,5.74e+09,2.3367e+10,2.72605e+11,5.72113e+11,9.45766e+11,-1.1004e+10,9.5677e+11,8.847e+09,2.6587e+10,1.02472e+11,1.951757e+12,1.335991e+12,9.62269e+11,3.73722e+11,1.03256e+11,2.2502e+11,7.9411e+10,1.743678e+12,2.5358e+10,7.0029e+10,-2.9892e+10,1.45263e+11,-3.822e+09,2.06936e+11,1.143e+09,2.08079e+11,1.951757e+12,6.241e+09,1.612e+09,6.51e+08,3.6632e+10,-4.4861e+10,275000000.000002,1.023e+09,-1.0668e+10,-1.2235e+10,-5.759e+09,-2.7936e+10,-2.278e+09,-6.117e+09,-2.539e+09,2.9285e+10,4.6e+07,1.8397e+10,-9.264e+09,-9.264e+09,-9.264e+09,6.211e+09,3.28276e+11,-3.9269e+10,0.20857,0.26032,0.02759,0.00294,-6.84129,8.37988,0.1682,1.16873,1.15626,4.48965,36.97147,-7.99564,0.46383,0.00411,-0.02012,0.39686,49.09177,66.29898
"33","2018_Q2",47.1965625,"Down",2.1934e+10,1.2238e+10,1.5347e+10,-3.109e+09,9.696e+09,1.027e+09,6.564e+09,2.105e+09,-1.91e+08,2.1743e+10,-1.5042e+10,-2.768e+09,-1.2274e+10,6.701e+09,6.701e+09,6.701e+09,-1.374e+09,5.327e+09,5.327e+09,-1.91e+08,5.136e+09,-4.03e+08,4.733e+09,1.8145e+10,2.578e+11,5.6988e+11,9.36935e+11,-1.0373e+10,9.47308e+11,8.828e+09,2.6445e+10,9.7355e+10,1.915388e+12,1.303689e+12,9.33604e+11,3.70085e+11,9.7207e+10,2.27302e+11,8.128e+10,1.709478e+12,2.6227e+10,6.9535e+10,-3.1246e+10,1.47928e+11,-7.492e+09,2.04952e+11,9.58e+08,2.0591e+11,1.915388e+12,5.327e+09,1.431e+09,1.91e+08,2.8931e+10,-2.065e+10,1.523e+10,9.35e+08,-8.22e+08,8.101e+09,1.947e+09,1.0161e+10,-2.285e+09,-1.273e+09,-2.647e+09,-3.2276e+10,-4.62e+08,-3.8943e+10,-1.3552e+10,-1.3552e+10,-1.3552e+10,8.132e+09,3.24509e+11,-1.0209e+10,0.30551,0.21578,0.02299,0.00247,-2.15698,8.30206,0.16942,0.96875,0.9599,4.48943,36.58125,-2.08957,0.46769,0.00366,-0.00533,0.48278,37.67388,45.71915
"34","2018_Q3",50.6446031746032,"Up",2.1553e+10,1.2541e+10,1.6015e+10,-3.474e+09,9.012e+09,5.27e+08,6.685e+09,1.8e+09,-4.52e+08,2.1101e+10,-1.3982e+10,-2.642e+09,-1.134e+10,7.119e+09,7.119e+09,7.119e+09,-1.81e+09,5.309e+09,5.309e+09,-1.23e+08,5.186e+09,-3.94e+08,4.792e+09,2.045e+10,2.23183e+11,5.74735e+11,9.34072e+11,-1.0193e+10,9.44265e+11,8.882e+09,2.6429e+10,9.1949e+10,1.8797e+12,1.268864e+12,9.03843e+11,3.65021e+11,1.04496e+11,2.19284e+11,8.0987e+10,1.673631e+12,2.5737e+10,6.878e+10,-3.262e+10,1.50803e+11,-7.512e+09,2.05188e+11,8.81e+08,2.06069e+11,1.8797e+12,5.309e+09,1.404e+09,4.52e+08,2.6181e+10,-3.4195e+10,-849000000.000002,1.019e+09,4.027e+09,-2.051e+09,-2.445e+09,5.5e+08,-2.309e+09,1.516e+09,-2.859e+09,-3.4825e+10,-1.7e+08,-3.8647e+10,-3.8946e+10,-3.8946e+10,-3.8946e+10,8.523e+09,3.2378e+11,-2.2843e+10,0.3303,0.22234,0.02325,0.00255,-4.7669,8.1217,0.17225,0.98483,0.978,4.42949,36.88006,-4.6946,0.47454,0.00378,-0.01215,0.48184,35.58958,42.60851
"35","2018_Q4",45.774126984127,"Down",2.1941e+10,1.2572e+10,1.6364e+10,-3.792e+09,9.369e+09,6.31e+08,6.702e+09,2.036e+09,-5.8e+08,2.1361e+10,-1.3763e+10,-2.427e+09,-1.1336e+10,7.598e+09,7.598e+09,7.598e+09,-1.512e+09,6.086e+09,6.086e+09,-7.9e+07,6.007e+09,-5.54e+08,5.453e+09,1.8791e+10,2.24203e+11,5.72422e+11,9.32279e+11,-1.0021e+10,9.423e+11,8.802e+09,2.6425e+10,9.0059e+10,1.872981e+12,1.266594e+12,9.13725e+11,3.52869e+11,1.05451e+11,2.21323e+11,7.9934e+10,1.673302e+12,2.3482e+10,6.9874e+10,-4.0538e+10,1.54576e+11,-8.653e+09,1.98741e+11,9.38e+08,1.99679e+11,1.872981e+12,6.086e+09,1.387e+09,5.8e+08,2.7485e+10,-2.888e+10,6.658e+09,8.27e+08,-1.99e+08,9.62e+08,-1.8e+09,-2.2e+08,-2.347e+09,3.93e+09,-9.43e+09,-2.27e+09,-2.47e+08,-1.0364e+10,-3.926e+09,-3.926e+09,-3.926e+09,8.985e+09,3.26774e+11,-1.7556e+10,0.34629,0.24853,0.02731,0.00291,-3.21951,8.37996,0.17447,1.13984,1.13058,4.58633,36.63441,-3.66973,0.49059,0.00416,-0.00937,0.43041,34.27746,40.53475
"36","2019_Q1",44.3906557377049,"Down",2.098e+10,1.2644e+10,1.6921e+10,-4.277e+09,8.336e+09,39999999.9999999,5.834e+09,2.462e+09,-5.21e+08,2.0459e+10,-1.3339e+10,1.249e+09,-1.4588e+10,7.12e+09,7.12e+09,7.12e+09,-9.66e+08,6.154e+09,6.154e+09,-9e+07,6.064e+09,-3.53e+08,5.711e+09,2.3551e+10,2.29943e+11,5.73096e+11,9.43335e+11,-9.775e+09,9.5311e+11,8.92e+09,2.6418e+10,9.062e+10,1.895883e+12,1.28617e+12,9.36636e+11,3.49534e+11,1.05787e+11,2.29044e+11,7.7816e+10,1.698817e+12,2.3214e+10,6.9821e+10,-4.7194e+10,1.58163e+11,-7.838e+09,1.96166e+11,9e+08,1.97066e+11,1.895883e+12,6.154e+09,1.371e+09,5.21e+08,3.469e+10,-2.7702e+10,1.5034e+10,8.11e+08,-1.4527e+10,1.2252e+10,-1.6791e+10,-1.8245e+10,-2.373e+09,5.388e+09,-7.215e+09,2.1337e+10,-1.62e+08,1.6975e+10,1.3764e+10,1.3764e+10,1.3764e+10,8.491e+09,3.34831e+11,-1.7434e+10,0.33937,0.27221,0.02898,0.00301,-3.05271,8.62055,0.17661,1.22467,1.21513,4.49896,37.0879,-3.73855,0.50887,0.00426,-0.0092,0.41551,36.65999,43.7191
"37","2019_Q2",42.5620634920635,"Down",2.1609e+10,1.2311e+10,1.7003e+10,-4.692e+09,9.298e+09,1.296e+09,6.181e+09,1.821e+09,-8.45e+08,2.0764e+10,-1.3916e+10,-2.845e+09,-1.1071e+10,6.848e+09,6.848e+09,6.848e+09,-8.81e+08,5.967e+09,5.967e+09,-1.07e+08,5.86e+09,-3.53e+08,5.507e+09,2.065e+10,2.26939e+11,5.72704e+11,9.38349e+11,-9.9e+09,9.48249e+11,8.825e+09,2.642e+10,9.3905e+10,1.887792e+12,1.264013e+12,9.22614e+11,3.41399e+11,1.06597e+11,2.36339e+11,8.211e+10,1.689059e+12,2.3214e+10,6.9545e+10,-5.0519e+10,1.60776e+11,-5.184e+09,1.97832e+11,9.01e+08,1.98733e+11,1.887792e+12,5.967e+09,1.449e+09,8.45e+08,1.7776e+10,-1.8086e+10,7.951e+09,7.07e+08,4.695e+09,-1.5335e+10,9.07e+08,-9.026e+09,-2.291e+09,6.25e+09,-4.639e+09,-2.2161e+10,-4.03e+08,-2.3244e+10,-2.4319e+10,-2.4319e+10,-2.4319e+10,8.297e+09,3.42936e+11,-8.201e+09,0.3169,0.25485,0.02771,0.00292,-1.4892,8.49914,0.18166,1.20993,1.20135,4.74767,38.36493,-1.80182,0.50335,0.00413,-0.00434,0.41602,38.84368,47.06279
"38","2019_Q3",43.3278125,"Up",2.1584e+10,1.2095e+10,1.6986e+10,-4.891e+09,9.489e+09,8.71e+08,6.599e+09,2.019e+09,-5.03e+08,2.1081e+10,-1.3449e+10,-2.597e+09,-1.0852e+10,7.632e+09,7.632e+09,7.632e+09,-1.294e+09,6.338e+09,6.338e+09,-1.32e+08,6.206e+09,-3.58e+08,5.848e+09,2.088e+10,2.55666e+11,5.81286e+11,9.40186e+11,-9.692e+09,9.49878e+11,9.435e+09,2.6415e+10,8.952e+10,1.923388e+12,1.288426e+12,9.47613e+11,3.40813e+11,1.15344e+11,2.41476e+11,6.9706e+10,1.723351e+12,2.3021e+10,6.9761e+10,-5.4775e+10,1.64551e+11,-3.516e+09,1.99042e+11,9.95e+08,2.00037e+11,1.923388e+12,6.338e+09,1.651e+09,5.03e+08,2.4401e+10,-3.3562e+10,-6.69e+08,6.98e+08,6.223e+09,-9.382e+09,-8.237e+09,-1.0698e+10,-2.374e+09,1.0041e+10,-4.837e+09,2.4099e+10,-1.03e+08,2.6826e+10,1.5459e+10,1.5459e+10,1.5459e+10,9.283e+09,3.5682e+11,-2.2287e+10,0.3536,0.27094,0.02923,0.00304,-3.81105,8.61516,0.18552,1.3086,1.30065,4.82982,39.38799,-4.98713,0.53123,0.00427,-0.01159,0.40595,36.18873,44.0173
"39","2019_Q4",48.66609375,"Up",2.201e+10,1.1625e+10,1.6499e+10,-4.874e+09,1.0385e+10,1.235e+09,6.121e+09,3.029e+09,-6.95e+08,2.1315e+10,-1.5199e+10,4.86e+08,-1.5685e+10,6.116e+09,6.116e+09,6.116e+09,-1.304e+09,4.812e+09,4.812e+09,-2.02e+08,4.61e+09,-5.73e+08,4.037e+09,2.2401e+10,2.29381e+11,6.06861e+11,9.452e+11,-9.715e+09,9.54915e+11,9.315e+09,2.6388e+10,1.04404e+11,1.94395e+12,1.308495e+12,9.53236e+11,3.55259e+11,1.23908e+11,2.30651e+11,7.6532e+10,1.749534e+12,2.1549e+10,7.0002e+10,-6.1785e+10,1.6632e+11,-2.782e+09,1.93304e+11,1.112e+09,1.94416e+11,1.94395e+12,4.812e+09,1.84e+09,6.95e+08,3.12e+10,-5.1522e+10,-1.2975e+10,5.87e+08,-1.1573e+10,1.0715e+10,-7.11e+09,-7.381e+09,-2.458e+09,-3.89e+09,-8.884e+09,2.0067e+10,-1.75e+08,4.66e+09,-1.5696e+10,-1.5696e+10,-1.5696e+10,7.956e+09,3.54559e+11,-4.1675e+10,0.27787,0.18342,0.02076,0.00208,-10.32326,8.99892,0.18239,0.92658,0.91995,5.05176,39.42138,-9.56529,0.56416,0.00334,-0.02144,0.60887,41.74937,54.30968
"40","2020_Q1",39.8817741935484,"Down",2.1629e+10,1.1272e+10,1.5667e+10,-4.395e+09,1.0357e+10,5.74e+08,6.48e+09,3.303e+09,-6.44e+08,2.0985e+10,-1.5614e+10,-1.789e+09,-1.3825e+10,5.371e+09,5.371e+09,5.371e+09,-2.282e+09,3.089e+09,3.089e+09,-5e+07,3.039e+09,-3.28e+08,2.711e+09,2.1757e+10,2.21633e+11,6.03888e+11,9.52714e+11,-9.551e+09,9.62265e+11,9.309e+09,2.639e+10,9.1864e+10,1.927555e+12,1.322626e+12,9.7813e+11,3.44496e+11,1.04512e+11,2.28191e+11,7.5163e+10,1.739571e+12,2.1549e+10,7.0185e+10,-6.8831e+10,1.66697e+11,-2.454e+09,1.87146e+11,8.38e+08,1.87984e+11,1.927555e+12,3.089e+09,1.633e+09,6.44e+08,3.8049e+10,-3.0992e+10,1.2423e+10,-1.992e+09,3.881e+09,2.074e+09,-6.489e+09,-2.526e+09,-2.466e+09,-2.1291e+10,-7.723e+09,1.4132e+10,-3e+07,-1.7378e+10,-7.481e+09,-7.481e+09,-7.481e+09,7.004e+09,3.32703e+11,-2.3698e+10,0.24832,0.12534,0.01442,0.00141,-8.74141999999997,9.25382,0.1726,0.64623,0.64043,5.15578,39.47391,-5.64897,0.58783,0.00269,-0.01229,0.909629999999999,44.39549,57.8935
"41","2020_Q2",26.0995238095238,"Down",1.7717e+10,1.1312e+10,1.4727e+10,-3.415e+09,6.405e+09,-1.1e+09,6.263e+09,1.242e+09,-4.005e+09,1.3712e+10,-1.3048e+10,-1.606e+09,-1.1442e+10,6.64e+08,6.64e+08,6.64e+08,-1.59e+08,5.05e+08,5.05e+08,1.48e+08,6.53e+08,-6.11e+08,4.2e+07,2.2738e+10,2.14536e+11,5.8882e+11,9.9858e+11,-1.1263e+10,1.009843e+12,9.108e+09,2.6381e+10,1.21186e+11,1.981349e+12,1.376532e+12,9.96854e+11,3.79678e+11,9.2289e+10,2.37342e+11,7.6238e+10,1.798019e+12,2.1347e+10,6.8985e+10,-7.0215e+10,1.65308e+11,-2.707e+09,1.82718e+11,6.12e+08,1.8333e+11,1.981349e+12,5.05e+08,1.868e+09,4.005e+09,4.2234e+10,-3.1339e+10,1.7273e+10,5e+08,-1.0275e+10,1.7292e+10,-5.182e+10,-4.4303e+10,-2.312e+09,-2.9786e+10,1.5195e+10,5.3903e+10,-4.11e+08,3.6589e+10,9.559e+09,9.559e+09,9.559e+09,2.532e+09,3.29631e+11,-2.8148e+10,0.03748,0.00237,0.00023,2e-05,-670.19048,9.80755,0.16637,0.01023,0.01016,4.31617,39.31276,-6.85734,0.56324,0.00119,-0.01421,55.04762,121.20577,462.18825
"42","2020_Q3",23.758125,"Down",1.8742e+10,9.91e+09,1.1831e+10,-1.921e+09,8.832e+09,1.552e+09,5.613e+09,1.667e+09,-9.534e+09,9.208e+09,-1.4551e+10,-1.676e+09,-1.2875e+10,-5.343e+09,-5.343e+09,-5.343e+09,1.807e+09,-3.536e+09,-3.536e+09,-4.7e+07,-3.583e+09,-3.15e+08,-3.898e+09,2.4704e+10,3.17088e+11,5.66948e+11,9.16229e+11,-1.8926e+10,9.35155e+11,9.025e+09,2.6385e+10,1.08387e+11,1.968766e+12,1.410711e+12,9.77854e+11,4.32857e+11,6.0485e+10,2.30921e+11,7.5159e+10,1.788644e+12,2.1098e+10,6.9059e+10,-6.905e+10,1.59952e+11,-1.673e+09,1.79386e+11,7.36e+08,1.80122e+11,1.968766e+12,-3.536e+09,1.99e+09,9.534e+09,3.9427e+10,-3.1296e+10,1.6119e+10,2.53e+08,3.3016e+10,1.0109e+10,6.0309e+10,1.03687e+11,-2.397e+09,-5.8815e+10,1.9012e+10,3.4182e+10,-93999999.9999999,-8111999999.99999,1.11694e+11,1.11694e+11,1.11694e+11,-3.353e+09,2.91406e+11,-3.6203e+10,-0.28508,-0.20798,-0.02164,-0.00198,9.28758000000005,9.93018,0.14801,-0.94943,-0.95654,4.56498,38.55417,-8.81796,0.58384,-0.00076,-0.01839,-0.614930000000001,-79.54131,-49.9161500000002
"43","2020_Q4",25.07203125,"Up",1.9316e+10,9.379e+09,1.0811e+10,-1.432e+09,9.937e+09,1.274e+09,6.077e+09,2.586e+09,-7.69e+08,1.8547e+10,-1.4511e+10,-1.76e+09,-1.2751e+10,4.036e+09,4.036e+09,3.318e+09,8.3e+07,3.401e+09,3.401e+09,-1.85e+08,3.216e+09,-3.15e+08,2.901e+09,2.5535e+10,2.90539e+11,5.60274e+11,9.00619e+11,-1.9463e+10,9.20082e+11,8.977e+09,2.6387e+10,1.09889e+11,1.92222e+12,1.383215e+12,9.36204e+11,4.47011e+11,5.5224e+10,2.15711e+11,7.2271e+10,1.740188e+12,2.1098e+10,6.9171e+10,-6.8384e+10,1.60913e+11,-1.625e+09,1.81173e+11,8.59e+08,1.82032e+11,1.92222e+12,3.401e+09,2.279e+09,7.69e+08,2.8921e+10,-4.3946e+10,-8.576e+09,2.14e+08,8.186e+09,1.1227e+10,2.3031e+10,4.2658e+10,-6.55e+08,1.8031e+10,-3.9576e+10,-2.7496e+10,-1.19e+08,-4.9815e+10,-1.5733e+10,-1.5733e+10,-1.5733e+10,6.315e+09,2.70935e+11,-3.75e+10,0.20895,0.15019,0.01594,0.00151,-12.92658,9.55979,0.14095,0.70348,0.70348,4.68403,38.81735,-9.09355,0.15883,0.00185,-0.01951,0.22578,38.85986,60.80278
"44","2021_Q1",34.4104918032787,"Up",1.8489e+10,9.355e+09,1.055e+10,-1.195e+09,9.134e+09,9.84e+08,6.305e+09,1.845e+09,1.79e+08,1.8668e+10,-1.4021e+10,-1.664e+09,-1.2357e+10,4.647e+09,4.647e+09,3.866e+09,-5.74e+08,3.292e+09,3.292e+09,-2.01e+08,3.091e+09,-3.5e+08,2.741e+09,2.8236e+10,3.02048e+11,5.87061e+11,8.69121e+11,-1.8516e+10,8.87637e+11,8.895e+09,2.6392e+10,1.31158e+11,1.952911e+12,1.404381e+12,9.37313e+11,4.67068e+11,5.8999e+10,2.1295e+11,7.436e+10,1.767199e+12,2.1136e+10,6.9333e+10,-6.7791e+10,1.62683e+11,-6.81e+08,1.8468e+11,1.032e+09,1.85712e+11,1.952911e+12,3.292e+09,2.082e+09,-1.79e+08,2.0066e+10,-4.8026e+10,-2.2765e+10,-9.67e+08,-2.264e+09,5.886e+09,1.7857e+10,2.0512e+10,-7.78e+08,9.62e+08,-1647999999.99999,2.1166e+10,3.93e+08,2.0095e+10,1.7842e+10,1.7842e+10,1.7842e+10,6.729e+09,2.71949e+11,-4.169e+10,0.25134,0.14825,0.01476,0.0014,-15.20978,9.5158,0.13925,0.66243,0.65222,4.46832,39.52438,-10.0754,0.18802,0.0018,-0.02135,0.283839999999999,36.21831,52.44523
"45","2021_Q2",43.5044444444444,"Up",1.8532e+10,8.808e+09,1.0046e+10,-1.238e+09,9.724e+09,8.91e+08,6.525e+09,2.308e+09,1.048e+09,1.958e+10,-1.3976e+10,-1.388e+09,-1.2588e+10,5.604e+09,5.604e+09,5.591e+09,-9.01e+08,4.69e+09,4.69e+09,-5.4e+07,4.636e+09,-3.8e+08,4.256e+09,2.8339e+10,3.37896e+11,5.91236e+11,8.44644e+11,-1.6928e+10,8.61572e+11,8.76e+09,2.629e+10,1.22378e+11,1.959543e+12,1.437119e+12,9.43032e+11,4.94087e+11,5.892e+10,1.83312e+11,7.6914e+10,1.771195e+12,2.117e+10,6.899e+10,-6.7589e+10,1.66772e+11,-2.125e+09,1.87218e+11,1.13e+09,1.88348e+11,1.959543e+12,4.69e+09,2.15e+09,-1.048e+09,2.3775e+10,-3.3037e+10,-3.47e+09,-958020853.663181,-1.333e+09,-2.522e+09,1.9383e+10,1.5528e+10,-6.59e+08,-1.7116e+10,-5.121e+09,3.3222e+10,-2.63e+08,1.0063e+10,2.2121e+10,2.2121e+10,2.2121e+10,7.754e+09,2.42232e+11,-36072090891.0159,0.3024,0.22966,0.0226,0.00217,18.0411675413215,9.40384,0.12362,1.0277,1.02038,4.47492,40.09562,-8.69513875764443,0.15913,0.00251,-0.0182742511418132,0.15484,27.58486,38.16792
"46","2021_Q3",45.25203125,"Up",2.027e+10,8.8e+09,9.693e+09,-8.93e+08,1.147e+10,2.717e+09,6.725e+09,2.028e+09,1.26e+09,2.153e+10,-1.3345e+10,-1.45e+09,-1.1895e+10,8.185e+09,8.185e+09,8.189e+09,-1.445e+09,6.744e+09,6.744e+09,-7.04e+08,6.04e+09,-2.97e+08,5.743e+09,2.5304e+10,3.19018e+11,6.23527e+11,8.37152e+11,-1.5148e+10,8.523e+11,8.745e+09,2.6194e+10,1.06056e+11,1.945996e+12,1.440472e+12,9.36364e+11,5.04108e+11,4.5635e+10,1.79656e+11,7.2555e+10,1.752869e+12,2.082e+10,6.9154e+10,-6.9038e+10,1.71765e+11,-1.439e+09,1.91262e+11,1.865e+09,1.93127e+11,1.945996e+12,6.744e+09,2.023e+09,-1.26e+09,2.9337e+10,-4.4906e+10,-8.062e+09,3941274.94161272,-1.0012e+10,2.0033e+10,5.255e+09,1.5276e+10,-7.65e+08,-2.0404e+10,-1.915e+09,3.353e+09,-43000000.0000001,-1.9774e+10,-1.256e+10,-1.256e+10,-1.256e+10,1.0208e+10,2.25291e+11,-23491239657.9192,0.4038,0.28333,0.02974,0.00295,12.2457722535682,9.07625,0.11577,1.38676,1.37689,4.8946,41.15664,-5.66350539122827,0.18472,0.00334,-0.0118957961811538,0.13321,19.5912,24.43335
"47","2021_Q4",48.3271875,"Up",1.8834e+10,8.909e+09,9.834e+09,-9.25e+08,9.925e+09,1.244e+09,6.813e+09,1.868e+09,1.395e+09,2.0229e+10,-1.3302e+10,-1.417e+09,-1.1885e+10,6.927e+09,6.927e+09,6.926e+09,-1.521e+09,5.405e+09,5.405e+09,-2.83e+08,5.122e+09,-3.35e+08,4.787e+09,2.5509e+10,3.08985e+11,6.36579e+11,8.4931e+11,-1.3517e+10,8.62827e+11,8.599e+09,2.6191e+10,9.9728e+10,1.954901e+12,1.470379e+12,9.41328e+11,5.29051e+11,4.198e+10,1.62982e+11,7.5513e+10,1.76383e+12,2.027e+10,6.927e+10,-7.4169e+10,1.75709e+11,-2.052e+09,1.89028e+11,2.043e+09,1.91071e+11,1.954901e+12,5.405e+09,1.917e+09,-1.395e+09,1.2951e+10,-2.3688e+10,-4.81e+09,566000000.000001,1.776e+09,6.429e+09,-1.5792e+10,-7.021e+09,-1.046e+09,-1.7339e+10,-6.877e+09,2.9907e+10,-3e+08,4.345e+09,-7.486e+09,-7.486e+09,-7.486e+09,8.844e+09,2.04962e+11,-1.2757e+10,0.36779,0.25417,0.02505,0.00245,-2.66492999999999,9.23128,0.10485,1.18014,1.1703,4.64315,41.60392,-3.14498,0.25787,0.00298,-0.00653,0.21851,20.29093,25.90631
"48","2022_Q1",52.7664516129032,"Up",2.0856e+10,9.262e+09,1.0121e+10,-8.59e+08,1.1594e+10,2.412e+09,6.696e+09,2.486e+09,4.52e+08,2.1308e+10,-1.3132e+10,-1.468e+09,-1.1664e+10,8.176e+09,8.176e+09,8.11e+09,-1.711e+09,6.399e+09,6.399e+09,-6.49e+08,5.75e+09,-2.8e+08,5.47e+09,2.4616e+10,2.75837e+11,6.31895e+11,8.82904e+11,-1.249e+10,8.95394e+11,8.571e+09,2.518e+10,9.9065e+10,1.948068e+12,1.482479e+12,9.54731e+11,5.27748e+11,3.4409e+10,1.60689e+11,7.0957e+10,1.757958e+12,2.0057e+10,6.9332e+10,-7.9757e+10,1.80322e+11,-2.348e+09,1.87606e+11,2.504e+09,1.9011e+11,1.948068e+12,6.399e+09,1.8e+09,-4.52e+08,2.0556e+10,-2.3486e+10,4.817e+09,-5.66e+08,-1.678e+09,6.967e+09,-3.6125e+10,-3.1402e+10,-1.157e+09,-9.834e+09,-7.226e+09,1.21e+10,2.45e+08,-5.872e+09,-3.2457e+10,-3.2457e+10,-3.2457e+10,9.976e+09,1.95098e+11,-1.2365e+10,0.39202,0.26227,0.02877,0.00281,-2.26051,9.24706,0.10015,1.42779,1.41384,5.44387,43.73391,-3.22753,0.302,0.0034,-0.00635,0.21152,17.08921,20.85152
