"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q4",25.2415873015873,"Down",165867000,-149311000,16556000,-14973000,-13846000,-1100000,1583000,-461000,-1005000,544000,1122000,1122000,-946000,176000,176000,176000,176000,40576000,40576000,87427000,87427000,121293000,17823000,10645000,7178000,267119000,203713000,7811000,3781000,323773000,590892000,59423000,41006000,2378000,17076000,76499000,108558000,15754000,4850000,10904000,124312000,200811000,58032000,360878000,-28829000,390081000,390081000,590892000,176000,5709000,1180000,-2465000,4600000,-5731000,-15000,-5746000,-7158000,-269000,-7427000,-8573000,-8573000,534000,-8039000,7292000,125634000,42000,0.09981,0.00954,0.00106,0.000450000000000002,0.000300000000000002,0.23864,3.4918,0.51479,0.21262,0.00961,0.00941,9.05932,21.30542,0.00229,0.00033,8.00000000000002e-05,11.66456,53.73215
"32","2019_Q1",21.7988524590164,"Down",181325000,-157421000,23904000,-14635000,-14742000,173000,9269000,688000,-1257000,1945000,9957000,9957000,806999.999999999,10764000,10764000,10764000,10764000,44890000,44890000,86273000,86273000,126311000,16820000,10291000,6529000,274294000,205516000,9358000,3080000,327513000,601807000,68007000,48970000,1317000,16996000,85003000,113553000,13470000,7663000,5807000,127023000,212026000,58561000,371753000,-40533000,389781000,389781000,601807000,10764000,5741000,2557000,-6716000,12346000,-7844000,-1940000,-9784000,4826000,-59000,4767000,7329000,7329000,-3015000,4314000,15010000,130549000,-357000.000000002,0.13183,0.05112,0.05936,0.02762,0.01789,-0.03317,3.22687,0.54396,0.21693,0.58656,0.57793,9.88093,21.24031,-0.01945,0.02016,-0.00067,5.7068,9.24145
"33","2019_Q2",19.3512698412698,"Down",181611000,-161592000,20019000,-14302000,-14411000,240000,5717000,-1081000,-1320000,239000,4636000,4636000,-2824000,1812000,1812000,1812000,1812000,42195000,42195000,87082000,87082000,131961000,21180000,5522000,15658000,282418000,203820000,9154000,5988000,325700000,608118000,63489000,46139000,3136000,16814000,80303000,123633000,14069000,8594000,5475000,137702000,218005000,59544000,374024000,-43455000,390113000,390113000,608118000,1812000,6036000,1971000,-14777000,-4958000,-6384000,15000,-6369000,9810000,-646000,9408000,-1919000,-1919000,-776000,-2695000,11753000,140447000,-6584000,0.11023,0.03148,0.00998,0.00464,0.00298,-3.63355,3.5169,0.55883,0.23095,0.09865,0.09688,9.88736,21.23873,-0.35845,0.00333,-0.01209,8.35974,17.18594
"34","2019_Q3",19.70546875,"Up",167711000,-153555000,14156000,-14931000,-14822000,-240000,-774999.999999999,-189000,-1203000,1014000,-964000.000000002,-1117000,2288000,1171000,1171000,1171000,1171000,26653000,26653000,79294000,79294000,134642000,27411000,9291000,18120000,2.68e+08,205053000,7712000,4546000,326383000,594383000,57808000,43527000,1818000,13982000,71790000,116078000,12588000,7131000,5457000,128666000,200456000,61457000,375195000,-42725000,393927000,393927000,594383000,1171000,5616000,392000,-6196000,982999.999999996,-5958000,-35000,-5993000,-9993000,-709000,-10702000,-15712000,-15712000,170000,-15542000,4841000,130060000,-9601000,0.08441,-0.00462,0.00697999999999998,0.00297,0.00197,-8.19898,3.73311,0.50887,0.21882,0.06371,0.06262,9.12465,21.43237,-0.52236,0.00218,-0.01789,21.36067,-133.42839
"35","2019_Q4",24.14015625,"Up",179989000,-166198000,13791000,-11439000,-11439000,-2015240.33588992,2352000,766000,-1107000,1873000,3118000,1541000,-3070000,-1529000,-1529000,-1529000,-1529000,27898000,27898000,91701000,91701000,130981000,29404000,13039000,16365000,279984000,207303000,6757000,3598000,328807000,608791000,68701000,47726000,7899000,16054000,84755000,119804000,12777000,7092000,5685000,132581000,217336000,60929000,373666000,-43140000,391455000,391455000,608791000,-1529000,5590000,-817000,-786000,2458000,-6857000,29000,-6828000,5775000,-382000,5422000,1052000,1052000,193000,1245000,7942000,135858000,3369000,0.07662,0.01307,-0.00849,-0.00391,-0.00251,-2.2034,3.30345,0.5552,0.22316,-0.08312,-0.08123,9.78467,21.28051,0.18315,-0.00283,0.00624,13.59355,45.90136
"36","2020_Q1",20.5167741935484,"Down",179493000,-161151000,18342000,-14368000,-12018000,-2350000,3974000,-314000,-1156000,842000,3660000,4951000,-3949000,1002000,1002000,1002000,1002000,22228000,22228000,88884000,88884000,133781000,20729000,4373000,16356000,265622000,206787000,5422000,2841000,326529000,592151000,59214000,41796000,569000,15519000,74733000,111541000,13032000,6847000,6185000,124573000,199306000,61406000,374668000,-43229000,392845000,392845000,592151000,1002000,5761000,254000,1784000,8801000,-5672000,-74000,-5746000,-8811000,330000,-8754000,-5699000,-5699000,28999.9999999999,-5670000,9735000,127060000,9796000,0.10219,0.02214,0.00558,0.00255,0.00169,9.77645,3.55428,0.50734,0.21457,0.05435,0.054,9.73548,21.30743,0.53132,0.00188,0.01838,10.76857,26.37947
"37","2020_Q2",11.8401587301587,"Down",179949000,-162506000,17443000,-11097000,-10980000,-108000,6346000,-1913000,-1047000,-866000,4433000,4433000,-721000,3712000,3712000,3712000,3712000,34118000,34118000,85598000,85598000,129447000,20045000,3605000,16440000,269208000,205374000,13857000,11337000,321832000,591040000,57950000,41131000,656999.999999999,14738000,75479000,106754000,18800000,6111000,12689000,125554000,201033000,61512000,378380000,-49885000,390007000,390007000,591040000,3712000,5685000,10692000,3733000,23822000,-4585000,-21000,-4606000,-6508000,-44000,-6523000,12693000,12693000,-803000,11890000,12031000,121492000,11900000,0.09693,0.03527,0.02063,0.00952,0.00628,3.20582,3.56666,0.51546,0.20556,0.20085,0.19823,9.73697,21.10313,0.6439,0.007,0.02244,7.26241,13.76836
"38","2020_Q3",12.48546875,"Up",169511000,-153846000,15665000,-13353000,-12508000,-854000,2312000,-1645000,-889000,-756000,667000,916000,-507000,409000,409000,409000,409000,37210000,37210000,78132000,78132000,133893000,22906000,4595000,18311000,272141000,209250000,11555000,9026000,323066000,595207000,52427000,36055000,571000,14760000,68921000,113738000,17069000,5967000,11102000,130807000,199728000,63038000,378789000,-46348000,395479000,395479000,595207000,409000,5925000,2375000,-3896000,4813000,-3750000,81000,-3669000,1523000,-25999.9999999999,1468000,2612000,2612000,480000,3092000,8237000,128498000,1098000,0.09241,0.01364,0.00241,0.00103,0.00069,2.6846,3.94859,0.50503,0.21589,0.02211,0.0218,9.16325,21.3784,0.0593500000000001,0.00076,0.00203,11.08268,39.48443
"39","2020_Q4",15.4678125,"Up",170994000,-155611000,15383000,-11658000,-11720000,62000,3725000,2468000,-1058000,3526000,6193000,-39581000,-1530000,-41111000,-41111000,-41111000,-41111000,33393000,33393000,86376000,86376000,124146000,19066000,589000,18477000,262981000,206993000,14214000,8271000,280061000,543042000,62050000,40862000,5841000,14112000,77871000,118827000,12515000,5000,12510000,131342000,209213000,62925000,335971000,-65067000,333829000,333829000,543042000,-41111000,6075000,32970000,5536000,3470000,-6636000,-25000,-6661000,4379000,-422000,1963000,-1228000,-1228000,-2589000,-3817000,9800000,132939000,10230000,0.08996,0.02178,-0.24042,-0.12315,-0.07571,-0.24884,3.37714,0.62671,0.2448,-2.22522,-2.28839,9.25543,18.06923,0.55372,-0.08578,0.02134,10.15776,26.72376
"40","2021_Q1",24.1334426229508,"Up",86055000,-95506000,-9451000,-10014000,-8606000,-1408000,-19465000,-3444000,-1063000,-2381000,-22909000,-22033000,1786000,-20247000,-20247000,-20247000,-20247000,75267000,75267000,53726000,53726000,109704000,15796000,4033000,11763000,254493000,204246000,15423000,13071000,219669000,474162000,25959000,25610000,349000,13563000,54994000,84607000,18406000,2549000,15857000,103013000,158007000,64237000,315724000,-63806000,316155000,316155000,474162000,-20247000,5968000,7491000,27407000,20619000,-3538000,48000,56510000,-34829000,-1000,-34830000,42299000,42299000,-425000,41874000,-13497000,98170000,8586000,-0.10983,-0.22619,-0.23528,-0.06404,-0.0427,-0.42406,4.62765,0.49978,0.20704,-1.0977,-1.0977,4.66549,17.14042,0.46549,-0.04679,0.01984,-1.6969,-1.17662
"41","2021_Q2",26.6957142857143,"Up",141505000,-126944000,14561000,-12542000,-11364000,-1178000,2019000,-653000,-746000,93000,1366000,2253000,1179000,3432000,3432000,3432000,3432000,78095000,78095000,77228000,77228000,104780000,17147000,7387000,9760000,277250000,200222000,14765000,12432000,214987000,492237000,59022000,38468000,3936000,13506000,74301000,81279000,16580000,555000,16025000,97859000,172160000,64655000,319156000,-63734000,320077000,320077000,492237000,3432000,6112000,-1788000,166000,7922000,-1864000,175269.322973168,-1864000,-3445000,-7000,-3452000,2606000,2606000,222000,2828000,8131000,94785000,5254000,0.1029,0.01427,0.02425,0.01072,0.00696999999999999,1.53089,3.73144,0.53787,0.19256,0.18605,0.18355,7.67089,17.35117,0.28482,0.00795,0.01218,2.05264,8.26647
"42","2021_Q3",22.749375,"Down",162776000,-136842000,25934000,-13101000,-12625000,-476000,12833000,-516000,-646000,130000,12317000,12576000,-5112000,7464000,7464000,7464000,7464000,83321000,83321000,83124000,83124000,111489000,19565000,9283000,10282000,297499000,199884000,15615000,13190000,215499000,512998000,65584000,38786000,6467000,13683000,80952000,78621000,18552000,1004000,17548000,97173000,178125000,65820000,326620000,-57567000,334873000,334873000,512998000,7464000,6075000,1656000,-3391000,11804000,-5259000,163000,-5096000,-3280000,-57000,-3337000,3371000,3371000,1855000,5226000,18908000,92304000,15370000,0.15932,0.07884,0.04585,0.02229,0.01455,2.05922,3.675,0.53192,0.17993,0.40422,0.39787,8.81538,18.13555,0.83239,0.01675,0.03448,0.47509,0.69999
"43","2021_Q4",22.8096875,"Up",178866000,-153271000,25595000,-17163000,-14581000,-2582000,8432000,-198000,-726000,528000,8234000,8418000,-3660000,4758000,4758000,4758000,4758000,75598000,75598000,96988000,96988000,122004000,18069000,9594000,8475000,312659000,196762000,18951000,16607000,215713000,528372000,85035000,47645000,10245000,13726000,100610000,75134000,17031000,956000,16075000,92165000,192775000,66535000,331378000,-62316000,335597000,335597000,528372000,4758000,6820000,2628000,-8222000,5984000,-8553000,-10000,-8563000,-3502000,-47000,-3549000,-6128000,-6128000,-1595000,-7723000,15252000,88860000,2137000,0.1431,0.04714,0.0266,0.01418,0.00901,0.44914,3.10763,0.57442,0.16818,0.25743,0.25135,9.67733,18.15706,0.11562,0.01078,0.00484,0.86953,1.57282
"44","2022_Q1",19.7703225806452,"Down",184445000,-157041000,27404000,-13393000,-12764000,-629000,14011000,-614000,-602000,-12000,13397000,13383000,36000,13419000,13419000,13419000,13419000,78253000,78253000,94837000,94837000,141221000,14756000,2392000,12364000,329067000,201696000,24605000,23397000,226301000,555368000,55884000,54259000,1625000,16045000,105423000,70336000,21190000,6686000,14504000,91526000,196949000,67054000,344797000,-53432000,358419000,358419000,555368000,13419000,6521000,-1339000,-7630000,10971000,-9107000,9000,-9098000,-3419000,882000,-2537000,-663999.999999996,-663999.999999996,3319000,2655000,20532000,86381000,3759000,0.14858,0.07596,0.07275,0.03744,0.02416,0.28013,3.1214,0.54949,0.15554,0.72673,0.71393,9.9889,19.41072,0.20357,0.0288,0.00807,0.39587,0.58012
"45","2022_Q2",15.0854838709677,"Down",195992000,-169895000,26097000,-12926000,-12670000,-256000,13171000,-158000,-438000,280000,13013000,13093000,-4413000,8680000,8680000,8680000,8680000,49556000,49556000,103031000,103031000,150511000,16184000,3368000,12816000,319282000,203339000,26084000,23622000,229423000,548705000,62705000,57528000,5177000,15428000,99602000,68465000,19641000,4473000,15168000,88106000,187708000,67622000,353477000,-60102000,360997000,360997000,548705000,8680000,6365000,-3183000,-27670000,-15808000,-9300000,31000,-9269000,-3427000,660000,-2767000,-27844000,-27844000,-853000,-28697000,19536000,83893000,-13021000,0.13315,0.0672,0.04429,0.02404,0.01582,-1.50012,3.20558,0.51997,0.15289,0.46881,0.45691,10.58558,19.49754,-0.70327,0.01869,-0.02803,1.75763,2.60702
"46","2022_Q3",12.46140625,"Down",201410000,-184520000,16890000,-12539000,-11966000,-573000,4351000,-477000,-541000,64000,3874000,4114000,-3185000,929000,929000,929000.000000001,929000.000000001,47620000,47620000,92175000,92175000,148893000,23493000,8162000,15331000,312181000,207461000,23783000,21335000,231244000,543425000,62754000,54761000,7993000,14971000,98135000,66257000,17841000,4723000,13118000,84098000,182233000,68856000,353393000,-61057000,361192000,361192000,543425000,929000,6322000,1754000,2853000,11858000,-9872000,56000,-9816000,-3450000,627000,-4027000,-1985000,-1985000,49000,-1935999.99999999,10673000,81228000,6839000,0.08386,0.0216,0.00461,0.00257,0.00171,7.36168,3.18114,0.50453,0.14947,0.0501800000000001,0.0489,10.87821,19.50807,0.36938,0.00202,0.01486,3.14888,7.7242
