"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q1",64.2845901639344,"Down",138198000,-101858000,36340000,-31003000,-29037000,-1966000,5337000,-1056000,-1056000,4281000,4281000,-809000,3472000,3598000,3598000,3598000,70406000,70406000,98316000,98316000,7292000,7292000,176014000,10658000,161422000,135442000,172080000,348094000,61442000,12238000,49204000,61504000,18099000,79603000,177696000,90795000,268491000,268491000,348094000,3598000,1966000,-219000,3179000,8524000,-1965000,-1965000,-1965000,-93000,-2058000,-84081000,-83537000,-77071000,-77071000,-77071000,7303000,17284000,9326000,0.26296,0.03862,0.02604,0.0134,0.01034,2.592,2.86183,0.29648,0.04965,0.27728,0.26809,10.65028,20.69135,0.71871,0.01255,0.03253,-7.274,-9.95353
"37","2019_Q2",69.0739682539683,"Up",138507000,-101680000,36827000,-31331000,-29257000,-2074000,5496000,-403000,-403000,5093000,5093000,-797000,4296000,4296000,4296000,4296000,66170000,66170000,120143000,120143000,7146000,7146000,193459000,10843000,174621000,135399000,185464000,378923000,67384000,11506000,55878000,67384000,29911000,97295000,178929000,102699000,281628000,281628000,378923000,4296000,2074000,1391000,-10958000,-3197000,-1006000,-1006000,-1006000,-30604719.9908054,-1006000,-32999.9999999851,-33000,-4236000,-4236000,-4236000,7570000,17375000,-3597000,0.26589,0.03968,0.03102,0.01525,0.01134,-0.83729,2.87099,0.34547,0.04585,0.33059,0.32105,10.65848,21.67203,-0.2768,0.01379,-0.01155,-6.44584,-8.87828
"38","2019_Q3",81.005,"Up",148915000,-109222000,39693000,-32302000,-29767000,-2535000,7391000,-585000,-585000,6806000,6806000,-1514000,5292000,5292000,5292000,5292000,54792000,54792000,132764000,132764000,9148000,9148000,196704000,11428000,200552000,145812000,211980000,408684000,68369000,13230000,55139000,69324000,50019000,119343000,181124000,108217000,289341000,289341000,408684000,5292000,2535000,1572000,-10280000,-881000,-990000,-990000,-990000,-29808000,-30798000,19588000,20301000,-11378000,-11378000,-11378000,9926000,37186000,170000,0.26655,0.04963,0.03554,0.01829,0.01295,0.0321199999999994,2.83746,0.41246,0.09099,0.40573,0.3936,11.41724,22.18362,0.01303,0.01555,0.000499999999999999,-1.77373,-2.38209
"39","2019_Q4",88.04140625,"Up",168993000,-123817000,45176000,-37841000,-35085000,-2756000,7335000,-80000,-80000,7255000,7255000,-1769000,5486000,4912000,4912000,4912000,239609000,239609000,138045000,138045000,8822000,8822000,386476000,11527000,221107000,162016000,232634000,619110000,75316000,14741000,60575000,76286000,72836000,149122000,356904000,113084000,469988000,469988000,619110000,4912000,2756000,1939000,2555000,12162000,-1081000,-1081000,-1081000,-23416000,-24497000,22843000,197152000,184817000,184817000,184817000,10091000,60218000,13334000,0.26732,0.0434,0.02907,0.01045,0.00793,2.71458,5.06615,0.31729,0.09727,0.35659,0.34506,12.26809,34.11891,0.96799,0.00903,0.02452,-17.77733,-24.45685
"40","2020_Q1",86.4908064516129,"Down",192376000,-134834000,57542000,-43012000,-39803000,-3209000,14530000,-514000,-514000,14016000,14016000,-3279000,10737000,10737000,10737000,10737000,111714000,111714000,149680000,149680000,7993000,7993000,269387000,12156000,355205000,275368000,367361000,636748000,86800000,19641000,67159000,87528000,73628000,161156000,359560000,116032000,475592000,475592000,636748000,10737000,3209000,860000,-10871000,3935000,-1544000,-1544000,-1544000,-130852000,-132396000,-510000,566000,-127895000,-127895000,-127895000,17739000,59892000,8603000,0.29911,0.07553,0.05581,0.02258,0.01686,0.80125,3.07772,0.33885,0.09406,0.69491,0.67397,12.45072,30.78066,0.55679,0.01952,0.01564,-2.92136,-3.56655
"41","2020_Q2",86.4933333333333,"Up",190216000,-134381000,55835000,-45174000,-42287000,-2887000,10661000,-574000,-574000,10087000,10087000,-1429000,8658000,8658000,8658000,8658000,130463000,130463000,141083000,141083000,6505000,6505000,278051000,13791000,352977000,275364000,366768000,644819000,83650000,17561000,66089000,84606000,73405000,158011000,362118000,124690000,486808000,486808000,644819000,8658000,2887000,1859000,7038000,20442000,-2747000,-2747000,-2747000,-87000,-2834000,-10000,1141000,18749000,18749000,18749000,13548000,60068000,19268000,0.29353,0.05605,0.04552,0.01779,0.01343,2.22546,3.28642,0.32459,0.09315,0.5579,0.54429,12.25698,31.36852,1.24157,0.01543,0.03434,-5.19597,-6.60304
"42","2020_Q3",93.66421875,"Up",184576000,-129579000,54997000,-45390000,-42450000,-2940000,9607000,-566000,-566000,9041000,9041000,-2134000,6907000,6907000,6907000,6907000,158549000,158549000,126389000,126389000,11398000,11398000,296336000,14707000,349878000,275433000,364585000,660921000,92737000,17201000,75536000,93685000,72375000,166060000,363264000,131597000,494861000,494861000,660921000,6907000,2940000,1924000,18674000,30445000,-1923000,-2095000,-2095000,-208000.000000015,-2131000,-235000,-228000,28086000,28086000,28086000,12547000,59996000,31432000,0.29796,0.05205,0.03742,0.01396,0.01045,4.55075,3.16311,0.33557,0.09078,0.44324,0.43367,11.8447,31.75647,2.01707,0.01216,0.05532,-7.85471,-10.25846
"43","2020_Q4",103.21390625,"Up",193987000,-137686000,56301000,-43778000,-40733000,-3045000,12523000,-593000,-593000,11930000,11930000,-2811000,9119000,9119000,9119000,9119000,170331000,170331000,118623000,118623000,10426000,10426000,299380000,19305000,376746000,286552000,396051000,695431000,91648000,17270000,74378000,93743000,94088000,187831000,366884000,140716000,507600000,507600000,695431000,9119000,3045000,2732000,7516000,22412000,-968000,-1051000,-1051000,-11574000,-12542000,-244999.999999996,1912000,11782000,11782000,11782000,15568000,61656000,24927000,0.29023,0.06456,0.04701,0.01796,0.01311,2.73352,3.19363,0.37004,0.08866,0.58391,0.57108,12.42153,32.50304,1.59615,0.0151,0.04128,-6.98067,-8.67803
"44","2021_Q1",113.933114754098,"Up",195996000,-136892000,59104000,-47388000,-44209000,-3179000,11716000,-832000,-832000,10884000,10884000,-2435000,8449000,8449000,8449000,8449000,145078000,145078000,132650000,132650000,9969000,9969000,287697000,19749000,585136000,469072000,604885000,892582000,110843000,23705000,87138000,143901000,230005000,373906000,369511000,149165000,518676000,518676000,892582000,8449000,3179000,-2251000,26735000,36112000,-1193000,-938000,-938000,-195536000,-196729000,134733000,135364000,-25253000,-25253000,-25253000,14895000,194872000,42872000,0.30156,0.05978,0.04311,0.01629,0.00947,5.07421,1.99927,0.72089,0.21832,0.53936,0.52734,12.51171,33.1105,2.7368,0.01127,0.05719,3.343,4.25009
"45","2021_Q2",97.2514285714286,"Down",205302000,-144105000,61197000,-49027000,-45426000,-3601000,12170000,-1194000,-1194000,10976000,10976000,-2082000,8894000,8894000,8894000,8894000,125547000,125547000,138806000,138806000,10787000,10787000,275140000,19322000,583115000,469036000,602437000,877577000,96748000,23459000,73289000,118088000,229579000,347667000,371851000,158059000,529910000,529910000,877577000,8894000,3601000,2840000,-33701000,-18366000,-1021000,-1021000,-1021000,-133185780.738801,-1021000,-244999.99999997,-144000,-19531000,-19531000,-19531000,15771000,194811000,-16869000,0.29808,0.05928,0.04332,0.01678,0.01013,-1.89667,2.32996,0.65609,0.22199,0.56671,0.55349,13.08156,33.76513,-1.07487,0.0117,-0.02218,4.39186,5.69137
"46","2021_Q3",86.87953125,"Down",217893000,-149083000,68810000,-51762000,-48175000,-3587000,17048000,-1231000,-1231000,15817000,15817000,-4220000,11597000,11597000,11597000,11597000,139400000,139400000,138270000,138270000,12740000,12740000,290410000,18708000,580042000,469476000,598750000,889160000,107877000,23942000,83935000,116944000,228161000,345105000,374399000,169656000,544055000,544055000,889160000,11597000,3587000,3217000,-3356000,15045000,-826000,-826000,-826000,-81000,-907000,-245000,-284999.999999985,13853000,13853000,13853000,20635000,194687000,20673000,0.3158,0.07824,0.05322,0.02132,0.01304,1.78262,2.48333,0.63432,0.21896,0.73894,0.7217,13.88384,34.66643,1.31726,0.015,0.02674,2.67928,3.24302
"47","2021_Q4",89.93234375,"Up",216662000,-149616000,67046000,-49686000,-46280000,-3406000,17360000,-1577000,-1577000,15783000,15783000,-4206000,11577000,11577000,11577000,11577000,152379000,152379000,133814000,133814000,13514000,13514000,299707000,18614000,606594000,497919000,625208000,924915000,104859000,23167000,81692000,112533000,254331000,366864000,376818000,181233000,558051000,558051000,924915000,11577000,3406000,2987000,-362000,17608000,-1367000,-912740.61035218,-912740.61035218,-29138000,-30505000,28755000,25876000,12979000,12979000,12979000,20766000,220707000,23243000,0.30945,0.08012,0.05343,0.02075,0.01252,2.00769,2.66328,0.6574,0.23862,0.73514,0.72221,13.75806,35.43631,1.47593,0.01425,0.02861,3.29038,3.93594
"48","2022_Q1",80.4082258064516,"Down",224642000,-151847000,72795000,-53437000,-49537000,-3900000,19358000,-1536000,-1536000,17822000,17822000,-4764000,13058000,13058000,13058000,13058000,168895000,168895000,136955000,136955000,18491000,18491000,324341000,18483000,604761000,504392000,623244000,947585000,113516000,19358000,94158000,117689000,255552000,373241000,380053000,194291000,574344000,574344000,947585000,13058000,3900000,9438000,-1195000,25201000,-1431000,-1136680.38840593,-1136680.38840593,-8151000,-9582000,-3029000,897000,16516000,16516000,16516000,23258000,220912000,25396000,0.32405,0.08617,0.05813,0.02274,0.01378,1.94486,2.75592,0.64986,0.23313,0.82918,0.8146,14.2648,36.47092,1.61265,0.01573,0.0306,2.23652,2.68711
"49","2022_Q2",83.8708064516129,"Up",226634000,-156448000,70186000,-56673000,-53152000,-3521000,13513000,-1762000,-1762000,11751000,11751000,-3281000,8470000,8470000,8470000,8470000,124763000,124763000,136808000,136808000,14658000,14658000,276229000,19073000,691909000,574086000,710982000,987211000,100184000,21004000,79180000,104357000,297076000,401433000,383017000,202761000,585778000,585778000,987211000,8470000,3521000,4158000,-10166000,5983000,-1104000,-1104000,-1104000,-84490000,-85594000,3.5e+07,35479000,-44132000,-44132000,-44132000,17034000,256127000,9045000,0.30969,0.05962,0.03737,0.01446,0.00858,1.06789,2.64696,0.6853,0.25945,0.53785,0.52838,14.39129,37.19698,0.57436,0.00959,0.01025,7.71187,9.72131
"50","2022_Q3",91.89921875,"Up",236940000,-161342000,75598000,-58704000,-55095000,-3609000,16894000,-1878000,-1878000,15016000,15016000,-3766000,11250000,11250000,11250000,11250000,120917000,120917000,124554000,124554000,10901000,10901000,256372000,17733000,690423000,574752000,708156000,964528000,111269000,21346000,89923000,128004000,236747000,364751000,385766000,214011000,599777000,599777000,964528000,11250000,3609000,3220000,38440000,56519000,-434000,-434000,-434000,2.98023223876953e-08,-434000,-6e+07,-59931000,-3846000,-3846000,-3846000,20503000,196342000,62275000,0.31906,0.0713,0.04748,0.01876,0.01166,5.53556,2.00284,0.60814,0.20356,0.7096,0.69741,14.94512,37.83127,3.92803,0.01345,0.07444,3.67873,4.4646
