"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2020_Q1",5.47306451612903,"Up",15507797,-10966452,4541345,-4882303,-4882303,-340958,-123503,-125079,-125079,1576.00000000001,-464461,-464461,-233106,-233106,-233106,-441311,155520,155520,7495309,7495309,11527521,735347,634837,100510,19913697,5677419,14040829,6407374,516841,19718248,39631945,6418504,3989546,2428958,6714560,642217,642217,13775281,3044669,2056286,2056286,5100955,18876236,21320106,-12206213,20755709,20755709,39631945,-233106,671010,-946244,-717948,-1226288,-99307,-99307,1634038,1167370,-158225,-158225,-158225,330052,9759229,0.29284,-0.02199,-0.02846,-0.02126,-0.01114,1.44561,0.90945,0.24625,-0.26221,-0.26221,9.21429,5.41521,-0.01355,29.09756,-28.16684
"37","2020_Q2",3.95634920634921,"Down",16389549,-11235542,5154007,-4924692,-4924692,229315,-130477,-130992,-130992,515,98838,98838,98838,98838,98838,-68066,374644,374644,7299975,7299975,11129982,751629,642961,107319,19556230,5499584,17387733,6226279,4044840,22887317,42443547,7203491,4923221,2280270,5250275,1930066,1930066,14383832,83363,6992012,6992012,7075375,21459207,21616803,-12274279,20984340,20984340,42443547,98838,427985,101660,1364158,1992641,-65969,-65969,-1510350,-1707548,219124,219124,219124,657300,5333638,0.31447,0.01399,-0.00415,-0.00324,-0.0016,1.3596,1.02263,0.12566,-0.03968,-0.03968,9.5544,5.44629,-0.00204,7.54449,21.62525
"38","2020_Q3",4.04,"Up",15196991,-10611135,4585856,-4618100,-4618100,-32244.0000000001,-105419,-110289,-110289,4870,-137663,-137663,-137663,-137663,-137663,-448451,431485,431485,6940398,6940398,11383968,893143,741705,151438,19648994,5369236,16978796,6045183,3816999,22348032,41997026,7842524,5970178,1872346,4994721,1561134,1561134,14398379,2790983,3902749,3902749,6693732,21092111,23668610,-12614191,20904915,20904915,41997026,-137663,429206,17680,614375,923598,-117762,-117762,-446193,-748995,56841.0000000001,56841.0000000001,56841.0000000001,396962,7785704,0.30176,-0.00212,-0.02951,-0.02145,-0.01068,1.36467,1.00895,0.18539,-0.24849,-0.24849,8.42087,6.12541,-0.01376,18.52625,-228.08023
"39","2020_Q4",3.5403125,"Down",13706320,-9761864,3944456,-4907363,-4907363,-962907,-128295,-110101,-110101,-18194,-1091202,-1091202,-1091202,-1091202,-1091202,-1324777,1428957,1428957,6635441,6635441,11322887,864892,764256,100636,20252177,5157470,16633899,5864087,3653198,21791369,42043546,7794004,5539558,2254446,6517481,1571985,1571985,15883470,2701183,3599837,3599837,6301020,22184490,24962007,-13873749,19859056,19859056,42043546,-1091202,449293,38352,236280,-367277,-65886,-65886,1430761,1430761,997598,997598,997598,-513614,9218664,0.28778,-0.07025,-0.09665,-0.06671,-0.03151,1.27505,1.1171,0.21926,-0.65924,-0.65924,6.82062,5.5178,-0.04054,-15.16646,-8.08977999999999
"40","2021_Q1",6.0655737704918,"Up",8116186,-6702628,1413558,-3640883,-3640883,-2227325,-78198,-84225,-84225,6027,-2305523,-2305523,-2295456,-2295456,-2295456,-2475579,2215665,2215665,4893861,4893861,8371842,593340,490624,102716,16074708,4941517,16580092,5682991,3780487,21521609,37596317,4987030,3013949,1973081,1121647,1570020,1570020,7678697,6093747,3927992,3927992,10021739,17700436,27474411,-16349328,19895881,19895881,37596317,-2295456,431412,563367,1841428,540751,-42742,-42742,-1998240,288699,786708,786708,786708,-1795913,7215394,0.17417,-0.27443,-0.30502,-0.12443,-0.06585,2.09342,0.88965,0.19192,-0.92352,-0.92352,3.02775,4.15022,-0.07976,-2.78395,-2.24472
"41","2021_Q2",5.86587301587302,"Down",12132768,-8230815,3901953,-4245627,-4245627,-343674,-34030,-39943,-39943,5913,-377704,-377704,-377704,-377704,-377704,-571930,2189954,2189954,5609481,5609481,6168574,1925357,816285,1109072,15893366,4695602,16164840,5501895,3546331,20860442,36753808,5891128,3257805,2633323,501265,1551124,1551124,7943517,5576080,3668564,3668564,9244644,17188161,27716107,-16921258,19565647,19565647,36753808,-377704,425449,-32660,1108714,1123799,-16034,-16034,-1133476,-1133476,-25711,-25711,-25711,81775,6077345,0.3216,-0.02833,-0.04714,-0.02923,-0.01556,2.0008,0.87849,0.16535,-0.20309,-0.20309,4.3084,3.8333,-0.01951,47.53765,-11.31127
"42","2021_Q3",6.4734375,"Up",11967901,-8626927,3340974,-3937838,-3937838,-596864,-66147,-63630,-63630,-2517.00000000001,-663011,-663011,-672832,-672832,-672832,-906269,3509240,3509240,5068041,5068041,6141106,3397212,1308684,1242670,18115599,3687518,15754192,5320799,3316779,19441710,37557309,7707105,4827363,2879742,1749446,1563728,1563728,11020279,4182163,3411271,3411271,7593434,18613713,28738983,-17776175,18943596,18943596,37557309,-672832,375097,-126243,1931855,1507877,-55612,-55612,-132979,-132979,1319286,1319286,1319286,-221767,5931609,0.27916,-0.04987,-0.07572,-0.04784,-0.02413,1.64384,0.98259,0.15793,-0.31034,-0.31034,4.09826,3.75408,-0.03204,-10.92304,-4.05849
"43","2021_Q4",6.52671875,"Up",11460415,-8155455,3304960,-3905055,-3905055,-600095,718304,-62518,-62518,780822,118209,118209,118209,118209,118209,-63668,4500323,4500323,5803466,5803466,6852204,3936498,1363463,1727177,21092491,3497758,15326194,5139703,3069877,18823952,39916443,6802096,3806595,2995501,3054755,1560434,1560434,11417285,2793656,3151396,3151396,5945052,17362337,32413161,-17839843,22554106,22554106,39916443,118209,405687,-3524,-2838047,-2317675,-17099,-17099,-86338,3375857,1041083,1041083,1041083,-194408,5848411,0.28838,-0.05236,-0.00556,-0.00282,-0.0016,1.84742,0.76981,0.14652,-0.02014,-0.02014,3.62531,4.61003,-0.00202,-6.93432,-2.24646
"44","2022_Q1",4.09806451612903,"Down",12237570,-9899818,2337752,-4557575,-4557575,-2219823,1615614,-49539,-49539,1665153,-604209,2913773,2933576,2933576,2933576,2751109,6102447,6102447,5643016,5643016,6526095,2634308,1281223,1353085,20905866,3328185,14905944,4928875,2860455,18234129,39139995,7076071,3737930,3338141,163896,1232719,1232719,8472686,5362,5148422,5148422,5153784,13626470,32621471,-15088734,25513525,25513525,39139995,2933576,400554,-3772126,506958,68961.9999999995,1619946,1619946,-86223,-86223,1602685,1602685,1602685,-1819269,169258,0.19103,-0.18139,0.22481,0.10783,0.07029,2.46744,0.53409,0.00432,0.9276,0.9276,4.12617,5.91155,0.08923,3.2613,2.67282
"45","2022_Q2",3.34983870967742,"Down",12300896,-8636590,3664306,-4096622,-4096622,-432316,914956,-40100,-46558.3128085872,955056,482640,482640,482640,482640,482640,295557,5341968,5341968,6094695,6094695,7188705,3155331,1702559,1452772,21780699,3165588,14511446,4752400,2642432,17677034,39457733,7145779,4379533,2766246,164058,1249796,1249796,8559633,1998.00000000023,4793542,4793542,4795540,13355173,32914949,-14793177,26102560,26102560,39457733,482640,358409,-179062,-1317070,-655083,-20084,-20084,-3202,-85312,-760479,-760479,-760479,-73907,166056,0.29789,-0.03515,0.02403,0.01132,0.00748999999999998,2.54458,0.51164,0.00421,0.08413,0.08413,3.50149,5.15843,0.00952,70.03277,11.97252
"46","2022_Q3",3.08484375,"Down",10529853,-8449192,2080661,-3481529,-3481529,-1400868,-40399.0000000001,-40233,-66507.9384257615,-165.999999999884,-1441267,-1441267,-1441267,-1441267,-1441267,-1623420,3422233,3422233,5591857,5591857,9324155,2176228,1648083,528145,20514473,3061053,14098212,4575925,2405673,17159265,37673738,7153120,4682080,2471040,162371,1290538,1290538,8606029,244,4400583,4400583,4400827,13006856,33102691,-16416597,24666882,24666882,37673738,-1441267,358531,-149394,-522479,-1754609,-78266.9999999998,-78267,-168968,-86858,-1919734,-1919734,-1919734,-1042337,162615,0.1976,-0.13304,-0.15417,-0.06581,-0.04309,2.38373,0.5273,0.00432,-0.46211,-0.46211,2.99736,4.74976,-0.05554,3.12722,2.32686
