"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio"
"31","2017_Q4",39.0998412698413,"Up",216457000,-151166000,65291000,-32279000,-17927000,-10631000,33012000,-6801000,-7393000,592000,26211000,24808000,-7074000,17734000,17734000,17734000,17734000,87510000,87510000,78915000,60949000,60949000,228200000,1306608000,8599000,423490000,37572000,371821000,1738697000,1966897000,128213000,96217000,31996000,103834000,14129000,246176000,490406000,537796000,161847000,264315000,111634000,1028202000,1274378000,540360000,155618000,-3459000,692519000,692519000,1966897000,17773000,17927000,7316000,1869000,44805000,-37906000,-33807000,-12674000,2419000,-10172000,826000,826000,826000,50939000,594240000,21976000,0.30163,0.15251,0.08193,0.02561,0.00902,1.2392,0.92698,1.84021,0.30212,0.44888,0.44563,5.47887,17.52876,0.55625,0.3208,0.01667,0.01204,0.71467
"32","2018_Q1",35.9649180327869,"Down",206690000,-139069000,67621000,-33548000,-18856000,-10867000,34073000,-6287000,-7222000,935000,27786000,26381000,-7922000,18459000,18342000,18342000,18342000,68466000,68466000,88034000,66411000,65230000,239127000,1322666000,8629000,433856000,37572000,382519000,1765151000,2004278000,117600000,84677000,32923000,112557000,26496000,256653000,490380000,560353000,179482000,121880000,258991000,1050733000,1307386000,541237000,161286000,-5631000,696892000,696892000,2004278000,18420000,18856000,8391000,13699000,59500000,-36329000,-39731000,-12674000,8295000,-4379000,15390000,15390000,15390000,52929000,602937000,38221000,0.32716,0.16485,0.08874,0.02632,0.00915,2.0838,0.93171,1.87602,0.30083,0.46426,0.46022,5.23163,17.63935,0.96743,0.3208,0.01667,0.02055,0.69098
"33","2018_Q2",39.036875,"Up",241266000,-168559000,72707000,-35092000,-18763000,-12494000,37615000,-6189000,-7372000,1183000,31426000,30009000,-3794000,26215000,26215000,26215000,26215000,94265000,94265000,87999000,56747000,56747000,240132000,1326274000,8648000,432364000,37572000,381372000,1767286000,2007418000,112909000,87179000,25730000,30490000,22704000,166103000,589943000,543322000,159592000,124034000,259696000,1133265000,1299368000,539974000,174209000,-6133000,708050000,708050000,2007418000,26215000,18763000,-17229000,-23109000,4640000,-23108000,-21489000,-13292000,15046000,1754000,-15095000,-15095000,-15095000,56378000,620433000,13955000,0.30136,0.15591,0.10866,0.03702,0.01306,0.53233,1.44568,1.83514,0.30907,0.66282,0.65762,6.10014,17.90226,0.35284,0.33607,0.02111,0.00746,0.50704
"34","2018_Q3",42.1909523809524,"Up",226348000,-161576000,64772000,-34667000,-18745000,-12649000,30105000,-6969000,-7676000,707000,23136000,21750000,-3054000,18696000,18696000,18696000,18696000,91780000,91780000,90435000,55990000,55990000,239241000,1329237000,8649000,434120000,37572000,383473000,1772006000,2011247000,137843000,95082000,42761000,21144000,7248000,166235000,589960000,540471000,159627000,125058000,255786000,1130431000,1296666000,540947000,179605000,-5971000,714581000,714581000,2011247000,18696000,18745000,-398000,11712000,48755000,-24509000,-25994000,-13300000,-9546000,-22846000,-85000,-85000,-85000,48850000,611104000,39107000,0.28616,0.133,0.0826,0.02616,0.0093,2.09173,1.43917,1.81458,0.30384,0.47205,0.46882,5.71503,18.04237,0.98741,0.33581,0.01715,0.02096,0.71138
"35","2018_Q4",41.9373015873016,"Down",227662000,-154051000,73611000,-35349000,-18708000,-12547000,38262000,-6304000,-7549000,1245000,31958000,30632000,-7359000,23273000,23273000,23273000,23273000,96095000,96095000,94615000,50054000,50054000,241413000,1339668000,9123000,437212000,37572000,386894000,1786003000,2027416000,139869000,91033000,48836000,15658000,7926000,163453000,589984000,548677000,159842000,129024000,259811000,1138661000,1302114000,541534000,189575000,-5807000,725302000,725302000,2027416000,23273000,18708000,5717000,-233000,47465000,-24993000,-28458000,-13303000,-2971000,-19394000,-387000,-387000,-387000,56970000,605642000,39103000,0.32333,0.16806,0.10223,0.03209,0.01148,1.68019,1.47696,1.79527,0.29873,0.58738,0.58323,5.74592,18.30576,0.98691,0.33575,0.01946,0.0208,0.57161
"36","2019_Q1",43.4632786885246,"Up",221171000,-5543000,215628000,-192221000,-18450000,-184973000,23407000,-7485000,-7811000,326000,15922000,14542000,-381000,14161000,14161000,14161000,14161000,75144000,75144000,106270000,59145000,56706000,241420000,1352978000,8961000,449158000,37572000,399136000,1811097000,2052517000,133297000,96291000,37006000,18771000,18025000,170093000,590002000,563559000,169919000,140950000,252690000,1153561000,1323654000,542574000,190433000,-4144000,728863000,728863000,2052517000,14161000,18450000,12917000,-2940000,42588000,-32815000,-31478000,-13303000,-607000,-10898000,212000,212000,212000,41857000,608773000,6483000,0.97494,0.10583,0.06403,0.01943,0.0069,0.45781,1.41934,1.81605,0.2966,0.35741,0.35471,5.58207,18.39557,0.16362,0.33575,0.01445,0.00341,0.93941
"37","2019_Q2",45.3915873015873,"Up",245972000,-169836000,76136000,-36567000,-19131000,-13477000,39569000,-6582000,-7826000,1244000,32987000,31952000,-5628000,26324000,26324000,26324000,26324000,113144000,113144000,106732000,52934000,52934000,273701000,1347974000,9220000,473653000,37572000,423927000,1830847000,2104548000,145259000,100496000,44763000,43775000,11687000,200721000,590022000,573306000,160679000,141500000,271127000,1163328000,1364049000,541640000,203619000,-4760000,740499000,740499000,2104548000,26324000,19131000,-7661000,-20644000,17150000,-24178000,-25428000,-13922000,24960000,8308000,30000,30000,30000,58700000,633797000,19506000,0.30953,0.16087,0.10702,0.03555,0.01251,0.741,1.36359,1.84207,0.30116,0.66379,0.6597,6.20244,18.67244,0.49186,0.35106,0.02066,0.01002,0.52887
"38","2019_Q3",46.96046875,"Up",229203000,-165781000,63422000,-36603000,-19441000,-13262000,26819000,-6975000,-7825000,850000,19844000,18769000,-3343000,15426000,15426000,15426000,15426000,105407000,105407000,105860000,51317000,51317000,263566000,1367853000,9683000,473842000,37572000,424412000,1851378000,2114944000,156627000,111848000,44779000,36779000,12743000,206149000,590063000,574427000,161110000,141335000,271982000,1164490000,1370639000,543805000,205115000,-4615000,744305000,744305000,2114944000,15426000,19441000,1479000,15791000,52137000,-26429000,-31075000,-13930000,-7040999.99999999,-20971000,91000.0000000005,91000,91000,46260000,626842000,38965000,0.27671,0.11701,0.0673,0.02073,0.00729,2.52593,1.27852,1.8415,0.29639,0.38845,0.38644,5.77163,18.74255,0.98119,0.35078,0.01509,0.02003,0.90302
"39","2019_Q4",46.89234375,"Down",228652000,-156110000,72542000,-35287000,-19657000,-11665000,37255000,-6519000,-7539000,1020000,30736000,29681000,-4936000,24745000,24745000,24745000,24745000,92189000,92189000,97052000,47497000,47497000,237659000,1453613000,9743000,479176000,37572000,430042000,1942532000,2180191000,133693000,89360000,44333000,109177000,10317000,253187000,590015000,580484000,149031000,143565000,287888000,1170499000,1423686000,545070000,215931000,-4496000,756505000,756505000,2180191000,24745000,19657000,-9887000,1347000,35862000,-94977000,-94244000,-13929000,72250000,58321000,-61000,-61000,-61000,56912000,699192000,-31782000,0.31726,0.16293,0.10822,0.03271,0.01135,-1.28438,0.93867,1.88193,0.3207,0.62307,0.61945,5.75737,19.0485,-0.80026,0.35073,0.01899,-0.01561,0.5629
"40","2020_Q1",45.3403225806452,"Down",215676000,-148243000,67433000,-36196000,-19857000,-28163000,31237000,-6223000,-8221000,1998000,25014000,23886000,-3534000,20352000,20352000,20352000,20352000,107631000,107631000,97851000,28179000,28179000,254860000,1753794000,45374000,219567000,37572000,170705000,2018735000,2273595000,143505000,120775000,22730000,6183000,40053000,189741000,689581000,612791000,170407000,150567000,291817000,1302372000,1492113000,565578000,222341000,-6437000,781482000,781482000,2273595000,20352000,19857000,8416000.00000001,31263000,79888000,-53262000,-58725000,-13942000,-2939999.99999999,-885000.000000015,20278000,20278000,20278000,51094000,695764000,32629000,0.31266,0.14483,0.09436,0.02604,0.00895,1.60323,1.3432,1.90934,0.30602,0.51137,0.5082,5.41908,19.63554,0.81984,0.35031,0.01641,0.01561,0.68504
"41","2020_Q2",38.6077777777778,"Down",234747000,-159059000,75688000,-36399000,-20399000,-1.6e+07,39289000,-8512000,-8123000,-389000,30777000,29906000,-5638000,24268000,24268000,24268000,24268000,96158000,96158000,98152000,53990000,53990000,256184000,1537568000,9462000,502788000,37572000,454223000,2049818000,2306002000,123254000,99501000,23753000,20199000,32235000,175688000,724318000,605977000,158794000,156113000,291070000,1330295000,1505983000,574551000,231702000,-6234000,800019000,800019000,2306002000,24268000,20399000,-3692000,-19198000,21777000,-72572000,-75059000,-14907000,48547000,39967000,-13315000,-13315000,-13315000,59688000,744517000,-26444000,0.32242,0.16737,0.10338,0.03033,0.01052,-1.08967,1.45818,1.88243,0.32286,0.60342,0.60003,5.83699,19.89249,-0.65753,0.37066,0.01822,-0.0123,0.61427
"42","2020_Q3",35.6396875,"Down",192756000,-129481000,63275000,-35366000,-20436000,-14930000,27909000,-6252000,-8662000,2410000,21657000,20789000,-3808000,16981000,16981000,16981000,16981000,84197000,84197000,89754000,53460000,53460000,266923000,1608755000,10581000,502980000,37572000,454705000,2122316000,2389239000,161664000,133967000,27697000,41500000,29759000,232923000,724389000,609872000,158502000,159507000,291863000,1334261000,1567184000,594385000,233705000,-6035000,822055000,822055000,2389239000,16981000,20436000,3309000,11398000,52124000,-43305000,-45396000,-14978000,21228000,24900000,31628000,31628000,31628000,48345000,765889000,20246000,0.32826,0.14479,0.0881,0.02066,0.00711,1.19227,1.14597,1.90642,0.32056,0.41915,0.41746,4.75785,20.291,0.49974,0.36971,0.01454,0.00921,0.88204
"43","2020_Q4",38.10625,"Up",235755000,-144683000,91072000,-38343000,-20395000,-17948000,52729000,-6856000,-8568000,1712000,45873000,45031000,-9097000,35934000,35934000,35934000,35934000,100423000,100423000,81871000,47718000,47718000,274916000,1992803000,10791000,255997000,37572000,208006000,2259591000,2534507000,219187000,189327000,29860000,48815000,31734000,299736000,764274000,618427000,158609000,170088000,289730000,1382701000,1682437000,603562000,254468000,-5960000,852070000,852070000,2534507000,35934000,20395000,10552000,494000,67375000,-100136000,-101840000,-15171000,47224000,39857000,5392000,5392000,5392000,73124000,813089000,-17421000,0.3863,0.22366,0.15242,0.04217,0.01418,-0.48481,0.91719,1.97453,0.32081,0.87828,0.87478,5.76221,20.82589,-0.4258,0.3708,0.02238,-0.00763,0.42219
"44","2021_Q1",40.3722950819672,"Up",226849000,-154876000,71973000,-47451000,-20807000,-26644000,24522000,-6772000,-9094000,2322000,17750000,20331000,-1663000,18668000,18668000,18668000,18668000,113959000,113959000,92165000,27545000,27545000,234832000,2049273000,51856000,242393000,37572000,194677000,2343522000,2578354000,148069000,120618000,27451000,221084000,67633000,436786000,624432000,646170000,181414000,170781000,293975000,1270602000,1707388000,621595000,257878000,-8507000,870966000,870966000,2578354000,18668000,20807000,-4946000,36116000,70645000,-150529000,-153357000,-15258000,32816000,38971000,-43741000,-43741000,-43741000,45329000,845516000,-67421000,0.31727,0.1081,0.08229,0.02143,0.00724,-3.61158,0.53764,1.96034,0.32793,0.45316,0.45069,5.50663,21.14221,-1.63661,0.37038,0.01436,-0.02854,0.81733
"45","2021_Q2",45.5392063492064,"Up",261710000,-177372000,84338000,-40139000,-22126000,-18013000,44199000,-8238000,-9398000,1160000,35961000,35578000,-5249000,30329000,30329000,30329000,30329000,134390000,134390000,92426000,30935000,30935000,258963000,2060792000,54446000,244339000,37572000,196898000,2359577000,2618540000,130708000,113073000,17635000,274792000,53929000,459429000,624485000,646759000,170448000,177748000,298563000,1271244000,1730673000,624260000,271999000,-8392000,887867000,887867000,2618540000,30329000,22126000,-1744000,-35441000,15270000,-46832000,-49020000,-16208000,53685000,33799000,49000,49000,49000,66325000,899277000,-10699000,0.32226,0.16889,0.11589,0.03416,0.01158,-0.35276,0.56366,1.94925,0.34343,0.73161,0.72731,6.31311,21.41761,-0.25809,0.39098,0.01912,-0.0044,0.53441
"46","2021_Q3",50.83109375,"Up",285608000,-182606000,103002000,-43180000,-23169000,-20011000,59822000,-8821000,-9555000,734000,51001000,50377000,-8308000,42069000,42069000,42069000,42069000,163424000,163424000,103024000,36973000,36973000,304901000,2073009000,55809000,237868000,37572000,190702000,2366686000,2671587000,154989000,131214000,23775000,267920000,60575000,483484000,624540000,648440000,169869000,184645000,293926000,1272980000,1756464000,625564000,297850000,-8291000,915123000,915123000,2671587000,42069000,23169000,5187000,-17121000,53304000,-25497000,-27383000,-16218000,-6893999.99999999,-25653000,268000.000000007,268000,268000,82991000,892460000,48681000,0.36064,0.20945,0.1473,0.04597,0.01575,1.15717,0.63063,1.91937,0.33406,1.01371,1.006,6.88212,22.05116,1.17304,0.3908,0.02373,0.01982,0.38551
"47","2021_Q4",62.3371875,"Up",316294000,-198253000,118041000,-43513000,-22815000,-20698000,74528000,-9445000,-9648000,203000,65083000,64578000,-11824000,52754000,52754000,52754000,52754000,178759000,178759000,114615000,40321000,40321000,334967000,2083223000,55456000,239502000,37572000,192611000,2378181000,2713148000,163892000,135437000,28455000,267819000,78376000,510087000,594619000,655960000,169536000,193349000,293075000,1250579000,1760666000,626268000,334385000,-8171000,952482000,952482000,2713148000,52754000,22814000,8014000,2596000,86178000,-39164000,-40681000,-16219000,-30100000,-45705000,-208000,-208000,-208000,97342000,862438000,72598000,0.3732,0.23563,0.16679,0.05539,0.01944,1.37616,0.65669,1.8485,0.31787,1.271,1.26004,7.62044,22.94806,1.7491,0.39076,0.02791,0.02938,0.30745
"48","2022_Q1",60.9193548387097,"Down",333232000,-214544000,118688000,-49545000,-23248000,-26297000,69143000,-8367000,-9170000,803000,60776000,62288000,-10671000,51617000,51617000,51617000,51617000,174953000,174953000,148490000,44374000,44374000,369354000,2124605000,56690000,204181000,37572000,157565000,2385476000,2754830000,166793000,135089000,31704000,121146000,99760000,387699000,734014000,642340000,140454000,204929000,296957000,1376354000,1764053000,627518000,369783000,-6524000,990777000,990777000,2754830000,51617000,23249000,9746000,-8121000,76491000,-50634000,-54426000,-16219000,-6694000,-21800000,265000,265000,265000,92392000,855160000,44308000,0.35617,0.20749,0.1549,0.0521,0.01874,0.8584,0.95268,1.78047,0.31042,1.34493,1.34999,8.68266,25.8156,1.15449,0.4226,0.02726,0.01781,0.31422
"49","2022_Q2",62.1690322580645,"Up",374904000,-231419000,143485000,-45186000,-23548000,-21638000,98299000,-8688000,-8948000,260000,89611000,89633000,-17630000,72003000,72003000,72003000,72003000,218896000,218896000,145857000,36267000,36267000,402391000,2128344000,57893000,203113000,37572000,156773000,2389350000,2791741000,138868000,119022000,19846000,127760000,106527000,373155000,734074000,637374000,119536000,220352000,297486000,1371448000,1744603000,629478000,424605000,-6945000,1047138000,1047138000,2791741000,72003000,23548000,-334000,-49801000,45416000,-27832000,-31449000,-17181000,6608000,-14133000,-166000,-166000,-166000,121847000,861834000,61844000,0.38272,0.2622,0.19206,0.06876,0.02579,0.85891,1.07835,1.66607,0.30871,1.73301,1.71964,9.02339,25.20309,1.4885,0.41352,0.03502,0.02429,0.23862
"50","2022_Q3",70.94546875,"Up",400040000,-233721000,166319000,-45253000,-23566000,-21687000,121066000,-9880000,-8991000,-889000,111186000,111937000,-2.6e+07,85937000,85937000,85937000,85937000,225838000,225838000,146964000,36598000,36598000,471389000,2149919000,53555000,200637000,37572000,154572000,2404111000,2875500000,158090000,133287000,24803000,29996000,100067000,288153000,823699000,647105000,118448000,230207000,298450000,1470804000,1758957000,630105000,493351000,-6913000,1116543000,1116543000,2875500000,85937000,23565000,14908000,5804000,130214000,-40119000,-42446000,-17191000,-7771000,-27150000,60618000,60618000,60618000,144631000,853695000,136316000,0.41576,0.30263,0.21482,0.07697,0.02989,1.58623,1.6359,1.57536,0.29689,2.06594,2.04885,9.61704,26.84191,3.27706,0.41327,0.0394,0.05208,0.20004
