"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"34","2019_Q1",33.6311475409836,"Up",39054000,-25451000,13603000,-15496000,-14670000,-1893000,16265000,-362000,17197000,-570000,14372000,14944000,-3928000,11016000,11016000,11016000,11016000,85257000,85257000,20817000,20817000,31209000,26891000,14562000,164174000,124554000,68172000,27656000,212817000,376991000,27599000,7746000,19853000,654000,13995000,13995000,42248000,6367000,77672000,10429000,51458000,84039000,126287000,13963000,250352000,-13611000,250704000,250704000,376991000,15771000,-5184000,219000,-4965000,-1145000,-6918000,-8599000,2207000,2207000,2207000,7021000,0.34831,-0.04847,0.28207,0.04394,0.02922,3.88596,0.50373,0.01862,1.59145,1.56901,5.64201,36.21843,0.16541,0.03626,0.10394,41.32911
"35","2019_Q2",43.1822222222222,"Up",40097000,-26712000,13385000,-13300000,-12653000,85000,16537000,322000,16592000,-377000,16622000,17338000,-2320000,15018000,15018000,15018000,15018000,79058000,79058000,19341000,19341000,32799000,32833000,18898000,164031000,125842000,80646000,40777000,229756000,393787000,21739000,8224000,13515000,573000,27258000,27258000,49570000,7448000,72502000,10067000,56409000,79950000,129520000,13560000,264217000,-13510000,264267000,264267000,393787000,-544000,-4234000,-13000,-4247000,-1153000,1045000,-1408000,-6199000,-6199000,-6199000,8021000,0.33382,0.00212,0.37454,0.05683,0.03814,3.30908,0.49011,0.02037,2.16117,2.14604,5.77018,38.0295,0.16592,0.0469,0.07677,-835.72941
"36","2019_Q3",48.4825,"Up",41352000,-32684000,8668000,-13669000,-12788000,-5001000,14484000,359000,14466000,-341000,9483000,9763000,-1788000,7975000,7975000,7975000,7975000,98423000,98423000,19043000,19043000,30876000,27239000,14891000,175581000,122327000,78899000,39912000,223599000,399180000,25096000,7703000,17393000,499000,27572000,27572000,53167000,7503000,66360000,9711000,50408000,73863000,127030000,14724000,270865000,-13439000,272150000,272150000,399180000,22632000,-1696000,-9000,-1705000,-1327000,-150000,-1562000,19365000,19365000,19365000,8002000,0.20962,-0.12094,0.19286,0.0293,0.01998,3.30244,0.46676,0.02005,1.14239,1.14124,5.92351,38.98439,0.19009,0.02684,0.16639,18.0805800000003
"37","2019_Q4",49.45796875,"Up",32603000,-26416000,6187000,-15056000,-14341000,-8869000,20288000,1648000,17765000,875000,11419000,11621000,-1357000,10264000,10264000,10264000,10264000,115061000,115061000,13540000,13540000,33087000,18622000,12515000,180310000,129585000,79775000,41502000,232460000,412770000,29247000,9004000,20243000,394000,23134000,23134000,52775000,7284000,69456000,9365000,52730000,76740000,129515000,16823000,279801000,-13369000,283255000,283255000,412770000,25176000,-2859000,2000,-2857000,-1328000,-4328000,-5681000,16638000,16638000,16638000,7678000,0.18977,-0.27203,0.31482,0.03624,0.02487,3.41658,0.45724,0.0186,1.46859,1.46838,4.6649,40.52869,0.19001,0.03217,0.12938,12.10768
"38","2020_Q1",38.5014516129032,"Down",26938000,-24050000,2888000,-14372000,-14001000,-11484000,15608000,415000,16360000,-1167000,4124000,4677000,1698000,6375000,6375000,6375000,6375000,122892000,122892000,15444000,15444000,40465000,21867000,6528000,200668000,138061000,106044000,43531000,244105000,444773000,29534000,9951000,19583000,795000,31637000,31637000,61966000,17148000,76267000,8807000,55122000,93415000,155381000,15877000,284852000,-11337000,289392000,289392000,444773000,5520000,-11303000,-150000,-11453000,-1324000,16691000,13764000,7831000,7831000,7831000,17943000,0.10721,-0.42631,0.23665,0.02203,0.01433,3.23836,0.53692,0.04034,0.91372,0.904,3.86097,41.478,0.18977,0.02007,0.20769,9.13870999999999
"39","2020_Q2",25.3398412698413,"Down",37644000,-32563000,5081000,-13504000,-12727000,-8423000,15715000,-2000,16003000,-286000,7292000,6096000,70000,6166000,6166000,6166000,6166000,93726000,93726000,21122000,21122000,35996000,38083000,17068000,188927000,139609000,8e+07,42875000,246993000,435920000,14902000,8383000,6519000,933000,22272000,20069000,38107000,22649000,81327000,8322000,54432000,103976000,142083000,15340000,289679000,-11182000,293837000,293837000,435920000,-31122000,-5358000,16000,-5342000,-1339000,9639000,7298000,-29166000,-29166000,-29166000,23582000,0.13498,-0.22375,0.1638,0.02098,0.01414,4.9578,0.48354,0.0541,0.88086,0.87585,5.37771,41.97671,0.19129,0.01882,0.21716,8.32767
"40","2020_Q3",20.53375,"Down",35355000,-31515000,3840000,-13383000,-12591000,-9543000,13368000,-201000,13778000,-209000,3825000,5584000,466000,6050000,6050000,6050000,6050000,95546000,95546000,20335000,20335000,35732000,39090000,15563966.4479684,190703000,143208000,83706000,47373000,252251000,442954000,21227000,9822000,11405000,941000,17093000,15867000,39261000,22482000,81940000,7883000,55712000,104422000,143683000,15974000,294378000,-11081000,299271000,299271000,442954000,18633000,-6891000,-411000,-9302000,-1351000,-6160000,-7511000,1820000.00000001,1819999.99999999,1819999.99999999,23423000,0.10861,-0.26992,0.17112,0.02022,0.01366,4.85731,0.48011,0.05288,0.86182,0.86084,5.03632,42.6312,0.19245,0.01829,0.22331,7.55769
"41","2020_Q4",22.68765625,"Up",32295000,-25475000,6820000,-12567000,-11833000,-5747000,15591000,-241000,15145000,687000,9844000,9879000,-1857000,8022000,8022000,8022000,8022000,97567000,97567000,16507000,16507000,42433000,42097000,5388678.13762833,198604000,156598000,110700000,49556000,267298000,465902000,24854000,14289000,10565000,960000,10764000,9071000,36578000,22182000,100653000,7430000,64710000,122835000,159413000,16426000,301045000,-10982000,306489000,306489000,465902000,15249000,-7003000,467000,-6536000,-1355000,-5337000,-6692000,2021000,2021000,2021000,23142000,0.21118,-0.17795,0.2484,0.02617,0.01722,5.4296,0.52013,0.04967,1.13997,1.13997,4.58931,43.55393,0.19255,0.02179,0.16891,12.95023
"42","2021_Q1",23.5396721311475,"Up",23138000,-21910000,1228000,-16180000,-15911000,-14952000,15113000,290000,15277000,-454000,161000,-7301000,1856000,-5445000,-5445000,-5445000,-5445000,88450000,88450000,18894000,18894000,47551000,33251000,2564000,188146000,172417000,115616000,51308000,288033000,476179000,20077000,5522000,14430000,22112000,10068000,9127000,52257000,24353000,98945000,8838000,72557000,123298000,175555000,17953000,294270000,-11599000,300624000,300624000,476179000,-5246000,-10364000,-259000,-24804000,-1330000,21931000,20933000,-9117000,-9117000,-9117000,46465000,0.05307,-0.64621,-0.23533,-0.01811,-0.01143,3.6004,0.58397,0.09758,-0.77267,-0.76443,3.28338,42.65986,0.18873,-0.00922999999999999,-0.24426,2.80799
"43","2021_Q2",24.1468253968254,"Up",45105000,-37413000,7692000,-14745000,-13763000,-7053000,14853000,-236000,15342000,-253000,7800000,8664000,297000,8961000,8961000,8961000,8961000,79132000,79132000,22301000,22301000,45102000,46246000,11903000,192781000,169135000,117313000,53202000,286448000,479229000,15546000,8237000,7309000,2068000,28305000,28305000,45919000,24292000,99649000,8315000,73361000,123941000,169860000,18968000,301857000,-11456000,309369000,309369000,479229000,-910000,-4832000,-649889.742977062,-4832000,-1374000,-2187000,-3576000,-9318000,-9318000,-9318000,26360000,0.17054,-0.15637,0.19867,0.02897,0.0187,4.19828,0.54905,0.05501,1.26193,1.25469,6.35192,43.56696,0.19349,0.02374,0.15333,7.48221
"44","2021_Q3",25.5271875,"Up",45896000,-36911000,8985000,-13789000,-12878000,-4804000,13046000,-259000,13542000,-237000,8242000,9436000,-2931000,6505000,6505000,6505000,6505000,85012000,85012000,21277000,21277000,49716000,33308000,7977000,189313000,175553000,109173000,54809000,284726000,474039000,19606000,10406000,9200000,10168000,10651000,10651000,40425000,21805000,96082000,7847000,73451000,117887000,158312000,20090000,306950000,-11313000,315727000,315727000,474039000,30228000,-11236000,-389102.563712676,-11236000,-1412000,-11694000,-13112000,5880000,5880000,5880000,31973000,0.19577,-0.10467,0.14173,0.0206,0.01372,4.68307,0.50142,0.06745,0.91607,0.91081,6.46332,44.46233,0.19885,0.01784,0.21706,11.04059
"45","2021_Q4",31.8953125,"Up",51742000,-37413000,14329000,-14732000,-13830000,-403000,17049000,-392000,17652000,-211000,16646000,27434000,-2597000,24837000,24837000,24837000,24837000,87507000,87507000,19127000,19127000,50955000,34794000,4184000,192383000,189369000,107166000,55320000,296535000,488918000,27477000,13904000,13011000,2503000,10930000,10930000,40910000,14501000,92588000,7361000,72664000,107089000,147999000,21716000,330373000,-11170000,340919000,340919000,488918000,38476000,-18919000,-52000.0000000007,-18971000,-1414000,-15617000,-17010000,2495000,2495000,2495000,17004000,0.27693,-0.00779,0.48002,0.07285,0.0508,4.70259,0.43412,0.03478,3.48052,3.47225,7.25084,47.77452,0.19815,0.05827,0.05693,174.94541
"46","2022_Q1",32.6572580645161,"Up",49103000,-36657000,12446000,-16012000,-15251000,-3566000,13912000,-383000,14307000,-12000.0000000001,10346000,11316000,-3494000,7822000,7822000,7822000,7822000,86005000,86005000,25667000,25667000,54085000,37296000,2016000,203053000,193167000,1.06e+08,55136000,304167000,507220000,29288000,12208000,16339000,2527000,14201000,10119000,46016000,18183000,90905000,6605000,69508000,109088000,155104000,23514000,336778000,-8176000,352116000,352116000,507220000,7081000,-3610000,-167000,-9108000,-1417000,3697000,525000,-1502000,-1502000,-1502000,20710000,0.25347,-0.07262,0.1593,0.02221,0.01542,4.41266,0.44049,0.04083,1.0786,1.08624,6.77096,48.55433,0.19539,0.01992,0.18116,18.31043
"47","2022_Q2",47.6003225806452,"Up",55023000,-39176000,15847000,-15631000,-14784000,216000,14074000,-368000,14592000,-150000,14290000,14944000,-2362000,12582000,12582000,12582000,12582000,81620000,81620000,27226000,27226000,55967000,41839000,11283000,206652000,196463000,109892000,60513000,306355000,513007000,19986000,11037000,8040000,2965000,13473000,10484000,36424000,22573000,89516000,6001000,69212000,112089000,148513000,24637000,347915000,-8058000,364494000,364494000,513007000,-1070000,-4514000,-1074746.15334487,-4514000,-1445000,2659000,1199000,-4385000,-4385000,-4385000,25538000,0.28801,0.00393,0.22867,0.03452,0.02453,5.67351,0.40745,0.04978,1.75334,1.72877,7.66764,50.79348,0.20137,0.02925,0.11485,-259.63889
"48","2022_Q3",41.19075,"Down",61369000,-45726000,15643000,-16899000,-15841000,-1256000,31890000,-301000,14622000,17569000,30634000,45073000,-7893000,37180000,37180000,37180000,37180000,97113000,97113000,32143000,32143000,56956000,32364000,7766000,218576000,210470000,100516000,55269000,328768000,547344000,28656000,16490000,11281000,2929000,12053000,10250000,43638000,15498000,85605000,5422000,69375000,101103000,144741000,26969000,383574000,-7940000,402603000,402603000,547344000,41551000,-17580000,-3068938.46003461,-17580000,-1521000,-6950000,-8478000,15493000,15493000,15493000,18427000,0.2549,-0.02047,0.60584,0.09235,0.06793,5.00885,0.35951,0.03367,5.18116,5.10855,8.55198,56.1041,0.21196,0.07639,0.04091,62.6480900000001
