"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q2",3.19873015873016,"Up",972000,-1191000,-219000,-1091000,-757000,-334000,-1310000,39000,-5000,-36000,80000,-1271000,-983000,-983000,-983000,-978000,-978000,2574000,2574000,183000,183000,2220000,378000,378000,5355000,6678000,1180000,95000,910000,175000,7858000,13213000,6214000,634000,5580000,335000,7049000,1921000,-2.27373675443232e-13,0,1921000,8970000,175698000,-175229000,3732000,4201000,4243000,13213000,-983000,264000,-73000,-474000,-1266000,485000,485000,-83000,-83000,-864000,-864000,17000,-847000,-1046000,2256000,-0.22531,-1.34774,-1.00617,-0.2305,-0.07402,0.75968,2.11407,0.17074,-0.27472,-0.27472,0.27303,1.18006,-0.15048,0.30402,0.24275
"34","2019_Q3",2.55015625,"Down",1630000,-1628000,2000,-917000,-619000,-298000,-915000,71000,-36000,233000,-126000,-844000,-844000,-844000,-844000,-847000,-847000,1635000,1635000,736000,736000,2073000,355000,355000,4799000,6448000,1181000,93000,912000,176000,7629000,12428000,3122000,973000,2149000,337000,3959000,5040000,0,0,5040000,8999000,175745000,-176076000,3714000,3383000,3429000,12428000,-844000,281000,187000,-336000,-712000,-39000,-3039000,3116000,3115000,-636000,-636000,-303000,-939000,-634000,5377000,0.00123000000000001,-0.56135,-0.51963,-0.24701,-0.06815,1.21217,2.62438,0.43265,-0.23672,-0.23672,0.45556,0.9455,-0.09618,-5.90221,-4.08962
"35","2019_Q4",2.405625,"Down",1745000,-1405000,340000,-1041000,-597000,-444000,-701000,-157000,-74000,-177000,94000,-858000,-858000,-858000,-858000,-859000,-859000,1060000,1060000,562000,562000,1945000,441000,441000,4008000,6029000,1147000,96000,888000,163000,7176000,11184000,2837000,658000,2179000,329000,3666000,4908000,-1.81898940354586e-12,0,4908000,8574000,175772000,-176935000,3728000,2565000,2610000,11184000,-858000,282000,275000,-595000,-896000,-17000,-17000,-81000,-81000,-994000,-994000,419000,-575000,-419000,5237000,0.19484,-0.40172,-0.49226,-0.32912,-0.07681,1.09329,3.28506,0.46826,-0.23928,-0.23928,0.48607,0.71448,-0.10947,-9.96897,-5.95863
"36","2020_Q1",1.97354838709677,"Down",1555000,-1226000,329000,-1356000,-819000,-537000,-1027000,147000,-75000,20000,202000,-880000,-880000,-880000,-880000,-881000,-881000,1363000,1363000,703000,703000,2083000,479000,460000,4628000,5878000,1156000,93000,894000,169000,7034000,11662000,3022000,680000,2342000,398000,3920000,5954000,82218.3581844535,82218.3581834569,5954000,9874000,175804000,-177816000,3753000,1741000,1788000,11662000,-880000,266000,215000,-273000,-672000,-57000,-57000,1103000,1103000,374000,374000,-54000,320000,-761000,6352000,0.21158,-0.66045,-0.56656,-0.49273,-0.07554,1.18061,5.52237,0.54468,-0.24527,-0.24527,0.43291,0.48469,-0.10823,-6.55585,-4.85784
"37","2020_Q2",2.50396825396825,"Up",1563000,-1045000,518000,-1156000,-726000,-430000,-638000,237000,-78000,158000,157000,-401000,-322000,-322000,-322000,-317000,-317000,688000,688000,936000,936000,2312000,1366000,884000,5302000,5935000,1506000,93000,920000,493000,7441000,12743000,3326000,649000,2677000,410000,5174000,5932000,159000,159000,6091000,11265000,175839000,-178133000,3729000,1435000,1478000,12743000,-322000,207000,75000,-284000,-324000,21000,21000,-103000,-103000,-406000,-467000,-143000,-610000,-431000,6342000,0.33141,-0.40819,-0.20282,-0.21448,-0.02488,1.02474,7.62179,0.49769,-0.08818,-0.08818,0.43477,0.39917,-0.03973,-13.11833,-8.86207
"38","2020_Q3",3.11234375,"Up",1537000,-989000,548000,-940000,-633000,-307000,-392000,108000,-1e+05,41000,167000,-284000,350000,350000,350000,348000,348000,3157000,3157000,1011000,1011000,2513000,891000,808000,7572000,5842000,1478000,91000,928000,459000,7320000,14892000,3447000,618000,2829000,3613000,7696000,4620000,137000,137000,4757000,12453000,175902000,-177785000,4276000,2393000,2439000,14892000,350000,205000,-409000,-16000,130000,-109000,-109000,1896000,2496000,2517000,2517000,-45000,2472000,-187000,8233000,0.35654,-0.25504,0.22642,0.14268,0.02337,0.98389,5.10578,0.55285,0.09632,0.08995,0.42541,0.66233,0.0322,-27.14439,-12.94898
"39","2020_Q4",3.0459375,"Down",1569000,-1153000,416000,-1157000,-782000,-375000,-741000,232000,-95000,57000,270000,-509000,-509000,-509000,-509000,-513000,-513000,2476000,2476000,1452000,1452000,2680000,873000,788000,7481000,5733000,1454000,89000,935000,430000,7187000,14668000,3698000,748000,2950000,3240000,7554000,4361000,121000,121000,4482000,12036000,177214000,-178298000,3667000,2583000,2632000,14668000,-509000,211000,272000,-566000,-592000,-73000,-73000,-72000,26000,-639000,-639000,-40000,-679000,-530000,7601000,0.26514,-0.47228,-0.32696,-0.19491,-0.03497,0.99034,4.57295,0.5182,-0.12185,-0.12974,0.37268,0.61354,-0.04955,-9.66981,-6.91633
"40","2021_Q1",4.63819672131148,"Up",1399000,-1291000,108000,-1093000,-667000,-426000,-985000,329000,-85000,96000,318000,-656000,-66000.0000000001,-65999.9999999999,-65999.9999999999,-61999.9999999998,-61999.9999999998,2832000,2832000,1331000,1331000,2476000,866000,781000,7505000,5645000,1430000,89000,952000,389000,7075000,14580000,3190000,536000,2654000,4750000,8997000,2909000,106000,106000,3015000,12012000,177235000,-178360000,3647000,2522000,2568000,14580000,-65999.9999999999,220000,-431000,62000,-215000,539000,679000,-4000,-4000,460000,460000,-102000,358000,-765000,7659000,0.0772,-0.70407,-0.0443199999999999,-0.02414,-0.00425,0.83417,4.67757,0.52531,-0.01453,-0.01453,0.32794,0.59119,-0.006,-6.3098,-4.90051
"41","2021_Q2",10.4809523809524,"Up",719000,-741000,-22000,-1027000,-681000,-346000,-1049000,265000,-92000,187000,170000,-784000,-707000,-707000,-707000,-697000,-697000,2693000,2693000,594000,594000,2765000,837000,750000,6889000,5621000,1424000,88000,974000,362000,7045000,13934000,3152000,424000,2728000,4884000,9149000,2852000,90999.9999999999,91000.0000000001,2943000,12092000,177247000,-179057000,3618000,1808000,1842000,13934000,-707000,215000,140000,440000,88000,30000,30000,351049.678016871,-12000,106000,106000,-241000,-135000,-834000,7736000,-0.0306,-1.45897,-0.9694,-0.37839,-0.05002,0.75298,6.5646,0.55519,-0.17369,-0.17369,0.17917,0.45054,-0.07209,-6.04676,-4.80744
"42","2021_Q3",9.4915625,"Down",1206000,-965000,241000,-955000,-667000,-288000,-714000,253000,-92000,38000,307000,-461000,-254000,-254000,-254000,-255000,-255000,2086000,2086000,8e+05,8e+05,2905000,831000,743000,6622000,5549000,2956000,120000,992000,1844000,8505000,15127000,2922000,439000,2483000,5023000,9182000,2777000,1546000,1546000,4323000,13505000,177313000,-179312000,3585000,1586000,1622000,15127000,-254000,228000,59000,-746000,-713000,147000,147000,211574.067927242,5.82076609134674e-11,-566000,-566000,-34000,-6e+05,-486000,7800000,0.19983,-0.59204,-0.21144,-0.15721,-0.01686,0.72119,8.32614,0.51563,-0.06354,-0.06354,0.30052,0.39522,-0.02325,-11.7572,-8.0028
"43","2021_Q4",6.68359375,"Down",1439000,-775000,664000,-1258000,-730000,-528000,-594000,535000,-94000,155000,474000,-59000,-57000,-57000,-57000,-64000,-64000,1666000,1666000,1067000,1067000,3618000,834000,744000,7185000,5462000,2990000,130000,1015000,1845000,8452000,15637000,3366000,530000,2836000,5125000,9793000,2710000,1562000,1562000,4272000,14065000,177361000,-179376000,3543000,1528000,1572000,15637000,-57000,231000,205000,-580000,-201000,-9000,-9000,-43000,-43000,-253000,-253000,-163000,-416000,-363000,7835000,0.46143,-0.41279,-0.04448,-0.04071,-0.00409,0.73369,8.9472,0.50106,-0.01595,-0.01595,0.35858,0.38076,-0.00583000000000001,-16.99449,-10.38552
"44","2022_Q1",3.64741935483871,"Down",1371000,-1221000,150000,-1997000,-1536000,-461000,-1847000,8000,-93000,-38000,139000,-1839000,-1839000,-1839000,-1839000,-1835000,-1835000,4833000,4833000,906595.446290057,906595.446290057,3937000,1284000,329000,10054000,5244000,2941000,126000,1011000,1804000,8185000,18239000,3536000,753000,2783000,5109000,9507000,2569000,1537000,1537000,4106000,13613000,182255000,-181211000,3543000,4587000,4626000,18239000,-1839000,223000,845000,-140000,-911000,-9000,-9000,-130000,4045000,3125000,3125000,42000,3167000,-1624000,7678000,0.10941,-1.34719,-1.33844,-0.39667,-0.10061,1.05754,2.94272,0.42097,-0.41143,-0.41143,0.3074,1.02848,-0.13258,-1.75185,-1.54034
"45","2022_Q2",2.82064516129032,"Down",1465000,-1262000,203000,-1181000,-777000,-404000,-978000,453000,-91000,-22000,566000,-525000,-525000,-525000,-525000,-518000,-518000,4082000,4082000,811000,811000,4252000,395000,305000,9540000,5036000,2893000,122000,1010000,1761000,7929000,17469000,3332000,757000,2575000,5113000,9368000,2434000,1515000,1515000,3949000,13317000,182298000,-181729000,3552000,4121000,4152000,17469000,-525000,221000,274000,-577000,-607000,-31000,-31000,-130000,-130000,-768000,-768000,17000,-751000,-757000,7547000,0.13857,-0.66758,-0.35358,-0.12476,-0.02965,1.01836,3.20737,0.43202,-0.11614,-0.11614,0.32848,0.92399,-0.0392,-4.57728,-3.54294
"46","2022_Q3",2.83203125,"Up",2176000,-1653000,523000,-1041000,-746000,-295000,-518000,227000,-92000,-66000,385000,-291000,-152000,-152000,-152000,-172000,-172000,3712000,3712000,1437000,1437000,4331000,350000,261000,9830000,4812000,3029000,112000,1001000,1916000,7841000,17671000,3433000,997000,2436000,5113000,9603000,2285000,1603000,1603000,3888000,13491000,182452000,-181901000,3578000,4129000,4180000,17671000,-152000,217000,210000,-699000,-424000,115000,115000,-130000,-130000,-439000,-439000,67000,-372000,-301000,7398000,0.24035,-0.23805,-0.07904,-0.04115,-0.00973,1.02364,3.22751,0.41865,-0.03857,-0.03857,0.48789,0.92578,-0.01305,-12.24585,-7.11583
