"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q3",3.8334375,"Up",77001091,-70307006,6694085,-5817155,-5817155,876930,-474879,-602858,127979,402051,402051,-1125992,-723941,-723941,-723941,-723941,1729119,1729119,33948731,33948731,89402592,4949333,1723085,1626866,130029775,34407753,5092447,2900440,1679460,39500200,169529975,59949414,52661282,7288132,3727885,63677299,46294480,1882493,1882493,48176973,111854272,23290213,34385490,57675703,57675703,169529975,-723941,1247514,1099935,-2071515,-448007,-821403,-821403,-71961550.0000001,73154981,1193431,-75979,-75979,-75979,2124444,50022365,357517.999999998,0.08693,0.01139,-0.0094,-0.01255,-0.00427,-0.493849999999996,2.04201,1.93937,0.29507,-0.17114,-0.17114,18.20353,13.63489,0.0845199999999998,-0.00661,0.00326,22.73218,55.07081
"35","2019_Q4",4.23515625,"Up",68852050,-63322930,5529120,-5539831,-5539831,-10711,-590422,-627060,36638,-601133,-601133,5607,-595526,-595526,-595526,-595526,2026101,2026101,29557061,29557061,95417027,5640520,2336389,1422181,132640709,33723247,4730300,2806900,1582655,38453547,171094256,60102183,53740195,6361988,3037220,63139403,48834498,1837432,1837432,50671930,113811333,23492959,33789964,57282923,57282923,171094256,-595526,1245569,475605,-2115198,-989550,-77045,-77045,4099959,-2736382,1363577,296982,296982,296982,1234858,51871718,-962992,0.0803,-0.00016,-0.00865,-0.0104,-0.00348,1.61704,2.10076,1.98683,0.30318,-0.14079,-0.14079,16.27705,13.54204,-0.22766,-0.00537,-0.00867999999999999,40.36546,-4653.68472
"36","2020_Q1",3.57677419354839,"Down",73286753,-64957245,8329508,-5972015,-5972015,2357493,-568497,-629889,61392,1788996,1788996,-808036,980960,980960,980960,980960,1005810,1005810,31441381,31441381,85579575,5518523,2436894,1741890,123545289,33232769,4686707,2713360,1589325,37919476,161464765,52717724,45627014,7090710,2828121,55606766,45573738,1996812,1835229,47570550,103177316,23516525,34770924,58287449,58287449,161464765,980960,1246829,883856,147508,3259153,-756373,-756373,318471501,-321994572,-3523071,-1020291,-1020291,-1020291,3604322,48401859,3803493,0.11366,0.03217,0.01339,0.01683,0.00608,3.87732,2.22177,1.77015,0.29977,0.23187,0.23187,17.32263,13.77728,0.89902,0.00903,0.035,13.14978,20.10443
"37","2020_Q2",3.13301587301587,"Down",74009981,-67049649,6960332,-5827326,-5827326,1133006,-524866,-591228,66362,608140,608140,-247115,361025,361025,361025,361025,1487730,1487730,31929092,31929092,74255011,5446310,2426259,1875358,113118143,32681869,9988547,2621940,6982585,42670416,155788559,44156132,36240995,7915137,4563004,48760967,46563970,1815153,1644284,48379123,97140090,23516525,35131944,58648469,58648469,155788559,361025,1235516,659789,1814504,4070834,-684667,-684667,82623825,-85528072,-2904247,481920,481920,481920,2368522,51126974,3745474,0.09405,0.01531,0.00488,0.00616,0.00232,10.37456,2.31985,1.65631,0.32818,0.08511,0.08511,17.44744,13.82605,0.88297,0.00324,0.03356,20.9579,43.8119899999998
"38","2020_Q3",3.12734375,"Down",74855312,-67725826,7129486,-5700288,-5700288,1429198,-451909,-462772,10863,977289,977289,-316106,661183,661183,661183,661183,3470466,3470466,29924877,29924877,71415245,3898294,2084528,694454,108708882,32018795,10931213,2531610,8015582,42950008,151658890,42958846,34953236,8005610,4883258,47933184,42553617,1862437,1679873,44416054,92349238,23516525,35793127,59309652,59309652,151658890,661183,1220640,696544,4743656,7322023,96333.0000000001,96332.9999999999,87266161,-92701781,-5435620,1982736,1982736,1982736,2649838,47436875,7805933,0.09524,0.01909,0.00883,0.01115,0.00436,11.80601,2.26793,1.55707,0.31279,0.15585,0.15516,17.64411,13.97985,1.83993,0.00609,0.07187,16.59211,30.76299
"39","2020_Q4",3.72078125,"Up",67407268,-61885491,5521777,-5469654,-5469654,52123,-371893,-401837,29944,-319770,-319770,102731,-217039,-217039,-217039,-217039,945146,945146,25606523,25606523,73881813,4529124,2581267,558882,104962606,32333369,11160726,2441279,8335425,43494095,148456701,44333399,37638624,6694775,4795558,49232137,38564724,1456237,1236979,40020961,89253098,23627515,35576088,59203603,59203603,148456701,-217039,1228734,782946,1465945,3260586,-1545492,-1545492,-180738885,176498471,-4240414,-2525320,-2525320,-2525320,1280857,43360282,1098579,0.08192,0.00077,-0.00322,-0.00367,-0.00146,-5.06167,2.13199,1.50756,0.29207,-0.05116,-0.05075,15.88854,13.95486,0.25895,-0.00209,0.01056,33.11465,813.75086
"40","2021_Q1",5.45344262295082,"Up",64769921,-59276626,5493295,-5295041,-5295041,198254,-370779,-383223,12444,-172525,-172525,-189542,-362067,-362067,-362067,-362067,6779445,6779445,30804976,30804976,87179369,5853007,1510943,2642094,130616797,33935760,11526474,2350949,8891090,45462234,176079031,63117425,55770953,6877329,6930616,70048041,38537064,8618127,8429921,47155191,117203232,23619513,35214021,58875799,58875799,176079031,-362067,1262310,1102030,-1201422,800851,-2512499,-3280999,6354987,1959460.00000003,8314447,5834299,5834299,5834299,1460564,45467680,-2063815,0.08481,0.00306,-0.00559,-0.00615,-0.00206,5.70009,1.86467,1.99069,0.25822,-0.08534,-0.0842,15.26691,13.87761,-0.48646,-0.00321,-0.01827,26.48856,195.14479
"41","2021_Q2",5.06920634920635,"Down",60524956,-56252765,4272191,-5059525,-5059525,-787334,-334166,-338264,4098,-1121500,-1121500,220834,-900666,-900666,-900666,-900666,2846096,2846096,28017482,28017482,85206598,7119104,1222861,4137033,123189280,33632655,12025547,2261913,9482870,45658202,168847482,52451653,44652683,7798970,8100134,60797911,48625455,1433754,1247675,50059209,110857120,23634711,34313355,57990362,57990362,168847482,-900666,1354755,57941,-5654631,-5142601,-966856,-2098756,3316063,-8055,3308008,-3933349,-3933349,-3933349,567421,56725589,-6274900,0.07059,-0.01301,-0.01488,-0.01553,-0.00533,6.96696,2.02621,1.91165,0.33596,-0.21187,-0.21187,14.23786,13.64163,-1.4761,-0.00775,-0.05402,94.95506,-68.4328299999999
"42","2021_Q3",6.6540625,"Up",69618424,-62858882,6759542,-5421739,-5421739,1337803,-268002,-308613,40611,1069801,1069801,-442943,626858,626858,626858,626858,4956038,4956038,24633138,24633138,83940180,7783286,1044386,5340198,121312642,33735679,11392130,2173525,8933500,45127809,166440451,53933557,44482696,9000978,9109873,63043430,43464306,1315495,1274435,44779801,107823231,23634711,34940213,58617220,58617220,166440451,626858,1352425,26964.9999999999,6668064,8674312,-1504064,-2984464,-2249934.99999999,-1329971,-3579906,2109942,2109942,2109942,2690228,52574179,8297171,0.09709,0.01922,0.009,0.01069,0.00377,13.23613,1.92427,1.83945,0.31587,0.14724,0.14724,16.35192,13.76796,1.94883,0.00557,0.07375,17.70041,35.59428
"43","2021_Q4",9.61546875,"Up",71531348,-65618649,5912699,-5212629,-5212629,700070,-476712,-287371,-189341,223358,223358,25910,249268,249268,249268,249268,2744679,2744679,26289585,26289585,86050438,10779803,1107079,8724894,125864505,33312831,10757146,2085137,8387575,44069977,169934482,57288214,48645860,8188796,10193098,67481312,40234992,3333978,3192463,43568970,111050282,23652354,35189481,58884200,58884200,169934482,249268,1365913,189030,-1414222,389989,-165585,-1559785,-1874181,832618,-1041563,-2211359,-2211359,-2211359,2065983,50428090,460266,0.08266,0.00979,0.00348,0.00423,0.00147,1.84647,1.86518,1.88591,0.29675,0.05855,0.05855,16.80122,13.83067,0.10811,0.00221,0.00409,23.08025,68.11235
"44","2022_Q1",8.37629032258065,"Down",76043944,-68036179,8007765,-5868520,-5868520,2139245,-212144,-275776,63631.9999999999,1927101,1927101,-361542,1565559,1565559,1565559,1565559,3509229,3509229,28783161,28783161,98078601,11182872,1314834,9479272,141553863,34186918,18432626,1996749,14788734,52619544,194173407,72729824,62656451,8741869,12161454,85315249,46438922,1870175,1870175,48309097,133624346,23751461,36755040,60549061,60549061,194173407,1565559,1405228,9428.00000000023,1197031,4177246,-2110811,-3585811,-217808,390923,173115,764550,764550,764550,3544473,58600376,2992235,0.1053,0.02813,0.02059,0.02586,0.00806,1.91129,1.65919,2.20688,0.30179,0.36791,0.36791,17.87026,14.22898,0.70317,0.01294,0.02473,15.54283,25.75261
"45","2022_Q2",6.56870967741935,"Down",85739434,-76156956,9582478,-6111015,-6111015,3471463,-200775,-237916,37141,3270688,9553661,-756945,8796716,8796716,8796716,8796716,3186580,3186580,33753786,33753786,113143188,14637608,1893486,12296408,164721162,35328032,17538799,1909627,13943235,52866831,217587993,88877284,77246626,9690966,6534280,97583914,48774031,1850879,1850879,50624910,148208824,23784838,45551756,69379169,69379169,217587993,8796716,1443399,-6260272,-2385225,1594618,-2901827,-4763827,3009748,-163188,2846560,-322649,-322649,-322649,4914862,55308311,384755,0.11176,0.04049,0.1026,0.12679,0.04043,0.04374,1.688,2.13622,0.25419,2.06722,2.06722,20.1487,16.30405,0.09042,0.06952,0.00303999999999999,10.60492,15.01434
"46","2022_Q3",7.08546875,"Up",100216614,-88439028,11777586,-6805756,-6805756,4971830,-308113,-344675,36562,4663717,4663717,-1513512,3150205,3150205,3150205,3150205,2420346,2420346,45124405,45124405,133157121,17563258,2293015,14772822,198265130,34964995,16973608,1823139,13410401,51938603,250203733,99648207,86719252,11449774,6806857,113245906,61979987,1880468,1880468,63860455,177106361,24351902,48701961,73097372,73097372,250203733,3150205,1504133,106038,-17024730,-12264354,-206027,-2306027,13232707,144888,13804147,-766234,-766234,-766234,6475963,68786844,-9241282,0.11752,0.04961,0.03143,0.0431,0.01259,-2.93355,1.75075,2.42288,0.27492,0.73,0.69176,23.22329,16.93892,-2.14149,0.02191,-0.06428,10.24813,13.34851
