"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",30.1914754098361,"Down",199376000,-88740000,110636000,-93545000,-93545000,17091000,-192000,-192000,16899000,16899000,495000.000000001,17394000,17394000,17447000,17447000,189911000,189911000,84026000,84026000,165311000,28898000,28898000,468146000,26067000,265488000,24503000,56769000,291555000,759701000,112683000,38650000,63202000,112683000,96362000,29242000,67120000,146642000,259325000,202156000,-217188000,431180000,80507000,496655000,500376000,759701000,17447000,4258000,-3004000,40623000,59324000,-2791000,-7633000,-584000,-8685000,43006000,43006000,4185000,47191000,21349000,50280000,58686000,0.55491,0.08572,0.08751,0.03487,0.02297,3.36367,4.15454,0.51826,0.06618,0.75229,0.7411,8.59676,21.41493,2.53044,0.0341,0.0907,-6.5404,-8.16986
"35","2019_Q2",28.5163492063492,"Down",146549000,-67676000,78873000,-73899000,-73899000,4974000,-203000,-203000,4771000,4771000,-847000,3924000,3924000,3925000,3925000,150712000,150712000,85715000,85715000,178048000,32631000,32631000,447106000,26065000,355490000,24913000,148322000,381555000,828661000,98211000,37477000,52071000,111982000,94465000,29071000,65394000,223402000,335384000,203984000,-221194000,430514000,76337000,489641000,493277000,828661000,3925000,3872000,1471000,-34883000,-25615000,-2267000,-2267000,-1234000,-8441000,-36323000,-36323000,-2889000,-39212000,8846000,128937000,-27457000,0.5382,0.03394,0.02678,0.00796,0.00474,-6.99541,3.99266,0.67991,0.1556,0.16977,0.16736,6.3389,21.17916,-1.18764,0.01188,-0.03831,-2.46156,-4.37776
"36","2019_Q3",22.70453125,"Down",157816000,-72477000,85339000,-76563000,-76563000,8776000,-201000,-201000,8575000,22202000,-4741000,17461000,17461000,17505000,17505000,134890000,134890000,93699000,93699000,200953000,32113000,32113000,461655000,28248000,350728000,24621000,150176000,378976000,840631000,112288000,50281000,51207000,126897000,76618000,26593000,50025000,209890000,336787000,205461000,-222777000,443414000,74206000,500304000,503844000,840631000,17505000,4065000,-14094000,-14455000,-6979000.00000001,-4780000,-4780000,0,-6188000,-17947000,-17947000,2138000,-15809000,12841000,133272000,-1653000,0.54075,0.05561,0.11092,0.03474,0.02082,-0.09443,3.63803,0.66844,0.15854,0.75665,0.75167,6.82153,21.62542,-0.0714500000000005,0.03098,-0.00232,-0.126,-0.18437
"37","2019_Q4",21.6015625,"Down",205618000,-95549000,110069000,-87431000,-87431000,22638000,-222000,-222000,22416000,22416000,-4955000,17461000,17461000,17765000,17765000,116025000,116025000,136272000,136272000,201164000,30737000,30737000,484198000,29275000,353582000,28191000,146579000,382857000,867055000,122852000,33757000,71852000,137431000,154995000,26370000,128625000,205680000,343111000,207069000,-222792000,456579000,79825000,520681000,523944000,867055000,17765000,3951000,-2934000,-30758000,-11976000,-2928000,-2928000,-15000,-4615000,-19519000,-19519000,658000,-18861000,26589000,50685000,-2142000,0.53531,0.1101,0.0864,0.03391,0.02049,-0.12057,3.52321,0.65486,0.05846,0.76845,0.76488,8.89428,22.52275,-0.09266,0.03065,-0.00294,-2.45741,-2.8863
"38","2020_Q1",14.6959677419355,"Down",190983000,-90375000,100608000,-94005000,-94005000,6603000.00000001,-218000,-304000,6385000,8113999.99999999,-4581000,3533000,3533000,3503999.99999999,3503999.99999999,185872000,185872000,78388000,78388000,171406000,28888000,2.7e+07,464554000,29238000,353516000,25403000,149388000,382754000,847308000,94217000,35488000,50512000,109300000,155689000,25419000,130270000,207599000,316899000,208817000,-222809000,455479000,85050000,526537000,530409000,847308000,3183999.99999999,4493000,16138000,52825000,76640000,-2753000,-3392000,-17000,-4621000,68627000,68627000,1234000,69861000,11096000,51910000,65749000,0.52679,0.0345700000000001,0.01835,0.00660999999999998,0.00414,18.76398,4.25027,0.59746,0.06126,0.15156,0.15089,8.26051,22.77409,2.84381,0.01099,0.08909,-12.073,-20.28805
"39","2020_Q2",10.0431746031746,"Down",69666000,-37773000,31893000,-214056000,-214056000,-182163000,-256000,-271000,-182419000,-182419000,32330000,-150089000,-150089000,-149993000,-149993000,187830000,187830000,49765000,49765000,177832000,27049000,26529000,442476000,26934000,228503000,67281000,142950000,255437000,697913000,78562000,19241000,46257000,93615000,148277000,25085000,123192000,230787000,324402000,210415000,-223176000,305486000,77074000,369799000,373511000,697913000,-149993000,3885000,123587000,-3060000,-25581000,-967000,-967000,-367000,30512000,3964000,3964000,-2007000,1957000,-178278000,82510000,-214635000,0.4578,-2.6148,-2.15303,-0.40158,-0.21492,1.43097,4.72655,0.86852,0.11822,-6.4817,-6.4817,3.0105,15.98025,-9.2751,-0.24821,-0.35518,0.59076,0.57816
"40","2020_Q3",9.95984375,"Down",88538000,-43182000,45356000,-54272000,-54272000,-8915999.99999994,-582000,-590000,-9498000,-8181000,1558999.99999999,-6622000.00000003,-6622000.00000003,-6615000.00000003,-6615000.00000003,170195000,170195000,60128000,60128000,173374000,29856000,29098000,433553000,25888000,220248000,59747000,142430000,246136000,679689000,94643000,29929000,57940000,109409000,144243000,20743000,123500000,192584000,301993000,211974000,-223283000,298871000,86109000,373671000,377696000,679689000,-6615000,3315000,5107000,12398000,14205000,-975000,342000,-407000,-37179000,-22632000,-22632000,5029000,-17603000,-5601000,48341000,4263000,0.51228,-0.100699999999999,-0.07471,-0.01751,-0.00972999999999999,-0.64444,3.96268,0.79957,0.07112,-0.28463,-0.284629999999999,3.80956,16.07809,0.183430000000001,-0.0116,0.00747999999999999,21.75576,13.66689
"41","2020_Q4",13.28453125,"Up",169863000,-77410000,92453000,-69386000,-69386000,23067000,-6e+05,-608000,22467000,22467000,-7524000,14943000,14943000,14825000,14825000,163218000,163218000,103506000,103506000,176841000,28028000,24014000,471593000,24002000,206183000,54748000,134312000,230185000,701778000,119142000,35562000,72305000,133352000,137730000,20893000,116837000,174996000,308348000,213076000,-223306000,313696000,85879000,389345000,393430000,701778000,14825000,3346000,7508000,-21009000,4670000,-604000,-604000,-23000,-10950000,-6884000,-6884000,-96000,-6980000,26413000,37266000,12324000,0.54428,0.1358,0.08728,0.03768,0.02112,0.8313,3.53645,0.78374,0.0531,0.63662,0.63662,7.29433,16.71941,0.52922,0.02608,0.02168,-4.76856,-5.46027
"42","2021_Q1",21.1037704918033,"Up",178330000,-77533000,100797000,-74912000,-74912000,25885000,-134000,-490000,25751000,25751000,4823000,30574000,30574000,30265000,30265000,223811000,223811000,76931000,76931000,152580000,48329000,23479000,501651000,22349000,195257000,42507000,135669000,217606000,719257000,111810000,28187000,69171000,127671000,140422000,21895000,118527000,161652000,289323000,214389000,-223306000,341641000,92540000,425264000,429934000,719257000,30589000,3566000,11995000,28966000,75116000,-636000,-636000,5.82076609134674e-11,-16766000,57714000,57714000,2897000,60611000,29451000,21230000,52958000,0.56523,0.14515,0.16971,0.07039,0.04208,1.74981,3.92925,0.67295,0.02952,1.29965,1.29965,7.65792,18.26186,2.27414,0.05116,0.08952,-6.87858,-7.82619
"43","2021_Q2",28.725873015873,"Up",134798000,-60596000,74202000,-60946000,-60946000,13256000,-175000,-275000,13081000,13081000,-3330000,9751000,9751000,9409000,9409000,186950000,186950000,78584000,78584000,169966000,47954000,23649000,483454000,20599000,190653000,41528000,132825000,211252000,694706000,99137000,34595000,55414000,114550000,138376000,21280000,117096000,148376000,262926000,216239000,-225276000,346408000,89406000,426777000,431780000,694706000,9751000,3173000,1946000,-30243000,-15373000,-451000,-451000,-1385000,-19803000,-35627000,-35627000,-1249000,-36876000,16429000,1e+07,-10935000,0.55047,0.09834,0.0698,0.02179,0.01354,-1.16219,4.22046,0.60894,0.01439,0.40488,0.40488,5.80051,18.36469,-0.47055,0.02822,-0.01885,-10.77059,-13.34867
"44","2021_Q3",30.345625,"Up",173874000,-75421000,98453000,-73820000,-73820000,24633000,83000,-174000,24716000,24716000,-5315000,19401000,19401000,19410000,19410000,199721000,199721000,89710000,89710000,183289000,31746000,23144000,504466000,19656000,186776000,41579000,129647000,206432000,710898000,120242000,45670000,64193000,135105000,136391000,20185000,116206000,136391000,271496000,217854000,-234935000,361162000,90486000,434567000,439402000,710898000,19401000,3110000,3417000,12123000,38051000,-1468000,-1468000,355000,-23960000,12623000,12623000,153000,12776000,27743000,0,43713000,0.56623,0.14167,0.11163,0.04417,0.0273,2.25209,3.73388,0.61788,0,0.83212,0.81775,7.45409,18.63016,1.874,0.0418,0.07592,-7.19897,-8.10786
"45","2021_Q4",36.11140625,"Up",217746000,-92172000,125574000,-84171000,-84171000,41403000,-47000,-133000,41356000,41356000,-9561000,31795000,31795000,31405000,31405000,201814000,201814000,136373000,136373000,170714000,27250000,20151000,536151000,19365000,185501000,41687000,129303000,204866000,741017000,131182000,29473000,89773000,145035000,136419000,20354000,116065000,136419000,281454000,220643000,-241983000,387959000,87730000,454349000,459563000,741017000,31795000,3118000,3025000,-21922000,16016000,-1911000,-3011000,1427000,-10229000,2776000,2776000,-690000,2086000,44521000,0,30249000,0.5767,0.19014,0.14423,0.06834,0.04238,0.96319,3.6967,0.61244,0,1.34635,1.3231,9.33491,19.47822,1.29679,0.06043,0.05075,-4.53301,-4.87438
"46","2022_Q1",36.3890322580645,"Up",205975000,-85139000,120836000,-82637000,-82637000,38199000,-19000,-106000,38180000,38180000,-6568000,31612000,31612000,31375000,31375000,277128000,277128000,91558000,91558000,160283000,24915000,16974000,553884000,19470000,187806000,42596000,131703000,207276000,761160000,137773000,46011000,73639000,151466000,132608000,19614000,112994000,132608000,284074000,222966000,-249040000,413587000,85295000,472808000,477086000,761160000,31612000,3062000,-22000,57468000,92120000,-2117000,-2984000,-1299000,-12622000,76514000,76514000,-1207000,75307000,41261000,0,103180000,0.58665,0.18545,0.15232,0.06576,0.04122,3.28861,3.65682,0.59544,0,1.35259,1.3501,8.8797,20.38303,4.44815,0.06089,0.16923,-6.71646,-7.25485
"47","2022_Q2",34.026935483871,"Down",163424000,-66739000,96685000,-71391000,-71391000,25294000,-29000,-112000,25265000,25265000,-6011000,19254000,19254000,18513000,18513000,225256000,225256000,92744000,92744000,180003000,26979000,23558000,524982000,18434000,196568000,42854000,141724000,215002000,739984000,121801000,44140000,62520000,138389000,137126000,19385000,117741000,137126000,275515000,225060000,-264602000,424160000,75032000,459650000,464469000,739984000,19254000,2932000,1239000,-44177000,-20752000,-1403000,-3253000,-490000,-22869000,-46874000,-46874000,-5026000,-51900000,28226000,0,-11343000,0.59162,0.15478,0.11328,0.03986,0.02502,-0.6127,3.79352,0.59318,0,0.81055,0.79126,7.15517,20.12478,-0.49663,0.04397,-0.01885,-7.98044,-8.90551
"48","2022_Q3",32.1525,"Down",182804000,-75877000,106927000,-76270000,-76270000,30657000,98000,-101000,30755000,30755000,-6418000,24337000,24337000,24003000,24003000,203109000,203109000,100697000,100697000,215038000,31279000,21588000,550123000,17956000,198057000,44480000,142631000,216013000,766136000,142714000,51981000,69858000,159618000,130662000,15788000,114874000,130662000,290280000,226508000,-271702000,440306000,75724000,470836000,475856000,766136000,24337000,2703000,2107000,-33787000,-4640000,-1641000,-2074000,0,-14957000,-21671000,-21671000,-463000,-22134000,33360000,-1.45519152283669e-11,4350000,0.58493,0.1677,0.1313,0.05044,0.03133,0.18123,3.4465,0.61002,0,1.06406,1.04515,8.10373,20.87224,0.19284,0.05253,0.00717000000000002,-6.0884,-6.62521
