"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",55.2195081967213,"Up",319727000,-266501000,53226000,-21613000,-21613000,31613000,842000,-1332000,32455000,32455000,-7425000,25030000,25030000,25030000,25030000,178405000,178405000,235353000,235353000,102367000,3112000,1723000,519237000,298658000,165000,165000,298823000,818060000,73572000,36706000,36866000,73572000,24032000,24032000,24032000,97604000,61091000,-91056000,750421000,720456000,720456000,818060000,25030000,4192000,1662000,17575000,48459000,-4889000,-4889000,-417000,755000,755000,338000,43908000,43908000,43908000,35805000,0,55916000,0.16647,0.09887,0.07829,0.03474,0.0306,2.23396,7.05754,0.13548,0,1.19973,1.19703,15.32507,34.53271,2.68015,0.01999,0.03418,0.07511,0.01666,-4.98268,-5.64341
"35","2019_Q2",55.667619047619,"Up",314707000,-273381000,41326000,-24999000,-24999000,16327000,1079000,1079000,17406000,17406000,-3995000,13411000,13411000,13411000,13411000,177974000,177974000,231470000,231470000,101592000,1019000,1019000,512055000,304118000,790000,790000,304908000,816963000,57743000,30673000,24512000,57743000,24580000,24580000,24580000,82323000,62282000,-91056000,763414000,734640000,734640000,816963000,13411000,4344000,759000,-7108000,11406000,-11850000,-11850000,-418000,431000,431000,13000,-431000,-431000,-431000,20671000,0,5708000,0.13132,0.05188,0.04261,0.01826,0.01642,0.42562,8.86783,0.11206,0,0.64217,0.63914,15.06929,35.17717,0.27332,0.02002,0.01821,0.00752,0.03117,-8.60984,-10.90059
"36","2019_Q3",55.20625,"Down",336866000,-290956000,45910000,-23845000,-23845000,22065000,1081000,1081000,23146000,23146000,-5364000,17782000,17782000,17782000,17782000,184800000,184800000,255968000,255968000,96039000,5147000,1885000,541954000,311421000,806000,806000,312227000,854181000,76198000,46053000,30145000,76198000,25340000,25340000,25340000,101538000,62921000,-91056000,780778000,752643000,752643000,854181000,17782000,4441000,1208000,-6986000,16445000,-9338000,-9338000,-418000,137000,137000,-281000,6826000,6826000,6826000,26506000,0,15546000,0.13629,0.0655,0.05279,0.02363,0.02082,0.87425,7.11244,0.13491,0,0.85089,0.84729,16.11953,36.01507,0.7439,0.02,0.02339,0.01998,0.02351,-6.97201,-8.37525
"37","2019_Q4",57.19859375,"Up",321169000,-278181000,42988000,-22671000,-22671000,20317000,1033000,1033000,21350000,21350000,-4949000,16401000,16401000,16401000,16401000,203936000,203936000,244869000,244869000,90244000,5661000,2550000,544710000,324766000,771000,771000,325537000,870247000,73104000,39907000,33197000,73104000,28464000,28464000,28464000,101568000,62974000,-91056000,796761000,768679000,768679000,870247000,16401000,4469000,3193000,15532000,39595000,-20041000,-20041000,-418000,0,0,-418000,19136000,19136000,19136000,24786000,0,25226000,0.13385,0.06326,0.05107,0.02134,0.01885,1.53808,7.45117,0.13213,0,0.78451,0.78156,15.36253,36.76834,1.20664,0.01999,0.0211,0.03165,0.02549,-8.22787,-10.0377
"38","2020_Q1",51.4174193548387,"Down",302252000,-266505000,35747000,-22927000,-22927000,12820000,1006000,1006000,13826000,13826000,-3291000,10535000,10535000,10535000,10535000,230965000,230965000,223098000,223098000,89684000,5491000,1889000,549238000,333179000,737000,737000,333916000,883154000,75296000,40509000,34787000,75296000,28762000,28762000,28762000,104058000,63278000,-91056000,806874000,779096000,779096000,883154000,10535000,4453000,589000,23098000,38675000,-11227000,-11227000,-419000,-9.31322574615479e-10,0,-419000.000000001,27029000,27029000,27029000,17273000,0,32435000,0.11827,0.04241,0.03486,0.01352,0.01193,3.07879,7.29438,0.13356,0,0.50339,0.50155,14.44247,37.22745,1.54984,0.02002,0.01356,0.04015,0.03977,-13.37145,-18.01599
"39","2020_Q2",45.7607936507937,"Down",302794000,-257021000,45773000,-22290000,-22290000,23483000,884000,1317835.16623195,24367000,24367000,-5760000,18607000,18607000,18607000,18607000,206838000,206838000,224123000,224123000,90568000,4449000,4003000,525978000,339664000,704000,704000,340368000,866346000,57708000,34062000,23646000,57708000,31466000,31466000,31466000,89174000,63738000,-111636000,825070000,777172000,777172000,866346000,18607000,4571000,3709000,-17882000,9005000,-12134000,-12134000,-418000,-20580000,1666167.2027708,-20998000,-24127000,-24127000,-24127000,28054000,0,3798000,0.15117,0.07755,0.06145,0.02394,0.02148,0.20412,9.11447,0.11474,0,0.89491,0.89238,14.56301,37.37841,0.18267,0.0201,0.02353,0.0047,0.02246,-7.37285,-8.80799
"40","2020_Q3",49.88625,"Up",253631000,-217132000,36499000,-20754000,-20754000,15745000,267000,1604768.01782408,16012000,16012000,-3664000,12348000,12348000,12348000,12348000,250383000,250383000,192067000,192067000,87880000,3552000,3552000,533882000,349529000,634000,634000,350163000,884045000,59876000,30039000,27338000,59876000,32058000,32058000,32058000,91934000,66824000,-111718000,837005000,792111000,792111000,884045000,12348000,4750000,1229000,32952000,51279000,-9697000,-9697000,-410000,2373000,2455000,1963000,43545000,43545000,43545000,20495000,0,47414000,0.14391,0.06208,0.04868,0.01559,0.01397,3.83981,8.91646,0.11606,0,0.60234,0.60114,12.37224,38.63956,2.31288,0.02,0.01548,0.05753,0.0332,-12.21678,-15.90238
"41","2020_Q4",51.57328125,"Up",339700000,-286240000,53460000,-26350000,-26350000,27110000,39000,1190000,27149000,27149000,-6137000,21012000,21012000,21012000,21012000,217103000,217103000,257210000,257210000,87171000,3225000,3225000,564709000,376212000,6e+05,6e+05,376812000,941521000,96073000,58122000,36531000,96073000,31798000,31798000,31798000,127871000,67764000,-111718000,857604000,813650000,813650000,941521000,21012000,4993000,149000,-31918000,-5764000,-27648000,-27648000,-412000,544000,544000,132000,-33280000,-33280000,-33280000,32103000,0,-21326000,0.15737,0.07981,0.06185,0.02582,0.02232,-1.01494,5.87792,0.15716,0,1.02263,1.02,16.53283,39.59945,-1.03791,0.02005,0.02534,-0.02522,0.01961,-6.7627,-8.00823
"42","2021_Q1",64.6075409836066,"Up",380823000,-322020000,58803000,-27614000,-27614000,31189000,79000,79000,31268000,31268000,-7168000,24100000,24100000,24100000,24100000,183123000,183123000,275781000,275781000,92322000,3907000,2651000,555133000,410768000,553000,553000,411321000,966454000,93592000,56726000,36866000,93592000,35133000,35133000,35133000,128725000,68155000,-111718000,881292000,837729000,837729000,966454000,24100000,5145000,3690000,-29993000,2942000.00000001,-36512000,-36512000,-410000,9.31322574615479e-10,0,-410000.000000001,-33980000,-33980000,-33980000,36334000,0,-23003000,0.15441,0.0819,0.06328,0.02877,0.02494,-0.95448,5.93142,0.15366,0,1.17235,1.16877,18.52522,40.75152,-1.11899,0.01994,0.02808,-0.02635,0.01701,-5.03999,-5.8714
"43","2021_Q2",76.9003174603175,"Up",444140000,-359636000,84504000,-31152000,-31152000,53352000,25000,25000,53377000,53377000,-12188000,41189000,41189000,41189000,41189000,154968000,154968000,348709000,348709000,90343000,2278000,2278000,596298000,433218000,670000,670000,433888000,1030186000,117887000,69811000,34886000,117887000,32902000,32902000,32902000,150789000,69047000,-111718000,922068000,879397000,879397000,1030186000,41189000,5300000,-1491000,-45843000,-845000,-26504000,-26504000,-411000,155000,155000,-806000,-28155000,-28155000,-28155000,58652000,0,-1507000,0.19026,0.12012,0.09274,0.04684,0.03998,-0.03659,5.05822,0.17147,0,2.00258,1.98798,21.59374,42.75559,-0.07327,0.01998,0.0456,-0.00165,0.00998,-2.64216,-2.90463
"44","2021_Q3",82.09546875,"Up",744408000,-467066000,277342000,-41140000,-41140000,236202000,39000,39000,236241000,236241000,-53188000,183053000,183053000,183053000,183053000,157872000,157872000,574191000,574191000,87920000,3342000,3342000,823325000,450943000,636000,636000,451579000,1274904000,178091000,77458000,58540000,178091000,33188000,33188000,33188000,211279000,70637000,-111718000,1104706000,1063625000,1063625000,1274904000,183053000,5677000,5679000,-159225000,35184000,-32127000,-32127000,-412000,259000.000000002,259000,-153000,2904000,2904000,2904000,241879000,0,103715000,0.37257,0.3173,0.2459,0.1721,0.14358,0.56658,4.62306,0.19864,0,8.8947,8.81631,36.17143,51.68246,5.0396,0.02002,0.16727,0.09456,0.00225,-0.65269,-0.66838
"45","2021_Q4",129.3328125,"Up",716320000,-445554000,270766000,-43816000,-43816000,226950000,52000,52000,227002000,227002000,-51464000,175538000,175538000,175538000,175538000,294860000,294860000,536178000,536178000,90727000,4146000,4146000,925911000,466868000,602000,602000,467470000,1393381000,152030000,67475000,68623000,152030000,34476000,34476000,34476000,186506000,71488000,-144450000,1279837000,1206875000,1206875000,1393381000,175538000,6177000,3177000,11693000,196585000,-26453000,-26453000,-412000,-32732000,0,-33144000,136988000,136988000,136988000,233127000,0,269831000,0.378,0.31683,0.24506,0.14545,0.12598,1.53717,6.09032,0.15454,0,8.59596,8.51011,35.07762,59.0997,13.21341,0.02018,0.14174,0.21737,0.00235,-1.2648,-1.29923
"46","2022_Q1",120.009677419355,"Down",687853000,-452719000,235134000,-52435000,-52435000,182699000,78000,78000,182777000,182777000,-41135000,141642000,141642000,141642000,141642000,438990000,438990000,491126000,491126000,100816000,4118000,3167000,1035050000,494916000,570000,570000,495486000,1530536000,154100000,75353000,78747000,154100000,37347000,37347000,37347000,191447000,73024000,-155014000,1421079000,1339089000,1339089000,1530536000,141642000,6134000,4516000,35202000,187494000,-33071000,-33071000,-398000,-9894999.99999999,669000,-10293000,144130000,144130000,144130000,188833000,0,232099000,0.34184,0.26561,0.20592,0.10577,0.09254,1.63863,6.71674,0.14297,0,7.04161,6.94085,34.19602,66.57166,11.5386,0.01979,0.10319,0.16862,0.00281,-2.32475,-2.4028
"47","2022_Q2",118.110806451613,"Down",723072000,-479325000,243747000,-36212000,-36212000,207535000,115000,115000,207650000,207650000,-46119000,161531000,161531000,161531000,161531000,466094000,466094000,549404000,549404000,116331000,3391000,3391000,1135220000,524465000,539000,539000,525004000,1660224000,183107000,73189000,61525000,183107000,33180000,33180000,33180000,216287000,75118000,-213397000,1582216000,1443937000,1443937000,1660224000,161531000,6210000,-1099000,-48935000,117707000,-31972000,-31972000,-403000,-58228000,155000,-58631000,27104000,27104000,27104000,213745000,0,178957000,0.3371,0.28702,0.2234,0.11187,0.09729,1.10788,6.19976,0.14979,0,8.00094,7.88302,35.81515,71.52098,8.86408,0.01996,0.10963,0.12115,0.00249,-2.18061,-2.24586
"48","2022_Q3",121.66578125,"Up",838235000,-517463000,320772000,-50404000,-50404000,270368000,647000,647000,271015000,271015000,-60476000,210539000,210539000,210539000,210539000,469540000,469540000,606132000,606132000,121418000,9978000,9978000,1207068000,561205000,509000,509000,561714000,1768782000,145179000,70708000,72782000,145179000,39707000,39707000,39707000,184886000,78394000,-286870000,1792372000,1583896000,1583896000,1768782000,210539000,6311000,9757000,-106025000,120582000,-43274000,-43274000,-389000,-73473000,1.16415321826935e-10,-73862000,3446000.00000001,3446000.00000001,3446000.00000001,276679000,0,187856000,0.38268,0.32254,0.25117,0.13292,0.11903,0.89226,8.31434,0.11673,0,10.84191,10.70574,43.16571,81.56424,9.67382,0.02003,0.12991,0.1157,0.00185,-1.69706,-1.73667
