"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",19.796393442623,"Down",153071000,-48531000,104540000,-85273000,-40563000,-44710000,19267000,-8423000,1502000,10844000,9292000,51303000,60595000,60595000,60595000,60595000,78585000,78585000,54184000,54184000,34422000,17111000,172895000,686327000,11472000,541166000,380979000,13690000,1238965000,1411860000,52034000,28953000,23081000,64397000,21153000,21153000,137584000,166493000,100879000,52286000,924054000,1061638000,44787000,297205000,350222000,350222000,1411860000,60595000,60595000,44710000,-68723000,27643000,64225000,-36416000,-37054000,-37054000,-36420000,-305000,-24687000,3118000,3118000,3118000,63977000,821958000,3901000,0.68295,0.12587,0.39586,0.17302,0.04292,0.0643799999999821,1.25665,3.03133,0.58218,1.22911,1.19997,3.10489,7.10389,0.07913,7,0.05442,0.00291,11.61938,38.58271
"33","2018_Q2",20.32875,"Up",154138000,-65147000,88991000,-72237000,-28750000,-43487000,16754000,-8311000,1021000,8443000,8411000,-1828000,6583000,6583000,6583000,6583000,49448000,49448000,51095000,51095000,72560000,64200000,181264000,672017000,11717000,593968000,413537000,33934000,1277702000,1458966000,49199000,27194000,22005000,74486000,6919000,6919000,130604000,183539000,115809000,54494000,919926000,1050530000,45075000,352069000,408436000,408436000,1458966000,6583000,6583000,43487000,8102000,2688000,60860000,-24119000,-24382000,-24382000,-76118000,-1754000,-13879000,-29137000,-29137000,-29137000,60241000,810873000,40638000,0.57735,0.10869,0.04271,0.01612,0.00451,6.17317,1.38789,2.57208,0.55579,0.13306,0.1316,3.11554,8.25557,0.8214,6,0.00469,0.02897,12.63965,45.44736
"34","2018_Q3",21.2006349206349,"Up",156501000,-64300000,92201000,-71032000,-29915000,-41117000,21169000,-8044000,807000,13125000,13157000,-3531000,9626000.00000001,9625999.99999999,9625999.99999999,9625999.99999999,65569000,65569000,58614000,58614000,64752000,64163000,195142000,668339000,11949000,577426000,396908000,34021000,1257714000,1452856000,47498000,22674000,24824000,84631000,6668000,6668000,138797000,180604000,111125000,56256000,895869000,1034666000,46172000,359893000,418190000,418190000,1452856000,9626000,9625999.99999999,41117000,-10681000,26222000,66284000,-37756000,-37940000,-37940000,-37757000,-281000,-12406000,16121000,16121000,16121000,62286000,799896000,54283000,0.58914,0.13526,0.06151,0.02302,0.00663000000000001,5.63921,1.40595,2.47415,0.55057,0.19428,0.19239,3.15857,8.4401,1.09556,6,0.00688,0.03881,11.7896,34.68879
"35","2018_Q4",25.4893650793651,"Up",158731000,-62922000,95809000,-67480000,-27452000,-40028000,28329000,-7947000,1054000,20382000,20382000,-4848000,15534000,15534000,15534000,15534000,75207000,75207000,59968000,59968000,65928000,63383000,206065000,669709000,12296000,581757000,381537000,53723000,1263762000,1469827000,45457000,23868000,21589000,84743000,7415000,7415000,137615000,193182000,120846000,59101000,887227000,1024842000,47350000,385045000,444985000,444985000,1469827000,15534000,15534000,40028000,8300000,-2206000,61656000,-29895000,-29987000,-29987000,-29895000,2000,-22123000,9638000,9638000,9638000,68357000,778788000,41104000,0.60359,0.17847,0.09786,0.03491,0.01057,2.64607,1.4974,2.30309,0.52985,0.31344,0.31022,3.20287,8.97889,0.8294,7,0.01096,0.02901,10.29274,24.83607
"36","2019_Q1",28.1022950819672,"Up",-276687000,111951000,-164736000,95515000,15273000,80242000,-69221000,28005000,821000,-41216000,-41216000,11550000,-29666000,14852000,14852000,14852000,85086000,85086000,54407000,54407000,65444000,60162000,210202000,701359000,10788000,562417000,366029000,49891000,1274564000,1484766000,60002000,35987000,24015000,20618000,7919000,7919000,88539000,204356000,127453000,65384000,953980000,1042519000,47456000,386511000,442247000,442247000,1484766000,-29666000,14852000,-80243000,2071000,-26763000,76847000,35680000,35678000,35678000,-44030000,-1214000,-22938000,9879000,9879000,9879000,-149464000,770242000,-152097000,0.59539,0.25018,-0.05368,0.03358,0.01,-10.24084,2.37412,2.35732,0.51876,0.29951,0.29633,-5.57983,8.91861,-3.06728,6,0.01956,-0.10735,-4.58409,-9.89809
"37","2019_Q2",24.8298412698413,"Down",158843000,-64155000,94688000,-69901000,-28722000,-41179000,24787000,-6667000,1287000,18120000,18120000,-4210000,13910000,13910000,13910000,13910000,69859000,69859000,58153000,58153000,52533000,52533000,187785000,701980000,11274000,898673000,339714000,409889000,1611927000,1799712000,47333000,25410000,19617000,24293000,47495000,47495000,119121000,501007000,123169000,367515000,1227977000,1347098000,46641000,400421000,452614000,452614000,1799712000,13910000,13910000,41179000,-1124000,7698000,61663000,-44375000,-44420000,-44420000,-54375000,-2626000,-22515000,-15227000,-15227000,-15227000,65966000,751263000,33499000,0.59611,0.15605,0.08757,0.03073,0.00773,2.40827,1.57642,2.97626,0.41744,0.27946,0.27756,3.19122,9.0932,0.67301,7,0.00816,0.01965,10.32962,27.49038
"38","2019_Q3",20.99265625,"Down",158914000,-65371000,93543000,-69523000,-27170000,-42353000,24020000,-6346000,1176000,17674000,17674000,-4524000,13150000,13150000,13150000,13150000,98091000,98091000,59561000,59561000,57930000,53786000,222148000,695725000,11563000,892604000,324890000,418644000,1599892000,1822040000,48987000,27657000,21330000,27939000,50855000,50855000,127781000,513143000,128582000,374206000,1232210000,1359991000,47138000,413571000,462049000,462049000,1822040000,13150000,13150000,42353000,7904000,4562000,67969000,-34644000,-34704000,-34704000,-34644000,-205000,-5093000,28232000,28232000,28232000,66373000,747006000,40815000,0.58864,0.15115,0.08275,0.02846,0.00722,3.1038,1.73851,2.94339,0.40998,0.2638,0.26237,3.18791,9.26897,0.81877,6,0.00764,0.0237,9.77679,27.01561
"39","2019_Q4",21.29859375,"Up",-164472000,67496000,-96976000,48017000,-1708000,49725000,-48959000,16341000,865000,-32618000,-32618000,8842000,-23776000,14354000,14354000,14354000,97415000,97415000,60084000,60084000,59580000,56597000,221640000,688516000,11851000,928859000,328831000,450958000,1629226000,1850866000,48116000,26470000,21646000,31634000,52305000,52305000,132055000,546579000,129651000,406617000,1242957000,1375012000,48083000,427925000,475854000,475854000,1850866000,-23776000,14354000,-49725000,-5499000,-19149000,63827000,30293000,30298000,30298000,-44605000,-8999.99999999977,-19898000,-676000,-676000,-676000,-98684000,728012000,-96382000,0.58962,0.29767,-0.08727,0.03016,0.00776,-6.71464,1.67839,2.88957,0.39334,0.2879,0.28654,-3.29887,9.54438,-1.93317,5,0.0082,-0.05506,-6.39006,-12.8801
"40","2020_Q1",26.8159677419355,"Up",53577000,-21542000,32035000,-33225000,-20246000,-12979000,-1190000,-48000,-47999.9999999999,-1238000.00000001,-1238000,-113999.999999998,-1352000,14086000,14086000,14086000,101651000,101651000,63641000,63641000,76561000,11178000,241853000,363087000,12388000,1281574000,88241000,1193333000,1657049000,1898902000,57926000,40295000,17631000,31650000,64001000,64001000,153577000,584433000,137567000,434191000,1272897000,1426474000,42110000,430010000,472428000,472428000,1898902000,-1352000,14086000,12979000,16151000,-16932000,65686000,-18210000,-18222000,-18222000,-31710000,-34000,-29740000,4236000,4236000,4236000,11789000,720114000,-23239000,0.59792,-0.02221,0.26291,0.02982,0.00742,-1.64979,1.5748,3.01945,0.37923,0.28306,0.2813,1.07664,9.49356,-0.46699,7,0.01577,-0.01308,52.46102,-519.71681
"41","2020_Q2",30.6139682539683,"Up",53134000,-20317000,32817000,-34181000,-22096000,-12085000,-1364000,749000,749000,-615000,-615000,765000,150000,13280000,13280000,13280000,120232000,120232000,61526000,61526000,69080000,60923000,257909000,695920000,12011000,884937000,299458000,436409000,1592868000,1850777000,55354000,30384000,24970000,31672000,52618000,52618000,139644000,549952000,137674000,400298000,1230483000,1370127000,43158000,443290000,480650000,480650000,1850777000,150000,13280000,12085000,2302000,-1283000,61108000,-23099000,-23099000,-23099000,-32025000,-1972000,-10502000,18581000,18581000,18581000,10721000,712203000,-14426000,0.61763,-0.02567,0.24993,0.02763,0.00718,-1.0863,1.8469,2.85057,0.38481,0.2662,0.26541,1.06507,9.63458,-0.28917,7,0.00762,-0.00828,55.21602,-433.99633
"42","2020_Q3",30.76859375,"Up",54336000,-22181000,32155000,-34022000,-22092000,-11930000,-1867000,1271000,1271000,-596000.000000001,-596000,60000,-536000,29247000,29247000,29247000,143712000,143712000,91682000,91682000,60844000,56392000,299533000,703012000,12661000,865374000,285081000,431223000,1581047000,1880580000,60445000,26702000,33743000,31689000,53193000,53193000,145327000,551195000,144273000,394675000,1223796000,1369123000,44659000,472537000,511457000,511457000,1880580000,-536000,29247000,11930000,1731000,2924000,67831000,-29525000,-29789000,-29789000,-35515000,-305000,-8836000,23480000,23480000,23480000,10063000,704290000,-16598000,0.59178,-0.03436,0.53826,0.05718,0.01555,-0.56751,2.0611,2.67691,0.37451,0.58649,0.58445,1.0896,10.25622,-0.33284,8,0.01655,-0.00939,55.70685,-300.25603
"43","2020_Q4",27.21609375,"Down",55173000,-22669000,32504000,-32034000,-20039000,-11995000,470000,1083000,1083000,1553000,1553000,-141000,1412000,34921000,34921000,34921000,184050000,184050000,67667000,67667000,1159274000,10579000,1410991000,413602000,13034000,163672000,103856000,59816000,590308000,2001299000,54610000,25602000,29008000,696378000,481122000,481122000,1232110000,221007000,146771000,71981000,221007000,1453117000,45925000,507458000,548182000,548182000,2001299000,1412000,34921000,11995000,1159000,931000,98360000,-29864000,-29852000,-29852000,-48860000,-632000,-9162000,40338000,40338000,40338000,12465000,696378000,-16327000,0.58913,0.00852,0.63294,0.0637,0.01745,-0.46754,1.14518,2.65079,0.34796,0.69967,0.69746,1.10543,10.98319,-0.32712,7,0.02383,-0.01114,41.10132,1090.05957
"44","2021_Q1",27.8291803278689,"Up",58132000,-24490000,33642000,-33482000,-20789000,-12693000,160000,84000.0000000002,83999.9999999999,244000,244000,306000,550000,48225000,48225000,48225000,195397000,195397000,70393000,70393000,1140816000,7522000,1406606000,440427000,13769000,163594000,106759000,56835000.0000001,617790000,2024396000,56832000,19599000,30282000,688463000,462766000,462766000,1208061000,239284000,148684000,75955000,239284000,1447345000,47317000,534440000,577051000,577051000,2024396000,550000,48225000,12693000,15863000,-20547000,75568000,-37592000,-37710000,-37710000,-39188000,-77000,-25033000,11347000,11347000,11347000,12853000,688463000,-45592000,0.57872,0.00275,0.82958,0.08357,0.02382,-0.9454,1.16435,2.50818,0.34008,0.96572,0.96548,1.16411,11.55558,-0.91299,6,0.04296,-0.0303,38.36194,3081.6625
"45","2021_Q2",30.1112698412698,"Up",59691000,-23424000,36267000,-33419000,-20153000,-13266000,2848000,1600000,1600000,4448000,3830000,-885000,2945000,51417000,51417000,51417000,229182000,229182000,66618000,66618000,1130471000,12943000,1426271000,468383000,13376000,174279000,106543000,67736000,656038000,2082309000,67228000,19866000,25740000,680531000,454558000,454558000,1202317000,246038000,155623000,77630000,246038000,1448355000,46583000,591304000,633954000,633954000,2082309000,2945000,51417000,13266000,440000,-7515000,84666000,-39468000,-39468000,-39468000,-40350000,-1982000,-10531000,33785000,33785000,33785000,16114000,680531000,-29984000,0.60758,0.04771,0.86139,0.08111,0.02469,-0.58315,1.18627,2.28464,0.32682,1.02943,1.02668,1.19509,12.69253,-0.60032,6,0.03295,-0.01921,28.00974,158.47928
"46","2021_Q3",30.735,"Up",60700000,-24648000,36052000,-33520000,-20320000,-13200000,2532000,1338000,1338000,3870000,3728000,-2103000,1625000,53191000,53191000,53191000,248789000,248789000,63182000,63182000,1117173000,13185000,1429144000,495599000,13793000,176696000,106345000,70351000,686088000,2115232000,49576000,23538000,26038000,672601000,434361000,434361000,1156538000,270907000,179416000,78728000,270907000,1427445000,46681000,644726000,687787000,687787000,2115232000,1625000,53191000,13200000,3424000,789000,68519000,-39905000,-39905000,-39905000,-39950999.9999999,-449000,-8960999.99999994,19607000,19607000,19607000,15732000,672601000,-21281000,0.59394,0.04171,0.87629,0.0773400000000001,0.02515,-0.40009,1.23571,2.07542,0.31798,1.06495,1.0621,1.21529,13.77034,-0.42607,7,0.0326100000000001,-0.01305,26.93949,167.382309999999
"47","2021_Q4",27.93125,"Down",62244000,-25747000,36497000,-34486000,-20238000,-14248000,2011000,138000,138000,2149000,989000,5506000,6495000,892821000,892821000,892821000,532544000,532544000,25026000,25026000,16463000,16463000,574033000,525799000,13410000,179848000,106146000,73702000,719057000,1293090000,473265000,17433000,23072000,587248364.966256,12158000,12158000,485423000,158901000,60231000,86180000,158901000,644324000,47832000,600934000,648766000,648766000,1293090000,6496000,892822000,14248000,3092000,-20438000,-546000,-39317000,-39427000,-39427000,1905764000,-1118000,-1621463000,283755000,283755000,283755000,16259000,0,-49002000,0.58635,0.03231,14.34389,1.37618,0.69046,-0.05488,1.18254,0.99315,0,17.86214,17.80798,1.24528,12.97947,-0.98035,4,2.26538,-0.06067,-32.7538,-264.81551
"48","2022_Q1",22.4759677419355,"Down",62604000,-28480000,34124000,-36232000,-21740000,-14492000,-2108000,5589000,5589000,3481000,-2312000,-824000.000000001,-3136000,1401999.99999988,1401999.99999988,1401999.99999988,84343999.9999999,84343999.9999999,22005000,22005000,60017999.9999999,29830000,166367000,554162000,13661000,156543000,69853000,86690000,724366000,890733000,52806000,28542000,24264000,424492094.898767,14484000,3355999.99999997,67289999.9999999,181168000,86014000,86938000,181168000,248458000,49351000,592924000,642275000,642275000,890733000,-3137000,1401000,14492000,28358000,-7832000,-403573000,-41045000,-41301000,-41301000,-41108999.9999998,-112000,-3518000,-448200000,-448200000,-448200000,12384000,5.96046447753906e-08,-35669000,0.54508,-0.03367,0.0223900000000015,0.00218000000000029,0.00156999999999985,-25.44151,2.47239,0.38684,0,0.0280500000000004,0.0279999999999987,1.25248,12.84961,-0.71361,3,0.00583999999999962,-0.04332,-6.81072,40.01139
"49","2022_Q2",22.5004838709677,"Up",64414000,-26339000,38075000,-38455000,-23771000,-14684000,-380000,-170000,-170000,-550000,-550000,-53000,-603000,-603000,-603000,-603000,53981000,53981000,15757000,15757000,56372000,26643000,126110000,581541000,13284000,162316000,89633000,72683000,757141000,883251000,42843000,21422000,21421000,184351189.797534,14215000,14215000,57058000,181864000,85665000,88102000,181864000,238922000,52008000,592321000,644329000,644329000,883251000,-603000,-603000,14684000,3811000,-1826000,16066000,-45607000,-45607000,-45607000,-45607000,-822000,-822000,-30363000,-30363000,-30363000,14304000,0,-33076000,0.5911,-0.0059,-0.00936,-0.00094,-0.00068,54.8524,2.21021,0.37081,0,-0.01202,-0.01202,1.28453,12.84906,-0.65959,4,-0.00073,-0.04003,-3.77384,142.05526
"50","2022_Q3",21.240625,"Down",66021000,-26756000,39265000,-37605000,-23154000,-14451000,1660000,-589000,-588999.999999999,1071000,-3726000,501000,-3225000,-3225000,-3225000,-3225000,33335000,33335000,16856000,16856000,79621000,29612000,129812000,609785000,12897000,138923000,69612000,69311000,761605000,891417000,52789000,30056000,22733000,-133155350.337444,18265000,18265000,71054000,176993000,85622000,83611000,176993000,248047000,54274000,589096000,643370000,643370000,891417000,-3225000,-3224999.99999994,14451000,7717000,3715000,22658000,-42820000,-42820000,-42820000,-42820000,-484000,-484000,-20646000,-20646000,-20646000,16111000,0,-23495000,0.59474,0.02514,-0.0488499999999998,-0.00501000000000002,-0.00362,7.28526999999998,1.82695,0.38554,0,-0.0642999999999997,-0.0642999999999997,1.31629,12.82712,-0.46843,5,-0.00392999999999998,-0.02864,-2.06908,-20.08133
