"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",23.381935483871,"Up",248101000,-163649000,84452000,-22928000,-11147000,-11781000,61524000,-8225000,-8642000,417000,53299000,53299000,-2790000,50509000,50509000,48324000,48324000,85909000,85909000,20664000,20664000,21379000,36852000,1579000,164804000,14034000,23097000,-9063000,2361389000,145533000,145533000,2520956000,2685760000,36954000,22337000,14617000,23336000,2657000,11580000,91966000,1030205000,66837000,31856000,34981000,1097042000,1189008000,709867000,700887000,856000,1411610000,1496752000,2685760000,50509000,31457000,4276000,-46349000,39893000,58420000,-39521000,19125000,-30750000,-2175999.99999999,687000,687000.000000007,-162000,-32401000,26617000,26617000,-2564000,24053000,92981000,1061881000,107842000,0.34039,0.24798,0.19478,0.03229,0.01799,2.23164,1.79201,0.79439,0.39537,0.3941,0.39319,2.02335,11.51218,0.87949,0.25078,0.03012,0.04108,0.63633,10.49647,15.86327
"29","2017_Q2",23.7503174603175,"Up",194491000,-136828000,57663000,-8402000,-9590000,1188000,49261000,-7897000,-8415000,518000,41364000,41364000,-6281000,35083000,35083000,33843000,33843000,219357000,219357000,33434000,33434000,27155000,104976000,14723000,384922000,16849000,26076000,-9227000,2354527000,162612000,162612000,2533988000,2918910000,42356000,30956000,11400000,97660000,3348000,94312000,182942000,1028068000,60606000,31718000,28888000,1088674000,1271616000,865343000,689612000,5545000,1560500000,1647294000,2918910000,35083000,30773000,13770000,-45683000,33943000,27672000,-21699000,5973000,-30618000,9189000,154596000,154596000,-239042.588879541,133167000,173083000,173083000,-67000,173016000,80034000,1070994000,68304000,0.29648,0.25328,0.17401,0.02054,0.01159,2.01826,2.10407,0.77194,0.36692,0.27384,0.2731,1.57371,12.62664,0.55268,0.24774,0.0232,0.02458,0.90471,10.64094,17.28826
"30","2017_Q3",24.1820634920635,"Up",200964000,-144610000,56354000,-9461000,-10246000,785000,46893000,-8627000,-8631000,4000.00000000012,38266000,38266000,-7493000,30773000,30773000,26160000,26160000,136559000,136559000,30181000,30181000,26363000,92124000,14727000,285227000,21560000,31052000,-9492000,2584373000,61634000,61634000,2667567000,2952794000,39013000,28696000,10317000,108090000,5374000,102716000,178628000,1033621000,72435000,31589000,40846000,1106056000,1284684000,868355000,683190000,20175000,1571720000,1668110000,2952794000,30773000,37122000,13647000,12830000,94372000,-15483000,-225675000,-241158000,-32207000,-6222000,1e+06,1e+06,-25440.4052612908,-37429000,-184215000,-184215000,1922000,-182293000,84015000,1065146000,88855000,0.28042,0.23334,0.13017,0.01568,0.00886,3.3966,1.59677,0.77014,0.36072,0.2035,0.20265,1.56334,12.2267,0.69122,0.25054,0.0208,0.03167,1.23115,11.05263,19.80225
"31","2017_Q4",26.0452380952381,"Up",184419000,-136983000,47436000,-8164000,-9935000,1771000,39272000,-7426000,-8554000,1128000,31846000,31846000,-3043000,28803000,28803000,24688000,24688000,104062000,104062000,39408000,39408000,24497000,92978000,16656000,260945000,23326000,32724000,-9398000,2571272000,56176000,56176000,2650774000,2911719000,43055000,27692000,15363000,107361000,7562000,99799000,150416000,1030269000,73800000,31431000,42369000,1104069000,1254485000,870006000,675911000,12638000,1558555000,1657234000,2911719000,28803000,28707000,2390000,-1342000,58558000,-15891000,-9054000,-24945000,-32183000,-34794000,459000,459000,3.49245965480804e-10,-66518000,-32905000,-32905000,-742000,-33647000,67979000,1030269000,53789000,0.25722,0.21295,0.13387,0.0149,0.00848,2.17875,1.73482,0.75698,0.35384,0.19196,0.19143,1.43393,12.11839,0.41823,0.25024,0.0206,0.01948,1.30359,13.6249,23.58441
"32","2018_Q1",28.7345901639344,"Up",239722000,-149832000,89890000,-9825000,-10474000,649000,80065000,-8281000,-8471000,190000,71784000,71784000,-4864000,66920000,66920000,64151000,64151000,112653000,112653000,27693000,27693000,24141000,19040000,15993000,183527000,23378000,32647000,-9269000,2542863000,108713000,108713000,2674954000,2858481000,39864000,25148000,14716000,25309000,3781000,11807000,68548000,1022004000,74989000,31905000,43084000,1096993000,1165541000,872228000,707378000,13417000,1593023000,1692940000,2858481000,66920000,30964000,11002000,-39475000,69411000,33600000,-8723000,24877000,-32061000,-4941000.00000001,910000,1086000,0,-36092000,58196000,58196000,-533000,57663000,111029000,1025379000,110018000,0.37498,0.33399,0.26761,0.03789,0.02244,1.71498,2.67735,0.68847,0.35871,0.49836,0.49628,1.8623,12.37553,0.85468,0.24907,0.03444,0.03939,0.49977,8.22061,11.39981
"33","2018_Q2",32.56,"Up",203196000,-138488000,64708000,-7634000,-9003000,1369000,57074000,-7432000,-8052000,620000,49642000,49642000,-6936000,42706000,42706000,40539000,40539000,92785000,92785000,37793000,37793000,19993000,45923000,16436000,196494000,23176000,32851000,-9675000,2512377000,146325000,146325000,2681878000,2878372000,38942000,27082000,11860000,26575000,3583000,15091000,65517000,996145000,80537000,31137000,49400000,1076682000,1142199000,878927000,715283000,37563000,1631773000,1736173000,2878372000,42706000,34537000,16298000,-15306000,78235000,-13192000,-4457000,-17649000,-32123000,-29375000,5437000,5455000,1510288.96166541,-56061000,4525000,4525000,807000,5332000,91611000,996145000,70049000,0.31845,0.28088,0.19951,0.02335,0.01408,1.72794,2.99913,0.65788,0.34608,0.31474,0.31292,1.57759,12.66893,0.54385,0.2494,0.02583,0.0249,0.7924,9.86082,15.82787
"34","2018_Q3",30.7106349206349,"Down",245905000,-184418000,61487000,-9841000,-11501000,1660000,51646000,-5198000,-8103000,2905000,46448000,46448000,-7111000,39337000,39337000,36258000,36258000,106611000,106611000,54340000,54340000,19125000,18614000,15774000,198690000,22932000,32081000,-9149000,2493380000,136060000,136060000,2652372000,2851062000,39377000,27692000,11685000,44511000,5299000,21538000,83888000,972285000,82012000,30230000,51782000,1054297000,1138185000,880560000,716328000,16601000,1613489000,1712877000,2851062000,39337000,46383000,10637000,6991000,103348000,-12728000,-31165000,-43893000,-34930000,-2.4e+07,-578999.999999999,2369000,1935709.36799078,-59509000,-54000,-54000,-1385000,-1439000,98029000,972285000,99403000,0.25004,0.21002,0.14745,0.02117,0.01272,2.74155,2.36852,0.66449,0.34103,0.28092,0.27953,1.90525,12.50114,0.77016,0.27063,0.02573,0.03592,0.96337,8.83079,16.76169
"35","2018_Q4",26.7815873015873,"Down",200890000,-143261000,57629000,-11252000,-10800000,-452000,46377000,-7342000,-7837000,495000,39035000,39035000,-8396000,30639000,30639000,23432000,23432000,146259000,146259000,43089000,43089000,26950000,18292000,15849000,234590000,22802000,32342000,-9540000,2466696000,118127000,118127000,2607625000,2842215000,38689000,22406000,16283000,42934000,7818000,21249000,81623000,972426000,87067000,28925000,58142000,1059493000,1141116000,882421000,705531000,12348000,1600300000,1701099000,2842215000,30639000,34806000,20069000,-6046000,79468000,-18217000,-8113000,-26330000,-34786000,-27000,378000,392000,-2512000,-36947000,16191000,16191000,-763000,15428000,81183000,972426000,65316000,0.28687,0.23086,0.11664,0.01377,0.00824,2.78747,2.87407,0.67081,0.34214,0.18144,0.18059,1.55556,12.3917,0.50577,0.26936,0.02109,0.02366,1.48455,10.1766,17.81415
"36","2019_Q1",26.0198360655738,"Down",166147000,-139092000,27055000,-12084000,-10647000,-1437000,14971000,-7530000,-8074000,544000,7441000,7441000,-2793000,4648000,4648000,1987000,1987000,148374000,148374000,26151000,26151000,15703000,17625000,5040000,207853000,22751000,30735000,-7984000,2486936000,63126000,63126000,2572813000,2780666000,33442000,18019000,15423000,30099000,3178000,16474000,63541000,972567000,90008000,29800000,60208000,1062575000,1126116000,884263000,672371000,239000,1556873000,1654550000,2780666000,4648000,28395000,3871000,12131000,49045000,-18188000,-26795000,-44983000,-34933000,0,3355000,375000,-9619000,-41197000,-37135000,-37135000,1912000,-35223000,43366000,972567000,40102000,0.16284,0.09011,0.01196,0.0012,0.00071,20.18218,3.27116,0.68062,0.34976,0.01538,0.01532,1.28634,12.05355,0.31048,0.27046,0.01359,0.01476,17.58078,19.00551,55.05264
"37","2019_Q2",27.5157142857143,"Up",191546000,-143251000,48295000,-9775000,-9810000,35000,38520000,-6378000,-7710000,1332000,32142000,32142000,-4349000,27793000,27793000,24794000,24794000,154613000,154613000,32031000,32031000,26221000,18021000,17283000,230886000,22541000,31074000,-8533000,2471912000,158871000,158871000,2653324000,2884210000,38796000,25958000,12838000,39546000,4028000,27050000,78342000,972707000,191961000,29812000,162149000,1164668000,1243010000,886304000,662116000,-5853000,1542567000,1641200000,2884210000,27793000,36491000,10815000,-4182000,70917000,-14122000,-11689000,-25811000,-34877000,0,564000,564000,-3610000,-37923000,7183000,7183000,843000,8026000,75011000,972707000,61056000,0.25213,0.2011,0.12944,0.01511,0.0086,2.46253,2.94715,0.75738,0.33725,0.19194,0.19109,1.48286,11.94188,0.47267,0.27,0.02127,0.02176,1.40667,10.90632,21.23816
"38","2019_Q3",25.4271875,"Down",184800000,-140454000,44346000,-12953000,-10984000,-1969000,31393000,-6864000,-7922000,1058000,24529000,24529000,-3609000,20920000,20920000,18752000,18752000,130956000,130956000,44931000,44931000,23597000,21271000,20581000,220755000,22044000,30833000,-8789000,2469461000,148791000,148791000,2640296000,2861051000,35326000,24944000,10382000,50759000,5935000,25026000,86085000,972848000,201820000,29383000,172437000,1174668000,1260753000,884618000,645743000,-29511000,1500850000,1600298000,2861051000,20920000,27602000,7121000,-9606000,46037000,-15383000,-19594000,-34977000,-36230000,9.31322574615479e-10,-4031000,-4031000,149000,-40112000,-29052000,-29052000,-718000,-29770000,58995000,972848000,37615000,0.23997,0.16988,0.10147,0.01172,0.00655,2.00592,2.56438,0.78782,0.34003,0.14494,0.14464,1.42833,11.60014,0.29073,0.28002,0.01981,0.01356,1.93206,14.27057,26.81783
"39","2019_Q4",27.3009375,"Up",156418000,-134464000,21954000,-10967000,-10102000,-865000,10987000,-7209000,-7997000,788000,3778000,3778000,-2250000,1528000,1528000,-434000,-434000,56946000,56946000,26059000,26059000,8352000,15173000,14894000,106530000,22200000,31379000,-9179000,2497766000,140582000,140582000,2660548000,2767078000,34091000,19556000,14535000,49678000,8096000,26262000,83769000,972989000,194699000,23953000,170746000,1167688000,1251457000,886229000,602051000,-63216000,1425064000,1515621000,2767078000,1528000,27846000,5142000,12723000,47239000,-15766000,-56198000,-71964000,-35018000,0,-8381000,4298000,-3719000,-47118000,-71843000,-71843000,-2933000,-74776000,38833000,972989000,38040000,0.14035,0.07024,-0.00277,-0.000290000000000002,-0.00016,-87.64977,1.27171,0.82571,0.35163,-0.00336,-0.00335,1.20949,11.01919,0.29414,0.27077,0.01289,0.01418,-80.68664,23.58929,83.37517
"40","2020_Q1",25.4966129032258,"Down",178792000,-140181000,38611000,-12484000,-10750000,-1734000,26127000,-5958000,-8087000,2129000,20169000,20169000,-2732000,17437000,17437000,15993000,15993000,68735000,68735000,27127000,27127000,14518000,15595000,2600000,125975000,22251000,31913000,-9662000,2563838000,148932000,148932000,2735021000,2860996000,32234000,18160000,14074000,36952000,3032000,22480000,151186000,973129000,199039000,25311000,173728000,1172168000,1323354000,888177000,583006000,-31202000,1439981000,1537642000,2860996000,17437000,36296000,3155000,-6828000,50060000,-18725000,-67913000,-86638000,-34946000,8.2e+07,4678000,429000,-6228000,45504000,8926000,8926000,1108000,10034000,62423000,1055129000,39602000,0.21595,0.14613,0.08945,0.0104,0.00559,2.47620999999997,0.83325,0.86064,0.3688,0.12383,0.12356,1.38439,11.14984,0.30664,0.27059,0.01825,0.01419,2.18508000000003,15.80177,37.75382
"41","2020_Q2",22.3249206349206,"Down",259130000,-209499000,49631000,-11079000,-9968000,-1111000,38552000,-8425000,-8216000,-209000,30127000,30127000,-3706000,26421000,26421000,25854000,25854000,132362000,132362000,28295000,28295000,13093000,15325000,14941000,189075000,21809000,31759000,-9950000,2444414000,132452000,132452000,2598675000,2787750000,32681000,20837000,11844000,36593000,3416000,26459000,69274000,1055270000,263538000,24658000,238880000,1318808000,1388082000,889753000,570895000,-147255000,1313393000,1399668000,2787750000,26421000,34329000,-22587000,-8984000,29179000,98490000,-23779000,74711000,-34907000,0,-3086000,66000,-725000.000000001,-38718000,65172000,65172000,-2303000,62869000,72881000,1055270000,166093000,0.19153,0.14877,0.09977,0.01847,0.00927,6.42427,2.72938,0.99172,0.37854,0.20021,0.19988,2.00662,10.1705,1.28617,0.27031,0.02235,0.0611,1.35016,12.66322,23.9393
"42","2020_Q3",25.823125,"Up",195630000,-154891000,40739000,-29053000,-12570000,-16483000,11686000,-8241000,-9820000,1579000,3445000,3445000,-2990000,455000,455000,1734000,1734000,94786000,94786000,36811000,36811000,10365000,19268000,18133000,161230000,29410000,39854000,-10444000,3445987000,132640000,132640000,3608037000,3769267000,34964000,21836000,13128000,49283000,6444000,24405000,109289000,1346123000,399897000,23767000,376130000,1746020000,1855309000,1063489000,531681000,-137929000,1457241000,1913958000,3769267000,455000,41866000,10579000,521000,53421000,-12264000,-233234000,-245498000,-37297000,2.03e+08,-1572000,0,-10483000,153648000,-38429000,-38429000,853000.000000001,-37576000,53552000,1371165000,44799000,0.20825,0.05974,0.00886000000000001,0.00091,0.00046,25.83564,1.47526,0.96936,0.36377,0.01301,0.01275,1.46739,10.93055,0.33603,0.27976,0.01059,0.01216,21.50923,23.83439,109.22292
"43","2020_Q4",26.70734375,"Up",198875000,-180943000,17932000,-16151000,-14498000,-1653000,1781000,-10559000,-10421000,-138000,-8778000,-8778000,-720000,-9498000,-9498000,-758000,-758000,78151000,78151000,45439000,45439000,13767000,31457000,19342000,168814000,28790000,39877000,-11087000,3392981000,136414000,136414000,3558185000,3726999000,43876000,24645000,19231000,48190000,8067000,24450000,92066000,1378596000,405189000,21765000,383424000,1783785000,1875851000,1065188000,485636000,-121605000,1429219000,1851148000,3726999000,-9498000,43284000,29333000,-7735000,55384000,-15239000,1245000,-13994000,-36932000,-1.5e+07,-294000,-289000,-7036000,-59262000,-17872000,-17872000,1237000,-16635000,45065000,1378596000,22811000,0.09017,0.00896,-0.00381,-0.000409999999999997,-2e-04,-30.09367,1.83362,1.01334,0.36989,-0.00556,-0.00537,1.45815,10.47902,0.16725,0.27078,0.00995,0.00628,-48.72296,28.8571,730.17687
"44","2021_Q1",31.1408196721311,"Up",205519000,-167103000,38416000,-16047000,-13609000,-2438000,22369000,-10370000,-10311000,-59000.0000000002,11999000,11999000,407000,12406000,12406000,10254000,10254000,84507000,84507000,49082000,49082000,10594000,26382000,4095000,170565000,30401000,42639000,-12238000,3370644000,157123000,157123000,3558168000,3728733000,43442000,24790000,18652000,47693000,7347000,29234000,91135000,1360515000,414438000,23344000,391094000,1774953000,1866088000,1101675000,446267000,-73885000,1474057000,1862645000,3728733000,12406000,45517000,4927000,3340000,66190000,-21821000,-7041000.00000003,-28862000,-37212000,-2e+07,35742000,34165000,-7196000,-28666000.0000001,8662000,8662000,194000,8856000,67886000,1360515000,48998000,0.18692,0.10884,0.04989,0.00551,0.00275,4.77843,1.87156,1.00185,0.36487,0.07506,0.07252,1.50432,10.78954,0.35865,0.27238,0.01305,0.01347,3.62901999999998,18.79634,57.04359
"45","2021_Q2",34.9595238095238,"Up",191447000,-151378000,40069000,-11584000,-14032000,2448000,28485000,-10032000,-10028000,-4000,18453000,18453000,-3421000,15032000,15032000,10848000,10848000,82620000,82620000,51902000,51902000,24993000,30565000,18280000,190080000,29714000,42414000,-12700000,3356437000,173353000,173353000,3559504000,3749584000,50804000,35083000,15721000,50041000,8317000,33587000,100845000,1359400000,379418000,22958000,356460000,1738818000,1839663000,1146265000,407716000,-25146000,1528835000,1909921000,3749584000,15032000,45213000,-546000,-5831000,53868000,-15831000,-28593000,-44424000,-37490000,103052463.473368,33711000,33711000,-10047000,-13826000,-4382000,-4382000,-5000,-4387000,73698000,1359400000,55457000,0.2093,0.14879,0.05666,0.00568,0.00289,5.11219,1.88487,0.96321,0.36255,0.07868,0.07609,1.3886,11.08889,0.40224,0.27192,0.01325,0.0152,3.45594,17.32449,44.82289
"46","2021_Q3",35.9384375,"Up",291431000,-194250000,97181000,-12737000,-14693000,1956000,84444000,-14143000,-12999000,-1144000,70301000,70301000,-6881000,63420000,63420000,57206000,57206000,314308000,314308000,51819000,51819000,29789000,135038000,20040000,530954000,29084000,42533000,-13449000,3239083000,160148000,160148000,3428315000,3959269000,45185000,29226000,15959000,65178000,14564000,27355000,310193000,1252643000,398950000,22568000,376382000,1651593000,1961786000,1231224000,411531000,-33407000,1609348000,1997483000,3959269000,63420000,42696000,-2632000,7230000,110714000,18851000,-23560000,-4709000,-38186000,96378000,81481000,81481000,-13894000,125779000,231784000,231784000,131000,231915000,127140000,1452473000,160102000,0.33346,0.28976,0.19629,0.02864,0.01445,2.79869,1.71169,0.98213,0.36685,0.41492,0.40128,2.1138,11.67287,1.16125,0.27697,0.02478,0.0416,0.66752,8.95206,13.47834
"47","2021_Q4",37.58234375,"Up",364726000,-233309000,131417000,-8104000,-13174000,5070000,123313000,-9990000,-11265000,1275000,113323000,113323000,-2812000,110511000,110511000,75831000,75831000,431806000,431806000,42352000,42352000,18592000,127180000,19362000,619930000,28532000,42699000,-14167000,2899583000,158369000,158369000,3086484000,3706414000,51754000,27989000,23765000,116594000,67712000,28983000,368235000,1167967000,377752000,22173000,355579000,1545719000,1913954000,1296877000,450076000,-36560000,1710393000,1792460000,3706414000,110511000,33325000,-30730000,-244000,112862000,4181000,83218000,118467000,-38585000,-7e+07,54417000,56031000,-10059000,-64227000,167102000,167102000,-472000,166630000,156638000,1367854000,163387000,0.36032,0.3381,0.20791,0.04231,0.02046,2.15462,1.68352,1.06778,0.36905,0.71289,0.71289,3.4288,16.07944,1.536,0.36274,0.03234,0.04618,0.50883,5.97587,7.59083000000001
"48","2022_Q1",38.6512903225806,"Up",261993000,-217178000,44815000,-11282000,-15892000,4610000,33533000,-10462000,-10615000,153000,23071000,23071000,-1547000,21524000,21524000,8665000,8665000,362173000,362173000,30018000,30018000,28523000,30717000,18528000,451431000,29623000,44523000,-14900000,3001874000,153428000,153428000,3184925000,3636356000,44304000,23447000,20857000,196275000,18787000,159686000,365544000,1242819000,212415000,10478000,201937000,1455234000,1820778000,1389073000,402307000,-19604000,1771776000,1815578000,3636356000,21524000,34488000,-12681000,4335000,47666000,-28484000,-67049000,-95587000,-39254000,-2.98023223876953e-08,67139000,65525000,-91922000,-64037000,-111958000,-111958000,-543000,-112501000,68021000,1367784000,45419000,0.17105,0.12799,0.03307,0.00477,0.00238,5.24166,1.23496,1.00286,0.37614,0.08146,0.0814600000000001,2.463,16.6565,0.42698,0.36903,0.01411,0.01338,4.53018,14.78383,29.9887
"49","2022_Q2",40.1411290322581,"Up",222041000,-160979000,61062000,-15744000,-14760000,-984000,45318000,-8805000,-8337000,-468000,36513000,36513000,-5515000,30998000,30998000,29317000,29317000,259722000,259722000,52906000,52906000,33290000,29180000,20088000,375098000,28906000,44605000,-15699000,2980639000,175221000,175221000,3184766000,3559864000,43876000,31131000,12745000,182938000,8218000,161021000,228901000,1243673000,205651000,10201000,195450000,1449324000,1678225000,1421946000,389077000,25973000,1836996000,1881639000,3559864000,30998000,47419000,-1914000,-26836000,49667000,-15597000,-3348000,-18945000,-39444000,-122930000,31497000,31497000,-3792999.99999999,-134670000,-103948000,-103948000,620000,-103328000,92737000,1245760000,55819000,0.275,0.2041,0.13203,0.01558,0.00824,1.90398,1.63869,0.8919,0.34995,0.20363,0.19798,1.54229,12.75968,0.38772,0.27398,0.02063,0.01675,1.34543,10.63263,21.7582
"50","2022_Q3",36.86475,"Down",246346000,-194324000,52022000,-16554000,-17356000,802000,35468000,-8877000,-9083000,206000,26591000,26591000,-1303000,25288000,25288000,24105000,24105000,280280000,280280000,40902000,40902000,25330000,23195000,19050000,369707000,28373000,44585000,-16212000,2912004000,200857000,200857000,3141234000,3510941000,40224000,28201000,12023000,191410000,7863000,154968000,232256000,1263394000,194841000,9927000,184914000,1458235000,1690491000,1424329000,382495000,610000,1807434000,1820450000,3510941000,25288000,35750000,15160000,22665000,98863000,-14738000,-790000,-15528000,-42323000,-1929000,2979000,2979000,-8934000,-50207000,33128000,33128000,-2866000,30262000,71218000,1264016000,80448000,0.21117,0.14398,0.09785,0.01324,0.00687,3.3374,1.59181,0.92861,0.36002,0.16575,0.16119,1.69391,12.42819,0.55317,0.29102,0.02026,0.02453,1.75578,13.81302,27.73587
