"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q2",31.25453125,"Up",91493000,-63838000,27655000,-35582000,-23565000,-12017000,-7926999.99999999,-23514000,-7599000,-348000,-15439000,-128000,-31441000,-4267000.00000006,-35708000,-3321000,-39029000.0000001,-39029000.0000001,-39172000,-39172000,442472000,442472000,115754000,115754000,257843000,257843000,816069000,814263000,42213000,42213000,869979000,1686048000,105041000,45781000,59260000,86961000,86961000,197217000,442729000,60621000,60620999.9999995,503350000,700567000,1062007000,-78438000,-446000,983123000,985481000,1686048000,-39029000,11380000,23131000,-1465999.99999999,-5984000,7815000,7815000,-9848000,1000,-9847000,-8016000,-8016000,-8016000,3453000,447944000,13123000,0.30226,-0.08664,-0.428140000000001,-0.03975,-0.02323,-0.33501,4.13792,0.71089,0.26568,-1.67223,-1.67223,3.90578999999999,41.96907,0.560210000000013,-0.02622,0.00878,1.58471000000002,-0.690300000000001
"31","2018_Q3",31.4574603174603,"Up",105601000,-68654000,36947000,-37210000,-24425000,-12785000,-263000,-5245000,-7547000,-1002000,390000,2914000,-5508000,123000,-5385000,-5797000,-11182000,-11182000,-10940000,-10940000,459286000,459286000,96630000,96630000,241415000,241415000,797331000,803725000,41151000,41151000,846211000,1643542000,82663000,30561000,52102000,80168000,80168000,169121000,438559000,60336000,60336000,498895000,668016000,1064065000,-89378000,-403000,974284000,975526000,1643542000,-11182000,11192000,16363000,6594000,22967000,-622000,-622000,-1166000,-1999000,-3165000,19180000,19180000,19180000,10929000,444849000,22698000,0.34987,-0.00249,-0.1036,-0.01121,-0.00666,-2.07477,4.71456,0.68478,0.27066,-0.44374,-0.44374,4.28328,39.51794,0.92065,-0.00739,0.01533,-1.32098,54.89354
"32","2018_Q4",26.0246031746032,"Down",99192000,-66918000,32274000,-38936000,-25546000,-13390000,-6662000,-4819000.00000001,-7585000,1000,56000,2709000,-11481000,-18424000,-29905000,-1278000,-31183000,-31183000,-30896000,-30896000,461088000,461088000,88013000,88013000,219286000,219286000,768387000,776640000,44753000,44753000,822522000,1590909000,79078000,30571000,48507000,66958000,66958000,153707000,435301000,57993000,57993000.0000001,493294000,647001000,1063630000,-120274000,-403000,942953000,943908000,1590909000,-31183000,11377000,2.4e+07,1053000,5247000,190000,190000,-1383000,1000.00000000093,-1382000,4055000,4055000,4055000,4715000,442972000,7236000,0.32537,-0.06716,-0.31148,-0.03273,-0.01942,-0.23421,4.99904,0.68545,0.27844,-1.16087,-1.16087,3.72699,35.43004,0.27188,-0.02138,0.00501,-3.84221,2.71930000000001
"33","2019_Q1",22.4259016393443,"Down",110234000,193880000,304114000,-326168000,-36487000,-20101000,-22054000,-12444000,-7708000,1455000,-3871000,5799000,-34498000,-48023000,-82521000,-7856000,-90377000,-90377000,-90509000,-90509000,371791000,371791000,111266000,111266000,200245000,200245000,683302000,1089857000,53541000,53541000,1144437000,1827739000,93723000,31939000,61784000,56064000,56064000,158355000,430436000,94025000,94025000,524461000,682816000,1352425000,-210783000,2194000,1143836000,1144923000,1827739000,-90377000,17383000,62476000,-7771000,-18289000,17341000,61147000,-92772000,-20896000,-113668000,-70810000,-70810000,-70810000,-4671000,439004000,12755000,2.7588,-0.20007,-0.82106,-0.07905,-0.04952,-0.14093,4.315,0.59639,0.24019,-2.85825,-2.85825,3.48116,36.12205,0.4028,-0.05394,0.0076,-14.38942,-3.04766
"34","2019_Q2",22.9696825396825,"Up",122149000,-82967000,39182000.0000001,-50072000,-27140000,-22932000,-10890000,-5836000,-7736000,-508000,-62000.0000000005,2470000,-16726000,1269999.99999999,-15456000,-5830000,-21286000,-21286000,-21731000,-21731000,391060000,391060000,112853000,112853000,170205000,170205000,674118000,1065297000,69109000,69109000,1135180000,1809298000,85764000,29739000,56025000,60360000,60360000,156081000,427436000,98096000,98096000,525532000,681613000,1356473000,-232514000,2194000,1126153000,1127685000,1809298000,-21286000,19034000,8183999.99999999,-9089000,-3157000,6535000,6534999.99999999,-1509000,-1578000,-3087000.00000003,291000,291000,291000,8144000,437393000,11420000,0.320769999999999,-0.08915,-0.17791,-0.01927,-0.01201,-0.52552,4.31903,0.60444,0.24175,-0.5845,-0.5845,3.28543,30.29003,0.30716,-0.01307,0.00687,5.68922,-4.25464
"35","2019_Q3",18.82078125,"Down",125859000,-81025000,44834000,-48734000,-23696000,-25038000,-3900000,-5617000,-7582000,11000,95000,1859000,-9517000,-494000,-10011000,-5542000,-15553000,-15553000,-15959000,-15959000,369549000,369549000,121155000,121155000,179174000,179174000,669878000,1041054000,80680000,80680000,1122392000,1792270000,80845000,24170000,56675000,63502000,63502000,154349000,424911000,97471000,97471000,522382000,676731000,1359880000,-248473000,2194000,1113601000,1115539000,1792270000,-15553000,19548000,9011000,-30572000,-17566000,5158000,5158000,-2283000,-181000,-2464000,-14872000,-14872000,-14872000,15648000,434913000,-4224000,0.35622,-0.03099,-0.1268,-0.01431,-0.0089,0.26468,4.34002,0.60664,0.24266,-0.4249,-0.4249,3.35097,29.64938,-0.11246,-0.00968,-0.00256,4.17715,-16.76
"36","2019_Q4",15.948125,"Down",119764000,-81153000,38611000,-56209000,-30474000,-25735000,-17598000,-6184000,-7468000,173000,-468000,1579000,-23782000,-4953000,-28735000,-15071000,-43806000,-43806000,-44200000,-44200000,359332000,359332000,123133000,123133000,162476000,162476000,644941000,1022786000,86294000,86294000,1109080000,1754021000,78464000,23672000,54792000,71700000,71700000,159853000,419905000,96499000,96499000,516404000,676257000,1365911000,-292673000,2194000,1075432000,1077764000,1754021000,-43806000,19047000,19289000,-10511000,-15981000,-532000,-532000.000000002,-2666000.00000001,-1352000,-4018000.00000001,-20531000,-20531000,-20531000,1449000,429594000,5477000,0.32239,-0.14694,-0.36906,-0.04101,-0.0252,-0.12391,4.03459,0.62746,0.24492,-1.14618,-1.14618,3.10567,27.88766,0.14203,-0.02756,0.00341,48.48999,-3.99261
"37","2020_Q1",13.4595161290323,"Down",118777000,-86851000,31926000,-50632000,-22406000,-28226000,-18706000,-9254000,-6282000,-945000,-2717000,690000,-27960000,-31333000,-59293000,-1281000,-60574000,-60574000,-59853000,-59853000,218290000,218290000,110180000,110180000,208826000,153583000,537296000,938961000,103271000,103271000,1042232000,1579528000,101501000,27501000,7.4e+07,74286000,74286000,185677000,279044000,98397000,98397000,377441000,563118000,1367561000,-352526000,-236000,1014799000,1016410000,1579528000,-60574000,19416000,40349000,6090000,5281000,-312000,-312000,-127235000,-12758000,-139993000,-135024000,-135024000,-135024000,710000,288934000,7769000,0.26879,-0.15749,-0.50391,-0.05889,-0.03789,-0.1298,2.89371,0.55403,0.18292,-1.51455,-1.51455,3.00559,25.67893,0.19659,-0.04264,0.00553,99.49859,-3.77654
"38","2020_Q2",5.67079365079365,"Down",116368000,-2672999.99999999,113695000,-127352000,-21420000,-27107000,-13657000,-5162000,-6142000,864000,10955344.447303,116000,-18819000,-4875999.99999999,-23695000,5171000,-18524000,-18524000,-18445000,-18445000,187802000,187802000,119455000,119455000,210936000,184794000,518193000,922979000,111952000,111952000,1034931000,1553124000,103565000,30711000,72854000,76966000,76966000,189635000,273015000,91578000,91578000,364593000,554228000,1368365000,-371134000,133000,997364000,998896000,1553124000,-18524000,17285000,16708000,-42994000,-27525000,7003000,7003000,-2599999.99999997,-531000,-3130999.99999997,-23653000,-23653000,-23653000,3628000,282119000,-37534000,0.97703,-0.11736,-0.15851,-0.01847,-0.01188,2.03491,2.73258,0.55484,0.18165,-0.45996,-0.45996,2.90187,24.8713,-0.93599,-0.01344,-0.02735,25.99697,-6.90613
"39","2020_Q3",6.5584375,"Up",102344000,-143770000,-41426000,33084000,-17597000,-28144000,-8342000,9811000,-5959000,-2076000,17150000,696000,1469000,-109403000,-107934000,-2730000,-110664000,-110664000,-110623000,-110623000,203119000,203119000,115008000,115008000,155640000,126576000,473767000,839912000,101996000,101996000,941908000,1415675000,78104000,17111000,60993000,74618000,74618000,162159000,273215000,90301000,90301000,363516000,525675000,1369685000,-481757000,581000,888509000,8.9e+08,1415675000,-110664000,16986000,122850000,-14470000,14702000,9828000,9828000,-2142000,-81000,-2223000,22307000,22307000,22307000,8644000,282652000,6732000,-0.40477,-0.08151,-1.08089,-0.1243,-0.07814,-0.06086,2.92162,0.59065,0.19966,-2.74465,-2.74465,2.53924,22.04463,0.16703,-0.08759,0.00533,9.20095,-9.53404
"40","2020_Q4",7.92796875,"Up",86467000,-62003000,24464000,-48215000,-17438000,-30777000,-23751000,-6952000,-6071000,-1153000,0,272000,-30703000,-1425000.00000001,-32128000,-5953000,-38081000,-38081000,-37927000,-37927000,192243000,192243000,100583000,100583000,147989000,109901000,440815000,820876000,89083000,89083000,909959000,1350774000,68764000,12953000,55811000,84954000,84954000,163294000,246179000,87724000,87724000,333903000,497197000,1370818000,-519684000,1106000,852240000,853577000,1350774000,-38081000,19343000,15044000,18323000,14629000,9985000,9985000,-28778000,-90000.0000000005,-28868000,-4254000,-4254000,-4254000,-4408000,255755000,29853000,0.28293,-0.27468,-0.43863,-0.04443,-0.02808,-0.78712,2.69952,0.58249,0.18934,-0.93862,-0.93862,2.1399,21.0914,0.73881,-0.03168,0.02494,-14.40835,-2.67408
"41","2021_Q1",12.1247540983607,"Up",91859000,-63739000,28120000,-47673000,-16992000,-30681000,-19553000,-8556000,-5984000,-2880000,164000,144000,-28109000,-5795000,-33904000,4477000,-29427000,-29427000,-29247000,-29247000,149933000,149933000,174673000,174673000,64043000,17955000,388649000,780318000,82210000,82210000,862528000,1251177000,69403000,16981000,52422000,85979000,85979000,183179000,164934000,79792000,79792000,244726000,427905000,1371850000,-548931000,-804000,822115000,823272000,1251177000,-29427000,19416000,20878000,-8687000,2180000,-3420000,-3420000,-64560000,-983000,-65543000,-66783000,-66783000,-66783000,-137000,192731000,-16721000,0.30612,-0.21286,-0.31839,-0.03553,-0.02338,0.57172,2.12169,0.51976,0.15404,-0.72027,-0.72027,2.26223,20.24637,-0.41179,-0.02669,-0.01526,-312.39416,-2.18882
"42","2021_Q2",13.2866666666667,"Up",83504000,-1067000,82437000,-106790000,-16043000,-29727000,-24353000,-7217000,-4541000,-850000,-1849000,23000,-31570000,-1948000,-33518000,-2009000,-35527000,-35527000,-35315000,-35315000,131858000,131858000,162339000,162339000,69545000,24737000,363742000,754707000,70481000,70481000,825188000,1188930000,63088000,14622000,48466000,91359000,91359000,172648000,148337000,79234000,79234000,227571000,400219000,1372887000,-584246000,-875000,787766000,788711000,1188930000,-35527000,18470000,15574000,7199000,5716000,9787000,9787000,-26414000,-919000,-27333000,-11830000,-11830000,-11830000,-5883000,166538000,13112000,0.98722,-0.29164,-0.42291,-0.04478,-0.0297,-0.37129,2.10684,0.50743,0.14007,-0.86735,-0.86735,2.05089,19.34782,0.32204,-0.03414,0.01267,-5.89495000000005,-1.42405
"43","2021_Q3",11.36578125,"Down",89953000,-125864000,-35911000,15684000,-16787000,-28549000,-20227000,-3462000,-3944000,422000,52000,8000,-23689000,68000,-23621000,-6026000,-29647000,-29647000,-29462000,-29462000,131157000,131157000,155151000,155151000,68855000,35688000,355163000,731659000,64911000,64911000,796570000,1151733000,66721000,16189000,50532000,88584000,88584000,162660000,148612000,80723000,80723000,229335000,391995000,1373768000,-613708000,-1082000,758978000,759738000,1151733000,-29647000,18224000,13257000,3017000,4851000,17912000,17912000,-11487000,-753000,-12240000,10523000,10523000,10523000,-2003000,155967000,24952000,-0.39922,-0.22486,-0.32753,-0.03878,-0.02558,-0.84692,2.18347,0.51596,0.13542,-0.7236,-0.7236,2.20928,18.64078,0.61283,-0.02957,0.02504,-12.38642,-1.22658
"44","2021_Q4",11.74953125,"Up",92401000,-65699000,26702000,-46025000,-18045000,-27980000,-19323000,-3956000,-3681000,-523000,1e+05,148000,-23279000,-2241000,-25520000,-887000,-26407000,-26407000,-26258000,-26258000,127414000,127414000,154232000,154232000,68447000,37427000,350093000,709324000,63656000,63656000,772980000,1123073000,70175000,18042000,52133000,88710000,88710000,299880000,14139000,74442000,74442000,88581000,388461000,1375256000,-639966000,-1289000,734001000,734612000,1123073000,-26407000,17911000,14028000,-8031000,-2499000,3674000,3674000,-1358000,-35000,-1393000,-218000,-218000,-218000,-1412000,155134000,-4882000,0.28898,-0.20912,-0.28417,-0.03574,-0.02338,0.18592,1.16744,0.5288,0.13813,-0.64172,-0.64172,2.2582,17.93834,-0.11931,-0.02723,-0.00506,-19.63173,-1.43456
"45","2022_Q1",15.8179032258065,"Up",105175000,-71415000,33760000,-45929000,-17641000,-28288000,-12169000,-14134000,-3417000,582000,-1625000,1426000,-26303000,-14823000,-41126000,3047000,-38079000,-38079000,-37934000,-37934000,149037000,149037000,156637000,156637000,36998000,13846000,342672000,688040000,65068000,65068000,753108000,1095780000,72522000,20788000,51734000,85420000,85420000,157942000,167885000,68184000,68184000,236069000,394011000,1376535000,-677900000,2668000,701303000,701769000,1095780000,-38079000,18618000,36028000,-9629000,6938000,-6314000,-6314000,12716000,-12764000,-48000,576000,576000,576000,6449000,167885000,-12541000,0.32099,-0.1157,-0.36068,-0.05405,-0.03462,0.3306,2.16961,0.56145,0.15321,-0.90808,-0.90808,2.51771,16.78803,-0.30021,-0.04045,-0.01337,2.92262,-1.54885
"46","2022_Q2",23.0072580645161,"Up",191762000,-113629000,78133000,-58123000,-27267000,-30856000,20010000,-7798000,-4391000,-3997000,9000,581000,12212000,-950000,11262000,-6352000,4910000,4910000,5380000,5380000,136234000,136234000,134144000,134144000,38813000,18210000,309191000,677580000,67359000,67359000,744939000,1054130000,78837000,23696000,55141000,46662000,46662000,125499000,167997000,70892000,70892000,238889000,364388000,1376976000,-690068000,2471000,689379000,689742000,1054130000,-12271000,17673000,8987000,-26013000,-11624000,3399000,2360000,36294034.7811341,-1280000,-1280000,-10544000,-10544000,-10544000,37683000,167997000,21421000,0.40745,0.10435,0.02806,0.00780000000000001,0.00509999999999999,3.9816,2.46369,0.5283,0.15937,0.13033,0.13033,4.6454,16.70007,0.51892,0.00579,0.02307,0.8429,1.58736
"47","2022_Q3",21.31765625,"Down",77414000,-55983000,21431000,-46321000,-18754000,-27567000,-24890000,1995000,-4068000,3062000,-253000,3254000,-22895000,-13815000,-36710000,-5485000,-42195000,-42195000,-43129000,-43129000,87981000,87981000,189259000,189259000,52543000,22422000,329783000,838612000,114340000,114340000,952952000,1282735000,139749000,30537000,109212000,47872000,47872000,187621000,168279000,85188000,85188000,253467000,441088000,1554603000,-715649000,1763000,840717000,841647000,1282735000,-25014000,22614000,26945000,-46148000,-21603000,-616000,-29102000,78119104.3434022,-1267000,-1267000,-51972000,-51972000,-51972000,-2276000,168279000,-43555000,0.27684,-0.32152,-0.55712,-0.05124,-0.03362,1.00988,1.75771,0.52408,0.13119,-1.04479,-1.04479,1.87534,20.36621,-1.05511,-0.03938,-0.03977,-35.28032,-3.22611
