"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",94.0815873015873,"Up",226317000,-108391000,117926000,-104571000,-69378000,-34924000,13355000,1507000,1507000,14862000,14862000,-4391000,10471000,10471000,10471000,10471000,127334000,88783000,75127000,75127000,115377000,30608000,30608000,348446000,47252000,201083000,33154000,15531000,248335000,596781000,118500000,66926000,51574000,2223000,2223000,120723000,18017000,7190000,10827000,18017000,138740000,151830000,309901000,-3690000,458041000,458041000,596781000,10471000,8915000,4145000,-27002000,-3471000,-5567000,3500000,-3654000,-47794000,2206000,-53999.9999999995,-47848000,-54973000,-54973000,-55718000,22270000,-1.73472347597681e-18,-5908000,0.52107,0.05901,0.04627,0.02286,0.01755,-0.564230000000001,2.88633,0.3029,-1.61558713389263e-27,0.37918,0.36952,8.19544,16.58667,-0.21394,0.022,-0.01241,-5.71774,-9.53456
"33","2018_Q4",90.6301587301587,"Down",264534000,-129328000,135206000,-97931000,-62359000,-35309000,37275000,337000,337000,37612000,37612000,-5683000,31929000,31929000,31929000,31929000,135116000,100122000,109583000,109583000,160752000,36332000,36332000,441783000,54198000,195622000,31785000,15647000,249820000,691603000,165994000,103143000,62851000,4719000,4719000,170713000,17312000,5720000,11592000,17312000,188025000,163780000,341829000,-2031000,503578000,503578000,691603000,31929000,9415000,7131000,-34501000,13974000,-1.1e+07,3500000,-7699000,5343000,5343000,0,5343000,11618000,11618000,11339000,46690000,0,6872000,0.51111,0.14091,0.1207,0.0634,0.04617,0.21523,2.58787,0.37338,0,1.16135,1.12008,9.62187,18.31659,0.24995,0.0613,0.01319,-2.8939,-3.62484
"34","2019_Q1",106.448852459016,"Up",384665000,-198154000,186511000,-156724000,-119013000,-37451000,29787000,437000,437000,30224000,30224000,-5033000,25191000,25191000,25191000,25191000,161978000,130373000,162166000,162166000,164633000,25660000,25660000,514437000,57026000,195498000,36979000,15350000,252524000,766961000,208001000,136742000,71259000,5756000,5756000,213757000,17882000,4005000,13877000,17882000,231639000,173049000,367021000,-4748000,535322000,535322000,766961000,25191000,9497000,1165000,-4461000,31392000,-7138000,4356000,-3738000,2417999.99999999,2418000,0,2417999.99999999,30072000,30072000,30251000,39284000,2.77555756156289e-17,32718000,0.48487,0.07744,0.06549,0.04706,0.03285,1.2988,2.40664,0.43271,-2.58493941422821e-26,0.91034,0.87487,13.90087,19.34526,1.18235,0.04554,0.05914,-4.12326,-5.43788
"35","2019_Q2",101.369523809524,"Down",237661000,-118115000,119546000,-97283000,-61743000,-35269000,22263000,1280000,1280000,23543000,23543000,-1023000,22520000,22520000,22520000,22520000,200457000,173094000,54496000,54496000,181128000,30526000,30526000,466607000,66616000,245879000,32921000,74723000,312495000,779102000,139559000,84690000,54869000,5267000,5267000,144826000,71653000,3296000,68357000,71653000,216479000,175280000,389541000,-2198000,562623000,562623000,779102000,22520000,8724000,7232000,14227000,52703000,-6004000,2380000,-5601000,2563000,2563000,-7212000,-4649000,42453000,42453000,42721000,30987000,0,40233000,0.50301,0.09368,0.09476,0.04003,0.02891,1.78655,3.22185,0.38477,0,0.80824,0.78295,8.52963,20.19248,1.44396,0.03551,0.06343,-6.46907,-9.00404
"36","2019_Q3",71.60625,"Down",260172000,-142002000,118170000,-112920000,-77001000,-35650000,5250000,1533000,1533000,6783000,6783000,424000,7207000,7207000,7207000,7207000,156779000,132795000,90401000,90401000,192010000,41960000,41960000,481150000,71728000,248137000,33862000,75101000,319865000,801015000,150477000,86848000,63629000,2101000,2101000,152578000,68861000,2110000,66751000,68861000,221439000,184944000,396748000,-2116000,579576000,579576000,801015000,7207000,9181000,-3379000,-44409000,-31400000,-8701000,3500000,-10582000,2117000,2117000,-65000,2052000,-39930000,-39930000,-40299000,14431000,-2.22044604925031e-16,-39103000,0.4542,0.02018,0.0277,0.01243,0.009,-5.4257,3.15347,0.38207,4.13590306276514e-25,0.25669,0.25029,9.26637,20.64238,-1.39271,0.01111,-0.0603,-10.86404,-29.86267
"37","2019_Q4",50.2065625,"Down",289399000,-152558000,136841000,-94286000,-60629000,-33401000,42555000,9e+05,9e+05,43455000,43455000,-7923000,35532000,35532000,35532000,35532000,91072000,70542000,169562000,169562000,248303000,39112000,39112000,548049000,75019000,250596000,37177000,80951000,325615000,873664000,178917000,108331000,70586000,4902000,4902000,183819000,66960000,1560000,65400000,66960000,250779000,189550000,432280000,1055000,622885000,622885000,873664000,35532000,9839000,13703000,-111956000,-52882000,-12375000,3500000,-9670000,301000,301000,0,301000,-62251000,-62251000,-62253000,52394000,0,-64014000,0.47285,0.14705,0.12278,0.05704,0.04067,-1.80159,2.98146,0.40261,0,1.26237,1.23723,10.2817,22.12971,-2.27427,0.05151,-0.09279,-1.73821,-2.1401
"38","2020_Q1",47.9841935483871,"Down",426778000,-257408000,169370000,-152820000,-115278000,-37287000,16550000,8502000,8502000,25052000,25052000,-5011000,20041000,20041000,20041000,20041000,256424000,239392000,146161000,146161000,157347000,34285000,34285000,594217000,75988000,250548000,41791000,77673000,326536000,920753000,197953000,116185000,81768000,4549000,4549000,202502000,66182000,912000,65270000,66182000,268684000,196739000,452321000,3009000,652069000,652069000,920753000,20041000,9415000,-6102000,138277000,161631000,-8257000,7851000,4930000,2166000,2166000,4.65661287307739e-10,2166000,168727000,168727000,168850000,25965000,3.5527136788005e-15,160996000,0.39686,0.03878,0.04696,0.03073,0.02177,8.03333,2.93438,0.41205,-6.61744490042422e-24,0.70814,0.69919,15.07996,23.04049,5.6887,0.0279,0.22415,-9.87576,-15.4939
"39","2020_Q2",65.8463492063492,"Up",192535000,-114580000,77955000,-98180000,-61167000,-36759000,-20225000,-19000,-19000,-20244000,-20244000,2109000,-18135000,-18135000,-18135000,-18135000,263527000,248768000,37013000,37013000,147249000,41743000,41743000,489532000,79530000,250971000,41071000,79736000,330501000,820033000,133018000,77217000,55801000,5320000,5320000,138338000,65156000,1054000,64102000,65156000,203494000,176069000,434186000,6284000,616539000,616539000,820033000,-18135000,7459000,6194000,45216000,40734000,-7310000,1940000,-5370000,-24066000,934000,-1816000,-25882000,9482000,9482000,9376000,-12766000,0,23031000,0.40489,-0.10505,-0.09419,-0.02941,-0.02211,-1.26998,3.53867,0.33006,0,-0.64088,-0.64088,6.80408,21.78814,0.8139,-0.0266,0.03378,20.64288,13.02977
"40","2020_Q3",77.054375,"Up",279883000,-101871000,178012000,-107729000,-70918000,-36557000,70283000,-384000,-384000,69899000,69899000,-11283000,58616000,58616000,58616000,58616000,242294000,230734000,128334000,128334000,133055000,92555000,92555000,596238000,78432000,246098000,39237000,76916000,324530000,920768000,169267000,95522000,73745000,3512000,3512000,172779000,65927000,1042000,64885000,65927000,238706000,184716000,492802000,4544000,682062000,682062000,920768000,58616000,10325000,10608000,-92126000,-12577000,-11658000,2935000,-8723000,2756000,2756000,4.65661287307739e-10,2756000,-18544000,-18544000,-18034000,80608000,-5.6843418860808e-14,-11893000,0.63602,0.25112,0.20943,0.08594,0.06366,-0.202900000000001,3.45087,0.34998,-5.29395592033938e-23,2.0992,2.05447,10.02339,24.42653,-0.42592,0.07836,-0.0159,-3.00583,-3.44741
"41","2020_Q4",81.395,"Up",413145000,-214304000,198841000,-117847000,-78978000,-38613000,80994000,42240000,42240000,123234000,123234000,-29982000,93252000,93252000,93252000,93252000,357336000,297206000,179709000,179709000,218134000,52525000,52525000,807704000,78296000,230820000,33834000,64265000,309116000,1116820000,257115000,162346000,94769000,7858000,7858000,264973000,69933000,986000,68947000,69933000,334906000,194909000,586054000,951000,781914000,781914000,1116820000,93252000,7921000,-23654000,-8930000,68589000,-6063000,1896000,-4167000,358000,358000,-29000,329000,64751000,64751000,66472000,88915000,0,103904000,0.48129,0.19604,0.22571,0.11926,0.0835,1.11423,3.04825,0.42832,0,3.32663,3.25169,14.73833,27.89362,3.70662,0.10947,0.12197,-4.01885,-4.41188
"42","2021_Q1",113.677049180328,"Up",544827000,-329406000,215421000,-200151000,-155182000,-44741000,15270000,-244000,-244000,15026000,15026000,-1691000,13335000,13335000,13335000,13335000,483716000,432635000,170526000,170526000,181756000,45223000,45223000,881221000,76584000,231923000,33404000,62745000,308507000,1189728000,297167000,165779000,131388000,10400000,10400000,307567000,77727000,705000,77022000,77727000,385294000,205538000,599389000,-493000,804434000,804434000,1189728000,13335000,9057000,13314000,99596000,135302000,-6568000,2579000,-3989000,1536000,1536000,2.3283064365387e-10,1536000,132849000,132849000,135429000,24327000,0,119046000,0.39539,0.02803,0.02448,0.01658,0.01121,8.92733,2.86514,0.47896,8.470329472543e-22,0.47368,0.46037,19.35305,28.57467,4.22869,0.01512,0.13495,-19.88391,-31.67754
"43","2021_Q2",102.538253968254,"Down",303261000,-180317000,122944000,-116555000,-74430000,-41920000,6389000,-160000,-160000,6229000,6229000,1214000,7443000,7443000,7443000,7443000,500754000,500754000,67918000,67918000,233113000,41369000,41369000,843154000,80402000,234335000,33408000,68342000,314737000,1157891000,256579000,150769000,105810000,7294000,7294000,263873000,70034000,584000,69450000,70034000,333907000,210174000,606832000,6978000,823984000,823984000,1157891000,7443000,7501000,8269000,5481000,28694000,-11272000,54980000,43708000,2589000,2589000,-4756000,-2167000,70235000,70235000,68119000,13890000,0,6885000,0.40541,0.02107,0.02454,0.00903,0.00643,0.92503,3.1953,0.40523,0,0.2634,0.2559,10.73224,29.16035,0.24366,0.00833,0.0077,-36.0514,-78.37752
"44","2021_Q3",85.19734375,"Down",365596000,-226620000,138976000,-142018000,-103137000,-38677000,-3042000.00000001,-286000.000000002,-286000.000000002,-3328000,-3328000,570000,-2758000,-2758000,-2758000,-2758000,415841000,415841000,74759000,74759000,276517000,48816000,48816000,815933000,81161000,236725000,34076000,69987000,317886000,1133819000,271317000,166779000,104538000,11445000,11445000,282762000,69825000,1458000,68367000,69825000,352587000,216656000,557452000,7124000,781232000,781232000,1133819000,-2758000,8134000,9349000,-41620000,-26895000,-10652000,-942000.000000007,-11594000,-47458000,2542000,-43000,-47501000,-85990000,-85990000,-84913000,5092000,1.45519152283669e-11,-47750000,0.38014,-0.00832,-0.00754000000000001,-0.00353,-0.00243,17.31327,2.88558,0.45132,0,-0.0976,-0.09482,12.93825,27.64738,-1.68985,-0.00323999999999999,-0.05611,-81.66555,136.69987
"45","2021_Q4",79.079375,"Down",440682000,-277928000,162754000,-122256000,-81743000,-40262000,40498000,26585000,26585000,67083000,67083000,-9867000,57216000,57216000,57216000,57216000,247921000,218012000,240722000,240722000,353724000,46367000,46367000,888734000,80227000,240673000,39778000,70638000,320900000,1209634000,390354000,259396000,130958000,11076000,11076000,401430000,67668000,118000,67550000,67668000,469098000,215862000,517221000,7453000,740536000,740536000,1209634000,57216000,8343000,-32046000,-126087000,-92574000,-3378000,297000,-3081000,-99974000,26000,-362000,-100336000,-195991000,-195991000,-197829000,48841000,0,-70757000,0.36932,0.0919,0.12984,0.07726,0.0473,-1.23666,2.21392,0.63346,0,2.04906,2.00934,15.78204,26.52065,-2.534,0.07079,-0.08755,-5.07608,-6.12181
"46","2022_Q1",63.2716129032258,"Down",455448000,-329823000,125625000,-170570000,-129728000,-40472000,-44945000,3245000,3245000,-41700000,-41700000,10189000,-31511000,-31511000,-31511000,-31511000,234501000,201457000,160642000,160642000,333296000,61094000,61094000,789533000,78887000,316009000,37945000,76362000,394896000,1184429000,383916000,251298000,132618000,11767000,11767000,395683000,72023000,3250000,68773000,72023000,467706000,222923000,485710000,8090000,716723000,716723000,1184429000,-31511000,9331000,5064999.99999999,75920000,58805000,-4626000,-1170000,-77153000,1562000,1562000,2.3283064365387e-10,1562000,-16786000,-16786000,-16555000,-35614000,-2.3283064365387e-10,25491000,0.27583,-0.09868,-0.06919,-0.04397,-0.0266,-0.80896,1.99537,0.65256,0,-1.16803,-1.16803,16.8822,26.56694,0.944879999999999,-0.03995,0.03232,6.58452,5.21751
"47","2022_Q2",48.3116129032258,"Down",291969000,-184454000,107515000,-130802000,-87763000,-42529000,-23287000,-16746000,-16746000,-40033000,-40033000,9627000,-30406000,-30406000,-30406000,-30406000,113499000,112038000,105573000,105573000,331085000,96749000,96749000,646906000,71877000,317682000,50995000,70096000,389559000,1036465000,262290000,172908000,89382000,13298000,13298000,275588000,65675000,3187000,62488000,65675000,341263000,229404000,455304000,10494000,695202000,695202000,1036465000,-30406000,11241000,10011000,-93161000,-102315000,-3113000,15713000,12600000,797000,797000,-1524000,-727000,-90442000,-90442000,-89419000,-12046000,0,-117947000,0.36824,-0.07976,-0.10414,-0.04374,-0.02934,3.87907,2.34737,0.49088,0,-1.12707,-1.12707,10.82248,25.76922,-4.37197,-0.03996,-0.15501,9.42213,4.87392
"48","2022_Q3",52.4865625,"Up",255351000,-174406000,80945000,-144859000,-102397000,-41937000,-63914000,-2182000,-2182000,-66096000,-66096000,22675000,-43421000,-43421000,-43421000,-43421000,63409000,63409000,87766000,87766000,397012000,111654000,111654000,659841000,69294000,340826000,62698000,89187000,410120000,1069961000,283472000,192388000,91084000,13645000,13645000,332117000,61068000,2904000,58164000,61068000,393185000,239641000,411883000,25252000,676776000,676776000,1069961000,-43421000,8474000,-8589000,-40661000,-84197000,-1781000,-1420000,-3200999.99999999,2291000,2291000,-77000,37214000,-50184000,-50184000,-48629000,-55440000,3.5e+07,-120557000,0.317,-0.2503,-0.17004,-0.06416,-0.04058,2.77647,1.98677,0.58097,0.03271,-1.59865,-1.59865,9.40138,24.9172,-4.43861,-0.05618,-0.15599,0.51243,0.444489999999998
