"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",334.238225806452,"Up",2.89e+09,-1.665e+09,-1.634e+09,-3.1e+07,1.225e+09,-3.8e+07,-4.4e+07,-5.1e+07,7e+06,6e+06,1.187e+09,1.187e+09,-3.36e+08,8.51e+08,8.51e+08,0,8.51e+08,8.51e+08,6.091e+09,6.091e+09,2.35e+09,2.35e+09,1.76881e+11,1.76881e+11,1.85322e+11,5.59e+08,3.1546e+10,1.7363e+10,1.3118e+10,1.065e+09,3.4855e+10,2.20177e+11,2.974e+09,1.094e+09,1.88e+09,1.55152e+11,4.84e+09,1.50312e+11,1.58126e+11,4.915e+09,4.915e+09,2.7792e+10,2.7792e+10,3.2707e+10,1.90833e+11,1.9339e+10,2e+06,1.9337e+10,1.366e+10,-7.16e+08,2.9098e+10,2.46e+08,2.9344e+10,2.20177e+11,8.51e+08,3.1e+07,1.77e+08,1.13e+08,-8e+06,72000000.0000001,1.33e+08,2.5e+08,-1.17e+08,1.192e+09,-3.1e+07,-3.1e+07,-3.1e+07,7.8e+07,1.63e+08,-8.5e+07,8e+06,5.5e+07,-3.74e+08,-2.81e+08,-2.81e+08,1.5e+08,-5.05e+08,7.42e+08,7.42e+08,-1.05e+08,6.37e+08,1.256e+09,4.915e+09,1.694e+09,0.42388,0.29446,0.029,0.00387,1.9906,1.17199,6.50331,0.02232,5.2072,5.12576,17.68368,178.0484,10.36545,2.28848,0.01974,0.0273,0.43948,-0.93631,-0.96
"29","2017_Q2",350.70619047619,"Up",2.824e+09,-1.677e+09,-1.647e+09,-3e+07,1.147e+09,-7e+06,-5.8e+07,-6.5e+07,7e+06,5.1e+07,1.14e+09,1.14e+09,-2.69e+08,8.71e+08,8.71e+08,-9e+06,8.62e+08,8.62e+08,5.814e+09,5.814e+09,3.227e+09,3.227e+09,1.8639e+11,1.8639e+11,1.95431e+11,5.46e+08,3.1655e+10,1.7338e+10,1.3113e+10,1.204e+09,3.5155e+10,2.30586e+11,2.769e+09,2e+09,7.69e+08,1.62645e+11,5.03e+09,1.57615e+11,1.65414e+11,5.619e+09,5.619e+09,3.0038e+10,3.0038e+10,3.5657e+10,2.01071e+11,1.8931e+10,2e+06,1.8929e+10,1.4073e+10,-6.77e+08,2.9156e+10,3.59e+08,2.9515e+10,2.30586e+11,8.71e+08,5.8e+07,1.83e+08,1.62e+08,1.99e+08,-1.78e+08,-1.303e+09,-8.69e+08,-4.34e+08,-1.91e+08,-1.9e+07,-1.9e+07,-1.9e+07,-4e+07,2.1e+07,-6.1e+07,1e+07,-4.9e+07,-4.47e+08,-5.62e+08,-5.62e+08,1.32e+08,-1.8e+08,-4.2e+08,-4.2e+08,3.2e+07,-3.88e+08,1.205e+09,5.619e+09,1.52e+08,0.40616,0.30524,0.02921,0.00374,0.17633,1.18147,6.8125,0.02437,5.28781,5.2288,17.32339,178.85295,0.93242,2.74205,0.02009,0.00233,0.51856,-0.16183,-0.17001
"30","2017_Q3",377.49,"Up",3.504e+09,-2.271e+09,-2.251e+09,-2e+07,1.233e+09,999999.999999996,-3.5e+07,-4.8e+07,1.3e+07,3.6e+07,1.234e+09,1.234e+09,-3.73e+08,8.61e+08,8.61e+08,-1e+07,8.51e+08,8.51e+08,5.508e+09,5.508e+09,2.984e+09,2.984e+09,1.73157e+11,1.73157e+11,1.81649e+11,5.49e+08,3.203e+10,1.7423e+10,1.3199e+10,1.408e+09,3.5839e+10,2.17488e+11,2.66e+09,1.52e+09,1.14e+09,1.53702e+11,4.981e+09,1.48721e+11,1.56362e+11,4.97e+09,4.97e+09,2.6269e+10,2.6269e+10,3.1239e+10,1.87601e+11,1.904e+10,2e+06,1.9038e+10,1.4523e+10,-5.75e+08,2.9555e+10,3.32e+08,2.9887e+10,2.17488e+11,8.61e+08,6.7e+07,4.3e+07,1.28e+08,-2.8e+07,-57000000.0000001,4e+08,7.13e+08,-3.13e+08,1.371e+09,-3.6e+07,-3.6e+07,-3.6e+07,-2.04e+08,4.3e+07,-2.47e+08,-2e+07,-3.33e+08,-4.07e+08,-2.84e+08,-2.84e+08,1.08e+08,-1.283e+09,-2.45e+08,-2.45e+08,7e+07,-1.75e+08,1.3e+09,4.97e+09,2.037e+09,0.35188,0.24287,0.02847,0.00391,2.39365,1.16172,6.27701,0.02285,5.23684,5.18429,21.56275,181.87416,12.53519,2.50458,0.02058,0.03332,0.47826,-0.41385,-0.43633
"31","2017_Q4",432.331587301587,"Up",3.508e+09,-2.119e+09,-2.092e+09,-2.7e+07,1.389e+09,1e+07,-3.1e+07,-4.6e+07,1.5e+07,4.1e+07,1.399e+09,1.399e+09,-4.43e+08,9.56e+08,9.56e+08,-1.2e+07,9.44e+08,9.44e+08,6.165e+09,6.165e+09,3.183e+09,3.183e+09,1.75369e+11,1.75369e+11,1.84717e+11,5.71e+08,3.1937e+10,1.74e+10,1.3226e+10,1.311e+09,3.585e+10,2.20567e+11,3.266e+09,1.652e+09,1.614e+09,1.54453e+11,4.966e+09,1.49487e+11,1.57719e+11,5e+09,5e+09,2.7431e+10,2.7431e+10,3.2431e+10,1.9015e+11,1.9147e+10,2e+06,1.9145e+10,1.5065e+10,-4.73e+08,3.0042e+10,3.75e+08,3.0417e+10,2.20567e+11,9.56e+08,6.5e+07,5e+07,1.27e+08,-1e+06,-7.6e+07,2.89e+08,-2.05e+08,4.94e+08,1.36e+09,-4.5e+07,-4.5e+07,-4.5e+07,-3.5e+07,5.7e+07,-9.2e+07,-2e+07,-1.29e+08,-4.05e+08,-2.87e+08,-2.87e+08,7.2e+07,-6.2e+08,6.11e+08,6.11e+08,5.9e+07,6.7e+08,1.454e+09,5e+09,2.141e+09,0.39595,0.2691,0.03104,0.00428,2.26801,1.17118,6.25144,0.02267,5.83174,5.76406,21.67135,185.59026,13.22644,2.50197,0.02146,0.03407,0.42903,-0.80124,-0.83873
"32","2018_Q1",490.614098360656,"Up",2.655e+09,-1.152e+09,-1.123e+09,-2.9e+07,1.503e+09,1e+06,-3.2e+07,-4.6e+07,1.4e+07,3.3e+07,1.504e+09,1.504e+09,8.15e+08,2.319e+09,2.319e+09,-6e+06,2.313e+09,2.313e+09,6.894e+09,6.894e+09,2.699e+09,2.699e+09,1.74127e+11,1.74127e+11,1.8372e+11,5.92e+08,3.2245e+10,1.7389e+10,1.322e+10,1.636e+09,3.6521e+10,2.20241e+11,3.314e+09,1.161e+09,2.153e+09,1.55459e+11,3.527e+09,1.51932e+11,1.58773e+11,5.014e+09,5.014e+09,2.419e+10,2.419e+10,2.9204e+10,1.87977e+11,1.9258e+10,2e+06,1.9256e+10,1.6939e+10,-4.32e+08,3.1798e+10,4.66e+08,3.2264e+10,2.20241e+11,2.319e+09,5e+07,-1.543e+09,1.25e+08,-1.391e+09,-2.77e+08,4.62e+08,-1.6e+08,6.22e+08,1.288e+09,-5.5e+07,-5.5e+07,-5.5e+07,-4.4e+07,4.5e+07,-8.9e+07,2.3e+07,-7.6e+07,-4.03e+08,-2.88e+08,-2.88e+08,1.44e+08,-5.47e+08,6.65e+08,6.65e+08,3.1e+07,6.96e+08,1.553e+09,5.014e+09,1.145e+09,0.5661,0.87119,0.07169,0.0105,0.49503,1.15712,5.82621,0.02277,14.34413,14.02834,16.46505,197.19614,7.10075,2.49922,0.04419,0.01863,0.17423,-1.21056,-1.25083
"33","2018_Q2",474.7575,"Down",3.583e+09,-2.208e+09,-2.197e+09,-1.1e+07,1.375e+09,-1.6e+07,-3.1e+07,-4.6e+07,1.5e+07,1.5e+07,1.359e+09,1.359e+09,-2.65e+08,1.094e+09,1.094e+09,-5e+06,1.089e+09,1.089e+09,6.081e+09,6.081e+09,2.677e+09,2.677e+09,1.70118e+11,1.70118e+11,1.78876e+11,5.89e+08,3.2865e+10,1.7378e+10,1.3217e+10,2.27e+09,3.7141e+10,2.16017e+11,2.209e+09,1.421e+09,7.88e+08,1.48942e+11,3.516e+09,1.45426e+11,1.51151e+11,5.036e+09,5.036e+09,2.7247e+10,2.7247e+10,3.2283e+10,1.83434e+11,1.8858e+10,2e+06,1.8856e+10,1.7529e+10,-3.01e+08,3.1978e+10,6.05e+08,3.2583e+10,2.16017e+11,1.094e+09,5.3e+07,-1.82e+08,1.75e+08,1e+07,-3.67e+08,-1.106e+09,3.5e+07,-1.141e+09,-1.41e+08,-3.3e+07,-3.3e+07,-3.3e+07,2.8e+07,1.22e+08,-9.4e+07,-4.8e+07,-5.3e+07,-5.05e+08,-7.19e+08,-7.19e+08,3.5e+08,-8.74e+08,-1.068e+09,-1.068e+09,1.15e+08,-9.53e+08,1.428e+09,5.036e+09,5.54e+08,0.38376,0.30394,0.03342,0.00504,0.50872,1.18343,5.62975,0.02331,6.75349,6.6843,22.22015,198.31316,3.43566,3.13178,0.02457,0.00854,0.46373,-0.73179,-0.76
"34","2018_Q3",439.11126984127,"Down",3.605e+09,-2.165e+09,-2.154e+09,-1.1e+07,1.44e+09,-2.4e+07,-2.7e+07,-4.6e+07,1.9e+07,3e+06,1.416e+09,1.416e+09,-3.38e+08,1.078e+09,1.078e+09,-5e+06,1.073e+09,1.073e+09,6.724e+09,6.724e+09,2.567e+09,2.567e+09,1.49493e+11,1.49493e+11,1.58784e+11,5.81e+08,3.2488e+10,1.7367e+10,1.3215e+10,1.906e+09,3.6765e+10,1.95549e+11,2.401e+09,1.216e+09,1.185e+09,1.32324e+11,3.511e+09,1.28813e+11,1.34725e+11,4.994e+09,4.994e+09,2.296e+10,2.296e+10,2.7954e+10,1.62679e+11,1.8955e+10,2e+06,1.8953e+10,1.8138e+10,-5.75e+08,3.213e+10,7.4e+08,3.287e+10,1.95549e+11,1.078e+09,5.4e+07,-7.3e+07,1.35e+08,-7999999.99999976,-2e+08,3.69e+08,4.3e+07,3.26e+08,1.428e+09,-3e+07,-3e+07,-3e+07,-6.7e+07,3.9e+07,-1.06e+08,8e+06,-8.9e+07,-4.64e+08,-3.21e+08,-3.21e+08,1.86e+08,-5.99e+08,7.4e+08,7.4e+08,-1.42e+08,5.98e+08,1.494e+09,4.994e+09,2.171e+09,0.39945,0.29764,0.03264,0.00549,2.0233,1.17858,4.94916,0.02554,6.66538,6.61684,22.39395,199.58882,13.48607,2.88233,0.02527,0.03569,0.43243,-1.15797,-1.20139
"35","2018_Q4",372.586031746032,"Down",3.576e+09,-2.18e+09,-2.167e+09,-1.3e+07,1.396e+09,3.3e+07,-1.7e+07,-4.6e+07,2.9e+07,5e+07,1.429e+09,1.429e+09,-2.26e+08,1.203e+09,1.203e+09,1.3e+07,1.216e+09,1.216e+09,6.358e+09,6.358e+09,2.682e+09,2.682e+09,1.27557e+11,1.27557e+11,1.36597e+11,5.88e+08,3.3299e+10,1.7854e+10,1.3526e+10,1.919e+09,3.8265e+10,1.74862e+11,3.014e+09,1.403e+09,1.611e+09,1.14209e+11,3.555e+09,1.10654e+11,1.17223e+11,4.991e+09,4.991e+09,1.9575e+10,1.9575e+10,2.4566e+10,1.41789e+11,1.905e+10,2e+06,1.9048e+10,1.8852e+10,-6.16e+08,3.2415e+10,6.58e+08,3.3073e+10,1.74862e+11,1.203e+09,5.7e+07,-7.06e+08,1.21e+08,-1.89e+08,-6.38e+08,7.11e+08,-8.3e+07,7.94e+08,1.265e+09,-4.5e+07,-4.5e+07,-4.5e+07,1.8e+08,2.39e+08,-5.9e+07,6e+06,-5.58e+08,-5.02e+08,-5.15e+08,-5.15e+08,1.97e+08,-8.2e+08,-1.13e+08,-1.13e+08,-3.1e+07,-1.44e+08,1.453e+09,4.991e+09,2.345e+09,0.39038,0.34004,0.03677,0.00695,1.92845,1.16527,4.28715,0.02854,7.59328,7.53509,22.33025,202.41473,14.6433,3.13473,0.02981,0.04068,0.41283,-0.94081,-0.97923
"36","2019_Q1",384.789344262295,"Up",3.434e+09,-2.128e+09,-2.113e+09,-1.5e+07,1.306e+09,-7.2e+07,-5e+06,-4.6e+07,4.1e+07,-6.7e+07,1.234e+09,1.174e+09,-2.47e+08,9.27e+08,9.27e+08,0,9.27e+08,9.27e+08,6.488e+09,6.488e+09,2.657e+09,2.657e+09,1.1094e+11,1.1094e+11,1.20085e+11,6.43e+08,3.4369e+10,1.7839e+10,1.3526e+10,3.004e+09,3.9488e+10,1.59573e+11,3.28e+09,1.292e+09,1.988e+09,9.5829e+10,3.571e+09,9.2258e+10,9.9109e+10,6.269e+09,6.269e+09,2.0655e+10,2.0655e+10,2.6924e+10,1.26033e+11,1.917e+10,2e+06,1.9168e+10,1.9282e+10,-6.91e+08,3.2374e+10,1.166e+09,3.354e+10,1.59573e+11,9.27e+08,5.6e+07,-5.39e+08,1.33e+08,-3.9e+07,-6.33e+08,7.9e+07,9000000.00000003,7e+07,5.23e+08,-9.6e+07,-9.6e+07,-9.6e+07,-1.9e+07,4.9e+07,-6.8e+07,7e+06,-1.08e+08,-4.97e+08,-5.32e+08,-5.32e+08,5.17e+08,-4.72e+08,-56999999.9999998,-56999999.9999998,-3.5e+07,-9.2e+07,1.362e+09,6.269e+09,1.592e+09,0.38031,0.26995,0.02764,0.00581,1.71737,1.21165,3.75769,0.03929,5.83636,5.74578,21.62033,203.82545,10.02317,3.12909,0.02355,0.02633,0.53614,-0.16079,-0.16769
"37","2019_Q2",417.938412698413,"Up",3.346e+09,-2.113e+09,-2.098e+09,-1.5e+07,1.233e+09,1.25e+08,-1.7e+07,-4.6e+07,2.9e+07,1.42e+08,1.358e+09,1.358e+09,-2.98e+08,1.06e+09,1.06e+09,-7e+06,1.053e+09,1.053e+09,4.061e+09,4.061e+09,2.771e+09,2.771e+09,1.18784e+11,1.18784e+11,1.25616e+11,6.56e+08,3.4227e+10,1.7824e+10,1.3524e+10,2.879e+09,3.9392e+10,1.65008e+11,1.955e+09,1.225e+09,7.3e+08,1.04922e+11,3.654e+09,1.01268e+11,1.06877e+11,4.966e+09,4.966e+09,2.0791e+10,2.0791e+10,2.5757e+10,1.32634e+11,1.8829e+10,2e+06,1.8827e+10,1.9779e+10,-6.23e+08,3.1309e+10,1.062e+09,3.2371e+10,1.65005e+11,1.06e+09,8.9e+07,-3.7e+07,1.54e+08,8.8e+07,-2.79e+08,-1.337e+09,-9.9e+07,-1.238e+09,-2.25e+08,-5.8e+07,-5.8e+07,-5.8e+07,-2.1e+07,2.7e+07,-4.8e+07,-3.9e+07,-1.18e+08,-5.56e+08,-1.788e+09,-1.788e+09,1.82e+08,-2.112e+09,-2.455e+09,-2.455e+09,2.8e+07,-2.427e+09,1.322e+09,4.966e+09,2.25e+08,0.3685,0.3147,0.03253,0.00638,0.21368,1.17533,4.09731,0.0301,6.65327,6.60816,21.14135,197.82264,1.42164,3.51303,0.02768,0.00387,0.52802,0.68457,0.73398
"38","2019_Q3",414.60859375,"Down",3.524e+09,-2.246e+09,-2.221e+09,-2.5e+07,1.278e+09,5.7e+07,-3.2e+07,-5.2e+07,2e+07,8.9e+07,1.335e+09,1.335e+09,-3.22e+08,1.013e+09,1.013e+09,-1e+07,1.003e+09,1.003e+09,4.023e+09,4.023e+09,2.863e+09,2.863e+09,1.15253e+11,1.15253e+11,1.22139e+11,6.59e+08,3.6129e+10,1.8477e+10,1.4511e+10,3.141e+09,4.1208e+10,1.63347e+11,2.355e+09,1.277e+09,1.078e+09,1.0342e+11,3.825e+09,9.9595e+10,1.05775e+11,6.466e+09,6.466e+09,1.8446e+10,1.8446e+10,2.4912e+10,1.30687e+11,1.8949e+10,2e+06,1.8947e+10,2.0267e+10,-6.64e+08,3.1893e+10,7.67e+08,3.266e+10,1.63347e+11,1.013e+09,1e+08,-2.56e+08,1.4e+08,-2.8e+07,-3.68e+08,65000000.0000002,-3.2e+07,9.7e+07,9.22e+08,-4.7e+07,-4.7e+07,-4.7e+07,1.9e+07,4.4e+07,-2.5e+07,-1.1e+07,-1.545e+09,-5.15e+08,-6999999.99999976,-7e+06,1.26e+08,6.04e+08,-18999999.9999995,-18999999.9999995,-1.9e+07,-37999999.9999995,1.378e+09,6.466e+09,1.718e+09,0.36266,0.28462,0.03071,0.00614,1.71286,1.15471,4.00144,0.03958,6.45687,6.41473,22.68595,205.31297,11.05972,3.31534,0.02637,0.02984,0.51346,1.77286,1.91158
"39","2019_Q4",445.0740625,"Up",3.692e+09,-2.19e+09,-2.162e+09,-2.8e+07,1.502e+09,-4.2e+07,-3.5e+07,-5.4e+07,1.9e+07,-7e+06,1.46e+09,1.46e+09,-3.41e+08,1.119e+09,1.119e+09,0,1.119e+09,1.119e+09,4.607e+09,4.607e+09,3.026e+09,3.026e+09,1.142e+11,1.142e+11,1.21833e+11,6.69e+08,3.6355e+10,1.8407e+10,1.4552e+10,3.396e+09,4.2039e+10,1.63872e+11,2.752e+09,1.252e+09,1.5e+09,1.02699e+11,3.792e+09,9.8907e+10,1.05451e+11,6.118e+09,6.118e+09,1.8699e+10,1.8699e+10,2.4817e+10,1.30268e+11,1.906e+10,2e+06,1.9058e+10,2.0873e+10,-7.84e+08,3.2407e+10,1.197e+09,3.3604e+10,1.63872e+11,1.119e+09,1.05e+08,-5.91e+08,1.33e+08,-1.5e+07,-7.09e+08,2.98e+08,-1.99e+08,4.97e+08,9.31e+08,-5.5e+07,-5.5e+07,-5.5e+07,-4.19e+08,8e+07,-4.99e+08,3.4e+07,-4.44e+08,-5.13e+08,-1.09e+08,-1.09e+08,7.17e+08,1.39e+08,6.26e+08,6.26e+08,-4.2e+07,5.84e+08,1.607e+09,6.118e+09,2.191e+09,0.40683,0.30309,0.0333,0.00683,1.958,1.15535,3.87656,0.03733,7.20707,7.15242,23.77883,208.72172,14.11144,3.30405,0.02794,0.0375,0.45845,0.94026,1.00599
"40","2020_Q1",465.343709677419,"Up",3.977e+09,-2.439e+09,-2.41e+09,-2.9e+07,1.538e+09,9.6e+07,-2.2e+07,-5.1e+07,2.9e+07,1.18e+08,1.634e+09,1.634e+09,-3e+08,1.334e+09,1.334e+09,-3.3e+07,1.301e+09,1.301e+09,1.0318e+10,4.829e+09,3.179e+09,3.179e+09,1.02844e+11,1.02844e+11,1.16341e+11,7.15e+08,5.1566e+10,1.8369e+10,1.4562e+10,1.8635e+10,5.2281e+10,1.68622e+11,3.224e+09,1.167e+09,2.057e+09,1.10048e+11,3.734e+09,1.06314e+11,1.13272e+11,4.955e+09,4.955e+09,1.5466e+10,1.5466e+10,2.0421e+10,1.33693e+11,1.9188e+10,2e+06,1.9186e+10,2.1662e+10,-5.71e+08,3.3547e+10,1.382e+09,3.4929e+10,1.68622e+11,1.334e+09,2e+06,-4.46e+08,1.4e+08,-2.8e+07,-5.58e+08,3.66e+08,-1.03e+08,4.69e+08,1.256e+09,-9.4e+07,-9.4e+07,-9.4e+07,1.45e+08,2.66e+08,-1.21e+08,4.2e+07,9.3e+07,-5.12e+08,-7000000.00000006,-7e+06,2.96e+08,-1.214e+09,1.35e+08,1.35e+08,8.7e+07,2.22e+08,1.54e+09,4.955e+09,2.112e+09,0.38672,0.32713,0.03725,0.00772,1.62337,1.02709,3.82756,0.02939,8.38345,8.25087,25.62719,216.17183,13.60941,3.29925,0.03276,0.03816,0.39354,-3.48247,-3.487
"41","2020_Q2",480.453650793651,"Up",3.71e+09,-3.026e+09,-3.001e+09,-2.5e+07,6.84e+08,-7.1e+07,-3.1e+07,-4.6e+07,1.5e+07,-4e+07,6.13e+08,6.13e+08,1.4e+07,6.27e+08,6.27e+08,1.79e+08,8.06e+08,8.06e+08,4.406e+09,4.406e+09,3.095e+09,3.095e+09,9.8039e+10,9.8039e+10,1.0554e+11,7.14e+08,3.7526e+10,1.8344e+10,1.4559e+10,4.623e+09,4.348e+10,1.4902e+11,1.84e+09,9.82e+08,8.58e+08,9.196e+10,3.61e+09,8.835e+10,9.38e+10,5.933e+09,5.933e+09,1.4777e+10,1.4777e+10,2.071e+10,1.1451e+11,1.8887e+10,2e+06,1.8885e+10,2.1872e+10,-8.1e+08,3.3013e+10,1.497e+09,3.451e+10,1.4902e+11,6.27e+08,8.2e+07,-1.48e+08,1.49e+08,-1.33e+08,-1.64e+08,-1.499e+09,-5e+06,-1.494e+09,-9.38e+08,-5.2e+07,-5.2e+07,-5.2e+07,-2.8e+07,1.7e+07,-4.5e+07,4.6e+07,-3.4e+07,-5.96e+08,-6.57e+08,-6.57e+08,8.6e+08,6.28e+08,-3.44e+08,-3.44e+08,-7.9e+07,-4.23e+08,7.66e+08,5.933e+09,-7.99e+08,0.18437,0.21725,0.02336,0.00541,-0.99132,1.12516,3.31817,0.03981,5.19185,5.1529,23.89797,212.65333,-5.14676,3.83914,0.02539,-0.01447,0.73945,1.99347,2.23246
"42","2020_Q3",546.30859375,"Up",3.648e+09,-2.242e+09,-2.215e+09,-2.7e+07,1.406e+09,3.57e+08,-4.1e+07,-5.1e+07,1e+07,3.98e+08,1.763e+09,1.763e+09,-3.61e+08,1.402e+09,1.402e+09,-1.88e+08,1.214e+09,1.214e+09,5.466e+09,5.466e+09,2.99e+09,2.99e+09,1.06297e+11,1.06297e+11,1.14753e+11,6.97e+08,3.6721e+10,1.8317e+10,1.4556e+10,3.848e+09,4.2589e+10,1.57342e+11,2.103e+09,9.14e+08,1.189e+09,9.9648e+10,3.664e+09,9.5984e+10,1.08941e+11,6819729153.16532,6819729153.16532,1.4367e+10,1.4367e+10,1.4367e+10,1.23308e+11,1.9009e+10,2e+06,1.9007e+10,2.2532e+10,-7.81e+08,3.273e+10,1.304e+09,3.4034e+10,1.57342e+11,1.402e+09,8.6e+07,-1.01e+08,1.49e+08,6.6e+07,-3.16e+08,3.2e+08,1.25e+08,1.95e+08,1.707e+09,-4.8e+07,-4.8e+07,-4.8e+07,-82999999.9999999,5.2e+07,-1.35e+08,7e+06,-1.24e+08,-5.54e+08,-1.125e+09,-1.125e+09,-9.7e+07,-5.22e+08,1.061e+09,1.061e+09,-1e+06,1.06e+09,1.492e+09,7.19e+09,2.125e+09,0.38542,0.33279,0.03567,0.00772,1.75041,1.05335,3.62308,0.0457,7.89681,7.84767,23.72947,212.90176,13.82268,3.60365,0.0318,0.03823,0.45634,1.1555,1.22617
"43","2020_Q4",638.88625,"Up",4.369e+09,-2.612e+09,-2.585e+09,-2.7e+07,1.757e+09,2.24e+08,-4.5e+07,-5.4e+07,9e+06,2.69e+08,1.981e+09,1.981e+09,-4.64e+08,1.517e+09,1.517e+09,-1.53e+08,1.364e+09,1.364e+09,6.507e+09,6.507e+09,3.706e+09,3.706e+09,1.11131e+11,1.11131e+11,1.21344e+11,6.93e+08,3.6774e+10,1.829e+10,1.4554e+10,3.93e+09,4.3774e+10,1.65118e+11,2.835e+09,9.88e+08,1.847e+09,1.03903e+11,3.742e+09,1.00161e+11,1.13965e+11,7142855362.75698,7142855362.75698,1.5137e+10,1.5137e+10,1.5137e+10,1.29102e+11,1.9152e+10,2e+06,1.915e+10,2.334e+10,-6.01e+08,3.3873e+10,2.143e+09,3.6016e+10,1.65118e+11,1.517e+09,8.7e+07,-7.77e+08,1.6e+08,8.7e+07,-1.024e+09,1.68e+08,-6.64e+08,8.32e+08,9.95e+08,-4e+07,-4e+07,-4e+07,-8e+06,6.4e+07,-7.2e+07,2.9e+07,-1.9e+07,-5.56e+08,-1e+07,-1e+07,5.58e+08,0,9.76e+08,9.76e+08,6.5e+07,1.041e+09,1.844e+09,7.227e+09,2.436e+09,0.40215,0.3122,0.03787,0.00826,1.78592,1.06475,3.58457,0.04377,8.94582,8.87056,28.65416,222.15667,15.97655,3.64654,0.03289,0.04173,0.40762,0.39046,0.40979
"44","2021_Q1",702.609016393443,"Up",4.478e+09,-2.63e+09,-2.603e+09,-2.7e+07,1.848e+09,3.19e+08,-2.6e+07,-5.4e+07,2.8e+07,3.45e+08,2.167e+09,2.167e+09,-4.27e+08,1.74e+09,1.74e+09,-1.92e+08,1.548e+09,1.548e+09,1.5583e+10,8.664e+09,3.535e+09,3.535e+09,1.04663e+11,1.04663e+11,1.23781e+11,6.81e+08,5.252e+10,1.8263e+10,1.4551e+10,1.9706e+10,5.3201e+10,1.76982e+11,3.527e+09,1.028e+09,2.499e+09,1.12028e+11,3.673e+09,1.08355e+11,1.15555e+11,7.264e+09,7.264e+09,1.6507e+10,1.6507e+10,2.3771e+10,1.39326e+11,1.9295e+10,2e+06,1.9293e+10,2.4334e+10,-8.346e+09,3.5283e+10,2.373e+09,3.7656e+10,1.76982e+11,1.74e+09,1.03e+08,-1.044e+09,1.64e+08,-1.77e+08,-1.031e+09,1.18e+09,2.31e+08,9.49e+08,1.979e+09,-5.4e+07,-5.4e+07,-5.4e+07,-5.3e+07,5.4e+07,-1.07e+08,3e+07,-7.7e+07,-5.54e+08,-1.7e+07,-16999999.9999999,6.96e+08,1.38e+08,2.04e+09,2.04e+09,1.17e+08,2.157e+09,1.951e+09,7.264e+09,3.504e+09,0.41268,0.34569,0.04111,0.00875,2.26357,1.07119,3.69997,0.04104,10.15028,10.02053,29.36238,231.35171,22.97584,3.63259,0.03422,0.05704,0.35788,-4.26397,-4.50162
