"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2020_Q1",0.445483870967742,"Down",20913409,-18579776,2333633,-1170255,-1170255,1163378,-484177,-488009,-488009,679201,679201,84723,763924,763924,-64496,699428,-112191,587237,1255408,1255408,2620991,239146,239146,10486740,32680472,32680472,43167212,6632913,6520721,4605495,13439475,24989896,25916538,39356013,5,53793600,-51108677,2684928,1126271,3811199,43167212,763924,1199027,-2152848,2049826,1859929,-636172,-636172,-636172,-636172,-897026,-166218,-1063244,160513,160513,160513,2362405,29595391,3691336,0.11159,0.05563,0.02808,0.15408,0.0136,6.28594,0.78029,10.32641,0.6856,0.02071,0.02024,0.7374,0.09467,0.13015,0.0171,0.10751,11.99624,24.36008
"37","2020_Q2",0.738412698412698,"Up",18664509,-16303734,2360775,-1077598,-1077598,1283177,-478878,-480911,-480911,804299,804299,-185000,619299,619299,-64686,554613,-112363,442250,1129352,1129352,4055518,25736,25736,10123032,32602455,32602455,42725487,6359823,6247460,5408381,13969271,23378639,24490281,38459552,5,53793600,-50666427,3127178,1138757,4265935,42725487,619299,1305258,1643769,-1492483,2075843,-1172574,-1172574,-1172574,-1172574,-864933,-164392,-1029325,-126056,-126056,-126056,2588435,28787020,108378,0.12648,0.06875,0.02369,0.10367,0.01035,0.245059999999999,0.72466,9.0155,0.67377,0.01559,0.01524,0.6581,0.11026,0.00381999999999999,0.01294,0.00317000000000001,10.68509,21.55406
"38","2020_Q3",0.965625,"Up",19503462,-17353239,2150223,-1112630,-1112630,1037593,-429908,-432788,-432788,607685,607685,-135000,472685,472685,-65620,407065,-102637,304428,1580845,1580845,3692991,99978,99978,9868926,32413476,32413476,42282402,7544954,7442317,5625441,14684890,21784487,23031129,37716019,5,53793600,-50361999,3431606,1134777,4566383,42282402,472685,1255258,552314,560389,2840646,-846241,-846241,-846241,-846241,-1360949,-181963,-1542912,451493,451493,451493,2292851,27409928,2141999,0.11025,0.0532,0.01561,0.06667,0.0072,7.03614,0.67205,8.2595,0.64826,0.01073,0.0105,0.68768,0.121,0.07553,0.00916,0.06447,11.26505,24.89327
"39","2020_Q4",0.93578125,"Down",19738806,-15622931,4115875,-1248196,-1248196,2867679,-415737,-420128,-420128,2451942,2451942,-487000,1964942,1964942,-65411,1899531,-99726,1799805,1156900,1156900,3876099,29693,29693,11065673,32905722,32905722,43971395,5161434,5061708,5745315,16847342,19000212,20733854,37581196,5,53793600,-48562194,5231411,1158788,6390199,43971395,1964942,1355258,-1389083,2715786,4646903,-1667976,-1667976,-1667976,-1667976,-3258835,-144037,-3402872,-423945,-423945,-423945,4222937,24745527,5757747,0.20852,0.14528,0.09118,0.28165,0.04093,3.19909,0.65682,5.88107,0.56276,0.06346,0.06206,0.69598,0.18446,0.20301,0.05476,0.17517,5.58583,8.22569
"40","2021_Q1",0.921147540983607,"Down",18297831,-15441845,2855986,-1185194,-1185194,1670792,-363148,-371524,-371524,1307644,1307644,598000,1905644,1905644,-66432,1839212,-84110,1755102,1131850,1131850,4229895,101839,7488,12134355,34142407,34323932,46458287,5013344,4929234,6328652,15135163,22054539,23163591,38298754,5,53793600,-46807092,6986513,1173020,8159533,46458287,1905644,1365258,-624590,-3575795,-929483,-2598143,-2598143,-2598143,-2598143,3654502,-151926,3502576,-25050.0000000001,-25050.0000000001,-25050.0000000001,3036050,28383191,-3735888,0.15608,0.09131,0.09592,0.2151,0.03778,-2.12859,0.80173,4.69374,0.61094,0.06188,0.04143,0.64517,0.24634,-0.13173,0.04661,-0.09922,8.97592,16.31043
"41","2021_Q2",1.26571428571429,"Up",17568176,-14609617,2958559,-1140238,-1140238,1818321,-355163,-361673,-361673,1463158,1463158,-454000,1009158,1009158,-67039,942119,-81918,860201,821078,821078,3346080,4312700,68333,8479858,33128751,33292148,41772006,4077927,3996009,6929526,12341460,18832921,20395973,32737433,5,53793600,-45946891,7846714,1187859,9034573,41772006,1009158,1491244,454000,219698,3174100,-744656,-744656,-744656,-744656,-2603906,-136310,-2740216,-310772,-310772,-310772,3309565,25762447,3238607,0.1684,0.1035,0.04896,0.09521,0.02059,3.76494,0.6871,3.62357,0.61674,0.03033,0.02658,0.61944,0.27667,0.11419,0.02366,0.08907,7.53615,13.7167
"42","2021_Q3",1.2175,"Down",15523318,-12423073,3100245,-1331219,-1331219,1769026,-288953,-291387,-291387,1480073,1480073,-457000,1023073,1023073,-67975,955098,-81918,873180,752252,752252,3229886,4300288,76549,8282426,32428271,32573540,40855966,3781341,3699423,7192784,12377132,16535254,18555306,30932438,5,53793600,-45073711,8719894,1203634,9923528,40855966,1023073,1530258,457000,-381520,2628811,-545948,-545948,-545948,-545948,-2017571,-134118,-2151689,-68826.0000000001,-68826.0000000001,-68826.0000000001,3299284,23728038,2828816,0.19972,0.11396,0.05625,0.08799,0.02137,3.23967,0.66917,3.11708,0.58077,0.03079,0.02698,0.54734,0.30746,0.09974,0.02448,0.0793,6.96387,12.98782
"43","2021_Q4",0.9171875,"Down",14511196,-11954222,2556974,-1168426,-1168426,1388548,-260051,-270229,-270229,1128497,1128497,-346000,782497,782497,-68904,713593,-80137,633456,583110,583110,3450619,4559950,61052,8593679,31776809,31903950,40497629,4802244,4722107,6863094,12546705,15011184,17377236,29923941,5,53793600,-44440255,9353350,1220338,10573688,40497629,782497,1378920,346000,254810,2762227,-961667,-961667,-961667,-961667,-1835584,-134118,-1969702,-169142,-169142,-169142,2767468,21874278,2406611,0.17621,0.09569,0.04365,0.05991,0.01564,3.79918,0.68494,2.83004,0.54014,0.02234,0.01957,0.51166,0.32979,0.08486,0.0182,0.06913,7.69337,15.3334
"44","2022_Q1",0.886774193548387,"Down",17322369,-14481327,2841042,-1562348,-1562348,1278694,-244306,-254510,-254510,1034388,1034388,-223590,810798,810798,-68224,742574,-79246,663328,4387533,4387533,3441974,205865,52315,12621506,30998988,31108001,43729507,3754556,3754556,5038091,15223254,14872571,17253213,32476467,5,53793600,-43776927,10016678,1236362,11253040,43729507,810798,1401095,14590.0000000001,4391008,6617491,-653369,-653369,-653369,-653369,-1948116,195746,-2159699,3804423,3804423,3804423,2679789,19910662,6641018,0.16401,0.07382,0.03829,0.05895,0.01517,10.01167,0.82909,2.88602,0.45531,0.02339,0.0205,0.61078,0.35318,0.23416,0.03192,0.19798,5.79267,12.13983
"45","2022_Q2",0.782096774193548,"Down",14774399,-13312305,1462094,-1218604,-1218604,243490,-196529,-223354,-187773.072213915,46961,3115458,7000,3122458,3122458,-69619,3052839,-81918,2970921,2888365,2888365,3119395,179759,65192,11358085,30652779,30743664,42101749,4533908,4451990,4825666,14665956,10796771,13170413,27836369,5,53817600,-40806006,13011599,1253781,14265380,42101749,3122458,1374324,-3097833,-1023306,375643,-609279,-659279,-659279,-609279,-1237332,-52200,-1265532,-1499168,-1499168,-1499168,1617814,15622437,-21770.9999999991,0.09896,0.01648,0.20109,0.20826,0.07057,-0.00732999999999784,0.77445,1.95132,0.37106,0.10466,0.09222,0.5205,0.45839,-0.000770000000000021,0.09209,-0.000670000000000032,7.87116,52.29813
"46","2022_Q3",0.7703125,"Down",30618966,-28179906,2439060,-2352504,-2352504,86556,-397080,-429123,-26329.2166417448,-310524,2757973,135000,2892973,2892973,-137951,2755022,-162945,2592077,13994350,13994350,4379337,403888,301674,23511202,29861047,29933804,53445006,4586522,4586522,4526041,26095095,11149401,13395043,39490138,5,53817600,-41184850,12632755,1322113,13954868,53445006,-229485,1410540,-128000,11050140,12103195,-879385,-2126222.13258194,-2126222.13258194,-879385,49872,-4752,-117825,11105985,11105985,11105985,1497096,15675442,11532851,0.07966,0.00283,0.08466,0.18575,0.0485,4.44927,0.90098,2.82985,0.2933,0.09132,0.08046,1.0787,0.44505,0.4063,0.08643,0.3618,1.1229,19.42202
