"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2019_Q2",76.278253968254,"Up",1.237e+09,-7.63e+08,4.74e+08,-3.54e+08,-3.03e+08,-5.1e+07,1.2e+08,-1.6e+07,-1.8e+07,2e+06,1.04e+08,-1e+07,9.4e+07,-1.5e+07,7.9e+07,7.9e+07,7.9e+07,7.9e+07,2.75e+08,2.75e+08,1.02e+09,1.02e+09,6.17e+08,1.69e+08,1.69e+08,2.081e+09,6.53e+08,4.734e+09,2.988e+09,1.219e+09,5.27e+08,5.387e+09,7.468e+09,1.137e+09,5.48e+08,5.89e+08,3.04e+08,1.441e+09,2.044e+09,1.175e+09,3.94e+08,3.12e+08,4.69e+08,3.219e+09,4.66e+09,1.964e+09,-5.26e+08,1.674e+09,-3.16e+08,2.796e+09,2.808e+09,7.468e+09,7.9e+07,6.4e+07,-2.5e+07,9e+06,-3.4e+07,-3.5e+07,7000000.00000001,-2.5e+07,-1.7e+07,8.3e+07,-6.9e+07,-6.9e+07,-7.7e+07,-4.4e+07,-3.5e+07,4e+06,-3.9e+07,0,-2.9e+07,-2.3e+07,-2.3e+07,2e+06,-2.1e+07,1.84e+08,2.348e+09,9.5e+07,0.38319,0.09701,0.06386,0.02813,0.01058,1.20253,1.44414,1.65954,0.31441,0.43962,0.43622,6.8837,15.55927,0.52866,0.24485,0.01943,0.01501,0.55696,11.2663,17.275
"31","2019_Q3",75.4559375,"Down",1.345e+09,-8.19e+08,5.26e+08,-3.41e+08,-2.94e+08,-4.7e+07,1.85e+08,-1.5e+07,-1.8e+07,3e+06,1.7e+08,-1.4e+07,1.56e+08,-1.7e+07,1.39e+08,1.39e+08,1.39e+08,1.39e+08,3.83e+08,3.83e+08,1.096e+09,1.096e+09,6.04e+08,1.75e+08,1.75e+08,2.258e+09,6.61e+08,4.755e+09,2.999e+09,1.211e+09,5.45e+08,5.416e+09,7.674e+09,1.135e+09,5.39e+08,5.96e+08,4.02e+08,1.537e+09,2.051e+09,1.18e+09,3.96e+08,3.05e+08,4.79e+08,3.231e+09,4.768e+09,1.977e+09,-5.26e+08,1.77e+09,-3.27e+08,2.894e+09,2.906e+09,7.674e+09,1.39e+08,6.3e+07,-1.3e+07,7e+06,-2e+07,-6.6e+07,-7.5e+07,1.5e+07,-6e+06,1.23e+08,-6e+07,-6e+07,-6.9e+07,-4.3e+07,4e+06,4e+06,0,-1e+06,5.4e+07,1.08e+08,1.08e+08,0,1.08e+08,2.48e+08,2.453e+09,1.39e+08,0.39108,0.13755,0.10335,0.04783,0.01811,1,1.4691,1.64074,0.31965,0.77179,0.76753,7.46807,16.06885,0.77179,0.23876,0.02783,0.02126,0.30935,8.34677,11.18919
"32","2019_Q4",75.04421875,"Down",1.296e+09,-7.87e+08,5.09e+08,-3.17e+08,-2.73e+08,-4.4e+07,1.92e+08,-2.3e+07,-1.6e+07,-7e+06,1.69e+08,-1.81e+08,-1.2e+07,7.7e+07,6.5e+07,6.5e+07,6.5e+07,6.5e+07,4.53e+08,4.53e+08,1.078e+09,1.078e+09,5.8e+08,1.52e+08,1.52e+08,2.263e+09,6.41e+08,4.611e+09,2.811e+09,1.18e+09,6.2e+08,5.252e+09,7.515e+09,1.155e+09,5.21e+08,6.34e+08,3.06e+08,1.461e+09,2.03e+09,1.129e+09,3.85e+08,3.1e+08,4.34e+08,3.159e+09,4.62e+09,1.985e+09,-5.26e+08,1.791e+09,-3.64e+08,2.886e+09,2.895e+09,7.515e+09,6.5e+07,6.5e+07,2.59e+08,7e+06,2.52e+08,-1.44e+08,-4999999.99999999,8e+06,-7e+06,2.45e+08,-4.6e+07,-4.6e+07,-3.9e+07,-4.4e+07,2e+06,2e+06,0,-1e+06,-1.24e+08,8.2e+07,8.2e+07,-1.2e+07,7e+07,2.57e+08,2.336e+09,-1e+07,0.39275,0.14815,0.05015,0.02245,0.00865,-0.15385,1.54894,1.59585,0.31084,0.36131,0.35832,7.204,16.04225,-0.0555900000000003,0.24458,0.01714,-0.00156999999999999,0.67692,7.32685,9.80729
"33","2020_Q1",76.135,"Up",1.371e+09,-8.34e+08,5.37e+08,-3.37e+08,-2.88e+08,-4.9e+07,2e+08,-1.7e+07,-1.5e+07,-2e+06,1.83e+08,-5e+06,1.78e+08,-6e+07,1.18e+08,1.18e+08,1.18e+08,1.18e+08,7.24e+08,7.24e+08,1.036e+09,1.036e+09,5.39e+08,1.51e+08,1.51e+08,2.45e+09,6.58e+08,4.602e+09,2.839e+09,1.174e+09,5.89e+08,5.26e+09,7.71e+09,1.225e+09,5.97e+08,6.28e+08,2.76e+08,1.501e+09,2.04e+09,1.202e+09,4.45e+08,3.1e+08,4.47e+08,3.242e+09,4.743e+09,1.993e+09,-5.27e+08,1.866e+09,-3.75e+08,2.957e+09,2.967e+09,7.71e+09,1.18e+08,6.5e+07,-9.9e+07,6e+06,-2.8e+07,3.04e+08,5e+07,4.9e+07,5.9e+07,3.88e+08,-5.1e+07,-5.1e+07,-4.6e+07,-4.3e+07,2e+06,3e+06,-1e+06,-1e+06,-7.8e+07,2.64e+08,2.64e+08,7e+06,2.71e+08,2.65e+08,2.316e+09,5.78e+08,0.39168,0.14588,0.08607,0.03977,0.0153,4.89831,1.63225,1.59858,0.30039,0.65446,0.65121,7.60399,16.40044,3.20577,0.23849,0.02483,0.08913,0.36441,6.00755,7.96
"34","2020_Q2",63.9911111111111,"Down",1.123e+09,-7.14e+08,4.09e+08,-3.46e+08,-2.97e+08,-4.9e+07,6.3e+07,-1.9e+07,-1.6e+07,-3e+06,4.4e+07,-2e+06,4.2e+07,-4e+06,3.8e+07,3.8e+07,3.8e+07,3.8e+07,7.39e+08,7.39e+08,9.75e+08,9.75e+08,5.73e+08,1.75e+08,1.75e+08,2.462e+09,6.28e+08,4.501e+09,2.79e+09,1.141e+09,5.7e+08,5.129e+09,7.591e+09,1.125e+09,5.06e+08,6.19e+08,4.59e+08,1.584e+09,2.031e+09,1.155e+09,4.33e+08,3.15e+08,4.07e+08,3.186e+09,4.77e+09,2.006e+09,-5.87e+08,1.854e+09,-4.61e+08,2.812e+09,2.821e+09,7.591e+09,3.8e+07,6.4e+07,-5e+06,8e+06,-1.3e+07,-9.9e+07,2.3e+07,-5.4e+07,-6.8e+07,-2e+06,-5.1e+07,-5.1e+07,-4.8e+07,-4.8e+07,-5.5e+07,5e+06,-6e+07,-1061548.0825152,8.7e+07,3.7e+07,3.7e+07,-2.2e+07,14999999.9999999,1.27e+08,2.49e+09,-19000000.0000002,0.3642,0.0561,0.03384,0.01347,0.00501,-0.5,1.55429,1.69089,0.32802,0.21088,0.2096,6.23196,15.60488,-0.10544,0.26637,0.0133,-0.00294000000000001,1.26316,13.7874,27.79365
"35","2020_Q3",75.74359375,"Up",1.16e+09,-7.26e+08,4.34e+08,-3.32e+08,-2.88e+08,-4.4e+07,1.02e+08,-1.9e+07,-1.8e+07,-1e+06,8.3e+07,-4.8e+07,3.5e+07,-4e+06,3.1e+07,3.1e+07,3.1e+07,3.1e+07,1.577e+09,1.577e+09,9.56e+08,9.56e+08,5.95e+08,1.73e+08,1.73e+08,3.301e+09,6.35e+08,4.508e+09,2.82e+09,1.108e+09,5.8e+08,5.143e+09,8.444e+09,1.161e+09,4.98e+08,6.63e+08,2.12e+08,1.373e+09,3.031e+09,1.175e+09,4.46e+08,3.04e+08,4.25e+08,4.206e+09,5.579e+09,2.014e+09,-5.87e+08,1.838e+09,-4.09e+08,2.856e+09,2.865e+09,8.444e+09,3.1e+07,6.2e+07,9e+07,8e+06,8.2e+07,-2e+06,2.5e+07,-9e+06,-1.8e+07,1.81e+08,-4.4e+07,-4.4e+07,-4e+07,-4.7e+07,0,0,0,-1065898.58837825,6.87e+08,8.28e+08,8.28e+08,1e+07,8.38e+08,1.64e+08,3.243e+09,1.22e+08,0.37414,0.08793,0.02672,0.01082,0.00367,3.93548,2.40422,1.94729,0.38406,0.17222,0.17156,6.44444,15.86667,0.67778,0.26111,0.01071,0.01675,1.51613,10.15854,16.33333
"36","2020_Q4",91.8071875,"Up",1.22e+09,-7.59e+08,4.61e+08,-3.11e+08,-2.66e+08,-4.5e+07,1.5e+08,-2.3e+07,-2.2e+07,-1e+06,1.27e+08,-7.7e+07,5e+07,-1.3e+07,3.7e+07,3.7e+07,3.7e+07,3.7e+07,1.602e+09,1.402e+09,9.68e+08,9.68e+08,5.82e+08,1.59e+08,1.59e+08,3.311e+09,6.33e+08,4.504e+09,2.795e+09,1.09e+09,6.19e+08,5.137e+09,8.448e+09,1.24e+09,4.95e+08,7.45e+08,4e+07,1.28e+09,3.053e+09,1.24e+09,4.55e+08,2.83e+08,5.02e+08,4.293e+09,5.573e+09,2.023e+09,-5.88e+08,1.828e+09,-3.96e+08,2.867e+09,2.875e+09,8.448e+09,3.7e+07,6.3e+07,6.9e+07,3e+06,6.6e+07,1.06e+08,-4999999.99999999,1.5e+07,-4999999.99999999,2.75e+08,-4e+07,-4.1e+07,-2.38e+08,-4.7e+07,4e+06,5e+06,-999999.999999993,-1e+06,-2.24e+08,-1.87e+08,-1.87e+08,1.2e+07,-1.75e+08,2.13e+08,3.093e+09,2.92e+08,0.37787,0.12295,0.03033,0.01287,0.00438,7.89189,2.58672,1.93843,0.36612,0.20544,0.20442,6.77401,15.91893,1.62132,0.26097,0.01165,0.04051,1.27027,7,9.94
"37","2021_Q1",99.2808196721311,"Up",1.373e+09,-8.47e+08,5.26e+08,-3.41e+08,-2.92e+08,-4.9e+07,1.85e+08,-2.1e+07,-2.1e+07,0,1.64e+08,-6e+06,1.58e+08,-1e+07,1.48e+08,1.48e+08,1.48e+08,1.48e+08,1.875e+09,1.875e+09,9.23e+08,9.23e+08,5.58e+08,1.67e+08,1.67e+08,3.523e+09,6.57e+08,4.57e+09,2.854e+09,1.093e+09,6.23e+08,5.227e+09,8.75e+09,1.356e+09,5.69e+08,7.87e+08,6e+08,1.956e+09,2.484e+09,1.334e+09,5.19e+08,2.42e+08,5.73e+08,3.818e+09,5.774e+09,2.039e+09,-5.88e+08,1.93e+09,-4.13e+08,2.968e+09,2.976e+09,8.75e+09,1.48e+08,6.2e+07,-4.3e+07,7e+06,-1.9e+07,2.03e+08,6.6e+07,4.3e+07,5.2e+07,3.7e+08,-4.8e+07,-4.7e+07,1.57e+08,-4.6e+07,1e+07,1e+07,0,-1e+06,-7.7e+07,4.5e+08,4.5e+08,2.3e+07,4.73e+08,2.47e+08,3.084e+09,4.12e+08,0.3831,0.13474,0.10779,0.04973,0.01691,2.78378,1.80112,1.94019,0.35246,0.82177,0.81588,7.62354,16.47973,2.28762,0.25541,0.02624,0.05572,0.31081,4.89474,6.53514
"38","2021_Q2",112.090793650794,"Up",1.256e+09,-7.66e+08,4.9e+08,-3.51e+08,-3.01e+08,-5e+07,1.39e+08,-1.9e+07,-2.1e+07,2e+06,1.2e+08,-5999999.99999999,1.14e+08,-2.7e+07,8.7e+07,8.7e+07,8.7e+07,8.7e+07,1.688e+09,1.688e+09,9.52e+08,9.52e+08,5.96e+08,1.65e+08,1.65e+08,3.401e+09,6.27e+08,4.517e+09,2.831e+09,1.075e+09,6.11e+08,5.144e+09,8.545e+09,1.244e+09,5.3e+08,7.14e+08,6e+08,1.844e+09,2.46e+09,1.295e+09,5.02e+08,2.57e+08,5.36e+08,3.755e+09,5.599e+09,2.051e+09,-6.55e+08,1.967e+09,-4.26e+08,2.937e+09,2.946e+09,8.545e+09,8.7e+07,6.2e+07,5e+06,9e+06,-4e+06,-1.8e+08,-4.2e+07,-4.6e+07,-2.9e+07,-2.6e+07,-3.8e+07,-3.9e+07,-3.1e+07,-5.1e+07,-6.4e+07,3e+06,-6.7e+07,-1389008.95943755,-1.15e+08,-1.72e+08,-1.72e+08,-1.5e+07,-1.87e+08,2.01e+08,3.06e+09,10000000.0000001,0.39013,0.11067,0.06927,0.02953,0.01018,0.11494,1.84436,1.90054,0.3581,0.48253,0.47934,6.96617,16.28952,0.0554600000000001,0.28286,0.0189,0.00137000000000001,0.58621,6.82587,9.8705
"39","2021_Q3",126.6028125,"Up",1.351e+09,-8.31e+08,5.2e+08,-3.57e+08,-3.04e+08,-5.3e+07,1.63e+08,-2.4e+07,-2.1e+07,-3e+06,1.39e+08,-1e+06,1.38e+08,-2.5e+07,1.13e+08,1.13e+08,1.13e+08,1.13e+08,1.84e+09,1.84e+09,9.75e+08,9.75e+08,6.42e+08,1.66e+08,1.66e+08,3.623e+09,6.26e+08,4.536e+09,2.841e+09,1.058e+09,6.37e+08,5.162e+09,8.785e+09,1.359e+09,5.99e+08,7.6e+08,6e+08,1.959e+09,2.466e+09,1.311e+09,5.01e+08,2.64e+08,5.46e+08,3.777e+09,5.736e+09,2.065e+09,-6.56e+08,2.029e+09,-3.98e+08,3.04e+09,3.049e+09,8.785e+09,1.13e+08,6.2e+07,7e+06,8e+06,-1e+06,5e+07,-2.4e+07,-4.3e+07,6.5e+07,2.32e+08,-4.2e+07,-4.1e+07,-3.8e+07,-5.1e+07,5e+06,6e+06,-1e+06,-1e+06,-4.7e+07,1.47e+08,1.47e+08,5e+06,1.52e+08,2.25e+08,3.066e+09,2.58e+08,0.3849,0.12065,0.08364,0.03706,0.01286,2.28319,1.84941,1.88127,0.349,0.62743,0.62328,7.50139,16.87951,1.43254,0.28318,0.02208,0.03474,0.45133,5.44889,7.52147
"40","2021_Q4",122.35875,"Down",1.265e+09,-7.93e+08,4.72e+08,-3.22e+08,-2.73e+08,-4.9e+07,1.5e+08,-1.9e+07,-2.1e+07,2e+06,1.31e+08,2e+06,1.33e+08,-1.9e+07,1.14e+08,1.14e+08,1.14e+08,1.14e+08,1.255e+09,1.255e+09,9.73e+08,9.73e+08,6.79e+08,1.5e+08,1.5e+08,3.057e+09,6.18e+08,4.476e+09,2.816e+09,1.037e+09,6.23e+08,5.094e+09,8.151e+09,1.314e+09,5.77e+08,7.37e+08,613073488.526861,1.314e+09,2.455e+09,1.28e+09,4.92e+08,2.7e+08,5.18e+08,3.735e+09,5.049e+09,2.079e+09,-6.56e+08,2.092e+09,-4.22e+08,3.093e+09,3.102e+09,8.151e+09,1.14e+08,6.2e+07,1.86264514923096e-09,7724019.7868013,-5453446.48333696,-6.4e+07,-11685773.4451155,-50236585.0069898,109154195.760785,1.12e+08,-4.6e+07,-4.7e+07,-4.4e+07,-5e+07,5999999.99999999,6e+06,0,0,-6.44e+08,-5.76e+08,-5.76e+08,-9e+06,-5.85e+08,2.12e+08,2.455e+09,1.21e+08,0.37312,0.11858,0.09012,0.03675,0.01399,1.0614,2.32648,1.62766,0.30119,0.63263,0.62845,7.01998,17.16426,0.67148,0.27747,0.02399,0.0177,0.4386,5.66038,8
"41","2022_Q1",94.7167741935484,"Down",1.323e+09,-8.3e+08,4.93e+08,-3.53e+08,-3.01e+08,-5.2e+07,1.4e+08,-1.4e+07,-1.3e+07,-1e+06,1.26e+08,0,1.26e+08,-1.3e+07,1.13e+08,1.13e+08,1.13e+08,1.13e+08,1.349e+09,1.349e+09,9.53e+08,9.53e+08,7e+08,1.58e+08,1.58e+08,3.16e+09,6.44e+08,4.472e+09,2.792e+09,1.016e+09,6.64e+08,5.116e+09,8.276e+09,1.391e+09,6.39e+08,7.52e+08,591283129.062548,1.391e+09,2.44e+09,1.219e+09,4.38e+08,2.87e+08,4.94e+08,3.659e+09,5.05e+09,2.091e+09,-6.56e+08,2.154e+09,-3.71e+08,3.218e+09,3.226e+09,8.276e+09,1.13e+08,5.9e+07,-1e+07,8324376.22796446,-5361284.12575988,5.8e+07,-37918219.4650735,-83623281.3680844,71043579.1204995,2.2e+08,-8.2e+07,-8.1e+07,-7e+07,-5.1e+07,4e+06,4e+06,0,-2e+06,-4.9e+07,1.01e+08,1.01e+08,-7e+06,9.4e+07,1.99e+08,2.44e+09,1.88e+08,0.37264,0.10582,0.08541,0.03503,0.01365,1.66372,2.27175,1.56541,0.29483,0.62708,0.62708,7.34184,17.85794,1.04329,0.28302,0.02382,0.02731,0.45133,5.48241,7.79286
"42","2022_Q2",81.8937096774194,"Down",1.272e+09,-8.05e+08,4.67e+08,-3.56e+08,-3.04e+08,-5.2e+07,1.11e+08,-1.4e+07,-1.3e+07,-1e+06,9.7e+07,1e+06,9.8e+07,-1.6e+07,8.2e+07,8.2e+07,8.2e+07,8.2e+07,1.117e+09,1.117e+09,955610263.279539,955610263.279539,8.04e+08,1.197e+09,1.86e+08,3.118e+09,6.36e+08,4.465e+09,2.782e+09,1.002e+09,6.81e+08,5.101e+09,8.219e+09,1.365e+09,6.52e+08,7.13e+08,5.55e+08,1.92e+09,1.878e+09,1.215e+09,4.32e+08,2.83e+08,5e+08,3.093e+09,5.013e+09,2.101e+09,-7.07e+08,2.181e+09,-3.77e+08,3.198e+09,3.206e+09,8.219e+09,8.2e+07,5.8e+07,8e+06,9e+06,-1e+06,-2.29e+08,-6.4e+07,-1.06e+08,2e+07,-8.1e+07,-4.8e+07,-4.9e+07,-4.3e+07,-5.5e+07,-5e+07,1e+06,-5.1e+07,-1e+06,-1.06e+08,-2.3e+08,-2.3e+08,-2e+06,-2.32e+08,1.69e+08,2.433e+09,-91999999.9999999,0.36714,0.08726,0.06447,0.02558,0.00998,-1.12195,1.62396,1.56363,0.29602,0.45505,0.45154,7.05882,17.74695,-0.51054,0.30522,0.01999,-0.01342,0.67073,7.78698,11.85586
"43","2022_Q3",90.4515625,"Up",1.364e+09,-8.44e+08,5.2e+08,-3.67e+08,-3.14e+08,-5.3e+07,1.53e+08,-1e+07,-1.2e+07,2e+06,1.43e+08,-7e+06,1.36e+08,-2.4e+07,1.12e+08,1.12e+08,1.12e+08,1.12e+08,1.113e+09,1.113e+09,1.024e+09,1.024e+09,8.52e+08,1.85e+08,1.85e+08,3.174e+09,6.08e+08,4.407e+09,2.714e+09,9.75e+08,7.18e+08,5.015e+09,8.189e+09,1.43e+09,6.48e+08,7.82e+08,5.21e+08,1.951e+09,1.879e+09,1.156e+09,4.08e+08,2.92e+08,4.56e+08,3.035e+09,4.986e+09,2.113e+09,-7.08e+08,2.238e+09,-4.48e+08,3.195e+09,3.203e+09,8.189e+09,1.12e+08,6e+07,1.7e+07,9e+06,8e+06,-7.6e+07,-5.5e+07,-8.3e+07,2e+07,1.13e+08,-4.4e+07,-4.6e+07,-4.1e+07,-5.5e+07,1e+06,2e+06,-1e+06,2e+06,-5.2e+07,2e+07,2e+07,-2.4e+07,-4e+06,2.13e+08,2.4e+09,1.17e+08,0.38123,0.11217,0.08211,0.03497,0.01368,1.04464,1.62686,1.55667,0.29308,0.62153,0.62016,7.56937,17.7303,0.64928,0.30522,0.02471,0.01731,0.49107,6.04225,8.41176
