"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",55.5885714285714,"Down",179364000,-108871000,70493000,-17341000,-16291000,-1050000,53152000,-12469000,-14178000,1703000,6000.00000000012,40683000,45039000,-32765000,11846000,11846000,-3206000,8640000.00000001,8640000.00000001,118390000,118390000,79587000,79587000,18569000,170690000,41151000,129539000,387236000,1935424000,174016000,86986000,66909000,2123397000,2510633000,123322000,101827000,50182000,50182000,214177000,842870000,248287000,72311000,122940000,1091157000,1305334000,875641000,246760000,-7325000,1115076000,90223000,1205299000,2510633000,11846000,27023000,27669000,-23843000,42695000,-112000,-75736000,-3978000,-20115000,-9768000,-33076000,-66117000,-66117000,-66117000,80175000,883543000,0.39302,0.29634,0.04817,0.00717,0.00344,1.80802,1.083,0.35192,0.17359,0.17066,3.60371,22.40368,0.07992,0.0054,0.46042,9.54354,14.39556
"31","2017_Q4",61.1873015873016,"Up",157185000,-97992000,59193000,-15223000,-14507000,-716000,43970000,-14030000,-11437000,-1001000,-1592000,29940000,33446000,-6224000,27559000,27559000,-3599000,23960000,23960000,77212000,77212000,98384000,98384000,18685000,137964000,41727000,96237000,332245000,1971884000,174242000,86806000,66769000,2171493000,2503738000,124830000,103335000,33862000,33862000,193456000,822372000,247403000,77914000,117216000,1069775000,1263231000,896056000,266534000,455000,1163045000,77462000,1240507000,2503738000,27559000,26928000,5117000,-9585999.99999999,50018000,659000,-72059000,-4186000,-33140000,-4359000,-26088000,-48129000,-48129000,-48129000,70898000,857136000,0.37658,0.27973,0.15243,0.01931,0.00957,1.71742,1.01832,0.34234,0.47564,0.47083,3.12036,23.0882,0.0831,0.012,0.17471,11.00065,17.73764
"32","2018_Q1",60.1965573770492,"Down",166365000,-102009000,64356000,-14160000,-13371000,-789000,50196000,-14191000,-12860000,614000,12000.0000000002,36005000,20190000,46207000,68087000,68087000,-3467000,64620000,64620000,47818000,47818000,110410000,110410000,19551000,143867000,40269000,103598000,321646000,2028233000,239901000,85420000,76107000,2302218000,2623864000,175291000,153796000,53467000,53467000,283345000,804294000,234109000,61961000,120628000,1038403000,1321748000,888829000,327255000,1710000,1217794000,84322000,1302116000,2623864000,68087000,34136000,-77355000,52199000,77067000,-3000,-90278000,-3899000,6204000,-11951000,-9917000,-23128000,-23128000,-23128000,84332000,858881000,0.38684,0.30172,0.38842,0.04963,0.02463,1.13517,1.01508,0.32733,1.27672,1.26535,3.28694,24.06042,0.07703,0.02861,0.06034,9.6175,16.15792
"33","2018_Q2",52.975625,"Down",184023000,-110651000,73372000,-18656000,-17548000,-1108000,54716000,-14640000,-14231000,-1599000,-20000,40076000,39953000,34303000,74256000,74256000,-4748000,69508000,69508000,54723000,54723000,103580000,103580000,20069000,143758000,42274000,101484000,322130000,2069123000,256455000,84771000,26127000,2388687000,2710817000,125046000,103551000,38856000,38856000,205211000,893125000,220653000,48074000,121834000,1113778000,1318989000,890536000,410758000,6034000,1307328000,84500000,1391828000,2710817000,74256000,30553000,-34113000,-50927000,19769000,203000,-68034000,-11640000,70313000,-1996000,56677000,8412000,8412000,8412000,85269000,934434000,0.39871,0.29733,0.37771,0.04994,0.02564,1.56975,0.94767,0.34471,1.3733,1.36154,3.63581,25.82938,0.22998,0.03186,0.16746,10.31689,16.07777
"34","2018_Q3",51.5385714285714,"Down",178299000,-120837000,57462000,-20829000,-19578000,-1251000,36633000,-8425000,-15657000,-529000,7373000,28208000,28208000,-25549000,2659000,2659000,-3002000,-343000,-343000,66696000,66696000,109061000,109061000,36696000,183181000,39836000,143345000,395634000,2157005000,374959000,207206000,25458000,2598515000,2994149000,124837000,103342000,52594000,52594000,341031000,969577000,256476000,47128000,159375000,1226053000,1567084000,892652000,405353000,5971000,1303976000,123089000,1427065000,2994149000,2659000,33027000,23579000,-11984000,47281000,1625000,-168156000,-5062000,108523000,28103000,131564000,10689000,10689000,10689000,69660000,1133177000,0.32228,0.20546,-0.00191999999999998,-0.00024,-0.00011,1.16011,1.09812,0.37846,-0.00678000000000001,-0.0067299999999999,3.52216,25.75908,0.1,0.00168,-14.75802,15.3098,29.11258
"35","2018_Q4",51.2411111111111,"Down",166480000,-117688000,48792000,-22890000,-22184000,-706000,25902000,-18677000,-18486000,-383000,309000,7225000,7225000,2882000,10107000,10107000,474000,10581000,10581000,71965000,71965000,118675000,118675000,37442000,193692000,44452000,149240000,421774000,2187227000,382843000,203382000,25987000,2637809000,3059583000,126846000,105351000,55019000,55019000,396365000,959631000,265369000,56753000,159413000,1.225e+09,1621365000,896211000,410870000,7136000,1314217000,124001000,1438218000,3059583000,10107000,34791000,950999.999999996,-9742999.99999999,36106000,9346000,-52186000,-5064000,37306000,-3833000,28409000,12329000,12329000,12329000,60693000,1174131000,0.29308,0.15559,0.06356,0.00736,0.00346,1.06411,1.12734,0.38376,0.20892,0.20766,3.2872,25.94959,0.09999,0.00544,0.478590000000004,18.15969,42.55139
"36","2019_Q1",54.1008196721311,"Up",190465000,-99656000,90809000,-9360000,-8242000,-1118000,81449000,-17527000,-21576000,-2250000,117000.000000001,63922000,50455000,-27366000,23089000,23089000,-4869000,18220000,18220000,98802000,98802000,132129702.722868,132129702.722868,45024000,329238000,51441000,277797000,473064000,1959578000,688708000,199874000,283141000,2648286000,3121350000,116362000,116362000,53089000,53089000,361944000,1040733000,264974000,61323000,203651000,1305707000,1667651000,901414000,422222000,-3799000,1319837000,133862000,1453699000,3121350000,23089000,33862000,37600000,-49518000,45033000,4613000,-53251000,-5068000,40733000,-4358000,31307000,23089000,23089000,22429000,115311000,1233226000,0.47678,0.42763,0.09566,0.01253,0.00584,1.30701,1.14718,0.39509,0.35943,0.35781,3.75737,26.03691,0.09998,0.00789,0.27816,9.83795,13.92803
"37","2019_Q2",58.2084126984127,"Up",199038000,-124859000,74179000,-20454000,-19554000,-9e+05,53725000,-19320000,-20930000,472000,91000,34405000,34405000,-6275000,28130000,28130000,-2184000,25946000,25946000,79366000,79366000,139870000,139870000,42982000,159403000,18224000,141179000,421621000,1962580000,687128000,196125000,361059000,2721593000,3143214000,108309000,108309000,65242000,65242000,268090000,1111696000,291728000,68005000,223723000,1403424000,1671514000,903774000,442531000,-5956000,1340349000,131351000,1471700000,3143214000,28130000,36901000,6895000,5511000.00000001,77437000,359000,-50944000,-5579000,-23124000,-2336000,-31039000,-4546000,-4546000,-5031000,90626000,1206235000,0.37269,0.26992,0.13036,0.01763,0.00825,1.57268,1.13577,0.38376,0.51166,0.50863,3.9251,26.43217,0.11002,0.01062,0.21502,12.43428,20.97476
"38","2019_Q3",67.50875,"Up",184065000,-118918000,65147000,-18267000,-17457000,-810000,46880000,-18849000,-21097000,19000,1027000,28031000,28031000,8166000,36197000,36197000,-2259000,33938000,33938000,110665000,110665000,135756000,135756000,38880000,127050000,9225000,117825000,412351000,1963086000,747297000,193142000,403469000,2781430000,3193781000,115011000,115011000,71140000,71140000,276594000,1116425000,300301000,79837000,220464000,1416726000,1693320000,906417000,470880000,-7736000,1369561000,130900000,1500461000,3193781000,36197000,36430000,-6998000,13013000,78642000,353000,-63224000,-5589000,5493000,-6491000,-6587000,8831000,8831000,9175000,83310000,1206868000,0.35393,0.25469,0.18438,0.02262,0.01063,1.49082,1.12853,0.37788,0.66801,0.6641,3.62297,26.95721,0.11001,0.01314,0.16468,13.15812,23.38317
"39","2019_Q4",74.24765625,"Up",170499000,-115004000,55495000,-16776000,-15714000,-1062000,38719000,-18060000,-19594000,205000,244000,20659000,20659000,-5570000,15089000,15089000,516000,15605000,15605000,97602000,97602000,139226000,139226000,39324000,156158000,12116000,144042000,432310000,1962637000,790832000,188815000,450264000,2827183000,3259493000,137176000,137176000,126154000,126154000,352723000,1030936000,362305000,86475000,275830000,1393241000,1745964000,910702000,480879000,-10848000,1380733000,132796000,1513529000,3259493000,15089000,37997000,5379000,-13092000,45373000,-97000.0000000019,-78843000,-5606000,-20351000,56879000,32979000,-491000,-491000,-1602000,76716000,1120329000,0.32549,0.22709,0.09153,0.01031,0.00479,1.22564,1.15357,0.34371,0.30638,0.30445,3.34745,27.10828,0.11006,0.00708,0.35924,13.33134,26.41409
"40","2020_Q1",74.0529032258064,"Down",192442000,-117940000,74502000,-20030000,-18155000,-1875000,54472000,-19283000,-17248000,-71999.9999999999,-482000,35189000,35189000,-21062000,14127000,14127000,-1521000,12606000,12606000,71173000,71173000,154525000,154525000,34949000,155017000,12667000,142350000,415664000,1971415000,863415000,186220000,446405000,2834830000,3250494000,141857000,141857000,119596000,119596000,376476000,1011931000,337427000,97126000,240301000,1349358000,1725834000,913201000,487873000,-8654000,1392420000,132240000,1524660000,3250494000,14127000,37433000,21435000,-37954000,35041000,35507000,-61527000,-5612000,5434000,-1312000,-1118000,-27604000,-27604000,-26927000,91905000,1126954000,0.38714,0.28306,0.06551,0.00827,0.00388,1.10409,1.13195,0.3467,0.24708,0.24461,3.77189,27.29165,0.11,0.00609,0.44518,11.48774,19.38209
"41","2020_Q2",64.3907936507937,"Down",192113000,-110295000,81818000,-20761000,-21539000,-1619000,61057000,-17135000,-16871000,393000,78000,43922000,43922000,-14016000,29906000,29906000,-3873000,26033000,26033000,400073000,231149000,163771593.195505,163771593.195505,34107000,150106000,11456000,138650000,584286000,1981086000,880241000,182305000,483283000,2861327000,3445613000,140867000,140867000,123060000,123060000,567319000,995959000,339282000,100969000,238313000,1335241000,1902560000,915190000,507537000,-13662000,1409065000,133988000,1543053000,3445613000,29906000,36952000,16511000,-3613000,79756000,-87000,-80820000,-5614000,171134000,2575000,168095000,167031000,167031000,166666000,98009000,1299351000,0.42588,0.31782,0.13551,0.01687,0.00756,1.02991,1.23298,0.3771,0.51009,0.50524,3.76426,27.60924,0.11,0.00995,0.21565,9.17546,14.7285
"42","2020_Q3",59.4553125,"Down",174900000,-109514000,65386000,-17311000,-16724000,-1172000,48075000,-16711000,-19344000,671000,304000,31364000,31364000,-6094000,25270000,25270000,-2224000,23046000,23046000,353475000,173718000,164266020.382446,164266020.382446,38932000,124662000,10948000,113714000,517069000,2038038000,863270000,179659000,462319000,2901308000,3418377000,149591000,149591000,122679000,122679000,404646000,1106933000,340181000,104013000,236168000,1447114000,1851760000,917454000,524864000,-13921000,1428397000,138220000,1566617000,3418377000,25270000,37907000,1353000,10068000,74598000,73000,-78207000,-5719000,-61618000,664000,-66673000,-70282000,-70282000,-69942000,85982000,1239309000,0.37385,0.27487,0.13177,0.01471,0.00674,1.27783,1.18201,0.36254,0.45149,0.44863,3.42646,27.98364,0.11204,0.00914,0.24816,10.30255,18.42608
"43","2020_Q4",74.7578125,"Up",158947000,-104917000,54030000,-2344000,-18615000,-1490000,51686000,-20241000,-21130000,1047000,961000,31445000,31445000,-8347000,23098000,23098000,-7419000,15679000,15679000,354806000,197309000,158551187.378165,158551187.378165,34384000,143401000,9696000,133705000,532591000,2036821000,951535000,197002000,531527000,2988356000,3520947000,144473000,144473000,66994000,66994000,236303000,1375369000,328729000,101886000,226843000,1704098000,1940401000,920261000,534984000,-15503000,1439742000,140804000,1580546000,3520947000,23098000,40813000,3369000,17256000,84536000,-3057000,-133943000,-5559000,101385000,-7256000,88570000.0000001,39163000,39163000,39708000,92499000,1400205000,0.33992,0.32518,0.09864,0.00992,0.00445,2.25385,1.22768,0.39768,0.30699,0.30586,3.11215,28.18989,0.10884,0.00642,0.35455,11.30173,20.22596
"44","2021_Q1",97.837868852459,"Up",179382000,-104341000,75041000,-21846000,-20732000,-1114000,53195000,-16837000,-18891000,1691000,75000.0000000001,36358000,36358000,-12826000,23532000,23532000,-2834000,20698000,20698000,448252000,448252000,149170000,149170000,35321000,146411000,15354000,131057000,779154000,2099046000,1010787000,194421000,574284000,3109833000,3888987000,152763000,152763000,95884000,95884000,248647000,600123000,1088950000,87972000,1000978000,1689073000,1937720000,1262502000,550103000,-6620000,1805985000,145282000,1951267000,3888987000,23532000,40940000,-29671000,-8686000,26115000,2197000,-92999000,-5579000,-20463000,57000,313486000,246602000,246602000,247236000,94135000,600123000,0.41833,0.29655,0.11539,0.01061,0.00532,3.13357,0.99306,0.15431,0.38968,0.38623,3.37724,34.00141,0.10504,0.00722,0.26954,1.61333,2.85499
"45","2021_Q2",70.4266666666667,"Down",166352000,-92705000,73647000,-23758000,-22882000,-876000,49889000,-35408000,-18753000,-16866000,-331000,14481000,14481000,3348000,17829000,17829000,-2570000,15259000,15259000,404365000,376630000,139711000,139711000,38408000,142451000,22613000,119838000,724935000,2148589000,985689000,189249000,548467000,3134278000,3859213000,148071000,148071000,81200000,81200000,254234000,1340949000,304445000,87421000,217024000,1645394000,1899628000,1264884000,558644000,-6920000,1816608000,142977000,1959585000,3859213000,17829000,42100000,716999.999999996,8278000,68924000,182000,-117474000,-6718000,-17337000,1248000,-22807000,-71357000,-71357000,-71699000,91989000,1365912000,0.44272,0.2999,0.09173,0.00779,0.00395,2.85145,0.9694,0.35394,0.27254,0.26895,2.97121,32.44638,0.11999,0.00605,0.44026,10.45285,19.27373
"46","2021_Q3",68.45609375,"Down",146901000,-94926000,51975000,-23356000,-22228000,-1128000,28619000,-9761000,-17818000,658000,-20999.9999999995,18858000,18858000,-4268000,14590000,15195000,-2169000,13026000,13026000,295969000,250009000,137688000,137688000,28526000,125806000,20220000,105586000,587989000,2175637000,1054924000,185508000,616379000,3230561000,3818550000,108408000,108408000,112677000,112677000,246229000,1298244000,304351000,88156000,216195000,1602595000,1848824000,1267507000,565222000,-7646000,1825083000,144643000,1969726000,3818550000,15195000,43439000,-7887000,-20827000,29920000,1170000,-137038000,-6448000,-20702000,-1019000,-28169000,-135287000,-135287000,-135202000,72058000,1323388000,0.35381,0.19482,0.08867,0.00661,0.00341,2.38798,0.93862,0.34657,0.23264,0.2313,2.62361,32.59542,0.11516,0.00541,0.49501,14.25822,35.89989
"47","2021_Q4",75.01765625,"Up",158842000,-95702000,63140000,-27152000,-26225000,-1175000,35988000,-13809000,-21711000,-21000,7923000,22179000,22179000,-1399000,20780000,20780000,-5878000,14902000,14902000,313281000,267802000,140314000,140314000,27356000,154488000,29320000,125168000,635439000,2298903000,1425024000,370889000,703890000,3723927000,4359366000,127432000,127432000,628171000,628171000,780994000,1298276000,298198000,85922000,212276000,1596474000,2377468000,1269624000,573408000,-9647000,1833385000,148513000,1981898000,4359366000,20780000,48828000,-6591000,-17070000,45947000,89000,-255433000,-6716000,246739000,-4035000,235988000,26502000,26502000,26423000,84816000,1323667000,0.3975,0.22656,0.09382,0.00752,0.00342,0.81363,1.19959,0.30364,0.26608,0.26522,2.83621,32.73609,0.11992,0.006,0.45068,11.91268,28.07564
"48","2022_Q1",72.8064516129032,"Down",190989000,-115413000,75576000,-20715000,-19765000,-950000,54861000,-39034000,-22252000,1509000,-7705000,15827000,15827000,7051000,22878000,22273000,-3368000,18905000,18905000,282621000,239278000,122944000,122944000,28445000,167922000,35920000,132002000,601932000,2294973000,1528773000,363314000,826169000,3823746000,4425678000,143186000,143186000,400970000,400970000,544156000,539664000,1334068000,84662000,1249406000,1873732000,2417888000,1271981000,585209000,-2191000,1854999000,152791000,2007790000,4425678000,22273000,48605000,17906000,25247000,114031000,837000,-128248000,-7104000,-29927000,38093000,1373000,-12844000,-12844000,-12856000,103466000,539664000,0.39571,0.28725,0.09898,0.00942,0.00427,1.10618,1.20425,0.12194,0.49382,0.49092,4.98887,48.4549,0.18557,0.0067,0.37577,2.48432,4.68535
"49","2022_Q2",78.5882258064516,"Up",183710000,-113805000,69905000,-23001000,-21937000,-1064000,46904000,-19827000,-20739000,260000,75000,27077000,25251000,-2458000,22793000,22793000,-4363000,18430000,18430000,172933000,130006000,116555000,116555000,32888000,185613000,42208000,143405000,507989000,2293720000,1612480000,355185000,915473000,3906200000,4414189000,164752000,164752000,419239000,419239000,583991000,507520000,1298421000,83352000,1215069000,1805941000,2389932000,1274894000,596912000,-1137000,1870669000,153588000,2024257000,4414189000,22793000,48108000,4152000,6723000.00000001,81776000,-27000,-139332000,-6727000,-39886000,1793000.00000001,-44721000,-102277000,-102277000,-102311000,95012000,507520000,0.38052,0.25532,0.10032,0.0091,0.00418,0.86986,1.18065,0.11497,0.32874,0.32697,3.27685,33.36727,0.11999,0.00657,0.365,3.52152,7.13344
"50","2022_Q3",88.85875,"Up",169078000,-111477000,57601000,-18866000,-17478000,-1388000,38735000,-15970000,-20239000,-3998000,-1260000,22765000,22637000,-6130000,16507000,14945000,-3685000,11260000,11260000,263425000,263425000,123398000,123398000,32213000,166572000,40883000,125689000,585608000,2287498000,1668870000,347216000,978794000,3956368000,4541976000,144522000,144522000,208591000,208591000,353113000,912820000,1287753000,80965000,1206788000,2200573000,2553686000,1253298000,601441000,-4148000,1832627000,155663000,1988290000,4541976000,14945000,48897000,4292000,-34620000,33514000,-25000,-85704000,-6731000,217608000,-25125000,167731000,115541000,115541000,115248000,87632000,912820000,0.34068,0.2291,0.0666,0.00566,0.00248,1.65842,1.28436,0.20097,0.20066,0.1993,3.01312,32.659,0.11995,0.00429,0.59778,7.41048,16.76507
