"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",4.62338709677419,"Up",124894000,-88928000,35966000,-39673000,-32047000,-10721000,-21326000,-7626000,-3707000,-716000,-1911000,1513000,-318000,-4423000,-4423000,-3522000,-7945000,-2296000,-89999.9999999991,-89999.9999999991,956000,956000,80605000,80605000,122352000,69435000,12332000,273348000,65589000,32314000,297235000,154939000,53905000,23000,88368000,395138000,668486000,92211000,46244000,703000,45264000,9215000,130067000,98673000,48431000,3844000,27627000,16960000,147104000,277171000,295432000,-21176000,159369000,-43620000,390005000,391315000,668486000,-2296000,4657000,687000,10294000,13342000,-3523000,-3555000,-3555000,-3523000,-7539000,-7539000,2280000,2280000,-152000,2128000,950000,107888000,11243000,0.28797,-0.02968,-0.000719999999999998,-0.000230000000000001,-0.00013,-124.92222,2.10159,0.70831,0.16139,-0.00373000000000001,-0.00376000000000001,5.16938,16.14237,0.46535,7,-0.00016,0.02053,112.56,-28.84597
"29","2017_Q2",6.35126984126984,"Up",114823000,-84679000,30144000,-39260000,-32606000,-12409000,-20197000,-6654000,-9116000,-996000,-1792000,1803000,-1007000,-10112000,-10112000,7428000,-2684000,-4906000,-3031000,-3031000,8060000,8060000,90719000,90719000,165409000,30863000,29181000,295051000,85182000,30964000,283178000,175732000,105799000,23000,1624000.00000003,399324000,694375000,140040000,71669000,1369000,67002000,10420000,150460000,105088000,45831000,3868000,27773000,14190000,150919000,301379000,295734000,-21176000,156338000,-37437000,393459000,392996000,694375000,-4906000,4445000,-1380000,2268000,427000,-2806000,-2816000,-2816000,-4620000,3890000,3890000,-303000,-303000,563000,260000,-4671000,115508000,-12637000,0.26253,-0.07939,-0.0264,-0.00771,-0.00437,4.16925,1.96099,0.76688,0.16635,-0.12545,-0.12545,4.75254,16.28534,-0.52305,3,-0.00547,-0.0228,-23.00321,-11.78675
"30","2017_Q3",7.55396825396825,"Up",113470000,-85049000,28421000,-38675000,-31292000,-10652000,-20640000,-7383000,-10254000,-7545000,-1843000,1927000,-7629000,-17799000,-16383000,-3465000,-19848000,15084000,17107000,17107000,45821000,45821000,71573000,71573000,142053000,25187000,23543000,284634000,66197000,30103000,213883000,153403000,53916000,23000,6541000,310183000,594817000,108726000,44146000,2320000,62260000,6770000,115496000,9691000,39098000,3624000,28757000,6717000,48789000,164285000,295847000,-21176000,173445000,-15200000,432916000,430532000,594817000,15084000,4648000,-26583000,-25783000,-32634000,-2026000,-2026000,-2026000,168611000,-96167000,-96162000,39815000,39815000,-2054000,37761000,-5606000,16461000,-29950000,0.25047,-0.09037,0.15076,0.03973,0.02876,-1.75075000000002,2.46445,0.38159,0.02767,0.70805,0.70805,4.69647,17.9182,-1.23962,7,0.03519,-0.06161,5.23725,2.86327
"31","2017_Q4",6.53333333333333,"Down",156563000,-115044000,41519000,-36263000,-30002000,-11744000,-18258000,-6261000,5256000,1653000,-1215000,2004000,864000,6909000,6909000,568000,7477000,7109000,8644000,8644000,37514000,37514000,93674000,93674000,125389000,17858000,16390000,274435000,65959000,31456000,214848000,151703000,54639000,23000,8483000,312263000,586698000,94081000,36203000,3117000,54761000,7675000,101756000,9357000,37448000,3854000,28611000,4983000,46805000,148561000,296291000,-21176000,182089000,-15149000,442055000,438137000,586698000,7109000,2994000,-204000,-16640000,-6741000,-1090000,-1090000,-1090000,-2047000,311000,609000,-8179000,-8179000,-128000,-8307000,8250000,17032000,-10048000,0.26519,0.03357,0.05521,0.01973,0.01473,-1.16242,2.69699,0.33907,0.02903,0.35502,0.35502,6.43024,18.15576,-0.41268,5,0.01755,-0.0204,-2.48267,-3.89688
"32","2018_Q1",5.71311475409836,"Down",122236000,-90023000,32213000,-37198000,-31056000,-11194000,-19862000,-6142000,-4985000,466999.999999999,-1159000,1444000,182000,-4518000,-4517999.99999999,12914000,8396000,10672000,12584000,12584000,51740000,51740000,81609000,81609000,117992000,14518000,14007000,265859000,65259000,26024000,218502000,150320000,54785000,24000,13373000,309785000,575644000,87657000,34700000,2587000,50370000,7730000,95387000,9175000,20964000,3369000,12217000,5378000,30139000,125526000,296395000,-21176000,194673000,-13944000,455948000,450118000,575644000,10672000,3025000,-15177000,14889000,13409000,-302000,-306000,-306000,-584000,-581000.00000003,-584000,12241000,12241000,1985000,14226000,-1960000,16905000,-287000.000000002,0.26353,-0.04078,0.10295,0.02796,0.02186,-0.0228100000000007,2.78716,0.27887,0.02937,0.51377,0.4931,4.99058,18.61519,-0.01172,7,0.02579,-0.00059,17.77296,6.98796
"33","2018_Q2",5.27484375,"Down",100855000,-73178000,27677000,-32717000,-26806000,-10694000,-16112000,-5911000,-5040000,1375000,-1100000,1814000,661000,-3665000,-3665000,1113000,-2552000,-2552000,-939000,-939000,49827000,49827000,67325000,67325000,118344000,17874000,17228000,253370000,63835000,25600000,218134000,148275000,54785000,24000,15050000,307569000,560939000,78188000,34357000,317000,43514000,8010000,86198000,9005000,19596000,2769000,11579000,5248000,28601000,114799000,296502000,-21176000,193734000,-15476000,453584000,446140000,560939000,-2552000,2962000,-1035000,3910000,3285000,-178000,-179000,-179000,-1878000,146000,146000,1553000,1553000,-3466000,-1913000,-2078000,17015000,541000,0.27442,-0.04997,-0.00931,-0.0021,-0.00167,-0.57614,2.9394,0.25732,0.03033,-0.03862,-0.03862,4.14766,18.65365,0.02225,6,-0.00195,0.00112,15.79018,6.51032
"34","2018_Q3",5.38349206349206,"Up",108867000,-77804000,31063000,-32712000,-26642000,-9604000,-17038000,-6070000,-1649000,772000,-1117000,1637000,252000,-877000.000000001,-14164000,-8338000,-22502000,-22502000,-20803000,-20803000,44191000,44191000,70953000,70953000,124415000,30691000,30041000,270250000,59467000,25698000,194813000,136839000,54785000,24000,3165000,279978000,550228000,83321000,38657000,1718000,42946000,8153000,91474000,8716000,26271000,2986000,18380000,4905000,34987000,126461000,296629000,-21176000,172931000,-15475000,432909000,423767000,550228000,-22502000,2963000,20810000,-4376000,-3105000,-456000,-506000,-506000,-1920000,-339000,-339000,-5364000,-5364000,-271999.999999999,-5636000,1314000,16869000,4820000,0.28533,-0.01515,-0.19109,-0.04909,-0.03781,-0.2317,2.95439,0.29842,0.03066,-0.85274,-0.85274,4.46259,17.74546,0.19758,5,-0.04455,0.01032,-20.793,16.56883
"35","2018_Q4",4.97730158730159,"Down",129637000,-90714000,38923000,-33213000,-26845000,-10363000,-16482000,-6368000,5710000,781000,-1174000,1695000,260000,6491000,6491000,4078000,10569000,10569000,12211000,12211000,48718000,48718000,85102000,85102000,118816000,29097000,28598000,281733000,61200000,25351000,192440000,135041000,54785000,24000,2590000,278991000,560724000,88850000,37097000,1371000,50382000,10417000,99267000,6382000,21773000,2529000,14853000,4391000,28155000,127422000,296788000,-21176000,185142000,-16668000,444086000,433302000,560724000,10569000,2886000,-3441000,-89000,9925000,-3403000,-3399000,-3399000,-5170000,2000,2000,4757000,4757000,-230000,4527000,8596000,16799000,1026000,0.30025,0.04405,0.09419,0.02818,0.02178,0.08402,2.83813,0.29407,0.02996,0.50136,0.50136,5.32264,18.23328,0.04213,6,0.02588,0.00217,-3.71324,-5.59002
"36","2019_Q1",4.89131147540984,"Down",107457000,-83703000,23754000,-34411000,-28373000,-11070000,-17303000,-6038000,-10657000,634000,-397000,1472000,-441000,-10023000,-47625000,9278000,-38347000,-38347000,-36560000,-36560000,58236000,58236000,74400000,74400000,102379000,11370000,10449000,246385000,60493000,24743000,177190000,119449000,54785000,79000,2877000,262426000,508811000,85195000,31143000,1349000,52703000,10021000,95216000,5776000,12718000,2605000,5284000,4829000,18494000,113710000,296946000,-21176000,148582000,-16680000,407672000,395101000,508811000,-38347000,3533000,23930000,23341000,12457000,-646000,-677000,-677000,-2069000,-733000,-733000,9655000,9655000,-137000,9518000,-7124000,15797000,6293000,0.22106,-0.09917,-0.34023,-0.09253,-0.07185,-0.17213,2.58764,0.2878,0.03105,-1.50108,-1.50108,4.41197,16.7382,0.25838,5,-0.0863,0.01486,5.95719,3.98227
"37","2019_Q2",4.1052380952381,"Down",93454000,-67445000,26009000,-33113000,-27306000,-9881000,-17425000,-5807000,-7104000,2087000,-997000,1440000,1644000,-5017000,-5017000,2645000,-2372000,-2372000,-1148000,-1148000,60004000,60004000,62132000,62132000,103275000,10613000,9572000,236024000,59695000,24847000,177454000,117588000,54785000,78000,5003000,261996000,498020000,78040000,32349000,227000,45464000,8554000,86594000,5859000,13583000,2931000,4148000,6504000,19442000,106036000,297105000,-21176000,147434000,-17584000,405779000,391984000,498020000,-2372000,3067000,-260000,3833000,4268000,-703000,-703000,-703000,-703000,-1536000,-1536000,2029000,2029000,-261000,1768000,-4037000,14413000,-3552000,0.27831,-0.07602,-0.01228,-0.00293,-0.00231,3.09408,2.72564,0.27051,0.02894,-0.04713,-0.04713,3.83703,16.66047,-0.14584,5,-0.00273,-0.00846,11.29329,6.41765
"38","2019_Q3",4.62984375,"Up",90246000,-66477000,23769000,-31518000,-26483000,-8701000,-17782000,-5035000,-7749000,925000,-887000,1265000,547000,-6824000,-6049000,-1115000,-7164000,-7164000,-5964000,-5964000,39294000,39294000,68737000,68737000,114568000,10844000,9605000,233443000,59864000,24206000,174870000,115769000,54785000,78000,4238000,258940000,492383000,82243000,33844000,1099000,47300000,6665000,88908000,5958000,12877000,2517000,4015000,6345000,18835000,107743000,296519000,-22159000,141470000,-16195000,399635000,384640000,492383000,-7164000,3061000,1218000,-14257000,-17142000,-603000,-629000,-629000,-603000,-2130000,-3113000,-20858000,-20858000,148000,-20710000,-4688000,12623000,-18433000,0.26338,-0.08587,-0.06609,-0.01551,-0.01211,3.09071,2.62567,0.28011,0.02564,-0.24284,-0.24284,3.67464,16.27233,-0.75055,2,-0.01454,-0.04494,5.68921,3.44186000000001
"39","2019_Q4",4.62546875,"Down",110112000,-78648000,31464000,-31328000,-26269000,-9580000,-16689000,-5059000,136000,-106000,-751000,967000,-322000,30000,4087000,-2720000,1367000,1367000,2464000,2464000,32156000,32156000,93574000,93574000,111089000,11201000,10623000,248020000,51350000,23943000,173337000,114006000,54785000,78000,4468000,248630000,496650000,90342000,34445000,2072000,53825000,1165000,91507000,6019000,13983000,2554000,4921000,6508000,20002000,111509000,296636000,-23216000,143934000,-16121000,401233000,385141000,496650000,1367000,3101000,-1581000,-13900000,-11013000,11065000,-860000,-860000,11065000,-5857000,-6914000,-6862000,-6862000,-276000,-7138000,3237000,7184000,3122000,0.28575,0.00124,0.02238,0.0064,0.00496,1.26705,2.71039,0.28953,0.01446,0.10073,0.10073,4.50138,16.40242,0.12763,1,0.00606,0.00768,-7.71455,-183.61765
"40","2020_Q1",3.69387096774194,"Down",101077000,-72543000,28534000,-33835000,-28134000,-11157000,-16977000,-5701000,-5301000,1625000,-340000,1502000,463000,-3676000,-33961000,308000,-33653000,-33653000,-21795000,-21795000,37425000,37425000,69944000,69944000,99110000,11341000,10885000,217820000,51424000,24206000,148121000,88288000,5.5e+07,52000,4781000,223751000,441571000,69915000,22096000,1523000,46296000,1107000,71022000,6099000,13740000,2282000,4482270.31750956,11458000,19839000,90861000,296747000,-23918000,122139000,-16308000,378660000,350710000,441571000,-33653000,3169000,28805000,24557000,22878000,-743000,-722000,-722000,-16468000,-328000,-1030000,5380000,5380000,-111000,5269000,-2132000,7206000,21374000,0.2823,-0.05245,-0.21563,-0.06215,-0.04936,-0.98068,3.06694,0.25908,0.01632,-0.90055,-0.90055,4.17641,15.6459,0.88315,7,-0.05864,0.05751,14.17402,5.70061999999999
"41","2020_Q2",4.96825396825397,"Up",71987000,-52012000,19975000,-28047000,-23562000,-8567000,-14995000,-4485000,-8072000,748000,-799000,862000,685000,-7324000,-7324000,-1781000,-9105000,-9105000,-8272000,-8272000,69039000,69039000,55305000,55305000,105409000,11628000,11186000,241381000,50705000,23025000,146961000,87193000,5.5e+07,52000,4716000,220691000,462072000,78714000,32146000,2190000,44378000,1116000,79830000,26180000,13792000,1741000,4477000,7574000,39972000,119802000,296897000,-23918000,113867000,-15793000,371053000,342270000,462072000,-9105000,2543000,1469000,17378000,12285000,-586000,-586000,-586000,-586000,19706000,19706000,31405000,31405000,209000,31614000,-5529000,27296000,13044000,0.27748,-0.11213,-0.11491,-0.02417,-0.0179,-1.57689,3.02369,0.35002,0.05907,-0.34147,-0.34147,2.97166,15.31728,0.53846,4,-0.02158,0.03403,7.54983,5.17133
"42","2020_Q3",6.65359375,"Up",128032000,-89956000,38076000,-29314000,-24533000,-9234000,-15299000,-4781000,8762000,648000,-1010000,1883000,-225000,9410000,9164000,-2609000,6555000,6555000,7340000,7340000,45889000,45889000,105180000,105180000,126407000,14737000,14294000,292213000,52846000,24143000,159303000,94350000,58383000,56000,6514000,236292000,528505000,124086000,58376000,2424000,63286000,959000,129531000,26319000,21404000,1838000,6786000,12780000,47723000,177254000,296572000,-23918000,121207000,-13042000,380819000,351251000,528505000,6555000,2747000,2211000,-23888000,-12375000,-518000,-518000,-518000,-11518000,50000,-210000,-24103000,-24103000,953000,-23150000,11509000,27278000,-10288000,0.29739,0.06844,0.05733,0.0209,0.01389,-1.40163,2.25593,0.50464,0.05161,0.30301,0.30301,5.28547,15.72113,-0.42471,5,0.01835,-0.02572,-1.61708,-2.12406
"43","2020_Q4",11.6928125,"Up",201065000,-142937000,58128000,-39955000,-34279000,-13175000,-21104000,-5676000,18173000,1583000,-471000,1761000,293000,19756000,19774000,-2334000,17440000,17440000,18251000,18251000,21337000,21337000,155573000,155573000,138607000,18334000,17880000,333851000,52124000,24009000,158005000,92797000,58928000,56000,6224000,234138000,567989000,166921000,80177000,3166000,83578000,5e+05,170817000,5973000,21710000,1827000,7975000,11908000,27683000,198500000,297148000,-23918000,139458000,-12820000,399868000,369489000,567989000,17440000,2934000,2268000,-25180000,-2538000,-2406000,-2406000,-2406000,-2406000,-20601000,-21176000,-26120000,-26120000,1568000,-24552000,21107000,6473000,-4145000,0.2891,0.09038,0.09077,0.0494,0.03213,-0.22711,1.95444,0.53723,0.0114,0.75601,0.72571,8.32867,16.56364,-0.1717,5,0.04589,-0.01042,-0.70422,-0.81792
"44","2021_Q1",20.7883606557377,"Up",162521000,-120153000,42368000,-37165000,-31210000,-12810000,-18400000,-5955000,5203000,2138000,-699000,2844000,-7000.00000000012,7341000,6024000,2452000,8476000,8476000,9448000,9448000,59404000,59404000,106442000,106442000,130793000,22700000,22266000,319339000,52026000,25044000,154409000,90104000,58311000,99000,5895000,231479000,550818000,142118000,61826000,1587000,78705000,5e+05,146796000,5962000,18731000,1777000,6645000,10309000,24693000,171489000,297142000,-23918000,148906000,-11450000,410680000,379329000,550818000,8476000,2809000,-434000,28388000,39239000,603000,603000,603000,645000,-260000,-259999.999999993,39624000,39624000,-1557000,38067000,8012000,6462000,34551000,0.26069,0.03201,0.05813,0.02491,0.01715,3.65696,2.17539,0.45209,0.01173,0.39016,0.37787,6.71139,16.95924,1.4268,6,0.02336,0.08541,-6.60784,-10.17528
"45","2021_Q2",16.2057142857143,"Down",137060000,-100365000,36695000,-36375000,-30143000,-11467000,-18676000,-6232000,320000,2637000,-528000,2723000,442000,2957000,2281000,-484000,1797000,1797000,2716000,2716000,36710000,36710000,95855000,95855000,137723000,27304000,26864000,297592000,51659000,24830000,151757000,88699000,57408000,101000,5549000,228246000,525838000,117110000,46320000,1868000,68922000,5e+05,121615000,5260000,21191000,1685000,6566978.90519056,19506000,26451000,148066000,299782000,-23918000,151622000,-17444000,410042000,377772000,525838000,1797000,2807000,1201000,-22848000,-17043000,-927000,-927000,-927000,-3927000,-239000,-1755000,-22725000,-22725000,31000,-22694000,3127000,5760000,-20164000,0.26773,0.00233,0.01982,0.00719,0.00517,-7.42415,2.447,0.39195,0.01095,0.11223,0.11018,5.66335,16.94303,-0.83318,4,0.00671,-0.04982,-9.89767,-96.71875
"46","2021_Q3",11.43625,"Down",143109000,-105923000,37186000,-37608000,-29722000,-10113916.0485464,-21024193.6364526,-7886000,-422000,1829000,-582000,2035000,376000,1407000,-908999.999999999,217000,-692000.000000001,-692000.000000001,310999.999999999,310999.999999999,41051000,41051000,90708000,90708000,145711000,32974000,24149000,310444000,51022000,24001000,149355000,87192000,56958000,98000,5107000,224378000,534822000,128786000,58006000,1390000,69390000,1328000,133812000,5192000,17644000,1544000,6910000,9190000,22836000,156648000,296674000,-25138000,151933000,-12022000,411447000,378174000,534822000,-692000.000000001,2765000,1223000,8218000,11514000,-911000,-4941462.54097999,-4941462.54097999,-6301000,607000,-620000,4593000,4593000,-252000,4341000,2343000,6520000,9433000,0.25984,-0.00295,0.00217000000000002,0.000820000000000003,0.00058,30.33119,2.32,0.41422,0.01219,0.0128500000000001,0.01262,5.9133,17.00108,0.38977,6,0.00077,0.02345,-14.73794,81.82701
"47","2021_Q4",11.11890625,"Down",191871000,-140167000,51704000,-43619000,-33913000,-9266888.06472854,-22897591.5152701,-9706000,8085000,1333000,-730000,2206000,-143000,9418000,-30313000,641000,-29672000,-29672000,-28121000,-28121000,21162000,21162000,132209000,132209000,166361000,25366000,24935000,345098000,50692000,24068000,183257000,111293000,66913000,95000,4956000,258017000,603115000,175678000,78274000,1172000,96232000,2091000,220926000,9925000,24487000,1440000,6128000,16919000,34412000,255338000,296792000,-25138000,123812000,-13534000,381932000,347777000,603115000,-29672000,3406000,-358000,22145000,-4479000,-1208000,-8057416.72130666,-8057416.72130666,-23224000,5467000,7535000,-20168000,-20168000,279000,-19889000,11491000,12016000,31787000,0.26947,0.04214,-0.14656,-0.08086,-0.04663,-1.13037,1.56205,0.7342,0.01992,-1.16197,-1.14081,7.92815,15.78152,1.31345,2,-0.07318,0.08272,-0.79593,-1.13123
"48","2022_Q1",10.6714516129032,"Down",163880000,-119987000,43893000,-40400000,-32684000,-9724416.0485464,-22773693.6364526,-7716000,3493000,-118000,-692000,926000,-352000,3375000,3102000,-2e+06,1102000,1102000,2760999.99999999,2760999.99999999,27788000,27788000,105988000,105988000,174922000,22074000,21340000,330772000,49794000,22579000,183519000,101450000,74320000,40000,7709000,255892000,586664000,157793000,76665000,2714000,78414000,2406000,204016000,9786000,26249000,1231000,5300000,19718000,36035000,240051000,300453000,-25138000,126573000,-20786000,381102000,346613000,586664000,1102000,3420000,962000,1564000,7048000,-856000,-7722162.54098,-7722162.54098,-856000,125000,125000,6316999.99999999,6316999.99999999,309000,6625999.99999999,6913000,12192000,9621000,0.26784,0.02131,0.01685,0.00797000000000002,0.00471000000000001,3.48461,1.6213,0.69256,0.02078,0.11409,0.11201,6.77156,15.74722,0.39754,5,0.00717,0.02499,-2.25604,-4.46493000000001
"49","2022_Q2",8.21967741935484,"Down",128732000,-95493000,33239000,-39804000,-31415000,-12285000,-19130000,-8389000,-6565000,-1252000,-730000,1588000,-2110000,-7817000,-8939000,1092000,-7847000,-7847000,-6527000,-6527000,5733000,5733000,82862000,82862000,181187000,20351000,19602000,290133000,49813000,23232000,177919000,97541000,72507000,39000,7832000,250964000,541097000,123008000,54113000,1545000,67350000,5e+05,171849000,14858000,17624000,1222000,4330000,12072000,32482000,204331000,292725000,-25138000,120046000,-15160000,372473000,336766000,541097000,-7847000,3117000,-1155000,-16382000,-22267000,-1383000,-1383000,-1383000,-1383000,3566000,-838000,-24488000,-24488000,2433000,-22055000,-3448000,15358000,-22305000,0.2582,-0.051,-0.0507,-0.01938,-0.01206,3.41734,1.6883,0.60674,0.02838,-0.26871,-0.26871,5.29981,15.33447,-0.91828,1,-0.01765,-0.06032,-2.79147,-1.46611
"50","2022_Q3",8.5903125,"Up",125705000,-96448000,29257000,-39231000,-30947000,-17747139.9190893,-10444010.6059123,-8284000,-9974000,-667000,-911000,1763000,-1519000,-10641000,-11627000,708000,-10919000,-10919000,-10216000,-10216000,4326000,4326000,80593000,80593000,192931000,23315000,19569000,301165000,48441000,23410000,173806000,94599000,71412000,38000,7757000,245657000,546822000,117835000,50851000,2178000,64806000,5e+05,163976000,36321000,26515000,1225000,5084000,20206000,62836000,226812000,296311000,-25138000,109830000,-24382000,356621000,320010000,546822000,-10919000,3609000,1377000,-18117000,-24050000,-843000,13512770.9016333,13512770.9016333,-843000,21645000,21645000,-3248000,-3248000,1841000,-1407000.00000001,-6365000,36821000,-26033000,0.23274,-0.07934,-0.08127,-0.03192,-0.01868,2.54826,1.83664,0.70877,0.06734,-0.42059,-0.42059,5.17519,14.68186,-1.07176,1,-0.02665,-0.06791,-5.10526,-3.25797
