"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_receivables","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",48.05171875,"Up",852289000,-356222000,496067000,-271564000,-31726000,-236387000,-3451000,224503000,-107441000,-103273000,-4168000,117062000,-1946000,115116000,8421000,123339000,149034000,-54000,148980000,148980000,51701000,51701000,130973000,76710000,182674000,19508481000,23918035000,-4409554000,1002598000,1002598000,1567539000,98120000,424436000,22078618000,22261292000,805315000,738327000,66988000,817940000,11247730000,333354000,333354000,11581084000,12399024000,11842660000,84354000,11758306000,-2208474000,-19932000,9614195000,248073000,9862268000,22261292000,149034000,236387000,-39147000,5029000,-44176000,-69125000,-69125000,277149000,-17897000,54211000,54211000,-13620000,-13620000,-58488000,-148854000,-166751000,-245496000,-13724000,149631000,149631000,-2249000,-111838000,-1440000,-1440000,-1322000,460890000,11247730000,365447000,0.58204,0.26341,0.1748,0.01511,0.00669,2.45299,0.22333,1.25722,0.50526,0.44398,0.43921,2.53991,28.65128,1.08907,0.7316,5,0.0184,0.01704,1.64785,24.29219,49.87029
"26","2016_Q3",53.46296875,"Up",848404000,-351955000,496449000,-255907000,-32094000,-221961000,-1852000,240542000,-105968000,-103665000,-2303000,134574000,-9692000,124882000,11549000,137849000,143440000,-278000,143162000,143162000,57322000,57322000,260897000,65626000,318219000,19213750000,23774254000,-4560504000,1003561000,1003561000,1557942000,96952000,417511000,21775253000,22093472000,815444000,735287000,80157000,904411000,10901131000,320468000,320468000,11221599000,12126010000,12047197000,85246000,11961951000,-2313287000,-44195000,9689715000,277747000,9967462000,22093472000,143440000,221961000,-18885000,5008000,-23893000,37071000,37071000,383587000,-69599000,9350000,9350000,-20833000.0000001,-20833000.0000001,-58116000,4048000,-69815999.9999999,-247975000,-286092000,228108000,228108000,-1916000,-307875000,5896000,5896000,5621000,462503000,10901131000,418426000,0.58516,0.28352,0.16874,0.01436,0.00648,2.92274,0.35185,1.21656,0.49341,0.42243,0.4179,2.5034,28.59158,1.23466,0.7317,6,0.01846,0.01975,1.73213,23.44592,45.08073
"27","2016_Q4",47.098253968254,"Down",867116000,-361117000,505999000,-240928000,-31567000,-208387000,-974000,265071000,-107493000,-105063000,-2430000,157578000,-16600000,140978000,8537000,150446000,150184000,-732000,149452000,149452000,89279000,89279000,284773000,89521000,374052000,20601402000,25355934000,-4754532000,821663000,821663000,1629147000,97814000,488258000,23052212000,23426264000,1000893000,930103000,70790000,1078501000,11252327000,315713000,315713000,11568040000,12646541000,12958997000,88431000,12870566000,-2420766000,-49614000,10488539000,291184000,10779723000,23426264000,150184000,208387000,-14971000,5848000,-20819000,1810000,1810000,345410000,-1440229000,0,0,-1387139000,-1387139000,-53090000,183920000,-1258219000,-256931000,306656000,887963000,887963000,7364000,945052000,32243000,32243000,31957000,473458000,11252327000,-973498000,0.58354,0.30569,0.17236,0.01386,0.00638,-6.51378,0.34683,1.17318,0.48033,0.42667,0.42196,2.47554,29.94381,-2.77925,0.73351,7,0.01818,-0.04356,1.71915,23.57769,42.11343
"28","2017_Q1",47.0251612903226,"Down",875713000,-365468000,510245000,-264711000,-31488000,-232189000,-1034000,245534000,-108826000,-107739000,-1087000,136708000,824000.000000004,137532000,2836000,142575000,208832000,-1195000,207637000,207637000,286707000,286707000,135608000,80647000,422315000,20394754000,25327215000,-4932461000,702021000,702021000,1647510000,95921000,518364000,22744285000,23166600000,991690000,907928000,83762000,993152000,11127326000,316641000,316641000,11443967000,12437119000,13005516000,88514000,12917002000,-2487695000,-57534000,10460240000,269241000,10729481000,23166600000,208832000,232189000,-74535000,5073000,-79608000,-291000.000000015,-291000,366195000,138071000,2.37e+08,2.37e+08,-7520000.00000024,-7520000.00000024,-91409000,122333000,260143000,-274566000,-171372000,20978000,20978000,-3541000,-428501000,197837000,197837000,197428000,477723000,11127326000,612667000,0.58266,0.28038,0.23711,0.01935,0.00896,2.95066,0.42523,1.15915,0.48032,0.58642,0.58064,2.47322,29.54219,1.73032,0.77544,7,0.02175,0.02763,1.32234,22.69227,44.15119
"29","2017_Q2",50.8714285714286,"Up",883443000,-368987000,514456000,-252482000,-33961000,-217783000,-738000,261974000,-109992000,-108804000,-1188000,151982000,-2365000,149617000,3145000,155912000,199148000,-1021000,198127000,198127000,91284000,91284000,154158000,92175000,245442000,20615729000,25738873000,-5123144000,1398417000,1398417000,1659743000,108976000,517283000,23673889000,23919331000,1024893000,946674000,78219000,1026282000,11943733000,294057000,294057000,12237790000,13264072000,13033199000,88698000,12944501000,-2564936000,-53657000,10414606000,240653000,10655259000,23919331000,199148000,217783000,-48474000,6701000,-55175000,-32726000,-32726000,335731000,-309130000,0,0,-198843000,-198843000,-110287000,-710085000,-1034065000,-275368000,799540000,0,0,-21097000,503075000,-195259000,-195259000,-195423000,479757000,11943733000,134756000,0.58233,0.29654,0.22427,0.01859,0.00828,0.68015,0.23916,1.24484,0.49933,0.55903,0.55409,2.49271,29.38576,0.38023,0.77698,8,0.02068,0.00589,1.38986,24.70511,45.24284
"30","2017_Q3",52.0669841269841,"Up",895490000,-365830000,529660000,-257942000,-33282000,-224108000,-552000,271718000,-115420000,-113572000,-1848000,156298000,-6079000,150219000,2159000,152272000,152968000,-1137000,151831000,151831000,103353000,103353000,157912000,68343000,261265000,20539766000,25760377000,-5220611000,1395404000,1395404000,1659323000,119794000,505475000,23594493000,23855758000,1016821000,929573000,87248000,1026633000,11907997000,296822000,296822000,12204819000,13231452000,13108039000,89016000,13019023000,-2688946000,-45035000,10374058000,250248000,10624306000,23855758000,152968000,224108000,-2883000,6695000,-9578000,13477000,13477000,387670000,-110013000,104570000,104570000,-125649000,-125649000,-88934000,18312000.0000001,-115899000,-275597000,-63111000.0000002,73596000,73596000,-10346000,-275458000,-3687000,-3687000,-235000.00000006,495826000,11907997000,397131000,0.59148,0.30343,0.16955,0.01429,0.00636,2.61561,0.25449,1.24539,0.49917,0.42766,0.42374,2.52234,29.22072,1.1186,0.77628,5,0.01872,0.0174,1.81516,23.80804,43.44447
"31","2017_Q4",49.228253968254,"Down",899928000,-376207000,523721000,-247142000,-33317000,-213407000,-418000,276579000,-126899000,-113869000,-13030000,149680000,-1315000,148365000,7815000,156930000,615191000,-1233000,613958000,613958000,85063000,85063000,145448000,76522000,230511000,20464873000,25899645000,-5434772000,1352434000,1352434000,1691977000,117185000,540295000,23509284000,23739795000,1039484000,943800000,95684000,1049321000,11424145000,296272000,296272000,11720417000,12769738000,13123550000,89023000,13034527000,-2351430000,-40780000,10731340000,238717000,10970057000,23739795000,615191000,213407000,-460822000,6527000,-467349000,-8952000,-8952000,358824000,393595000,510183000,510183000,-21999000,-21999000,-94589000,49310000,439554000,-276320000,-518779000,0,0,-10772000,-805871000,-7493000,-7493000,-10111000,489986000,11424145000,866814000,0.58196,0.30733,0.68223,0.05597,0.02586,1.41185,0.21968,1.16405,0.48122,1.72495,1.7086,2.52839,30.15023,2.43536,0.77633,4,0.03924,0.0382,0.45006,23.14164,40.99762
"32","2018_Q1",41.3781967213115,"Down",895288000,-372048000,523240000,-269263000,-34930000,-232650000,-1683000,253977000,-115937000,-111951000,-3986000,138040000,-1530000,136510000,46680000,178835000,393805000,-1251000,392554000,392554000,81355000,81355000,172311000,106898000,253666000,20622454000,26260553000,-5638099000,1346359000,1346359000,1732062000,123639000,573779000,23700875000,23954541000,1277447000,1183489000,93958000,1337712000,11276062000,250092000,250092000,11526154000,12863866000,13142086000,89029000,13053057000,-2240698000,-35120000,10866226000,224449000,11090675000,23954541000,393805000,232650000,-254656000,6620000,-261276000,-25272000,-25272000,346527000,-210905000,245121000,245121000,-318193000,-318193000,-137833000,3028999.99999999,-226697000,0,-90302000,0,0,-2771000,-93073000,26757000,26757000,26668000,486627000,11276062000,203770000,0.58444,0.28368,0.43847,0.03539,0.01639,0.51909,0.18963,1.15988,0.47073,1.10286,1.09332,2.51527,30.52817,0.57248,1.11022302462516e-16,5,0.01736,0.00901,1.11022302462516e-16,23.0047,44.07764
"33","2018_Q2",41.955625,"Up",943705000,-412913000,530792000,-270439000,-37174000,-233150000,-115000,260353000,-114483000,-111363000,-3120000,145870000,-28313000,117557000,3242000,80060000,80098000,-1395000,78703000,78703000,92543000,92543000,133573000,71039000,226116000,20336981000,26126403000,-5789422000,1212519000,1212519000,1717894000,102544000,580102000,23267394000,23493510000,1212334000,1134570000,77764000,1272357000,11039812000,244742000,244742000,11284554000,12556911000,13169282000,89062000,13080220000,-2413440000,-14474000,10740815000,195784000,10936599000,23493510000,80098000,233150000,52715000,7124000,45591000,-57944000,-57944000,308019000,69414000,175370000,175370000,-11450000,-11450000,-94506000,140240000,170553000,-281635000,-204756000,8085308.9697867,8085308.9697867,-16857000,-503248000,-24676000,-24676000,-24671000,493503000,11039812000,501731000,0.56246,0.27588,0.0834,0.0072,0.00335,6.37499,0.17771,1.14816,0.46991,0.22101,0.21932,2.65002,30.16134,1.40891,0.79086,5,0.01622,0.02258,3.57845,22.18278,42.04779
"34","2018_Q3",47.0611111111111,"Up",942304000,-421413000,520891000,-260824000,-36656000,-223634000,-534000,260067000,-116556000,-113029000,-3527000,143511000,-4401000,139110000,734000,133473000,169300000,-2781000,166519000,166519000,93684000,93684000,79986000,64419000,173670000,20135670000,26108444000,-5972774000,526553000,526553000,1863241000,101490000,727477000,22525464000,22699134000,1227014000,1133902000,93112000,1227910000,10402897000,240941000,240941000,10643838000,11871748000,13157484000,89085000,13068399000,-2529102000,-10861000,10616948000,210438000,10827386000,22699134000,169300000,223634000,-18186000,7149000,-25335000,27569000,27569000,402317000,32860999.9999999,136873000,136873000,-807000,-807000,-103205000,523424000,555353000,-281760000,-674541000,-7.45058059692383e-09,-7.45058059692383e-09,-6442000,-962743000,-5073000,-5073000,-5479000,483701000,10402897000,543397000,0.55278,0.27599,0.17671,0.01538,0.00734,3.26327,0.14144,1.09646,0.45829,0.46745,0.46384,2.64523,29.8038,1.52542,0.79095,6,0.02088,0.02531,1.69206,21.31319,39.6406
"35","2018_Q4",48.6152380952381,"Up",936538000,-428389000,508149000,-258687000,-39677000,-218579000,-431000,249462000,-108825000,-107581000,-1244000,140637000,-43985000,96652000,7327000,103263000,103281000,-1309000,101972000,101972000,86107000,86107000,86620000,62440000,172727000,20020634000,26205789000,-6185155000,527851000,527851000,1876741000,48478000,782386000,22425226000,22597953000,1211781000,1134898000,76883000,1226571000,10478455000,236616000,236616000,10715071000,11941642000,13170424000,89100000,13081324000,-2709293000,-7947000,10452839000,203472000,10656311000,22597953000,103281000,218579000,32543000,6488000,26055000,-47117000,-47117000,307286000,-110205000,1.9e+07,1.9e+07,-23543000,-23543000,-105662000,54317000,-60961000,-281853000,38905000,0,0,-12881000,-255829000,-9504000,-9504000,-9556000,468041000,10478455000,303392000,0.54258,0.26637,0.10888,0.00957,0.00451,2.97525,0.14082,1.12062,0.46369,0.28618,0.28376,2.62838,29.3357,0.85146,0.79102,5,0.01796,0.0142,2.76402,22.20393,41.65904
"36","2019_Q1",52.2188524590164,"Up",923263000,-427165000,496098000,-277085000,-32471000,-244276000,-338000,219013000,-175405000,-110524000,-64881000,43608000,34145000,77753000,28650000,99195000,63302000,-1029000,62273000,62273000,72277000,72277000,64641000,59187000,136918000,20093657000,26476938000,-6383281000,495869000,495869000,1858111000,48378000,759185000,22447637000,22584555000,1185697000,1086030000,99667000,1185902000,10733699000,205219000,205219000,10938918000,12124820000,13165653000,89125000,13076528000,-2930214000,-19582000,10215857000,243878000,10459735000,22584555000,63302000,244276000,34490000,9202000,25288000,21777000,21777000,363845000,-366919000,22549000,22549000,-230107000,-230107000,-159361000,28371000.0000001,-340449000,-281895000,245749000,8762000.00000001,8762000.00000001,-12733000,-40117000,-16721000,-16721000,-16268000,463289000,10733699000,89497000,0.53733,0.23722,0.06745,0.00595,0.00276,1.43717,0.11545,1.15919,0.47527,0.17473,0.17298,2.59051,28.66386,0.25111,0.79095,4,0.01608,0.00418,4.52676,23.01247,48.6794
"37","2019_Q2",53.9607936507937,"Up",942874000,-430504000,512370000,-277313000,-40760000,-235920000,-633000,235057000,-110642000,-110619000,-22999.9999999925,124415000,-2585000,121830000,1257000,122141000,127588000,-1803000,125785000,125785000,82514000,82514000,63695000,57717000,146209000,20129597000,26700154000,-6570557000,496344000,496344000,1895947000,48162000,796909000,22521888000,22668097000,1145473000,1063707000,81766000,1360466000,10690176000,205056000,205056000,10895232000,12255698000,13250129000,89579000,13160550000,-3088401000,-12065000,10149663000,262736000,10412399000,22668097000,127588000,235920000,873000,8405000,-7532000,-28261000,-28261000,336120000,-67153000,17551000,17551000,-13097000,-13097000,-71607000,16000,-67824000,-282874000,-62256000,98378000,98378000,-13011000,-259763000,8533000,8533000,8767000,470977000,10690176000,374306000,0.54341,0.2493,0.13341,0.01208,0.00555,2.97576,0.10747,1.17703,0.4716,0.35248,0.3488,2.64219,28.44214,1.04891,0.79269,5,0.01918,0.01757,2.24887,22.52268,45.12804
"38","2019_Q3",60.74859375,"Up",950717000,-435901000,514816000,-269781000,-43079000,-226187000,-515000,245035000,-98888000,-110369000,11481000,146147000,-8622000,137525000,57752000,192748000,211898000,-1369000,210529000,210529000,81987000,81987000,58063000,56309000,140050000,20235784000,26993851000,-6758067000,693651000,693651000,1919426000,47112000,821844000,22848861000,22988911000,1249368000,1137980000,111388000,1484341000,10256092000,149454000,149454000,10405546000,11889887000,14032969000,92852000,13940117000,-3173287000,-39671000,10820011000,279013000,11099024000,22988911000,211898000,226187000,-65455000,10070000,-75525000,20469000,20469000,393099000,-239088000,56854000,56854000,-194942000,-194942000,-1.01e+08,-200568000,-439903000,-284268000,-458612000,793393000,793393000,-5618000,44895000,-1909000.00000001,-1909000.00000001,-1934999.99999999,471222000,10256092000,194851000,0.5415,0.25774,0.22144,0.01897,0.00916,0.92553,0.09435,1.07126,0.44613,0.58198,0.57588,2.62811,29.91027,0.53864,0.78582,6,0.02301,0.00906,1.35026,21.5909,41.52103
"39","2019_Q4",54.3309375,"Down",983155000,-461493000,521662000,-275760000,-40530000,-234603000,-627000,245902000,-116131000,-113967000,-2164000,129771000,-17105000,112666000,-2005000,111515000,86918000,-1659000,85259000,85259000,148063000,148063000,65053000,60533000,213116000,21932038000,28896099000,-6964061000,709714000,709714000,1948685000,45905000,852795000,24590437000,24803553000,1279376000,1194162000,85214000,1530144000,12053184000,147524000,147524000,12200708000,13730852000,14110194000,93164000,14017030000,-3384421000,-59857000,10665706000,406995000,11072701000,24803553000,86918000,234603000,46234000,8195000,38039000,-13426000,-13426000,354329000,-885641000,3150000,3150000,-731766000,-731766000,-157025000,-29445000,-914152000,-294647000,854495000,84613000,84613000,-14526000,629935000,70112000,70112000,70300000,480505000,12053184000,-416557000,0.5306,0.25012,0.08672,0.0077,0.00344,-4.88578,0.13928,1.24006,0.48595,0.22884,0.22629,2.63885,28.62739,-1.11806,0.79085,4,0.01632,-0.0179,3.4559,24.77627,48.41409
"40","2020_Q1",43.5532258064516,"Down",996004000,-480310000,515694000,-383811000,-34357000,-348910000,-544000,131883000,-115662000,-116707000,1045000,16221000,-2800999.99999999,13420000,-693999.999999985,12893000,12893000,-1450000,11443000,11443000,106363000,106363000,39739000,39739000,146102000,21734573000,28826816000,-7092243000,704612000,704612000,2106921000,45022000,963243000,24546106000,24692208000,1257054000,1145939000,111115000,1513474000,12158773000,200831000,200831000,12359604000,13873078000,14149638000,93185000,14056453000,-3669050000,-34564000,10445892000,373238000,10819130000,24692208000,12893000,348910000,11504000,7253000,4251000,-19072000,-19072000,354235000,-179035000,70300000,70300000,-18320000,-18320000,-231015000,19470000,-163420000,-295931000,51280999.9999998,1880000.00000012,1880000.00000012,-11623000,-254393000,-63578000.0000001,-63578000.0000001,-63974000.0000001,480793000,12158773000,283380000,0.51776,0.13241,0.01149,0.00106,0.000459999999999999,24.76448,0.0965300000000001,1.28227,0.49241,0.0307000000000001,0.03039,2.67214,28.02491,0.76027,0.79394,4,0.01326,0.01223,25.86131,25.06777,91.38714
"41","2020_Q2",29.8242857142857,"Down",1012054000,-480968000,531086000,-290024000,-40460000,-248837000,-727000,241062000,-122479000,-116696000,-5783000,118583000,218007000,336590000,149016000,474730000,474730000,-1613000,473117000,473117000,2848115000,2848115000,113183000,38144000,2961298000,20967276000,28204621000,-7237345000,623717000,623717000,2065537000,165745000,802160000,23656530000,26617828000,1228554000,1141309000,87245000,1483918000,14172279000,47533000,47533000,14219812000,15703730000,14228913000,93256000,14135657000,-3491696000,-103408000,10632942000,281156000,10914098000,26617828000,474730000,248837000,-355780000,10514000,-366294000,-53335000,-53335000,314452000,424882000,625439000,625439000,-79539000,-79539000,-121018000,98108000,517181000,-296304000,2216415000,3389000,3389000,-12200000,1911300000,2742933000,2742933000,2742933000,489899000,14172279000,712430000,0.52476,0.23819,0.46748,0.04335,0.01777,1.50582,1.99559,1.43885,0.53244,1.26899,1.2583,2.71453,28.51962,1.91088,0.79475,5,0.03061,0.02835,0.62628,23.1153,46.97615
"42","2020_Q3",36.54734375,"Up",943198000,-498605000,444593000,-378217000,-28080000,-349594000,-543000,66376000,-128418000,-123132000,-5286000,-62042000,-34986999.9999999,-97028999.9999999,-56356000,-159235000,-159235000,2065000,-157170000,-157170000,992824000,992824000,118129000,36312000,1110953000,20892742000,28341729000,-7448987000,681831000,681831000,1903862000,166039000,687404000,23478435000,24589388000,1115873000,998186000,117687000,1370558000,12530036000,56964000,56964000,1.2587e+10,13957558000,14211380000,93261000,14118119000,-3816460000,-82761000,10311212000,320618000,10631830000,24589388000,-159235000,349594000,200127000,1043000,199084000,15073000,15073000,405559000,-108464000,2365000,2365000,2070000,2070000,-112899000,-58581000,-169101000,-295981000,-1787291000,128999.999999996,128999.999999996,-11385000,-2094528000,-1858070000,-1858070000,-1858070000,415970000,12530036000,378935000,0.47137,0.07037,-0.16664,-0.01478,-0.00639,-2.41099000000001,0.81058,1.31281,0.50957,-0.42139,-0.41796,2.52881,27.64541,1.01596,0.79356,3,0.00598,0.01632,-1.88319,27.73568,173.81602
"43","2020_Q4",42.713125,"Up",918940000,-494985000,423955000,-282004000,-32081000,-249366000,-557000,141951000,-121186000,-115505000,-5681000,20765000,-11088000,9677000,3195000,13737000,13737000,-986000,12751000,12751000,588343000,588343000,55895000,40147000,644238000,20978412000,28665623000,-7687211000,604452000,604452000,1993381000,162860000,779475000,23576245000,24220483000,1332761000,1234933000,97828000,1582003000,12047919000,53711000,53711000,12101630000,13683633000,14235816000,93467000,14142349000,-3972647000,-65042000,10196852000,339998000,10536850000,24220483000,13737000,249366000,6491000,5765000,726000,164808000,164808000,434402000,-115813000,54800000,54800000,-156000,-156000,-170457000,-45675000,-161455000,-168078000,-538763000,36395000,36395000,-4025000,-674471000,-401524000,-401524000,-401524000,391317000,12047919000,437117000,0.46135,0.15447,0.01388,0.00121,0.00053,34.281,0.40723,1.29865,0.49743,0.03417,0.03389,2.46245,27.32415,1.17133,0.45039,5,0.00799,0.01931,13.18155,29.28464,80.7291
"44","2021_Q1",47.837868852459,"Up",921165000,-462885000,458280000,-292698000,-29537000,-261966000,-1195000,165582000,-95614000,-114208000,16750000,69968000,25445000,95413000,678999.999999985,111953000,111953000,-1502000,110451000,110451000,413327000,413327000,38313000,38313000,451640000,20550035000,28427700000,-7877665000,605567000,605567000,2322162000,443688000,816837000,23477764000,23929404000,1244510000,1133066000,111444000,1457673000,11895412000,62638000,62638000,11958050000,13415723000,14264897000,93635000,14171262000,-4030376000,-54354000,10180167000,333514000,10513681000,23929404000,111953000,261966000,-73438000,12146620.7632393,-125549554.103265,-4718000,138082399.136911,295763000,236457000,361753000,361753000,-1022999.99999999,-1022999.99999999,-124273000,10203000,-32330000,-168446000,-290994000,30552000,30552000,-13434000,-442322000,-178889000,-178889000,-178889000,427548000,11895412000,658608000,0.4975,0.17975,0.1199,0.01051,0.00462,5.9629,0.30984,1.27603,0.4971,0.29494,0.29245,2.45984,27.18474,1.75872,0.44981,5,0.01241,0.02931,1.52507,26.85566,69.3438
"45","2021_Q2",52.5006349206349,"Up",910291000,-486600000,423691000,-355075000,-40309000,-314148000,-618000,68616000,-101589000,-110767000,9428000,-32973000,-20272000,-53245000,-2153000,-55398000,-55398000,-1811000,-57209000,-57209000,169661000,169661000,100411000,40551000,270072000,20321761000,28352285000,-8030524000,615037000,615037000,2345393000,471243000,810760000,23282191000,23552263000,1200669000,1109279000,91390000,1410948000,11759299000,65777000,65777000,11825076000,13236024000,14280442000,93750000,14186692000,-4257001000,-52497000,9970155000,346084000,10316239000,23552263000,-55398000,314148000,8567000,16072000,-7505000,-29724000,-29724000.0000001,237593000,-80399000,8083000,8083000,-210000,-210000,-88272000,16239000,-102612000,-168763000,-193771000,13181000,13181000,-27714000,-377067000,-242086000,-242086000,-242086000,382764000,11759299000,274794000,0.46545,0.07538,-0.06285,-0.00555,-0.00243,-4.80334,0.19141,1.28303,0.49929,-0.15269,-0.15138,2.42959,26.61057,0.73343,0.45043,3,0.00504,0.01241,-2.94994,30.27881,168.90577
"46","2021_Q3",54.2978125,"Up",919194000,-715013000,204181000,-259028000,-30588000,-250700000,22260000,-54847000,106106000,110767000,-9428000,51259000,40670000,91929000,-3641000,88288000,88288000,-1897000,86391000,86391000,233837000,233837000,130933000,40931000,364770000,20130030000,28319477000,-8189447000,596171000,596171000,2413343000,494239000,855786000,23139544000,23504314000,1228054000,1122171000,105883000,1438106000,11761545000,68097000,68097000,11829642000,13267748000,14281361000,93784000,14187577000,-4340052000,-58290000,9882699000,353867000,10236566000,23504314000,88288000,250700000,-71874000,18990712.8151826,135580576.986472,24149000,-219022709.464291,291263000,-8977000,107767000,107767000,2.98023223876953e-08,2.98023223876953e-08,-116744000,20343000,-18493000,-169075000,-38041000,5890000.00000003,5890000.00000003,-7780000,-209006000,63764000,63764000,63764000,195853000,11761545000,214666000,0.22213,-0.05967,0.09399,0.00844,0.00368,2.48482,0.25365,1.29611,0.5004,0.23058,0.22859,2.45335,26.37715,0.57295,0.45126,5,0.01158,0.00973,1.95709,58.85898,-210.17937
"47","2021_Q4",49.91828125,"Down",976078000,-523328000,452750000,-378050000,-30259000,-313596000,-34195000,74700000,-106044000,-108816000,2133679.88248406,-31344000,97898000,66554000,-3780000,62774000,62774000,-2094000,60680000,60680000,143770000,143770000,52752000,52752000,196522000,21791995000,29910985000,-8118990000,530439000,530439000,2525468000,507880000,960022000,24847902000,25044424000,1232835000,1142822000,90013000,1452904000,12078835000,65196000,65196000,12144031000,13596935000,15603987000,99777000,15504210000,-4459630000,-67601000,11076716000,370773000,11447489000,25044424000,62774000,313596000,-119917000,20497188.5154816,214933674.0772,-24994000,-338294803.095245,231459000,-840491000,381453000,381453000,-1.103e+09,-1.103e+09,-118944000,284082000,-595238000,-169134000,-126467000,604035000,604035000,-21973000,286461000,-77318000,-77318000,-77318000,388296000,12078835000,-473409000,0.46385,0.07653,0.06217,0.0053,0.00242,-7.80173,0.13526,1.18777,0.4823,0.16084,0.15941,2.58721,29.3601,-1.25482,0.44831,7,0.00974,-0.02007,2.78731,30.73703,159.77329
"48","2022_Q1",52.6595161290323,"Up",1022444000,-359123000,663321000,-376551000,-28602000,-318959000,-28990000,286770000,-333579000,-331273000,25792814.4706717,-46809000,2956999.99999999,-43852000,4747000,-39105000,-39105000,-1749000,-40854000,-40854000,149725000,149725000,364730000,364730000,514455000,21498980000,29849617000,-8350637000,530126000,513740544.411604,2174225000,523465000,593468000,24203331000,24717786000,1196856000,1090254000,106602000,1404940000,12027544000,59259000,59259000,12086803000,13491743000,15598794000,101536786.3561,15851028983.8305,-4679889000,-64520000,10854385000,371658000,11226043000,24717786000,-39105000,318959000,-850000,19722069.9580398,174407184.129329,-13203000,-303038745.178577,265801000,-31715999.9999998,343135000,343135000,-265842000,-265842000,-109009000,46069999.9999999,-7797000,-179916000,-62510000,2501000,2501000,-18929000,-258854000,-850000.00000006,-850000.00000006,-849999.99999997,605729000,12027544000,556063000,0.64876,0.28048,-0.03996,-0.00364,-0.00165,-13.61098,0.36618,1.20183,0.48659,-0.10312,-0.10209,2.58081,27.39823,1.40359,0.45414,6,0.00597,0.02385,-4.40388,19.60913,41.41932
"49","2022_Q2",54.3564516129032,"Up",1017554000,-542721000,474833000,-333375000,-42998000,-289064000,-1313000,141458000,-87873000,-110794000,27190000,53585000,-17483000,36102000,4490000,40592000,40592000,-1860000,38732000,38732000,149599000,149599000,49848000,49848000,199447000,21982221000,30607041000,-8624820000,530388000,530388000,2238051000,541914000,639322000,24750660000,24950107000,1173160000,1079596000,93564000,1377239000,12413743000,52750000,52750000,12466493000,13843732000,15578355000,99888000,15478467000,-4821653000,-59296000,10697406000,408969000,11106375000,24950107000,40592000,289064000,-26350000,15796000,-42146000,-28753000,-28753000,274553000,-411987000,6124000,6124000,-343792000,-343792000,-74319000,-1549000,-437326000,-180021000,351836000,5794000,5794000,-12227000,165382000,2609000,2609000,2609000,430522000,12413743000,-14708000,0.46664,0.13902,0.03806,0.00349,0.00155,-0.37974,0.14482,1.24647,0.49754,0.09704,0.09608,2.54935,26.801,-0.03685,0.45102,7,0.00928,-0.00062,4.64786,28.48668,86.69813
