"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",52.868064516129,"Up",288237000,-82856000,205381000,-206724000,-140632000,-102985000,-37647000,-57934000,-8158000,-1343000,-10298000,1962000,-11641000,-43373000,14900000,-28473000,-28473000,-28473000,-28473000,296630000,277935000,161357000,161357000,184602000,52819000,642589000,67113000,1605106000,310305000,1169813000,89692000,35296000,1703140000,2345729000,254099000,6303000,229774000,400420000,400420000,654519000,751601000,96943000,13237000,13754000,69952000,848544000,1503063000,1599698000,-657079000,-99953000,842666000,842666000,2345729000,-28473000,21833000,-29193000,49498000,13665000,-9557000,-9557000,-9557000,-11728000,-2e+07,1999.99999999953,1999.99999999994,-492999.999999996,-20491000,-18554000,-18554000,1863000,-16691000,20490000,751601000,45531000,0.71254,-0.00465999999999999,-0.09878,-0.03379,-0.01214,-1.59909,0.98177,1.7837,0.32041,-0.2477,-0.2477,2.50748,7.33065,0.39609,3,-0.01684,0.02692,22.20454,-338.77215
"29","2017_Q2",55.0887301587302,"Up",286327000,-82115000,204212000,-193366000,-127385000,-90690000,-36695000,-57914000,-8067000,10846000,-11064000,-749000,-218000,-6503000,-2638000,-9141000,-9141000,-9141000,-9141000,196105000,173367000,132853000,132853000,184230000,62981000,513188000,65885000,1590772000,293727000,1159492000,93394000,44159000,1683753000,2196941000,191801000,6873000,165865000,364929000,364929000,556730000,731762000,89484000,10100000,14889000,64495000,821246000,1377976000,1599042000,-666220000,-113857000,818965000,818965000,2196941000,-9141000,21454000,18578000,-78767000,-47876000,-7100000,-7100000,-7100000,-5598000,-2e+07,12378014.3804407,1876441.22649459,-21334000,-41334000,-94808000,-94808000,-9760000,-104568000,32300000,731762000,-50929000,0.71321,0.03788,-0.03193,-0.01116,-0.00416,5.57149,0.92179,1.68258,0.33308,-0.07929,-0.07929,2.48354,7.10352,-0.44175,1,-0.00557,-0.03105,16.58381,49.38752
"30","2017_Q3",55.3988888888889,"Up",280040000,-81830000,198210000,-190233000,-124577000,-87777000,-36800000,-57710000,-7946000,7977000,-8569000,3156000,-592000.000000002,-1056000,-48000.0000000019,-1104000,-1104000,-1104000,-1104000,266871000,243316000,142620000,142620000,262232000,71068000,671723000,63429000,1573960000,279846000,1161731000,99087000,33296000,1662025000,2333748000,202060000,8494000,175185000,481885000,481885000,683945000,711976000,90483000,10587000,15630000,64266000,802459000,1486404000,1624214000,-667324000,-109546000,847344000,847344000,2333748000,-1104000,21229000,21726000,34575000,76426000,-7689000,-7689000,-7689000,7307000,-2e+07,3978000.00000001,3978000,-727000.000000007,-16749000,66984000,66984000,2965000,69949000,29206000,711976000,56140000,0.70779,0.02849,-0.00394000000000001,-0.0013,-0.000469999999999999,-50.85145,0.98213,1.75419,0.30508,-0.00953999999999999,-0.00953999999999999,2.42027,7.32325,0.4852,5,-0.00067,0.03403,15.24019,55.7985499999999
"31","2017_Q4",62.0957142857143,"Up",291293000,-82268000,209025000,-196218000,-128395000,-93101000,-35294000,-59850000,-7973000,12807000,-10557000,-358000,2250000,699000,-1650000,-951000,-951000,-951000,-951000,279972000,260695000,128561000,128561000,200926000,60507000,609459000,63443000,1587947000,269825000,1175628000,110172000,32322000,1682302000,2291761000,195618000,6900000,164149000,455322000,455322000,650940000,712191000,93250000,9994000,22203000,61053000,805441000,1456381000,1598974000,-668275000,-95319000,835380000,835380000,2291761000,-951000,21504000,17371000,35989000,73913000,-4544000,-4544000,-4544000,-11517000,0,-34994000,0,-15421000,-50415000,11981000,11981000,5398000,17379000,34311000,712191000,67406000,0.71758,0.04397,-0.00326,-0.00114,-0.00041,-70.87907,0.93628,1.74338,0.31076,-0.00823,-0.00823,2.52121,7.23041,0.58341,4,-0.00058,0.04108,12.5971,33.74865
"32","2018_Q1",72.9373770491803,"Up",306379000,-82289000,224090000,-206012000,-137336000,-101134000,-36202000,-60554000,-8122000,18078000,-12982000,-2821000,5096000,5454000,11981000,17435000,17435000,17435000,17435000,298411000,280003000,152299000,152299000,215846000,49913000,666556000,63600000,1598321000,257908000,1182772000,123166000,34475000,1693828000,2360384000,232613000,5735000,191718000,446296000,446296000,678909000,712406000,83633000,12611000,17880000,53142000,796039000,1474948000,1610183000,-650840000,-73907000,885436000,885436000,2360384000,17435000,22555000,-6984000,-266000,32740000,-6111000,-6111000,-6111000,-6319000,0,-9197000,6800000,-409999.999999996,-9607000.00000001,16814000,16814000,2463000,19277000,40633000,712406000,22275000,0.73141,0.05901,0.05691,0.01969,0.00739,1.27760000000002,0.9818,1.66579,0.30182,0.15088,0.14187,2.65128,7.6622,0.19276,8,0.01037,0.01325,10.18864,22.90049
"33","2018_Q2",86.470625,"Up",306644000,-83035000,223609000,-206188000,-134395000,-99375000,-35020000,-63972000,-7821000,17421000,-10845000,-798000,6576000,6471000,7406000,13877000,13877000,13877000,13877000,311825000,291679000,131059000,131059000,176575000,60137000,619459000,61219000,1594843000,243467000,1184521000,129886000,36969000,1686483000,2305942000,184614000,15695000,136268000,419722000,419722000,604336000,742622000,69885000,11772000,5601000,52512000,812507000,1416843000,1595707000,-637519000,-69089000,889099000,889099000,2305942000,13877000,21046000,18692000,-28100000,25515000,-8877000,-8877000,-6377000,-9385000,3e+07,41355710.1967877,95349636.9265862,-36664000,-6664000,9466000,9466000,2598000,12064000,38467000,742622000,-5916000,0.72921,0.05681,0.04525,0.01561,0.00602,-0.42632,1.02502,1.59357,0.32205,0.11991,0.11795,2.64963,7.68246,-0.05112,8,0.00816,-0.00348,11.19913,24.7286
"34","2018_Q3",97.7192063492063,"Up",307883000,-83708000,224175000,-201851000,-131759000,-98390000,-33369000,-62197000,-7895000,22324000,-10664000,-285000,11660000,11546000,-3624000,7922000,7922000,7922000,7922000,322573000,299776000,127151000,127151000,199436000,62094000,649160000,59210000,1587977000,230030000,1191603000,129862000,36482000,1679654000,2328814000,202045000,15952000,156175000,487281000,487281000,689326000,642837000,68927000,10496000,5704000,52727000,711764000,1401090000,1619751000,-629597000,-62430000,927724000,927724000,2328814000,7922000,21681000,16876000,64604000,111083000,-5262000,-5262000,-4762000,-13308000,-1e+08,7472000,7472000,-454000,-92982000,4793000,4793000,3239000,8032000,44005000,642837000,106971000,0.72812,0.07251,0.02573,0.00854,0.0034,13.50303,0.94173,1.51024,0.27604,0.06815,0.06719,2.64866,7.98104,0.92025,7,0.00483,0.06525,7.2779,14.34617
"35","2018_Q4",87.8130158730159,"Down",314776000,-81633000,233143000,-209970000,-140899000,-107801000,-33098000,-61221000,-7850000,23173000,-11576000,-930000,11597000,9970000,7027000,16997000,16997000,16997000,16997000,288908000,266552000,130079000,130079000,169225000,46600000,588212000,64456000,1571147000,214657000,1182462000,138958000,35070000,1667419000,2255631000,190153000,6683000,145697000,474957000,474957000,665110000,693053000,63083000,8994000,5862000,48227000,756136000,1421246000,1525554000,-612600000,-78569000,834385000,834385000,2255631000,16997000,22576000,16751000,-7130000,49194000,-7527000,-7527000,-7527000,-7396000,5e+07,-1e+08,0,-15429000,-65429000,-23631000,-23631000,-9446000,-33077000,45749000,693053000,24065000,0.74066,0.07362,0.054,0.02037,0.00754,1.41584,0.88438,1.70335,0.30725,0.14681,0.14465,2.71891,7.20708,0.20786,7,0.01069,0.01513,8.83396,17.44034
"36","2019_Q1",88.5108196721311,"Up",312521000,-78126000,234395000,-220936000,-150756000,-109198000,-41558000,-62396000,-7784000,13459000,-10872000,-271000,2587000,668999.999999996,12522000,13191000,13191000,13191000,13191000,285782000,259946000,129297000,129297000,218705000,48997000,633784000,80613000,1584510000,200202000,1182457000,165566000,36285000,1695238000,2329022000,247689000,18044000,176172000,487590000,487590000,735279000,643268000,75886000,11852000,5589000,58445000,719154000,1454433000,1559583000,-599409000,-85585000,874589000,874589000,2329022000,13191000,22105000,-25402000,52066000,61960000,-17375000,-17375000,-17375000,-19123000,-5e+07,8182000.00000001,1008182000,-3953000,-45771000,-2934000,-2934000,-4201000,-7134999.99999999,35564000,643268000,57733000,0.75001,0.04307,0.04221,0.01508,0.00566,4.3767,0.86196,1.66299,0.2762,0.11196,0.11032,2.65264,7.42341,0.49003,7,0.00828,0.03622,10.05191,26.56111
"37","2019_Q2",89.621746031746,"Up",334689000,-77352000,257337000,-208800000,-142082000,-104218000,-37864000,-60782000,-5936000,48537000,-9621000,655000,38916000,20423000,562000,20985000,20985000,20985000,20985000,302588000,276990000,385670000,385670000,111727000,63045000,799985000,107359000,1815571000,205084000,1230901000,201149000,178437000,1952984000,2752969000,215858000,405000,158204000,325111000,325111000,540969000,778484000,112347000,10197000,36261000,65889000,890831000,1431800000,1555062000,-138785000,-95108000,1321169000,1321169000,2752969000,20985000,20053000,29402000,-49226000,21214000,-30332000,-30332000,-30332000,-101212000,1.35e+08,-4640000,-4640000,-35363000,94997000,14999000,14999000,2041000,17040000,68590000,778484000,-11530000,0.76888,0.14502,0.0627,0.01588,0.00762,-0.54944,1.4788,1.08374,0.28278,0.17735,0.1754,2.8286,11.16578,-0.09745,7,0.00949,-0.00521,6.93827,9.80481
"38","2019_Q3",73.0728125,"Down",290451000,-79904000,210547000,-206425000,-139093000,-103722000,-35371000,-61402000,-5930000,4122000,-10563000,820000,-6441000.00000001,-33421000,-10092000,-43513000,-43513000,-43513000,-43513000,319727000,294299000,352217000,352217000,118658000,66210000,790602000,106837000,1787393000,192372000,1229541000,195884000,169596000,1925217000,2715819000,216991000,6579000,173727000,381392000,381392000,598383000,738700000,131028000,10415000,36326000,84287000,869728000,1468111000,1525130000,-182298000,-95124000,1247708000,1247708000,2715819000,-43513000,19505000,27251000,137887000,141130000,-20936000,-20936000,-20936000,-27128000,-4e+07,-56196000,8798000.00000012,-703000,-96899000,17103000,17103000,196000,17299000,23627000,738700000,150670000,0.7249,0.01419,-0.14981,-0.03487,-0.01602,-3.46264,1.32123,1.17665,0.272,-0.36732,-0.37144,2.45187,10.53265,1.2719,5,-0.02055,0.07116,17.73281,101.64313
"39","2019_Q4",71.13859375,"Down",295486000,-82705000,212781000,-203485000,-136975000,-108202000,-28773000,-60590000,-5920000,9296000,-9790000,1026000,-494000,-485000,-14273000,-14758000,-14758000,-14758000,-14758000,300935000,267862000,321426000,321426000,130302000,69819000,752663000,107752000,1766633000,183180000,1245084000,189371000,148998000,1895938000,2648601000,226931000,8222000,174644000,374291000,374291000,601222000,698916000,132868000,8288000,37354000,87226000,831784000,1433006000,1505663000,-197056000,-93012000,1215595000,1215595000,2648601000,-14758000,19076000,12234000,51033000,67585000,-8311000,-8311000,-8311000,-19240000,-4e+07,-25001000,0,-9700000,-74701000,-26356000,-26356000,-94000,-26450000,28372000,698916000,85367000,0.72011,0.03146,-0.04994,-0.01214,-0.00557,-5.78446,1.25189,1.17885,0.26388,-0.12709,-0.12709,2.54457,10.46808,0.73514,5,-0.00721,0.0417,14.02725,42.81207
"40","2020_Q1",74.0508064516129,"Up",335005000,-85417000,249588000,-197387000,-127218000,-101307000,-25911000,-64114000,-6055000,52201000,-12768000,-2196000,39433000,33783000,-23957000,9826000,9826000,9826000,9826000,297470000,269579000,372743000,372743000,112408000,52701000,782621000,105531000,1746892000,169949000,1238179000,198634000,140130000,1881967000,2664588000,252646000,17407000,192797000,385509000,385509000,638155000,669134000,155301000,11123000,41683000,102495000,824435000,1462590000,1504098000,-191390000,-110710000,1201998000,1201998000,2664588000,9826000,19190000,15073000,11127000,55216000,-4832000,-4832000,-4832000,-2444000,-74366000,-16182000,8816999.99999999,44191000,-46357000,6415000,6415000,-4708000,1707000,71391000,669134000,101643000,0.74503,0.15582,0.02933,0.00817,0.00369,10.34429,1.22638,1.2168,0.25112,0.08328,0.08328,2.83931,10.18746,0.86147,7,0.00485,0.05016,5.20603,7.11986
"41","2020_Q2",70.8492063492064,"Down",356110000,-87405000,268705000,-224246000,-152161000,-107604000,-44557000,-65308000,-6777000,44459000,-11394000,704000,33065000,19031000,16424000,35455000,35455000,35455000,35455000,266277000,237017000,344412000,344412000,128480000,70323000,739169000,105171000,2407267000,266009000,1606050000,207865000,327343000,2540658000,3279827000,238107000,22472000,173183000,359496000,359496000,631512000,1315699000,84799000,8593000,20568000,55638000,1400498000,2032010000,1509185000,-157507000,-103861000,1247817000,1247817000,3279827000,35455000,19588000,35470000,-83001000,7512000,-4707000,-4707000,-4707000,-473419000,4.55e+08,-1469009.25745941,20656192.1856697,-23854000,431146000,-34761000,-34761000,1991000,-32770000,64047000,1349608000,-40085000,0.75456,0.12485,0.09956,0.02841,0.01081,-1.13059,1.17047,1.62845,0.41149,0.3078,0.30646,3.0915,10.83269,-0.34799,4,0.01322,-0.01494,16.91463,24.36697
"42","2020_Q3",85.18515625,"Up",359603000,-83027000,276576000,-208309000,-141067000,-107438000,-33629000,-59954000,-7288000,68267000,-34247000,-1629000,34020000,15778000,-8622000,7156000,7156000,7156000,7156000,861030000,826776000,352673000,352673000,127723000,66854000,1341426000,104147000,2398211000,251191000,1603081000,202683000,341256000,2525045000,3866471000,248873000,15963000,199182000,407412000,407412000,1192172000,1318993000,81225000,9790000,19541000,51894000,1400218000,2592390000,1537927000,-150351000,-113495000,1274081000,1274081000,3866471000,7156000,20605000,30398000,29658000,87817000,-5536000,-5536000,-5536000,-3324000,5.2e+08,8980000,8979999.99999999,-15983000,512997000,597490000,597490000,-7731000,589759000,88872000,1854880000,121616000,0.76911,0.18984,0.0199,0.00562,0.00185,16.99497,1.1252,2.03471,0.47973,0.0619,0.06168,3.11043,11.02032,1.05193,6,0.00223,0.03788,11.18294,14.55828
"43","2020_Q4",99.4596875,"Up",351721000,-79224000,272497000,-209034000,-140303000,-104594000,-35709000,-61429000,-7302000,63463000,-18885000,775000,44578000,44516000,-9838000,34678000,34678000,34678000,34678000,403258000,377428000,319244000,319244000,124736000,72630000,847238000,101617000,2395356000,247173000,1605204000,196701000,346278000,2528931000,3376169000,233694000,16707000,187033000,395849000,395849000,666291000,1304033000,78278000,8833000,17097000,52348000,1382311000,2048602000,1553451000,-115673000,-110211000,1327567000,1327567000,3376169000,34678000,20484000,34418000,14925000,104505000,-16219000,-16219000,-5169000,-20263000,-510125000,0,0,-25478000,-535603000,-451361000,-451361000,1613000,-449748000,83947000,1340781000,92491000,0.77475,0.18044,0.0986,0.02612,0.01027,2.66714,1.27157,1.54313,0.39713,0.29957,0.29835,3.03834,11.46817,0.79898,6,0.01263,0.03367,11.16803,14.77275
"44","2021_Q1",133.126229508197,"Up",390981000,-84615000,306366000,-238976000,-161746000,-113238439.734902,-41186367.446737,-69884000,-7346000,67390000,-11631000,421000,55759000,55381000,-1975000,53406000,53406000,53406000,53406000,303587000,275458000,415221000,415221000,114639000,69408000,833447000,101499000,2416822000,237570000,1625786000,190963000,362503000,2549291000,3382738000,229321000,7011000,197400000,416804000,416804000,680760000,1185702000,78028000,9661000,12431000,55936000,1263730000,1944490000,1603889000,-62267000,-103374000,1438248000,1438248000,3382738000,53406000,20140000,25742000,-65314000,33974000,-4784000,-11938900.4088511,-3251206.43422856,-28966000,-1.35e+08,9402000,9402000,14468000,-111130000,-106122000,-106122000,4152000,-101970000,87530000,1220337000,19407000,0.78358,0.17236,0.13659,0.03713,0.01579,0.363390000000001,1.22429,1.35199,0.36075,0.46004,0.45597,3.36794,12.38918,0.16717,5,0.01952,0.00709,10.47355,13.60365
"45","2021_Q2",136.718253968254,"Up",429050000,-86830000,342220000,-251635000,-174253000,-124725000,-49528000,-70835000,-6547000,90585000,-12931000,-1413000,77654000,77407000,-53892000,23515000,23515000,23515000,23515000,398697000,398697000,415835000,415835000,121672000,72877000,936204000,98278000,2414406000,225896000,1635281000,186536000,366693000,2512684000,3448888000,257409000,9808000,217586000,424701000,424701000,712238000,1164175000,77546000,9354000,11852000,56340000,1241721000,1953959000,1624546000,-38752000,-90865000,1494929000,1494929000,3448888000,23515000,18835000,55148000,16264000,113762000,-3407000,-3407000.00000001,-2857000,46703000,-1.8e+07,16152742.7267729,15720736.1996523,-24779000,-42779000,117686000,117686000,5553000,123239000,109420000,1194303000,176169000,0.79762,0.21113,0.05481,0.01573,0.00682,7.49177,1.31445,1.30706,0.34629,0.20202,0.19995,3.68596,12.84292,1.51347,7,0.0085,0.06367,7.27112,8.78298
"46","2021_Q3",133.3325,"Down",461786000,-89448000,372338000,-270178000,-189983000,-129178000,-60805000,-72545000,-7650000,102160000,-15334000,-2408000,86826000,86357000,22905000,109262000,109262000,109262000,109262000,326081000,326081000,434533000,434533000,141149000,86719000,901763000,97260000,3182198000,410310000,2193632000,182176000,396080000,3279458000,4181221000,257822000,16707000,218885000,480861000,480861000,766820000,1686636000,77232000,11560000,11270000,54402000,1763868000,2530688000,1677960000,70510000,-97937000,1650533000,1650533000,4181221000,109262000,21334000,53916000,-62820000,121692000,-5385000,-5385000,-5385000,-717027000,5.2e+08,10484000,10484000,-2741999.99999999,527742000,-67593000,-67593000,-5010000,-72603000,123494000,1714773000,32384000,0.8063,0.22123,0.23661,0.0662,0.02613,0.296390000000001,1.17598,1.53326,0.41011,0.93568,0.92339,3.95456,14.13454,0.27732,7,0.03174,0.00941,11.24502,13.5933
"47","2021_Q4",120.5134375,"Down",435668000,-95077000,340591000,-267141000,-181496000,-134412000,-47084000,-78134000,-7511000,73450000,-15113000,-1935000,58337000,58469000,-7266000,51203000,51203000,51203000,51203000,365756000,365756000,432980000,432980000,119760000,73542000,918496000,93659000,3194064000,394682000,2197313000,178087000,423982000,3287723000,4206219000,260239000,10326000,226467000,460836000,460836000,746199000,1656936000,78126000,12777000,11541000,53808000,1735062000,2481261000,1696075000,121713000,-92830000,1724958000,1724958000,4206219000,51203000,22501000,51755000,-37425000,88034000,-3420000,-3420000,-3420000,-4489000,-3e+07,0,0,-14973000,-44973000,38572000,38572000,1103000,39675000,95951000,1682060000,62372000,0.78177,0.16859,0.11753,0.02968,0.01217,1.21813,1.2309,1.43845,0.3999,0.43918,0.43405,3.73685,14.79546,0.53498,5,0.01469,0.0179,13.7185,17.92109
"48","2022_Q1",112.408225806452,"Down",480655000,-99747000,380908000,-264144000,-178053000,-145681130.637936,15515088.9249419,-78403000,-7688000,116764000,54385000,67241000,171149000,169522000,123421000,292943000,292943000,292943000,292943000,326532000,326532000,541072000,541072000,205406000,69991000,1073010000,100237000,3334313000,378967000,2191887000,297789000,465670000,3434550000,4507560000,269287000,5055000,230851000,482131000,482131000,779282000,1620406000,69404000,15546000,4165000,49693000,1689810000,2469092000,1719676000,414656000,-95864000,2038468000,2038468000,4507560000,292943000,22569000,-174550000,-95641000,45321000,-13051000,12712471.2247794,9177521.1302015,-13046000,-4e+07,-18909000,11091000,-10817000,-69726000,-37451000,-37451000,-1773000,-39224000,139333000,1648270000,-92780000,0.79248,0.24293,0.60947,0.14371,0.06499,-0.316720000000001,1.37692,1.21125,0.36567,2.49638,2.47005,4.09601,17.37128,-0.79065,5,0.07799,-0.0247,9.48618,11.31974
"49","2022_Q2",107.951129032258,"Down",457721000,-95118000,362603000,-266434000,-177416000,-166377391.913808,147924516.774826,-80534000,-8484000,96169000,-6802000,6184000,89367000,55376000,-9287000,46089000,46089000,46089000,46089000,296125000,296125000,478673000,478673000,234524000,89473000,1009322000,96848000,3314450000,363877000,2189880000,292171000,468522000,3411298000,4420620000,288523000,2867000,252734000,464910000,464910000,779978000,1619501000,67329000,16160000,4279000,46890000,1686830000,2466808000,1591454000,460745000,-98387000,1953812000,1953812000,4420620000,46089000,22088000,44763000,24796000,137736000,-3812000,50161663.6743382,37619313.3906045,2661000,110482697.650527,-119739000,22898233.2344947,-49404000,-169143000,-28746000,-28746000,-1661000,-30407000,118257000,1646046000,148528000,0.79219,0.2101,0.10069,0.02359,0.01043,3.22263,1.29404,1.26256,0.37236,0.39276,0.38862,3.90058,16.64987,1.26572,4,0.01257,0.0405,11.41515,14.03697
"50","2022_Q3",114.0909375,"Up",505227000,-93337000,411890000,-254262000,-163877000,-199892783.827616,371076533.549651,-81935000,-8450000,157628000,-55624000,-43385000,102004000,103566000,-13887000,89679000,89679000,89679000,89679000,306701000,306701000,510196000,510196000,150065000,88918000,966962000,92897000,3318664000,355360000,2186156000,299381000,477767000,3411561000,4378523000,240073000,15054000,201278000,516933000,516933000,782381000,1444161000,68004000,17748000,4163000,46093000,1512165000,2294546000,1638801000,550424000,-105248000,2083977000,2083977000,4378523000,89679000,21380000,91373000,-60107000,142325000,-6152000,116076827.348676,87117126.781209,41376000,-1.75e+08,5596000,10857000,-1430000,-170834000,12867000,12867000,-2078000,10789000,179008000,1469536000,126636000,0.81526,0.31199,0.1775,0.04303,0.02048,1.4121,1.23592,1.10104,0.33562,0.76422,0.75616,4.30541,17.7591,1.07916,7,0.02476,0.03497,6.49599,7.37708
