"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q3",3.53953125,"Up",19327000,-14748000,4579000,-12330000,-11497000,-833000,-7751000,485000,227000,126000,132000,-7266000,-8408000,-8408000,-8408000,-8408000,-8408000,41978000,41978000,11665000,11665000,7514000,2483000,2483000,63640000,13925000,11555000,1388000,7452000,2715000,25480000,89120000,16332000,7773000,8559000,264000,264000,16596000,563000,563000,5027000,21623000,331935000,-266610000,2172000,67497000,67497000,89120000,-8408000,768000,345000,-1346000,-8641000,-6582000,-5973000,4419000,4560000,-10054000,-10054000,5000,-10049000,-6983000,4464000,0.23692,-0.40105,-0.43504,-0.12457,-0.09434,3.83466,0.32035,0.05009,-0.17811,-0.17811,0.4094,1.42978,-0.11593,5.37219,4.83989
"35","2019_Q4",2.98703125,"Down",19662000,-14360000,5302000,-11701000,-10920000,-781000,-6399000,-4000,258000,-332000,70000,-6403000,22265000,22265000,22265000,22265000,22265000,64052000,64052000,11441000,11441000,7595000,2635000,2635000,85723000,14244000,11033000,1128000,7452000,2453000,25277000,1.11e+08,14880000,6423000,8457000,392000,392000,15272000,494000,494000,4729000,20001000,332966000,-244345000,2378000,90999000,90999000,1.11e+08,22265000,838000,758000,-1035000,22826000,-566000,-566000,-104000.000000001,-176000,22084000,22084000,-10000,22074000,-5561000,4235000,0.26966,-0.32545,1.13239,0.24467,0.20059,5.61308,0.21979,0.03815,0.46989,0.46679,0.41496,1.9205,0.23259,10.75652,9.34787
"36","2020_Q1",2.45661290322581,"Down",20921000,-14575000,6346000,-14711000,-10878000,-833000,-8365000,278000,297000,-152000,133000,-8087000,-5387000,-5386999.99999999,-5386999.99999999,-5386999.99999999,-5386999.99999999,60146000,60146000,10738000,10738000,7842000,2727000,2727000,81453000,14254000,10933000,1032000,7452000,2449000,25187000,106640000,15618000,7256000,8362000,391000,391000,16009000,424000,424000,4603000,20612000,333180000,-249732000,2580000,86028000,86028000,106640000,-5386999.99999999,664000,451000,1097000,-3175000,-572000,-572000,-160000,-157000,-3904000.00000001,-3904000.00000001,-2000,-3906000,-7701000,4179000,0.30333,-0.39984,-0.25749,-0.06262,-0.05052,5.08795,0.2396,0.03919,-0.113109999999999,-0.112670000000001,0.439269999999999,1.80629,-0.05944,7.2675,6.69062
"37","2020_Q2",2.57079365079365,"Up",20207000,-14521000,5686000,-13889000,-11139000,-1054000,-8203000,555000,237000,191000,127000,-7648000,-7648000,-7648000,-7648000,-7648000,-7648000,56893000,56893000,9877000,9877000,7568000,2956000,2956000,77294000,13945000,33997000,892000,7452000,25653000,47942000,125236000,18009000,8630000,9379000,4736000,4736000,22999000,19734000,19734000,23909000,46908000,333399000,-257380000,2309000,78328000,78328000,125236000,-7648000,725000,209000,4648000,-2066000,-274000,-274000,-105000,-171000,-2511000,-2511000,8000,-2503000,-7478000,4429000,0.28139,-0.40595,-0.37848,-0.09764,-0.06107,3.36075,0.59887,0.03537,-0.16082,-0.16082,0.4249,1.64703,-0.07462,7.01578,6.39571
"38","2020_Q3",2.3759375,"Down",19384000,-13575000,5809000,-13818000,-10693000,-1065000,-8009000,322000,171000,79000,72000,-7687000,-7687000,-7687000,-7687000,-7687000,-7687000,51502000,51502000,8912000,8912000,7502000,3184000,3184000,71100000,13568000,32114000,752000,7452000,23910000,45682000,116782000,18292000,8185000,10107000,4683000,4683000,23200000,18584000,18584000,22722000,45922000,333701000,-265067000,2226000,70860000,70860000,116782000,-7687000,709000,406000,647000,-5925000,-160000,-160000,-124000,-58000,-6143000,-6143000,2000,-6141000,-7300000,4363000,0.29968,-0.41318,-0.39656,-0.10848,-0.06582,3.06466,0.64807,0.03736,-0.161640000000004,-0.161640000000004,0.407600000000008,1.49,-0.08194,6.4574,5.88575
"39","2020_Q4",2.17765625,"Down",16903000,-12478000,4425000,-14149000,-11061000,-1163000,-9724000,-136000,87000,-358000,135000,-9860000,-9860000,-9860000,-9860000,-9860000,-9860000,54407000,54407000,6817000,6817000,8018000,3058000,3058000,72300000,13295000,30753000,588000,7452000,22713000,44048000,116348000,20237000,8523000,11714000,11408000,11408000,31870000,17639000,17639000,22148000,54018000,334747000,-274927000,2510000,62330000,62330000,116348000,-9860000,717000,752000,4264000,-4127000,-285000,-285000,7320000,7320000,2908000,2908000,-3000,2905000,-9007000,4734000,0.26179,-0.57528,-0.58333,-0.15819,-0.08475,2.26859,0.86665,0.04069,-206.84736,-206.84736,354.59847,1307.5858,-0.11641,5.51493,5.10829
"40","2021_Q1",3.11016393442623,"Up",19527000,-11677000,7850000,-12281000,-10067000,-1166000,-4431000,1106000,-41000,993000,154000,-3325000,-3325000,-3325000,-3325000,-3325000,-3325000,47865000,47865000,9141000,9141000,7784000,3975000,3975000,68765000,14482000,29291000,538000,7452000,21301000,43773000,112538000,21336000,8503000,12833000,4465000,4465000,32801000,16871000,16871000,21356000,54157000,334952000,-278252000,1681000,58381000,58381000,112538000,-3325000,629000,-763000,-1602000,-5061000,-1451000,-1451000,-90000,-90000,-6602000,-6602000,60000,-6542000,-3802000,11485000,0.40201,-0.22692,-0.17028,-0.05695,-0.02955,2.09643,0.92765,0.10205,-0.017439999999965,-0.0174399999999935,0.102430000000027,0.30624,-0.03833,9.56865,8.21034
"41","2021_Q2",3.14507936507936,"Up",28655000,-16758000,11897000,-11400000,-10014000,-746000,497000,-198000,-51000,-164000,17000,299000,299000,299000,299000,299000,299000,45914000,45914000,12051000,12051000,8185000,4152000,4152000,70302000,14506000,28695000,460000,7452000,20783000,43201000,113503000,22355000,7842000,14513000,4253000,4253000,33608000,16430000,16430000,20877000,54485000,335119000,-277953000,1852000,59018000,59018000,113503000,299000,660000,530000,-2697000,-1208000,-617000,-617000,-113000,-113000.000000001,-1938000,-1938000,-13000,-1951000,1157000,11447000,0.41518,0.01734,0.01043,0.00507,0.00263,2.09182,0.92319,0.10085,0.00624,0.00624,0.59829,1.23223999999993,0.00343999999999999,-29.78997,-69.3501
"42","2021_Q3",3.33578125,"Up",31466000,-15645000,15821000,-14111000,-11013000,-806000,1710000,592000,-49000,625000,16000,2302000,2302000,2302000,2302000,2302000,2302000,44536000,44536000,12095000,12095000,9258000,3994000,3994000,69883000,14463000,27685000,393000,7452000,19840000,42148000,112031000,19021000,4432000,14589000,3928000,3928000,29949000,15865000,15865000,20293000,50242000,336170000,-275651000,1270000,61789000,61789000,112031000,2302000,635000,-268000,-3489000,-820000,-506000,-506000.000000002,-94000,-94000,-1420000,-1420000,42000,-1378000,2345000,11428000,0.5028,0.05434,0.07316,0.03726,0.02055,2.3334,0.81312,0.10201,0.0479500000000019,0.0479200000000066,0.655449999999996,1.28708,0.02584,-14.11855,-19.3614
"43","2021_Q4",3.4121875,"Up",32797000,-16751000,16046000,-13979000,-12082000,-836000,2067000,-61000,60000,-33000,-88000,2006000,2006000,2006000,2006000,2006000,2006000,45021000,15089000,11475000,11475000,11007000,3838000,3838000,71341000,15625000,26657000,315000,7452000,18890000,42282000,113623000,18542000,6014000,12528000,3672000,3672000,29214000,15052000,15052000,19442000,48656000,337344000,-273645000,1268000,64967000,64967000,113623000,2006000,673000,534000,-906000,2307000,-1747000,-31770000,-76000,21000,-29442000,-29442000,-5000,-29447000,2740000,11390000,0.48925,0.06302,0.06116,0.03088,0.01765,2.44201,0.74893,0.10024,0.04146,0.04123,0.67778,1.3426,0.02195,-12.27409,-16.27044
"44","2022_Q1",3.21,"Down",24813000,-1.5e+07,9813000,-13395000,-11796000,-864000,-3582000,6850000,48000,-158000,6960000,3268000,3268000,3268000,3268000,3268000,3268000,43502000,13524000,10198000,10198000,12652000,4230000,4230000,70582000,16585000,26524000,244000,7452000,18828000,43109000,113691000,22424000,8123000,14301000,3652000,3652000,26076000,14673000,14673000,19029000,45105000,337611000,-270377000,1352000,68586000,68586000,113691000,3268000,685000,-6163000,2318000,108000,-1566000,-1604000,-56000,-56000,-1552000,-1552000,-13000,-1565000,-2897000,4356000,0.39548,-0.14436,0.13171,0.04765,0.02874,2.70678,0.65764,0.03831,0.0674200000000009,0.0671100000000003,0.511889999999999,1.41493,0.0373,13.5126,10.92853
"45","2022_Q2",2.47241935483871,"Down",26519000,-15273000,11246000,-13078000,-11052000,-744000,-1832000,-487000,39000,-381000,-145000,-2319000,-2319000,-2319000,-2319000,-2319000,-2319000,36166000,6356000,11332000,11332000,13957000,4457000,4457000,65912000,16953000,25274000,171000,7452000,17651000,42227000,108139000,19506000,5929000,13577000,3600000,3600000,23106000,13959000,13959000,18273000,41379000,337827000,-272696000,1629000,66760000,66760000,108139000,-2319000,611000,1011000,-5346000,-6043000,-1033000,-1061000,-57000,-57000,-7161000,-7161000,-7000,-7168000,-1221000,4314000,0.42407,-0.06908,-0.08745,-0.03474,-0.02144,2.85259,0.61982,0.03989,-0.04812,-0.04799,0.55029,1.38532,-0.02727,26.08681,17.38646
"46","2022_Q3",2.415,"Down",34046000,-17838000,16208000,-18131000,-14466000,-820000,-1923000,-731999.999999998,68000,-450000,-350000,-2655000,-2655000,-2655000,-2655000,-2655000,-2655000,33639000,4159000,15316000,15316000,13851000,3904000,3904000,66710000,17527000,24585000,1e+05,7452000,17033000,42112000,108822000,22725000,6860000,15865000,3423000,3423000,26148000,13278000,13278000,17548000,43696000,338506000,-275351000,1971000,65126000,65126000,108822000,-2655000,795000,1568000,-338000,-630000,-1214000,-1241000,-57000,-57000,-1928000,-1928000,-19000,-1947000,-1128000,4270000,0.47606,-0.05648,-0.07798,-0.04077,-0.0244,2.55125,0.67095,0.03924,-0.05487,-0.0548699999999999,0.70356,1.34583,-0.03211,26.03635,15.27249
