"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"40","2020_Q1",4.58903225806452,"Down",4264066,-7603294,-3496971,-3924024,-3469425,-3309723,588644,-6779148,316545,-6462603,1959998,-4502605,-4502605,-4502605,-4502605,65249072,65249072,4167996,4167996,100971862,5234000,180041785,2618303,15906102,898334,856766,18524405,198566190,11690943,3054032,8636911,91735809,9046625,9046625,9046625,100782434,220816164,-123032408,97783756,97783756,198566190,131457,2600228,-9754838,-14264300,-2.00000000093132,-976769.000000004,-15241071,-15241071,-15241071,-3337968,80044866,-0.81364,-1.05594,-0.04605,-0.02268,1.96261,1.03067,0.40311,-0.05548,-0.05474,0.05254,1.20485,-0.02409,-4.43258,-4.26462
"41","2020_Q2",5.37936507936508,"Up",2619765,-6508726,-3176024,-3150105,-3998055,-2604454,412363,-6602509,-4997526,-11600035,2702506,-8897529,-8897529,-8897529,-8897529,77377300,77377300,1685642,1685642,2617852,2617852,98022808,2500641,18051014,898334,847983,20551655,118574463,21424515,4765817,16658698,21424515,9007826,9007826,9007826,30432341,221065412,-132923290,88142122,88142122,118574463,133163,-4907550,8096834,3322447,-15501,-86916580,-83609634,-83609634,-83609634,-3864892,0,-1.52611,-3.39631,-0.10095,-0.07504,4.57526,0.34526,0,-0.10952,-0.10952,0.03225,1.08496,-0.09159,20.02056,19.35374
"42","2020_Q3",6.40578125,"Up",40348777,-6754873,-3870928,-2709742,28797135,31932,31932,28829067,-1619587,27209480,-6319322,20890158,20890158,20890158,20890158,53065833,53065833,36611661,36611661,1382499,1382499,105066979,2366135,12983840,898334,901906,15349975,120416954,15561535,630165,14931370,15561535,10722401,10722401,10722401,26283936,221388690,-127255672,94133018,94133018,120416954,134506,27954375,-37177553,-9088672,0,-15222795,-24311467,-24311467,-24311467,28931641,7.45058059692383e-09,0.71371,0.51774,0.22192,0.17348,6.75171,0.27922,5.55111512312578e-17,0.26002,0.25893,0.50222,1.17167,0.19923,-1.83417999999999,-1.84275000000004
"43","2020_Q4",6.64171875,"Up",44261407,-5803974,-3566315,-2073557,32898218,24931.0000000002,24931,32923149,-1274156,31648993,-7461038,24187955,24187955,24187955,24187955,78663526,78663526,40398708,40398708,1290388,1290388,131100154,2236668,8085330,898334,702885,10321998,141422152,16300744,1118307,15182437,16300744,12160994,12160994,12160994,28461738,221595161,-108634747,112960414,112960414,141422152,129467,30542423,667185,31339075,0,-5741382,25597693,25597693,25597693,33027685,0,0.74327,0.54648,0.21413,0.17103,8.04259,0.25196,0,0.30518,0.30449,0.55844,1.42521,0.19332,-2.38175,-2.39112
"44","2021_Q1",6.38918032786885,"Down",37729355,-6593682,-3389917,-3005526,26803332,62859,62859,26866191,-616038,26250153,-6088727,20161426,20161426,20161426,20161426,117890240,117890240,3340263,3340263,2112069,2112069,143608091,2103990,4119310,898334,676923,6223300,149831391,10483510,1278217,8285738,10483510,9554612,9554612,9554612,20038122,224986150,-95192881,129793269,129793269,149831391,132678,-31236912,20708602,45946378,-7.27595761418343e-12,-6719664,39226714,39226714,39226714,26936010,0,0.71041,0.53437,0.15533,0.13456,13.69847,0.15438,-3.46944695195361e-18,0.25437,0.2538,0.47603,1.63758,0.14468,-4.37668000000002,-4.39834000000133
"45","2021_Q2",6.47444444444444,"Up",4813744,-6552303,-4056184,-2302785,-1989407,25568,25568,-1963839,918801,-1045038,232933,-812105,-812105,-812105,-812105,106527495,106527495,4001259,4001259,1950149,1950149,132889274,1986888,3890376,898334,419448,5877264,138766538,7511517,446795,7064722,7511517,8570154,8570154,8570154,16081671,225219106,-102534239,122684867,122684867,138766538,130826,-700930,-3424103,-4806312,-13724,-6542709,-11362745,-11362745,-11362745,-1858581,0,-0.41328,-0.16871,-0.00662,-0.00585,17.6914,0.13108,0,-0.01058,-0.01047,0.06271,1.59835,-0.00619,57.31657,53.54736
"46","2021_Q3",6.03921875,"Down",8653289,-7656197,-5585560,-2263971,1102.00000000373,24235,24235,25337,442269,467606,-298406,169200.000000002,169200.000000002,169200.000000002,169200.000000002,98486013,98486013,7206135,7206135,1774218,1774218,127066257,2597296,4022472,898334,392665,6619768,133686025,7970458,675403,7295055,7970458,8994605,8994605,8994605,16965063,225686415,-108965453,116720962,116720962,133686025,134008,496964,-2230444,-1430272.00000001,-10700,-6600510,-8041482.00000001,-8041482.00000001,-8041482.00000001,135110,0,0.000130000000000019,0.0195499999999999,0.00145000000000001,0.00126999999999999,15.94215,0.14535,0,0.00222999999999995,0.00221000000000002,0.11415,1.53974,0.00135000000000001,-728.93208,-89370.24773
"47","2021_Q4",7.17890625,"Up",2346110,-5206723,-4471640,-735083,-2943889,26252,26252,-2917637,-1066522,-3984159,870801,-3113358,-3113358,-3113358,-3113358,92819425,92819425,3822824,3822824,2622254,2622254,128937547,2468463,4157342,898334,306722,6625805,135563352,18942093,9962965,8979128,18942093,10065397,10065397,10065397,29007490,225769250,-119213388,106555862,106555862,135563352,128833,1007056,3606126,1628658,0,-7295246,-5666588,-5666588,-5666588,-2815056,0,-1.2548,-1.32703,-0.02922,-0.02297,6.80693,0.27223,0,-0.04081,-0.04037,0.03076,1.39688,-0.0267,32.9725,31.52953
"48","2022_Q1",6.30516129032258,"Down",117857311,-8560552,-3210045,-4640355,94024993,25117,25117,94050110,-176778,93873332,-20666303,73207029,73207029,73207029,73207029,103138819,103138819,83650450,83650450,2453444,2453444,208753092,2365957,3607526,898334,286585,5973483,214726575,30487858,2028004,9252812,30487858,9924310,9924310,9924310,40412168,226077662,-51763255,174314407,174314407,214726575,128701,1085166,-58318333,16102562,-26196,-5756972,10319394,10319394,10319394,94153694,-3.63797880709171e-12,0.79779,0.62115,0.41997,0.34093,6.84709,0.23183,1.35525271560688e-20,0.97817,0.97817,1.57477,2.32913,0.39735,-1.09543000000016,-1.0969299999995
"49","2022_Q2",8.81322580645161,"Up",10539299,-7258064,-3518030,-3546776,-1438881,23322,23322,-1415559,351104,-1064455,703406,-361049,-361049,-361049,-361049,153259914,153259914,5338900,5338900,2232989,2232989,177109304,2238431,5198908,898334,265433,7437339,184546643,7240550,1778359,4653420,7240550,9569297,9569297,9569297,16809847,226433785,-58696989,167736796,167736796,184546643,127526,-1459413,58399347,56706411,-8137002.5683023,-6585316,50121095,50121095,50121095,-1311355,0,-0.13653,-0.03426,-0.00215,-0.00196,24.46075,0.10022,0,-0.00482,-0.00482,0.14082,2.24125,-0.00204,116.87141,106.51327
"50","2022_Q3",16.0675,"Up",16667046,-12714239,-6067397,-6840100,3070711,72372,72372,3143083.00000001,49559,3192642.00000001,-1155581,2037061,2037061,2037061,2037061,114530926,114530926,19598122,19598122,3083027,3083027,153643457,2109720,4187318,898334,249170,6297038,159940495,16694066,1214617,14844830,16694066,3477575,3477575,3477575,20171641,232949968,-93181114,139768854,139768854,159940495,128711,1363491,-5737016,-2207753,-32944314,-3576921,-38728988,-38728988,-38728988,3199422,0,0.18424,0.12222,0.0145700000000001,0.01274,9.20348,0.14432,1.6940658945086e-21,0.02803,0.02778,0.22933,1.92312,0.01422,-35.79738,-37.2978500000003
