"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",74.4270967741935,"Down",439619000,-744841000,-305222000,346411000,-34716000,-10598000,391725000,41189000,-1736000,39453000,50573000,-16294000,34279000,34279000,-1649000,32630000,32723000,15563000,15563000,3417000.00000001,3417000,25132000,101463000,24105000,68729000,145575000,230473000,136517000,85529000,50219000,366990000,512565000,128030000,42701000,8540000,76789000,128030000,299820000,66453000,10047000,53093000,366273000,494303000,173014000,-390316000,219278000,-5887000,-3911000,22173000,18262000,512565000,34279000,34279000,10598000,-184000,-15892000,-2310000,-966000,5374000,-17990000,28801000,-16600000,-16600000,1362000,-543999.999999998,-11800000,-11291000,1683000,-1040000,-31504000,-3247000,-3247000,-297000,-3544000,51787000,299820000,35589000,-0.69429,0.09369,0.07443,1.79186,0.06384,1.08758,1.13704,27.0673,0.58494,0.88704,0.87739,11.91702,-0.10602,0.96473,5,0.10427,0.09255,5.48896,6.90128
"29","2017_Q2",72.5512698412698,"Down",449266000,-325376000,123890000,-80209000,-36414000,-10457000,-33338000,43681000,-1810000,41871000,41871000,-11972000,29899000,29899000,-1471000,28428000,28831000,22715000,22715000,64212000,60586000,22711000,35930000,20534000,9365000,145568000,230765000,140116000,85787000,54117000,370881000,516449000,120424000,37362000,16357000,66705000,120424000,294332000,70420000,10559000,56704000,364752000,485176000,174805000,-401029000,240870000,-5796000,8850000,22423000,31273000,516449000,29899000,29899000,10457000,4103000,2870000,-1048000,2425000,-5239000,6732000,47329000,-15064000,-15064000,155000,-14930000,-5575000,-9827000,3248000,-2565000,-25321000,7078000,7078000,74000,7152000,54138000,294332000,53916000,0.27576,0.09723,0.06417,0.92191,0.05583,1.87007,1.2088,15.51421,0.56991,0.78324,0.77191,12.205,0.24042,1.46471,7,0.09137,0.13614,5.01712,6.2182
"30","2017_Q3",69.1193650793651,"Down",434778000,-311905000,122873000,-85656000,-40248000,-10654000,-34754000,37217000,-1759000,35458000,35458000,-10476000,24982000,24982000,-1444000,23538000,24101000,22247000,22247000,63562000,59882000,24586000,39194000,21142000,9363000,149589000,234524000,141529000,85922000,55292000,376053000,525642000,116240000,38653000,9815000,67772000,116240000,305149000,72655000,9416000,60179000,377804000,494044000,179622000,-421828000,257742000,-6457000,9079000,22519000,31598000,525642000,24982000,24982000,10654000,2513000,-7615000,693000,-1875000,1289000,-7722000,30534000,-15393000,-15393000,519000,-14874000,10731000,-18923000,1970000,-612000,-16153000,-493000.000000004,-493000.000000004,25000,-468000.000000002,47871000,305149000,35339000,0.28261,0.0856,0.05543,0.76274,0.04585,1.46629,1.2869,15.63529,0.58053,0.65613,0.6476,11.83649,0.24717,0.96208,7,0.07682,0.08632,5.90967,7.60142
"31","2017_Q4",57.4247619047619,"Down",431709000,-317439000,114270000,-80755000,-35758000,-11181000,-33816000,33515000,-2566000,30949000,30949000,-8280000,22669000,22669000,-852000,21817000,21965000,39543000,39543000,67095000,63266000,28369000,32582000,14846000,8885000,167589000,236812000,146527000,86825000,59413000,383339000,550928000,118054000,38235000,10443000,69376000,138054000,378548000,73708000,11823000,58898000,452256000,590310000,182654000,-509323000,271601000,-4230000,-59298000,19916000,-39382000,550928000,22669000,22669000,11181000,5412000,-2208000,-4776000,-3784000,1470000,4882000,37054000,-12738000,-12738000,126000,-12612000,94269000,-86981000,756000,-6441000,-7336000,17106000,17106000,190000,17296000,44696000,398548000,38030000,0.26469,0.07763,0.05088,-0.55774,0.03987,1.73139,1.21394,-14.98934,0.72341,0.60766,0.60055,11.94315,-1.64047,1.05209,5,0.06965,0.08785,8.03215,10.71177
"32","2018_Q1",55.4411475409836,"Down",467606000,-341457000,126149000,-87871000,-38446000,-11376000,-38049000,38278000,-4540000,33738000,32064000,-3089000,28975000,28975000,-466000,28509000,28391000,22345000,22345000,68891000,68891000,30620000,48138000,28522000,9580000,169994000,234331000,151228000,86892000,63751000,385559000,555553000,112860000,32006000,10561000,70293000,132860000,446565000,75344000,12546000,60146000,521909000,654769000,185227000,-597072000,292251000,-2117000,-121711000,22495000,-99216000,555553000,28975000,28975000,11376000,3961000,-24254000,-2227000,-2251000,-6263000,-13513000,20058000,-9398000,-9398000,-4684000,-14082000,7.5e+07,-87595000,286000,-2821000,-23250000,-17274000,-17274000,76000,-17198000,49654000,466565000,19091000,0.26978,0.08186,0.06072,-0.28615,0.0511,0.67243,1.2795,-6.59943,0.83982,0.81953,0.8124,13.49785,-3.51329,0.55108,6,0.08183,0.04312,8.94631,11.6051
"33","2018_Q2",52.1825,"Down",450122000,-309255000,140867000,-112932000,-39996000,-11539000,-61397000,27935000,-5075000,22860000,23064000,-4978000,18086000,18086000,-643000,17443000,17368000,31935000,31935000,67611000,62949000,28285000,51419000,27990000,17529000,179250000,229576000,170991000,86746000,83631000,400567000,579817000,134056000,31072000,10094000,92890000,156456000,568770000,96789000,6125000,76993000,665559000,822015000,163641000,-714097000,280853000,4110000,-265493000,23295000,-242198000,579817000,18086000,18086000,11539000,3709000,3397000,2675000,2193000,2563000,-4034000,36731000,-9320000,-9320000,1187000,-4443000,140308000,-139966000,1770000,-6591000,-13814000,18474000,18474000,119000,18593000,39474000,588770000,38529000,0.31295,0.06206,0.03859,-0.07171,0.02995,2.21839,1.14569,-3.39398,1.01544,0.52189,0.51764,13.52571,-7.97779,1.15776,5,0.05624,0.0869,14.10637,19.93324
"34","2018_Q3",43.2466666666667,"Down",429952000,-376336000,53616000,-26584000,-38972000,-11731000,24119000,27032000,-5797000,21235000,19113000,-7040000,12073000,12073000,-874000,11199000,11274000,25719000,25719000,68153000,62973000,27109000,36738000,26729000,7223000,157719000,227722000,172730000,85064000,86957000,400452000,558171000,123408000,33307000,8904000,81197000,145834000,556387000,98984000,5140000,78515000,655371000,801205000,188469000,-742695000,285460000,2240000,-266526000,23492000,-243034000,558171000,12073000,12073000,11731000,7250000,5642000,439000.000000001,995000,4430000,-221999.999999996,36696000,-12242000,-12242000,-224999.999999999,-12467000,-20741000,142145000,409000,-154081000,-39874000,-15645000,-15645000,-181000,-15826000,38763000,576387000,39203000,0.1247,0.06287,0.02622,-0.04639,0.0202,3.47729,1.0815,-3.29668,1.03264,0.35296,0.35047,13.46082,-8.34432,1.22736,4,0.04272,0.09068,14.20602,20.37097
"35","2018_Q4",47.3739682539683,"Up",385231000,-316921000,68310000,-82480000,-55711000,-11585000,-15184000,-14170000,-6058000,-20228000,-20228000,7367000,-12861000,-12861000,-439000,-13300000,-13300000,24880000,24880000,59623000,53157000,29311000,38557000,20106000,7400000,152371000,224510000,174281000,84830000,88751000,398791000,551162000,141400000,32355000,8964000,100081000,163789000,555755000,100362000,7812000,77604000,656117000,819906000,190578000,-751895000,267580000,3605000,-290132000,21388000,-268744000,551162000,-12861000,-12861000,11585000,8804000,24077000,7969000,-2202000,-4892000,23202000,31605000,-9031000,-9031000,-441000,-5455000,1909000,413000,413000,-17503000,-22280000,3870000,3870000,-6000,3864000,-2585000,575755000,5094000,0.17732,-0.03678,-0.03452,0.04949,-0.02413,-0.38301,0.93029,-3.05088,1.04462,-0.42122,-0.41894,12.20051,-9.18866,0.16133,3,-0.01522,0.0125,-213.10445,-38.87615
"36","2019_Q1",41.6890163934426,"Down",397566000,424854000,822420000,-831375000,-58855000,-11548000,-760972000,-8955000,-7926000,-16881000,-15252000,2027000,-13225000,-13225000,357000,-12868000,-12868000,33258000,33258000,83616000,78118000,27203000,52200000,36054000,14552517.8359424,196277000,226894000,172726000,84516000,87073000,399620000,595897000,162863000,27106000,6590000,129167000,188894000,601126000,104426000,7852000,79324000,705552000,894446000,193427000,-751704000,242182000,-3143000,-319238000,20689000,-298549000,595897000,-13225000,-13225000,11548000,4608000,-15509000,-8926000,2107000,-2501000,-6189000,-12578000,-11435000,-11435000,-4999000,-16434000,22109000,106999.99999997,106999.999999993,12779000,27871000,-1141000,-1141000,-123000,-1264000,2593000,621135000,-26378000,2.06864,-0.02252,-0.03237,0.0431,-0.02159,2.04989,1.03909,-2.99598,1.04235,-0.40803,-0.40556,12.60634,-10.12265,-0.83641,3,-0.01345,-0.06177,226.71693,-65.64791
"37","2019_Q2",46.7484126984127,"Up",398405000,-271610000,126795000,-121286000,-51135000,-11749000,-58402000,5509000,-6276000,-767000,-767000,-831000,-1598000,-1598000,-133000,-1731000,-3801000,29273000,29273000,86731000,80748000,26144000,57266000,22488000,18582000,199414000,217437000,322217000,83193000,237780000,539654000,739068000,163525000,35214000,7336000,120975000,218569000,346433000,230675000,5835000,206278000,577108000,795677000,193686000,-748995000,231439000,-4846000,-77413000,20804000,-56609000,739068000,-1598000,-1598000,11749000,9124000,-5462000,-3443000,810000,8108000,-10937000,13813000,-8658000,-8658000,395000,-8263000,-240026000,252581000,252581000,-15057000,-9627000,-4077000,-4077000,92000,-3985000,17258000,376415000,3969000,0.31826,0.01383,-0.00954,0.06714,-0.00514,-1.0442,0.91236,-14.05566,0.50931,-0.12046,-0.12046,12.62613,-10.41757,0.12578,5,0.00604,0.00721,20.11485,63.01361
"38","2019_Q3",44.8946875,"Down",399623000,-268694000,130929000,-116861000,-48718000,-11521000,-56622000,14068000,-4272000,9796000,9959000,-1283000,8676000,8676000,-322000,8354000,4868000,30656000,30656000,82201000,77019000,26615000,54413000,21477000,17484000,193885000,212257000,320422000,82763000,236608000,532679000,726564000,153483000,32516000,7155000,113812000,211320000,349749000,226054000,2227000,206263000,575803000,787123000,197370000,-748657000,228833000,-11196000,-82360000,21801000,-60559000,726564000,8676000,8676000,11521000,3737000,-5572000,2351000,-484000,-2698000,-4741000,18362000,-9178000,-9178000,-2350000,-11303000,9250000.00000006,42000,42000.0000000298,-7732999.99999999,-5585000,1474000,1474000,-91000,1383000,25589000,380990000,12122000,0.32763,0.0352,0.01218,-0.08038,0.0067,2.49014,0.91749,-12.99762,0.52437,0.15412,0.15242,12.6519,-10.56322,0.38378,6,0.02198,0.02218,13.6908,24.9029
"39","2019_Q4",56.6390625,"Up",403706000,-407680000,-3974000,7175000,-53503000,-11832000,72510000,3201000,-4249000,-1048000,678000,-421000,257000,257000,128000,385000,5941000,28368000,28368000,88207000,82401000,25190000,52619000,18450000,21125000,194384000,212313000,323868000,79457000,243214000,536181000,730565000,164928000,42027000,7875000,115026000,221889000,346064000,232056000,2318000,213067000,578120000,800009000,201633000,-747990000,218524000,-13896000,-90655000,21211000,-69444000,730565000,257000,257000,11832000,6337000,-602000,-7590000,1565000,9511000,-4088000,17824000,-9711000,-9711000,-635000,-4576000,230776000,239000,239000,-239375000,-15462000,-2214000,-2214000,-74000,-2288000,15033000,375115000,5141000,-0.00984,0.00793,0.01472,-0.08555,0.00813,0.86534,0.87604,-11.5202,0.51346,0.18799,0.19011,12.77429,-10.81318,0.16267,6,0.02426,0.00956,23.06572,108.32459
"40","2020_Q1",57.7633870967742,"Up",417514000,-323025000,94489000,-97471000,-70104000,-12179000,-15188000,-2982000,-4692000,-7674000,-4824000,3146000,-1678000,-1678000,-464000,-2142000,-14641000,27911000,27911000,70462000,70462000,27529000,55644000,43830000,7790000,181546000,211741000,337434000,80340000,255255000,549175000,730721000,145257000,29141000,7599000,108517000,207945000,347290000,235224000,2649000,217853000,582514000,790459000,219494000,-747327000,205697000,-10185000,-81188000,21450000,-59738000,730721000,-1678000,-1678000,12179000,-142000,1391000,2501000,-2217000,-12886000,13993000,11750000,-10164000,-10164000,-5769000,-8433000,-255026000,15678000,15678000,242629000,-3900000,-583000,-583000,126000,-456999.999999999,9197000,367290000,-2722000,0.22631,-0.00714,-0.03507,0.24509,-0.02004,0.18592,0.87305,-13.2321,0.50264,-0.46063,-0.46063,13.13557,-10.45528,-0.0856399999999999,4,-0.01374,-0.00501,36.90105,-113.80919
"41","2020_Q2",71.6434920634921,"Up",409859000,-129111000,280748000,-265276000,-47651000,-12295000,-205330000,15472000,-3967000,11505000,11505000,-2512000,8993000,8993000,-550000,8443000,4972000,36376000,36376000,86950000,77607000,29810000,32057000,27956000,223721.817953028,185193000,205035000,328040000,79739000,246607000,533075000,718268000,163747000,33745000,8167000,121835000,215651000,342611000,228451000,607000,215150000,571062000,786713000,220635000,-744463000,202287000,-20768000,-90416000,21971000,-68445000,718268000,8993000,8993000,12295000,6137000,6309000,-1839000,-2281000,4604000,5825000,33734000,-5933000,-5933000,-3622000,-9555000,-4360000,1241000,1241000,-5175000,-15531000,8648000,8648000,-183000,8465000,27767000,363234000,30655000,0.68499,0.03775,0.01213,-0.07264,0.00692,6.16553,0.85876,-11.49409,0.50571,0.15492,0.15384,12.77098,-10.66616,0.95519,5,0.02333,0.05859,11.77146,21.12578
"42","2020_Q3",88.64125,"Up",460623000,-145168000,315455000,-284921000,-48428000,-12377000,-224116000,30534000,-3627000,26907000,26907000,-4956000,21951000,21951000,-1337000,20614000,15961000,75699000,75699000,83181000,73530000,32546000,34047000,33292000,1945600.12370639,225473000,200581000,331683000,79634000,247071000,532264000,757737000,176888000,30699000,11200000,134989000,228919000,327932000,234240000,859000,219838000,562172000,791091000,244028000,-742600000,212104000,-21104000,-55745000,22391000,-33354000,757737000,21951000,21951000,12377000,3244000,16352000,-6732000,-2736000,-3046000,28866000,53924000,-7862000,-7862000,502000,-7360000,-15524000,20463000,20463000,-4878000.00000003,-7222000,39342000,39342000,-19000,39323000,42911000,348039000,56357000,0.68484,0.06629,0.03465,-0.47853,0.02106,3.53092,0.98495,-23.71802,0.45931,0.49361,0.49008,14.24534,-9.51205,1.74291,7,0.04234,0.10267,6.34662,8.91923999999997
"43","2020_Q4",79.16953125,"Down",472941000,-611479000,-138538000,163087000,-52601000,-12764000,228452000,24549000,-3636000,20913000,20913000,-4516000,16397000,16397000,-689000,15708000,11477000,140050000,140050000,79512000,69332000,28702000,31674000,29771000,7471678.36760657,279938000,199291000,337446000,80022000,249970000,536737000,816675000,195493000,32288000,10034000,153171000,260491000,328079000,242252000,899000,227882000,570331000,830822000,255662000,-742323000,216911000,-18510000,-36396000,22249000,-14147000,816675000,16397000,16397000,12764000,-107000,51835000,4193000,3844000,1589000,42209000,80889000,-10474000,-10474000,-1199000,-11673000,-116000,7500000,7500000,-4732000,-4684000,64532000,64532000,-181000,64351000,37313000,348079000,83190000,-0.29293,0.05191,0.02427,-0.81127,0.01405,7.24841,1.07466,-58.72779,0.42621,0.35191,0.34736,14.50161,-8.83881,2.55082,6,0.03265,0.14438,5.57524,8.47403
"44","2021_Q1",91.6622950819672,"Up",469811000,-509282000,-39470999.9999999,59169000,-55562000,-12269000,1.27e+08,19698000,-3661000,16037000,16037000,-2764000,13273000,13273000,-106000,13167000,9327000,130204000,130204000,90135000,90135000,30265000,55803000,43212000,11318000,306407000,200895000,365468000,80791000,273877000,566363000,872770000,222196000,37370000,10263000,174563000,288869000,328292000,264173000,948000,249561000,592465000,881334000,254556000,-741724000,219158000,-14168000,-30277000,21713000,-8564000,872770000,13273000,13273000,12269000,-4709000,-2940999.99999999,-18042000,-1563000,5082000,11582000,17892000,-11383000,-11383000,-1100000,-12483000,0,1418000,1418000,-9936000,-16024000,-10615000,-10615000,769000,-9845999.99999999,31967000,348292000,20407000,-0.0840099999999999,0.04193,0.01985,-1.08909,0.01069,2.18795,1.06071,-102.91149,0.39907,0.28573,0.28316,14.3924,-8.64436,0.62516,6,0.02787,0.03379,6.82229,11.07158
"45","2021_Q2",94.3614285714286,"Up",511746000,-326572000,185174000,-138312000,-50011000,-12876000,-75425000,46862000,-3647000,43215000,43215000,-7932000,35283000,35283000,-1400000,33883000,27113000,171272000,171272000,76008000,76008000,27552000,56749000,45355000,10687000,331581000,195083000,391621000,81019000,303712000,586704000,918285000,223095000,32020000,25308000,165767000,291723000,328538000,280061000,267000,266403000,608599000,900322000,251738000,-737268000,242119000,-11971000,-3444000,21407000,17963000,918285000,35283000,35283000,12876000,5926000,9132000,13349000,2721000,-5350000,-1588000,63217000,-7076000,-7076000,1476000,-6299000,0,1031000,2298000,-9707000,-16080000,40838000,40838000,230000,41068000,59738000,348538000,69726000,0.36185,0.09157,0.05298,1.50938,0.02953,2.57168,1.13663,50.12092,0.37955,0.82773,0.81937,15.62297,-7.7965,2.12865,7,0.05339,0.10784,2.96739,3.78272
"46","2021_Q3",117.9815625,"Up",515008000,-326520000,188488000,-143851000,-53698000,-12477000,-77676000,44637000,-3649000,40988000,40988000,-7398000,33590000,33590000,-1336000,32254000,-76655000,96213000,96213000,75839000,75839000,29843000,60448000,47966000,11398000,262343000,198818000,394583000,81103000,303092000,593401000,855744000,248048000,31496000,28763000,187789000,316504000,403810000,276489000,278000,263194000,680299000,996803000,436097000,-743819000,154769000,-10235000,-163188000,22129000,-141059000,855744000,33590000,33590000,12477000,145999.999999998,18600000,-50000,-2291000,-524000,21465000,64813000,-14467000,-14467000,1299000,-13168000,7.5e+07,-1119000,5802000,-193232000,-126791000,-75146000,-75146000,87000,-75059000,57114000,423810000,68645000,0.36599,0.08667,-0.14884,0.54343,-0.08958,-0.895510000000001,0.82888,-7.06657,0.49525,-2.34018,-2.31656,15.72255,-4.98193,2.09565,3,-0.12377,0.12275,5.73584,7.33914
"47","2021_Q4",125.1415625,"Up",512782000,-330876000,181906000,-143329000,-54070000,-11477000,-77782000,38577000,-3979000,34598000,34598000,-4057000,30541000,30541000,-1285000,29256000,28961000,105813000,105813000,79534000,79534000,33490000,52923000,39249000,13075000,271760000,209072000,409122000,80906000,314290000,618194000,889954000,270133000,42384000,26221000,201528000,318119000,414915000,286435000,178000,273786000,701350000,1019469000,441232000,-755035000,171378000,-9910000,-152335000,22820000,-129515000,889954000,30541000,21798637.0143985,11477000,1466000,22110000,-11002481.0089209,-6996238.1974606,5484723.62850236,20198971.1621801,65594000,-19785000,-15647403.7496679,-1939000,-21724000,0,-9256000,3111000,-5741000,-34187000,9683000,9683000,-83000,9600000,50054000,414915000,56436000,0.35474,0.07523,0.05648,-0.22361,0.03254,1.94869,0.85427,-7.87144,0.46622,0.83656,0.83656,14.81216,-4.40033,1.6302,5,0.0842,0.09869,6.17537,8.0126
"48","2022_Q1",109.850967741935,"Down",528885000,-567845000,-38960000,77125000,-54486000,-11986000,143597000,38165000,-6018000,32147000,32147000,-6606000,25541000,25541000,-918000,24623000,24654000,70610000,70610000,81370000,81370000,34981000,68048000,46310000,12352000,255009000,223856000,406839000,80632000,321051000,630695000,885704000,238204000,28092000,19996000,190116000,287424000,480730000,284510000,258000,270406000,765240000,1052664000,445616000,-806472000,183157000,-9971000,-187670000,20710000,-166960000,885704000,25541000,12317514.4637081,11986000,12863000,-59339000,-7669924.27840419,-7548378.85292947,7698078.67268332,-3047409.26043084,-8948999.99999999,-27231000,-11354575.113425,4910000,-22321000,6.5e+07,21313000,758000,-83459000,-3468000,-34738000,-34738000,-465000,-35203000,50151000,480730000,-29813000,-0.0736600000000001,0.07216,0.04662,-0.14766,0.02784,-1.20926,0.88722,-6.30489,0.54277,0.59135,0.5731,12.68583,-4.50145,-0.71509,4,0.05178,-0.04983,8.1777,10.74597
"49","2022_Q2",88.6370967741936,"Down",542692000,-358751000,183941000,-158346000,-65937000,-11940000,-80469000,25595000,-4264000,21331000,10171000,1256000,11427000,11427000,-933000,10494000,10434000,80669000,80669000,81229000,81229000,38992000,85379000,46461000,9108000,286269000,216253000,383104000,71593000,304976000,599357000,885626000,219610000,35434000,27973000,156203000,278634000,528088000,282025000,354445.182653297,269644000,810113000,1088747000,436716000,-832603000,181124000,-9316000,-224079000,20958000,-203121000,885626000,11427000,11427000,11940000,26551000,-24524000,-2503000,-4731000,7359000,-24649000,25394000,-10233000,-10233000,3168000,-8315000,4.7e+07,-31968000,741000,-9211000,-6787000,10292000,10292000,-233000,10059000,37535000,528088000,1522000,0.33894,0.04716,0.01923,-0.05137,0.01178,0.14587,1.0274,-5.36009,0.59629,0.28846,0.28576,15.00351,-6.19499,0.04208,3,0.03796,0.00251,11.92005,17.48072
"50","2022_Q3",83.8478125,"Down",522665000,-346496000,176169000,-137265000,-44647000,-12734000,-79884000,38904000,-6080000,32824000,32824000,-7094000,25730000,25730000,-297000,25433000,25259000,52124000,52124000,87495000,87495000,38076000,62093000,49743000,8333000,239788000,225382000,371102000,70731000,291714000,596484000,836272000,203843000,40845000,16785000,146213000,250477000,536446000,281973000,236000,258104000,818419000,1068896000,442746000,-875205000,193934000,-11034000,-249559000,16935000,-232624000,836272000,25730000,25730000,12734000,4203000,-22476000,-6674000,916000,5383000,-22101000,20191000,-6923000,-20511000,2715000,-4208000,8e+06,-41595000,1167000,2198000,-43890000,-27907000,-27907000,-638000,-28545000,51638000,536446000,29333000,0.33706,0.07443,0.04833,-0.10858,0.0302,1.16129,0.95733,-4.59495,0.64147,0.70904,0.70509,14.67171,-7.00536,0.82341,4,0.06445,0.05007,9.37918,12.44916
