"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",4.87098360655738,"Up",22686000,-16800000,5886000,-3908000,-3908000,1978000,-81000,-78000,-3000,1897000,1897000,-650000,1247000,1247000,1247000,1247000,215000,215000,19788000,19751000,1253000,18498000,39754000,1778000,5349000,-3571000,15049000,7272000,7125000,120000,16827000,56581000,6788000,3766000,2215000,6788000,10475000,10475000,10475000,17263000,52999000,-12231000,-1450000,39318000,39318000,56581000,1247000,150000,537000,-8115000,-6181000,-61000,-61000,-807000,7.27595761418343e-12,0,6340000,98000,98000,98000,2128000,-8.88178419700125e-16,-5398000,0.25946,0.08719,0.05497,0.03172,0.02204,-4.32879,5.85651,0.43906,0,0.12366,0.12358,2.2497,3.89905,-0.5353,0.08003,0.04125,-0.10841,0.64715,-0.10103,-0.1087
"33","2018_Q2",4.29046875,"Down",15460000,-11332000,4128000,-3685000,-3685000,443000,-99000,-99000,0,344000,344000,-80000,264000,264000,264000,264000,199000,199000,20759000,15825000,1264000,14561000,36783000,1742000,5394000,-3652000,14829000,7072000,7125000,120000,16571000,53354000,9678000,7067000,1805000,9678000,4885000,4885000,4885000,14563000,53109000,-12326000,-1992000,38791000,38791000,53354000,264000,138000,358000,5846000,6606000,-102000,-102000,-807000,-95000,-95000,-6520000,-16000,-16000,-16000,581000,0,6405000,0.26701,0.02865,0.01708,0.00681,0.00495,24.26136,3.80068,0.37542,-5.29395592033938e-23,0.02622,0.02621,1.53525,3.85214,0.63605,0.08014,0.02452,0.14665,3.05682,-0.34251,-0.44921
"34","2018_Q3",4.2247619047619,"Down",20536000,-14166000,6370000,-3827000,-3827000,2543000,-87000,-88000,1000,2456000,2456000,-647000,1809000,1809000,1809000,1809000,154000,154000,19780000,17921000,1263000,16658000,37855000,1907000,5713000,-3806000,14529000,6858000,7125000,119000,16436000,54291000,8912000,6314000,1790000,8912000,5500000,5500000,5500000,14412000,53196000,-12326000,-991000,39879000,39879000,54291000,1809000,155000,463000,-1900000,526999.999999996,-304000,-304000,-805000,0,0,-268000,-45000,-45000,-45000,2698000,0,1141000,0.31019,0.12383,0.08809,0.04536,0.03332,0.630739999999999,4.24764,0.36139,0,0.17936,0.17932,2.03609,3.9539,0.11313,0.07981,0.0576,0.02514,0.445,-0.05708,-0.06056
"35","2018_Q4",4.2215873015873,"Down",18668000,-13071000,5597000,-3446000,-3446000,2151000,-60000,-62000,2000,2091000,2091000,-537000,1554000,1554000,1554000,1554000,63000,63000,22165000,16575000,1566000,15009000,38803000,1926000,5497000,-3571000,14225000,6644000,7125000,97000,16151000,54954000,11229000,7684000,2737000,11229000,3015000,3015000,3015000,14244000,53280000,-12326000,-244000,40710000,40710000,54954000,1554000,167000,394000,1267000,3382000,-154000,-154000,-807000,0,0,-3319000,-91000,-91000,-91000,2318000,0,3968000,0.29982,0.11522,0.08324,0.03817,0.02828,2.55341,3.45561,0.34989,0,0.15392,0.15389,1.84905,4.03229,0.39303,0.07993,0.054,0.09075,0.51931,-0.02718,-0.02929
"36","2019_Q1",4.28049180327869,"Up",21717000,-15505000,6212000,-4236000,-4236000,1976000,-76000,-76000,4.54747350886464e-13,1900000,1900000,-508000,1392000,1392000,1392000,1392000,143000,143000,19534000,19002000,1230000,17772000,38679000,1922000,5673000,-3751000,14178000,6432000,7125000,97000,16100000,54779000,7711000,4201000,2700000,7711000,5680000,5680000,5680000,13391000,53376000,-12326000,338000,41388000,41388000,54779000,1392000,180000,187000,-3300000,-1541000,-191000,-191000,-809000,0,1.81898940354586e-12,1812000,80000,80000,80000,2156000,0,-827000,0.28604,0.09099,0.0641,0.03363,0.02541,-0.594110000000002,5.01608,0.32355,0,0.1376,0.13758,2.1468,4.09134,-0.0817499999999999,0.07997,0.04676,-0.01757,0.58118,-0.06633,-0.07237
"37","2019_Q2",3.83809523809524,"Down",15942000,-11391000,4551000,-3452000,-3452000,1099000,37000,29000,8000,1136000,1136000,-57000,1079000,1079000,1079000,1079000,3467000,3467000,20449000,13607000,1136000,12471000,37523000,1822000,5752000,-3930000,15650000,6218000,7125000,95000.0000000001,17472000,54995000,10689000,6688000,3191000,11622000,1668000,1668000,1668000,13290000,53441000,-12343000,607000,41705000,41705000,54995000,1079000,179000,251000,7183000,8692000,-55000,-55000,-810000,-17000,-17000,-5313000,3324000,3324000,3324000,1278000,0,8463000,0.28547,0.06894,0.06768,0.02587,0.01962,7.84337,3.22862,0.31867,-1.35525271560688e-20,0.10663,0.10663,1.57545,4.12145,0.83635,0.08005,0.04355,0.19512,0.7507,-2.71283,-3.15469
"38","2019_Q3",3.9778125,"Up",18560000,-12691000,5869000,-3476000,-3476000,2393000,-20000,-23000,3000,2373000,2382000,-603000,1779000,1779000,1779000,1779000,2e+05,2e+05,21941000,15208000,994000,14214000,37349000,1850000,5882000,-4032000,14852000,6005000,7125000,95000,16702000,54051000,8997000,6416000,1768000,9679000,1625000,1625000,1625000,11304000,53517000,-12343000,1573000,42747000,42747000,54051000,1779000,178000,931000,-5187000,-2299000,-160000,-160000,-809000,1000,1.45519152283669e-11,-808000,-3267000,-3267000,-3267000,2571000,1.81898940354586e-12,-2173000,0.31622,0.12893,0.09585,0.04162,0.03291,-1.22147,3.85877,0.26444,0,0.17539,0.17539,1.82983,4.21443,-0.21424,0.07976,0.05833,-0.04897,0.45475,-0.07779,-0.08358
"39","2019_Q4",5.32296875,"Up",18587000,-12766000,5821000,-3416000,-3416000,2405000,-34000,-34000,0,2371000,2377000,-282000,2095000,2095000,2095000,2095000,41000,41000,23640000,17883000,2338000,15545000,41564000,1815000,5785000,-3970000,18771000,5791000,7125000,5511000,20586000,62150000,14019000,7864000,2800000,14019000,6568000,6568000,6568000,20587000,53658000,-12408000,313000,41563000,41563000,62150000,2095000,179000,953000,-2433000,794000,-137000,-137000,-813000,-3000,-65000,-816000,-159000,-159000,-159000,2584000,0,296000,0.31318,0.12939,0.11271,0.05041,0.03371,0.14129,2.96483,0.49532,0,0.20606,0.206,1.82817,4.08803,0.02911,0.07996,0.06042,0.00615,0.38807,-0.0158700000000002,-0.0170499999999998
"40","2020_Q1",5.01177419354839,"Down",20307000,-14958000,5349000,-3509000,-3509000,1840000,33000,26000,7000,1873000,1873000,-265000,1608000,1608000,1608000,1608000,282000,282000,17732000,19027000,1224000,17803000,37041000,2e+06,5434000,-3434000,18132000,5577000,7125000,4991000,20132000,57173000,6288000,2972000,2503000,6479000,8258000,8258000,8258000,14737000,53736000,-12408000,1108000,42436000,42436000,57173000,1608000,1035000,-648000,-650000,1345000,-326000,-326000,-3356000,-1.45519152283669e-11,0,-778000,241000.000000001,241000.000000001,241000.000000001,2875000,2.91038304567337e-11,2164000,0.26341,0.09061,0.07918,0.03789,0.02813,1.34577,5.71709,0.34728,0,0.15816,0.15814,1.99734,4.1739,0.21285,0.33009,0.09792,0.04269,2.08706,-0.09809,-0.15326
"41","2020_Q2",4.09285714285714,"Down",16205000,-11182000,5023000,-3380000,-3380000,1643000,-3000,-4000,1000,1640000,1640000,-425000,1215000,1215000,1215000,1215000,6710000,6710000,17330000,16113000,1041000,15072000,40153000,1882000,5503000,-3621000,17665000,5368000,7125000,4560000,19547000,59700000,7940000,4573000,3367000,9335000,6628000,6628000,6628000,15963000,53822000,-12408000,2323000,43737000,43737000,59700000,1215000,396000,417000,5877000,7905000,-50000,-50000,-813000,594875.465978076,-1212347.46747708,-1427000,6428000,6428000,6428000,2039000,737000,8291000,0.30997,0.10139,0.07498,0.02778,0.02035,6.82387,4.30134,0.36498,0.01235,0.11946,0.11946,1.59326,4.30017,0.81516,0.07993,0.03969,0.16224,0.66914,-2.92938,-3.63542
"42","2020_Q3",4.54265625,"Up",21659000,-14565000,7094000,-3802000,-3802000,3292000,-2000,-1000,-1000,3290000,3290000,-803000,2487000,2487000,2487000,2487000,6832000,6832000,19191000,19522000,725000,18797000,45545000,1982000,5786000,-3804000,16890000,5174000,7125000,4124000,18872000,64417000,11742000,8054000,2870000,12826000,6084000,6084000,6084000,18910000,53923000,-12408000,3992000,45507000,45507000,64417000,2487000,377000,690000,-3171000,383000,-262000,-262000,0,1000.00000000023,-2643369.74442288,1000.00000000023,122000.000000001,122000.000000001,122000.000000001,3669000,906000,1039000,0.32753,0.15199,0.11483,0.05465,0.03861,0.417769999999999,3.55099,0.41554,0.01406,0.24366,0.24347,2.12198,4.45841,0.10179,0,0.04737,0.01979,0,-1.61515,-1.80012
"43","2020_Q4",5.84421875,"Up",19476000,-13323000,6153000,-3420000,-3420000,2733000,-6000,-3000,-3000,2727000,2723000,-582000,2141000,2141000,2141000,2141000,3658000,3658000,22842000,20441000,2192000,18249000,46941000,2031000,5086000,-3055000,16834000,4981000,7125000,4620000,18865000,65806000,15681000,8891000,3410000,17192000,6173000,6173000,6173000,23365000,54546000,-14858000,2753000,42441000,42441000,65806000,2141000,371000,938000,-3659000,-209000,-216000,-216000,-819000,-1930000,-2450000,-2749000,-3174000,-3174000,-3174000,3104000,1440000,-189000,0.31593,0.14033,0.10993,0.05045,0.03254,-0.08828,2.7304,0.55053,0.02188,0.20976,0.20961,1.9081,4.15803,-0.01852,0.08024,0.05914,-0.00377999999999998,0.38253,-0.71456,-0.81156
"44","2021_Q1",7.01213114754098,"Up",21824000,-15997000,5827000,-3616000,-3616000,2211000,93000,91000,2000,2304000,70000,168000,238000,238000,238000,238000,613000,613000,20335000,20522000,1184000,19338000,41470000,1458000,4093000,-2635000,15154000,3163000,7125000,4160000,16612000,58082000,9180000,5539000,2841000,12946000,3271000,3271000,3271000,16217000,54876000,-15202000,2191000,41865000,41865000,58082000,238000,387000,2213000,-2179000,659000,-205000,-205000,-3380000,-119000,-344000,-3499000,-3045000,-3045000,-3045000,2598000,1964000,46000,0.267,0.10131,0.01091,0.00568,0.0041,0.19328,3.20331,0.38736,0.03381,0.02382,0.0238,2.18437,4.19027,0.00459999999999995,0.3383,0.07682,0.00098,14.20168,0.52002,0.61104
"45","2021_Q2",7.14142857142857,"Up",18712000,-14056000,4656000,-3366000,-3366000,1290000,-1000,-13000,12000,1289000,3274000,-609000,2665000,2665000,2665000,2665000,4702000,4702000,21955000,18427000,957000,17470000,45084000,1413000,4200000,-2787000,14780000,3034000,7125000,3751000,16193000,61277000,12798000,7860000,4136000,14595000,2856000,2856000,2856000,17451000,55153000,-15381000,4054000,43826000,43826000,61277000,2665000,281000,-1570000,3622000,4998000,-75000,-75000,-8e+05,-34000,-179000,-834000,4089000,4089000,4089000,1571000,0,5727000,0.24882,0.06894,0.14242,0.06081,0.04349,2.14897,3.089,0.39819,0,0.26272,0.26256,1.84464,4.32039,0.56457,0.07886,0.07423,0.12268,0.30019,-2.993,-3.64496
"46","2021_Q3",6.8771875,"Down",20220000,-14152000,6068000,-3164000,-3164000,2904000,77000,-3000,80000,2981000,2978000,-592000,2386000,2386000,2386000,2386000,1904000,1904000,24234000,19201000,716000,18485000,45339000,1441000,4387000,-2946000,13796000,2904000,7125000,3338000,15237000,60576000,10742000,7499000,2437000,12542000,2434000,2434000,2434000,14976000,55464000,-15498000,5634000,45600000,45600000,60576000,2386000,289000,1098000,-5577000,-1804000,-178000,-178000,-802000,-13999.9999999999,-117000,-816000,-2798000,-2798000,-2798000,3193000,0,-1970000,0.3001,0.14362,0.118,0.05232,0.03939,-0.82565,3.61497,0.32842,0,0.23793,0.23692,2.01635,4.54727,-0.19645,0.0799800000000001,0.06637,-0.04101,0.336129999999998,-0.5963,-0.65565
"47","2021_Q4",6.994375,"Up",22742000,-16572000,6170000,-3094000,-3094000,3076000,-39000,-14000,-25000,3037000,3037000,-605000,2432000,2432000,2432000,2432000,2052000,2052000,24467000,22396000,1394000,21002000,48915000,1352000,4462000,-3110000,13212000,2774000,7125000,2927000,14564000,63479000,15753000,7773000,3642000,17569000,2008000,2008000,2008000,19577000,55784000,-15614000,3732000,43902000,43902000,63479000,2432000,294000,694000,-2348000,1072000,-102000,-102000,-802000,-20000,-116000,-822000,148000,148000,148000,3370000,0,1525000,0.2713,0.13526,0.10694,0.0554,0.03831,0.62706,2.78417,0.44593,0,0.24192,0.24094,2.26221,4.36705,0.1517,0.07978,0.07044,0.03322,0.32977,-0.6089,-0.6671
"48","2022_Q1",6.48290322580645,"Down",25686000,-19272000,6414000,-3378000,-3378000,3036000,-20000,-20000,0,3016000,3037000,-602000,2435000,2435000,2435000,2435000,1598000,1598000,20653000,24257000,1031000,23226000,46508000,1357000,4555000,-3198000,12290000,2654000,7125000,2511000,13647000,60155000,9954000,6375000,2752000,11786000,2568000,1548000,2568000,14354000,56054000,-15614000,5361000,45801000,45801000,60155000,2435000,297000,2097000,-831000,3998000,-135000,-135000,-4317000,0,0,-4317000,-454000,-454000,-454000,3333000,0,2969000,0.24971,0.1182,0.0948,0.05316,0.04048,1.2193,3.94604,0.3134,0,0.24083,0.24109,2.5404,4.52982,0.29364,0.42696,0.13959,0.06138,1.7729,-0.47945,-0.52635
"49","2022_Q2",6.00790322580645,"Down",15710000,-10557000,5153000,-3413000,-3413000,1740000,124000,-3000,127000,1864000,1896000,-466000,1430000,1430000,1430000,1430000,4141000,4141000,26350000,18872000,1228000,17644000,49363000,1298000,4665000,-3367000,11898000,2534000,7125000,2239000,13196000,62559000,11501000,9469000,1208000,14542000,1343000,1343000,1343000,15885000,56461000,-15776000,5989000,46674000,46674000,62559000,1434000,289000,998000,777000,3498000,-93000,-59000,-808000,-88000,-162000,-896000,2543000,2543000,2543000,2029000,0,3179000,0.32801,0.11076,0.09102,0.03064,0.02286,2.22308,3.39451,0.34034,5.42101086242752e-20,0.14222,0.14181,1.56241,4.64187,0.31616,0.08036,0.04661,0.06621,0.56503,-2.04091,-2.37989
"50","2022_Q3",6.05078125,"Up",18726000,-13280000,5446000,-2736000,-2736000,2710000,1000,4000,-3000,2711000,2711000,-671000,2040000,2040000,2040000,2040000,2342000,2342000,27735000,18726000,1143000,17583000,48803000,1274000,4807000,-3533000,11355000,2413000,7125000,1817000,12629000,61432000,9329000,6770000,1750000,10686000,2586000,1319000,2586000,13272000,56743000,-15803000,7220000,48160000,48160000,61432000,2040000,287000,688000,-3855000,-840000,-132000,-132000,-824000,-3000,-27000,-827000,-1799000,-1799000,-1799000,2997000,0,-319000,0.29083,0.14472,0.10894,0.04236,0.03321,-0.15637,4.567,0.27558,0,0.2021,0.20166,1.85516,4.77115,-0.0316,0.08163,0.05644,-0.00629,0.40392,-0.78145,-0.86421
