"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",3.38888888888889,"Down",10044000,-5928000,4116000,-3621000,-3405000,-216000,495000,-134000,-134000,361000,361000,-73000,288000,288000,288000,288000,1573000,1573000,1883000,1883000,10112000,641000,641000,14209000,15183000,291000,291000,15474000,29683000,5128000,4055000,1073000,2413000,504000,504000,8045000,5328000,5385000,13430000,32435000,-16182000,16253000,16253000,29683000,288000,471000,56000,456000,1271000,-37000,-37000,-37000,-137000,-161000,-224000,910000,910000,910000,966000,7741000,1458000,0.4098,0.04928,0.02867,0.01772,0.0097,5.0625,1.76619,0.82631,0.26079,0.04936,0.04936,1.72134,2.78543,0.24987,0.01197,0.06062,6.38509,12.46061
"36","2019_Q1",3.36065573770492,"Down",6059000,-3830000,2229000,-3550000,-3262000,-288000,-1321000,-168000,-168000,-1489000,-1489000,16000,-1473000,-1473000,-1473000,-1473000,840000,840000,1982000,1982000,11274000,496000,496000,14592000,14752000,282000,282000,15034000,29626000,5914000,4922000,992000,2663000,911000,911000,9488000,5172000,5229000,14717000,32564000,-17655000,14909000,14909000,29626000,-1473000,487000,54000,127000,-805000,-56000,-56000,-56000,-56000,-24000,128000,-733000,-733000,-733000,-834000,7835000,-779000.000000001,0.36788,-0.21802,-0.24311,-0.0988,-0.04972,0.528850000000001,1.53794,0.98712,0.26446,-0.25184,-0.25184,1.0359,2.54898,-0.13319,-0.0646,-0.03417,-8.38729,-5.29522999999998
"37","2019_Q2",3.17619047619048,"Down",8071000,-4396000,3675000,-3626000,-3439000,-187000,49000,-185000,-185000,-136000,-136000,3000,-133000,-133000,-133000,-133000,1055000,1055000,1794000,1794000,11570000,495000,495000,14914000,14309000,4290000,4290000,18599000,33513000,4854000,3742000,1112000,2667000,556000,556000,8077000,6509000,10332000,18409000,32892000,-17788000,15104000,15104000,33513000,-133000,491000,429000,-1660000,-873000,-48000,-48000,-48000,-48000,1333000,1136000,215000,215000,215000,540000,9176000,-1171000,0.45533,0.00607,-0.01648,-0.00881,-0.00397,8.80451,1.84648,1.21882,0.2738,-0.02247,-0.02247,1.36357,2.55178,-0.19784,-0.00473,-0.04167,15.03889,165.73469
"38","2019_Q3",2.551875,"Down",7690000,-4627000,3063000,-2654000,-2500000,-154000,409000,-182000,-182000,227000,227000,999.999999999996,228000,228000,228000,228000,1094000,1094000,1655000,1655000,11129000,448000,448000,14326000,13867000,4244000,4244000,18111000,32437000,3672000,2838000,834000,2673000,662000,662000,7007000,6349000,10086000,17093000,32904000,-17560000,15344000,15344000,32437000,228000,480000,110000,-524000,294000,-38000,-38000,-38000,-38000,-162000,-217000,39000,39000,39000,889000,9022000,326000,0.39831,0.05319,0.0296500000000001,0.01486,0.00703,1.42982,2.04453,1.11399,0.27814,0.03822,0.03796,1.28919,2.57234,0.05465,0.00811,0.0116,8.91789,19.38386
"39","2019_Q4",2.37265625,"Down",7504000,-4627000,2877000,-2510000,-2364000,-146000,367000,-163000,-163000,204000,204000,-33000,171000,171000,171000,171000,1609000,1609000,1581000,1581000,11206000,424000,424000,14820000,13474000,4143000,4143000,17617000,32437000,3601000,2700000,901000,2700000,758000,758000,7059000,6172000,9832000,16891000,32935000,-17389000,15546000,15546000,32437000,171000,487000,123000,2000,783000,-94000,-94000,-94000,-94000,-158000,-174000,515000,515000,515000,854000,8872000,795000,0.3834,0.04891,0.02279,0.011,0.00527,4.64912,2.09945,1.08652,0.27351,0.02872,0.02888,1.26033,2.61102,0.13352,0.00609,0.02831,8.50468,19.79019
"40","2020_Q1",2.2508064516129,"Down",8634000,-5549000,3085000,-2857000,-2736000,-121000,228000,-127000,-127000,101000,101000,20000,121000,121000,121000,121000,2417000,2417000,2154000,2154000,9653000,504000,504000,14728000,13042000,4017000,4017000,17059000,31787000,2986000,2137000,849000,3008000,365000,365000,6359000,9528000,9582000,15941000,33114000,-17268000,15846000,15846000,31787000,121000,476000,289000,153000,1039000,-44000,-44000,-44000,-44000,-181000,-187000,808000,808000,808000,704000,12536000,793000,0.35731,0.02641,0.01401,0.00764,0.00381,6.55372,2.31609,1.006,0.39438,0.02021,0.02018,1.44237,2.64718,0.13248,0.00426,0.02789,14.37358,44.38158
"41","2020_Q2",2.22968253968254,"Down",7352000,-4377000,2975000,-2707000,-2572000,-135000,268000,-131000,-131000,137000,137000,1000,138000,138000,138000,138000,3325000,3325000,2013000,2013000,10094000,468000,468000,15900000,12706000,3920000,3920000,16626000,32526000,2680000,1633000,1047000,4196000,469000,469000,7345000,5719000,9192000,16537000,33119000,-17130000,15989000,15989000,32526000,138000,467000,118000,-869000,-146000,-131000,-131000,-131000,-131000,1190000,1185000,908000,908000,908000,735000,9915000,-266000,0.40465,0.03645,0.01877,0.00863,0.00424,-1.92754,2.16474,1.03427,0.30483,0.02289,0.02286,1.21944,2.65202,-0.04412,0.0047,-0.00905,8.96599,24.58955
"42","2020_Q3",2.4509375,"Up",8571000,-5270000,3301000,-3019000,-2846000,-173000,282000,-120000,-120000,162000,162000,-7000,155000,155000,155000,155000,4253000,4253000,2083000,2083000,10074000,433000,433000,16843000,12590000,3820000,3820000,16410000,33253000,3278000,2300000,978000,4197000,531000,531000,8006000,5550000,8936000,16942000,33286000,-16975000,16311000,16311000,33253000,155000,451000,270000,411000,1287000,-164000,-164000,-164000,-164000,-156000,-195000,928000,928000,928000,733000,9747000,987000,0.38514,0.0329,0.01808,0.0095,0.00466,6.36774,2.1038,1.03869,0.29312,0.0256,0.02477,1.41552,2.69381,0.16301,0.00526,0.03352,7.49522999999999,19.48227
"43","2020_Q4",2.86921875,"Up",6984000,-4913000,2071000,-2512000,-2301000,-211000,-441000,-123000,-123000,-564000,825000,3000,828000,828000,828000,828000,3322000,3322000,1682000,1682000,9589000,430000,430000,15023000,12363000,3727000,3727000,16090000,31113000,2251000,1550000,701000,3954000,454000,454000,6659000,3998000,7297000,13956000,33304000,-16147000,17157000,17157000,31113000,828000,422000,-1241000,-231000,-222000,-288000,-288000,-288000,-288000,-421000,-421000,-931000,-931000,-931000,-19000,7952000,-541000,0.29653,-0.06314,0.11856,0.04826,0.02661,-0.65338,2.25604,0.81343,0.25558,0.13583,0.13327,1.14567,2.81447,-0.08875,0.02915,-0.01904,-243.68421,-10.49887
"44","2021_Q1",3.57327868852459,"Up",9438000,-6668000,2770000,-2795000,-2675000,-120000,-25000.0000000001,-176000,-176000,-201000,-201000,0,-201000,-201000,-201000,-201000,3767000,3767000,2436000,2436000,8415000,488000,488000,15106000,12136000,3637000,3637000,15773000,30879000,3131000,2287000,844000,2553000,124000,124000,5808000,7998000,8030000,13838000,33389000,-16348000,17041000,17041000,30879000,-201000,408000,195000,1079000,1481000,-177000,-177000,-177000,-177000,-926000,-859000,445000,445000,445000,383000,10551000,1285000,0.29349,-0.00264999999999999,-0.0213,-0.0118,-0.00651000000000001,-6.39303,2.6009,0.81204,0.34169,-0.03317,-0.03258,1.55743,2.81205,0.21205,-0.00727999999999999,0.04652,17.71279,-271.36
"45","2021_Q2",3.04587301587302,"Down",8964000,-5292000,3672000,-3053000,-2897000,-156000,619000,-95000,-95000,524000,524000,-4000,520000,520000,520000,520000,1061000,1061000,5036000,5036000,9234000,374000,374000,15705000,11905000,3557000,3557000,15462000,31167000,3604000,2471000,1133000,2068000,156000,156000,5828000,7732000,7760000,13588000,33407000,-15828000,17579000,17579000,31167000,520000,4e+05,163000,-2941000,-1858000,-171000,-171000,-171000,-171000,-674000,-677000,-2706000,-2706000,-2706000,1019000,9800000,-2089000,0.40964,0.06905,0.05801,0.02958,0.01668,-4.01731,2.69475,0.77297,0.31444,0.08491,0.08238,1.46375,2.87051,-0.34112,0.01897,-0.07622,8.57605,14.11793
"46","2021_Q3",2.9825,"Down",9419000,-5657000,3762000,-2680000,-2553000,-127000,1082000,-101000,-101000,981000,981000,-11000,970000,970000,970000,970000,2134000,2134000,3077000,3077000,9808000,339000,339000,15358000,11901000,3618000,3618000,15519000,30877000,3083000,1833000,1250000,1454000,110000,110000,4647000,7593000,7617000,12264000,33470000,-14857000,18613000,18613000,30877000,971000,398000,218000,697000,2284000,-350000,-246589.801646516,-246589.801646516,-350000,-825000,-861000,1073000,1073000,1073000,1480000,9047000,1838000,0.39941,0.11487,0.10298,0.05211,0.03141,1.89485,3.30493,0.65889,0.293,0.15839,0.15368,1.53805,3.03935,0.30013,0.03504,0.06639,4.67095000000001,6.38909000000001
"47","2021_Q4",3.17703125,"Up",9459000,-6221000,3238000,-2730000,-2530000,-2e+05,508000,-116000,-116000,392000,392000,-6000,386000,386000,386000,386000,2298000,2298000,4526000,4526000,8724000,293000,293000,15841000,11936000,3524000,3524000,15460000,31301000,3566000,2275000,1291000,1008000,83000,83000,4657000,7427000,7447000,12104000,33668000,-14471000,19197000,19197000,31301000,386000,404000,338000,-210000,918000,-224000,-333319.735528689,-333319.735528689,-224000,-530000,-530000,164000,164000,164000,912000,8435000,484000,0.34232,0.05371,0.04081,0.02011,0.01233,1.25389,3.40155,0.63052,0.26948,0.06297,0.06112,1.54307,3.13165,0.07896,0.01396,0.0175,6.72917,12.08071
"48","2022_Q1",2.96822580645161,"Down",8126000,-5232000,2894000,-2529000,-2300000,-229000,365000,-80000,-80000,285000,285000,-7000,278000,278000,278000,278000,2589000,2589000,3664000,3664000,9466000,545000,545000,16264000,11885000,3896000,3896000,15781000,32045000,3774000,2362000,1412000,883000,164000,164000,4821000,7722000,7737000,12558000,33681000,-14194000,19487000,19487000,32045000,277000,397000,60000,301000,1035000,-525000,-390139.801646516,-390139.801646516,-525000,-206000,-219000,291000,291000,291000,762000,8605000,545000,0.35614,0.04492,0.03421,0.01427,0.00868,1.96043,3.37357,0.64443,0.26853,0.04448,0.04849,1.30016,3.11792,0.0872000000000001,0.00989,0.01939,7.89501,16.48219
"49","2022_Q2",3.02741935483871,"Up",6716000,-4398000,2318000,-2743000,-2497000,-246000,-425000,-44000,-44000,-469000,-469000,-3000,-472000,-472000,-472000,-472000,737000,737000,3201000,3201000,10699000,386000,386000,15023000,11916000,3777000,3777000,15693000,30716000,3264000,1927000,1337000,730000,79000,79000,4073000,7598000,7609000,11682000,33700000,-14666000,19034000,19034000,30716000,-472000,417000,140000,-1384000,-1299000,-376000,-376000,-376000,-376000,-174000,-177000,-1852000,-1852000,-1852000,-8000,8328000,-1765000,0.34515,-0.06328,-0.07028,-0.0248,-0.01537,3.73941,3.68844,0.61374,0.27113,-0.07608,-0.07608,1.08253,3.06802,-0.28449,-0.01724,-0.06448,-948.875,-17.86118
"50","2022_Q3",2.62453125,"Down",5179000,-3389000,1790000,-2627000,-2421000,-206000,-837000,-103000,-103000,-940000,-940000,19239.2141374539,-940000,-940000,-940000,-940000,379000,379000,2118000,2118000,12088000,356000,356000,14941000,11747000,3665000,3665000,15412000,30353000,2622000,1544000,1078000,1871000,92000,92000,4585000,7477000,7482000,12067000,33892000,-15606000,18286000,18286000,30353000,-940000,417000,318000,-956000,-1161000,-314000,-249850.330589139,-249850.330589139,-314000,1124000,1117000,-358000,-358000,-358000,-420000,9348000,-11248308.3130246,0.34563,-0.16161,-0.1815,-0.05141,-0.03097,5.56182584349406,3.25867,0.6599,0.30798,-0.15152,-0.15152,0.83478,2.94745,-1.81088812092463,-0.03401,-0.407426465686879,-21.3547599999999,-10.71565
