"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",12.8519672131148,"Up",376034000,-340081000,35953000,-40262000,-35123000,-2394000,-2745000,-4309000,-7545000,-7651000,2112000,-11854000,-30500000,-5239000,-35739000,-35739000,5461000,-30278000,-32690000,143570000,143570000,226703000,226703000,339836000,73084000,73084000,783193000,421248000,85671000,81892000,506919000,1290112000,195497000,195497000,43651000,133774000,133774000,372922000,407171000,86742000,13545000,73197000,493913000,866835000,531708000,-8606000,-44022000,-158151000,320929000,102348000,423277000,1290112000,-35739000,14415000,34514000,733000,13923000,-9046000,-9346000,-15453000,-15752000,-11175000,-11175000,-930000,-12105000,10106000,450822000,7032000,0.09561,-0.01146,-0.08693,-0.07723,-0.02534,-0.21511,2.10015,2.04791,0.34944,-0.54839,-0.54839,6.30813,5.38372,0.11796,-0.03371,0.00732,30.40293,-71.30471
"31","2018_Q2",11.47171875,"Down",425382000,-365821000,59561000,-41461000,-35921000,-2877000,-2663000,18100000,-4200000,-7518000,7750000,13900000,13900000,786000,14686000,14686000,1679000,16365000,14022000,112429000,112429000,294505000,294505000,368435000,75561000,75561000,850930000,417426000,84699000,82792000,502125000,1353055000,227954000,227954000,55171000,130284000,130284000,413409000,407608000,84624000,14376000,70248000,492232000,905641000,529480000,-8515000,-27868000,-149845000,343252000,104162000,447414000,1353055000,14686000,15330000,6485000,-72184000,-35683000,-7807000,-7013000,10760000,10461000,-32235000,-32235000,1094000,-31141000,33430000,462779000,-47347000,0.14002,0.04255,0.03296,0.03134,0.01036,-3.37662,2.05832,2.02417,0.34203,0.23483,0.23418,7.12401,5.74856,-0.79294,0.0144,-0.04759,10.48011,19.35635
"32","2018_Q3",8.40809523809524,"Down",428904000,-370592000,58312000,-42087000,-36699000,-2754000,-2634000,16225000,-8805000,-7672000,2477000,7420000,7420000,-1683000,5737000.00000001,5737000.00000001,-39999.9999999995,5696999.99999999,1018999.99999999,106491000,106491000,282400000,282400000,372732000,74629000,74629000,836252000,393264000,80854000,78529000,474118000,1310370000,226041000,226041000,52358000,129057000,129057000,407456000,409613000,77797000,11765000,66032000,487410000,894866000,524466000,-8407000,-22471000,-188518000,305070000,110434000,415504000,1310370000,5737000.00000001,14845000,2733000,-17559000,5756000,-10609000,-10519000,4791000,4492000,-271000,-271000,-5667000,-5938000,31070000,461971000,4585000,0.13596,0.03783,0.00238,0.00245,0.000780000000000001,4.49951,2.05237,2.15369,0.35255,0.01705,0.01702,7.17831,5.10577,0.07674,0.00138,0.0048,11.44126,21.9094
"33","2018_Q4",6.42634920634921,"Down",384719000,-341015000,43704000,-34860000,-29688000,-2591000,-2581000,8844000,696000,-7596000,7437000,9540000,9540000,-2841000,6699000,6699000,-383000,6316000,2271000,96799000,96799000,259354000,259354000,381969000,66553000,66553000,804675000,384985000,84420000,82100000,469405000,1274080000,208237000,208237000,50257000,123244000,123244000,381738000,411019000,72783000,10359000,62424000,483802000,865540000,520389000,-8004000,-16456000,-200168000,295761000,112779000,408540000,1274080000,6699000,13220000,-5146000,-17552000,-2779000,-8082000,-7482000,2418000,2116000,-8145000,-8145000,-1547000,-9692000,22064000,461276000,-729000,0.1136,0.02299,0.0059,0.00556,0.00178,-0.321,2.10792,2.11862,0.36205,0.03792,0.03792,6.42301,4.93783,-0.01217,0.00273,-0.00077,16.51908,41.21178
"34","2019_Q1",5.58868852459016,"Down",363403000,-326714000,36689000,-37614000,-32481000,-2924000,-2209000,-925000,-10128000,-5563000,-573000.000000001,-11053000,-11053000,-3024000,-14077000,-14077000,1786000,-12291000,-13432000,81685000,81685000,241832000,241832000,395735000,60229000,60229000,779481000,384872000,86903000,84029000,471775000,1251256000,212129000,212129000,51885000,111054000,111054000,375068000,409572000,76706000,9416000,67290000,486278000,861346000,519498000,-7831000,-29048000,-203571000,279048000,110862000,389910000,1251256000,-14077000,14223000,-1523000,-2093000,-3470000,-12502000,-11917000,768000,467000,-14920000,-14920000,-194000,-15114000,13298000,461457000,1727000,0.10096,-0.00255,-0.03696,-0.03445,-0.01073,-0.128569999999999,2.07824,2.20909,0.3688,-0.22416,-0.22392,6.0646,4.65685,0.0288200000000001,-0.01415,0.00186,28.55858,-410.56432
"35","2019_Q2",5.40269841269841,"Down",410374000,-365110000,45264000,-41128000,-35905000,-2617000,-2606000,4136000,-1214000,-7933000,996000,2922000,2922000,-1915000,1007000,1007000,970000,1977000,1201000,68315000,68315000,295333000,295333000,412238000,61587000,61587000,837473000,378684000,109099000,104847000,487783000,1325256000,250918000,250918000,66347000,121979000,121979000,439244000,432762000,92779000,9627000,83152000,525541000,964785000,528305000,-7567000,-23026000,-213319000,284393000,76078000,360471000,1325256000,1007000,14673000,-7651000,-23648000,-15619000,-9453000,-34259000,37041000,36740000,-13138000,-13138000,-232000,-13370000,18809000,499109000,-12377000,0.1103,0.01008,0.00293,0.00333,0.00091,-10.30558,1.90662,2.67646,0.37661,0.02003,0.02003,6.84573,4.74415,-0.20647,0.00158,-0.013,22.90361,104.15716
"36","2019_Q3",3.269375,"Down",390597000,-352289000,38308000,-40738000,-35746000,-2544000,-2448000,-2430000,-7465000,-8295000,2069000,-9895000,-9895000,3218000,-6677000,-6677000,254000,-6423000,-7084000,66366000,66366000,272006000,272006000,385368000,62473000,62473000,786213000,375997000,107318000,105353000,483315000,1269528000,209422000,209422000,71366000,111834000,111834000,392622000,445388000,87910000,8819000,79091000,533298000,925920000,527763000,-7082000,-29751000,-207996000,282934000,60674000,343608000,1269528000,-6677000,13136000,7032000,-7873000,5618000,-7272000,-22231000,13599000,13301000,-3312000,-3312000,1363000,-1949000,10706000,516754000,-7657000,0.09808,-0.00622,-0.01814,-0.02062,-0.00558,1.08089,2.00247,2.6947,0.40704,-0.11807,-0.11807,6.50995,4.71557,-0.12762,-0.00716,-0.00807,42.06875,-185.34486
"37","2019_Q4",2.96625,"Down",345905000,-318805000,27100000,-32209000,-34954000,-2309000,5054000,-5109000,-12871000,-7523000,-3082000,-17980000,-17980000,-2064000,-20044000,-20044000,9e+05,-19144000,-19635000,78603000,78603000,221228000,221228000,351871000,80692000,80692000,732394000,366121000,91087000,89430000,457208000,1189602000,182337000,182337000,64228000,119383000,119383000,365948000,464827000,85651000,7435000,78216000,550478000,916426000,533538000,-6490000,-49197000,-233620000,244231000,28945000,273176000,1189602000,-20044000,13538000,-5415000,53134000,41213000,-9529000,-40132000,14217000,13915000,14996000,14996000,-2759000,12237000,8429000,529055000,54098000,0.07835,-0.01477,-0.05676,-0.07188,-0.01651,-2.75518,2.00136,3.35471,0.44473,-0.32635,-0.32635,5.74927,4.05935,0.89916,-0.02177,0.06093,53.44074,-88.16833
"38","2020_Q1",2.55645161290323,"Down",301790000,-283458000,18332000,-43361000,-31092000,-2389000,-9880000,-25029000,1938000,-8253000,8410000,-23091000,-23091000,-2714000,-25805000,-25805000,970000,-24835000,-24835000,66799000,66799000,185238000,185238000,333356000,66072000,58869000,651465000,367595000,95247000,92916000,462842000,1114307000,158647000,158647000,61253000,107253000,107253000,327153000,438469000,84697000,6672000,78025000,523166000,850319000,532070000,-4234000,-74334000,-218651000,234851000,29137000,263988000,1114307000,-25805000,13029000,-3161000,30167000,14230000,-10160000,4031000,-31531000,-31834000,-13573000,-13573000,1769000,-11804000,-1.2e+07,499722000,10721000,0.06074,-0.08294,-0.08229,-0.09408,-0.02229,-0.43169,1.99132,3.22105,0.44846,-0.41193,-0.41193,5.00572,3.89542,0.17783,-0.02892,0.01264,-36.07692,-17.29686
"39","2020_Q2",1.34396825396825,"Down",341500000,-311677000,29823000,-36847000,-31957000,-2410000,-2480000,-7024000,-17841000,-7920000,7321000,-24865000,-27444000,-55000,-27499000,-27499000,2013000,-25486000,-25486000,60378000,60378000,211982000,211982000,306071000,60461000,60461000,638892000,344078000,77284000,77284000,421362000,1060254000,179933000,179933000,46275000,115744000,115744000,341952000,444550000,69830000,2644000,67186000,514380000,856332000,532820000,-4212000,-100122000,-249347000,179139000,24783000,203922000,1060254000,-27499000,13785000,12978000,4708000,3972000,-6228000,5067000,-7991000,-8293000,746000,746000,-7167000,-6421000,6761000,490825000,5296000,0.08733,-0.02057,-0.07463,-0.12498,-0.02404,-0.2078,1.86837,4.19931,0.46293,-0.42223,-0.42223,5.65772,2.96784,0.08774,-0.03294,0.00693,63.66617,-61.28232
"40","2020_Q3",2.20234375,"Up",286133000,-255259000,30874000,-32968000,-28441000,-2132000,-2395000,-2094000,437999.999999996,-7906000,-492000,-1656000,-2663000,-1980000,-4643000,-4643000,-402000,-5045000,-5045000,80160000,80160000,192410000,192410000,294537000,74094000,74094000,641201000,337646000,52447000,51842000,390093000,1031294000,136802000,136802000,40784000,120985000,120985000,298571000,462240000,68826000,2820000,66006000,531066000,829637000,531577000,-2055000,-105167000,-248982000,175373000,26284000,201657000,1031294000,-4643000,13334000,-5928000,-1234000,1529000,-1974000,6831000,10778000,11085000,19445000,19445000,337000,19782000,11240000,503024000,10012000,0.1079,-0.00731999999999999,-0.01763,-0.02502,-0.00489,-1.98454,2.14757,4.1141,0.48776,-0.08325,-0.0832499999999999,4.72151,2.89385,0.16521,-0.00613,0.01294,37.62135,-201.94078
"41","2020_Q4",4.1028125,"Up",304772000,-273455000,31317000,-38125000,-33451000,-2240000,-2434000,-6808000,-6304000,-7250000,2282000,-13112000,-13112000,-342000,-13454000,-13454000,811000,-12643000,-12643000,98772000,98772000,192764000,192764000,284231000,62648000,56008000,638415000,324959000,52973000,51933000,377932000,1016347000,150879000,150879000,32641000,131734000,131734000,315254000,431789000,75094000,1774000,73320000,506883000,822137000,531895000,-1199000,-117810000,-243048000,169838000,24372000,194210000,1016347000,-13454000,13257000,1355000,40772000,41930000,-5706000,13466000,-33397000,-36728000,18668000,18668000,-56000,18612000,6449000,464430000,41857000,0.10276,-0.02234,-0.04148,-0.0651,-0.01244,-3.31069,2.02508,4.23324,0.45696,-0.20751,-0.20751,5.00217,2.78752,0.68699,-0.01723,0.05705,56.69995,-53.71005
"42","2021_Q1",7.84262295081967,"Up",326908000,-289803000,37105000,-41730000,-37093000,-2231000,-2406000,-4625000,926999.999999998,-7478000,9688000,-3698000,-14912000,-4569000,-19481000,-19481000,2267000,-17214000,-17214000,117431000,117431000,193014000,193014000,293679000,54475000,54475000,658599000,319854000,53431000,50840000,373285000,1031884000,167210000,167210000,31119000,131382000,131382000,329711000,433584000,67324000,3895000,63429000,500908000,830619000,532742000,-1199000,-135025000,-217254000,179264000,22001000,201265000,1031884000,-19481000,14279000,12753000,2247000,9798000,-7772000,7857000,-4144000,-4628999.99999999,13026000,13026000,5633000,18659000,9654000,464703000,8697999.99999999,0.1135,-0.01415,-0.05266,-0.08553,-0.01668,-0.50529,1.9975,4.12699,0.45034,-0.28044,-0.28044,5.3258,2.92047,0.1417,-0.02347,0.01186,35.97183,-75.08584
"43","2021_Q2",9.75095238095238,"Up",403518000,-350253000,53265000,-39034000,-34028000,-2553000,-2453000,14231000,1586000,-7523000,-368000,15817000,15817000,-2594000,13223000,13223000,351000,13574000,13574000,95954000,95954000,249904000,249904000,313472000,56235000,56235000,715565000,307620000,48263000,46077000,355883000,1071448000,221613000,221613000,31076000,129557000,129557000,382246000,440576000,59494000,3194000,56300000,500070000,882316000,533569000,-1117000,-121451000,-243006000,167995000,21137000,189132000,1071448000,13223000,12560000,-9549000,-32196000,-15962000,-8316000,-8316000,9483000,7074000,-17204000,-17204000,-4273000,-21477000,26791000,471652000,-11127000,0.132,0.03527,0.03364,0.07177,0.01267,-0.81973,1.872,4.66508,0.4402,0.22084,0.21748,6.5649,2.73314,-0.18103,0.01885,-0.01545,14.02329,26.39997
"44","2021_Q3",7.8984375,"Down",438639000,-377169000,61470000,-37751000,-32566000,-2528000,-2657000,23719000,-8134000,-8598000,1232000,15585000,-434999.999999993,-1991000,-2426000,-2426000,-347000,-2773000,-2773000,95804000,95804000,265729000,265729000,345339000,65368000,65368000,772240000,310210000,44988000,42208000,355198000,1127438000,239001000,239001000,34296000,140316000,140316000,413613000,452730000,57918000,4278000,53640000,510648000,924261000,534697000,-1121000,-124224000,-227802000,181550000,21627000,203177000,1127438000,-2426000,12358000,17678000,-29135000,-1525000,-5572000,-5572000,3406000,3775000,-3322000,-3322000,3172000,-150000,36077000,487026000,3361000,0.14014,0.05407,-0.00632,-0.01365,-0.00246000000000001,-1.21204,1.86706,4.54904,0.43198,-0.04511,-0.04443,7.13629,2.95367,0.05468,-0.00371000000000001,0.00449,10.84408,16.49403
"45","2021_Q4",7.84453125,"Down",450382000,-390090000,60292000,-37392000,-32217000,-2370000,-2805000,22900000,-6754000,-7818000,648000,16146000,16146000,-5342000,10804000,10804000,383000,11187000,11187000,94640000,94640000,261447000,261447000,373012000,67144000,67144000,796243000,302590000,45426000,42924000,348016000,1144259000,253819000,253819000,30867000,152226000,152226000,436912000,450999000,56754000,3142000,53612000,507753000,944665000,535702000,-1121000,-113037000,-243628000,177916000,21678000,199594000,1144259000,10804000,11427000,-2398000,-4636000,15197000,-9223000,-9223000,-3545000,-3574000,2400000,2400000,-3564000,-1164000,34327000,481866000,25810000,0.13387,0.05085,0.02484,0.05605,0.00978,2.30714,1.82243,4.73293,0.42112,0.17945,0.1787,7.22461,2.85396,0.41402,0.01515,0.03496,11.28051,16.90943
"46","2022_Q1",11.6885483870968,"Up",487676000,-425161000,62515000,-38190000,-32961000,-2653000,-2576000,24325000,-4813000,-8282000,574000,19512000,19512000,8778000,28290000,28290000,-692000,27598000,27598000,98108000,98108000,255180000,255180000,392615000,67401000,67401000,813304000,301109000,68272000,51441000,369381000,1182685000,278099000,278099000,32500000,140214000,140214000,450813000,452451000,52249000,3978000,48271000,504700000,955513000,562340000,-1121000,-85439000,-246480000,229300000,-2128000,227172000,1182685000,28290000,11646000,-8714000,-18206000,13016000,-15691000,-14488000,5623000,6671000,5199000,5199000,-1731000,3468000,35971000,484951000,-6704000,0.12819,0.04988,0.05659,0.12149,0.02334,-0.242920000000001,1.80408,4.20612,0.41004,0.4427,0.44086,7.82284,3.67822,-0.10754,0.03611,-0.00877,10.7543,15.9031
"47","2022_Q2",16.1466129032258,"Up",555997000,-469268000,86729000,-42021000,-36227000,-2920000,-2874000,44708000,-11449000,-7907000,-8859000,33259000,33259000,-8681000,24578000,24578000,-656000,23922000,23922000,98144000,98144000,309411000,309411000,424200000,79715000,79715000,911470000,298285000,59546000,43658000,357831000,1269301000,302382000,302382000,37853000,151660000,151660000,491895000,484600000,47086000,4124000,42962000,531686000,1023581000,561849000,-24782000,-61517000,-227176000,248374000,-2654000,245720000,1269301000,24578000,11348000,7175000,-61618000,-18517000,-6881000,2412000,37299000,11713000,-4392000,-4392000,4428000,36000,56056000,522453000,-3762000,0.15599,0.08041,0.04303,0.09735,0.01885,-0.15726,1.85298,4.16564,0.41161,0.38055,0.37873,8.84486,3.95116,-0.05985,0.02934,-0.00461,7.56938,9.49067
"48","2022_Q3",14.346875,"Down",572895000,-463242000,109653000,-39952000,-34669000,-2238000,-3045000,69701000,18221000,-7707000,23694000,87922000,87922000,-19001000,68921000,68921000,-1750000,67171000,67171000,116703000,116703000,299070000,299070000,422764000,90844000,90844000,929381000,296832000,62971000,46576000,359803000,1289184000,284802000,284802000,44059000,168398000,168398000,497259000,441121000,45134000,4892000,40242000,486255000,983514000,562774000,-23848000,5654000,-245235000,299345000,6325000,305670000,1289184000,68921000,10897000,-20816000,8433000,67435000,-12286000,-12286000,-34288000,-34330000,20819000,20819000,-2260000,18559000,80598000,485180000,95746000,0.1914,0.12166,0.11725,0.21975,0.0521,1.42541,1.86901,3.21757,0.37635,1.05185,1.04384,8.97111,4.68752,1.49931,0.08035,0.11453,4.57179,5.28654
