"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",198.505396825397,"Up",1.4931e+10,-1.0823e+10,4.108e+09,-2.941e+09,-7.4e+08,-2.201e+09,1.167e+09,-8.9e+07,-1.19e+08,3e+07,1.078e+09,1.078e+09,-3.78e+08,7e+08,7e+08,7e+08,7e+08,3.059e+09,3.059e+09,7.575e+09,7.575e+09,1.418e+09,9.01e+08,5.17e+08,1.2052e+10,2.5307e+10,4.8918e+10,-2.3611e+10,8.989e+09,6.921e+09,2.068e+09,3.4296e+10,4.6348e+10,7.764e+09,2.954e+09,4.81e+09,4.3e+07,7.807e+09,1.3553e+10,1.0457e+10,5.845e+09,2.148e+09,2.464e+09,2.401e+10,3.1817e+10,2.978e+09,-7.432e+09,1.941e+10,-4.25e+08,1.4531e+10,1.4531e+10,4.6348e+10,7e+08,7.4e+08,1.85e+08,38999999.9999998,1.664e+09,-1.466e+09,9.1e+07,-1.375e+09,-1.07e+08,-31000000.000001,1.2e+07,1.24e+08,8e+06,-1.18e+08,1.71e+08,1.71e+08,-1.01e+08,70000000.0000002,1.907e+09,1.3596e+10,8.58e+08,0.27513,0.07816,0.04688,0.04817,0.0151,1.22571,1.54374,2.18959,0.29335,2.63158,2.59259,56.13158,54.62782,3.22556,0.40226,0.02092,0.02224,0.15286,5.52543,9.02913
"31","2017_Q4",213.696031746032,"Up",1.4997e+10,-1.105e+10,3.947e+09,-2.922e+09,-7.62e+08,-2.16e+09,1.025e+09,-1.26e+08,-1.22e+08,-4e+06,8.99e+08,8.99e+08,-3.37e+08,5.62e+08,5.62e+08,5.62e+08,5.62e+08,3.173e+09,3.173e+09,7.418e+09,7.418e+09,1.347e+09,8.2e+08,5.27e+08,1.1938e+10,2.5613e+10,4.9752e+10,-2.4139e+10,9.23e+09,7e+09,2.23e+09,3.4843e+10,4.6781e+10,7.405e+09,2.707e+09,4.698e+09,4.5e+07,7.45e+09,1.4713e+10,9.434e+09,4.67e+09,2.299e+09,2.465e+09,2.4147e+10,3.1597e+10,3.008e+09,-7.32e+09,1.983e+10,-3.34e+08,1.5184e+10,1.5184e+10,4.6781e+10,5.62e+08,7.62e+08,2.23e+08,-1.537e+09,1e+07,-1.109e+09,2.3e+07,-1.086e+09,-1.06e+08,1.184e+09,7.7e+07,1.01e+08,7e+06,1.162e+09,8.6e+07,8.6e+07,2.8e+07,1.14e+08,1.787e+09,1.4758e+10,-5.22e+08,0.26319,0.06835,0.03747,0.03701,0.01201,-0.92883,1.60242,2.08094,0.31547,2.11278,2.0738,56.3797,57.08271,-1.96241,0.3985,0.01696,-0.01326,0.18861,6.48293,11.30244
"32","2018_Q1",236.732131147541,"Up",1.5728e+10,-1.1097e+10,4.631e+09,-3.074e+09,-7.54e+08,-2.32e+09,1.557e+09,-1.21e+08,-1.25e+08,4e+06,1.436e+09,1.46e+09,-4.4e+08,1.02e+09,1.02e+09,1.02e+09,1.02e+09,3.969e+09,3.969e+09,7.599e+09,7.599e+09,1.06e+09,5.46e+08,5.14e+08,1.2628e+10,2.5981e+10,5.0626e+10,-2.4645e+10,9.943e+09,7.154e+09,2.789e+09,3.5924e+10,4.8552e+10,7.896e+09,2.752e+09,5.144e+09,2.2e+07,7.918e+09,1.4909e+10,9.652e+09,4.487e+09,2.485e+09,2.68e+09,2.4561e+10,3.2479e+10,3.037e+09,-7.382e+09,2.0833e+10,-4.15e+08,1.6073e+10,1.6073e+10,4.8552e+10,1.02e+09,7.54e+08,4.63e+08,48000000.0000002,2.285e+09,-1.326e+09,1.2e+07,-1.314e+09,-1.07e+08,-32999999.9999998,-7.9e+07,7.2e+07,1.6e+07,-2.03e+08,7.68e+08,7.68e+08,2.8e+07,7.96e+08,2.311e+09,1.4931e+10,1.473e+09,0.29444,0.099,0.06485,0.06346,0.02101,1.44412,1.59485,2.02072,0.30753,3.82022,3.77778,58.90637,60.1985,5.51685,0.40075,0.02772,0.03623,0.1049,4.7434,7.04046
"33","2018_Q2",232.36890625,"Down",1.5297e+10,-1.1305e+10,3.992e+09,-3.021e+09,-7.51e+08,-2.27e+09,9.71e+08,-1.35e+08,-1.14e+08,-2.1e+07,8.36e+08,9.82e+08,-3.86e+08,5.96e+08,5.96e+08,5.96e+08,5.96e+08,3.503e+09,3.503e+09,8.006e+09,8.006e+09,1.213e+09,6.97e+08,5.16e+08,1.2722e+10,2.6235e+10,5.154e+10,-2.5305e+10,1.0393e+10,7.382e+09,3.011e+09,3.6628e+10,4.935e+10,7.771e+09,2.938e+09,4.833e+09,1.9e+07,7.79e+09,1.5137e+10,9.805e+09,4.313e+09,2.73e+09,2.762e+09,2.4942e+10,3.2732e+10,3.062e+09,-7.275e+09,2.1156e+10,-3.25e+08,1.6618e+10,1.6618e+10,4.935e+10,5.96e+08,7.51e+08,2.19e+08,-9.76e+08,5.9e+08,-1.044e+09,6e+06,-1.038e+09,-1.34e+08,-1.2e+07,6.4e+07,1.5e+08,-6e+06,-8.8e+07,-5.36e+08,-5.36e+08,7e+07,-4.66e+08,1.722e+09,1.5156e+10,8.8e+07,0.26097,0.06348,0.03896,0.03586,0.01208,0.14765,1.63312,1.96967,0.30711,2.22388,2.19118,57.07836,62.00746,0.32836,0.5,0.01756,0.00212,0.22483,6.76713,12.00103
"34","2018_Q3",227.833650793651,"Down",1.6313e+10,-1.2047e+10,4.266e+09,-3.151e+09,-7.56e+08,-2.395e+09,1.115e+09,-1.23e+08,-1.24e+08,1e+06,9.92e+08,1.139e+09,-3.64e+08,7.75e+08,7.75e+08,7.75e+08,7.75e+08,2.768e+09,2.768e+09,8.655e+09,8.655e+09,1.458e+09,9.25e+08,5.33e+08,1.2881e+10,2.729e+10,5.324e+10,-2.595e+10,1.011e+10,7.325e+09,2.785e+09,3.74e+10,5.0281e+10,7.966e+09,3.147e+09,4.819e+09,2.61e+08,8.227e+09,1.518e+10,9.819e+09,3.868e+09,3.088e+09,2.863e+09,2.4999e+10,3.3226e+10,3.087e+09,-7.383e+09,2.1785e+10,-4.34e+08,1.7055e+10,1.7055e+10,5.0281e+10,7.75e+08,7.56e+08,3.27e+08,-9.5e+08,9.08e+08,-1.577e+09,6e+06,-1.615e+09,-1.34e+08,2.34e+08,-1.29e+08,5.5e+07,9e+06,-19999999.9999999,-7.27e+08,-7.27e+08,-8e+06,-7.35e+08,1.871e+09,1.5441e+10,-2.92e+08,0.26151,0.06835,0.04751,0.04544,0.01541,-0.37677,1.5657,1.94817,0.30709,2.89179,2.84926,60.8694,63.63806,-1.08955,0.5,0.02148,-0.0069,0.1729,6.77338,11.36592
"35","2018_Q4",199.558888888889,"Down",1.6526e+10,-1.2038e+10,4.488e+09,-3.194e+09,-7.86e+08,-2.408e+09,1.294e+09,-1.27e+08,-1.25e+08,-2e+06,1.167e+09,8.74e+08,1.2e+09,2.074e+09,2.074e+09,2.074e+09,2.074e+09,2.789e+09,2.789e+09,8.671e+09,8.671e+09,2.115e+09,1.592e+09,5.23e+08,1.3575e+10,2.7697e+10,5.4377e+10,-2.668e+10,1.0579e+10,7.464e+09,3.115e+09,3.8276e+10,5.1851e+10,7.94e+09,3.102e+09,4.838e+09,1.563e+09,9.503e+09,1.6017e+10,7.437e+09,2.181e+09,2.401e+09,2.855e+09,2.3454e+10,3.2957e+10,3.117e+09,-7.576e+09,2.371e+10,-3.57e+08,1.8894e+10,1.8894e+10,5.1851e+10,2.074e+09,7.86e+08,-1.148e+09,-2.048e+09,-3.36e+08,-1.373e+09,9e+06,-1.364e+09,-1.34e+08,2.025e+09,-2.09e+08,7.9e+07,3e+06,1.685e+09,-1.5e+07,-1.5e+07,3.6e+07,2.1e+07,2.08e+09,1.758e+10,-2.541e+09,0.27157,0.0783,0.1255,0.10977,0.04,-1.22517,1.4285,1.74431,0.33905,7.73881,7.59707,61.66418,70.5,-9.48134,0.5,0.05028,-0.05787,0.06461,7.11106,11.43045
"36","2019_Q1",167.340327868852,"Down",1.7314e+10,-1.2275e+10,5.039e+09,-3.179e+09,-8.02e+08,-2.377e+09,1.86e+09,-1.32e+08,-1.47e+08,1.5e+07,1.728e+09,1.358e+09,-2.31e+08,1.127e+09,1.127e+09,1.127e+09,1.127e+09,3.265e+09,3.265e+09,8.481e+09,8.481e+09,1.595e+09,1.07e+09,5.25e+08,1.3341e+10,2.8154e+10,5.5121e+10,-2.6967e+10,1.0835e+10,6.973e+09,3.862e+09,3.8989e+10,5.233e+10,8.285e+09,2.977e+09,5.308e+09,1.342e+09,9.627e+09,1.5243e+10,8.044e+09,2.187e+09,2.867e+09,2.99e+09,2.3287e+10,3.2914e+10,3.149e+09,-7.978e+09,2.4823e+10,-5.78e+08,1.9416e+10,1.9416e+10,5.233e+10,1.127e+09,8.02e+08,1.069e+09,5.14e+08,3.512e+09,-1.669e+09,2.1e+07,-1.66e+09,-1.33e+08,-8.05e+08,-4.16e+08,4.3e+07,4e+06,-1.35e+09,5.02e+08,5.02e+08,-2.6e+07,4.76e+08,2.662e+09,1.6585e+10,1.738e+09,0.29104,0.10743,0.06509,0.05804,0.02154,1.54215,1.38579,1.6952,0.31693,4.26894,4.15867,65.58333,73.54545,6.58333,0.50379,0.02861,0.03946,0.11801,5.00376,7.16129
"37","2019_Q2",166.29253968254,"Down",1.7052e+10,-1.2771e+10,4.281e+09,-3.21e+09,-8.08e+08,-2.402e+09,1.071e+09,-1.28e+08,-1.12e+08,-1.6e+07,9.43e+08,1.101e+09,-2.66e+08,8.35e+08,8.35e+08,8.35e+08,8.35e+08,2.369e+09,2.369e+09,8.716e+09,8.716e+09,1.556e+09,1.033e+09,5.23e+08,1.2641e+10,2.8779e+10,5.6326e+10,-2.7547e+10,1.0481e+10,6.869e+09,3.612e+09,3.926e+10,5.1901e+10,7.903e+09,3.066e+09,4.837e+09,1.703e+09,9.606e+09,1.5241e+10,7.881e+09,1.963e+09,2.948e+09,2.97e+09,2.3122e+10,3.2728e+10,3.186e+09,-8.565e+09,2.5315e+10,-7.63e+08,1.9173e+10,1.9173e+10,5.1901e+10,8.35e+08,8.08e+08,1.73e+08,-1.115e+09,7.01e+08,-1.179e+09,7.8e+07,-1.101e+09,-1.73e+08,2.97e+08,-6e+08,2.5e+07,4e+06,-4.72e+08,-8.72e+08,-8.72e+08,-2.4e+07,-8.96e+08,1.879e+09,1.6944e+10,-1.49e+08,0.25106,0.06281,0.04897,0.04355,0.01609,-0.17844,1.31595,1.70698,0.32647,3.15094,3.10409,64.34717,72.35094,-0.56226,0.65283,0.02291,-0.00339000000000001,0.20719,7.75679,13.60878
"38","2019_Q3",153.8490625,"Down",1.7824e+10,-1.3245e+10,4.579e+09,-3.411e+09,-8.28e+08,-2.583e+09,1.168e+09,-1.49e+08,-1.29e+08,-2e+07,1.019e+09,1.177e+09,-2.42e+08,9.35e+08,9.35e+08,9.35e+08,9.35e+08,2.123e+09,2.123e+09,9.573e+09,9.573e+09,1.742e+09,1.22e+09,5.22e+08,1.3438e+10,2.9387e+10,5.7501e+10,-2.8114e+10,1.0464e+10,6.908e+09,3.556e+09,3.9851e+10,5.3289e+10,8.604e+09,3.4e+09,5.204e+09,8.92e+08,9.496e+09,1.6399e+10,8.1e+09,1.735e+09,3.253e+09,3.112e+09,2.4499e+10,3.3995e+10,3.217e+09,-9.186e+09,2.608e+10,-8.17e+08,1.9294e+10,1.9294e+10,5.3289e+10,9.35e+08,8.28e+08,3.31e+08,-6.16e+08,1.478e+09,-1.455e+09,-2.5e+07,-1.48e+09,2.98023223876953e-08,3.99e+08,-6.26e+08,2e+07,-3e+06,-2.3e+08,-2.32e+08,-2.32e+08,-1.4e+07,-2.46e+08,1.996e+09,1.7291e+10,1.67e+08,0.2569,0.06553,0.05246,0.04846,0.01755,0.17861,1.41512,1.76195,0.32448,3.5687,3.51504,68.03053,73.64122,0.6374,0,0.02092,0.00374,-5.55111512312578e-17,7.5992,12.9863
"39","2019_Q4",147.665625,"Down",1.701e+10,-1.2761e+10,4.249e+09,-3.334e+09,-8.51e+08,-2.483e+09,9.15e+08,-1.38e+08,-1.52e+08,1.4e+07,7.77e+08,9.31e+08,-1.92e+08,7.39e+08,7.39e+08,7.39e+08,7.39e+08,2.872e+09,2.872e+09,9.037e+09,9.037e+09,1.591e+09,1.045e+09,5.46e+08,1.35e+10,2.9768e+10,5.8164e+10,-2.8396e+10,1.1196e+10,6.916e+09,4.28e+09,4.0964e+10,5.4464e+10,8.058e+09,3.156e+09,4.902e+09,1.198e+09,9.256e+09,1.7218e+10,8.096e+09,1.847e+09,3.211e+09,3.038e+09,2.5314e+10,3.457e+10,3.241e+09,-9.26e+09,2.665e+10,-7.37e+08,1.9894e+10,1.9894e+10,5.4464e+10,7.39e+08,8.51e+08,1.08e+08,-5.54e+08,1.144e+09,-1.123e+09,9e+06,-1.114e+09,-3.41e+08,1.113e+09,-8.1e+07,1.3e+07,4e+06,6.95e+08,7.25e+08,7.25e+08,2.4e+07,7.49e+08,1.766e+09,1.8416e+10,2.81e+08,0.24979,0.05379,0.04345,0.03715,0.01357,0.38024,1.45851,1.73771,0.33813,2.85328,2.80989,65.67568,76.81081,1.08494,1.3166,0.02327,0.00606,0.46143,8.80181,16.98798
"40","2020_Q1",135.434032258065,"Down",1.7807e+10,-1.2736e+10,5.071e+09,-3.439e+09,-8.66e+08,-2.573e+09,1.632e+09,-1.45e+08,-1.36e+08,-9e+06,1.487e+09,-2.554e+09,5.85e+08,-1.969e+09,-1.969e+09,-1.969e+09,-1.969e+09,2.319e+09,2.319e+09,9.116e+09,9.116e+09,1.651e+09,1.098e+09,5.53e+08,1.3086e+10,3.0429e+10,5.9511e+10,-2.9082e+10,1.0888e+10,6.884e+09,4.004e+09,4.1317e+10,5.4403e+10,8.049e+09,3.03e+09,5.019e+09,9.64e+08,9.013e+09,1.6617e+10,1.1016e+10,5.095e+09,2.821e+09,3.1e+09,2.7633e+10,3.6646e+10,3.263e+09,-9.289e+09,2.4648e+10,-8.65e+08,1.7757e+10,1.7757e+10,5.4403e+10,-1.969e+09,8.66e+08,3.599e+09,-2.06e+08,2.29e+09,-1.733e+09,2.1e+07,-1.778e+09,-1.69e+08,-7.82e+08,-7.2e+07,4.3e+07,-9e+06,-1.032e+09,-5.2e+08,-5.2e+08,-3.3e+07,-5.53e+08,2.498e+09,1.7581e+10,-2.6e+07,0.28478,0.09165,-0.11057,-0.11089,-0.03619,0.0131999999999999,1.4519,2.06375,0.32316,-7.51527,-7.51527,67.96565,67.77481,-0.09924,0.64504,-0.03883,-0.00056,-0.0858300000000001,6.10969,9.35172
"41","2020_Q2",121.54253968254,"Down",1.7048e+10,-1.2673e+10,4.375e+09,-3.398e+09,-8.79e+08,-2.519e+09,9.77e+08,-1.49e+08,-1.37e+08,-1.2e+07,8.28e+08,9.96e+08,-2.51e+08,7.45e+08,7.45e+08,7.45e+08,7.45e+08,2.389e+09,2.389e+09,9.312e+09,9.312e+09,1.316e+09,7.42e+08,5.74e+08,1.3017e+10,3.161e+10,6.1436e+10,-2.9826e+10,2.3825e+10,6.821e+09,1.7004e+10,5.5435e+10,6.8452e+10,8.004e+09,3.179e+09,4.825e+09,3.5e+07,9.935e+09,1.8726e+10,2.1625e+10,4.132e+09,2.953e+09,1.454e+10,4.0351e+10,5.0286e+10,3.289e+09,-9.253e+09,2.5048e+10,-9.18e+08,1.8166e+10,1.8166e+10,6.8452e+10,7.45e+08,8.79e+08,8.66e+08,-1.925e+09,5.65e+08,-1.418e+09,-1e+06,-1.419e+09,-1.7e+08,1.108e+09,9e+06,1.2e+07,-5e+06,9.42e+08,8.8e+07,8.8e+07,-1.8e+07,7e+07,1.856e+09,1.8761e+10,-1.236e+09,0.25663,0.05731,0.0437,0.04101,0.01088,-1.65906,1.31022,2.76814,0.27408,2.86538,2.84351,65.56923,69.86923,-4.75385,0.65385,0.01563,-0.02111,0.22819,8.82112,16.75742
"42","2020_Q3",194.34984375,"Up",1.7324e+10,-1.3151e+10,4.173e+09,-3.553e+09,-9.01e+08,-2.652e+09,6.2e+08,-1.5e+08,-1.51e+08,999999.999999998,4.7e+08,5.72e+08,-1.2e+07,5.6e+08,5.6e+08,5.6e+08,5.6e+08,2.031e+09,2.031e+09,9.709e+09,9.709e+09,1.458e+09,8.82e+08,5.76e+08,1.3198e+10,3.2408e+10,6.2715e+10,-3.0307e+10,2.4348e+10,6.861e+09,1.7487e+10,5.6756e+10,6.9954e+10,8.453e+09,3.283e+09,5.17e+09,1.66e+08,1.0547e+10,1.8691e+10,2.2057e+10,4.156e+09,3.072e+09,1.4829e+10,4.0748e+10,5.1295e+10,3.319e+09,-9.225e+09,2.5431e+10,-8.66e+08,1.8659e+10,1.8659e+10,6.9954e+10,5.6e+08,9.01e+08,6.76e+08,-6.28e+08,1.509e+09,-1.844e+09,1e+06,-1.843e+09,-1.69e+08,1.14e+08,1.4e+07,1.4e+07,0,-4.1e+07,-3.75e+08,-3.75e+08,1.7e+07,-3.58e+08,1.521e+09,1.8857e+10,-9.39e+08,0.24088,0.03579,0.03233,0.03001,0.00801,-1.67679,1.25135,2.74908,0.26956,2.1374,2.1374,66.12214,71.21756,-3.58397,0.64504,0.01224,-0.01576,0.30179,11.06246,27.13871
"43","2020_Q4",269.78296875,"Up",1.7487e+10,-1.3467e+10,4.02e+09,-3.609e+09,-9.08e+08,-2.701e+09,4.11e+08,-1.59e+08,-1.55e+08,-4e+06,2.52e+08,4.2e+08,-1.05e+08,3.15e+08,3.15e+08,3.15e+08,3.15e+08,1.766e+09,1.766e+09,9.323e+09,9.323e+09,1.452e+09,8.84e+08,5.68e+08,1.2541e+10,3.3306e+10,6.4305e+10,-3.0999e+10,2.4167e+10,6.814e+09,1.7353e+10,5.7473e+10,7.0014e+10,8.088e+09,3.193e+09,4.895e+09,3.35e+08,1.0325e+10,1.8973e+10,2.1885e+10,4.165e+09,3.101e+09,1.4619e+10,4.0858e+10,5.1183e+10,3.356e+09,-9.207e+09,2.5569e+10,-8.87e+08,1.8831e+10,1.8831e+10,7.0014e+10,3.15e+08,9.08e+08,7.14e+08,-7.33e+08,1.204e+09,-1.443e+09,1.5e+07,-1.428e+09,-1.7e+08,1.24e+08,1.2e+07,1.2e+07,0,-3.4e+07,-2.58e+08,-2.58e+08,-7e+06,-2.65e+08,1.319e+09,1.9308e+10,-7.52e+08,0.22989,0.0235,0.01801,0.01673,0.0045,-2.3873,1.21462,2.71802,0.27577,1.2069,1.20229,67,72.14943,-2.88123,0.65134,0.00808,-0.01253,0.53968,13.29947,42.68127
"44","2021_Q1",251.558524590164,"Down",1.7358e+10,-1.0074e+10,7.284e+09,-6.44e+09,-9.27e+08,-5.513e+09,8.44e+08,-1.68e+08,-1.74e+08,6e+06,6.76e+08,-3.19e+08,-1.5e+07,-3.34e+08,-3.34e+08,-3.34e+08,-3.34e+08,4.881e+09,4.881e+09,1.0102e+10,1.0102e+10,1.4e+09,8.28e+08,5.72e+08,1.6383e+10,3.3608e+10,6.5024e+10,-3.1416e+10,2.3546e+10,6.372e+09,1.7174e+10,5.7154e+10,7.3537e+10,8.37e+09,3.269e+09,5.101e+09,5.1e+07,1.0344e+10,2.1952e+10,2.2946e+10,5.019e+09,3.162e+09,1.4765e+10,4.4898e+10,5.5242e+10,3.388e+09,-9.162e+09,2.5216e+10,-1.147e+09,1.8295e+10,1.8295e+10,7.3537e+10,-3.34e+08,9.27e+08,2.032e+09,-8.06e+08,1.819e+09,-1.163e+09,7e+06,-1.156e+09,-1.7e+08,2.662e+09,2.6e+07,2.6e+07,-4e+06,2.514e+09,3.177e+09,3.177e+09,-6.2e+07,3.115e+09,1.771e+09,2.2003e+10,-1.83e+08,0.41963,0.04862,-0.01924,-0.01826,-0.00454,0.547899999999999,1.58382,3.01951,0.29921,-1.27969,-1.27481,66.50575,70.09579,-0.70115,0.65134,-0.00259,-0.00289,-0.50898,9.66798,20.28673
"45","2021_Q2",290.324126984127,"Up",1.9321e+10,-1.333e+10,5.991e+09,-4.401e+09,-9.26e+08,-3.475e+09,1.59e+09,-1.85e+08,-1.84e+08,-1e+06,1.405e+09,1.606e+09,-3.61e+08,1.245e+09,1.245e+09,1.245e+09,1.245e+09,6.954e+09,6.954e+09,1.0508e+10,1.0508e+10,1.441e+09,8.48e+08,5.93e+08,1.8903e+10,3.4262e+10,6.6446e+10,-3.2184e+10,2.4483e+10,6.633e+09,1.785e+10,5.8745e+10,7.7648e+10,9.084e+09,3.339e+09,5.745e+09,8.7e+07,1.1195e+10,2.3204e+10,2.3787e+10,5.036e+09,3.171e+09,1.558e+10,4.6991e+10,5.8186e+10,3.407e+09,-9.033e+09,2.6108e+10,-1.02e+09,1.9462e+10,1.9462e+10,7.7648e+10,1.245e+09,9.26e+08,7.49e+08,-2.69e+08,2.651e+09,-1.418e+09,-7185756.88500796,-1.418e+09,-1.7e+08,9.14e+08,8.2e+07,8.2e+07,-1e+06,8.25e+08,2.058e+09,2.058e+09,1.5e+07,2.073e+09,2.516e+09,2.3291e+10,1.19e+09,0.31008,0.08229,0.06444,0.06397,0.01603,0.95582,1.68852,2.98972,0.29996,4.75191,4.73384,73.74427,74.28244,4.54198,0.64885,0.02127,0.01788,0.13655,6.49324,10.27484
"46","2021_Q3",266.363125,"Down",2.0563e+10,-1.4481e+10,6.082e+09,-4.617e+09,-9.36e+08,-3.681e+09,1.465e+09,-2.09e+08,-1.84e+08,-2.5e+07,1.256e+09,1.406e+09,-1.8e+08,1.226e+09,1.226e+09,1.226e+09,1.226e+09,8.339e+09,8.339e+09,1.1417e+10,1.1417e+10,1.509e+09,9.22e+08,5.87e+08,2.1265e+10,3.461e+10,6.7514e+10,-3.2904e+10,2.5281e+10,6.702e+09,1.8579e+10,5.9891e+10,8.1156e+10,9.895e+09,3.733e+09,6.162e+09,9.7e+07,1.2115e+10,2.3221e+10,2.4781e+10,5.088e+09,3.471e+09,1.6222e+10,4.8002e+10,6.0117e+10,3.432e+09,-8.703e+09,2.7208e+10,-8.98e+08,2.1039e+10,2.1039e+10,8.1156e+10,1.226e+09,9.36e+08,1.197e+09,-7.8e+08,2.579e+09,-1.394e+09,-7647675.84667728,-1.394e+09,-1.71e+08,-1.9e+07,3.49e+08,3.49e+08,-1.1e+07,1.48e+08,1.333e+09,1.333e+09,5.2e+07,1.385e+09,2.401e+09,2.3318e+10,4.07e+08,0.29577,0.07124,0.05962,0.05827,0.01511,0.33197,1.75526,2.85741,0.28732,4.64394,4.55762,77.89015,79.69318,1.54167,0.64773,0.02021,0.00589,0.13948,6.23865,10.22457
"47","2021_Q4",236.21859375,"Down",2.151e+10,-1.5557e+10,5.953e+09,-4.938e+09,-9.56e+08,-3.982e+09,1.015e+09,-1.58e+08,-1.87e+08,2.9e+07,8.57e+08,1.049e+09,-1.57e+08,8.92e+08,8.92e+08,8.92e+08,8.92e+08,8.856e+09,8.856e+09,1.1481e+10,1.1481e+10,1.373e+09,7.9e+08,5.83e+08,2.171e+10,3.499e+10,6.8703e+10,-3.3713e+10,2.6093e+10,6.977e+09,1.9116e+10,6.1083e+10,8.2793e+10,1.0787e+10,3.99e+09,6.797e+09,6.46e+08,1.3566e+10,2.2797e+10,2.4449e+10,4.773e+09,3.563e+09,1.6113e+10,4.7246e+10,6.0812e+10,3.477e+09,-8.656e+09,2.7924e+10,-7.64e+08,2.1981e+10,2.1981e+10,8.2793e+10,8.92e+08,9.56e+08,7.15e+08,-4.01e+08,2.162e+09,-1.302e+09,22964243.114992,-1.527e+09,-1.72e+08,-3e+07,5.1e+07,5.1e+07,-1e+06,-1.52e+08,4.83e+08,4.83e+08,3.4e+07,5.17e+08,1.971e+09,2.3443e+10,4.25e+08,0.27675,0.04719,0.04147,0.04058,0.01077,0.47646,1.60032,2.76657,0.28315,3.39163,3.31599,81.78707,83.57795,1.61597,0.65399,0.01523,0.00608,0.19283,7.40081,14.37143
"48","2022_Q1",232.04935483871,"Down",2.2565e+10,-1.5516e+10,7.049e+09,-5.146e+09,-9.75e+08,-4.171e+09,1.903e+09,-2.21e+08,-1.86e+08,-3.5e+07,1.682e+09,2.613e+09,-7.45e+08,1.868e+09,1.868e+09,1.868e+09,1.868e+09,7.087e+09,7.087e+09,1.2069e+10,1.2069e+10,1.424e+09,8.37e+08,5.87e+08,2.058e+10,3.5752e+10,7.0077e+10,-3.4325e+10,2.6445e+10,6.992e+09,1.9453e+10,6.2197e+10,8.2777e+10,1.1306e+10,3.841e+09,7.465e+09,1.46e+08,1.366e+10,2.0733e+10,2.4216e+10,3.501e+09,3.927e+09,1.6788e+10,4.4949e+10,5.8609e+10,3.513e+09,-8.43e+09,2.9817e+10,-7.32e+08,2.4168e+10,2.4168e+10,8.2777e+10,1.868e+09,9.75e+08,3.22e+08,-4.22e+08,2.743e+09,-1.77e+09,1.02e+08,-1.671e+09,-1.73e+08,-2.971e+09,2.58e+08,2.58e+08,-2.5e+07,-2.911e+09,-1.839e+09,-1.839e+09,7e+07,-1.769e+09,2.878e+09,2.0879e+10,1.431e+09,0.31239,0.08433,0.08278,0.07729,0.02257,0.76606,1.50659,2.42507,0.25223,7.10266,6.99625,85.79848,91.89354,5.44106,0.65779,0.02947,0.02066,0.09261,4.79222,7.2475
