"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",74.1152380952381,"Up",9.04e+08,-4.9e+08,4.14e+08,-3.41e+08,-1.86e+08,-1.12e+08,-7.4e+07,-9.6e+07,-5.9e+07,7.3e+07,-5.3e+07,-1e+06,2e+07,-9.7e+07,-7.7e+07,-6e+06,-8.3e+07,-8.3e+07,-8.3e+07,-8.3e+07,1.63e+08,1.63e+08,5.99e+08,5.99e+08,3.45e+08,1.58e+08,9e+07,1.265e+09,2.92e+08,3.141e+09,2.46e+09,5.33e+08,6.5e+07,3.433e+09,4.698e+09,7.07e+08,3.6e+08,41168386.8267092,3.47e+08,2.25e+08,2.04e+08,9.32e+08,2.3e+08,1.29e+08,3.018e+09,3.95e+09,2e+08,-6.14e+08,1.223e+09,-6.1e+07,7.48e+08,7.48e+08,4.698e+09,-8.3e+07,8e+07,7.4e+07,5.7e+07,1.28e+08,-1.4e+07,-1.4e+07,-1.4e+07,0,-1.4e+07,-2e+06,-9.2e+07,2.2e+07,2.2e+07,0,2.2e+07,1.53e+08,2.788e+09,2.02e+08,0.45796,0.08075,-0.09181,-0.11096,-0.01767,-2.43373,1.3573,5.28075,0.59344,-1.60918,-1.60918,17.52647,14.50199,3.91631,3,-0.02204,0.05364,17.15686,35.9589
"28","2017_Q1",86.6590322580645,"Up",9.42e+08,-5.1e+08,4.32e+08,-3.32e+08,-1.89e+08,-1.07e+08,-8.2e+07,-9.2e+07,-5.1e+07,1e+08,-5.1e+07,-1e+06,4.9e+07,-2.9e+07,2e+07,-3e+06,1.7e+07,1.7e+07,1.7e+07,1.7e+07,1.56e+08,1.56e+08,6.25e+08,6.25e+08,3.45e+08,9.6e+07,6.4e+07,1.222e+09,2.92e+08,3.118e+09,2.458e+09,4.8e+08,6.7e+07,3.41e+09,4.632e+09,7.58e+08,4.13e+08,2.2e+07,3.23e+08,1.91e+08,1.91e+08,9.49e+08,2.43e+08,1.16e+08,2.891e+09,3.84e+09,2.11e+08,-6.14e+08,1.24e+09,-4.5e+07,7.92e+08,7.92e+08,4.632e+09,1.7e+07,7e+07,-2.4e+07,6.5e+07,1.28e+08,-2.8e+07,-2.8e+07,-2.8e+07,5.82076609134674e-11,1.1e+07,1e+06,-1.46e+08,-6999999.99999999,-6999999.99999999,-9.31322574615479e-10,-7000000.00000001,1.7e+08,2.648e+09,2.1e+08,0.4586,0.10616,0.01805,0.02146,0.00367,12.35294,1.28767,4.84848,0.57168,0.32959,0.32959,18.26321,15.35505,4.07142,7,0.00462,0.05702,14.65882,24.92
"29","2017_Q2",99.0444444444445,"Up",8.65e+08,-4.64e+08,4.01e+08,-3.3e+08,-1.84e+08,-1.09e+08,-7.5e+07,-9.6e+07,-5e+07,7.1e+07,-4.2e+07,-1e+06,2.9e+07,-3.1e+07,-2e+06,1e+07,8e+06,8e+06,8e+06,8e+06,1.8e+08,1.8e+08,5.5e+08,5.5e+08,3.76e+08,6.3e+07,3.5e+07,1.169e+09,2.84e+08,3.078e+09,2.46e+09,4.3e+08,6.7e+07,3.362e+09,4.531e+09,7.04e+08,3.65e+08,1.5e+07,3.24e+08,2.17e+08,2.17e+08,9.21e+08,2.42e+08,1.12e+08,2.815e+09,3.736e+09,2.35e+08,-6.3e+08,1.239e+09,-4.9e+07,7.95e+08,7.95e+08,4.531e+09,8e+06,6.9e+07,3e+06,3.7e+07,1.17e+08,-1.3e+07,-1.3e+07,-1.3e+07,-724037.949463631,-1.3e+07,2e+06,-7.8e+07,2.6e+07,2.6e+07,-2e+06,2.4e+07,1.4e+08,2.573e+09,1.54e+08,0.46358,0.08208,0.00925,0.01006,0.00177,19.25,1.26927,4.69937,0.56787,0.15431,0.15109,16.68531,15.33505,2.97056,7,0.00222,0.04266,17.09286,33.70423
"30","2017_Q3",102.619206349206,"Up",8.96e+08,-4.85e+08,4.11e+08,-3.33e+08,-1.82e+08,-1.14e+08,-6.8e+07,-9.9e+07,-5.2e+07,7.8e+07,-3.9e+07,2e+06,3.9e+07,-2e+07,1.9e+07,-2e+06,1.7e+07,1.7e+07,1.7e+07,1.7e+07,9.5e+07,9.5e+07,5.27e+08,5.27e+08,4.14e+08,1e+08,3.5e+07,1.136e+09,2.73e+08,3.036e+09,2.464e+09,3.8e+08,6.8e+07,3.309e+09,4.445e+09,7.69e+08,4.36e+08,1.9e+07,3.14e+08,2.14e+08,2.14e+08,9.83e+08,2.32e+08,1.08e+08,2.65e+09,3.633e+09,2.35e+08,-6.22e+08,1.256e+09,-5.7e+07,8.12e+08,8.12e+08,4.445e+09,1.7e+07,7.2e+07,1.3e+07,-1.6e+07,8.6e+07,-9e+06,-9e+06,-9e+06,-1496790.28527395,-9e+06,-1.86264514923096e-09,-1.6e+08,-8.3e+07,-8.3e+07,-2e+06,-8.5e+07,1.5e+08,2.418e+09,1.27e+08,0.45871,0.08705,0.01897,0.02094,0.00382,7.47059,1.15565,4.47414,0.54398,0.32682,0.31998,17.22554,15.61064,2.44157,6,0.00491,0.03668,15.48667,29.78205
"31","2017_Q4",108.717777777778,"Up",9.35e+08,-5.06e+08,4.29e+08,-3.29e+08,-1.84e+08,-1.13e+08,-7.1e+07,-9.6e+07,-4.9e+07,1e+08,-9.8e+07,1e+06,2e+06,-9e+06,-7e+06,-5e+06,-1.2e+07,-1.2e+07,-1.2e+07,-1.2e+07,8.8e+07,8.8e+07,5.96e+08,5.96e+08,4.92e+08,9e+07,3e+07,1.266e+09,2.67e+08,2.993e+09,2.465e+09,3.32e+08,7.1e+07,3.26e+09,4.526e+09,7.92e+08,4.26e+08,2.3e+07,3.43e+08,2.13e+08,2.13e+08,1.039e+09,2.22e+08,9.3e+07,2.673e+09,3.712e+09,2.46e+08,-6.21e+08,1.244e+09,-5.5e+07,8.14e+08,8.14e+08,4.526e+09,-1.2e+07,6.8e+07,7e+07,-1.19e+08,7e+06,-1.4e+07,-1.4e+07,-1.4e+07,-1e+06,-1.5e+07,-5.2e+07,1e+06,-7e+06,-7e+06,0,-7e+06,1.68e+08,2.485e+09,4e+07,0.45882,0.10695,-0.01283,-0.01474,-0.00265,-3.33333,1.21848,4.5602,0.54905,-0.22632,-0.22351,17.63427,15.35219,0.75441,6,-0.00341,0.01136,14.26786,23.97
"32","2018_Q1",128.011967213115,"Up",1.026e+09,-5.57e+08,4.69e+08,-3.3e+08,-1.99e+08,-1.12e+08,-8.7e+07,-9.8e+07,-3.3e+07,1.39e+08,-5.5e+07,-3e+06,8.4e+07,-6e+06,7.8e+07,-7.4e+07,4e+06,4e+06,4e+06,4e+06,6.2e+07,6.2e+07,4.79e+08,4.79e+08,4.58e+08,6.4e+07,2.4e+07,1.063e+09,2.64e+08,2.948e+09,2.465e+09,2.99e+08,6.5e+07,3.212e+09,4.275e+09,7.63e+08,4.24e+08,4.3e+07,2.96e+08,1.86e+08,1.86e+08,1e+09,2.65e+08,1.17e+08,2.441e+09,3.441e+09,2.58e+08,-6.2e+08,1.248e+09,-5.2e+07,8.34e+08,8.34e+08,4.275e+09,4e+06,5.4e+07,4.6e+07,1.64e+08,2.68e+08,-1.4e+07,-1.4e+07,-1.4e+07,0,-1.4e+07,-1.3e+07,-2.8e+08,-2.6e+07,-2.6e+07,2.3283064365387e-10,-2.6e+07,1.93e+08,2.227e+09,4.17e+08,0.45712,0.13548,0.00390000000000001,0.0048,0.000939999999999999,104.25,1.063,4.1259,0.52094,0.0754399999999999,0.0745,19.35055,15.72939,7.8647,5,0.0012,0.12538,11.21762,15.57554
"33","2018_Q2",147.27390625,"Up",9.77e+08,-5.12e+08,4.65e+08,-3.15e+08,-1.91e+08,-1.2e+08,-7.1e+07,-1.01e+08,-2.3e+07,1.5e+08,-1.1e+07,-4982755.31979953,1.39e+08,-6e+06,1.33e+08,-2.4e+07,1.09e+08,1.09e+08,1.09e+08,1.09e+08,6.4e+07,6.4e+07,4.71e+08,4.71e+08,4.48e+08,7e+07,3.9e+07,1.053e+09,2.62e+08,2.934e+09,2.463e+09,2.76e+08,8e+07,3.196e+09,4.249e+09,6.88e+08,4.11e+08,5.6e+07,2.21e+08,2.01e+08,2.01e+08,9.32e+08,2.46e+08,1.02e+08,2.336e+09,3.268e+09,2.67e+08,-6.16e+08,1.376e+09,-4.6e+07,9.81e+08,9.81e+08,4.249e+09,1.09e+08,4.3e+07,-3e+06,-3.3e+07,1.16e+08,-1.8e+07,-1.8e+07,-1.8e+07,-2e+06,-2e+07,3e+06,-9.2e+07,4e+06,4e+06,-2e+06,2e+06,1.93e+08,2.133e+09,1.66e+08,0.47595,0.15353,0.11157,0.11111,0.02565,1.52294,1.12983,3.33129,0.502,2.04556,2.01905,18.33494,18.41,3.11525,7,0.03244,0.0494,10.72021,13.79333
"34","2018_Q3",160.212222222222,"Up",1.012e+09,-5.4e+08,4.72e+08,-3.46e+08,-2.14e+08,-1.21e+08,-9.3e+07,-1.09e+08,-2.3e+07,1.26e+08,-2.5e+07,-4e+06,1.01e+08,-999999.999999999,1e+08,-3e+07,7e+07,7e+07,7e+07,7e+07,4.6e+07,4.6e+07,5.02e+08,5.02e+08,4.65e+08,9.6e+07,5.2e+07,1.109e+09,2.54e+08,2.912e+09,2.462e+09,2.52e+08,9.4e+07,3.166e+09,4.275e+09,7.31e+08,4.42e+08,5.1e+07,2.38e+08,1.98e+08,1.98e+08,1.014e+09,2.74e+08,1.24e+08,2.188e+09,3.202e+09,2.74e+08,-6.17e+08,1.446e+09,-3e+07,1.073e+09,1.073e+09,4.275e+09,7e+07,4.3e+07,2.3e+07,1.4e+07,1.5e+08,-1.5e+07,-1.5e+07,-1.5e+07,2e+06,-1.3e+07,-1e+07,-1.5e+08,-1.3e+07,-1.3e+07,-5e+06,-1.8e+07,1.69e+08,1.999e+09,1.98e+08,0.4664,0.12451,0.06917,0.06524,0.01637,2.82856999999998,1.09369,2.98416,0.4676,1.30738,1.28955,18.90095,20.04024,3.69801,7,0.02092,0.05918,11.55621,15.5
"35","2018_Q4",166.481904761905,"Up",1.092e+09,-5.87e+08,5.05e+08,-3.33e+08,-1.95e+08,-1.2e+08,-7.5e+07,-1.13e+08,-2.5e+07,1.72e+08,-1.9e+07,-1e+06,1.53e+08,-1e+07,1.43e+08,-1.6e+07,1.27e+08,1.27e+08,1.27e+08,1.27e+08,4.5e+07,4.5e+07,5.75e+08,5.75e+08,4.93e+08,8.8e+07,5.1e+07,1.201e+09,2.51e+08,2.948e+09,2.496e+09,2.6e+08,1.01e+08,3.199e+09,4.4e+09,8.35e+08,4.98e+08,5.2e+07,2.85e+08,1.99e+08,1.99e+08,1.105e+09,2.53e+08,9.2e+07,2.082e+09,3.187e+09,2.83e+08,-6.14e+08,1.573e+09,-2.9e+07,1.213e+09,1.213e+09,4.4e+09,1.27e+08,4.5e+07,2.2e+07,0,1.94e+08,-1.5e+07,-1.5e+07,-1.5e+07,0,-8.7e+07,2e+06,-1.09e+08,-2e+06,-2e+06,1e+06,-1e+06,2.17e+08,1.9e+09,2.18e+08,0.46245,0.15751,0.1163,0.1047,0.02886,1.71654,1.08688,2.62737,0.43182,2.36977,2.33887,20.37631,22.63412,4.0678,7,0.03773,0.06477,8.54839,10.78488
"36","2019_Q1",188.233442622951,"Up",1.137e+09,-5.98e+08,5.39e+08,-3.58e+08,-2.11e+08,-1.22e+08,-8.9e+07,-1.21e+08,-2.6e+07,1.81e+08,-3.1e+07,-2.3283064365387e-10,1.5e+08,-2e+06,1.48e+08,-3.3e+07,1.15e+08,1.15e+08,1.15e+08,1.15e+08,4.4e+07,4.4e+07,5.2e+08,5.2e+08,5.2e+08,7.8e+07,5.4e+07,1.162e+09,2.49e+08,2.928e+09,2.495e+09,2.32e+08,8.7e+07,3.177e+09,4.339e+09,9.34e+08,5.52e+08,6e+07,3.22e+08,2.1e+08,2.1e+08,1.301e+09,2.69e+08,8.9e+07,1.703e+09,3.004e+09,2.95e+08,-6.13e+08,1.688e+09,-3.5e+07,1.335e+09,1.335e+09,4.339e+09,1.15e+08,4.4e+07,7e+06,1.59e+08,3.25e+08,-1.6e+07,-1.6e+07,-1.6e+07,-1e+06,-1.7e+07,1e+06,-3.1e+08,-2e+06,-2e+06,999999.999999999,-1e+06,2.25e+08,1.591e+09,4.01e+08,0.47405,0.15919,0.10114,0.08614,0.0265,3.48696,0.89316,2.25019,0.36667,2.14586,2.11787,21.21599,24.91059,7.48251,7,0.03599,0.12551,6.87556,8.54696
"37","2019_Q2",201.622857142857,"Up",1.066e+09,-5.65e+08,5.01e+08,-3.37e+08,-1.98e+08,-1.22e+08,-7.6e+07,-1.11e+08,-2.8e+07,1.64e+08,-2.8e+07,-3e+06,1.36e+08,-5e+06,1.31e+08,-1.6e+07,1.15e+08,1.15e+08,1.15e+08,1.15e+08,6.1e+07,6.1e+07,4.88e+08,4.88e+08,5.1e+08,8.3e+07,6.2e+07,1.142e+09,2.57e+08,3.177e+09,2.567e+09,3.11e+08,2.02e+08,3.434e+09,4.576e+09,7.93e+08,4.57e+08,6.1e+07,2.75e+08,2.22e+08,2.22e+08,1.146e+09,3.58e+08,1.79e+08,1.963e+09,3.109e+09,3.06e+08,-6.11e+08,1.803e+09,-3.1e+07,1.467e+09,1.467e+09,4.576e+09,1.15e+08,4.7e+07,1e+07,-1.3e+08,4.2e+07,-1.5e+07,-1.5e+07,-1.5e+07,1e+07,-1.84e+08,1.5e+07,1.61e+08,1.9e+07,1.9e+07,-2e+06,1.7e+07,2.11e+08,1.736e+09,8.2e+07,0.46998,0.15385,0.10788,0.07839,0.02513,0.71304,0.99651,2.11929,0.37937,2.13337,2.10797,19.77537,27.21433,1.52118,4,0.03229,0.02303,7.93839,10.21341
"38","2019_Q3",202.05171875,"Up",1.097e+09,-5.77e+08,5.2e+08,-3.55e+08,-2.17e+08,-1.27e+08,-9e+07,-1.08e+08,-3e+07,1.65e+08,-3.1e+07,-1e+06,1.34e+08,-5e+06,1.29e+08,-5e+06,1.24e+08,1.24e+08,1.24e+08,1.24e+08,2.7e+07,2.7e+07,5.56e+08,5.56e+08,4.84e+08,1.21e+08,4.3e+07,1.188e+09,2.51e+08,3.262e+09,2.622e+09,3.23e+08,2.29e+08,3.513e+09,4.701e+09,8.14e+08,4.72e+08,6e+07,2.82e+08,2.3e+08,2.3e+08,1.2e+09,3.81e+08,1.92e+08,1.942e+09,3.142e+09,3.15e+08,-6.43e+08,1.927e+09,-4e+07,1.559e+09,1.559e+09,4.701e+09,1.24e+08,4.8e+07,3.4e+07,-5.3e+07,1.53e+08,-1.5e+07,-1.5e+07,-1.5e+07,-2e+07,-1.22e+08,-4.6e+07,-6.7e+07,-3.6e+07,-3.6e+07,2e+06,-3.4e+07,2.13e+08,1.717e+09,1.5e+08,0.47402,0.15041,0.11304,0.07954,0.02638,1.20968,0.99,2.01539,0.36524,2.29524,2.26899,20.30544,28.85704,2.7765,7,0.03391,0.04102,7.93427,10.24242
"39","2019_Q4",233.97875,"Up",1.13e+09,-5.95e+08,5.35e+08,-3.38e+08,-2.02e+08,-1.24e+08,-7.8e+07,-1.1e+08,-2.6e+07,1.97e+08,-2.6e+07,2e+06,1.71e+08,-1.2e+07,1.59e+08,-2.3e+07,1.36e+08,1.36e+08,1.36e+08,1.36e+08,3.3e+07,3.3e+07,5.88e+08,5.88e+08,4.68e+08,1.42e+08,6.6e+07,1.231e+09,2.49e+08,3.228e+09,2.618e+09,2.9e+08,2.37e+08,3.477e+09,4.708e+09,8.71e+08,5.02e+08,5.5e+07,3.14e+08,2.3e+08,2.3e+08,1.306e+09,3.94e+08,1.91e+08,1.708e+09,3.014e+09,3.25e+08,-6.63e+08,2.063e+09,-3.1e+07,1.694e+09,1.694e+09,4.708e+09,1.36e+08,4.4e+07,2.2e+07,2.3e+07,2.25e+08,-1.4e+07,-1.4e+07,-1.4e+07,-1e+06,-4e+06,-1e+06,-2.14e+08,7e+06,7e+06,-1e+06,6e+06,2.41e+08,1.519e+09,2.73e+08,0.47345,0.17434,0.12035,0.08028,0.02889,2.00735,0.94257,1.77922,0.32264,2.51893,2.4911,20.92932,31.37545,5.05637,7,0.0377,0.07569,6.16598,7.54315
"40","2020_Q1",224.735161290323,"Down",1.192e+09,-6.48e+08,5.44e+08,-3.46e+08,-2.09e+08,-1.3e+08,-7.9e+07,-1.18e+08,-1.9e+07,1.98e+08,-9e+06,-4e+06,1.89e+08,-1e+07,1.79e+08,-1e+07,1.69e+08,1.69e+08,1.69e+08,1.69e+08,3e+07,3e+07,6.13e+08,6.13e+08,4.74e+08,7.8e+07,4.6e+07,1.195e+09,2.59e+08,3.257e+09,2.622e+09,2.75e+08,2.33e+08,3.516e+09,4.711e+09,9.69e+08,5.52e+08,3.8e+07,3.79e+08,2.38e+08,2.38e+08,1.404e+09,3.88e+08,1.67e+08,1.468e+09,2.872e+09,3.4e+08,-6.89e+08,2.232e+09,-4.4e+07,1.839e+09,1.839e+09,4.711e+09,1.69e+08,3.6e+07,-3.7e+07,9.7e+07,2.65e+08,-1.7e+07,-1.7e+07,-1.7e+07,-1e+06,-2.5e+07,2.6e+07,-2.45e+08,-4999999.99999999,-4999999.99999999,2e+06,-3e+06,2.34e+08,1.277e+09,3.24e+08,0.45638,0.16611,0.14178,0.0919,0.03587,1.91716,0.85114,1.56172,0.27107,3.13014,3.09555,22.07765,34.06108,6.00097,5,0.04823,0.09247,5.32906,6.29798
"41","2020_Q2",234.336349206349,"Up",1.052e+09,-5.79e+08,4.73e+08,-3.17e+08,-1.96e+08,-1.22e+08,-7.4e+07,-1.05e+08,-1.6e+07,1.56e+08,-4.8e+07,-3e+06,1.08e+08,-5e+06,1.03e+08,-1.4e+07,8.9e+07,8.9e+07,8.9e+07,8.9e+07,2.4e+07,2.4e+07,5e+08,5e+08,4.43e+08,8.4e+07,4.8e+07,1.051e+09,2.57e+08,3.232e+09,2.618e+09,2.58e+08,2.27e+08,3.489e+09,4.54e+09,7.55e+08,4.47e+08,2.8e+07,2.8e+08,2.52e+08,2.52e+08,1.237e+09,4.09e+08,1.83e+08,1.576e+09,2.813e+09,3.47e+08,-8.9e+08,2.321e+09,-5.1e+07,1.727e+09,1.727e+09,4.54e+09,8.9e+07,3.4e+07,3.9e+07,-5.4e+07,1.08e+08,-1.3e+07,-1.3e+07,-1.3e+07,-2e+06,-1.5e+07,-1.9e+07,-9.8e+07,-5e+06,-5e+06,-1e+06,-6e+06,1.9e+08,1.397e+09,1.37e+08,0.44962,0.14829,0.0846,0.05153,0.0196,1.53933,0.84964,1.62884,0.30771,1.65548,1.6385,19.56813,32.12373,2.54832,5,0.02519,0.03878,7.22632,8.80128
"42","2020_Q3",269.1653125,"Up",9.56e+08,-5.37e+08,4.19e+08,-2.97e+08,-1.83e+08,-1.09e+08,-7.4e+07,-9.8e+07,-1.6e+07,1.22e+08,-1.6e+07,-9e+06,1.06e+08,-3e+06,1.03e+08,-3e+06,1e+08,1e+08,1e+08,1e+08,6.3e+07,6.3e+07,4.06e+08,4.06e+08,5.13e+08,1.12e+08,6e+07,1.094e+09,2.52e+08,3.261e+09,2.621e+09,2.42e+08,2.75e+08,3.513e+09,4.607e+09,8.83e+08,5.03e+08,1.1e+07,3.69e+08,2.73e+08,2.73e+08,1.389e+09,4.29e+08,1.97e+08,1.415e+09,2.804e+09,3.51e+08,-9.11e+08,2.421e+09,-5.8e+07,1.803e+09,1.803e+09,4.607e+09,1e+08,3.4e+07,1.9e+07,9.4e+07,2.47e+08,-2e+07,-2e+07,-2e+07,-3e+07,-5e+07,4.6e+07,-1.35e+08,6.2e+07,6.2e+07,4.65661287307739e-10,6.2e+07,1.56e+08,1.219e+09,2.33e+08,0.43828,0.12762,0.1046,0.05546,0.02171,2.33,0.78762,1.55519,0.2646,1.86009,1.84101,17.78245,33.5374,4.33401,5,0.02898,0.06752,7.41026,9.47541
"43","2020_Q4",336.51875,"Up",1.132e+09,-6.39e+08,4.93e+08,-3.23e+08,-1.9e+08,-1.19e+08,-7.1e+07,-1.13e+08,-2e+07,1.7e+08,-1.2e+07,-3e+06,1.58e+08,-2e+07,1.38e+08,-2.2e+07,1.16e+08,1.16e+08,1.16e+08,1.16e+08,3.9e+07,3.9e+07,5.35e+08,5.35e+08,4.84e+08,1.34e+08,7.5e+07,1.192e+09,2.65e+08,3.788e+09,2.998e+09,4.27e+08,2.79e+08,4.053e+09,5.245e+09,9.98e+08,5.46e+08,9e+06,4.43e+08,2.86e+08,2.86e+08,1.765e+09,4.63e+08,2.15e+08,1.549e+09,3.314e+09,3.73e+08,-9.17e+08,2.537e+09,-6.2e+07,1.931e+09,1.931e+09,5.245e+09,1.16e+08,3.5e+07,7e+06,1.8e+07,1.76e+08,-1.6e+07,-1.6e+07,-1.6e+07,6e+06,-5.58e+08,1.8e+07,3.64e+08,-1.8e+07,-1.8e+07,0,-1.8e+07,2.05e+08,1.567e+09,2.29e+08,0.43551,0.15018,0.10247,0.06007,0.02212,1.97414,0.67535,1.71621,0.29876,2.16886,2.14957,21.1651,36.10408,4.28163,5,0.02929,0.05781,7.45366,8.98824
"44","2021_Q1",446.034754098361,"Up",1.308e+09,-6.9e+08,6.18e+08,-3.81e+08,-2.18e+08,-126653418.941895,-73545555.929268,-1.37e+08,-2.6e+07,2.37e+08,-1.5e+07,-3e+06,2.22e+08,-6e+06,2.16e+08,-1.7e+07,1.99e+08,1.99e+08,1.99e+08,1.99e+08,1.68e+08,1.68e+08,5.08e+08,5.08e+08,5.11e+08,8.6e+07,7e+07,1.273e+09,2.74e+08,3.828e+09,2.988e+09,4.02e+08,2.99e+08,4.102e+09,5.375e+09,1.179e+09,6.01e+08,1.9e+07,5.59e+08,3.08e+08,3.08e+08,1.851e+09,4.99e+08,2.26e+08,1.38e+09,3.231e+09,3.96e+08,-9.19e+08,2.736e+09,-6.9e+07,2.144e+09,2.144e+09,5.375e+09,1.99e+08,4.3e+07,-1.7e+07,2.06e+08,4.31e+08,-1.8e+07,-10357742.5483977,-10357742.5483977,-6e+06,-18000000.0000001,3.8e+07,-2.88e+08,1.25e+08,1.25e+08,-1e+06,1.24e+08,2.8e+08,1.245e+09,4.85e+08,0.47248,0.18119,0.15214,0.09282,0.03702,2.43719,0.68774,1.507,0.23163,3.72072,3.68762,24.45579,40.08656,9.06809,7,0.05118,0.12474,3.84643,4.5443
"45","2021_Q2",498.370793650794,"Up",1.347e+09,-6.92e+08,6.55e+08,-3.82e+08,-2.16e+08,-1.34e+08,-8.2e+07,-1.4e+08,-2.6e+07,2.73e+08,4e+06,2e+06,2.77e+08,-1e+06,2.76e+08,-4.8e+07,2.28e+08,2.28e+08,2.28e+08,2.28e+08,1.77e+08,1.77e+08,5.21e+08,5.21e+08,5.28e+08,1.17e+08,1.1e+08,1.343e+09,2.69e+08,3.799e+09,2.989e+09,3.76e+08,3.01e+08,4.068e+09,5.411e+09,1.068e+09,5.73e+08,3.8e+07,4.57e+08,3.44e+08,3.44e+08,1.546e+09,4.98e+08,2.11e+08,1.454e+09,3e+09,4.06e+08,-9.19e+08,2.964e+09,-4e+07,2.411e+09,2.411e+09,5.411e+09,2.28e+08,4.4e+07,1e+06,-4.9e+07,2.24e+08,-1e+07,-1e+07,-1e+07,-1.3e+07,-2.3e+07,-2.5e+07,-1.81e+08,2e+07,2e+07,-2e+06,1.8e+07,3.17e+08,1.09e+09,3.06e+08,0.48627,0.20267,0.16927,0.09457,0.04214,1.34211,0.86869,1.2443,0.20144,4.26294,4.22501,25.18498,45.07868,5.72131,8,0.05701,0.07652,2.88013,3.34432
"46","2021_Q3",557.27484375,"Up",1.377e+09,-7.19e+08,6.58e+08,-4.07e+08,-2.4e+08,-1.48e+08,-9.2e+07,-1.41e+08,-2.6e+07,2.51e+08,-9e+06,-1e+06,2.42e+08,-4e+06,2.38e+08,-1.9e+07,2.19e+08,2.19e+08,2.19e+08,2.19e+08,3.18e+08,3.18e+08,5.67e+08,5.67e+08,4.85e+08,1.56e+08,1.02e+08,1.526e+09,2.7e+08,3.797e+09,2.989e+09,3.72e+08,3.05e+08,4.067e+09,5.593e+09,1.155e+09,5.97e+08,3.4e+07,5.24e+08,3.48e+08,3.48e+08,1.55e+09,5.1e+08,2.11e+08,1.454e+09,3.004e+09,4.28e+08,-9.84e+08,3.183e+09,-3.8e+07,2.589e+09,2.589e+09,5.593e+09,2.19e+08,4.4e+07,2e+07,3.2e+07,3.15e+08,-1.5e+07,-1.5e+07,-1.5e+07,-4e+06,-3.6e+07,-2.3e+07,-1.48e+08,1.31e+08,1.31e+08,-2e+06,1.29e+08,2.95e+08,9.91e+08,3.31e+08,0.47785,0.18228,0.15904,0.08459,0.03916,1.51142,0.98452,1.16029,0.17719,4.09466,4.05824,25.74589,48.40676,6.18874,9,0.05355,0.08093,2.28136,2.68127
"47","2021_Q4",567.7553125,"Up",1.436e+09,-7.9e+08,6.46e+08,-4.03e+08,-2.33e+08,-155027847.554028,-97950629.5223259,-1.41e+08,-2.9e+07,2.43e+08,-9e+06,-4e+06,2.34e+08,-6e+06,2.28e+08,-2.9e+07,1.99e+08,1.99e+08,1.99e+08,1.99e+08,3.07e+08,3.07e+08,6.13e+08,6.13e+08,4.38e+08,1.66e+08,9.4e+07,1.524e+09,2.74e+08,4.067e+09,3.194e+09,4.56e+08,3.11e+08,4.341e+09,5.865e+09,1.167e+09,6.09e+08,8e+06,5.5e+08,3.63e+08,3.63e+08,1.581e+09,5.28e+08,2.1e+08,1.468e+09,3.049e+09,4.48e+08,-9.86e+08,3.382e+09,-2.8e+07,2.816e+09,2.816e+09,5.865e+09,1.99e+08,4.8e+07,1.5e+07,3.5e+07,2.97e+08,-1.3e+07,-16494213.092262,-16494213.092262,-7e+06,-3.1e+08,-2.2e+07,-2.2e+07,-3.5e+07,-3.5e+07,4e+06,-3.1e+07,2.91e+08,9.91e+08,3.42e+08,0.44986,0.16922,0.13858,0.07067,0.03393,1.71859,0.96395,1.08274,0.16897,3.72533,3.69431,26.8823,52.71626,6.40233,9,0.04591,0.07889,2.35052,2.81481
