"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",42.299375,"Up",77749000,-34105000,43644000,-45932000,-43750000,-2182000,-2288000,-118000,-118000,-2406000,-25000,-2431000,698000,-1733000,-1733000,-1733000,-1733000,136331000,82073000,62154000,62154000,33363000,18641000,14722000,231848000,24487000,84401000,559000,76900000,6942000,108888000,340736000,35613000,353000,35260000,155425000,155425000,191038000,8403000,8403000,8403000,199441000,186560000,-166310000,121495000,-450000,141295000,141295000,340736000,-1733000,2182000,2493000,4863000,7805000,-1324000,-1428000,-1837000,2530000,-66000,-5514000,863000,863000,1420000,2283000,-106000,0,2735000,0.56134,-0.02943,-0.02229,-0.01227,-0.00509,-1.57819,1.21362,1.41152,0,-0.09609,-0.09609,4.31077,7.83405,0.15164,0.01255,0.01827,1286.14151,59.58523
"32","2018_Q3",45.6047619047619,"Up",96353000,-39071000,57282000,-45926000,-43649000,-2277000,11356000,271000,271000,11627000,-349000,11278000,-3490000,7788000,7788000,7788000,7788000,143087000,92997000,49486000,49486000,25303000,12789000,12514000,217876000,23342000,84924000,617000,76551000,7756000,108266000,326142000,34914000,614000,34300000,143023000,143023000,177937000,8094000,8094000,8094000,186031000,189780000,-171585000,125698000,-3782000,140111000,140111000,326142000,7788000,2277000,1247000,9169000,20481000,-1220000,1750000,-4127000,1148000,-35999.9999999998,-7748000,14483000,14483000,-3559000,10924000,13633000,-4.65661287307739e-10,25072000,0.5945,0.11786,0.08083,0.05558,0.02388,3.21931,1.22446,1.32774,0,0.43351,0.42581,5.36337,7.79911,1.3956,0.07674,0.16917,-10.4956400000001,-12.60012
"33","2018_Q4",42.4996825396825,"Down",84890000,-34361000,50529000,-44610000,-42243000,-2367000,5919000,319000,319000,6238000,-994000,5244000,-1294000,3950000,3950000,3950000,3950000,144452000,92057000,38552000,38552000,24176000,13292000,10884000,207180000,22403000,98911000,5368000,85126000,8417000,121314000,328494000,41876000,512000,41364000,128435000,128435000,170311000,11353000,11353000,11353000,181664000,197032000,-171889000,126006000,-4319000,146830000,146830000,328494000,3950000,2367000,1653000,1176000,9146000,-617000,-10762000,7235000,7539000,-2407000,1185000,-431000,-431000,-509000,-940000,8286000,0,10139000,0.59523,0.06973,0.04653,0.0269,0.01202,2.56684,1.21648,1.23724,0,0.21838,0.21429,4.69317,8.11754,0.56054,0.048,0.0641,-17.43326,-24.4048
"34","2019_Q1",46.5967213114754,"Up",98583000,-38965000,59618000,-48393000,-46102000,-2291000,11225000,202000,202000,11427000,-1993000,9434000,-4059000,5375000,5375000,5375000,5375000,140296000,140296000,67318000,67318000,28479000,12802000,15677000,236093000,22005000,95426000,4951000,85165000,5310000,117431000,353524000,54653000,588000,54065000,135332000,135332000,189985000,11939000,11939000,11939000,201924000,200926000,-171889000,127717000,-5154000,151600000,151600000,353524000,5375000,2291000,5947000,-12627000,986000,-1888000,50526000,1803000,1803000,-17000,-1877000,49635000,49635000,-1396000,48239000,13516000,-3.72529029846191e-09,3060000,0.60475,0.11386,0.05452,0.03546,0.0152,0.5693,1.24269,1.33195,-6.93889390390723e-18,0.29412,0.2865,5.39442,8.29549,0.16744,0.05527,0.01871,-10.3799899999999,-12.49853
"35","2019_Q2",48.1480952380952,"Up",100649000,-45110000,55539000,-63456000,-55223000,-8233000,-7917000,-2622000,-270000,-10539000,-3003000,-13542000,226000,-13316000,-13316000,-13316000,-13316000,75012000,75012000,69122000,69122000,33553000,16299000,17254000,177687000,26357000,436334000,114684000,242543000,79107000,462691000,640378000,71155000,1209000,69946000,191612000,191612000,269798000,83038000,83038000,226766000,496564000,206886000,-171889000,114401000,-5584000,143814000,143814000,640378000,-13316000,8233000,-7248000,38319000,25988000,-2772000,-241715000,3361000,3361000,-1712000,151361000,-64366000,-64366000,438000,-63928000,316000,150759000,35637000,0.55181,-0.07866,-0.1323,-0.09259,-0.02079,-2.67625,0.65859,3.45282,0.23542,-0.72515,-0.72515,5.48108,7.83173,1.9407,-0.03526,0.09437,239.7057,-9.56764
"36","2019_Q3",39.59171875,"Down",128183000,-56571000,71612000,-64503000,-57238000,-7265000,7109000,-2171000,-86000.0000000001,4938000,-2495000,2443000,-888000,1555000,1555000,1555000,1555000,69762000,69762000,65824000,65824000,31064000,16227000,14837000,166650000,25974000,431846000,108661000,242265000,80920000,457820000,624470000,70802000,3462000,67340000,180910000,180910000,259525000,83719000,83719000,215259000,474784000,210609000,-171889000,115956000,-4990000,149686000,149686000,624470000,1555000,7265000,2983000,-4262000,7541000,-1894000,-1863999.99999994,919000,919000,-40999.9999999995,-10684000,-5007000,-5007000,-249000,-5256000,14374000,139353000,9106000.00000001,0.55867,0.05546,0.01213,0.01039,0.00249,5.85595,0.64213,3.17187,0.22315,0.0843500000000003,0.0843499999999999,6.95324,8.11966,0.49395,0.00417000000000001,0.02443,4.84145000000001,9.78914
"37","2019_Q4",37.2828125,"Down",108596000,-44929000,63667000,-62913000,-55138000,-7775000,754000,-1777000,127000,-1023000,-2411000,-3434000,735000,-2699000,-2699000,-2699000,-2699000,67629000,67629000,54612000,54612000,28629000,14988000,13641000,150870000,27609000,419852000,102915000,238826000,78111000,447461000,598331000,71981000,1093000,70888000,168008000,168008000,248583000,78741000,78741000,202096000,450679000,212888000,-171889000,113257000,-6604000,147652000,147652000,598331000,-2699000,7775000,14565000,-7548000,12093000,-3696000,-2438000,1309000,1309000,-4138000,-10392000,-737000,-737000,-1401000,-2138000,8529000,131949000,-3450000,0.58627,0.00694,-0.02485,-0.01828,-0.00451,1.27825,0.60692,3.05231,0.22053,-0.14553,-0.14553,5.85549,7.96139,-0.18602,-0.00753,-0.00963,7.54133,85.30504
"38","2020_Q1",38.0288709677419,"Up",124269000,-50116000,74153000,-66226000,-58308000,-7918000,7927000,-1999000,-286000,5928000,-994000,4934000,-44000,4890000,4890000,4890000,4890000,67904000,67904000,84605000,84605000,39527000,19201000,20326000,192036000,29937000,417187000,97363000,243895000,75929000,447124000,639160000,80362000,505000,79857000,179194000,179194000,268931000,90971000,90971000,212141000,481072000,216687000,-171889000,118147000,-4857000,158088000,158088000,639160000,4890000,7918000,11875000,-21899000,2784000,-3528000,-3528000.00000001,738000,738000,-23000,-847000,-1591000,-1591000,1809000,218000.000000002,15845000,130545000,-9538000,0.59671,0.06379,0.03935,0.03093,0.00765,-1.95051,0.71407,3.04306,0.20424,0.26256,0.26256,6.67252,8.4884,-0.51213,0.01288,-0.02513,3.95336,7.90223
"39","2020_Q2",31.738253968254,"Down",106345000,-43353000,62992000,-59396000,-52278000,-7118000,3596000,-1228000,310000,2368000,-2862000,-494000,-19000,-513000,-513000,-513000,-513000,69815000,69815000,59505000,59505000,43583000,24980000,18603000,172903000,28748000,406647000,92655000,242690000,71302000,435395000,608298000,51802000,352000,51450000,195399000,195399000,257357000,88567000,88567000,192769000,450126000,220542000,-171889000,117477000,-7958000,158172000,158172000,608298000,-513000,7118000,7714000,7504000,21823000,-2401000,-2401000,1955000,1955000,-902000,-15291000,4131000,4131000,-2683000,1448000,10714000,114358000,15836000,0.59234,0.03381,-0.00482,-0.00324,-0.00084,-30.8694,0.67184,2.8458,0.188,-0.02743,-0.02743,5.68538,8.45613,0.84662,-0.00142,0.04386,4.15746,12.38682
"40","2020_Q3",34.21640625,"Up",113541000,-43964000,69577000,-57734000,-50573000,-7161000,11843000,-1508000,-201000,10335000,1740000,12075000,-238000,11837000,11837000,11837000,11837000,68377000,68377000,54108000,54108000,36446000,21417000,15029000,158931000,29019000,400609000,87994000,243201000,69414000,429628000,588559000,45473000,1201000,44272000,170777000,170777000,227188000,86727000,86727000,187962000,415150000,223012000,-171889000,129314000,-7028000,173409000,173409000,588559000,11837000,7161000,1981000,-17800000,3178999.99999999,-2709000,-2709000,55000.0000000002,55000.0000000005,-48999.9999999995,-2338000,-1868000,-1868000,428999.999999999,-1439000,19004000,112173000,-1267000,0.61279,0.10431,0.10425,0.06826,0.02011,-0.107040000000001,0.69956,2.39405,0.19059,0.631,0.62461,6.05261,9.24404,-0.0675399999999998,0.03179,-0.00340000000000001,2.30457,3.69805
"41","2020_Q4",39.95671875,"Up",108577000,-46125000,62452000,-61950000,-54684000,-7266000,502000,-1533000,-274000,-1031000,-328000,-1359000,-2401000,-3760000,-3760000,-3760000,-3760000,73027000,73027000,54141000,54141000,30449000,16041000,14408000,157617000,28531000,406627000,83386000,244990000,78251000,435158000,592775000,56509000,1707000,54802000,155418000,155418000,223646000,96153000,96153000,194421000,418067000,225289000,-171889000,125554000,-4246000,174708000,174708000,592775000,-3760000,7266000,6468000,-5777000,4197000,-2169000,2166000,1504000,1504000,-2989000,-3828000,2535000,2535000,1674000,4209000,7768000,109987000,2223000,0.57519,0.00462,-0.03463,-0.02152,-0.00634,-0.59122,0.70476,2.39295,0.18555,-0.19923,-0.19828,5.75303,9.25703,0.11779,-0.00987,0.00584,4.75798,73.6255
"42","2021_Q1",43.4034426229508,"Up",120521000,-47457000,73064000,-67051000,-59034000,-8017000,6013000,-1445000,-209000,4568000,-1857000,2711000,-285000,2426000,2426000,2426000,2426000,90257000,90257000,61183855.953517,61183855.953517,126903000,18588000,108315000,217160000,27032000,400026000,77995000,247211000,74820000,427058000,644218000,77277000,657000,76620000,179968000,179968000,269745000,93408000,93408000,188707000,458452000,230128000,-171889000,127981000,-690000,185766000,185766000,644218000,2426000,8017000,6623000,1489000,18555000,-1626000,-1626000,2192000,2192000,-2078000,-2230000,14699000,14699000,2543000,17242000,14030000,107799000,14178000,0.60623,0.04989,0.02013,0.01306,0.00377,5.84419,0.80506,2.4679,0.16733,0.12788,0.12688,6.35291,9.77966,0.74735,0.00627000000000001,0.03664,1.25032,2.91735
"43","2021_Q2",43.1368253968254,"Down",113781000,-47477000,66304000,-58650000,-52457000,-6193000,7654000,-1599000,-470000,6055000,-118000,5937000,-1981000,3956000,3956000,3956000,3956000,125600000,125600000,68822000,68822000,41850000,19913000,21937000,236272000,26513000,400934000,73898000,245691000,81345000,427447000,663719000,55127000,380000,54747000,216522000,216522000,284149000,95014000,95014000,187333000,471482000,234990000,-171889000,131937000,-2801000,192237000,192237000,663719000,3956000,6193000,3516000,26886000,40551000,-1468000,-1468000,2614000,2614000,-480000,-991000,38092000,38092000,-478000,37614000,13847000,104819000,41246000,0.58273,0.06727,0.03477,0.02058,0.00596,10.42619,0.83151,2.45261,0.15793,0.20754,0.2051,5.96931,10.08536,2.16389,0.01009,0.1052,-1.50076,-2.71505
"44","2021_Q3",46.91265625,"Up",128670000,-52258000,76412000,-63113000,-56890000,-6223000,13299000,-1267000,-201000,12032000,-216000,11816000,-3473000,8343000,8343000,8343000,8343000,146387000,146387000,63397000,63397000,35167000,15923000,19244000,244951000,28645000,394854000,69990000,246235000,78629000,423499000,668450000,64772000,1037000,63735000,210288000,210288000,287560000,90046000,90046000,179388000,466948000,237723000,-174562000,140280000,-1939000,201502000,201502000,668450000,8343000,6223000,3699000,11277000,29542000,-3775000,-3775000,-2222000,451000,-115000,-5462000,20305000,20305000,356000,20661000,19522000,101842000,30497000,0.59386,0.10336,0.06484,0.0414,0.01248,3.6554,0.85183,2.31734,0.15236,0.4377,0.43255,6.75043,10.57143,1.59997,0.02121,0.07752,-2.28178,-3.3495
"45","2021_Q4",55.579375,"Up",118136000,-49836000,68300000,-61761000,-55723000,-6038000,6539000,-1251000,-195000,5288000,-367476.817249969,5288000,-766000,4522000,4522000,4522000,4522000,146350000,129332000,52317000,52317000,39452000,21393000,18059000,238119000,29743000,386930000,66260000,245212000,75458000,416673000,654792000,70183000,7e+05,69483000,194164000,194164000,276847000,90429000,90429000,176793000,453640000,242208000,-182535000,144802000,-3323000,201152000,201152000,654792000,4522000,6038000,8482000,-4143000,14899000,-4602000,-21607000,-3198000,4775000,-2752000,-9075000,-15783000,-15783000,-1342000,-17125000,12577000,98864000,4598000,0.57815,0.05535,0.03828,0.02248,0.00691,1.01681,0.86011,2.25521,0.15099,0.23653,0.23338,6.17931,10.5216,0.24051,0.01158,0.01178,-3.77562,-7.26197
"46","2022_Q1",53.9161290322581,"Down",133728000,-52244000,81484000,-7e+07,-63935000,-6065000,11484000,-1334000,-363000,10150000,0,10150000,-2127000,8023000,8023000,8023000,8023000,134278000,115769000,86965000,86965000,48245000,18614000,29631000,269488000,28245000,382396000,62733000,244994000,74669000,410641000,680129000,98640000,840000,97800000,213696000,213696000,312336000,88886000,88886000,163886000,476222000,246226000,-191955000,152825000,-3189000,203907000,203907000,680129000,8023000,6065000,7937000,50000,22075000,-9e+05,-2445999.99999999,-8095000,1325000,-520000,-33615000,-13986000,-13986000,215000,-13771000,17549000,7.5e+07,18826000,0.60933,0.08588,0.05999,0.03935,0.0118,2.3465,0.86281,2.33549,0.11027,0.41966,0.41407,6.99487,10.66571,0.98473,0.02181,0.05119,-3.37786,-5.16179
"47","2022_Q2",51.8114516129032,"Down",124971000,-53251000,71720000,-65249000,-59568000,-5681000,6471000,-870000,-257000,5601000,426000,6027000,-1879000,4148000,4148000,4148000,4148000,131612000,112496000,70260000,70260000,47494000,20265000,27229000,249366000,27064000,375472000,59340000,244069000,72063000,402536000,651902000,57394000,887000,56507000,248084000,248084000,305478000,83994000,83994000,143994000,449472000,251001000,-201414000,156973000,-4371000,202430000,202430000,651902000,4148000,5681000,4914000,7923000,22666000,-1262000,-1912000,-7598000,1861000,-139000,-22737000,-1983000,-1983000,-1353000,-3336000,12152000,6e+07,20692000,0.57389,0.05178,0.03319,0.02049,0.00636,4.98843,0.81631,2.22038,0.09204,0.21697,0.21408,6.53682,10.57584,1.08233,0.01197,0.05973,-5.89302,-11.0666
"48","2022_Q3",42.95296875,"Down",148246000,-60991000,87255000,-66552000,-60899000,-5653000,20703000,-432000,103000,20271000,-1.16415321826935e-10,20271000,-6397000,13874000,13874000,13874000,13874000,122613000,103225000,59014000,59014000,40920000,18350000,22570000,222547000,26159000,366224000,55904000,241471000,68849000,392383000,614930000,66448000,101000,66347000,210592000,210592000,277040000,77791000,77791000,127791000,404831000,254937000,-207067000,170847000,-8860000,210099000,210099000,614930000,13874000,5653000,4320000,-11758000,12089000,-1436000,-1680000,-5437000,216000,-116000,-15553000,-5144000,-5144000,-4292000,-9436000,26356000,5e+07,19559000,0.58858,0.13965,0.09359,0.06604,0.02256,1.40976,0.8033,1.92686,0.08131,0.7352,0.72362,7.85576,11.12061,1.03646,0.04106,0.05789,-2.75508,-3.50737
