"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",16.49640625,"Up",204897000,-125206000,79691000,-56431000,-56431000,23260000,1487000,1487000,24747000,24747000,-6409000,18338000,18338000,18338000,18338000,223087000,168387000,54700000,7061000,118181000,19182000,19182000,367511000,145851000,460869000,-315018000,17876000,6918000,6918000,170645000,538156000,75355000,25818000,31592000,15305000,15305000,90660000,48298000,15337000,32961000,48298000,138958000,146251000,253036000,399198000,399198000,538156000,18338000,6948000,1396000,-7351000,19331000,-3479000,-290000,-3769000,-12261000,-12261000,3301000,3301000,3301000,30208000,0,25787000,0.38893,0.11352,0.0895,0.04594,0.03408,1.40621,4.05373,0.34809,0,0.37905,0.37771,4.23525,8.25147,0.53302,0.25344,0.06838,0.05763,0.66861,-7.38503,-9.59101
"34","2018_Q3",16.5865079365079,"Up",201080000,-122149000,78931000,-58770000,-58770000,20161000,972000,972000,21133000,21133000,-5474000,15659000,15659000,15659000,15659000,220549000,168949000,51600000,12105000,127899000,18855000,18855000,379408000,141226000,460367000,-319141000,17300000,7158000,7158000,165684000,545092000,79358000,46217000,33141000,14103000,14103000,93461000,47524000,15784000,31740000,47524000,140985000,147663000,256444000,404107000,404107000,545092000,15659000,6969000,1274000,-12361000,11541000,-2618000,3796000,1272000,-12251000,-12251000,562000,562000,562000,27130000,0,17625000,0.39254,0.10026,0.07787,0.03875,0.02873,1.12555,4.05953,0.34888,0,0.32367,0.32225,4.15635,8.35294,0.36431,0.25323,0.0618,0.03903,0.78236,-8.12934,-10.93939
"35","2018_Q4",13.8085714285714,"Down",215107000,-128950000,86157000,-59856000,-59856000,26301000,1332000,1332000,27633000,27633000,-7157000,20476000,20476000,20476000,20476000,223523000,177918000,45605000,8266000,145473000,19862000,19862000,397124000,136479000,460523000,-324044000,18322000,7170000,7170000,161971000,559095000,88247000,48400000,39847000,13907000,13907000,102154000,44091000,13804000,30287000,44091000,146245000,148074000,264776000,412850000,412850000,559095000,20476000,6391000,319000,-9440000,17746000,-1700000,4973000,3367000,-12144000,-12144000,8969000,8969000,8969000,32692000,0,28709000,0.40053,0.12227,0.09519,0.0496,0.03662,1.40208,3.8875,0.35423,0,0.42324,0.42122,4.44629,8.53366,0.59342,0.25102,0.07139,0.06283,0.59308,-6.83724,-8.49865
"36","2019_Q1",13.2465573770492,"Down",264412000,-143118000,121294000,-70088000,-70088000,51206000,1925000,1925000,53131000,53131000,-11996000,41135000,41135000,41135000,41135000,220017000,168471000,51546000,7089000,125190000,18136000,18136000,370432000,130682000,452187000,-321505000,18745000,7443000,7443000,156870000,527302000,73584000,29008000,39434000,16634000,16634000,90218000,43207000,13978000,29229000,43207000,133425000,149054000,244823000,393877000,393877000,527302000,41135000,6540000,2124000,10310000,60109000,-2074000,-6364000,-8468000,-61088000,-61088000,-9447000,-9447000,-9447000,57746000,0,77978000,0.45873,0.19366,0.15557,0.10444,0.07801,1.89566,4.10597,0.33875,0,0.84788,0.84461,5.45011,8.11866,1.6073,1.25916,0.23387,0.17841,1.48506,-3.81008,-4.2967
"37","2019_Q2",12.9744444444444,"Down",201313000,-124660000,76653000,-57919000,-57919000,18734000,1255000,1255000,19989000,19989000,-4897000,15092000,15092000,15092000,15092000,237598000,183939000,53659000,5780000,120814000,20406000,20406000,384598000,126873000,453578000,-326705000,15667000,353227000,353227000,495767000,880365000,79944000,36533000,33760000,87119000,87119000,167063000,315344000,14914000,300430000,315344000,482407000,150352000,247606000,397958000,397958000,880365000,15092000,6180000,1039000,6963000,29274000,-2462000,965000,-1497000,-12309000,-12309000,15468000,15468000,15468000,24914000,0,34312000,0.38077,0.09306,0.07497,0.03792,0.01714,2.27352,2.30211,1.21221,0,0.31084,0.30968,4.14634,8.19653,0.70671,0.25352,0.03841,0.0481,0.8156,-9.53673,-12.68272
"38","2019_Q3",14.40046875,"Up",203817000,-125120000,78697000,-59095000,-59095000,19602000,2086000,2086000,21688000,21688000,-5314000,16374000,16374000,16374000,16374000,230092000,178041000,52051000,11206000,129068000,21059000,21059000,391425000,122131000,453416000,-331285000,15477000,343400000,343400000,481008000,872433000,77311000,42531000,34780000,89297000,89297000,166608000,302632000,14984000,287648000,302632000,469240000,151519000,251674000,403193000,403193000,872433000,16374000,6247000,1165000,-17517000,6269000,-1690000,1798000,207000.000000001,-12306000,-12374000,-5898000,-5898000,-5898000,25849000,0,11956000,0.38612,0.09617,0.08034,0.04061,0.01877,0.73018,2.34938,1.16381,0,0.33726,0.33581,4.19808,8.3047,0.24626,0.25347,0.04063,0.01694,0.75156,-8.90139,-11.73819
"39","2019_Q4",18.03953125,"Up",224121000,-130587000,93534000,-60224000,-60224000,33310000,1105000,1105000,34415000,34415000,-8431000,25984000,25984000,25984000,25984000,245782000,213836000,31946000,9432000,138879000,22195000,22195000,416288000,117761000,453859000,-336098000,15710000,348356000,348356000,481827000,898115000,84432000,44771000,39661000,94229000,94229000,178661000,302116000,15410000,286706000,302116000,480777000,151875000,265463000,417338000,417338000,898115000,25984000,5594000,412000,-2666000,29324000,-1304000,19872000,18666000,-12195000,-12195000,35795000,35795000,35795000,38904000,0,43365000,0.41734,0.14863,0.11594,0.06226,0.02893,1.66891,2.33004,1.15201,0,0.53522,0.53235,4.61648,8.5964,0.89324,0.25119,0.05307,0.06027,0.46933,-6.31765,-7.37863
"40","2020_Q1",18.048064516129,"Up",271003000,-142413000,128590000,-68739000,-68739000,59851000,1764000,1764000,61615000,61615000,-14636000,46979000,46979000,46979000,46979000,233501000,220969000,12532000,3136000,121258000,20935000,20935000,378830000,113848000,452205000,-338357000,15863000,359349000,359349000,489060000,867890000,70008000,26491000,40766000,102633000,102633000,172641000,306101000,15863000,290238000,306101000,478742000,152750000,236398000,389148000,389148000,867890000,46979000,5768000,-334000,13385000,65798000,-1853000,19261000,17379000,-76044000,-76044000,7133000,7133000,7133000,65619000,0,91787000,0.4745,0.22085,0.17335,0.12072,0.05413,1.95379,2.19432,1.23023,0,0.9647,0.95977,5.56497,7.99105,1.88482,1.56154,0.17695,0.13202,1.61868,-3.55844,-3.90137
"41","2020_Q2",12.0779365079365,"Down",115413000,-88588000,26825000,-43007000,-43007000,-16182000,574000,574000,-15608000,-15608000,3824000,-11784000,-11784000,-11784000,-11784000,202698000,185037000,17661000,1774000,121671000,13438000,13438000,339581000,110069000,451142000,-341073000,15922000,336078000,336078000,462069000,801650000,40521000,19212000,21237000,97923000,97923000,138444000,285257000,15204000,270053000,285257000,423701000,153335000,224614000,377949000,377949000,801650000,-11784000,5484000,768000,-22768000,-28300000,-2072000,-5188000,-7260000,-53796029.8794104,-372000,-35932000,-35932000,-35932000,-10698000,0,-39362000,0.23243,-0.14021,-0.1021,-0.0311799999999999,-0.0147,3.34029,2.45284,1.12105,0,-0.24185,-0.24087,2.36866,7.75678,-0.80784,1.10690411003391,-0.01777,-0.05935,1.33229229284748,18.94728,12.52614
"42","2020_Q3",14.585,"Up",216025000,-122643000,93382000,-47850000,-47850000,45532000,404000,404000,45936000,45936000,-11254000,34682000,34682000,34682000,34682000,278351000,265714000,12637000,2394000,116479000,20388000,20388000,417612000,106079000,451899000,-345820000,16536000,315596000,315596000,438211000,855823000,79112000,48142000,30970000,94038000,94038000,173150000,268366000,16536000,251830000,268366000,441516000,155011000,259296000,414307000,414307000,855823000,34682000,5526000,1291000,35967000,77466000,-1310000,4410000,3211000,6627941.05219948,0,80677000,80677000,80677000,51058000,0,96969000,0.43227,0.21077,0.16055,0.08371,0.04052,2.79595,2.41185,1.06567,0,0.71197,0.70904,4.43465,8.50506,1.99062,-0.132092482109245,0.0508,0.14204,0.251875545855269,-5.45166,-6.1133
"43","2020_Q4",22.3053125,"Up",251005000,-134055000,116950000,-62824000,-62824000,54126000,1020000,1020000,55146000,55146000,-13511000,41635000,41635000,41635000,41635000,339333000,331923000,7410000,1763000,118707000,21749000,21749000,481552000,102297000,451708000,-349411000,16729000,297301000,297301000,416327000,897879000,112330000,57629000,46707000,90953000,90953000,203283000,252192000,16729000,235463000,252192000,455475000,156272000,286132000,442404000,442404000,897879000,41635000,4683000,1015000,29832000,77165000,-1172000,5034000,3843000,-14799000,-14799000,66209000,66209000,66209000,58809000,0,100980000,0.46593,0.21564,0.16587,0.09411,0.04637,2.42536,2.36887,1.02955,0,0.85465,0.84992,5.15241,9.08129,2.07283,0.303780000000002,0.08125,0.14538,0.355450000000002,-5.77009,-6.26932
"44","2021_Q1",33.0944262295082,"Up",318835000,-155324000,163511000,-78965000,-78965000,84546000,927000,927000,85473000,85473000,-19867000,65606000,65606000,65606000,65606000,322148000,318789000,3359000,2823000,101063000,11190000,11190000,437224000,100415000,451357000,-350942000,18320000,289855000,289855000,408590000,845814000,110318000,43399000,56168000,96041000,96041000,206359000,242826000,18320000,224506000,242826000,449185000,158552000,238077000,396629000,396629000,845814000,65606000,5170000,2078000,28235000,101089000,-2992000,2460000,-562000,-113661000,-113661000,-13134000,-13134000,-13134000,89716000,0,134826000,0.51284,0.26517,0.20577,0.16541,0.07757,2.05509,2.11875,1.13251,0,1.34257,1.33267,6.52468,8.11667,2.7591,2.32597,0.28034,0.21085,1.73248,-3.59075,-3.81033
"45","2021_Q2",37.5801587301587,"Up",299125000,-151572000,147553000,-71751000,-71751000,75802000,51000,51000,75853000,75853000,-18584000,57269000,57269000,57269000,57269000,393850000,393153000,697000,1670000,89017000,20615000,20615000,505152000,100035000,452662000,-352627000,19087000,291933000,291933000,411055000,916207000,137198000,53632000,53829000,96843000,96843000,234041000,242068000,19087000,222981000,242068000,476109000,161182000,278916000,440098000,440098000,916207000,57269000,4812000,2194000,29260000,93535000,-4636000,1895000,-2741000,-16430000,-16430000,74364000,74364000,74364000,80614000,0,123822000,0.49328,0.25341,0.19146,0.13013,0.06251,2.16211,2.15839,1.08182,0,1.17463,1.16845,6.13527,9.02673,2.53968,0.33699,0.10804,0.18151,0.28689,-4.88563,-5.19577
"46","2021_Q3",38.02546875,"Up",295120000,-153101000,142019000,-74137000,-74137000,67882000,222000,222000,68104000,68104000,-16685000,51419000,51419000,51419000,51419000,415306000,406714000,8592000,6667000,95276000,20294000,20294000,537543000,99687000,452460000,-352773000,19558000,275897000,275897000,395142000,932685000,132414000,67812000,64602000,93689000,93689000,226103000,229030000,19558000,209472000,229030000,455133000,163646000,313906000,477552000,477552000,932685000,51419000,4888000,1906000,-15281000,42932000,-4576000,-8366000,-12942000,-16429000,-16429000,13561000,13561000,13561000,72770000,0,69598000,0.48122,0.23001,0.17423,0.10767,0.05513,1.35355,2.37743,0.95305,0,1.05053,1.04245,6.0295,9.75671,1.42193,0.33566,0.09602,0.0985,0.31951,-5.7071,-6.11806
"47","2021_Q4",40.759375,"Up",319432000,-158366000,161066000,-78851000,-78851000,82215000,192000,192000,82407000,82407000,-20190000,62217000,62217000,62217000,62217000,480035000,468733000,11302000,5629000,100593000,11771000,11771000,598028000,99284000,454118000,-354834000,20024000,276494000,276494000,395802000,993830000,143784000,63518000,80262000,95511000,95511000,239295000,228731000,20024000,208707000,228731000,468026000,166110000,359694000,525804000,525804000,993830000,62217000,4332000,2076000,15965000,84590000,-2966000,-3176000,-6142000,-16429000,-16429000,62019000,62019000,62019000,86547000,0,119736000,0.50423,0.25738,0.19477,0.11833,0.0626,1.92449,2.49912,0.89011,0,1.27114,1.26037,6.52621,10.74253,2.44629,0.33566,0.10423,0.15869,0.26406,-5.54652,-5.83878
"48","2022_Q1",33.5756451612903,"Down",380930000,-178559000,202371000,-92771000,-92771000,109600000,1791000,1791000,111391000,111391000,-27476000,83915000,83915000,83915000,83915000,266896000,253970000,12926000,12087000,102095000,10128000,10128000,391206000,100504000,453228000,-352724000,19352000,269822000,269822000,389678000,780884000,143798000,59950000,82319000,104743000,104743000,248541000,219419000,19352000,200067000,219419000,467960000,167825000,145099000,312924000,312924000,780884000,83915000,4657000,2721000,-596000,90697000,-5968000,-952000,-6950000,-298510000,-298510000,-214763000,-214763000,-214763000,114257000,0,135169000,0.53126,0.28772,0.22029,0.26816,0.10746,1.61078,1.57401,1.49544,0,1.74163,1.74685,7.90606,6.49462,2.80538,6.19547,0.71838,0.25391,3.55729,-2.33593,-2.43518
"49","2022_Q2",28.6867741935484,"Down",309064000,-156904000,152160000,-79101000,-79101000,73059000,125000,125000,73184000,73184000,-17930000,55254000,55254000,55254000,55254000,262968000,250073000,12895000,4414000,121166000,19663000,19663000,408211000,103288000,457179000,-353891000,20136000,257399000,257399000,380823000,789034000,125537000,61246000,50644000,98176000,98176000,223713000,211728000,20136000,191592000,211728000,435441000,170773000,182820000,353593000,353593000,789034000,55254000,4488000,2270000,-40509000,21503000,-7114000,-753000,-7867000,-17532999.9999999,-17533000,-3897000,-3897000,-3897000,77547000,0,47854000,0.49233,0.23639,0.17878,0.15626,0.07003,0.86607,1.82471,1.23148,0,1.12273,1.11561,6.28,7.18481,0.97237,0.35626,0.12875,0.08465,0.31732,-3.39108,-3.59939
"50","2022_Q3",29.10578125,"Up",301976000,-156607000,145369000,-79656000,-79656000,65713000,703000,703000,66416000,66416000,-16272000,50144000,50144000,50144000,50144000,284118000,266731000,17387000,13015000,128498000,9445000,9445000,435076000,106433000,460362000,-353929000,20640000,246915000,246915000,373988000,809064000,123042000,63036000,60006000,93238000,93238000,216280000,203806000,20163000,183643000,203806000,420086000,173547000,215431000,388978000,388978000,809064000,50144000,4693000,2353000,-9201000,47989000,-7806000,-5992000,-13798000,-17533000,-17533000,16658000.0000001,16658000.0000001,16658000.0000001,70406000,0,69671000,0.48139,0.21761,0.16605,0.12891,0.06198,1.38942,2.01163,1.07997,0,1.0189,1.01229,6.13598,7.90381,1.41567,0.35626,0.11417,0.11753,0.34965,-4.03542,-4.32362
