"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q4",171.650158730159,"Down",439191000,-259597000,179594000,-103366000,-69782000,-20454000,-13130000,76228000,-8016000,-5775000,-1259000,68212000,68212000,-14666000,53546000,53546000,53546000,53546000,498250000,498215000,251644000,251644000,247255000,55485000,48683000,1052634000,343883000,29084000,1237885000,377151000,830354000,8979000,21401000,1610852000,2663486000,293810000,129871000,36746000,127193000,303886000,149567000,67404000,840204000,1144090000,1519396000,2663486000,53546000,26258000,-3366000,34763000,111201000,-14841000,-17829000,-10800000,-2500000,0,-948000,92424000,92424000,-2356000,90068000,102486000,700713000,137074000,0.40892,0.17356,0.12192,0.03524,0.0201,2.55993,3.46391,0.75299,0.26308,2.13254,2.10223,17.49138,5.45916,0.43012,0.02715,0.05785,0.2017,1.97552,2.65602
"32","2019_Q1",178.081803278689,"Up",402281000,-247070000,155211000,-9.1e+07,-55789000,-21522000,-13689000,64211000,-11861000,-5589000,-763000,52350000,39767000,-7102000,32665000,32665000,32665000,32665000,489767000,489733000,232892000,232892000,258228000,51630000,49291000,1032517000,339894000,25405000,1216490000,361474000,826715000,7330000,20971000,1581789000,2614306000,285275000,126323000,20547000,138405000,295275000,155959000,72232000,840689000,1135964000,1478342000,2614306000,32665000,27133000,15342000,4571999.99999999,79712000,-10093000,-13685000,-10735000,25000.0000000149,18832000,-73362000,-7334999.99999999,-7334999.99999999,-1147000,-8481999.99999999,91344000,694730000,92925000,0.38583,0.15962,0.0812,0.0221,0.01249,2.84479,3.4968,0.7684,0.26574,1.30514,1.29146,16.07324,3.71284,0.42892,0.01863,0.0399,0.32864,2.24386,3.19202
"33","2019_Q2",175.384761904762,"Down",405500000,-250272000,155228000,-94555000,-62955000,-21409000,-10191000,60673000,-14234000,-5686000,-4305000,46439000,46439000,-9450000,36989000,36989000,36989000,36989000,476647000,476614000,237878000,237878000,261659000,53961000,53203000,1030145000,342334000,24640000,1227899000,350421000,825467000,8461000,43550000,1594873000,2625018000,259550000,129092000,23244000,107214000,269550000,173570000,89364000,850080000,1119630000,1505388000,2625018000,36989000,23279000,12097000,-41446000,30919000,-13469000,-14244000,-10625000,-22906000,0,-31333000,-14658000,-14658000,1539000,-13119000,83952000,686510000,38487000,0.38281,0.14963,0.09122,0.02457,0.01409,1.0405,3.82172,0.74375,0.26153,1.4965,1.47903,16.40571,1.55711,0.42987,0.02013,0.01627,0.28725,2.4998,3.45892
"34","2019_Q3",163.9740625,"Down",397879000,-256071000,141808000,-89174000,-57666000,-21458000,-10050000,52634000,933000,-5589000,2947000,53567000,53567000,-9775000,43792000,43792000,43792000,43792000,474815000,474781000,245723000,245723000,254305000,64706000,63332000,1039549000,338500000,25456000,1218080000,341174000,826408000,9200000,41298000,1582036000,2621585000,256411000,123058000,21657000,111696000,266411000,168292000,84587000,845232000,1111643000,1509942000,2621585000,43792000,22689000,-45967000,28659000,49173000,-5568000,-5568000,-10649000,15406000,0,-44291000,-686000,-686000,-1147000,-1833000,75323000,686940000,108189000,0.35641,0.13229,0.11006,0.029,0.0167,2.47052,3.90205,0.73622,0.26203,1.77002,1.75259,16.08177,4.37286,0.43042,0.02302,0.04574,0.24317,2.8162,4.03019
"35","2019_Q4",178.39171875,"Up",361971000,-231025000,130946000,-83779000,-54224000,-19728000,-9827000,47167000,-5763000,-5559000,4764000,41404000,41404000,-5757000,35647000,35647000,35647000,35647000,476090000,476057000,226352000,226352000,240059000,65091000,62361000,1007592000,329792000,26662000,1187315000,326417000,813653000,7485000,39760000,1543769000,2551361000,238749000,107211000,16989000,114549000,248749000,162240000,81739000,830400000,1079149000,1472212000,2551361000,35647000,23088000,16534000,5502000,80771000,-13148000,-13148000,-11716000,0,0,-59841000,7782000,7782000,-6506000,1276000,70255000,678160000,68366000,0.36176,0.13031,0.09848,0.02421,0.01397,1.91786,4.05064,0.73301,0.2658,1.45617,1.44402,14.7864,2.79273,0.47859,0.02048,0.02956,0.32867,2.87624,4.28414
"36","2020_Q1",163.109193548387,"Down",338523000,-220210000,118313000,-72963000,-45603000,-17402000,-9958000,45350000,-7843000,-5432000,-2823000,37507000,24474000,-1820000,22654000,22654000,22654000,22654000,531183000,531139000,202309000,202309000,237507000,33395000,28564000,1004394000,344617000,24099000,1186788000,321247000,820589000,8069000,36883000,1555504000,2559898000,215562000,117320000,14122000,84120000,225562000,169164000,81203000,838322000,1063884000,1496014000,2559898000,22654000,23447000,47049000,-8685000,84465000,-23497000,-23497000,-11699000,-2499999.99999999,7800000,-10811000,50157000,50157000,4925000,55082000,68797000,679158000,38435000,0.3495,0.13396,0.06692,0.01514,0.00885,1.69661,4.45285,0.71115,0.26531,0.92974,0.92127,13.89325,1.5774,0.48014,0.01465,0.01639,0.51642,2.15089,3.26295
"37","2020_Q2",148.40253968254,"Down",346096000,-221740000,124356000,-75644000,-51200000,-14463000,-9981000,48712000,-9251000,-5418000,-1249000,39461000,35499000,-10855000,24644000,24644000,24644000,24644000,620618000,620575000,207912000,207912000,227282000,36671000,32418000,1092483000,334829000,21248000,1164069000,308393000,812763000,7608000,35305000,1520146000,2612629000,198215000,106796000,17907000,73512000,208215000,163271000,77669000,927466000,1135681000,1476948000,2612629000,24644000,23802000,11824000,-14991000,45279000,-16536000,-16536000,-11725000,97500000,2956000,65804000,94547000,94547000,-5111000,89436000,72514000,774195000,51842000,0.35931,0.14075,0.07121,0.01669,0.00943,2.10364,5.2469,0.76894,0.29633,1.01029,1.00269,14.18833,2.12528,0.48067,0.01506,0.02147,0.47578,2.11789,3.15275
"38","2020_Q3",174.05265625,"Up",307337000,-207435000,99902000,-76187000,-53199000,-13161000,-9827000,23715000,1365000,-5855000,1210000,25080000,-10585000,1594000,-8991000,-8991000,-8991000,-8991000,651911000,651867000,185806000,185806000,248020000,33428000,31899000,1119165000,334677000,23678000,1133538000,301661000,787601000,7555000,36721000,1491893000,2611058000,209157000,113767000,10034000,85356000,209157000,163262000,77047000,939467000,1148624000,1462434000,2611058000,-8991000,23734000,36649000,4615000,56007000,-12854000,-12854000,-11678000,-2500000,-1100000,-15278000,27875000,27875000,3417000,31292000,47449000,776205000,37616000,0.32506,0.07716,-0.02925,-0.00615,-0.00344,-4.18374,5.35084,0.78542,0.29728,-0.3698,-0.36755,12.64085,1.54716,0.48032,0.00112,0.01566,-1.29885,2.61953,5.24116
"39","2020_Q4",217.6184375,"Up",391566000,-252735000,138831000,-72996000,-49929000,-12963000,-10104000,65835000,2868000,-4988000,1682000,68703000,67426000,-12070000,55356000,55356000,55356000,55356000,641942000,641890000,231930000,231930000,243832000,31230000,30012000,1148934000,339870000,26066000,1139500000,296159000,799791000,7173000,36377000,1505436000,2654370000,234606000,120938000,15231000,98437000,234606000,164695000,77832000,890202000,1124808000,1529562000,2654370000,55356000,24329000,-6033000,-10682000,62970000,-11998000,-11998000,-11697000,-6e+07,2795000,-68902000,-17930000,-17930000,7953000,-9977000,90164000,725507000,79554000,0.35455,0.16813,0.14137,0.03619,0.02085,1.43713,4.89729,0.73538,0.27333,2.27279,2.25345,16.07678,3.2663,0.48025,0.02771,0.03288,0.21131,0.92681,1.26931
"40","2021_Q1",262.170327868852,"Up",400696000,-262613000,138083000,-72257000,-50179000,-11951000,-10127000,65826000,3899000,-4816000,3440000,69725000,68913000,-9936000,58977000,58977000,58977000,58977000,687579000,687525000,232760000,232760000,258002000,38968000,35939000,1217309000,344178000,30547000,1155559000,291887000,816812000,11224000,35636000,1530284000,2747593000,275648000,145984000,19186000,110478000,275648000,176138000,80202000,863172000,1138820000,1608773000,2747593000,58977000,24313000,-14340000,24825000,93775000,-10045000,-10045000,-11739000,-5e+07,12307000,-49432000,34298000,34298000,11337000,45635000,90139000,687034000,114855000,0.34461,0.16428,0.14719,0.03666,0.02146,1.94745,4.41617,0.70788,0.25005,2.41491,2.38166,16.40717,4.70293,0.48067,0.02861,0.04646,0.19904,-0.00604999999999989,-0.00827999999999962
"41","2021_Q2",257.14253968254,"Down",463794000,-303328000,160466000,-83548000,-58288000,-14739000,-10521000,76918000,-3773000,-4673000,7737000,73145000,72708000,-14995000,57713000,57713000,57713000,57713000,572824000,572771000,276687000,276687000,295057000,47844000,43698000,1192412000,344914000,37285000,1212259000,317294000,845586000,9854000,39525000,1594458000,2786870000,301545000,179723000,23468000,98354000,326545000,175723000,81600000,799588000,1126133000,1660737000,2786870000,57713000,24198000,8124000,-39869000,50166000,-12168000,-122020000,-11782000,-3e+07,7509000,-34273000,-106127000,-106127000,-4101000,-110228000,101116000,648865000,64074000,0.34599,0.16585,0.12444,0.03475,0.02071,1.11022,3.6516,0.67809,0.23283,2.35256,2.31854,18.90567,2.61185,0.48027,0.02796,0.02578,0.20415,0.75202,0.9886
"42","2021_Q3",263.47,"Up",523488000,-326092000,197396000,-100350000,-73315000,-16394000,-10641000,97046000,-1060000,-4626000,1890000,95986000,95197000,-13102000,82095000,82095000,82095000,82095000,616348000,616330000,313332000,313332000,325774000,63464000,59503000,1318918000,352826000,39255000,1216499000,307771000,851070000,9837000,47821000,1608580000,2927498000,356692000,205138000,25109000,126445000,381692000,176669000,85975000,803586000,1185278000,1742220000,2927498000,82095000,24215000,7726000,-37856000,76180000,-17920000,-17920000,-11814000,0,-3096000,-14910000,43350000,43350000,1207000,44557000,121261000,651917000,78587000,0.37708,0.18538,0.15682,0.04712,0.02804,0.95727,3.45545,0.68033,0.22269,3.34645,3.29805,21.33899,3.20345,0.48158,0.03653,0.03057,0.14391,0.29333,0.36652
"43","2021_Q4",299.3771875,"Up",539581000,-325009000,214572000,-93693000,-67468000,-15779000,-10446000,120879000,-6516000,-4602000,1240000,114363000,113591000,-21537000,92054000,92054000,92054000,92054000,690710000,690682000,325739000,325739000,357024000,62463000,59768000,1435936000,364329000,39885000,1198368000,295766000,847205000,9575000,45822000,1602582000,3038518000,394021000,221889000,32462000,139670000,421640000,175368000,82977000,795480000,1217120000,1821398000,3038518000,92054000,24636000,10079000,-12451000,114318000,-24877000,-25671000,-13052000,0,1358000,-11694000,76953000,76953000,-2938000,74015000,145515000,647731000,129724000,0.39766,0.22402,0.1706,0.05054,0.0303,1.40922,3.4056,0.66823,0.21317,3.74477,3.69635,21.95025,5.27719,0.53096,0.03975,0.04905,0.14179,-0.29536,-0.35555
"44","2022_Q1",263.177419354839,"Down",553065000,-353573000,199492000,-106535000,-76386000,-19028000,-11121000,92957000,-33268000,-4626000,-19799000,59689000,59529000,-7585000,51944000,51944000,51944000,51944000,478501000,478473000,275192000,275192000,445671000,70847000,68812000,1270211000,437889000,39211000,1404393000,407126000,929790000,13127000,54350000,1881493000,3151704000,409633000,222039000,27905000,159689000,434633000,211654000,93328000,823551000,1258184000,1893520000,3151704000,51944000,25586000,25282000,29868000,132680000,-20172000,-333549000,-13082000,-2619000,7594000,-8107000,-208976000,-208976000,-4057000,-213033000,118543000,636897000,135824000,0.3607,0.16808,0.09392,0.02743,0.01648,2.61482,2.92249,0.66447,0.20208,2.09943,2.07843,22.35329,5.48961,0.52874,0.02371,0.04953,0.25185,1.33619,1.70397
"45","2022_Q2",249.254193548387,"Down",623330000,-364734000,258596000,-107788000,-75508000,-19556000,-12724000,150808000,-16465000,-4302000,-4427000,134343000,134125000,-16607000,117518000,117518000,117518000,117518000,461644000,461617000,319457000,319457000,470552000,66557000,64987000,1318210000,442022000,34372000,1398564000,391855000,926732000,17119000,62858000,1874958000,3193168000,365344000,212644000,25689000,127011000,365344000,220431000,102861000,827172000,1192516000,2000652000,3193168000,117518000,28298000,19826000,-113911000,51731000,-29788000,-29788000,-13086000,-2.5e+07,1016000,-37070000,-15127000,-15127000,-2738000,-17865000,179106000,606741000,52014000,0.41486,0.24194,0.18853,0.05874,0.0368,0.4426,3.60813,0.59606,0.19001,4.76553,4.70053,25.27697,2.10925,0.53066,0.04619,0.01839,0.11135,0.81012,0.96213
"46","2022_Q3",237.87734375,"Down",618436000,-355465000,262971000,-128173000,-93093000,-23488000,-11592000,134798000,-24552000,-4368000,-6060000,110246000,109612000,-22596000,87016000,87016000,87016000,87016000,809142000,809122000,343321000,343321000,496207000,70155000,65294000,1718825000,435683000,25626000,1364335000,374593000,914358000,12476000,62908000,1825644000,3544469000,391269000,219764000,34128000,137377000,398769000,209188000,99812000,1093757000,1492526000,2051943000,3544469000,87016000,27320000,38900000,-39645000,113591000,-25821000,-35579000,-13115000,3e+08,-4798000,282087000,360099000,360099000,-12773000,347326000,162118000,892069000,119248000,0.42522,0.21797,0.1407,0.04241,0.02455,1.37041,4.31033,0.72737,0.25168,3.51807,3.48273,25.00348,4.82122,0.53024,0.03176,0.03782,0.15072,0.51152,0.61519
