"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2020_Q2",31.0531746031746,"Up",302410000,-91011000,211399000,-127352000,-113929000,-379000,-13044000,84047000,4345000,476000,3607000,262000,88392000,80553000,-9614000,70939000,71329000,-41907000,29422000,723731000,125244000,125244000,157830000,157830000,52344000,241266000,26989000,214277000,576684000,202564000,1815336000,249203000,880709000,433512000,144102000,2017900000,2594584000,179257000,57376000,121881000,1271000,230103000,34392000,192927000,410631000,7198000,486536000,45347000,434268000,493734000,904365000,649000,1690219000,1690219000,2594584000,70939000,37579000,4419000,-16858000,107275000,-18351000,-21983000,-21983000,-28266000,-13202000,-26513000,-23982000,-94820000,-15811000,-15811000,-15811000,121626000,8469000,96031000,0.69905,0.27792,2.39321,0.42819,0.27894,0.13269,1.40438,0.53506,0.00326,11.52713,5.71523,4.8166,26.92075,1.52952,0.21027,0.33723,0.04395,0.01824,-0.96012,-1.3894
"28","2020_Q3",31.46671875,"Up",319606000,-100241000,219365000,-98832000,-86093000,-801000,-11938000,120533000,5377000,-359000,2989000,2747000,125910000,156132000,-64557000,91575000,92189000,-55704000,36485000,-443668000,111570000,111570000,166907000,166907000,52713000,243622000,28718000,214904000,574812000,199970000,1841380000,249386000,906928000,428174000,140692000,2041350000,2616162000,175668000,53265000,122403000,50739000,223835000,32539000,190581000,450242000,6834000,487599000,47588000,425933000,494433000,944675000,669000,1671487000,1671487000,2616162000,91575000,37316000,1392000,-9340999.99999999,119774000,-22785000,-22785000,-22785000,-57511000,-13699000,49468000,5737000,-75937000,-13674000,-13674000,-13674000,157849000,57573000,190280000,0.68636,0.37713,-1.38817,-0.26543,-0.16959,-0.42888,1.27667,0.56517,0.02201,-6.87314,-3.60618,4.95122,25.89405,2.94775,0.21222,-0.19397,0.08584,-0.03088,-0.34208,-0.44799
"29","2020_Q4",32.8503125,"Up",334823000,-103128000,231695000,-129883000,-115289000,-628000,-13966000,101812000,-10529000,-9966000,4442000,-5005000,91283000,77377000,-4165000,73212000,73217000,-35058000,38159000,340728000,241734000,241734000,139902000,139902000,48522000,322213000,87746000,234467000,752371000,203512000,2107186000,420104000,929615000,436047000,200778000,2310698000,3063069000,185801000,62304000,123497000,254745000,245637000,38042000,207595000,686183000,4828000,572177000,42780000,516257000,577005000,1263188000,141462000,1799881000,1799881000,3063069000,73212000,39743000,40110000,-122004000,30371000,-28190000,-24558000,-24558000,-86177000,-12689000,199999000,187000,185970000,130164000,130164000,130164000,141555000,259573000,-4474000,0.69199,0.30408,1.01764,0.18931,0.11124,-0.01313,1.09646,0.70182,0.08474,4.90892,2.78309,4.82384,25.93115,-0.06446,0.18281,0.1343,-0.00169999999999998,0.03724,0.12602,0.17522
"30","2021_Q1",33.2070491803279,"Up",342753000,-138411000,204342000,-161698000,-144548000,-568000,-16582000,42644000,6184000,-1464000,1499000,6149000,48828000,69625000,-14225000,55400000,55445000,-29147000,26298000,-22116000,99304000,99304000,135063000,135063000,70997000,312998000,97338000,215660000,618362000,206728000,2123425000,417422000,941965000,430025000,200678000,2330153000,2948515000,181603000,54841000,126762000,79560000,234911000,35446000,199465000,496074000,4640000,588229000,49175000,521546000,592869000,1088943000,139263000,1859572000,1859572000,2948515000,55400000,38189000,10307000,-12090000,92104000,-25071000,-25071000,-25071000,-50368000,-9314000,-175373000,-6140000,-184166000,-142430000,-142430000,-142430000,80833000,84200000.0000001,57897000,0.59618,0.12442,-0.0645199999999999,-0.01189,-0.0075,-2.61788,1.24651,0.58559,0.02856,-0.30977,-0.18074,4.80087,26.04661,0.81095,0.13046,-0.00506,0.02287,-0.42114,-0.18685,-0.35419
"31","2021_Q2",33.2588888888889,"Up",346887000,-152178000,194709000,-137734000,-123954000,-576000,-13204000,56975000,7491000,-2119000,5927000,3683000,64466000,62547000,94981000,157528000,157528000,-11845000,145683000,118998000,120416000,120416000,131783000,131783000,143305000,322549000,77450000,245099000,718053000,214166000,2509364000,404218000,942870000,827676000,195337000,2723530000,3441583000,164849000,68213000,96636000,222209000,281006000,33607000,247399000,668064000,375770000,263168000,50499000,212669000,638938000,1307002000,2013268000,2134581000,2134581000,3441583000,157528000,30678000,-102964000,-54460000,30782000,-24982000,-24982000,-24982000,-24953000,-33144000,74812000.0000001,-26385000,15283000,21112000,21112000,21112000,87653000,597979000,-86770000,0.5613,0.16425,0.34305,0.05575,0.03458,-0.72917,1.07483,0.6123,0.17375,1.19506,1.18844,3.48368,21.43692,-0.8714,0.33285,0.05079,-0.02896,0.27853,5.44834,8.38197
"32","2021_Q3",35.695,"Up",422827000,-211844000,210983000,-140979000,-129997000,-722000,-10260000,70004000,6064000,-3398000,4572000,4890000,76068000,61561000,-16657000,44904000,44904000,-935000,43969000,43969000,109013000,109013000,166438000,166438000,178346000,332541000,93402000,239139000,786338000,220569000,2503892000,395581000,942263000,825668000,192135000,2724461000,3510799000,206819000,94523000,112296000,200867000,297186000,32491000,264695000,704872000,352950000,280561000,55035000,225526000,633511000,1338383000,2030826000,2172416000,2172416000,3510799000,44904000,29353000,19381000,-8242999.99999999,85395000,-19882000,-19882000,-19882000,-21930000,-23201000,-53496000,-587000,-74868000,-11403000,-11403000,-11403000,99357000,553817000,87888999.9999999,0.49898,0.16556,0.10399,0.02024,0.01252,1.99889,1.11558,0.61608,0.15775,0.360029999999999,0.35743,3.46219,17.78817,0.71965,0.18997,0.02234,0.02923,0.52767,4.47683,6.35398
"33","2021_Q4",38.41125,"Up",469923000,-258116000,211807000,-145617000,-134502000,-715000,-10400000,66190000,3893000,-3225000,5524000,1594000,70083000,64888000,-13444000,51444000,51444000,-3123000,48321000,48321000,132584000,132584000,188519000,188519000,225231000,342858000,83527000,259331000,889192000,223689000,2569084000,407531000,999777000,821439000,186590000,2792773000,3681965000,244837000,100348000,144489000,299447000,308561000,35933000,272628000,852845000,328489000,286064000,55952000,230112000,614553000,1467398000,2048059000,2214567000,2214567000,3681965000,51444000,29737000,17169000,-22162000,76188000,-22047000,-22047000,-22047000,-102408000,-23251000,71992000,3466000,49791000,23571000,23571000,23571000,95927000,627936000,65162000,0.45073,0.14085,0.10283,0.02182,0.01312,1.34852,1.04262,0.66261,0.17054,0.39579,0.39302,3.84911,18.1394,0.53374,0.19045,0.02288,0.02083,0.48118,5.16384,7.48379
"34","2022_Q1",36.4517741935484,"Down",481515000,-261680000,219835000,-156087000,-143873000,-1325000,-10889000,63748000,3628000,-3222000,5050000,1800000,67376000,61645000,-10937000,50708000,50708000,-1159000,49549000,49549000,129141000,129141000,141447000,141447000,176376000,335332000,68049000,267283000,782296000,224271000,2516331000,396642000,999913000,781824000,184728000,2740602000,3522898000,234270000,85413000,148857000,174243000,308271000,34058000,274213000,716784000,304328000,271893000,59581000,212312000,576221000,1293005000,2060419000,2229893000,2229893000,3522898000,50708000,31294000,33784000,99251000,215037000,-21965000,-21965000,-21965000,-25277000,-23251000,-144021000,-35287000,-193203000,-3442999.99999999,-3442999.99999999,-3443000,95042000,478571000,183265000,0.45655,0.13239,0.1029,0.02222,0.01406,3.69866,1.0914,0.57985,0.13585,0.40508,0.39948,3.93652,18.23,1.49824,0.19008,0.02443,0.06149,0.46925,3.67659,5.48143
"35","2022_Q2",36.0127419354839,"Down",365147000,-153171000,211976000,-139697000,-127814000,-994000,-10889000,72279000,3950000,-2788000,7058000,-320000,76229000,140339000,-19033000,121306000,121306000,698000,122004000,122004000,184421000,184421000,139111000,139111000,169019000,340174000,68125000,272049000,832725000,226349000,2507846000,385753000,999913000,763125000,172773000,2734195000,3566920000,180030000,89533000,90497000,271828000,305183000,33211000,271972000,757041000,280050000,201743000,54572000,147171000,481793000,1238834000,2104113000,2328086000,2328086000,3566920000,121306000,31485000,-44396000,-53208000,55187000,-21050000,-8613674.58823067,-8613674.58823067,-47050000,-24852000,73308000,13974000,47143000,55280000,55280000,55280000,103764000,551878000,48539000,0.58052,0.19794,0.33412,0.05241,0.0342,0.39785,1.09997,0.53213,0.15472,1.047,1.03805,3.13358,19.97894,0.41655,0.21327,0.04765,0.01575,0.2037,3.54128,5.08387
"36","2022_Q3",36.09484375,"Up",379215000,-142715000,236500000,-158536000,-146840000,-846000,-10850000,77964000,5635000,-2873000,6116000,2392000,83599000,83599000,-6367000,77232000,77232000,-1687000,75545000,75545000,86161000,86161000,137902000,137902000,148415000,355635000,66499000,289136000,728113000,225470000,2497879000,374904000,999913000,761934000,168730000,2723349000,3451462000,187053000,70510000,116543000,224882000,311075000,33367000,277708000,723010000,253069000,196581000,57172000,139409000,449650000,1172660000,2136931000,2278802000,2278802000,3451462000,77232000,31720000,11720000,21668000,142340000,-21610000,27518976.235308,27518976.235308,-21610000,-24192000,-73929000,494000,-218989000,-98259000,-98259000,-98260000,109684000,477951000,116109000,0.62366,0.20559,0.19921,0.03315,0.02189,1.53695,1.00706,0.51459,0.13848,0.61446,0.60643,3.08443,18.53513,0.9444,0.19677,0.03377,0.03931,0.32023,3.57199,5.02527
