"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",39.5409836065574,"Up",5394264000,-4124498000,1269766000,-1181964000,-1181964000,87802000,-50603000,-50603000,37199000,-304153000,-266954000,-216719000,-483673000,767072000,767072000,767072000,447334000,447334000,1869100000,1869100000,1799539000,619318000,181181000,4735291000,1431246000,2822790000,590443000,217208000,4254036000,8989327000,2883099000,1651363000,1231736000,20761000,3464065000,3370874000,553378000,553378000,3924252000,7388317000,1601010000,8989327000,-483673000,767072000,93609000,258176000,218908000,87020000,-53747000,8944000,-44803000,-3510000,8011000,5880999.99999997,48098000,277534000,277534000,181411000,3391635000,563291000,0.23539,0.01628,0.1422,0.47912,0.08533,0.73434,1.36698,4.61479,0.3773,14.56255,15.39313,102.40789,10.69385,0.13831,0.10157,16.23,33.53342
"33","2018_Q2",33.934375,"Down",5388490000,-4219741000,1168749000,-1152627000,-1152627000,16122000,-62792000,-62792000,-46670000,-4554000,-51224000,9497000,-41727000,214416000,214416000,214416000,147092000,147092000,1908955000,1908955000,1809595000,330501000,151059000,4196143000,1401924000,2731386000,568920000,218672000,4133310000,8329453000,2798069000,1767777000,1030292000,19025000,2817094000,3163578000,536470000,536470000,3700048000,6517142000,1812311000,8329453000,-41727000,214416000,94529000,19551000,-88667000,-16314000,-61626000,12503000,-49123000,-241119000,1083000,-239126000,-304563000,-300242000,-300242000,110651000,3182603000,-49139000,0.2169,0.00299,0.03979,0.11831,0.02574,-0.22918,1.48953,3.59604,0.38209,4.06714,4.06714,102.21144,-0.93209,0.03876,-0.00888,27.4332,188.28377
"34","2018_Q3",30.7746031746032,"Down",5421362000,-4260211000,1161151000,-1153991000,-1153991000,7160000,-56233000,-56233000,-49073000,-409834000,-458907000,106559000,-352348000,-359140000,-359140000,-359140000,132468000,132468000,2039605000,2039605000,1848287000,351302000,169313000,4371662000,1350735000,2443271000,480520000,219489000,3794006000,8165668000,2672929000,1733989000,938940000,18668000,2691597000,3508278000,509843000,509843000,4018121000,6709718000,1455950000,8165668000,-352348000,-359140000,89743000,418407000,-440390000,-284588000,-51458000,5813000,-45645000,1142360000,-20428000,1122324000,792091000,-14624000.0000001,-14624000.0000001,96903000,3526946000,-501504000,0.21418,0.00132,-0.06625,-0.24667,-0.04398,1.3964,1.62419,4.60848,0.43192,-6.79889,-6.79889,102.63192,-9.49398,-0.06538,-0.0913,35.02965,474.08911
"35","2018_Q4",21.0869841269841,"Down",5450060000,-4267972000,1182088000,-1142555000,-1142555000,39533000,-56008000,-56008000,-16475000,-2246000,-18721000,1471000,-17250000,-4510000,-4510000,-4510000,410043000,410043000,1717830000,1717830000,1894274000,308331000,176439000,4330478000,1335740000,2416740000,462362000,210827000,3752480000,8082958000,2704259000,1707242000,997017000,16066000,2720325000,3420666000,488553000,488553000,3909219000,6629544000,1453414000,8082958000,-17250000,-4510000,86685000,9550000,272136000,351121000,-57707000,72000,-57635000,-93851000,962000,-91897000,201589000,277575000,277575000,126218000,3436732000,339176000,0.21689,0.00725,-0.00083,-0.00309999999999996,-0.000559999999999998,-75.20532,1.5919,4.56136,0.42518,-0.08521,-0.08521,102.96576,6.40791,-0.000840000000000007,0.06306,23.97985,76.5610800000001
"36","2019_Q1",15.4304918032787,"Down",5379645000,-4215281000,1164364000,-1143202000,-1143202000,21162000,-52695000,-52695000,-31533000,-29092000,-60625000.0000001,-195004000,-255629000,-272979000,-272979000,-272979000,144353000,144353000,1788712000,1788712000,1871941000,296713000,179132000,4101719000,1308514000,2181134000,448706000,215208000,3489648000,7591367000,2427024000,1618585000,808439000,16111000,2443135000,3478649000,482893000,482893000,3961542000,6404677000,1186690000,7591367000,-255629000,-272979000,86925000,129325000,-176549000,-215928000,-73898000,27749000,-46149000,77240000.0000002,-65252000,11987999.9999999,-250089000,-265690000,-265690000,108087000,3494760000,52644000,0.21644,0.00393,-0.05074,-0.23003,-0.03596,-0.192850000000007,1.67888,5.39709,0.46036,-5.15611,-5.15611,101.6124,0.994359999999999,-0.05286,0.01019,30.99732,158.32185
"37","2019_Q2",8.62396825396825,"Down",5372589000,-4245866000,1126723000,-1162652000,-1162652000,-35929000,-58270000,-58270000,-94199000,2234000,-91965000,-7374000,-99339000,-99659000,-99659000,-99659000,190453000,190453000,1803778000,1803778000,1875917000,258595000,104784000,4128743000,1284680000,5116266000,400084000,3198962000,6400946000,10529689000,2338630000,1556425000,782205000,11751000,2845143000,3604716000,3044613000,3044613000,6649329000,9494472000,1035217000,10529689000,-99339000,-99659000,83926000,10635000,-46461000,-51239000,-49191000,658000,-48533000,123220000,36006000,159226000,59454000,46100000,46100000,47997000,3616467000,-40281000,0.20972,-0.00669,-0.01855,-0.0962699999999999,-0.00946,0.40419,1.45115,9.17148,0.34345,-1.88121,-1.88121,101.41553,-0.76036,-0.01295,-0.00523,71.37975,-95.35512
"38","2019_Q3",7.176875,"Down",5366264000,-4221825000,1144439000,-1135530000,-1135530000,8909000.00000001,-60102000,-60102000,-51193000,115999.999999993,-51077000,-27628000,-78705000,-79279000,-79279000,-79279000,142181000,142181000,1945600000,1945600000,1968937000,328641000,183428000,4385359000,1270467000,5017387000,381369000,3145777000,6287854000,10673213000,2302965000,1570178000,732787000,10704000,2859739000,3857145000,2995743000,2995743000,6852888000,9712627000,960586000,10673213000,-78705000,-79279000,83044000,39079000,-322217000,-278799000,-50577000,3765000,-46812000,248329000,17405000,265734000,-59876999.9999999,-48271999.9999999,-48271999.9999999,91953000,3867849000,-253213000,0.21327,0.00166,-0.01477,-0.08253,-0.00743,3.19395,1.53348,10.11115,0.36239,-1.49043,-1.49043,100.88479,-4.76036,-0.01013,-0.03236,40.51709,418.19149
"39","2019_Q4",9.7859375,"Up",5462298000,-4273323000,1188975000,-1134854000,-1134854000,54121000,-57856000,-57856000,-3735000,56897000,53162000,-876000,52286000,51485000,51485000,51485000,289498000,289498000,1689838000,1689838000,1957045000,279886000,178292000,4216267000,1254234000,4958290000,374660000,3093389000,6212524000,10428791000,2341041000,1534302000,806739000,9486000,2886648000,3586868000,2939417000,2939417000,6526285000,9412933000,1015858000,10428791000,52286000,51485000,82007000,-60831000,350251000,423713000,-62802000,51548000,-11254000,-216251000,-67566000,-283817000,128642000,147317000,147317000,136128000,3596354000,424453000,0.21767,0.00991,0.00943,0.05068,0.00494,8.24421,1.46061,9.26599,0.34485,0.96578,0.96578,102.46484,7.96213,0.00681999999999999,0.05621,24.29225,61.1011600000001
"40","2020_Q1",13.9891935483871,"Up",5727242000,-4460621000,1266621000,-1154300000,-1154300000,112321000,-53429000,-53429000,58892000,-50624000,8267999.99999999,-351729000,-343461000,-324721000,-324721000,-324721000,218180000,218180000,1286785000,1286785000,1921604000,274072000,181794000,3700641000,1215838000,4535890000,359491000,3051583000,5751728000,9452369000,2230399000,1484081000,746318000,8840000,2766463000,3096594000,2914785000,2914785000,6011379000,8777842000,674527000,9452369000,-343461000,-324721000,79300000,339681000,341662000,417182000,7842000,-51092000,-43250000,-486401000,18606000,-467795000,-93863000,-71317999.9999999,-71317999.9999999,191621000,3105434000,892854000,0.22116,0.01961,-0.0567,-0.48141,-0.03435,-2.7496,1.33768,13.01333,0.32853,-6.07693,-6.07693,107.18147,16.70916,-0.0485,0.13337,15.06752,25.70538
"41","2020_Q2",13.4774603174603,"Down",6027376000,-4829057000,1198319000,-1197147000,-1197147000,1172000,-50547000,-50547000,-49375000,-31345000,-80720000,8018000,-72702000,-63541000,-63541000,-63541000,288316000,288316000,1592799000,1592799000,1890024000,107672000,107672000,3878811000,1180346000,4461717000,316204000,3020697000,5642063000,9520874000,2139647000,1460325000,679322000,8066000,2637915000,3340562000,2928608000,2928608000,6269170000,8907085000,613789000,9520874000,-72702000,-63541000,79103000,21153000,-145824000,-118270000,-39174000,2755000,-36419000,240702000,-27998000,212704000,58015000,70136000,70136000,80275000,3348628000,-112741000,0.19881,0.00019,-0.01054,-0.10352,-0.00666999999999999,1.7743,1.47041,14.51164,0.35171,-1.18853,-1.18853,112.74131,-2.10881,-0.00922000000000001,-0.01636,38.12285,2611.18771
"42","2020_Q3",14.26796875,"Up",5981970000,-4821625000,1160345000,-1116142000,-1116142000,44203000,-50007000,-50007000,-5804000.00000001,-7346000,-13150000,-47000,-13197000,-13197000,-13197000,-13197000,92730000,92730000,1920866000,1920866000,1937953000,114148000,114148000,4065697000,1140658000,4413844000,305730000,2983298000,5554502000,9620199000,2086292000,1448682000,637610000,6902000,2581038000,3524643000,2911480000,2911480000,6436123000,9017161000,603038000,9620199000,-13197000,-13197000,87117000,2532000,-434774000,-358322000,-40573000,18206000,-22367000,203034000,-17931000,185103000,-195586000,-195586000,-195586000,131320000,3531545000,-343980000,0.19397,0.00739,-0.00221,-0.02188,-0.00137,26.06501,1.57522,14.95289,0.3671,-0.24624,-0.24624,111.61641,-6.41826,-0.00187,-0.04882,26.18653,77.79596
"43","2020_Q4",12.85015625,"Down",6117038000,-4913939000,1203099000,-1156355000,-1156355000,46744000,-50835000,-50835000,-4091000,8852000,4761000,-437000,4324000,4324000,4324000,4324000,50813000,50813000,1770691000,1770691000,1971250000,158694000,116463000,3951448000,1045682000,4432273000,291013000,3016444000,5477955000,9429403000,2159103000,1482521000,676582000,7097000,2656067000,3217675000,2945126000,2945126000,6162801000,8818868000,610535000,9429403000,4324000,4324000,83336000,-15472000,150561000,222749000,-67259000,80551000,13292000,-310194000,32236000,-277958000,-41917000,-41917000,-41917000,130080000,3224772000,213819000,0.19668,0.00764,0.00071,0.00708000000000001,0.00046,49.44935,1.48771,14.44449,0.34199,0.08046,0.08046,113.81806,3.97847,0.000639999999999999,0.03153,24.40005,67.9008900000004
"44","2021_Q1",21.7018032786885,"Up",5916856000,-4774297000,1142559000,-1187541000,-1187541000,-44982000,-49999000,-49999000,-94981000,63863000,-31118000,12623000,-18495000,-18495000,-18495000,-18495000,160902000,160902000,1462441000,1462441000,1864890000,106941000,106941000,3595174000,1080499000,4659731000,340519000,3196112000,5740230000,9335404000,2079785000,1437421000,642364000,6409000,2602946000,3079798000,3037506000,3037506000,6117304000,8720250000,615154000,9335404000,-18495000,-18495000,77568000,-91559000,391508000,359022000,-66491000,88880000,-63841000,-142161000,-42984000,-185092000,110089000,110089000,110089000,32586000,3086207000,344980000,0.1931,-0.0076,-0.00313,-0.03007,-0.00198,-18.65261,1.38119,14.17572,0.33059,-0.3437,-0.3437,109.95421,6.41084,-0.00274,0.05119,89.77183,-65.03279
"45","2021_Q2",19.1434920634921,"Down",6160985000,-4876110000,1284875000,-1245362000,-1245362000,39513000,-49121000,-49121000,-9608000,-2669000,-12277000,-780000,-13057000,-13057000,-13057000,-13057000,118480000,118480000,1612596000,1612596000,1856968000,96908000,96908000,3684952000,1074596000,4591898000,325882000,3142916000,5666494000,9351446000,2214620000,1537469000,677151000,7261000,2739483000,3030679000,2977304000,2977304000,6007983000,8747466000,603980000,9351446000,-13057000,-13057000,75859000,1487000,-50414000,13875000,-62152000,7456000,-54696000,-52941000,51340000,-1601000,-42422000,-42422000,-42422000,115372000,3037940000,3586000,0.20855,0.00641,-0.00212,-0.02162,-0.0014,-0.27464,1.34513,14.48304,0.32486,-0.24246,-0.24246,114.40587,0.06659,-0.00197,0.000539999999999999,25.30475,73.88606
"46","2021_Q3",15.74375,"Down",6.113e+09,-4867076000,1245924000,-1267753000,-1267753000,-21829000,-48592000,-48592000,-70421000,-26570000,-96991000,-3310000,-100301000,-100301000,-100301000,-100301000,146564000,146564000,1662445000,1662445000,1891975000,131798000,107504000,3832782000,1024091000,4506717000,315833000,3067784000,5530808000,9363590000,2265018000,1523582000,741436000,6726000,2791146000,3130074000,2937085000,2937085000,6067159000,8858305000,505285000,9363590000,-100301000,5110971.04085712,73859000,28369000,23796000,25723000,-53007000,17165000,-35842000,109953000,-71750000,38203000,28084000,28084000,28084000,52030000,3136800000,26129000,0.20382,-0.00357,-0.01641,-0.1985,-0.01071,-0.260509999999998,1.37319,17.5313,0.335,-1.86253,-1.86253,113.51482,0.4852,-0.01525,0.00397,57.47138,-136.98456
"47","2021_Q4",13.48796875,"Down",-6045105000,4848689000,-1196416000,1236195000,1236195000,39779000,49919000,49919000,89698000,-17663000,72035000,5265000,77300000,77300000,77300000,77300000,155289000,155289000,1844234000,1844234000,1949841000,106666000,106666000,4056030000,1014662000,4428432000,307345000,2997987000,5443094000,9499124000,2420971000,1547770000,873201000,6119000,2949362000,3182330000,2895403000,2895403000,6077733000,9027095000,472029000,9499124000,-36058000,8359828.05447616,72973000,54403000,-94356000,-3038000,-46310000,25605000,-20705000,48968000,-16500000,32468000,8725000,8725000,8725000,112752000,3188449000,-33179000,0.19791,-0.00658,-0.01279,0.16376,0.00814,-0.42922,1.37522,19.12403,0.33566,1.44074,1.44074,-112.6704,-0.6184,0.01179,-0.00506000000000001,26.90116,76.25028
"48","2022_Q1",10.468064516129,"Down",18339375000,-14567263000,3772112000,-3756956000,-3756956000,15156000,-143807000,-143807000,-128651000,-376374000,-505025000,2605000,-502420000,-502420000,-502420000,-502420000,39721000,39721000,1343496000,1343496000,1959389000,106749000,106749000,3449355000,989167000,4090481000,291196000,2900078000,5079648000,8529003000,2351893000,1571261000,780632000,5544000,2933088000,2747816000,2749066000,2749066000,5496882000,8429970000,99033000,8529003000,-389062000,-23383228.9591429,72995000,346672000,312107000,342712000,-40538000,17708000,-22830000,-442016000,6565999.99999999,-435450000,-115568000,-115568000,-115568000,88151000,2753360000,357115000,0.20568,0.000830000000000001,-0.0274,-5.07326,-0.05891,-0.71079,1.17601,85.12284,0.32282,-9.36425,-9.36425,341.81453,6.65601,-0.08969,0.06375,30.78398,179.04718
"49","2022_Q2",6.61725806451613,"Down",6014583000,-4817854000,1196729000,-1217929000,-1217929000,-21200000,-48119000,-48119000,-69319000,-37375000,-106694000,-3497000,-110191000,-110191000,-110191000,-110191000,56060000,56060000,1449745000,1449745000,1974759000,88860000,88860000,3569424000,985121000,3995228000,282950000,2813071000,4980349000,8549773000,2248829000,1461238000,787591000,5016000,2828237000,3040848000,2689064000,2689064000,5729912000,8558149000,-8376000,8549773000,-110191000,-110191000,70073000,44472000,-256591000,-252237000,-54585000,16838493.8034159,-54585000,290023000,33138000,323161000,16339000,16339000,16339000,48873000,3045864000,-258806000,0.19897,-0.00352,-0.01832,13.15556,-0.01289,2.3487,1.26207,-1021.74654,0.35625,-2.02751,-2.02751,110.66797,-4.76202,-0.01924,-0.04519,61.17496,-141.02849
"50","2022_Q3",7.75953125,"Up",5901069000,-4746574000,1154495000,-1193553000,-1193553000,-39058000,-52533000,-52533000,-91591000,-227732000,-319323000,-11967000,-331290000,-331290000,-331290000,-331290000,46808000,46808000,1564388000,1564388000,2026216000,103452000,103452000,3740864000,950962000,3675299000,268040000,2766385000,4626261000,8367125000,2241234000,1511673000,729561000,5581000,2818767000,3236664000,2648092000,2648092000,5884756000,8703523000,-336398000,8367125000,-331290000,-272136285.068095,68564000,243287000,-179785000,-199224000,-42011000,45986000,3975000,234966000,-48969000,185997000,-9252000.00000003,-9251999.99999997,-9251999.99999997,29506000,3242245000,-180323000,0.19564,-0.00662,-0.05614,0.98482,-0.03959,0.54431,1.32713,-25.8727,0.3875,-6.04632,-6.04632,107.69946,-3.29105,-0.05965,-0.03247,108.29787,-81.81261
