"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",80.3296825396825,"Up",691751000,-388504000,303247000,-250146000,-250146000,53101000,4640000,-7114000,-7194000,11754000,57741000,57741000,-19948000,37793000,37793000,37793000,37793000,173564000,173564000,165183000,165183000,610423000,46402000,46402000,995572000,382472000,655690000,400735000,231709000,23246000,1038162000,2033734000,217340000,217340000,96460000,96460000,313800000,661846000,308140000,133273000,174867000,969986000,1283786000,480000,780121000,-30653000,749948000,749948000,2033734000,37793000,20192000,7680000,-42512000,23153000,-16285000,-16285000,-16285000,-16285000,-50113000,1496000,-37999.9999999991,12016000,18884000,18884000,19286000,73293000,661846000,34444000,0.43838,0.07676,0.05463,0.05039,0.01858,0.91139,3.17263,1.71183,0.32543,0.7896,0.78062,14.45254,15.66844,0.719629999999999,4,0.03234,0.02003,6.66206,9.19534
"31","2017_Q4",93.8165079365079,"Up",948046000,-544468000,403578000,-283480000,-283480000,120098000,3144000,-8021000,-8061000,11165000,123242000,123242000,-40927000,82315000,82315000,82315000,82315000,105370000,105370000,285651000,285651000,609996000,50956000,50956000,1051973000,382014000,672949000,412217000,234193000,26539000,1054963000,2106936000,193878000,193878000,137114000,137114000,330992000,687074000,317039000,138161000,178878000,1004113000,1335105000,474000,797853000,-26496000,771831000,771831000,2106936000,82315000,20750000,4294000,-97186000,10173000,-17380000,-17380000,-17380000,-33041000,-50720000,2018000,-2202000,-45534000,-68402000,-68402000,-68194000,140848000,687074000,67209000,0.42569,0.12668,0.08683,0.10665,0.03907,0.81649,3.17824,1.72979,0.3261,1.74016,1.72045,20.04195,16.31672,1.42082,5,0.05627,0.03784,4.13001,4.84358
"32","2018_Q1",105.617540983607,"Up",1027880000,-567043000,460837000,-325508000,-325508000,135329000,3048000,-7599000,-7685000,10647000,138377000,138377000,-2232000,136145000,136145000,136145000,136145000,178494000,178494000,240561000,240561000,548722000,52935000,52935000,1020712000,377924000,672406000,413547000,230424000,28435000,1050330000,2071042000,182114000,182114000,149134000,149134000,331248000,617306000,265072000,84944000,180128000,882378000,1213626000,472000,886037000,-29093000,857416000,857416000,2071042000,136145000,21341000,7896000,46733000,212115000,-17802000,-17817000,-17817000,-16894000,-34490000,3298000,-80000,-122041000,73180000,73180000,73124000,156670000,617306000,187833000,0.44834,0.13166,0.13245,0.15879,0.06574,1.37965,3.08141,1.41545,0.29807,2.9039,2.8694,21.92415,18.28824,4.00638,8,0.0883,0.10796,2.80087,3.24256
"33","2018_Q2",98.11328125,"Down",755786000,-423309000,332477000,-280162000,-280162000,52315000,557000,-7819000,-7985000,8376000,52872000,52872000,-10403000,42469000,42469000,42469000,42469000,180256000,180256000,221186000,221186000,479344000,54297000,54297000,935083000,369064000,671059000,412875000,230008000,28176000,1040123000,1975206000,116310000,116310000,109626000,109626000,225936000,617541000,276915000,87422000,189493000,894456000,1120392000,471000,885198000,-30855000,854814000,854814000,1975206000,42469000,21137000,17344000,-16843000,64107000,-14371000,-14744000,-14744000,-14371000,-20426000,4769000,-6583000,-48253000,1483000,1483000,1762000,73452000,617541000,52641000,0.43991,0.06922,0.05619,0.04968,0.0215,1.23952,4.13871,1.31069,0.31265,0.90799,0.89613,16.15869,18.2759,1.12546,7,0.03642,0.03009,5.95334,8.35869
"34","2018_Q3",96.8090476190476,"Down",696197000,-386239000,309958000,-263343000,-263343000,46615000,1668000,-7712000,-7937000,9380000,48283000,48283000,-11015000,37268000,37268000,37268000,37268000,183202000,183202000,152517000,152517000,663263000,51955000,51955000,1050937000,364223000,668369000,412039000,228555000,27775000,1032592000,2083529000,216931000,216931000,95685000,95685000,312616000,682778000,277806000,85755000,192051000,960584000,1273200000,466000,845395000,-35532000,810329000,810329000,2083529000,37268000,20852000,7823000,-26987000,38956000,-17006000,-17006000,-17006000,-16910000,-61291000,2607000,-83999.9999999991,-17398000,4647999.99999999,4647999.99999999,2946000.00000001,67467000,682778000,34489000,0.44522,0.06696,0.05353,0.04599,0.01789,0.92543,3.36175,1.57121,0.3277,0.80256,0.79388,14.99246,17.45027,0.74271,6,0.03292,0.01948,7.40475,10.71707
"35","2018_Q4",83.622380952381,"Down",923907000,-536457000,387450000,-294116000,-294116000,93334000,504000,-9785000,-9868000,10289000,93838000,93838000,-22069000,71769000,71769000,71769000,71769000,123898000,123898000,293489000,293489000,692985000,5.7e+07,5.7e+07,1167372000,360718000,669856000,411279000,229611000,28966000,1030574000,2197946000,185285000,185285000,133021000,133021000,318306000,798020000,270435000,87888000,182547000,1068455000,1386761000,460000,843043000,-32318000,811185000,811185000,2197946000,71769000,21452000,7024000,-181950000,-81705000,-16091000,-16094000,-16094000,-16091000,-55044000,1356000,-970000,38139000,-59657000,-59657000,-59304000,114786000,798020000,-61186000,0.41936,0.10102,0.07768,0.08847,0.03265,-0.85254,3.66745,1.70955,0.36308,1.56053,1.54412,20.08928,17.63828,-1.33042,3,0.04927,-0.03255,5.87286,7.22268
"36","2019_Q1",82.4822950819672,"Down",1086379000,-618781000,467598000,-307359000,-307359000,160239000,743000,-8726000,-8779000,9469000,160982000,160982000,-30420000,130562000,130562000,130562000,130562000,170077000,170077000,258259000,258259000,574226000,40396000,40396000,1042958000,350437000,665463000,410203000,227101000,28159000,1015900000,2058858000,199076000,199076000,128345000,128345000,327421000,593264000,268740000,87347000,181393000,862004000,1189425000,456000,909816000,-40839000,869433000,869433000,2058858000,130562000,22495000,-1942000,183725000,334840000,-15935000,-15939000,-15939000,-15935000,-45670000,1865000,-160999.999999999,-271434000,47471000,47471000,46179000,182734000,593264000,380944000,0.43042,0.1475,0.12018,0.15017,0.06341,2.91772,3.18537,1.36805,0.28815,2.873,2.852,23.90562,19.13175,8.38262,7,0.08731,0.22002,2.31586,2.64097
"37","2019_Q2",90.5409523809524,"Up",741057000,-425190000,315867000,-263652000,-263652000,52215000,-646000,-9401000,-9629000,8755000,51569000,43746000,-9280000,34466000,34466000,34466000,34466000,679901000,160149000,239239000,239239000,526906119.193711,51887000,51887000,971027000,337475000,1371442000,409299000,228019000,734124000,1708917000,2679944000,108221000,108221000,253533000,253533000,361754000,625278000,843508000,90230000,753278000,1468786000,1830540000,454000,888378000,-39428000,849404000,849404000,2679944000,34466000,22629000,4109000,-24181000,37023000,-9371000,-9371000,-9371000,-9371000,-35186000,4780000,-9799000,-37993000,-10341000,-10341000,-9928000,74844000,625278000,50572000,0.42624,0.07046,0.04651,0.04058,0.01286,1.4673,2.68422,2.15509,0.23332,0.76471,0.75965,16.44207,18.846,1.12206,5,0.02468,0.02182,-0.72982,-1.04612
"38","2019_Q3",85.2284375,"Down",734385000,-411389000,322996000,-268155000,-268155000,54841000,870000,-8563000,-9072000,9433000,55711000,55711000,-11774000,43937000,43937000,43937000,43937000,816017000,118458000,168176000,168176000,553781629.378398,56813000,56813000,1041006000,333600000,1372554000,408392000,228860000,735302000,1706154000,2747160000,232869000,232869000,240202000,240202000,473071000,604377000,841815000,91190000,750625000,1446192000,1919263000,449000,864009000,-36561000,827897000,827897000,2747160000,43937000,22362000,4745000,-3602000.00000003,67441999.9999999,-14872000,-15621000,-15621000,-14872000,-50911000,1566000,-119999.999999998,-94535000,-41965000,-41965000,-41691000,77203000,604377000,70503000,0.43982,0.07468,0.05983,0.05307,0.01599,1.60464,2.20053,2.31824,0.22,0.98279,0.97579,16.42688,18.51857,1.57703,5,0.02922,0.031,-2.74134,-3.85916
"39","2019_Q4",95.1946875,"Up",943322000,-541111000,402211000,-296733000,-296733000,105478000,-1057000,-9766000,-9966000,8709000,104421000,73621000,-13369000,60252000,60252000,60252000,60252000,877178000,153936000,293203000,293203000,595819574.873886,53264000,53264000,1223645000,330371000,1345564000,376595000,228235000,740734000,1675935000,2899580000,205782000,205782000,278386000,278386000,484168000,769525000,833153000,78916000,754237000,1602678000,2086846000,443000,851199000,-38908000,812734000,812734000,2899580000,60252000,23014000,42470000,-156846000,-31110000,-21146000,-21146000,-21146000,-21146000,-54486000,535000,-88000,88158000,35902000,35902000,35478000,128492000,769525000,-36131000,0.42638,0.11182,0.06387,0.07413,0.02078,-0.59966,2.52731,2.56769,0.26539,1.36489,1.35606,21.36914,18.41092,-0.81848,4,0.03416,-0.01496,-0.83782,-1.02062
"40","2020_Q1",90.9045161290323,"Down",1100522000,-633046000,467476000,-311975000,-311975000,155501000,-627000,-8584000,-8950000,7957000,154874000,154874000,-29727000,125147000,125147000,125147000,125147000,214311000,214311000,251005000,251005000,593987000,48454000,48454000,1107757000,320168000,1325192000,375768000,229026000,720398000,1645360000,2753117000,183641000,183641000,291859000,291859000,475500000,594672000,802815000,74370000,728445000,1397487000,1872987000,440000,915324000,-35634000,880130000,880130000,2753117000,125147000,27949000,-18135000,178899000,313860000,-15281000,-15281000,-15281000,-15281000,-41837000,7609000,-5366000,-239014000,59565000,59565000,60375000,183450000,594672000,376795000,0.42478,0.1413,0.11372,0.14219,0.04546,3.01082,2.32967,2.12808,0.216,2.86453,2.84412,25.19019,20.14557,8.62458,5,0.06463,0.16543,2.07338,2.44604
"41","2020_Q2",75.5685714285714,"Down",654473000,-426210000,228263000,-269837000,-269837000,-41574000,-5880000,-8400000,-8864000,2520000,-47454000,-91696000,13002000,-78694000,-78694000,-78694000,-78694000,759100000,759100000,221884000,221884000,565932000,43349000,43349000,1590265000,303919000,1259321000,347865000,207720000,703736000,1563240000,3153505000,187199000,187199000,240476000,240476000,427675000,1238822000,771006000,65260000,705746000,2009828000,2437503000,436000,764192000,-48626000,716002000,716002000,3153505000,-78694000,23368000,73259000,-32235000,-14302000,-8068000,-8068000,-8068000,-8068000,-43415000,1840000,-4712000,569613000,547243000,547243000,544789000,-18206000,1238822000,-71511000,0.34877,-0.06352,-0.12024,-0.10991,-0.02495,0.90872,3.7184,3.40432,0.39284,-1.81508,-1.81508,15.09545,16.51462,-1.6494,3,-0.01924,-0.02623,-26.34966,-11.53899
"42","2020_Q3",79.05109375,"Up",514884000,-279369000,235515000,-218149000,-218149000,17366000,-11888000,-14889000,-15312000,3001000,5478000,5477999.99999997,2678000,8156000.00000003,8156000.00000003,8156000.00000003,8156000.00000003,1000581000,1000581000,165578000,165578000,672205000,51180000,51180000,1889544000,287941000,1235149000,346967000,208573000,679609000,1523090000,3412634000,458075000,458075000,244299000,244299000,702374000,1232649000,744333000,63850000,680483000,1976982000,2679356000,5975000,772348000,-45045000,733278000,733278000,3412634000,8156000.00000003,22264000,4775999.99999999,216519000,251715000,-8640000,-8640000,-8640000,-7240000,1076000.00000001,1076000,-7716000,-6640000,237835000,237835000,241481000,39630000,1232649000,244831000,0.45741,0.03373,0.01584,0.01112,0.00239,30.01851,2.69022,3.65394,0.3612,0.18896,0.188959999999999,11.92895,16.98875,5.6723,6,0.00301,0.09033,5.85587,13.36335
"43","2020_Q4",83.54765625,"Up",865080000,-481365000,383715000,-279251000,-279251000,104464000,-4196000,-16017000,-16347000,11821000,100268000,100268000,-19027000,81241000,81241000,81241000,81241000,831175000,831175000,263231000,263231000,646608000,56493000,56493000,1797507000,274574000,1209540000,346102000,209507000,653931000,1484114000,3281621000,473473000,473473000,287433000,287433000,760906000,989086000,709748000,60160000,649588000,1698834000,2459740000,9694000,853589000,-41402000,821881000,821881000,3281621000,81241000,24137000,-583000,-23480000,81315000,-8504000,-8504000,-8504000,-8504000,812000,812000,-139000,-243327000,-170516000,-170516000,-169406000,128601000,989086000,115644000,0.44356,0.12076,0.09391,0.09885,0.02476,1.42347,2.36232,2.99282,0.3014,1.88085,1.85835,20.0279,19.02778,2.67733,6,0.03223,0.04588,1.22791,1.51163
"44","2021_Q1",87.8177049180328,"Up",989897000,-523948000,465949000,-338370000,-338370000,127579000,-6645000,-15241000,-15539000,8596000,120934000,120934000,-21920000,99014000,99014000,99014000,99014000,1102323000,1102323000,186512000,186512000,599262000,57927000,57927000,1946024000,262345000,1184211000,345403000,211776000,627032000,1446556000,3392580000,472140000,472140000,320392000,320392000,792532000,989530000,672485000,52770000,619715000,1662015000,2454547000,18190000,952603000,-32760000,938033000,938033000,3392580000,99014000,20515000,9791000,141846000,271166000,-7659000,-7659000,-7659000,-9059000,5280000,5280000,-83000,5197000,267304000,267304000,271148000,148094000,989530000,304201000,0.4707,0.12888,0.10002,0.10555,0.02919,3.0723,2.45545,2.6167,0.29167,2.28882,2.28165,22.88255,21.68366,7.03194,6,0.03808,0.117,-0.761629999999998,-0.884099999999999
"45","2021_Q2",96.9301587301587,"Up",787361000,-395401000,391960000,-271927000,-271927000,120033000,-6743000,-15123000,-15348000,8380000,113290000,113290000,-27094000,86196000,86196000,86196000,86196000,1053690000,1053690000,240212000,240212000,560683000,63290000,63290000,1917875000,248799000,1143799000,344426000,212271000,587102000,1392598000,3310473000,334831000,334831000,322028000,322028000,656859000,989980000,634025000,56990000,577035000,1624005000,2280864000,22344000,1038799000,-31534000,1029609000,1029609000,3310473000,86196000,24115000,14009000,-163850000,-39530000,-11665000,-11665000,-11665000,-6665000,811000,811000,-3588000,-2777000,-48972000,-48972000,-48633000,144148000,989980000,-4273000,0.49781,0.15245,0.10947,0.08372,0.02604,-0.04957,2.91977,2.21527,0.29904,1.98742,1.98152,18.1542,23.73971,-0.09852,5,0.03248,-0.00161,-0.44198,-0.53077
"46","2021_Q3",96.3334375,"Down",746400000,-377693000,368707000,-267770000,-267770000,100937000,-7726000,-15094000,-15295000,7368000,93211000,93211000,-21608000,71603000,71603000,71603000,71603000,1120901000,1120901000,163957000,163957000,619617000,66549000,66549000,1971024000,231944000,1112958000,343545000,213195000,556218000,1344902000,3315926000,356826000,356826000,271510000,271510000,628336000,990437000,599649000,58150000,541499000,1590086000,2218422000,31961000,1092806000,-27263000,1097504000,1097504000,3315926000,71603000,22364000,9122000,-14036000,89052999.9999999,-8841000,-8841000,-8841000,-8841000,4336000,4336000,-333000,-13593000,66619000,66619000,67211000.0000001,123301000,990437000,122032000,0.49398,0.13523,0.09593,0.06524,0.02159,1.70429,3.13689,2.02133,0.29869,1.65095,1.64605,17.20976,25.30517,2.81369,8,0.03319,0.04541,-1.05809,-1.29253
"47","2021_Q4",97.7278125,"Up",890586000,-481805000,408781000,-293192000,-293192000,115589000,-7263000,-14861000,-16308686.3443644,7598000,108326000,108326000,-23350000,84976000,84976000,84976000,84976000,943025000,943025000,261182000,261182000,722396000,56182000,56182000,1982785000,218828000,1092643000,342548000,212016000,538079000,1311471000,3294256000,388726000,388726000,285739000,285739000,674465000,990900000,574017000,52967000,521050000,1564917000,2239382000,429000,1087134000,-32689000,1054874000,1054874000,3294256000,84976000,21589000,8305000,-157074000,-42204000,-8157000,-6517020.09389262,-6517020.09389261,-8157000,-107949000,2313000,-199000,-125695000,-176056000,-176056000,-177876000,137178000,990900000,-4703000,0.459,0.12979,0.09542,0.08056,0.0258,-0.05535,2.93979,2.12289,0.3008,1.95982,1.95292,20.53982,24.32884,-0.10847,6,0.03913,-0.0018,0.349,0.41418
"48","2022_Q1",90.6295161290323,"Down",1062093000,-569267000,492826000,-360987000,-360987000,131839000,-8376000,-14120000,-16975882.219141,5744000,123463000,123463000,-26490000,96973000,96973000,96973000,96973000,984294000,984294000,231354000,231354000,647742000,50131000,50131000,1913521000,216004000,1072272000,341612000,212023000,518637000,1288276000,3201797000,407044000,407044000,323986000,323986000,731030000,991370000,529211000,40910000,488301000,1520581000,2251611000,410999.999999996,978672000,-28897000,950186000,950186000,3201797000,96973000,26040000,-17195000,155121000,260939000,-8779000,-6556840.05974985,-6556840.05974984,-8779000,-185542000,3535000,-122000,-210645000,41515000,41515000,41269000,157879000,991370000,330711000,0.46401,0.12413,0.0913,0.10206,0.03029,3.41034,2.61757,2.36965,0.30963,2.25703,2.24852,24.72002,22.11541,7.69724,6,0.04936,0.13385,0.0448199999999997,0.0536699999999998
"49","2022_Q2",78.4098387096774,"Down",781284000,-426242000,355042000,-259893000,-259893000,95149000,-6808000,-14794000,-15132000,7986000,88341000,88341000,-20408000,67933000,67933000,67933000,67933000,702266000,702266000,265694000,265694000,679729000,64389000,64389000,1712078000,197515000,1051688000,340732000,212518000,498438000,1249203000,2961281000,284034000,284034000,257901000,257901000,1037678000,496104000,512209000,48450000,463759000,1008313000,2045991000,406000,940999000,-26115000,915290000,915290000,2961281000,67933000,14214000,10719000,-256673000,-163807000,-7652000,-7652000,-7652000,-7655000,-74274000,222000,-6623000,-111470000,-282932000,-282932000,-282028000,109363000,991847000,-134554000,0.45443,0.12179,0.08695,0.07422,0.02294,-1.98069,1.64991,2.23535,0.33494,1.64347,1.63804,18.90125,22.1432,-3.2552,4,0.04072,-0.05562,2.64789,3.04345
"50","2022_Q3",75.26859375,"Down",700696000,-369457000,331239000,-261422000,-261422000,69817000,-2796000,-8380000,-8652000,5584000,67021000,47081000,-10111000,36970000,36970000,36970000,36970000,231339000,231339000,183920000,183920000,858258000,81482000,81482000,1354999000,186778000,1032110000,339766000,211247000,481097000,1218888000,2573887000,408006000,408006000,239083000,239083000,647089000,616275000,489657000,45730000,443927000,1105932000,1753021000,393000,852676000,-32203000,820866000,820866000,2573887000,36970000,17489000,32663000,-16910000,70212000,-8661000,-8661000,-8661000,-8658000,-101721000,89000,-18477000,-530085000,-468531000,-468531000,-470927000,87306000,616275000,71846000,0.47273,0.09964,0.05276,0.04504,0.01436,1.94336,2.09399,2.13558,0.23943,0.91803,0.91627,17.39956,20.3836,1.78407,6,0.0347,0.03729,4.40904,5.5135
