"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",20.7904761904762,"Up",273501000,-105369000,-2955000,-102414000,168132000,550000,-1102000,1652000,0,168682000,-87797000,80885000,-29858000,51027000,51027000,-1386000,49641000,49641000,224631000,94629000,130002000,44725000,44725000,66118000,10846000,55272000,335474000,38737000,759005000,660040000,95538000,797742000,1133216000,99152000,48763000,50389000,28421000,28421000,127573000,159375000,203388000,182987000,20401000,362763000,490336000,327630000,-255249000,540222000,87000,612690000,30190000,642880000,1133216000,51027000,2584000,13964000,-34356000,33219000,-2133000,5122000,-25467000,-6375000,-14871000,-14871000,-1835000,-48548000,-10207000,-10207000,-10207000,170716000,159375000,164085000,0.61474,0.1815,0.07722,0.04381,3.30543,2.62966,0.76272,0.14064,0.50725,0.50724,2.79473,6.26069,1.67668,0.26023,0.07469,0.16316,0.51302,-0.38225,-0.38812
"30","2017_Q3",22.0760317460317,"Up",272796000,-101411000,-3096000,-98315000,171385000,488000,-1181000,1703000,-34000,171873000,-84940000,86933000,-32274000,54659000,54659000,-1208000,53451000,53451000,237358000,115168000,122190000,45097000,45097000,61928000,14424000,47504000,344383000,37843000,758565000,660040000,95241000,796408000,1140791000,88418000,48567000,39851000,6261000,6261000,94679000,178500000,205321000,184190000,21131000,383821000,478500000,333186000,-269413000,567780000,76000,631629000,30662000,662291000,1140791000,54659000,2595000,14872000,-8974000,63152000,-1328000,5584000,-25470000,-6375000,-15122000,-15212000,-1219000,-48186000,20550000,20550000,20550000,173980000,178500000,195952000,0.62825,0.19594,0.08071,0.04685,3.66601,3.63737,0.72249,0.15647,0.54776,0.54775,2.79559,6.47287,2.0081,0.26101,0.07544,0.18731,0.47651,-0.3383,-0.34343
"31","2017_Q4",25.6585714285714,"Up",278315000,-104787000,-2345000,-102442000,173528000,640000,-1251000,1889000,2000,174168000,-83171000,90997000,-33756000,57241000,57241000,-802000,56439000,56439000,283225000,161410000,121815000,45530000,45530000,56934000,9690000,47244000,385689000,38654000,757165000,660040000,93984000,795819000,1181508000,107911000,51029000,56882000,7903000,7903000,115814000,1.75e+08,207906000,185370000,22536000,382906000,498720000,338212000,-283482000,598901000,166000,653797000,28991000,682788000,1181508000,57241000,2609000,15944000,25198000,100992000,-3330000,-9344000,-25349000,-3500000,-14069000,-14069000,-2473000,-45391000,46257000,46257000,46257000,176137000,1.75e+08,231761000,0.62349,0.20279,0.08266,0.04777,4.1064,3.33025,0.73042,0.14812,0.58108,0.58107,2.86545,6.73129,2.38614,0.26099,0.07675,0.21747,0.44914,-0.61444,-0.62367
"32","2018_Q1",27.1180327868852,"Up",278312000,-107070000,-2770000,-104300000,171242000,744000,-1238000,1992000,-10000.0000000002,171986000,-78799000,93187000,38787000,131974000,131974000,-164000,131810000,131810000,324127000,316264000,7863000,26033000,26033000,87114000,11747000,75367000,437274000,37670000,756466000,660040000,19551000,794136000,1231410000,122167000,47595000,74572000,6682000,6682000,128849000,1.7e+08,141183000,117620000,23563000,311183000,440032000,343378000,-278732000,697359000,-790000,761215000,30163000,791378000,1231410000,131974000,2849000,49461000,5728000,190012000,-3008000,-361999.999999996,-25225000,-5e+06,-3281000,-4490000,-1290000,-34796000,154854000,154854000,154854000,174091000,1.7e+08,138024000,0.61529,0.47361,0.16656,0.10704,1.04714,3.39369,0.55603,0.13805,1.35786,1.35784,2.86707,7.84176,1.42187,0.25986,0.14243,0.12518,0.19137,-0.88532,-0.90005
"33","2018_Q2",21.5315625,"Down",263852000,-111683000,-3228000,-108455000,152169000,427000,-1330000,1900000,-143000,152596000,-73680000,78916000,-18910000,60006000,60006000,325000,60331000,60331000,377556000,325609000,51947000,50057000,50057000,13400000,11404000,1995999.99999999,441013000,38698000,755616000,660040000,92722000,794314000,1235327000,81267000,54150000,27117000,18368000,18368000,99635000,1.65e+08,142418000,121842000,20576000,307418000,407053000,350344000,-271786000,721829000,-767000,799620000,28654000,828274000,1235327000,60006000,2638000,13763000,-28311000,48096000,-3106000,-3089000,-25265000,-5e+06,-3923000,-4024000,-1412000,-35600000,9407000,9407000,9407000,154807000,1.65e+08,142300000,0.57672,0.22865,0.07284,0.04884,2.35865,4.42629,0.49145,0.13357,0.62077,0.62076,2.71489,8.22764,1.46419,0.25996,0.07537,0.1253,0.41877,-1.37304,-1.39684
"34","2018_Q3",19.1701587301587,"Down",255993000,-105789000,-3237000,-102552000,150204000,-28213000,-1431000,2192000,-28974000,121991000,-70262000,51729000,-13062000,38667000,38667000,155000,38822000,38822000,417561000,375172000,42389000,44706000,44706000,21913000,19906000,2007000,484180000,39338000,752797000,660040000,90046000,792135000,1276315000,94754000,51358000,43396000,40306000,40306000,135060000,1.78e+08,143146000,122806000,20340000,321146000,456206000,356138000,-288277000,732753000,-1489000,799125000,20984000,820109000,1276315000,38667000,2705000,16093000,30825000,88290000,-2291000,-2404000,-27339000,1.3e+07,-16244000,-16350000,-5764000,-36347000,49539000,49539000,49539000,152909000,1.78e+08,194505000,0.58675,0.15165,0.04734,0.03042,5.01017,3.58493,0.55627,0.13946,0.39943,0.39943,2.63386,8.22204,2.00122,0.28129,0.05797,0.17043,0.70421,-1.56669,-1.5949
"35","2018_Q4",20.4701587301587,"Up",308616000,-154565000,-4502000,-150063000,154051000,1576000,-1602000,938000,2240000,155627000,-71892000,83735000,-21741000,61994000,61994000,-2386000,59608000,59608000,157059000,116943000,40116000,94852000,94852000,19711000,18177000,1534000,271622000,52644000,1199391000,819069000,38567000,1252035000,1523657000,148133000,57160000,90973000,16168000,16168000,164301000,1.6e+08,179248000,143651000,35597000,339248000,503549000,361609000,-294154000,765176000,-5267000,827364000,192744000,1020108000,1523657000,61994000,5424000,9670000,-127104000,-50016000,-6503000,-157932000,-27204000,-1.8e+07,-6675000,-6690000,1595000,-50284000,-258232000,-258232000,-258232000,159475000,1.6e+08,47609000,0.49917,0.19315,0.05843,0.03912,0.7987,1.6532,0.49362,0.10501,0.61665,0.61665,3.19267,8.55917,0.49252,0.28143,0.06386,0.03502,0.45638,0.01844,0.01909
"36","2019_Q1",23.1262295081967,"Up",307216000,208985000,-5174000,214159000,161436000,-3539000,-1522000,955000,-2972000,157897000,-76103000,81794000,-20162000,61632000,61632000,-96000,61536000,61536000,167692000,156832000,10860000,60094000,60094000,76315000,16513000,59802000,304101000,53229000,1186353000,809608000,37106000,1239582000,1543683000,169975000,56110000,113865000,11205000,11205000,181180000,1.35e+08,187869000,148164000,39705000,322869000,504049000,367252000,-287337000,791823000,-14617000,857121000,182513000,1039634000,1543683000,61632000,6320000,25146000,26814000,119912000,-5374000,-11014000,-27135000,-2.5e+07,-2405000,-2183000,-9344000,-63884000,45014000.0000001,45014000.0000001,39903000,167756000,1.35e+08,209358000,0.52548,0.2003,0.05919,0.03986,3.4022,1.67845,0.48483,0.08745,0.63602,0.63604,3.17529,8.85895,2.16386,0.28046,0.06508,0.15366,0.44096,-0.19488,-0.20251
"37","2019_Q2",26.527619047619,"Up",307050000,-158529000,-4190000,-154339000,148521000,-46000,-1400000,1030000,324000,148475000,-75953000,72522000,-17911000,54611000,54611000,-65000,54546000,54546000,146518000,134485000,12033000,48708000,48708000,83125000,17177000,65948000,278351000,53980000,1302845000,813920000,379758000,1356825000,1635176000,102162000,61381000,40781000,29530000,29530000,131692000,1.3e+08,289545000,153603000,135942000,419545000,551237000,374362000,-276992000,807322000,-6953000,897739000,186200000,1083939000,1635176000,54611000,7221000,18864000,-63938000,16758000,-5060000,-5441000,-27217000,-5e+06,-1485000,-1485000,-2217000,-35919000,-24602000,-24602000,-22338000,155742000,1.3e+08,104655000,0.4837,0.17765,0.05032,0.03336,1.91866,2.11365,0.50855,0.0795,0.56236,0.56236,3.16566,9.25561,1.07898,0.2806,0.05438,0.06961,0.49897,-0.10606,-0.11122
"38","2019_Q3",27.8246875,"Up",321479000,-154539000,-4696000,-149843000,166940000,-1215000,-1332000,949000,-832000,165725000,-81423000,84302000,-20462000,63840000,63840000,-1116000,62724000,62724000,205162000,179961000,25201000,46686000,46686000,86524000,19991000,66533000,338372000,54100000,1295578000,769689000,420002000,1349678000,1688050000,130592000,65493000,65099000,21217000,21217000,151809000,1.25e+08,296725000,162204000,134521000,421725000,573534000,380534000,-277633000,826119000,-16492000,912528000,201988000,1114516000,1688050000,63840000,5230000,4357000,22238000,95665000,-3804000,-16089000,-27332000,-5e+06,-709000,-709000,1451000,-31590000,47986000,47986000,45476000,172170000,1.25e+08,211066000,0.51929,0.19511,0.05628,0.03716,3.365,2.22893,0.5146,0.07405,0.64443,0.64444,3.30291,9.37542,2.16852,0.28081,0.05862,0.13739,0.43575,-0.4656,-0.48018
"39","2019_Q4",27.87421875,"Up",340340000,-162952000,-4103000,-158849000,177388000,8055000,-1239000,1030000,8264000,185443000,-88667000,96776000,-23191000,73585000,73585000,-623000,72962000,72962000,265344000,196513000,68831000,59832000,59832000,95696000,15610000,80086000,420872000,51555000,1281544000,766174000,412854000,1333099000,1753971000,167620000,66843000,100777000,26755000,26755000,194375000,1.2e+08,289607000,161778000,127829000,409607000,603982000,386482000,-279472000,871774000,-28287000,950497000,199492000,1149989000,1753971000,73585000,6714000,-14002000,33621000,99918000,-2457000,-44789000,-27320000,-5e+06,-1860000,-1860000,322000,-33858000,21271000,21271000,17948000,184102000,1.2e+08,238457000,0.52121,0.21438,0.06345,0.0416,3.26824,2.16526,0.52521,0.06842,0.74981,0.74981,3.49759,9.76802,2.45056,0.28076,0.0643,0.1529,0.37444,-0.78948,-0.81936
"40","2020_Q1",25.5316129032258,"Down",358025000,-60800000,-345448000,284648000,-144922000,5584000,-1066000,1441000,5209000,-139338000,251009000,111671000,-26582000,85089000,85089000,-2982000,82107000,82107000,340635000,249174000,91461000,64492000,64492000,56157000,16748000,39409000,461284000,51725000,1367122000,774534000,146360000,1418847000,1880131000,206459000,69014000,137445000,24254000,24254000,230713000,1e+08,296052000,165382000,130670000,396052000,626765000,392021000,-281032000,930351000,-60000,1041280000,212086000,1253366000,1880131000,85089000,8834000,-3256000,31932000,122599000,-3724000,-28364000,-27278000,-2e+07,-11686000,-11686000,7651000,-51313000,42922000,42922000,50999000,-136088000,1e+08,-81298000,-0.40478,0.22933,0.06551,0.04367,-0.99015,1.99938,0.50007,0.05319,0.84296,0.84296,3.67571,10.69043,-0.83466,0.28005,0.06632,-0.04929,0.33223,1.76823,1.66044
"41","2020_Q2",19.2522222222222,"Down",359183000,-54944000,-4995000,-49949000,188904000,8803000,-931000,1389000,8345000,197707000,-1.12e+08,85707000,-22442000,63265000,63265000,913000,64178000,64178000,333848000,308349000,25499000,49763000,49763000,120502000,18643000,101859000,504113000,51464000,1370332000,789807000,20481000,1421796000,1925909000,136732000,80625000,56107000,50494000,50494000,187226000,1.95e+08,301489000,169397000,132092000,496489000,683715000,399677000,-280845000,949209000,-25108000,1042933000,199261000,1242194000,1925909000,63265000,6907000,32114000,-73035000,29251000,-1557000,-8157000,-27304000,9.5e+07,-1.5e+07,-1.5e+07,-2296000,50400000,71494000,71494000,65008000,195811000,1.95e+08,143661000,0.52593,0.17868,0.05167,0.03332,2.23848,2.69254,0.55041,0.10125,0.65928,0.65928,3.68979,10.71378,1.47579,0.28049,0.05262,0.08263,0.42544,-0.70909,-0.73502
"42","2020_Q3",20.84984375,"Up",360712000,-50840000,-3066000,-47774000.0000001,186289000,204000,-786000,1013000,-23000,186493000,-75210000,111283000,-26482000,84801000,84801000,-3605000,81196000,81196000,372603000,277840000,94763000,88008000,88008000,60789000,20443000,40346000,521400000,50722000,1361773000,786999000,21719000,1412495000,1933895000,217444000,89136000,86475000,31552000,31552000,248996000,9e+07,303560000,173097000,130463000,393560000,642556000,406133000,-298142000,1004497000,-25821000,1086667000,204672000,1291339000,1933895000,84801000,7181000,-3266000,35430000,124146000,-3422000,-5728000,-27255000,-1.05e+08,-17911000,-17911000,2318000,-147848000,-29430000,-29430000,-30520000,193470000,9e+07,251960000,0.51645,0.2251,0.06288,0.04199,3.10311,2.09401,0.49759,0.04654,0.83879,0.83879,3.72633,11.22578,2.60287,0.28156,0.06437,0.14954,0.33567,-1.46071,-1.51701
"43","2020_Q4",24.285625,"Up",364455000,-310086000,-261845000,-48241000,-71817000,379000,-494000,769000,104000,-71438000,191050000,119612000,-32928000,86684000,86684000,-862000,85822000,85822000,437159000,322847000,114312000,71976000,71976000,60279000,17721000,42558000,569414000,51097000,1383215000,792361000,23988000,1434312000,2003726000,199409000,79530000,119879000,34970000,34970000,234379000,9e+07,313470000,179689000,133781000,403470000,637849000,412225000,-318098000,1066842000,-9393000,1151576000,214301000,1365877000,2003726000,86684000,8343000,-4687000,-279000,90061000,-3580000,-4612000,-27053000,0,-20234000,-20234000,2921000,-44366000,41083000,41083000,45251000,-63474000,9e+07,-34405000,-0.19705,0.23548,0.06283,0.04283,-0.40089,2.42946,0.46699,0.04492,0.89368,0.89368,3.79514,11.99159,-0.35827,0.28171,0.06379,-0.01945,0.31522,5.46931,4.83394
"44","2021_Q1",27.4590163934426,"Up",363918000,-110847000,-64271000,-46576000,114775000,453000,-467000,948000,-28000,115228000,14226999.9999999,129455000,-28183000,101272000,101272000,-6104000,95168000,95168000,438771000,301819000,136952000,64857000,64857000,71715000,22130000,49585000,575343000,52610000,1432886000,800267000,150866000,1485496000,2060839000,232382000,61736000,170646000,33064000,33064000,265446000,7.5e+07,346409000,187937000,158472000,421409000,686855000,418669000,-324731000,1027699000,15360000,1136997000,236987000,1373984000,2060839000,101272000,7501000,-4587000,25597000,129783000,-4941000,-6326000,-126153000,-1.5e+07,-13614000,-13614000,1445000,-153322000,-29865000,-29865000,-20615000,122276000,7.5e+07,171115000,0.31539,0.26151,0.06926,0.04618,1.79803,2.16746,0.4999,0.03639,0.99654,0.99654,3.81074,11.90598,1.79182,1.321,0.12327,0.09531,1.32558,-2.975,-3.16943
"45","2021_Q2",30.0239682539683,"Up",341173000,-100075000,-47213000,-52862000,97478000,486000,-491000,632000,345000,97964000,1379000,99343000,-24997000,74346000,74346000,138000,74484000,74484000,382695000,222605000,160090000,67213000,67213000,70404000,27395000,43009000,520312000,50980000,1438661000,801500000,155625000,1489641000,2009953000,151990000,57679000,74708000,47310000,47310000,199300000,7e+07,339814000,191752000,148062000,409814000,609114000,427885000,-354512000,1062831000,18918000,1155122000,245717000,1400839000,2009953000,74346000,7473000,-25405000,-86427000,-30013000,-2159000,-1504000,-26788000,-5e+06,-39073000,-39073000,21871000,-48990000,-80507000,-80507000,-79237000,104951000,7e+07,41362000,0.28571,0.21832,0.05317,0.03706,0.55531,2.6107,0.43482,0.03483,0.78225,0.78225,3.58307,12.13134,0.43439,0.28133,0.05593,0.02284,0.35965,-2.97944,-3.20785
"46","2021_Q3",31.0140625,"Up",311040000,-96462000,-42738000,-53724000,81809000,618000,-346000,1148000,-184000,82427000,6245000,88672000,-35193000,53479000,53479000,2405000,55884000,55884000,424201000,253732000,170469000,64709000,64709000,75289000,34115000,41174000,564199000,48413000,1432336000,801941000,150880000,1480749000,2044948000,167204000,65460000,101744000,45969000,45969000,213173000,6.5e+07,353376000,205985000,147391000,418376000,631549000,435645000,-386104000,1091976000,20413000,1161930000,251469000,1413399000,2044948000,53479000,7526000,5083000.00000001,18876000,84964000,-1096000,6521000,-26551000,-5e+06,-38900000,-38900000,7631000,-62820000,28665000,28665000,29221000,89335000,6.5e+07,142308000,0.26302,0.17967,0.03954,0.02733,2.54649,2.64667,0.44683,0.03179,0.58691,0.58691,3.26661,12.20284,1.49455,0.27884,0.045,0.07769,0.47511,-4.02083,-4.39073
"47","2021_Q4",33.243125,"Up",326589000,-96191000,-43146000,-53045000,98402000,-1109000,-476000,686000,-1319000,97293000,-644000,96649000,-23163000,73486000,73486000,-2124000,71362000,71362000,345085000,201692000,143393000,67374000,67374000,65583000,27445000,38138000,478042000,49421000,1418946000,798258000,147768000,1468367000,1946409000,195771000,62648000,133123000,38941000,38941000,234712000,102150000,349224000,205317000,143907000,451374000,686086000,442143000,-403807000,1153539000,12976000,1204851000,55472000,1260323000,1946409000,73486000,7640000,-55560000,20439000,46005000,-4498000,5968000,-26329000,37150000,-14453000,-14453000,-95933000,-99565000,-47592000,-47592000,-52176000,106042000,102150000,145146000,0.3013,0.21851,0.05662,0.03666,2.03394,2.03672,0.54437,0.05248,0.75788,0.75788,3.46845,12.79578,1.54148,0.27962,0.05707,0.0848,0.36895,-2.29093,-2.4688
"48","2022_Q1",32.8627419354839,"Down",321645000,-108955000,-49387000,-59568000,88583000,491000,-472000,705000,258000,89074000,2552000,91626000,-20629000,70997000,70997000,-2434000,68563000,68563000,426674000,233327000,193347000,65317000,65317000,67456000,29322000,38134000,559447000,46965000,1411775000,798871000,141695000,1458740000,2018187000,226222000,64019000,162203000,44485000,44485000,270707000,223350000,346911000,205206000,141705000,570261000,840968000,449118000,-538464000,1187001000,16362000,1114017000,63202000,1177219000,2018187000,70997000,7371000,-43349000,34408000,69427000,-2668000,-166055000,-26096000,121200000,-135923000,-135923000,168608000,127789000,31161000,31161000,31608000,95954000,223350000,148323000,0.27541,0.21316,0.05824,0.03397,2.16331,2.06661,0.71437,0.11067,0.80458,0.80458,3.77447,13.07286,1.74055,0.30623,0.05417,0.08488,0.38061,-2.11897,-2.29529
"49","2022_Q2",30.8817741935484,"Down",324764000,-106850000,-51294000,-55556000,83949000,-46000,-1222000,1093000,83000,83903000,-11695000,72208000,-17611000,54597000,54597000,1266000,55863000,55863000,457480000,262043000,195437000,55510000,55510000,68855000,32283000,36572000,581845000,44579000,1392098000,794788000,138647000,1436677000,2018522000,150018000,65135000,73435000,30955000,30955000,180973000,397383000,333676000,204745000,128931000,731059000,912032000,461735000,-594806000,1191575000,-583000,1057921000,48569000,1106490000,2018522000,54597000,7462000,-6923000,-74383000,-19247000,-1853000,-2540000,-24953000,176650000,-113338000,-113338000,16502000,54861000,33074000,33074000,28569000,91411000,397383000,32786000,0.25849,0.17201,0.05049,0.02768,0.5869,3.21509,0.82426,0.19687,0.60771,0.60771,3.53296,11.50865,0.35666,0.27145,0.04398,0.01784,0.44668,-0.65744,-0.71588
"50","2022_Q3",33.54390625,"Up",366008000,-145604000,-88978000,-56626000,92318000,-1786000,-3349000,1578000,-15000,90532000,-20885000,69647000,-18889000,50758000,50758000,6899000,57657000,57657000,429767000,248732000,181035000,53850000,53850000,77786000,34175000,43611000,561403000,41588000,1348926000,784900000,130935000,1390514000,1951917000,167690000,73761000,93929000,39457000,39457000,207147000,397448000,324698000,197484000,127214000,722146000,929293000,471119000,-684286000,1224527000,-43467000,967893000,54731000,1022624000,1951917000,50758000,6961000,13526000,27518000,98763000,-1036000,2637000,-24706000,-2.98023223876953e-08,-91266000,-91266000,14144000,-101828000,-428000,-428000,-13640000,99279000,397448000,144650000,0.25223,0.15753,0.05638,0.02954,2.5088,2.71017,0.90873,0.20362,0.65482,0.65482,4.15682,10.99254,1.64282,0.28059,0.04721,0.0829,0.4285,-0.32554,-0.35008
