"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",5.18174603174603,"Up",250187000,-76031000,174156000,-124795000,-13882000,-97485000,49361000,-46822000,-47022000,2539000,2848999.99999994,4307000,7155999.99999997,7156000,2089000.00000001,9245000.00000003,9245000.00000006,67399000,67399000,531050000,436736000,598449000,5935579000,8388526000,-2452947000,10328000,10328000,5945907000,6544356000,234308000,234308000,4094156000,694083000,694083000,4788239000,3888834000,1614941000,141176000,1756117000,6544356000,7156000,97485000,-2594000,2256000,104303000,74433000,-126704000,-122059000,90653000,-15500000,17665000,-91000,-91000,-91000,146846000,694083000,219228000,0.6961,0.1973,0.0369499999999999,0.00526,0.00141,23.71314,0.14617,2.72661,0.10606,0.00788,0.00786999999999999,0.2132,1.26969,0.18682,0.02724,0.08947,4.26763,12.69593
"35","2018_Q4",5.39650793650794,"Up",242481000,-78254000,164227000,-117273000,-12479000,-96406000,46954000,-43063000,-42780000,3891000,630123000,-26206000,603917000,603917000,65704000,669621000,669621000,58032000,58032000,396334000,396334000,454366000,5730655000,8269634000,-2538979000,192623241.31686,192622844.527507,5730655000,6185021000,242782000,242782000,3889571000,2450076722.38618,2450081016.57103,3889571000,3889886000,2125682000,169768000,2295450000,6185021000,603917000,96406000,-590571000,7548000,117300000,-91914000,624723000,532809000,-616167000,-8934000,-684750000,-34641000,-34641000,-34641000,143360000,0,85200000,0.67728,0.19364,2.76154,0.29172,0.10826,0.12724,0.11682,1.69447,-4.16333634234434e-17,0.58739,0.58655,0.2127,1.755,0.07474,0.3177,0.03712,-0.404799999999998,-1.23593000000001
"36","2019_Q1",5.9,"Up",232022000,-85719493.6538963,166745938.13219,-398530000,-8552000,-91347000,66064000,-54359000,-54295000,11705000,12302000,-2462000,9840000.00000024,9840000,-141965000,-132125000,-143784000,36858000,36858000,35737000,35737000,72595000,5723475000,8308590000,-2585115000,393934000,393934000,6117409000,6190004000,226230000,226230000,249407000,4075665000,4075665000,4325072000,3517132000,1699419000,165513000,1864932000,6190004000,9840000,91347000,8741000.00000012,-16466000,93462000,-89528000,-27747999.9999999,-117276000,440587000,-7723000,-7890000,-31704000,-31704000,-31704000,157411000,4075665000,53879000,0.659182942885242,0.28473,-0.619700000000001,-0.0771,-0.02323,-0.37472,0.29107,2.31916,0.65843,-0.15757,-0.15818,0.25426,1.72533,0.05904,-0.0129,0.00907,25.65772,61.13476
"37","2019_Q2",6.1652380952381,"Up",230235000,-79184000,151051000,-109637000,-10369000,-93565000,41414000,-38611000,-38683000,2803000,294276000,-2981000,291295000,291295000,-17162000,274133000,271568000,162286000,162286000,36103000,36102999.9999999,198389000,5643853000,8225519000,-2581666000,441527000,441527000,6085380000,6283769000,293279000,293279000,293279000,3929023000,3929023000,4222302000,3496783000,1883636000,177831000,2061467000,6283769000,291295000,93565000,-288272000,-14971000,81617000,-91101000,1422000,252404000,-109940000,-8052000,-208227000,125794000,125794000,125794000,134979000,3929023000,31888000,0.65607,0.17988,1.17953,0.13174,0.04322,0.11742,0.67645,2.0482,0.62527,0.25101,0.25064,0.21281,1.62552,0.02947,0.05694,0.00532,27.9061,90.95323
"38","2019_Q3",6.29234375,"Up",224200000,-75647000,148553000,-108449000,-11498000,-91924000,40104000,-36245000,-36476000,3859000,68169000.0000001,1827000,69995999.9999999,69996000,5886999.99999997,75883000,75883000,33958000,33958000,31949000,31949000,65907000,5.719e+09,8312241000,-2593241000,455897000,455897000,6174897000,6240804000,299313000,299313000,299313000,3997447000,3997447000,4296760000,3604051593.04161,101178000,1842866000,1944044000,6240804000,69996000,91924000,-59914000.0000001,-13584000,88422000,-92573000,379777000,-54879000,36749999.9999999,-268084000,-166025000,-132482000,-132482000,-132482000,132028000,3997447000,24044000,0.66259,0.17888,0.33846,0.03903,0.01216,0.31686,0.22019,2.21022,0.64053,0.06755,0.06744,0.19959,0,0.0214,0.00107,0.00405,30.02006,98.83027
"39","2019_Q4",6.61375,"Up",229827000,-77484000,152343000,-109714000,-10595000,-97538000,42629000,-42901000,-39187000,-272000,874000,3096000,3970000,3970000,-1991000,1979000,2003000,58724000,58724000,34501000,34501000,93225000,6050892000,8735586000,-2684694000,395061000,395061000,6445953000,6539178000,397216000,397216000,397216000,4254710000,4254710000,4651926000,3638838968.32239,101178000,1786074000,1887252000,6539178000,3970000,97538000,-256000,7457000,108709000,-123900000,-89630000,-213530000,189609000,124852000,132139000,27318000,27318000,27318000,140167000,4254710000,20628000,0.66286,0.18548,0.00872,0.00105999999999998,0.000310000000000001,10.29855,0.2347,2.46492,0.65065,0.0018,0.0018,0.20642,0,0.01853,0.0307,0.00336,29.93562,98.43032
"40","2020_Q1",6.03951612903226,"Down",-540570000,174774000,-365796000,256708000,25400000,218997000,-109088000,97979000,95774000,-11109000,-366507000,1359000,-365148000,-365148000,13457000,-351691000,-349150000,142902000,142902000,34800000,34800000,177702000,6019307000,8737591000,-2718284000,351472000,351472000,6651037000,6828739000,360574000,360574000,360574000,4505590000,4505590000,4866164000,3498856000,1877713000,84862000,1962575000,6828739000,-365148000,-218997000,343121000,20205000,-220819000,172345000,-569196000,-396851000,-45519000,440626000,602355000,-15315000,-15315000,-15315000,-328085000,4505590000,-136894000,0.67669,0.2018,0.64589,-0.1779,-0.05113,0.39208,0.49283,2.47948,0.6598,-0.30414,-0.30545,-0.47089,1.55112,-0.11925,-0.08282,-0.02116,-13.29743,-39.99237
"41","2020_Q2",4.7215873015873,"Down",38309000,-15349000,22960000,-21109000,-1762000,-19347000,1851000,681000,-5651000,2532000,2532000,2023000,4555000,4555000,-128000,4427000,4427000,340883000,340883000,33933000,33933000,374816000,6025659000,8836608000,-2810949000,361298000,361298000,6673429000,7048245000,349099000,349099000,349099000,4802532000,4802532000,5151631000,3490098000,1717455000,179159000,1896614000,7048245000,4555000,19347000,-8260000,-87000,15555000,-6653000,-364988122.192348,-6653000,-2449000,-6421000,-8870000,32000,32000,32000,21198000,4802532000,12435000,0.59934,0.04832,0.11556,0.00233,0.000629999999999999,2.8089,1.07367,2.71623,0.68138,0.00397,0.00397,0.03439,1.54164,0.01116,0.000659999999999994,0.00186,210.475,2410.39924
"42","2020_Q3",4.67359375,"Down",37165000,-15322000,21843000,-20655000,-1625000,-19030000,1187999.99999999,973000,-5808999.99999999,2161000,1080999.99999994,2032000,3113000,3113000,-49999.9999999981,3063000,3063000,398408000,398408000,44609873.3875644,44620908.7934377,398408000,6008489000,8794593000,-2786104000,420823000,420823000,6722739000,7121147000,353787000,353787000,353787000,4892183000,4892183000,5245970000,4548115581.97905,96449000,1778728000,1875177000,7121147000,3113000,19030000,-8284000,-1001000,12858000,-4068000,-35000,-4103000,-2464000,-6472000.00000006,-8936000.00000012,-181000,-181000,-181000,20218000,4892183000,13117000,0.58773,0.03197,0.08242,0.00163,0.00043,4.2824,1.12612,2.79759,0.68699,0.00274999999999995,0.00275,0.03336,0,0.01177,0.00045,0.00194,222.26605,3782.63889
"43","2020_Q4",4.384375,"Down",37328000,-15151000,22177000,-20848000,-1552000,-19296000,1329000,-1008000,-7103000,321000,-677000,2673000,1996000,1996000,15000,2011000,2011000,228368000,228368000,40123000,40123000,268491000,6039984000,8898158000,-2858174000,433328000,433328000,6773638000,7042129000,356538000,356538000,414715000,4406797000,4406797000,4821512000,4002414000,2200840000,19777000,2220617000,7042129000,1996000,19296000,-8953000,580000,12919000,-96882000,-3000,-96885000,-37903000,121064000,83161000,-805000,-805000,-805000,20625000,4406797000,-78350000,0.59411,0.0356,0.05387,0.000909999999999995,0.00029,-38.96072,0.64741,2.17125,0.62578,0.0018,0.0018,0.0335,1.90392,-0.07032,0.000299999999999999,-0.01182,202.5905,3144.03988
"44","2021_Q1",5.05540983606557,"Up",38649000,-15692000,22957000,-25822000,-5530000,-20292000,-2865000,-30843000,-8839000,-33708000,-18856000,3421000,-15435000,-15435000,893000,-14542000,-14542000,289582000,289582000,9153000,9153000,298735000,1005259000,1500269000,-495010000,215821000,202992000,1541757000,1840492000,70806000,70806000,163484000,982094000,1113654000,1277138000,499778000,499778000,63576000,563354000,1840492000,-15435000,20292000,4250000,-2593000,6514000,-24194000,2510000,-21684000,-1377000,306116000,304739000,289569000,289569000,289569000,17427000,982094000,-12781000,0.59399,-0.07413,-0.37626,-0.02581,-0.0079,0.878900000000009,1.8273,2.26703,0.5336,-0.09788,-0.09788,0.26014,3.36395,-0.08603,-0.00867,-0.00762,39.73788,-241.71449
"45","2021_Q2",6.86333333333333,"Up",39804000,-16942000,22862000,-27028000,-6311000,-20717000,-4166000,-4847000,-12677000,-9013000,16334000,5100000,21434000,21434000,-1220000,20214000,20214000,226081000,226081000,9224000,9224000,235305000,1046170000,1557785000,-511615000,621586000,621586000,1982585000,2217890000,95733000,95733000,1202554000,429873000,429873000,1632427000,-297867248.516851,-80298183.2051492,585463000,585463000,2217890000,21434000,20717000,-37227000,-2600000,2324000,-37888000,-49000,-37937000,-18174000,-9643000,-27817000,-63430000,-63430000,-63430000,16551000,429873000,-29037000,0.57436,-0.10466,0.50784,0.03453,0.00911,-1.43648,0.19567,2.78827,0.19382,0.13574,0.13562,0.2673,3.58607323768359,-0.19499,0.01991,-0.0286,12.31297,-48.9179100000005
"46","2021_Q3",6.86671875,"Up",40418000,-16403000,24015000,-28022000,-7383000,-20639000,-4007000,-10595000,-12638000,-14602000,-23146000,2760000,-20386000,-20386000,696000,-19690000,-19690000,286066000,286066000,9167000,9167000,295233000,1098907000,1626883000,-527976000,595619000,595619000,2016906000,2312139000,739932000,739932000,1190580000,427881000,556160000,1746740000,519036000.000001,502721000,62678000,565399000,2312139000,-20386000,20639000,7886999.99999999,6002000,14142000,-62679000,118688000,56009000,-13468000,3245000.00000003,-10223000,59928000,59928000,59928000,16632000,427881000,-42805000,0.59417,-0.09914,-0.48716,-0.03482,-0.00852,2.17395,0.24797,3.08939,0.18506,-0.13193,-0.13141,0.27081,3.36831,-0.2868,-0.01756,-0.03817,8.52664,-35.39181
"47","2021_Q4",7.61546875,"Up",42893000,-18155000,24738000,-30577000,-8868000,-21709000,-5839000,-12128000,-12680000,-17967000,-6867000,2021000,-4846000,-4846000,-170000,-5016000,-5016000,253138000,253138000,9623000,9623000,262761000,1190872000,1736371000,-545499000,610546000,610546000,2131434000,2394195000,768509000,768509000,1217395000,485116000,611967000,1829362000,520411000,499034000,65799000,564833000,2394195000,-4846000,21709000,-9995000,-1249000,5619000,-103889000,-130826000,-234715000,62458000,134166000,196624000,-32472000,-32472000,-32472000,15870000,485116000,-91289000,0.57674,-0.13613,-0.11694,-0.00888,-0.0021,18.19956,0.21584,3.23877,0.20262,-0.03349,-0.03349,0.28641,3.33218,-0.60956,-0.00425999999999999,-0.07757,14.61739,-39.72906
"48","2022_Q1",7.09661290322581,"Down",46721000,-16113000,30608000,-32236000,-10589000,-21647000,-1628000,-12285000,-12630000,-13913000,-4871000,3689000,-1182000,-1182000,-236000,-1418000,-1418000,233374000,233374000,11208000,11208000,244582000,1230384000,1791499000,-561115000,595681000,595681000,2189519000,2434101000,97400000,97400000,532493000,1180834000,1305581000,1838074000,523340000,500565000,95462000,596027000,2434101000,-1182000,21647000,-5498000,-24466000,-9499000,-42954000,153357000,110403000,4558000,-123641000,-119083000,-18179000,-18179000,-18179000,20019000,1180834000,-51090000,0.65512,-0.03485,-0.0303499999999999,-0.00238,-0.00058,36.02962,0.45931,3.08388,0.48512,-0.00944999999999999,-0.00949999999999999,0.31149,3.33723,-0.34061,-0.00075,-0.02687,47.32804,-581.97789
"49","2022_Q2",6.29806451612903,"Down",49994000,-19221000,30773000,-32590000,-9472000,-23118000,-1817000,-10905000,-14601000,-12722000,6056000,4056000,10112000,10112000,-1903000,8209000,8209000,109011000,109011000,68612000,68612000,177623000,1321838000,1898081000,-576243000,703935000,703935000,2416221000,2593844000,114761000,114761000,623996000,1226990000,1350631000,1974627000,524952000,510381000,108836000,619217000,2593844000,10112000,23118000,-27846000,1127000,6511000,-97148000,1325000,-95823000,37899000,-14229000,22353000,-66959000,-66959000,-66959000,21301000,1226990000,-78776000,0.61553,-0.03634,0.1642,0.01326,0.00316,-9.5963,0.28465,3.18891,0.47304,0.0548,0.0546,0.33376,3.40731,-0.52591,0.00417,-0.03999,52.48481,-615.28839
"50","2022_Q3",8.18796875,"Up",50697000,-19708000,30989000,-43824000,-8961000,-34863000,-12835000,162428000,-41546000,149593000,299168000,-45957000,253211000,253211000,-14074000,239137000,239137000,81799000,81799000,63796000,63796000,145595000,1351513000,1871381000,-519868000,567939000,567939000,2273817000,2419412000,133653000,133653000,404477000,1001149000,1138099000,1542576000,516557000,741124000,135712000,876836000,2419412000,253211000,34863000,-250115000,-19092000,18867000,-128423000,158935000,4041000,-147474000,44487000,-106222000,-83314000,-83314000,-83314000,22028000,1001149000,-79530000,0.61126,-0.25317,4.71699,0.27273,0.09884,-0.332570000000004,0.35996,1.75925,0.4138,1.59851,1.58976,0.33888,4.95404,-0.53162,0.11868,-0.03947,41.73552,-71.62836
