"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","liabilities_from_derivatives_hedging_short_term","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",70.4538095238095,"Up",3.211e+09,-6.04e+08,2.607e+09,-1.693e+09,-3.36e+08,-1.357e+09,9.14e+08,-1.91e+08,-1.85e+08,-6e+06,7.23e+08,7.26e+08,-2.69e+08,4.57e+08,4.57e+08,4.57e+08,4.57e+08,6.9e+07,6.9e+07,1.111e+09,1.111e+09,1.916e+09,5.92e+08,1.278e+09,3.096e+09,3.6728e+10,4.5632e+10,1.977e+09,7.445e+09,1.14e+08,4.28e+08,6.903e+09,4.615e+10,4.9246e+10,1.371e+09,1.057e+09,3.14e+08,6.87e+08,6.87e+08,1.857e+09,3.44e+08,7e+07,4.3e+07,1.4e+09,3.915e+09,1.4651e+10,1.4651e+10,1.557e+10,1.443e+09,1.0744e+10,8.3e+07,3.3e+09,3.0221e+10,3.4136e+10,1.511e+10,4.9246e+10,4.57e+08,3.36e+08,9e+07,-2.3e+08,6.53e+08,-7.91e+08,-8.54e+08,-2.02e+08,-6.83e+08,3.55e+08,-999999.999999999,-5.31e+08,-7.32e+08,-7.32e+08,-7.32e+08,1.25e+09,1.5338e+10,0.8119,0.28465,0.14232,0.03024,0.00928,0.7908,2.25917,0.31146,1.48473,1.47753,10.4321,0.65627,0.01432,0.44201,12.2152,16.70569
"32","2018_Q1",64.2749180327869,"Down",2.961e+09,-6.19e+08,2.342e+09,-1.757e+09,-3.43e+08,-1.414e+09,5.85e+08,-2.1e+08,-1.84e+08,-2.6e+07,3.75e+08,3.78e+08,1.27e+08,5.05e+08,5.05e+08,5.05e+08,5.05e+08,7.97e+08,7.97e+08,1.103e+09,1.103e+09,1.637e+09,1.78e+08,1.383e+09,3.537e+09,3.76e+10,4.6663e+10,2.001e+09,4.973e+09,1.31e+08,4.28e+08,4.414e+09,4.4574e+10,4.8111e+10,1.534e+09,1.286e+09,2.48e+08,1.298e+09,1.298e+09,2.07e+09,3.46e+08,1.7e+07,1.08e+08,1.599e+09,4.902e+09,1.4731e+10,1.4731e+10,1.3053e+10,1.443e+09,5.495e+09,3.8e+07,6.077e+09,2.7784e+10,3.2686e+10,1.5425e+10,4.8111e+10,5.05e+08,3.43e+08,-2.87e+08,5.79e+08,1.14e+09,-9.98e+08,-1.125e+09,-2.04e+08,9.16e+08,13999999.9999999,-7e+06,7.19e+08,7.34e+08,7.34e+08,7.34e+08,9.28e+08,1.6029e+10,0.79095,0.19757,0.17055,0.03274,0.0105,0.72154,2.11903,0.33317,1.62851,1.61445,9.54853,0.65785,0.01593,0.40396,16.41379,26.03761
"33","2018_Q2",63.76703125,"Down",3.364e+09,-8.55e+08,2.509e+09,-1.754e+09,-3.48e+08,-1.406e+09,7.55e+08,-2.16e+08,-1.95e+08,-2.1e+07,5.39e+08,5.45e+08,-1.17e+08,4.28e+08,4.28e+08,4.28e+08,4.28e+08,6.51e+08,6.51e+08,1.25e+09,1.25e+09,1.872e+09,6e+08,1.214e+09,3.773e+09,3.8075e+10,4.7304e+10,2.012e+09,5.04e+09,1.29e+08,4.28e+08,4.483e+09,4.5127e+10,4.89e+10,1.553e+09,1.236e+09,3.17e+08,1.291e+09,1.291e+09,2.807e+09,3.47e+08,7.4e+07,4.7e+07,2.339e+09,5.651e+09,1.473e+10,1.473e+10,1.2858e+10,1.192e+09,5.638e+09,8.5e+07,5.943e+09,2.7588e+10,3.3239e+10,1.5661e+10,4.89e+10,4.28e+08,3.48e+08,-9.1e+07,-5.42e+08,1.43e+08,-8.74e+08,-9.09e+08,-2.09e+08,8.02e+08,1.3e+07,-1e+06,6.05e+08,-1.61e+08,-1.61e+08,-1.61e+08,1.103e+09,1.6021e+10,0.74584,0.22444,0.12723,0.02733,0.00875,0.66767,2.12241,0.32763,1.37887,1.37356,10.83763,0.67332,0.0143,0.48832,13.93472,20.35762
"34","2018_Q3",66.3969841269841,"Up",2.696e+09,-6.21e+08,2.075e+09,-1.65e+09,-3.54e+08,-1.296e+09,4.25e+08,-2.03e+08,-1.96e+08,-7e+06,2.22e+08,2.27e+08,-39000000.0000001,1.88e+08,1.88e+08,1.88e+08,1.88e+08,8.66e+08,8.66e+08,1.097e+09,1.097e+09,1.473e+09,2.14e+08,1.232e+09,3.436e+09,3.8767e+10,4.8152e+10,2.057e+09,4.804e+09,1.27e+08,4.28e+08,4.249e+09,4.5628e+10,4.9064e+10,1.377e+09,1.13e+09,2.47e+08,1.815e+09,1.815e+09,2.264e+09,3.49e+08,4e+07,4.5e+07,1.83e+09,5.456e+09,1.5225e+10,1.5225e+10,1.2728e+10,9.59e+08,5.71e+09,2.8e+07,6.031e+09,2.7953e+10,3.3409e+10,1.5655e+10,4.9064e+10,1.88e+08,3.54e+08,-1.25e+08,4.8e+08,8.97e+08,-8.83e+08,-9.57e+08,-2.11e+08,5.11e+08,1.3e+07,-1.5e+07,2.98e+08,2.38e+08,2.38e+08,2.38e+08,7.79e+08,1.704e+10,0.76966,0.15764,0.06973,0.01201,0.00383,0.62977,2.13408,0.3473,0.60489,0.60276,8.67439,0.67889,0.00878,1.12234,20.76252,38.05647
"35","2018_Q4",66.491746031746,"Up",3.328e+09,-7.48e+08,2.58e+09,-1.753e+09,-3.59e+08,-1.394e+09,8.27e+08,-2.25e+08,-2.06e+08,-1.9e+07,6.02e+08,6.09e+08,-1.74e+08,4.35e+08,4.35e+08,4.35e+08,4.35e+08,1.99e+08,1.99e+08,1.35e+09,1.35e+09,1.807e+09,6.65e+08,1.113e+09,3.356e+09,3.9383e+10,4.8963e+10,2.131e+09,4.674e+09,1.32e+08,4.39e+08,4.103e+09,4.6188e+10,4.9544e+10,1.492e+09,1.173e+09,3.19e+08,1.128e+09,1.128e+09,2.781e+09,3.51e+08,1.8e+07,4.8e+07,2.364e+09,5.401e+09,1.548e+10,1.548e+10,1.2765e+10,8.04e+08,5.834e+09,1.3e+07,6.114e+09,2.8245e+10,3.3646e+10,1.5898e+10,4.9544e+10,4.35e+08,3.59e+08,4.9e+07,-2.83e+08,5.6e+08,-9.97e+08,-1.081e+09,-2.11e+08,4.8e+07,1.3e+07,-5e+06,-1.55e+08,-6.76e+08,-6.76e+08,-6.76e+08,1.186e+09,1.6608e+10,0.77524,0.2485,0.13071,0.02736,0.00878,0.62137,2.11637,0.33522,1.39826,1.39289,10.69752,0.67824,0.01427,0.48506,13.83558,19.8416
"36","2019_Q1",68.5862295081967,"Up",2.949e+09,-7.24e+08,2.225e+09,-1.699e+09,-3.77e+08,-1.322e+09,5.26e+08,-2.54e+08,-2.22e+08,-3.2e+07,2.72e+08,4.02e+08,-70999999.9999999,3.31e+08,3.31e+08,3.31e+08,3.31e+08,8.95e+08,8.95e+08,1.267e+09,1.267e+09,1.702e+09,1.87e+08,1.466e+09,3.864e+09,4.1749e+10,5.1518e+10,1.766e+09,6.541e+09,1.654e+09,4.4e+08,4.447e+09,5.0056e+10,5.392e+10,1.425e+09,1.187e+09,2.38e+08,1.475e+09,6.5e+08,3.307e+09,3.51e+08,5e+07,6.1e+07,2.845e+09,6.207e+09,1.7495e+10,1.7495e+10,1.3379e+10,1.228e+09,5.82e+09,1.6e+07,6.315e+09,3.0874e+10,3.7081e+10,1.6839e+10,5.392e+10,3.31e+08,3.77e+08,7.81e+08,-3.94e+08,1.095e+09,-1.215e+09,-2.524e+09,-2.11e+08,1.72e+09,7.19e+08,-3.8e+07,2.19e+09,7.61e+08,7.61e+08,7.61e+08,9.03e+08,1.897e+10,0.75449,0.17837,0.11224,0.01966,0.00614,0.62252,2.20209,0.35182,1.05246,1.04813,9.37679,0.67091,0.01102,0.63746,20.01661,34.36312
"37","2019_Q2",74.5915873015873,"Up",3.514e+09,-9.16e+08,2.598e+09,-1.812e+09,-4.13e+08,-1.399e+09,7.86e+08,-2.44e+08,-2.47e+08,3e+06,5.42e+08,5.53e+08,-1.08e+08,4.45e+08,4.45e+08,4.24e+08,4.24e+08,4.06e+08,4.06e+08,1.309e+09,1.309e+09,2.066e+09,6.35e+08,1.382e+09,3.781e+09,4.2152e+10,5.2105e+10,1.832e+09,7.301e+09,1.63e+09,4.4e+08,5.231e+09,5.1285e+10,5.5066e+10,1.345e+09,1.01e+09,3.35e+08,2.029e+09,2.029e+09,2.974e+09,3.51e+08,4.6e+07,4.3e+07,2.534e+09,6.348e+09,1.6933e+10,1.6933e+10,1.4284e+10,1.231e+09,5.951e+09,5.1e+07,7.051e+09,3.1217e+10,3.7565e+10,1.7501e+10,5.5066e+10,4.45e+08,4.13e+08,8.4e+07,-4.78e+08,4.64e+08,-8.88e+08,-8.88e+08,-2.26e+08,-3.17e+08,4.38e+08,-3e+06,-1.08e+08,-5.32e+08,-5.32e+08,-5.32e+08,1.199e+09,1.8962e+10,0.73933,0.22368,0.12066,0.02423,0.0077,0.59562,2.14645,0.34435,1.31473,1.31107,10.89612,0.70078,0.01281,0.53302,15.47623,23.60814
"38","2019_Q3",77.5428125,"Up",2.744e+09,-5.09e+08,2.235e+09,-1.777e+09,-4.18e+08,-1.359e+09,4.58e+08,-2.64e+08,-2.63e+08,-1e+06,1.94e+08,1.98e+08,-1.9e+07,1.79e+08,1.79e+08,1.52e+08,1.52e+08,8.31e+08,8.31e+08,1.099e+09,1.099e+09,1.777e+09,2.22e+08,1.525e+09,3.707e+09,4.2745e+10,5.2894e+10,1.899e+09,7.251e+09,1.605e+09,4.4e+08,5.206e+09,5.1895e+10,5.5602e+10,1.259e+09,9.94e+08,2.65e+08,1.972e+09,1.972e+09,2.738e+09,3.5e+08,6.8e+07,4.7e+07,2.273e+09,5.969e+09,1.7496e+10,1.7496e+10,1.4272e+10,1.12e+09,6.011e+09,1.3e+08,7.011e+09,3.1768e+10,3.7737e+10,1.7865e+10,5.5602e+10,1.79e+08,4.18e+08,-2.24e+08,7.01e+08,1.074e+09,-9.44e+08,-9.88e+08,-2.29e+08,2.44e+08,4.14e+08,-1.9e+07,4.1e+08,4.96e+08,4.96e+08,4.96e+08,8.76e+08,1.9468e+10,0.8145,0.16691,0.05539,0.00851,0.00273,0.62104,2.11234,0.35013,0.46356,0.46229,8.36841,0.69838,0.00738,1.50658,21.27511,40.69214
"39","2019_Q4",78.89578125,"Up",3.365e+09,-6.12e+08,2.753e+09,-1.886e+09,-4.22e+08,-1.464e+09,8.67e+08,-2.59e+08,-2.62e+08,3e+06,6.08e+08,6.19e+08,-1.16e+08,5.03e+08,5.03e+08,4.72e+08,4.72e+08,7.8e+07,7.8e+07,1.254e+09,1.254e+09,2.249e+09,7.07e+08,1.532e+09,3.581e+09,4.3234e+10,5.3563e+10,1.983e+09,7.142e+09,1.58e+09,4.46e+08,5.116e+09,5.2359e+10,5.594e+10,1.421e+09,1.082e+09,3.39e+08,1.914e+09,1.914e+09,2.884e+09,3.48e+08,7.2e+07,3.5e+07,2.429e+09,6.219e+09,1.7537e+10,1.7537e+10,1.405e+10,8.1e+08,6.136e+09,1.47e+08,6.957e+09,3.1587e+10,3.7806e+10,1.8134e+10,5.594e+10,5.03e+08,4.22e+08,-9.2e+07,-4.11e+08,4.22e+08,-9.57e+08,-1.008e+09,-2.35e+08,9.4e+07,1.3e+07,-3e+06,-1.31e+08,-7.17e+08,-7.17e+08,-7.17e+08,1.289e+09,1.9451e+10,0.81813,0.25765,0.14027,0.02603,0.00844,0.57582,2.08481,0.34771,1.42383,1.4187,10.15083,0.7089,0.01369,0.49788,15.02948,22.34487
"40","2020_Q1",77.8482258064516,"Down",2.951e+09,-5.96e+08,2.355e+09,-1.79e+09,-4.31e+08,-1.359e+09,5.65e+08,-1.87e+08,-2.19e+08,-6.4e+07,3.78e+08,3.66e+08,-5.3e+07,3.13e+08,3.13e+08,2.95e+08,2.95e+08,9.81e+08,9.81e+08,1.236e+09,1.236e+09,2.055e+09,2.6e+08,1.775e+09,4.272e+09,4.3889e+10,5.4211e+10,2.065e+09,7.853e+09,1.557e+09,4.46e+08,5.85e+09,5.3807e+10,5.8079e+10,1.419e+09,1.164e+09,2.55e+08,1.446e+09,1.446e+09,3.422e+09,3.46e+08,1.23e+08,7.6e+07,2.877e+09,6.287e+09,1.8527e+10,1.8527e+10,1.5052e+10,1.516e+09,6.227e+09,1.05e+08,7.204e+09,3.3579e+10,3.9866e+10,1.8213e+10,5.8079e+10,3.13e+08,4.31e+08,-3.1e+07,4.61e+08,1.174e+09,-1.175e+09,-8.98e+08,-2.34e+08,9.27e+08,13999999.9999999,-1.9e+07,6.88e+08,9.64e+08,9.64e+08,9.64e+08,9.96e+08,1.9973e+10,0.79803,0.19146,0.09997,0.0162,0.00508,0.6795,2.18888,0.34389,0.88829,0.88562,8.88588,0.70461,0.00994,0.79322,19.06827,33.61416
"41","2020_Q2",68.8536507936508,"Down",3.234e+09,-6.18e+08,2.616e+09,-1.808e+09,-4.7e+08,-1.338e+09,8.08e+08,-3.68e+08,-3.22e+08,-4.6e+07,4.4e+08,4.47e+08,-5.5e+07,3.92e+08,3.92e+08,3.75e+08,3.75e+08,1.395e+09,1.395e+09,1.318e+09,1.318e+09,2.313e+09,7.39e+08,1.553e+09,5.026e+09,4.4435e+10,5.4965e+10,2.011e+09,7.687e+09,1.532e+09,4.46e+08,5.709e+09,5.4133e+10,5.9159e+10,1.369e+09,1.015e+09,3.54e+08,2.093e+09,2.093e+09,2.849e+09,3.44e+08,1.53e+08,3.1e+07,2.321e+09,6.311e+09,1.9423e+10,1.9423e+10,1.4958e+10,1.329e+09,6.348e+09,2.28e+08,7.053e+09,3.4381e+10,4.0692e+10,1.8467e+10,5.9159e+10,3.92e+08,4.7e+08,1.87e+08,-6.37e+08,4.12e+08,-9.68e+08,-9.68e+08,-2.43e+08,1.078e+09,1.02e+08,-2.4e+07,9.13e+08,3.57e+08,3.57e+08,3.57e+08,1.278e+09,2.1516e+10,0.80891,0.24985,0.11596,0.02031,0.00634,0.79639,2.2035,0.3637,1.1241,1.12074,9.69424,0.72842,0.01125,0.648,15.74413,24.90223
"42","2020_Q3",66.8253125,"Down",2.719e+09,-4.8e+08,2.239e+09,-1.76e+09,-4.76e+08,-1.284e+09,4.79e+08,-2.77e+08,-2.48e+08,-2.9e+07,2.02e+08,2.11e+08,-9e+06,2.02e+08,2.02e+08,1.9e+08,1.9e+08,1.144e+09,1.144e+09,1.332e+09,1.332e+09,2.088e+09,2.91e+08,1.776e+09,4.564e+09,4.4897e+10,5.569e+10,2.08e+09,7.54e+09,1.51e+09,4.46e+08,5.584e+09,5.4517e+10,5.9081e+10,1.287e+09,1.018e+09,2.69e+08,1.965e+09,1.965e+09,3.453e+09,3.32e+08,1.7e+08,5.3e+07,2.898e+09,6.705e+09,1.9149e+10,1.9149e+10,1.4786e+10,1.205e+09,6.337e+09,2.42e+08,7.002e+09,3.3935e+10,4.064e+10,1.8441e+10,5.9081e+10,2.02e+08,4.76e+08,-1.21e+08,2.11e+08,7.68e+08,-9.64e+08,-9.64e+08,-2.44e+08,2.01e+08,1.4e+07,-4e+06,-3.3e+07,-2.29e+08,-2.29e+08,-2.29e+08,9.55e+08,2.1114e+10,0.82346,0.17617,0.06988,0.0103,0.00322,0.68069,2.20379,0.35737,0.56886,0.5675,8.14072,0.73054,0.00799,1.28421,20.91099,41.69102
"43","2020_Q4",71.041875,"Up",3.333e+09,-5.82e+08,2.751e+09,-1.891e+09,-4.82e+08,-1.409e+09,8.6e+08,-2.36e+08,-2.27e+08,-8.7e+07,6.24e+08,6.2e+08,-1.19e+08,5.01e+08,5.01e+08,4.93e+08,4.93e+08,1.53e+08,1.53e+08,1.51e+09,1.51e+09,2.541e+09,7.77e+08,1.738e+09,4.204e+09,4.5564e+10,5.6581e+10,2.124e+09,7.703e+09,1.485e+09,4.46e+08,5.772e+09,5.5391e+10,5.9595e+10,1.644e+09,1.279e+09,3.65e+08,2.785e+09,1.965e+09,2.731e+09,3.19e+08,1.49e+08,8.9e+07,2.174e+09,7.16e+09,1.9206e+10,1.9206e+10,1.4518e+10,7.6e+08,6.507e+09,2.98e+08,6.953e+09,3.3724e+10,4.0884e+10,1.8711e+10,5.9595e+10,5.01e+08,4.82e+08,-2.5e+08,-5.45e+08,1.88e+08,-1.028e+09,-1.052e+09,-2.44e+08,7e+07,1.5e+07,-8e+06,-1.67e+08,-1.031e+09,-1.031e+09,-1.031e+09,1.342e+09,2.1991e+10,0.82538,0.25803,0.14791,0.02635,0.00827,0.58715,2.18502,0.36901,1.47296,1.46901,9.95817,0.72901,0.01335,0.49493,16.27273,25.39302
"44","2021_Q1",65.0398360655738,"Down",2.96e+09,-6.03e+08,2.357e+09,-1.85e+09,-4.92e+08,-1.358e+09,5.07e+08,-5.56e+08,-2.22e+08,-4.2e+07,-48999999.9999999,-4.4e+07,9.3e+07,48999999.9999999,48999999.9999999,4.3e+07,4.3e+07,1.272e+09,1.272e+09,1.701e+09,1.701e+09,2.328e+09,2.71e+08,2.031e+09,5.301e+09,4.6555e+10,4.6555e+10,1.816e+09,9.223e+09,1.46e+09,4.46e+08,7.317e+09,5.7594e+10,6.2895e+10,1.732e+09,1.475e+09,2.57e+08,2.132e+09,1.967e+09,3.49e+09,3.11e+08,2.38e+08,1.5e+08,2.791e+09,7.354e+09,2.0382e+10,2.0382e+10,1.6094e+10,2.257e+09,6.475e+09,2.4e+08,7.122e+09,3.6476e+10,4.383e+10,1.9065e+10,6.2895e+10,48999999.9999999,4.92e+08,2.76e+08,13000000.0000002,8.3e+08,-1.24e+09,-1.24e+09,-2.44e+08,1.236e+09,5.67e+08,-2.7e+07,1.532e+09,1.122e+09,1.122e+09,1.122e+09,9.99e+08,2.2514e+10,0.79628,0.17128,0.01453,0.00226,0.000680000000000001,0.72083,2.29898,0.35796,0.12763,0.12729,8.78599,0.72425,0.00498,5.67442,21.26326,41.89744
"45","2021_Q2",71.6849206349206,"Up",3.677e+09,-8.26e+08,2.851e+09,-1.991e+09,-4.97e+08,-1.494e+09,8.6e+08,-3.67e+08,-1.76e+08,-3e+07,4.93e+08,4.98e+08,-7.8e+07,4.2e+08,4.2e+08,4.19e+08,4.19e+08,7.6e+07,7.6e+07,1.949e+09,1.949e+09,2.562e+09,7.72e+08,1.779e+09,4.587e+09,4.7069e+10,5.8492e+10,1.654e+09,8.989e+09,1.434e+09,4.46e+08,7.109e+09,5.7712e+10,6.2299e+10,1.582e+09,1.208e+09,3.74e+08,1.768e+09,1.302e+09,3.209e+09,2.96e+08,2.31e+08,1.15e+08,2.567e+09,6.559e+09,2.0614e+10,2.0614e+10,1.5844e+10,2.074e+09,6.619e+09,1.55e+08,6.996e+09,3.6458e+10,4.3017e+10,1.9282e+10,6.2299e+10,4.2e+08,4.97e+08,1.96e+08,-8.24e+08,2.89e+08,-1.096e+09,-1.096e+09,-2.53e+08,-2.62e+08,1.6e+07,2.7e+07,-4.72e+08,-1.279e+09,-1.279e+09,-1.279e+09,1.357e+09,2.2382e+10,0.77536,0.23389,0.11395,0.02173,0.00673,0.69934,2.23094,0.35927,1.22443,1.22157,10.74518,0.73933,0.01169,0.60382,16.43773,25.93721
"46","2021_Q3",70.4290625,"Down",2.971e+09,-5.75e+08,2.396e+09,-1.977e+09,-5.03e+08,-1.474e+09,4.19e+08,-3.16e+08,-2.6e+08,-3.2e+07,1.03e+08,1.08e+08,1e+07,1.18e+08,1.18e+08,1.65e+08,1.65e+08,1.067e+09,1.067e+09,1.709e+09,1.709e+09,2.334e+09,2.55e+08,2.067e+09,5.11e+09,4.7339e+10,5.9029e+10,1.688e+09,8.782e+09,1.34e+09,4.46e+08,6.996e+09,5.7809e+10,6.2919e+10,1.478e+09,1.217e+09,2.61e+08,1.347e+09,4.44e+08,2.732e+09,2.87e+08,1.79e+08,1.21e+08,2.145e+09,5.557e+09,2.1666e+10,2.1666e+10,1.5643e+10,1.925e+09,6.634e+09,1.25e+08,6.959e+09,3.7309e+10,4.2866e+10,2.0053e+10,6.2919e+10,1.18e+08,5.03e+08,3.7e+07,4.46e+08,1.104e+09,-9.04e+08,-9.04e+08,-2.54e+08,2.54e+08,7.89e+08,3.2e+07,8.21e+08,1.021e+09,1.021e+09,1.021e+09,9.22e+08,2.3013e+10,0.80646,0.14103,0.05554,0.00823,0.00262,0.91956,2.13764,0.36576,0.48217,0.48105,8.68206,0.74226,0.00714,1.53939,23.8026,52.37709
"47","2021_Q4",74.8778125,"Up",3.613e+09,-6.75e+08,2.938e+09,-2.088e+09,-5.12e+08,-1.576e+09,8.5e+08,-2.59e+08,-2.32e+08,-3.2e+07,5.91e+08,5.96e+08,-1.27e+08,4.69e+08,4.69e+08,5.38e+08,5.38e+08,6.6e+07,6.6e+07,1.923e+09,1.923e+09,3.107e+09,8.47e+08,2.252e+09,5.096e+09,4.7947e+10,4.7947e+10,1.078e+09,8.817e+09,1.317e+09,4.46e+08,7.054e+09,5.7842e+10,6.2938e+10,1.756e+09,1.37e+09,3.86e+08,4.39e+08,4.39e+08,3.06e+09,2.86e+08,1.63e+08,1.23e+08,2.488e+09,5.255e+09,2.1841e+10,2.1841e+10,1.5465e+10,1.424e+09,6.835e+09,1.66e+08,7.04e+09,3.7306e+10,4.2561e+10,2.0377e+10,6.2938e+10,4.69e+08,5.11e+08,2.91e+08,-9.52e+08,3.19e+08,-1.051e+09,-4.37e+08,-2.61e+08,-7.51e+08,1.5e+07,1.52e+08,-8.45e+08,-9.63e+08,-9.63e+08,-9.63e+08,1.361e+09,2.228e+10,0.81317,0.23526,0.14891,0.0264,0.00855,0.96974,2.08868,0.354,1.52235,1.51934,10.22354,0.73854,0.01375,0.48513,16.32182,26.13412
"48","2022_Q1",83.1491935483871,"Up",3.415e+09,-6.78e+08,2.737e+09,-2.04e+09,-5.2e+08,-1.52e+09,6.97e+08,-5.22e+08,-2.37e+08,-4.5e+07,1.75e+08,1.81e+08,5e+06,1.86e+08,1.86e+08,2.24e+08,2.24e+08,9.92e+08,9.92e+08,2.241e+09,2.241e+09,2.318e+09,2.95e+08,1.882e+09,5.551e+09,7.0122e+10,5.7945e+10,8.53e+08,8.116e+09,1.293e+09,4.39e+08,6.307e+09,7.9091e+10,8.4642e+10,1.761e+09,1.497e+09,2.64e+08,1.928e+09,502303336.212224,1.738e+09,296127907.413158,1.52e+08,1.04e+08,1.482e+09,5.427e+09,2.2604e+10,22187210511.7064,1.4749e+10,7.37e+08,6.873e+09,8.4e+07,7.055e+09,3.7353e+10,4.278e+10,2.0336e+10,6.3116e+10,1.86e+08,5.21e+08,-2.28e+08,5.42e+08,1.021e+09,-1.062e+09,-1.047e+09,-2.62e+08,1.221e+09,14999999.9999999,-1.7e+07,9.57e+08,9.31e+08,9.31e+08,9.31e+08,1.218e+09,-3.814697265625e-06,0.80146,0.2041,0.06559,0.0365611590148628,0.0118388095336146,1.00288150204141,2.0714864392002,0.367049919357966,0.63384,0.63259,9.66327,0.74137,0.017291979979296,1.16964,13.7163019615248,14.7637366514209
"49","2022_Q2",92.4474193548387,"Up",4.06e+09,-1.074e+09,2.986e+09,-2.187e+09,-5.29e+08,-1.658e+09,7.99e+08,-9.7e+07,-1.82e+08,8e+07,7.02e+08,7.07e+08,-1.53e+08,5.54e+08,5.54e+08,6.02e+08,6.02e+08,1.08e+08,1.08e+08,2.176e+09,2.176e+09,3.178e+09,7.96e+08,2.063e+09,5.462e+09,4.9018e+10,4.9018e+10,8.33e+08,8.424e+09,1.268e+09,4.39e+08,6.581e+09,5.8275e+10,6.3737e+10,1.701e+09,1.308e+09,3.93e+08,1.752e+09,4.39e+08,1.962e+09,3.13e+08,1.34e+08,7.7e+07,1.438e+09,5.415e+09,2.2583e+10,2.2583e+10,1.5116e+10,7.61e+08,7.105e+09,7.6e+07,7.174e+09,3.7699e+10,4.3114e+10,2.0623e+10,6.3737e+10,5.54e+08,5.29e+08,1.77e+08,-7.87e+08,4.73e+08,-9.52e+08,-9.52e+08,-2.76e+08,-2.01e+08,1.4e+07,-7000000.00000003,-4.7e+08,-9.49e+08,-9.49e+08,-9.49e+08,1.328e+09,2.4335e+10,0.73547,0.1968,0.14828,0.02919,0.00945,1.00868,2.09058,0.3818,1.70153,1.69673,11.47541,0.7801,0.01462,0.45847,18.24322,30.32165
"50","2022_Q3",94.43546875,"Up",3.415e+09,-8.91e+08,2.524e+09,-2.138e+09,-5.39e+08,-1.599e+09,3.86e+08,-1.19e+08,-2.05e+08,8.1e+07,2.67e+08,2.72e+08,-1.8e+07,2.54e+08,2.54e+08,2.55e+08,2.55e+08,1.127e+09,1.127e+09,2.042e+09,2.042e+09,2.847e+09,3.56e+08,2.222e+09,6.016e+09,4.966e+10,4.966e+10,7.94e+08,8.602e+09,1.244e+09,4.39e+08,6.776e+09,5.9056e+10,6.5072e+10,1.811e+09,1.547e+09,2.64e+08,7.22e+08,3.22e+08,4.29e+09,3.3e+08,1.1e+08,9.9e+07,3.751e+09,6.823e+09,2.2361e+10,2.2361e+10,1.5267e+10,7.04e+08,7.156e+09,6.2e+07,7.345e+09,3.7628e+10,4.4451e+10,2.0621e+10,6.5072e+10,2.54e+08,5.39e+08,-5.3e+07,7.44e+08,1.484e+09,-1.166e+09,-1.166e+09,-2.68e+08,9.88e+08,1.5e+07,-1e+07,7.25e+08,1.043e+09,1.043e+09,1.043e+09,9.25e+08,2.3083e+10,0.73909,0.11303,0.07467,0.01237,0.00392,0.88172,2.15562,0.35473,0.72014,0.71811,9.64417,0.75685,0.00887,1.05098,23.73622,56.88083
